**Header Section:**
Magazine Title: 동광 제26호
Publication Date: 1931년 10월 04일
Article Title: 讀書室 (Reading Room)
Article Type: 문예평론 (Literary Criticism)

**Body Text Translation:**
Reading Room

*Paektu-san tŭngch'ŏkki* (Record of Climbing Mt. Paektu)
By An Chaehong

Since Kŭmgang-san (Mt. Kŭmgang) became vulgarized, mountain seekers have come to long for Chiri[-san] and Myohyang[-san]. Reaching Paektu[-san], the majestic peak of Korea, is something an individual can hardly contemplate, but because the Border Guard (國境守備隊) conducts its ascent every summer as an annual event and permits the participation of civilians at that time, excursions to Mt. Paektu have become frequent recently.

Among these, the climbing record by Minse, An Chaehong, has been recently published. His somewhat difficult yet dense and magnanimous style might rather be said to be suitable for depicting the true face of Mt. Paektu. Passing through "T'aebong Kowŏn" (T'aebong Plateau) and "Okchŏ Sanha" (The Mountains and Rivers of Okchŏ), he becomes a "traveler crossing the plains (천평)" along the banks of the Tuman-gang (Tumen River). The grand view from Mudubong (Mudubong Peak) and the sorrow by the Chŏnggyegyŏk (Chŏnggye Stream) reach their climax in the "Age-old Dream (萬古夢)" by Ch'ŏnji (Heaven Lake). From the "Beauty of Samji (三池美)" and the banks of the Green Water (綠水邊) with its foreign scenery, and recalling the Chinsung (震人), reaching the "Cholbon Kowŏn" (Cholbon Plateau), the long journey spanning a thousand *ri* (踏陟千里) is depicted with detailed obscurity (細刻的 模糊) and macroscopic clarity (大觀的 뚜렷), truly worth reading.

Within it, there is sometimes meticulous vigilance against encroaching capitalist forces, sometimes investigation into the rise and fall of national consciousness, sometimes historical verification (考證) of historical records (史乘), sometimes the development of Korean history viewed folkloristically (토속학적), there is poetry, there is science, the praise of nature reaches religious sublimity (숭엄), and in every stone and tree, national camaraderie (민족적 우애) is stirred up; this would be impossible without Minse's spirit (志氣), erudition, observation, and writing prowess (筆力).

Photographs are occasionally attached to make the scenery realistic (如實하게), and a map is placed at the beginning of the volume, likely serving as a good reference for those who follow.

"When the party was passing through a sparse forest area (踈林地帶) around Sinmu Shrine (神武畤), the horses looked towards the south bank, pricking up their ears, showing signs of alertness towards something. A rider pointed out that there must be ferocious beasts hiding. Then, seeing a couple of lanky, black-backed beasts (즘승) stealthily fleeing yonder, they are said to be dholes (승냥이)."
Such lively descriptions (묘사), and,

"Deer used to sing (노래터니) in the morning sun on Kŏch'il Peak,
Dholes yawn (하픔하네) in the twilight valley of Sinmu Shrine.
Leading the horse (말끌어) to the stream (시내), it cries (우노매라) in the north wind.
Ah, stop it (아서라)! I lack a long sword (장검), so why should you cry!"
Such quirky songs could be called the flowers blooming from his essays.

Centering on the Chŏnggye Monument (정계비), one cannot help but lament with indignation (비분) over the Kando border dispute, and searching for the origin (發詳) of the Korean nation amidst the grand atmosphere of Ch'ŏnji (Heaven Lake) are gains for the reader of this book through exploration (더가듬).

Since it was first published in newspapers, it cannot be said that there isn't considerable crudeness (粗略됨) in its style, but even so, who could deny that this travelogue possesses considerable originality as literature and thus permanence (영구성)? The appearance of this work might be a significant (한낮의) event to commemorate in the history of Korean literature. (Published by Yusŏngsa [流星社], 35 Kwandong [寬勳洞], Kyŏngsŏng [京城]; Price 50 *chŏn*, 46-format, 125 pages) (Song)

*Kŏn'gang kwa Haengbok* (Health and Happiness)
By George H. Rue (쪼지·에취·루 著)

Books concerning health and hygiene in the Korean language are very scarce. Compared to the very meager (박약한) hygiene knowledge of the Korean people, the fact that such books are almost nonexistent is a very worrisome (근심된) matter.

This book, "Health and Happiness," answers this need (요구), and there is no doubt it will provide practical benefit (편익) to our real lives. This book does contain treatment methods for diseases, and particularly provides detailed descriptions (상세한 서술) regarding several kinds (수종) of common illnesses (보통병) and childhood diseases, but the book's characteristic feature (특색) lies especially in explaining the requirements for health.

"Warm sunlight, fresh air, pure water, and nutritious food are provided (제공되어) to humanity, and all tissues (조직) and functions (기능) of the human body require (요하고) observance (준수) of natural laws (자연법칙)."
"This book, based on the guidance and observance (導守) of natural laws, clearly indicates (명시한) the proper path (順路) for the body's systems (인체조직), recording (기재한) the most natural, safe, and clear hygiene methods." This passage (일절) from the preface (서문) explains the contents of this book well. Furthermore, the statement that "regarding diseases, it values the application (응용) of natural healing power (자연치유력) more than the use of medicinal materials (약재)" holds further significance (일층 意義). The general populace, holding the mistaken belief in medicine as a panacea (藥治萬能), will find much enlightenment (계발됨) in this book. Although it is authored by a religious person (종교가) and thus religious color (색채) is occasionally mixed in, it is to such a degree that it poses no obstacle (하등 장애가 없을 정도) whatsoever even for readers seeking only knowledge about health. Therefore, we wish to recommend this book to the entire literate (글 볼줄아는) populace of Korea. It is regrettable (유감) that the content includes mixed Hanja, meaning there will be parts of the populace unable to read it, but we understand there will also be those who find this convenient. (Price 1 *wŏn*, 46-format, 113 pages; Published by Sijosa [時兆社], Hoegi-ri [回基里] outside East Gate [東大門外], Kyŏngsŏng [京城]) (Song) <100>

**Summary**

This article reviews two recently published books. The first is An Chaehong's "Record of Climbing Mt. Paektu," praised for its evocative style capturing the mountain's grandeur and the author's erudition. The review highlights the book's blend of travelogue, historical reflection (including the Kando border dispute), scientific observation, and expression of nationalist sentiment through descriptions of nature and references to Korean origins. The second review introduces "Health and Happiness" by George H. Rue, addressing the lack of health literature in Korean. It emphasizes the book's focus on natural laws, hygiene, and natural healing over reliance on medicine, recommending it to the Korean public despite its occasional religious tone and use of Hanja. From a historical perspective, the review of An Chaehong's book is significant for its clear expression of Korean national identity and historical consciousness centered on Mt. Paektu, a potent symbol, and its subtle critique of external forces ('capitalist powers', border issues), reflecting anxieties under colonial rule. The review of Rue's book highlights contemporary concerns about public health, modernization (promoting 'scientific' hygiene), and literacy in colonial Korea.

**Named Entities**
그 가운데 혹은 침입하는 자본 세력에 대한 주도한 감시가 잇고 혹은 一倒一起의 민족의식에 관한 討究가 잇으며, 혹은 史乘의 考證이 잇고 토속학적으로 본 조선사의 계발이 잇으며, 詩가 잇으며 과학이 잇으며 자연의 찬미가 종교적 숭엄에 달하며 一石一木에 민족적 우애가  분발함이 잇으니 民世의 志氣와 박학과 관찰과 筆力이 아니로서는 불가능한 일이다.
틈틈이 사진을 첨부하야 그 景을 如實하게 하엿으며 또는 일폭의 지도를 권두에 두엇으니 뒤로 가는 이의 좋은 참고가 될듯하다.
『神武畤 다온때에 일행은 踈林지대에 지나가는데 말들은 南岸을 치다보며 귀를 쫑긋쫑긋 무엇는지 경계하는 기색이다. 승마객이 가르대 반드시 맹수의 숨음이 잇으리라하드니 멀숙한 두어 마리 등 검은 즘승이 隱隱히 저쪽으로 달아남을 보니, 승냥이라고 한다.』
이러한 생기잇는 묘사며,
『거칠봉 아침해에 사슴이 노래터니
神武畤 저문골에 승냥이 하픔하네
말끌어 시내에 놓니 북풍에 우노매라
아서라 장검이 내 없거니 네가 운들!』
이러한 엉뚱한 노래들은 그의 수필에서 피어오를 채화라고 할 것이다.
정계비를 중심으로 하야 간도경계분쟁에 비분의 탄식을 不禁하며 천지의 대기속에서 조선민족 發詳의 연유를 찾아보는 등은 이 책을 읽는 자의 더가듬으로 얻는 것이다.
신문지상에 먼저 발표된 것이매 그 스타일에 잇어서 粗略됨이 不少하다 할것이나 그러타치고라도 이 기행문이 문학으로서 상당한 독창성과 따라서 영구성이 잇다고 하는 것은 누구라서 부인 못할 것이니 이 著의 출현은 조선문학상으로도 한낮의 기념할 일일까 한다. (京城寬動洞35 流星社발행 정가 50전,46판 125頁)(頌)

건강과 행복     쪼지·에취·루 著

조선말로 된 건강과 위생에 관한 책이 매우 드물다. 조선사람의 위생지식이 매우 박약한 데 비기어 그런 책이 거이 없다시피 한다는 것은 매우 근심된 일이다.
이「건강과 행복」이란 책은 이러한 요구를 대답하는 것이니 우리의 실생활에 편익을 줄 것은 의심없다. 이 책은 병에 대한 치료법도 없는 것이 아니며 특히 보통병 수종과 소아의 질병에 대하야 상세한 서술이 잇거니와 책의 특색은 특히 건강에 대한 요구를 설명한데 잇다.
「따뜻한 일광과 신선한 공기와 순결한 물과 영양 잇는 식물은 인류에게 제공되어 잇고 인체의 모든 조직과 기능은 자연법칙의 준수를 요하고 잇는 것이다.」
「본서는 즉 자연법칙의 導守를 기초하야 인체조직의 順路를 명시한 것으로 가장 자연스럽고 안전하고 명확한 위생방법을 기재한 것이다.」라고 한 서문의 일절은 이 책의 내용을 잘 설명한다. 그리고 더욱이나「질병에 대하야는 약재의 사용보다도 자연치유력의 응용을 존중한것」이라는 일층 意義가 잇나니 藥治萬能의 잘못된 사상을 가지고 잇는 일반민중은 이 책에서 계발됨이 많을 것이다. 비록 종교가의 저술이라 하야 종교적 색채가 간혹 섞이어 잇으나 그것은 건강에 관한 지식만을 얻고저하는 독자에게라도 하등 장애가 없을 정도라 하겟다. 그러므로 우리는 이 책을 전조선의 글 볼줄아는 대중에게 권하고싶다. 내용은 한문을 섞엇으니 보지못할 민중의 부분도 잇을것이 유감이나 그 대신 또 편리하다고 할 사람도 잇을 줄 안다. (정가 1원 46판 113頁 京城東大問外 回基里 時兆社발행)(頌) ＜100＞
