Magazine Title: 개벽 제46호
Publication Date: 1924년 04월 01일
Article Title: 東洋學界의 名星=金重世氏 (A Renowned Star of the Oriental Studies World = Mr. Kim Chungse)
Author: 李鎔灌
Article Type: 소식 (News/Report)

東洋學界의 名星=金重世氏
						李鎔灌

It seems it was 16 years ago, at the inn of a close friend in Tōkyō, Japan, that I first met him. When I heard the introduction, "Mr. Kim Chungse, a student of the Seisoku School from Kaesŏng," even in our young minds, we could not help but notice some disharmony between the nature of that school and the character of Mr. Kim. Already back then, Mr. Kim presented the appearance of a mature scholar, and it did not seem like he had come all the way abroad just to memorize the ABCDs alongside middle school students.

However, I realized only in 1908 that the English at Seisoku School and his studies in Tōkyō were merely stepping stones on his path to study in Germany. When the European War began in 1914, I sent a letter from Britain via the neutral Netherlands inquiring after his safety and asked if I could offer some assistance to perhaps lessen his difficulties even slightly. Later, I tried the same from Switzerland, but receiving no reply, I largely surmised that Mr. Kim, who had not even witnessed the Japan-Korea Annexation, must have been recognized as a subject of Japan, an enemy nation of Germany, and was suffering immense hardship in prison. I heard later that he had spent three months in prison while ill, enduring unparalleled anguish with only stone-like bread (stamped with "Kaiser Wilhelm II Hoch!") and water. At that time, anti-Japanese fervor within Germany reached its peak; it was a time when calls were made to expel the treacherous and immoral Japanese people from the bounds of human society. It was a time when one would be insulted on the streets, expelled from school lecture halls, and greeted in shops, restaurants, libraries, and even private homes with the words "Cunning Japs (狡猾한 얍스)!" So, when would Mr. Kim Chungse be safely released from prison and allowed to leave German borders?<79> But in such circumstances, one can glimpse the measure of Mr. Kim's value. Through the earnest appeals of all professors and great scholars, starting from the President of the Berlin University Academy, and an urgent inquiry from the Minister of Education, he was safely released by a personal order (親令) of the Kaiser, after which he received preferential treatment everywhere. In Germany, where they hardly knew precisely which corner of the globe Chosŏn was located, why did they treat the scholar Kim Chungse from Kaesŏng with such favor?

In 1921, a so-called "Orientalist" (東洋學者) Conference was held in the city of Leipzig. This did not mean scholars who were Orientals, but rather scholars who devoted their lives to studying Eastern culture. They study Eastern culture with even greater zeal than we Easterners do, producing great scholars such as Gabelentz (花之安), Legge (任洛志), Julien (졸리앙), Champollion (쇔폴리옹), and Wilhelm (빌헴). As it was a conference of scholars from various countries inheriting the work of such world-class scholars, I took the opportunity of touring Germany to travel specially from Switzerland to Leipzig and was fortunate enough to obtain permission to audit. The Minister of Education was to give the opening address. Recalling it now, he spoke roughly to this effect: The academic world was divided due to the World War, and it is a matter of glory for the German nation that we have gathered once again like this within Germany today. It is generally welcomed that scholars representing India and Japan from East Asia are also present. "It is particularly heartening to know that Mr. Kim Chungse from Chosŏn, whom our German Oriental studies community respects and loves, is also present..." Hearing this, I learned not only of his presence but also how renowned his reputation was in German Oriental studies circles. I thought then, if only a hero can truly know a hero, and a scholar truly know a scholar, then I, not being a scholar, could hardly grasp Mr. Kim's personality, talent, or value. However, with such a reputation, I could not but acknowledge him as a great scholar, even without fully understanding.

My impression of Mr. Kim's personality and talents might be extremely incomplete. However, speaking from a negative aspect (i.e., what he is not), Mr. Kim is certainly not a natural scientist, nor is he a so-called social scientist. The purpose of his studies in Germany was not to research modern European civilization, but to comparatively study the ancient civilizations of China, India, Persia, Greece, and Rome, which are the foundations of world culture. His doctoral dissertation also concerns this topic and is said to be published in Germany sooner or later. Therefore, he is fluent not only in English, French, and German, but also in Latin, Ancient Greek, and even Sanskrit. Adding Classical Chinese, Japanese, and Korean, Mr. Kim reads in nine languages. Currently, he receives an official stipend from the State of Prussia and is engaged in writing as a "Collaborator" (協力員) at the Berlin University Academy; namely, a Sanskrit Dictionary (梵語辭林). This is an unprecedented work being compiled by collecting Sinicized Sanskrit terms from Chinese Buddhist texts, which are indispensable for Buddhist research, adding Chinese and German translations, and indicating the pronunciation with our Korean script. It is reportedly decided that the said Academy will publish it under Mr. Kim's name upon completion.

Regarding his personality, in a word, he is a serene scholar (靜穩한 學者). He is a *sŏnbi* (선비) who transcends worldly pleasures and the struggles of the "market of life," spending his days in quiet contemplation (靜觀) and silent reflection (黙想). That being said, he is not a passionate figure demanding a deeply devout religious life. What he seeks is the life of a serene scholar. Rather than being a scholar with the disposition to synthesize truths discovered in various fields to organize a grand system, advocating a new cosmology (新宇宙觀) and a new view of life (新人生觀) to bring about a great revolution in the scientific and intellectual worlds, he is an antiquarian scholar (尙古的 學者) who possesses a taste for interpreting ancient philosophy. <80>

**Summary**

This article by Yi Yonggwan recounts his encounters with the Korean scholar Kim Chungse (金重世), starting from their meeting in Tōkyō 16 years prior. Yi describes Kim's early scholarly demeanor, his move to Germany for advanced studies, and his harrowing experience during World War I when he was imprisoned as a Japanese subject (despite being Korean) in Germany. Despite this, Kim's academic value was recognized by top German scholars and officials, leading to his release by the Kaiser's order and subsequent high regard. Yi highlights Kim's esteemed reputation at the 1921 Orientalist Conference in Leipzig and details Kim's current work: supported by the Prussian state, he is compiling a major Sanskrit dictionary based on Buddhist texts at the Berlin University Academy, focusing on comparative ancient civilizations rather than modern science. Yi characterizes Kim as a serene, contemplative scholar dedicated to ancient philosophy. From a historical perspective, the article is revealing about the precarious status of Koreans under Japanese rule, even abroad, being identified with their colonizer during wartime. It also showcases the remarkable international academic achievement and recognition of a Korean scholar during a period when Korea itself was largely unknown and overshadowed, highlighting individual resilience and intellectual pursuit against colonial constraints. Historians might find the details about Kim's imprisonment, the intervention by German academics, and his specific research project (especially the use of Korean for Sanskrit pronunciation) particularly interesting.

**Named Entities**

金重世氏	김중세씨	Kim Chungse
梵語辭林	범어사림	Sanskrit Dictionary/Lexicon
不可無할	불가무할	Indispensable / Essential
佛敎書類	불교서류	Buddhist texts/documents
중국화된	중국화된	Sinicized
蒐集헌 후	수집한 후	After collecting (older spelling)
漢譯	한역	Chinese translation
德譯	독역	German translation
添附하고	첨부하고	Attaching / Appending
표하야	표하여	Marking / Indicating (older spelling)
작성되는	작성되는	Being compiled / created
前無허든	전무하던	Unprecedented / Hitherto non-existent (older form)
名義	명의	Name / Under the name of
該學士院	해당 학사원	The said Academy
결정하얏다 함니다	결정하였다 합니다	It is said that it was decided (older spelling/grammar)
一言으로 蔽之하면	일언으로 폐지하면	To summarize it in one word (Classical Chinese phrasing)
靜穩한	정온한	Calm / Serene / Quiet
世俗的	세속적	Worldly / Secular
쾌락	쾌락	Pleasure
生活市場	생활시장	Market of life (metaphor)
고민	고민	Worry / Anguish
초월하야	초월하여	Transcending (older spelling)
靜觀	정관	Quiet contemplation
黙想	묵상	Meditation / Silent reflection
선비	선비	Scholar (traditional Korean)
그럿타고	그렇다고	Even so / That being said (older spelling)
深篤한	심독한	Deep / Sincere / Devout
宗敎的	종교적	Religious
열정적	열정적	Passionate
요구허는	요구하는	Demanding / Requiring (older spelling)
眞理	진리	Truth
綜合하야	종합하여	Synthesizing / Integrating (older spelling)
一大軆系	일대체계	One great system (軆 is an older variant of 體)
조직하고	조직하고	Organizing / Systematizing
新宇宙觀	신우주관	New worldview / Cosmology
新人生觀	신인생관	New view of life / Philosophy of life
唱導하야	창도하여	Advocating / Championing (older spelling)
思想界	사상계	World of thought / Intellectual circles
혁명	혁명	Revolution
니르킬	일으킬	To cause / bring about (older spelling)
기분	기분	Disposition / Inclination (contextual)
古代哲學	고대철학	Ancient philosophy
解釋	해석	Interpretation
취미를 有헌	취미를 유한	Having a taste/interest for (older form)
尙古的	상고적	Antiquarian / Appreciating antiquity
-e 

---------------------------


잡지명	개벽 제46호
발행일	1924년 04월 01일
기사제목	東洋學界의 名星=金重世氏
필자	李鎔灌
기사형태	소식

東洋學界의 名星=金重世氏
						李鎔灌
처음으로 맛나 뵈옵기는 16년전 일본 東京 어느 親友의 여관인 듯 함니다. 「開城서 오신 正則學校學生 金重世氏」 라는 소개하는 말을 들을 때 우리 어린 마음에도 그 학교의 性質과 氏의 인격 사이에 무엇인지 調和되지 안는 점이 잇는 것을 깨닷지 아니치 못하얏슴니다. 氏는 벌서 그때브터 老成한 學者의 外觀을 낫하내여 中學生들과 함께 ABCD를 暗誦하느라고 외국까지 오신 것 갓지 안엇슴니다.
그러나 正則學校英語와 東京留學은 다만 獨逸留學 가시는 길의 징검다리에 불과한 것은 1908년에야 알엇슴니다. 1914년 歐洲戰爭이 시작될 때 나는 英國서 中立國인 和蘭을 經由하야 氏의게 安否 뭇는 글을 보내고 多少間 使役하야 듸리여 氏에 곤란을 조금이라도 덜어들릴가 請하얏슴니다. 그후 瑞西에서도 또 그럿케 하얏지만 회답이 업는 것을 因하야 日韓合倂구경도 못헌 氏는 德國의 敵國인 일본의 臣民이라 인정되야 옥중에서 艱難이 막심한 것도 대개 추측하얏슴니다. 그후에 들은 즉 옥중에서 3개월간 病中에 돌맹이 가튼(카이서르 萬歲라 印찍힌) 빵떡과 물로 無雙의 苦悶을 맛보며 지내신 일이 잇셧다 함니다. 당시의 德國內 排日熱은 극도에 달하야 背信無德한 일본민족은 人類社會 範圍 外로 驅逐허라는 때 임니다. 街路에서 모욕당하고 학교강당에서 逐出 당하며 상점에서 요리점에서 도서관에서 심지어 私家에서 「교활한 얍스(스쨉)!」란 말로 人事 바들 때임니다. 그러면 金重世氏는 언제나 무사히 출옥되야 德國國境을 떠나게＜79＞ 되겟슴닛가. 허나 이러한 경우에 氏의 가치를 얼마콤 窺觀헐 수 잇함니다. 伯林大學學士院長 以下 모든 교수 모든 碩學의 간청과 文部大臣의 긴급한 照會로 「카이서르」의 親令을 依하야 무사히 출옥된 후 도처에 優待를 밧게 되얏슴니다. 朝鮮이라면 지구상 어느 구셕에 잇는지도 자셰히 모르는 德國에서 開城선비 金重世氏를 엇재 이다지 優待함닛가.
1921년에 「라앞지희」市에 소위 「東洋學者」大會가 개최되얏음니다. 東洋人 學者라는 뜻이 아니라 東洋文化를 연구하며 일생을 보내는 學者라는 뜻임니다. 그네들은 東洋文化를 우리 東洋사람보다 더욱 열성으로 연구하야 花之安 任洛志 졸리앙 쇔폴리옹 빌헴 등의 大學者를 産出함니다. 이러한 세계적 대학자의 業을 계승하는 各國 學者의 대회인 고로 나는 德國 遊覽 兼 瑞西서 일브러 「라잎지희」까지 가서 다행히 傍聽認許를 엇게 되얏슴니다. 文部大臣이 開會辭를 하게 되얏슴니다. 지금 회상하건댄 대개 이러헌 뜻으로 말하얏슴니다. 世界戰爭을 因하야 學術界까지 분열되얏더니 오날 다시 한 번 德國內에서 이처럼 會合된 것은 德民族이 光榮으로 아는 바이다. 東亞에서도 印度와 日本을 대표하는 학자가 출석한 것은 一般히 환영하는 바이다. 「특히 우리 德國 東洋學界가 敬愛허는 朝鮮서 오신 金重世氏도 출석허신 것은 깃브게 아는 바이다...」라는 말을 듯고 氏의 출석하심도 알게 되얏거니와 德國 東洋學界에서 얼마나 명성이 자자한지도 알엇슴니다. 나는 그때 생각하기를 영웅이라야 능히 영웅을 알고 학자라야 능히 학자를 알 것이면 학자가 아닌 나는 氏의 人格 才能 價値를 도저히 모르겟다. 그러나 명성이 이만하면 몰라도 大學者라 認定치 아니치 못하겟다 하얏음니다.
氏의 인격과 재능에 대한 나의 인상은 극히 불완전할 듯 함니다. 그러나 소극적 방면을 말하자면 氏는 결코 自然科學者도 아니며 소위 社會的 科學者도 아님니다. 氏의 獨逸留學 목적이 歐洲現代文明을 연구함에 잇지안코 세계문화의 기초인 中國, 印度, 波斯, 希臘, 羅馬의 古代文明을 비교적으로 연구함에 잇슴니다. 氏의 博士學位論文도 이 문제에 대헌 것인데 早晩 德國서 발행된다 함니다. 그래서 英法德은 물론 羅典語 古代希臘語 심지어 梵語까지 능통하시는데 漢文 日文 朝鮮文을 加하면 氏는 9개의 語로 讀書하시며 現今은 普魯斯國의 官俸을 밧고 伯林大學學士院 「協力員」의 지위로 著作에 종사하시니 즉 梵語辭林임니다. 佛敎硏究에 不可無할 중국의 佛敎書類 중에 중국화된 梵語를 蒐集헌 후 漢譯과 德譯을 添附하고 우리 朝鮮文으로 발음을 표하야 작성되는 前無허든 著書임니다. 완성후 氏의 名義로 該學士院이 발행하기로 결정하얏다 함니다.
氏의 인격에 대하야는 一言으로 蔽之하면 靜穩한 學者임니다. 世俗的 쾌락과 生活市場의 고민을 초월하야 靜觀과 黙想으로 세월을 보내는 선비임니다. 그럿타고 深篤한 宗敎的 生活을 요구허는 열정적 인물도 아님니다. 그이의 요구허는 바는 靜穩한 學者의 生活임니다. 多方面으로 발견된 眞理를 綜合하야 一大軆系를 조직하고 新宇宙觀 新人生觀을 唱導하야 科學界와 思想界에 一大 혁명을 니르킬 기분을 가진 學者라는 것보다 古代哲學解釋에 취미를 有헌 尙古的 學者입니다.＜80＞
＜79-80＞
