잡지명	삼천리 제17호
발행일	1931년 07월 01일
기사제목	金剛山 菴子속의 悲戀의 虛無主義的 女性哀話(二), 사랑을 이른 그는 最愛의 갓난 아해를 안고 산에서 산으로 장차 어대로 헤매려는가 (A Nihilistic Woman's Sad Tale of Tragic Love in a Kŭmgangsan Hermitage (Part 2), Having Lost Love, Where Will She Wander From Mountain to Mountain, Holding Her Beloved Newborn Child?)
필자	朴玉蓮
기사형태	회고·수기 (Memoir/Personal Account)

Did you see the young woman, Pak Sŏngok, leaning against the stone wall of Chŏngdong Ihwa Women's College (이화녀자전문학교), holding a small child and sobbing on the night of April 17th, when the moonlight quietly covered the ten thousand houses of the capital? The night seemed quite deep, and the tail of the Big Dipper had already tilted towards Kyŏngbok Palace. Amidst this desolate silence of the universe, Ms. Pak, having escaped Kŭmgangsan, had arrived alone under the stone wall of her alma mater, where she spent her girlhood like a flower, weeping as if her heart would break.

She had come to Sŏul searching for her lover, Monk P, who was said to have fled there, but it was like searching for a reed leaf floating on the vast sea; how could she know which corner of this wide, wide capital city he was tucked away in? She searched Buddhist organizations like Punhwangsa (분황사) and the Pulgyo Chungmiwŏn (불교중미원), but perhaps thinking it strange for a young woman to be looking for a monk, she found no trace of him.

After searching for over ten days without even spotting his shadow, only despair, as if the entire world was collapsing, pressed down on her heart. Surely, she had old classmates in Sŏul who were daughters of prestigious families. But anyone seeing Pak Sŏngok, unmarried and with a young child, would curse her as a prostitute (매음부). Even the kind Western ladies at the school would surely spit and turn away upon seeing her appearance holding an illegitimate child (私生兒). Where could Ms. Pak finally go to entrust her weary life, having lost her lover and with a newborn baby?

She slumped down at the foot of the stone wall and called out for her father who had gone to Sanghae (Shanghai), called out for her only older brother who was said to have become a pilot officer in Rosŏa (Russia), and then called out for her mother who had departed this world years ago without even anyone to close her eyes.

But thinking about this and that only brought more sorrow welling up, and finally, she just sat on the ground, clawing at the earth with her ten fingers and weeping.

Soon, the baby would wake up crying for milk. What had Pak Sŏngok decided? After weeping for a while, she ground her teeth and abruptly stood up. But by then, the child was no longer in her arms, and the traces of tears were wiped from her eyes.

She intended to abandon the child and escape her lonely self far, far away to Miguk (America). Since it was the Chŏngdong alley, even though it was late at night, many Westerners returning from dances would pass by, and perhaps one would pick up the small child. If not, perhaps a Western woman from her alma mater or that Western lady might find and take the child while doing dormitory rounds. That was why she chose this place to abandon the child.<86>

Pak Sŏngok finally dashed down the alley where the Russian consulate was located, as if chased by something. Clenching her two fists, wrapping her skirt tightly around her—behind her, only the thudding footsteps of a young woman echoed in the night sky. However, a little later, inside the last streetcar with blue lights passing Sŏdaemun Gate, we could once again discover Ms. Pak Sŏngok holding her newborn child. Her feet simply wouldn't carry her away; she had gone as far as the front of the Catholic church (가트릭성교당) and turned back again, now heading to an inn, holding the child she had abandoned.

**With Great Resolve, Back to Kŭmgangsan**

"Can't I live without a lover?"
"That fickle and heartless P!"

She vowed to live again. But while the words were easy, how would she actually live? Should she become a nursery governess in some countryside kindergarten? Or a missionary woman for some church? Or else, a teacher at a rural elementary school?

No. She turned her head away from all those ideas.

When the maple leaves were turning crimson at the entrance to Kŭmgangsan in autumn, Ms. Pak returned to Kŭmgangsan after six months, holding her young child. She came and built a small house in some mountain valley below the Pirobong peak, about a hundred *ri* away from the former Temple B (B寺). Just as a swallow returning from south of the river flies from bank to bank, gathering a grain of mud or a twig to build its nest, she gathered wood and thatch, one or two pieces at a time, and fashioned what could pass for a house. At first, she gathered wild fruits to get by morning and evening, but later she went down to the entrance of Kŭmgangsan to secure provisions and spent the winter.

The following spring, like the slash-and-burn farmers (*hwajŏnmin*, 火田民) of Hamgyŏngdo or Kangwŏndo tilling their fields, she set fire to the patch in front, dug the earth, planted potatoes and grains, and also planted pumpkins and cabbage according to the season, cultivating her own year's supply of food. Since it was just enough food for one family for a year, how much could it have been? But how astonishing it was that she, a 'New Woman' with delicate hands (纖纖玉手), obtained her own food from the land she herself cleared!

Having thus built her nest for living, Ms. Pak then completely cut off ties with the human world.

Since it was already a deep and high mountain valley within Kŭmgangsan, few people visited, and she herself never went seeking others.

She grew weary of all people in the world. She was sick of people in this world who say they love when they don't, who say they are happy when they aren't, who pursue bubble-like status, gold, and power.

Deceiving, stealing, suppressing—Ah, what is human love? What are the peaceful morals and laws (律法) of society?

Getting sick, then dying, and after death, grass grows on the grave, birds sing, clouds float by, and that's it. What is eternity? What is eternal happiness?

Ms. Pak regarded raising her young child well as her divine duty (天職) and, after cutting off all contact with humans, strove to cleanly wash away the sad and painful thoughts of the past.

As a result, she succeeded, and from the following year, she was able to give up everything and instead spend each day with a happy heart.

**Meeting a Painter Couple and Discussing Her View of Life**

Four years ago from now, during a terribly hot summer month of July, Kŭmgangsan began to be filled with summer vacationers. Among them, a young man named M, attending the Tokyo Fine Arts School (東京美術學校), came to Kŭmgangsan for the summer with his fiancée, a student from a certain girls' school in Sŏul. They were staying at Temple B (B寺), where Ms. Pak and Monk P had met, but finding the temple, being part of the human world, noisy and bothersome, the two discovered a small, empty hermitage below Pirobong and spent the summer there.

At that time, the young painter (青年畵家), carrying his canvas, was wandering here and there one day in search of scenic rocks and water when he happened upon a small house below a mountain peak. Finding it strange, he went inside and saw a young maiden (處女) sitting alone, breastfeeding a child about three or four years old, it is said. Extremely surprised, he asked why she was there all alone like this, and the young woman replied with one phrase,

"Because this is happiness,"

and immediately turned away, they say. It was, of course, Ms. Pak.

Around Ms. Pak's house, weeds left to grow wild were piled up thickly enough to block a person's height,<87> but only to the east was a single-file path cleared, it is said. The young man, finding it very peculiar, followed the path and saw a thin stream, perhaps a branch of the Kuryongyŏn Waterfall (九龍淵 瀑布), trickling by. Seeing grains of barley scattered along the stream bank, it seemed to be the path she took morning and evening to wash rice. And in the grassy field by the stream, a jade-colored ramie skirt was hung out to dry, it is said.

Perhaps it was something she wore during her former schoolgirl days. On his second visit with his wife, Ms. Pak showed the M painter couple (畵家夫婦) her mountain diary (山中의 日記) and smiled quietly, it is said. It seems she hadn't forgotten to write in her diary every day even after entering the mountains. Like the diary of Germany's exhilarating, world-defying philosopher Nietzsche (니이체), in his "Look at Me" autobiography (自叙傳), Ms. Pak's diary was also quite revealing (赤裸裸), each character filled with resentment towards this world, cursing love, falsehood, and power, startling the young couple, it is said.

**Is She To Rot Away in These Mountains?**

One autumn, an unexplained wildfire broke out below Pirobong, burning a large part of the mountain valley. The monks at the nearby temple, who were guarding against mountain fires (山火災), were greatly alarmed. While searching for the person who started the fire, they discovered the hermitage and its owner, the woman. Young monks went to find Ms. Pak, intending to arrest her and take her to the temple.

At that time, Ms. Pak said, "I did not start the fire. If there were anything in the world I desired (慾心), perhaps I might start a fire, but since there isn't a speck of dust that I want to possess or do, what reason would I have to start a fire?" and refused to accompany them. After much difficulty, when the monks tried to grab her by the arm sleeve and drag her away, Ms. Pak became greatly angered and shouted,

"You filthy brats, laying hands on a woman!"

Then she pulled out a roof rafter pole and beat the monks severely, it is said. The beaten monks fled right away.

Ms. Pak, even now, goes to the mountains daily to gather wood, and farms in the autumn and spring. Although she is a woman before thirty, she is said to have become remarkably strong.

It seems she felt the need to possess sufficient physical strength to repel all external enemies while living a single life (獨身生活), and thus trained her strength.

The wildfire incident (山火災事件) thus came to a close (一段落).

Ms. Pak, who has been in the mountains for eight years now, according to rumors (風雪) flowing out of Kŭmgangsan these days, has been engrossed in reading ideological books (思想書젹) for the past couple of years. Her fatherless child's name (일홈) is Pongnam—Pongnam is already eight years old and is now said to be a good conversation partner for his mother.

What will become of the future of this nihilist (니흐리스트), living alone in the deep mountain valley, immersed in the nihilism of a lonely mother and child's life (살님)? We promise not to forget to report on her circumstances five or ten years later, and for now (위선), lay down our pen here.<92>

**Summary**

This article recounts the story of Pak Sŏngok, an educated Korean woman in 1931 who, after being abandoned by her lover, a monk named P, with their newborn child, initially contemplates abandoning the baby in Sŏul. However, she changes her mind and retreats to the remote Kŭmgangsan mountains. There, she builds a solitary life, raising her son Pongnam, becoming self-sufficient through farming, and adopting a nihilistic worldview, rejecting society and finding happiness in isolation. The narrative highlights her resilience, strength, encounters with outsiders (a painter couple, monks), and her intellectual engagement through reading. For historians, this article offers a poignant glimpse into the challenges faced by 'New Women' in colonial Korea, societal attitudes towards illegitimacy, the appeal of escapism into nature (Kŭmgangsan as a refuge), the adoption of Western philosophical ideas like nihilism in a colonial context, and the blend of traditional survival (slash-and-burn farming) with modern disillusionment.

**Named Entities**

金剛山	금강산	Kŭmgangsan
그는 아해를 버리고 외로운 몸을 멀니멀니 미국에 달어나러 하엿슴니다. 정동골목이매 비록 밤이 느젓다 할지라도 무도회에서 도라오는 서양사람들이 만히 지나다닐 것이매 어린 아해를 주서가 줄것이오 그러치 안으면 모교의 서양녀자나 그 서양부인이 긔숙사 순찰을 나왓다가 또한 거두어 갈는지 모름니다. 그래서 이곳을 택하여 아해를 버리려함이엇슴니다.<86>
박성옥양은 마츰내 무엇에 쪼기는드시 로서아 령사관잇는 골목으로 줄다름질을 첫슴니다. 두 주먹을 부르쥐고 초마자락을 휘어 감고- 그뒤에는 쿵쿵하고 젊은 녀자의 발자치소리 밤하늘을 울닐뿐 그러나 조금 잇다가 서대문을 지나든 푸른 등불 단 마즈막 전차속에는 갓난 아해를 안은 박성희양을 우리는 또다시 발견할 수가 잇섯슴니다. 그는 참아 발길이 돌아지를 안어서 가트릭성교당 압까지 왓다가 다시 도라서 버렷든 그 아해를 안고 려관으로 이제 차저가는 길이로소이다.

큰 결심을 품고 다시 금강산으로

「애인이 업스면 못사나?」
「그까짓 경박하고 몰인정한 P!」
그는 다시 살기를 맹세하엿슴니다. 그러나 말은 쉬우나 장차 엇더케 살것이오리까. 어느 시골 유치원 보모로 갈가요 어느 교회의 전도부인으로 갈가요 그러치 안으면 시골 소학교의 선생으로 갈가요.
아니올시다. 그는 모다 골을 돌니엇슴니다.
금강산 동구에 어느새 단풍입이 빨가케 물드릴 때 박양은 어린 아해를 안고 도로 여섯달만에 금강산으로 왓슴니다. 와서 넷날의 B寺와는 거리가 백여리나 되는 비로봉턱아래 엇든 산골작이 속에 집 한채를 지어노앗슴니다. 마치 江南서 도라온 제비가 이강변 저강변으로 도라다니면서 흙한알 나무한대씩 물어다가 둥주리를 틀드시 나무와 봇을 한두개씩 어더다가 명색 집이라고 조고마케 틀어노코 처음에는 산열매를 따다가 아츰저녁 끼니를 에우다가 나종에는 금강산 동구에 나아가 량식을 작만하여 드리어 두고 그 해를 지낫슴니다.
그이듬해 봄에는 함경도나 강원도의 산골 화전민(火田民)이 밧흘 일드시 그 압장태에 불을 질너 땅을 파고 감자와 곡식도 심으고 철차저 호박이나 배추도 심어 스사로 일년농량을 지엇슴니다. 겨우 한식구가 먹는 일년농량이니 그야 얼마나 되리까만은 섬섬옥수를 가진 신녀성인 그가 제 량식을 제가 개척한 땅에서 어더드린다는 것이 엇더케나 놀나운 일이오리까?
이러케 생활의 둥주리를 지어노은 朴孃은 그제부터는 인간세상과 아조 교섭을 끈엇슴니다.
원악 금강산중에도 깁흐고 놉흔 산골작속이매 차저오는 사람도 별로 업거니와 스사로 차저가는 법도 또한 업섯슴니다.
그는 세상사람이 모다 실혓슴니다. 사랑하지 안으면서 사랑한다하고 깁부지 안으면서 깁부다 하며 물거품가튼 지위 황금권력을 따르는 이 세상 인간들이 모다 실혓슴니다.
속히고 빼앗고 내리누르고- 아 무엇이 인류의 사랑일고 무엇이 사회의 평화한 도덕과 률법일고?
병들고 그러고 죽고 죽은 뒤에 그 무덤우에는 풀이 나고 새가 울고 구름이 뜨고 그뿐이지요. 무엇이 영원일고 무엇이 영원의 행복일고?
朴孃은 오직 어린 것을 잘 키우기를 天職으로 삼고 일체 인간과 교섭을 끈은 뒤에 이전날 슬푸고 괴롭든 생각을 깨긋히 씨처버리기에 노력하엿슴니다.
그 걸과 그는 성공하여 이듬해부터는 모든 것을 단념하고 도로혀 행복한 마음을 가지고 그날그날을 보낼수 잇섯슴니다.

畵家夫妻를 맛나 人生觀을 말해

지금부터 사년전 몹시도 덥든 여름철 칠월 금강산에는 피서객들이 쓸니기 시작하엿슴니다. 이 속에 東京美術學校에 다니는 M이라는 청년이 약혼한 서울 어느 녀학교 학생을 다리고 금강산으로 피서를 왓섯슴니다. 그래서 朴孃과 P道僧이 맛나든 B寺에 류하고 잇다가 절간도 인간세상이라 식그럽고 성가시어 둘은 비로봉아래 엇든 비어잇는 조고마한 암자를 발견하고 거기에서 한 녀름을 난일이 잇슴니다.
그때 靑年畵家는 「칸바스」를 걸머메고 하로는 경치조흔 水石을 차저 이리저리 다니다가 마츰 산봉오리 아래에서 엇든 조고마한 집을 발견하고 이상하여서 차저드러 갓드니 엇든 젊은 處女가 혼자 안저서 서너살 먹은 아해에게 젓을 먹이고 잇더라 함니다. 너무도 놀나워서 엇재서 이러케 혼자 잇느냐니까 그 젊은 女人은
「이것이 행복스러우니까」
한마듸를 하고 이내 도라안더라 함니다. 그가 朴孃인 것은 물론이엇슴니다.
朴孃의 집좌우에는 제자랄때로 그냥 내버려둔 풀이 사람의 키를 막을만치 드북하게<87> 쌰여잇는데 다만 동쪽으로 한사람이 지나다닐만한 외골수길이 틔어 잇더라함니다. 청년은 하도 이상하여서 그길을 따라 가보앗더니 거기에는 九龍淵 瀑布의 한가달물인지 가는 실개천이 졸졸 흘으고 잇는데 천변에는 보리알들이 흘너잇는 것을 보건대 아마 아츰나주 쌀시츠러 단녓든 길인 듯 그리고 천변풀밧헤는 옥색모시 치마한벌이 빨아널렷더라 함니다.
아마 녜전 녀학생시대에 입는 것인 듯 두 번재로 안해를 다리고 방문갓슬때에 이 M畵家夫婦에게 朴孃은 그동안 山中의 日記를 내어 보이며 고요히 웃더라 함니다. 그는 山中에 드러가서도 날마다 날마다 日記하기를 잇지안엇든 듯 獨逸의 痛快한 壓世哲學者 니이체의 「날보아라」의 自叙傳모양으로 朴孃의 日記도 꽤 赤裸裸하게 글자마다 이 세상을 원망하며 사랑과 허위와 권력을 저주하는 글구가 가득 차서 두 젊은이를 놀내이게 하더라함니다.

그는 장차 이 산중에서 썩으려는가

한해 가을에 비로봉아래에서 까닭모를 산불이 나서 산골을 만히 태운 일이 잇슴니다. 山火災를 경계하든 그곳 절간에서는 크게 놀라 불노흔 사람을 수색하는 나머지에 그곳 암자를 발견하고 그 암자 임자인 그 녀자를 절간까지 잡아갈려고 젊은 중들이 朴孃을 차저간 일이 잇섯슴니다.
그때 박孃은 「나는 불을 노흔 일이 업노라. 세상에 무엇이고 慾心나는 것이 잇다면 或 불도 노켓스나 이미 내가 가지고 십고 또 하고십흔 것이라고는 몬지 하나 업는 이상 내가 불을 노흘 까닭이 잇겟는가」하면서 同行을 거절하엿슴니다. 중들은 훨난하든 끗헤 그녀자의 팔사매를 붓잡고 끄을고 가려할 때에 朴孃은 크게 노하야
「이 더러운 녀석 녀자에게 손올 대이다니」
그러고는 석가래 한 개비를 뽑아 중들을 죽도록 패어 주엇담니다. 어더마즌 중은 그길로 도망하엿슴니다.
朴孃은 지금도 날마다 산에 가서 나무도 하고 가을봄인면 농사도 지으며 비록 삼십이전의 녀자이지만은 그는 긔운도 무척 세게 되엇다함니다.
그는 독신생활을 함에는 모든 외래의 적을 물닐칠만한 완력을 가저야 한다는 것을 늣기엇든 모양으로 긔운을 길는듯함니다.
山火災事件은 이것으로 一段落을 지엇슴니다.

산으로 드러간지 팔년이나 되는 朴孃은 이지음 금강산으로부터 흘너나오는 풍설에 의하면 작금량년에는 사상서젹을 독파하는 중이라든가 아버지 업는 그 어린아해 일홈은 봉남- 봉남이도 벌서 여덜살이 되어서 이제는 어머니의 조흔 말동무가 되어잇다 한다.
외로운 모자의 살님 허무주의 속에 잠기어 심심산골 속에서 혼자 지내는 이 니흐리스트의 장래는 엇더케 될가. 우리는 오년 후 십년 후의 그의 사정을 소개하기를 잇지말기를 約束하고 위선 여기에서 붓을 거둠니다.<92>
<86-87, 92>
