Magazine Title: 삼천리 제17호
Publication Date: 1931년 07월 01일 (July 1, 1931)
Article Title: 重大事件의 發覺端緖, 羅錫疇의 臨終 (Clues to the Discovery of a Major Incident, The Last Moments of Na Sŏkchu)
Author: M新聞 金乙漢 (Kim Ŭrhan, M Newspaper)
Article Type: 회고·수기 (Memoir/Recollection)

Clues to the Discovery of a Major Incident, The Last Moments of Na Sŏkchu
						Kim Ŭrhan, M Newspaper

"What? Threw a bomb at the Siksan Bank and fired a pistol wildly at the Oriental Development Company? It's happened, it's happened!"

It was already the afternoon of a cold day in late December, Taishō 15 (1926). I had gone to the Chongno Police Station wondering if there might be any news material, and just as I was about to enter the Chief's office, the large face of Chief M, who was receiving a phone call about something, suddenly turned pale blue, and he kept shouting, "It's happened, it's happened!"

Siksan Bank - Bomb - Oriental Development Company - Pistol

Of course, I didn't know the details of the incident, but just from these few fragmentary words, I intuitively sensed that something unusual had broken out. Startled, I couldn't even enter the Chief's office and was just observing the situation from outside. The head of the Higher Section (高等係) and other officers of assistant inspector rank and above successively gathered in the Chief's office. After a few minutes of secret talks, a force of 70-80 plainclothes and uniformed policemen rushed out into the Chongno intersection in an instant and ran like arrows towards Hwanggeumjŏng Street.

At that time, I was a newly debuted reporter and didn't really know what was what, but I had a premonition that some major incident had occurred, so I immediately followed them.

When I arrived at the Hwanggeumjŏng intersection, traffic was already blocked. Besides the streetcars barely managing to come and go, the movement of people and horses was completely paralyzed. Piercing through the iron cordon of several hundred policemen encircling the area, I managed to set foot in the Oriental Development Company (東拓). Here and there, fresh blood was dripping (鮮血이 淋灕하야), and the smell of blood stung my nose<67>, making my heart pound without realizing it, as if a stout man with a pistol might jump out and start shooting wildly at any moment.

According to the stories of reporters from various newspaper companies who had already arrived before me, the bomb thrown at the Siksan Bank (殖銀) hadn't detonated, so there was no issue there. However, at the Oriental Development Company, because a pistol was fired indiscriminately, a total of three people were shot and died instantly: a clock shop employee who came to sell goods to the company, a police inspector who happened to be passing nearby, and a guard who was posted at the back gate. A high-ranking engineer from the Oriental Development Company who was in the second-floor office was shot in the side and was in critical condition. The perpetrator himself, after shooting the guard and running out the back gate, seemed to have realized that the situation was hopeless. Before being caught by the police squad, he shot himself with his pistol. However, since a thread-like breath of life still remained, he had been taken to the Government-General Hospital just a moment ago.

That day's extra editions and evening newspapers were filled entirely with this bloody tragedy. When I went back to the company in the evening, Editor H called me into a separate room and discreetly made a request.

"Today's extra and newspaper are decent enough not to be too embarrassing. But there's one issue: finding out the identity of the culprit. What has been confirmed so far is only this: some 'terrorist,' likely from overseas, engaged in direct action, and when things went wrong, he shot himself with a pistol. Is there anything more? So now, quickly finding out precisely who he is and which overseas organization (海外 어느 團體) he belongs to is the urgent task. It's the mission of a front-line reporter. Therefore, Mr. Kim, somehow you must investigate this tonight and report the details in tomorrow's morning edition, even if it's late..."

A newspaper's editor-in-chief is the same as an army's commanding officer. Who could refuse such an order? I had no choice but to immediately rush to the Government-General Hospital.

The Government-General Hospital, on a night with white snow falling thick and fast (白雪이 粉粉한 밤), was guarded by armed policemen holding lanterns here and there, making it extraordinarily tense, quite different from usual. After inquiring around, it seemed that every policeman deemed knowledgeable about Korea's ideological movements was gathered there, from the Kyŏnggi Province Higher Section Chief down to the chiefs of all city police stations, including Inspector M and Assistant Inspector K. The surgery on the perpetrator was to be performed by Dr. P, the most famous surgeon at the Government-General Hospital. However, the perpetrator's injuries were originally severe, and they were barely sustaining his life脈 (命脈) with camphor injections.

Dozens of stern-faced policemen stood guard outside the door, so entering the operating room was impossible. Nevertheless, hoping to hear something he said, I requested meetings with the Higher Section Chief and the Chongno Police Chief, but they wouldn't meet me at all.

Thus, having no other choice, I stood shivering near the cafeteria, quite far from the hospital entrance, pulling up my overcoat collar for about three hours. Around midnight, the police cordon, which had been like an iron fortress (鐵瓮城), began to disperse one by one. Soon, the Higher Section Chief and the various station chiefs emerged in a group. As soon as they saw me, without giving me a chance to say a word, they hurriedly got into cars and drove off somewhere.

Like a dog that chased a chicken only to stare at the roof, I was dumbfounded at having lost them. Although I felt immense disappointment for a moment, I thought of another plan and sent my business card in to Dr. P. This, of course, stemmed from the vague speculation that Dr. P, having attended the surgery, might know the perpetrator's identity. Scientists are generally honest people. Dr. P met me immediately. Although he repeatedly cautioned me not to publish his words in the newspaper due to warnings from the authorities (當局), he truthfully recounted the events that transpired in the operating room. The joy I felt then, when my last-resort plan succeeded splendidly – what could compare to it? Suppressing my pounding heart, I listened intently to Dr. P's words, trying not to miss a single word or phrase.

When the perpetrator was brought into the hospital on a stretcher, he was bleeding profusely from two places where bullets had lodged (in the stomach and chest), and his breathing was indeed faint (氣息이<68> 奄奄하엿다). However, they first administered injections to stop the bleeding and gave saline injections once per minute, which barely kept him breathing. The Higher Section Chief and dozens of policemen who followed rushed in, surrounded the bed where the perpetrator lay, and began a bedside interrogation. Given the perpetrator's condition at the time, he certainly lacked the strength to endure such questioning, but the police authorities' (警察 當局) stance was to at least find out the perpetrator's identity, as he would inevitably die soon. Since the incident had struck like a bolt from the blue (靑天의 霹靂), Inspector M of the Chongno Police Station, who had selected about ten names of individuals likely to commit such an act from the extensive list of persons under surveillance (要視察人 名簿) overseas, began the bedside interrogation in the presence of numerous superior officers.

Inspector M (looking at the list of persons under surveillance): Aren't you Yi XX, who came from the XX group in Shanghai?
Perpetrator (eyes closed, lying down): No.
Inspector M: Then are you Kim XX from Manchuria?
Perpetrator (As before): No.
Inspector M: Then are you Ch'oe XX from Vladivostok (우라지오)?
Perpetrator: No.

At this point, as the perpetrator's pulse weakened, dozens more saline injections were administered. Still, about twenty more names were called out, but the perpetrator consistently denied them all. Then, an infuriated Inspector M shouted fiercely,
"Then aren't you Na Sŏkchu from the Shanghai Ŭiyŏldan (上海義烈團)?"
Only then did the perpetrator reply in a low but firm voice,
"That's right!"
Regarding the question, "Are there any accomplices?" he insisted until the very end,
"There are no accomplices. It was solely my individual act."
He clearly stated this, then said that a dying person should just die quickly. As they tried to administer more saline injections to hear even one more word, he steadfastly refused, even in his hazy consciousness (意識이 朦朧한 中). Saying nothing other than "I am Na. There are no accomplices," he finally passed away shortly thereafter without much apparent suffering.

From Dr. P's story, I learned that the perpetrator's name was Na Sŏkchu, and consequently, I came to know the details of his final moments almost as if I had witnessed them myself.
However, reporting on this incident was banned that very night, so the so-called scoop I had painstakingly obtained could not be published in the next day's morning edition. Only after the ban was lifted quite some time later was I finally able to report the details in the newspaper. But thinking back, this too has already become an old story from seven years ago. (To be continued with another incident in the next issue) <69>

**Summary**

This memoir by journalist Kim Ŭrhan recounts his experience covering the immediate aftermath of Na Sŏkchu's 1926 attack on the Chosŏn Siksan Bank and the Oriental Development Company in Seoul. He describes the chaotic scene, the police response, and his efforts as a young reporter to identify the attacker. Despite intense police secrecy and being stonewalled by officials at the hospital where the mortally wounded Na Sŏkchu was taken, Kim managed to get a detailed account of Na's final interrogation and deathbed confirmation of his identity ("I am Na [Sŏkchu]... There are no accomplices") by interviewing the attending surgeon, Dr. P. The article highlights the tension between the press and colonial authorities, the determined resistance of Korean activists like Na Sŏkchu, and the challenges reporters faced under censorship. Historians might find this piece valuable for its first-hand perspective on a significant anti-colonial event, the specific details of Na Sŏkchu's final moments as relayed by the surgeon, the police methods (using lists of suspects, bedside interrogations), and the dynamics of news gathering and suppression in colonial Korea.

**Named Entities**

M新聞	엠신문	M Newspaper
名啣	명함	Business card (older term)
들여보내엿다	들여보내었다	Sent in (older spelling)
立會한	입회한	Attended, was present at
알 수 업스리라는	알 수 없으리라는	That one might not know (older spelling '업스리라')
漠然한 推測	막연한 추측	Vague speculation
울어나온 것	우러나온 것	Stemmed from, originated from
科學者	과학자	Scientist
純直한	순직한	Honest, straightforward
引見한	인견한	Met with, granted an audience
當局	당국	The authorities
警告	경고	Warning
내이여서는 안이 된다는	내어서는 아니 된다는	That one must not publish (older spelling/form)
련방 付托하면서도	연방 부탁하면서도	While repeatedly requesting (older spelling '련방')
前後의 光景	전후의 광경	The sequence of events, the scene before and after
如實히	여실히	Truthfully, accurately
해주엇다	해주었다	Told me (older spelling)
窮餘의 一策	궁여지책	Last resort, measure of desperation
훌융하게	훌륭하게	Splendidly, excellently
的中된	적중된	Hit the mark, succeeded
깃붐	기쁨	Joy (older spelling)
잇스리요	있으리요	Could there be? (rhetorical, older spelling)
억제하면서	억제하면서	Suppressing, controlling
一言一句	일언일구	Every single word and phrase
빠치지 안으려고	빠뜨리지 않으려고	Trying not to omit (older spelling '빠치지', '안으려고')
귀를 기우렷다	귀를 기울였다	Listened attentively (older spelling '기우렷다')
들것	들것	Stretcher
담겨서	담겨서	Being carried in/on
出血	출혈	Bleeding
甚하야	심하여	Being severe (older spelling)
氣息이 奄奄하엿다	기식이 엄엄하였다	Breathing was faint (Hanja term 奄奄)
出血防止注射	출혈방지주사	Hemostatic injection (injection to stop bleeding)
食鹽注射	식염주사	Saline injection
숨만은 부터잇섯는데	숨만은 붙어있었는데	Only breathing remained/was attached (older spelling)
뒤를 따라 우 몰려온	뒤를 따라 우 몰려온	Who surged in following behind
寢臺	침대	Bed
둘너싸고	둘러싸고	Surrounding (older spelling)
臨床訊問	임상신문	Bedside interrogation
容態	용태	Condition (of a patient)
바들 만한	받을 만한	Worthy of receiving (older spelling)
氣力	기력	Strength, energy
업섯지만은	없었지만은	Although there wasn't (older spelling)
結局	결국	Eventually, in the end
未久에	미구에	Shortly, soon
主張이엇다	주장이었다	Was the assertion/stance (older spelling)
靑天의 霹靂	청천벽력	Bolt from the blue (sudden disaster)
以來로	이래로	Since
要視察人	요시찰인	Person under surveillance
名簿	명부	List, register
저줄음즉한	저지를 만한	Likely to commit (older spelling)
뽑아 내인	뽑아낸	Selected, picked out (older spelling)
上官	상관	Superior officer
立會한 가운데	입회한 가운데	In the presence of
악에 밧친	악에 받친	Infuriated, choked with anger (older spelling '밧친')
그러타	그렇다	That's right (older spelling)
나즉하나	나직하나	Low but... (older spelling)
힘굿세인	힘굳센	Strong, firm (older spelling)
語聲	어성	Tone of voice
共犯	공범	Accomplice
끗까지	끝까지	Until the end (older spelling)
斷獨的 行動	단독적 행동	Individual action
明白히	명백히	Clearly
主張한 後	주장한 후	After asserting
말한마듸라도	말 한마디라도	Even one word (older spelling '마듸')
意識이 朦朧한 中	의식이 몽롱한 중	While consciousness was hazy (Hanja term 朦朧)
如一하게	여일하게	Consistently, uniformly
頑强히	완강히	Stubbornly, obstinately
말박게는	말밖에는	Other than the words... (older spelling)
입을 열지 아니하다가	입을 열지 아니하다가	Did not open his mouth, and then... (older negative form)
苦悶하는 빗	고민하는 빛	Sign of suffering/anguish
絶命되엿다	절명되었다	Passed away, died (older spelling)
아럿고	알았고	Knew, and... (older spelling)
따러서	따라서	Consequently, therefore (older spelling)
仔細히	자세히	In detail
揭載禁止	게재금지	Publication ban
모처럼 어든	모처럼 얻은	Painstakingly obtained (older spelling '어든')
特種	특종	Scoop, exclusive news
이튼날	이튿날	The next day (older spelling)
실지를 못하고	싣지를 못하고	Could not publish (older spelling '실지')
解禁	해금	Lifting of a ban
비로소	비로소	Only then, for the first time
報導하엿다	보도하였다	Reported (older spelling)
녯일	옛일	Old story, thing of the past (older spelling)
말엇다	말았다	Ended up being, became (older spelling)
以下次號에	이하 차호에	Below, in the next issue
繼續	계속	Continuation


---------------------------


잡지명	삼천리 제17호
발행일	1931년 07월 01일
기사제목	重大事件의 發覺端緖, 羅錫疇의 臨終
필자	M新聞 金乙漢
기사형태	회고·수기

重大事件의 發覺端緖, 羅錫疇의 臨終
						M新聞 金乙漢
『무엇? 殖銀에 爆彈을 던지고 東拓에서 拳銃을 亂射한다고 그것 탈- 탈낫고나』
벌서 지난 大正 15년 12월下旬- 어느 치운 날 午後의 일이엿다. 혹시 무슨 新聞材料나 업나하고 鍾路署에를 갓다가 막 署長室에 들어가려니까 무슨 電話인지 電話를 밧고 잇던 M署長의 커다런 얼골이 갑잡이 파라케 질리며 그것 탈- 탈낫고나! 소리를 연방지르고 잇다.
殖銀- 爆彈- 東拓- 拳銃
勿論 事件의 內容은 잘 몰낫지 만은 이 몃가지 斷片的 對話만을 가지고도 어떠한 尋常치 안은 일이 突發하엿슴을 直覺한 나는 하도 唐慌히 서드는 바람에 署長室에는 채 드러가지도 못하고 다만 밧게서 그 動靜을 살피고 잇노라니까 高等係 主任 以下 警部補 以上의 幹部級이 陸續 署長室로 모혀 들더니 密談數分에- 7,80名이나 되는 正私服警官隊가 삽時間에 鍾路네거리로 뛰여나와 쏜살가치 黃金町通으로 다러난다.
當時의 나는 新出記者이라 무엇이 무엇인지 영문조차도 잘 몰낫지만은 엇잿던 무슨 大事件이 생긴 것이라는 豫感만은 잇섯슴으로 즉시 그들의 뒤를 따럿다.
黃金町 네거리에 오니 벌서 交通遮斷이 되여 겨우 電車가 往來하는 以外에는 人馬의 交通이 全혀 不能狀態에 빠젓는데 겹겹히 둘너싼 數百警官의 鐵瓮城을 뚤코 간신히 東拓에 발을 드려노흐니 여기저기에 鮮血이 淋灕하야 피비린내가 코를 찌르는<67> 것이 금시에 拳銃을 든 壯漢이 뛰여나와서 亂射 亂擊을 할 듯- 나도 모르는 동안에 가슴이 두근거린다.
벌서 나보다 먼저 와 잇는 各 新聞社 記者들의 이약이를 드르면 殖銀에 投擲한 爆彈은 채 炸裂이 되지 안흔 까닭에 아무 問題가 업섯스나 東拓에서는 함부로 拳銃을 亂射한 까닭에 會社에 物件을 팔너 왓든 時計舖店員 1名과 때마츰 그 부근을 지내가든 警部 1名과 뒤門에서 把守를 보던 守衛 1名의 都合 세 사람이 射殺되여 卽死하고 2層 事務室에 잇던 東拓의 高級技師 한 명은 엽구리에 彈丸이 들어가서 매우 重態인데 犯人 자신은 守衛를 射殺하고 뒷門으로 뛰여나오는 길로 이미 大勢가 글럿슴을 自覺하엿슴인지 警官隊에게 채 잡히기 전에 먼저 拳銃으로 自殺을 하엿는데 아즉 실낫갓튼 목슴이 붓터잇슴으로 조곰 前에 總督府病院으로 데려갓다고 한다.
그 날의 號外와 夕刊에는 이 流血의 慘劇으로 全面이 充滿되엿섯는데 나는 저녁때나 되여서 社에 드러가니 編輯長H氏는 나를 別室로 불러다가 은근히 부탁을 한다.
『오날 號外와 新聞은 이만하면 과히 남붓그럽지 안케 되엿소. 그런데 이에 한 問題가 잇스니 그것은 犯人의 正體를 알어내이는 것이요. 지금까지 判明된 것은 海外에서 들어온 듯한 어떠한 「테로리스트」가 直接行動을 하다가 일이 글러지매 자기 자신도 拳銃으로 自殺을 하얏다.- 이것밧게 더잇소? 그러니까 이제는 海外 어느 團體 所屬의 누구라는 正體를 똑똑히 얼는 아러내이는 것이 急務이요. 第一線 記者의 使命이요. 그러니 「미스터. 김」은 엇더케 하여서던지 오늘 밤 안으로 이것을 調査해서 늣드래도 明日 朝刊에는 詳細한 것을 報導하도록 하시요... 』
新聞의 編輯長은 軍隊의 司令官과 맛찬가지다. 누구의 命令이라 拒逆할 수 잇스랴? 나는 즉시 總督府病院으로 달려가지 안이치 못하엿다.

白雪이 粉粉한 밤의 總督府病院은 여기저기에 提燈을 든 武裝警官이 把守를 보고 잇는 것이 平日과는 아주 딴판으로 여간 森嚴한 것이 아니엿다. 이곳 저곳에서 수소문을 하여보니 京畿道 高等課長 以下 市內 各署 警察署長은 勿論이요 M警部 K警部補 等과 가치 적어도 朝鮮의 思想系統을 잘 안다는 部類의 警官이라는 警官을 모조리 모힌 모양이고 犯人의 手術은 總督府病院 中에서도 가장 手術 잘하기로 有名한 P博士가 執刃를 하게 되엇는데 犯人은 원체의 重傷이라 아즉은 캄풀注射를 노와서 겨우 그 命脈을 지탕하여 갈 뿐이라고 한다.
門밧게서 把守보는 警官이 數十名식이나 서슬이 퍼러케 서잇스니 手術臺에는 勿論 들어갈내야 들어갈 수도 업거니와 엇째든 그의 말이나 드러보려고 高等課長과 鍾路署長에게 面會를 請하야 보앗스나 도모지 맛나주지를 안는다.
이리하야 할 수 업시 病院 玄關에서 한참 떠러진 食堂 近處에서 外套자락을 올려 부치고 前後 세時間동안이나 떨고 잇스려니까 거이 子正때나 되여서 鐵瓮城과 가치 派守를 보든 警官隊가 하나씩 둘씩 풀니기 시작하더니 이윽고 高等課長 以下 各署 署長이 우- 몰려 나오다가 나를 보자마자 말 한마듸 부처볼 사이도 업시 황망히 自動車를 몰아서 어데로인지 가버리고 말엇다.
닭 쫏든 개- 집웅 처다보기로 하도 어이가 업시 그들을 노친 나는 一時 非常한 落望을 늣기엇스나 다시 한 計策을 생각하고 P博士에게 名啣을 들여보내엿다. 勿論 이것은 手術에 立會한 P博士에게 물어 보면 犯人의 正體를 잘 알는지도 알 수 업스리라는 漠然한 推測에서 울어나온 것이지만 科學者라는 것은 거이 대개가 純直한 사람들이다. 즉시 나를 引見한 P博士는 當局의 警告가 잇스니 나의 말을 新聞에 내이여서는 안이 된다는 것을 련방 付托하면서도 手術室에서 이러난 前後의 光景을 如實히 이약기해주엇다. 窮餘의 一策이 훌융하게 的中된 그때의 나의 깃붐- 무엇에다 이를 比할 수 잇스리요? 나는 뛰는 가슴을 억제하면서 一言一句나마 빠치지 안으려고 P博士의 말에 귀를 기우렷다.

들것에 담겨서 病院에 들어온 때의 犯人은 두군데나 (배와 가슴) 彈丸이 들어박힌 곳으로부터 出血이 甚하야 그야말로 氣息이<68> 奄奄하엿다. 그러나 우선 피를 나오지 안케 出血防止注射를 하고 一分間에 한 대식 食鹽注射를 한 까닭에 겨우 숨만은 부터잇섯는데 뒤를 따라 우- 몰려온 高等課長 以下 數十名의 警官隊는 犯人이 누어잇는 寢臺를 둘너싸고 臨床訊問을 하게 되엇다. 當時 犯人의 容態로는 勿論 이가튼 訊問을 바들 만한 氣力이 업섯지만은 結局은 未久에 죽을 사람이니 犯人의 正體나 알자는 것이 警察 當局의 主張이엇다. 靑天의 霹靂과 가치 事件이 突發한 以來로 海外에 가 잇는 수만흔 要視察人 名簿 中에서 우선 이러한 일을 저줄음즉한 사람을 10여명이나 뽑아 내인 鍾路署의 M警部는 多數 上官이 立會한 가운데 犯人의 臨床訊問을 시작하엿다.
M警部 (警部는 要視察人名簿를 보면서) 네가 上海XX단에서 드러온 李XX가 아니냐?
犯人 (눈을 감고 누은채) 아니다.
M警部 그러면 滿洲에서 온 金XX이냐?
犯人 (如前히) 아니다.
M警部 그러면 우라지오(浦鹽斯德)에서 온 崔XX이냐?
犯人 아니다.
이때에 犯人의 命脈이 작고 열버짐으로 數十대의 食鹽注射를 또한후 如前히 前後 20여명의 姓名을 불너보앗스나 犯人은 亦是 一貫하야 否認하엿다. 그리다가 악에 밧친 M警部가
「그러면 네가 上海義烈團에서 드러온 羅錫疇가 아니냐?」
라고 버럭 소리를 지르니까 犯人은 그때에야
「그러타!」
라고 나즉하나 그러나 힘굿세인 語聲으로 대답하고
「共犯은 업는가?」
에 대하여는 끗까지
「共犯은 업다. 오즉 나 한사람의 斷獨的 行動이다」
라는 것을 明白히 主張한 後 죽을 사람은 어서 죽어야 한다고 말한마듸라도 더 들으려고 작고 食鹽注射를 하려는 것을 意識이 朦朧한 中에서도 如一하게 頑强히 反對하면서 「내가 羅이다. 共犯은 업다」라는 말박게는 도모지 입을 열지 아니하다가 그리 苦悶하는 빗도 업시 未久에 絶命되엿다.

P博士의 이약기로 나는 犯人의 姓名이 羅錫疇인 것도 아럿고 따러서 그의 臨終 光景을 내가 본 것이나 별로 다를 것이 업시 仔細히 알수가 잇섯다.
그러나 이 事件은 그날 밤 中으로 揭載禁止가 된 까닭에 모처럼 어든 所謂 特種도 그 이튼날 朝刊에는 실지를 못하고 그 후 한참 잇다가 解禁이 된 뒤에야 비로소 詳細히 新聞에 報導하엿다.-그러나 생각하면 이것도 벌서 7년 전에 녯일이 되고 말엇다. (以下次號에 딴 事件 또 繼續) <69>
<67-69>
