잡지명	개벽 제11호
발행일	1921년 05월 01일
기사제목	小說 革命의 第 2年 (Novel: The Second Year of the Revolution)
필자	아나토올·후란쓰, 步月生 譯
기사형태	소설 (Novel)

小說 革命의 第 2年
						아나토올·후란쓰, 步月生 譯
The prison gatekeeper pushed Countess Fanny Taffinett of the old regime into the grounds and locked the gate again. As recorded in the register of criminals, the Countess was arrested as a political offender against public order. The crime was harboring a fugitive aristocrat, for which she was imprisoned for concealing a criminal.

The Countess entered the old building. This place was once where the hermits of Port-Royal savored a kind of quiet solitude. However, the revolutionary government was now using it as a prison, without altering its former appearance in the slightest.

While the prison clerk recorded the Countess's name in the prisoner register, the Countess sat perched on a chair at the end of the hall and thought thus:
"Oh, Lord God, why has such a thing happened? What are you planning to do?"

The key-bearing guard looked more absurd than malicious. But his daughter was pretty and lovable. The girl prettily wore a forage cap folded and pinned with the colors of the Republic's emblem, the tricolor ribbon.

This key-bearing guard led the Countess to a wide courtyard. In the middle of the courtyard stood a large acacia tree, lush and overgrown. He had her wait in the middle of this courtyard until he arranged a table and bed in the cell. Because the prison was full, several female prisoners were housed in one room. Although prisoners overflowing this jail were sent daily to the Revolutionary Tribunal and the guillotine, there was never an empty moment as it remained packed full. This was because the various committees <131> escorted new criminals every day, causing the prison to overflow.

In the middle of the courtyard, the Countess saw young female prisoners diligently carving initials into the bark of the acacia tree. Thus, the Countess recognized that the woman was her childhood friend, Antoinette Deriaqu.
"Antoinette, you were here..."
"You too are here... Fanny! Let's arrange for my bed and your bed to be in the same place. We have mountains of things to talk about..."
"I have much too... But Antoinette, what happened to Monsieur Deriaqu..."
"My old man, you mean? I've already forgotten him. It's contrary to loyalty, but. He never lacked even a little towards me... He must be in some prison now..."
"What are you doing over there?"
"What... time is it? If it's five o'clock, the friend whose name and his name I carved into this tree bark might no longer be in this world. He went to the Revolutionary Tribunal around noon. His name is Cheslan, and he became a volunteer soldier in the Northern Army. I met him in this prison. He and I spent joyful and happy times at the root of this tree. Truly a splendid young man.... Still, even if you've come to such a place, I must ensure you can stay comfortably."

Antoinette embraced the Countess and led her into the cell where her own bed was placed. Then, she requested permission from the key-bearing guard so that the two of them would not be separated.

The two female prisoners promised to wash the stones laid in the prison yard starting the next morning.
They ate dinner together, made of salted beef by the patriots' cheap cook. The prisoners each received pork and cabbage on plates and wooden tableware (metal tableware was strictly forbidden). Eating this coarse meal, the Countess was surprised to see the female prisoners passing the time without agitation. <132>

All these female prisoners, like Madame Deriaqu, had their hair neatly combed and wore beautiful clothes. The Countess observed that the female prisoners preserved the hope of pleasing men even on the verge of death. And their words came out as affectionately as their bodies. It wasn't long before the Countess realized that within this gloomy prison, secrets of affairs, polishing something called either "death" or "love," were intricately woven. Thus, the Countess's thinking mind became dizzy, and she felt an earnest thought, like tightly gripping another person's hand with her own.

The Countess thought of the lover she had recently loved but had not granted her body to. And regret, more than unfulfilled affection, tore at the Countess's heart. Then, hot tears like pleasure flowed down her two cheeks. An oil lamp dish cast shadows, illuminating the dining table. Through that light, the Countess looked across and saw the eyes of the female prisoners shining with the excitement of passion. And the Countess thought as follows:
"It won't be long before we die together. For these female prisoners, 'life' and 'death' are trivial matters, so why am I the only one feeling sorrowful and dizzy?"
The Countess wept all night on the rough bed.

Twenty monotonous and long days passed before she knew it. This garden, where the prisoners' lovers used to come seeking silence and darkness, was deserted this evening, not a single shadow to be seen. The Countess, feeling stifled by the heavy air at the end of the hall, sat down on a grassy mound. The mound surrounded the old acacia tree. The shade of the acacia tree covered the prison yard. The acacia was now in full bloom. Whenever a clear breeze passed through the tree, a beautiful fragrance brushed past the tip of her nose. The Countess saw that Antoinette had attached a piece of paper with a pin over the initials carved into the tree bark. On this attached paper, the Countess read a poem by the poet Pâris, who was imprisoned with her. <133>

Obedient sacrifice, the prisoner's heart,
On the branches of the affectionate tree,
Freed from sin and suspicion, dreamt of love and forgot pain.
To this tree, the prisoners,
Leak your sorrow and fear.
How many times has this tree been wet with tears?
People who play in this yard when the world is at peace,
Respect this affectionate tree and protect it forever.
This tree comforted pain and calmed fear.
The prisoner was happy in this shade.

Reading this poem, the Countess felt a serene thought arise. The Countess recalled her loveless marriage, her nature that delighted in music and poetry, and her consideration of solemn and harmonious friendships, reminiscing about an elegant and tranquil life. And thinking of how she loved a certain sincere scion of a noble family and did not listen to his wishes, and now considering her body confined in this prison, the love she shared with that person felt deeply joyful in layers. However, thinking again of her approaching execution, she spent her days in lament. Sweat of anguish broke out on her forehead. Wrapped in sorrow, the Countess turned her hot pupils to the star-filled sky. And letting out a restless sigh, she lamented thus:
"God. Please, send back hope."

At that moment, the sound of light footsteps approached the Countess. It was Rose, the daughter of the key-bearing guard, who had come secretly to talk with the Countess.
"Listen. Tomorrow evening, your lover said he will be waiting with a carriage on the road leading to the Observatory. <134> Please take this bundle. Inside are clothes like mine. Change into these clothes in your cell at dinnertime. You have the same height and build as me, and your hair is blonde like mine. In the dark night, they might not be able to distinguish well between you and me. I have bribed the guard here. This guard will go up to your cell, and you carry the basket I use to go shopping at the market. Then, come down the spiral staircase with this guard. The guard has the key to the spiral staircase. This spiral staircase connects to where my father is. There is no guard at this door, and it is not locked. You just must not be discovered by my father. My lover will lean against the glass window in the room as if talking to me and say, 'See you again, Rose. Stop tormenting me now.' You walk calmly out this way. During that time, I will go out through the main gate, and we will meet in the carriage. That carriage will take us far away."

The Countess drank in these words along with the spirit of nature and the air of spring. And the Countess, mustering the strength of her heart filled with the desire to live, longed for freedom.
The Countess anticipated her safety and savored the pleasure. And because the idea of love was mixed into this safety, the Countess placed both hands over her heart to preserve her happiness. However, gradually, the strong reason within the Countess's nature came to dominate her emotions. The Countess stared intently at the face of the key-bearing guard's daughter and spoke thus:
"Why are you being so kind to me when you don't know me?"
"It's because your lover said he would give a lot of money if I help you escape... Then I can marry my lover, Florandan. Isn't that right? Madame, as you can see, I am doing this for tomorrow. I thought it would be better to save you than another female prisoner," Rose spoke frankly to the Countess as if they were close.
"Thank you for that. But why is that?"
"It's because you are so beautiful... Not only that, but I know it must be painful <135> for your lover to be separated from you. That's right. It would be good to do so, wouldn't it?"
The Countess extended one hand as if to receive the bundle of clothes Rose had brought. Then she drew it back.
"Rose, do you know you could die if you are caught?"
"Die...? They might threaten me. No, I don't know about such things," the girl cried out.
Then, Rose, already reassured, spoke thus:
"Your lover will hide you well."
"There isn't a single house in Paris where one can hide completely. I appreciate your kindness. Still, Rose. I cannot do it."
Rose's heart filled with a vague feeling.
"You will die at the guillotine. And I won't be able to live with Florandan."
"Don't worry. Even though I refuse your request, I will do my best for you."
"No. I don't want that. That would be like stealing money."
The key-bearing guard's daughter pleaded. She cried. And she begged for a long time. The woman knelt and grabbed the hem of the Countess's dress. The Countess pressed the maiden down with one hand and lifted her face. The moonlight shone on this tranquil face.
It was a clear night. A gentle breeze blew past. The prisoners' tree, the acacia, shook its branches carrying a sweet fragrance, and dropped blue and white flowers onto the head of the Countess, who was becoming a honey-like sacrifice... (End) <136>

**Summary**

Set during the French Revolution, Countess Fanny Taffinett, imprisoned for hiding an aristocrat, encounters hardship and surprising camaraderie among fellow female inmates awaiting the guillotine. Despite the grim reality, love affairs and a desire for life persist. Rose, the guard's daughter, offers Fanny a detailed escape plan orchestrated by Fanny's lover, motivated by a reward that would allow Rose to marry her own love, Florandan. However, after contemplating the risks to Rose and perhaps driven by a complex sense of honor or fatalism, Fanny ultimately refuses the chance for freedom and love, choosing sacrifice under the blooming acacia tree, a silent witness to the prisoners' lives. From the perspective of Korean colonial history, the publication of this translated French story in *Kaebyŏk* (개벽) magazine in 1921 is noteworthy. It reflects the introduction of Western literature and ideas (even those concerning revolution and individual moral dilemmas against oppressive systems) to a Korean audience grappling with its own colonial reality, potentially offering subtle parallels or escapes through foreign narratives.

**Named Entities**

아나토올·후란쓰	아나톨 프랑스	Anatole France
이어저 잇습니다	이어져 있습니다	Is connected (older spelling)
들키지 아니하도록	들키지 아니하도록	So as not to be discovered
아니하면 아니됩니다	해야 합니다	Must do (older negative construction for necessity)
琉璃窓	유리창	Glass window
대이고	대고	Leaning against, touching (older spelling)
맛납시다	만납시다	Let's meet (older spelling)
애를 먹이시요	애를 먹이시오	Stop tormenting/troubling (me) (older request form)
탄평히	태평히	Calmly, peacefully (older spelling)
거러 나아가시요	걸어 나아가시오	Please walk out (older spelling/request form)
通用門	통용문	Main gate, commonly used gate
것이올시다	것입니다	It is (polite ending, older form)
靈氣	영기	Spiritual energy, aura; here context suggests 'spirit/vitality'
들어마셧다	들이마셨다	Drank in, inhaled (older spelling)
生活慾	생활욕	Desire to live, will to live
充滿한	충만한	Full of, filled with
渴望하엿섯다	갈망하였었다	Had longed for (older spelling)
安全	안전	Safety, security
豫想하고	예상하고	Anticipating
快樂	쾌락	Pleasure
맛보앗다	맛보았다	Tasted, savored (older spelling)
觀念	관념	Idea, notion
석겨잇는	섞여있는	Mixed in (older spelling)
保全하기 爲하야	보전하기 위하여	In order to preserve (older spelling/form)
心臟	심장	Heart (organ)
언젓다	얹었다	Placed upon (older spelling)
漸漸	점점	Gradually
굿센	굳센	Strong, firm (older spelling)
理性	이성	Reason, rationality
感情	감정	Emotion, feeling
支配하여왓다	지배하여왔다	Came to dominate
치어다보며서	쳐다보면서	While looking up at (older spelling)
이처럼	이처럼	Like this, so much
까닭입니까	까닭입니까	Is the reason? Why?
逃亡	도망	Escape, flight
만흔 돈	많은 돈	Much money (older spelling)
婚姻	혼인	Marriage
그러치요	그렇지요	Isn't that right? (older spelling)
조흘 줄로	좋을 줄로	Thinking it would be good (older spelling)
거리낌업시	거리낌없이	Without hesitation, frankly (older spelling)
고흐니까요	고우니까요	Because (you) are beautiful (older spelling)
應當	응당	Naturally, of course
바드랴고	받으려고	Intending to receive (older spelling)
내밀엇다	내밀었다	Extended, stuck out (older spelling)
거더 들여갓다	거두어 들여갔다	Withdrew, pulled back (older spelling)
萬一에	만일에	If by chance, in case
威脅	위협	Threat
하겟지요	하겠지요	Will probably do (older spelling)
부르지젓다	부르짖었다	Cried out, exclaimed (older spelling)
安心하고	안심하고	Feeling relieved, reassured
숨을 집	숨을 집	Hiding place (house)
업습니다	없습니다	There is not (older spelling)
感謝하지마는	감사하지만은	Although thankful (older spelling)
그러케	그렇게	Like that, so (older spelling)
漠然한	막연한	Vague, uncertain
가득찻다	가득 찼다	Was filled with (older spelling)
念慮마시요	염려 마시오	Do not worry (older spelling/request form)
拒絶하여도	거절하여도	Even if (I) refuse
힘써들이지요	힘써 드리지요	Will do my best for you (older polite form)
실혀요	싫어요	Don't want to, dislike (older spelling)
훔치는 것과 가튼	훔치는 것과 같은	Like stealing (older spelling)
請햇다	청했다	Requested, pleaded (older spelling)
울엇다	울었다	Cried (older spelling)
哀願	애원	Pleading, supplication
무릅을 꿀코	무릎을 꿇고	Kneeling down (older spelling)
옷자락	옷자락	Hem of a dress/clothes
잡앗다	잡았다	Grabbed, caught (older spelling)
處女	처녀	Maiden, virgin
누르고	누르고	Pressing down
치어들엇다	쳐들었다	Lifted up (face) (older spelling)
달빗	달빛	Moonlight (older spelling)
靜和한	정화한	Tranquil, serene
고요한	고요한	Quiet, still
조흔 香氣	좋은 향기	Good fragrance (older spelling)
푸르고 힌	푸르고 흰	Blue and white (older spelling)
떨어털이엇다	떨어뜨리었다	Dropped (older spelling)
-e 

---------------------------


잡지명	개벽 제11호
발행일	1921년 05월 01일
기사제목	小說 革命의 第 2年
필자	아나토올·후란쓰, 步月生 譯
기사형태	소설

小說 革命의 第 2年
						아나토올·후란쓰, 步月生 譯
監獄의 門直은 舊 制度의 伯爵夫人 파안니이, 따푸네에를 構內에다 몰아너코 다시 門을 잠갓다. 夫人은 犯人 名薄에 記錄한 것과 가티 治安政治犯으로 逮捕가 되엇다. 그 犯罪事實은 亡命한 貴族을 감춰둔 까닭으로 犯人 隱匿罪로 收監이 되엇다.
夫人은 建築한지 오래된 집 속으로 들어갓다. 이 집은 옛날 포올, 로와이얄의 隱士들이 한 가지 靜寂의 閑味를 取하던 곳이다. 그러나 只今은 革命 政府가 족음도 舊觀을 고치지 아니하고 그냥 그대로 監獄에 使用하여 잇섯다.
監獄의 書記가 夫人의 이름을 囚人 名薄에 記載할 동안에 夫人은 마루 끄테 잇는 交椅가튼 곳에 걸터안저서 이러케 생각을 하엿다.
「아아 한우님이여 웨 이러한 일이 일어낫습니까. 장차 어떠케 하실 모양입니까.」
열쇠 가진 看守는 사람이 惡毒하게 생겻다고 하는 것 보다도 퍽도 荒唐한 것 가타 보엿다. 그러나 그 딸은 얼굴도 어여뿌고 사랑스러웟다. 그 계집아이는 共和國의 徽章인 3色 리본과 가튼 빗으로 접어 부틴 略帽를 어여뿌게 쓰고 잇섯다.
이 열쇠 가진 看守가 伯爵夫人을 넓은 마당에 다리고 갓다. 그 마당 가운대는 큰 아까시야나무 한 株가 鬱蒼하게 茂盛하여 잇섯다. 그리고 열쇠가진 看守가 獄房에 테불과 寢臺를 整頓하여 줄때까지 이 마당가운대서 기다리고 잇섯다. 監獄이 가뜩찬 까닭에 여러 女囚가 한 房에 取容하게 되엇다. 이 監獄에 넘치게 된 罪囚를 날마다 날마다 革命政府의 法廷과 斷頭臺로 보내지마는 그래도 한시 빌 틈이 업시 가뜩 차게 되엇다. 그것은 여러 委員會에서＜131＞ 날마다 새로운 罪人을 護送하기 때문에 監獄이 넘치게 되엇다.
伯爵夫人은 마당 가운대에서 젊은 女囚들이 부지런히 아까시야 나무껍질에 頭字를 彫刻하고 잇는 것을 보앗다. 그리하여 夫人은 그 女子가 어릴 때 친구 안트와네트·더리이리야꾸인 줄을 알앗다.
「안트와네트氏 당신은 이곳에 잇섯습디까...」
「당신도 이곳에서... 파안니이氏 나 잇는 寢臺하고 당신 잇슬 寢臺를 한 곳에 맨들기로 합시다. 서로 이악이 할 일이 산데미 가티 만흐니까요...」
「나도 만히 잇스니까... 그런데 안트와네트氏, 더어리야크氏는 어떠케 되엇습니까...」
「우리집 영감 말이요. 벌서 이저버렷지요. 義理에는 버서나지마는. 그이는 내게 족음이라도 不足한 點은 업섯습니다... 只今, 어느 監獄에 들어 잇겟지요...」
「저긔서 무엇을 하고 잇습니까.」
「때가... 몃점이나 되엇습니까. 다섯 點만 되면 내가 내 이름과 그 사람의 이름을 이 나무껍질에 새겨 잇는 친구는 벌서 이 世上에는 잇지 아니하겟지요. 그이가 꼭 午正때나 되어 革命政府의 法廷에 갓섯스니까요. 그이는 체스란이라 하는 인데 北軍의 義勇兵이 되엇습니다. 나는 이 監獄에서 알앗습니다. 그이와 나는 이 나무 뿌리에서 질겁고 깃거운 時間을 보내고 잇섯습니다. 참으로 훌륭한 靑年입디다.... 그래도요 당신이 이러한 곳에 오셧더래도 편히 계실 수가 잇도록 하지 아니 하여서는 아니될 것이니까요.』
안트와네트는 伯爵夫人을 안고 自己의 寢臺가 노혀잇는 監房으로 다리고 들어갓다. 그리하여 그이는 열쇠 가진 看守에게 付托하여 自己네 두 사람이 서로 떠나서 잇지 아니하도록 許可를 어덧다.
두 女囚는 그 이튼날 아츰부터 監獄안에 깔린 돌 씻기를 約束하엿다.
愛國者의 갑싼 料理人이 牛肉짠 것으로 맨든 저녁밥을 가티 먹엇다. 囚人들은 各各 접시와 木製의 食器 (金屬製의 食器는 가지지 못하도록 嚴禁하엿다.)에다 豚肉과 白菜를 담어서 한 사람씩 밧게 되엇다. 伯爵夫人은 이 粗食을 먹으며서 燥悶이 지나는 女囚들을 보고 놀랏다.＜132＞
이 모든 女囚들은 더어리야크夫人과 가티 곱게 머리를 빗고 아름다운 옷을 입고 잇섯다. 女囚들은 죽을 지경에도 男子의 마음에 들고자 하는 希望을 保存하여 잇는 것을 보앗다. 그리하여 그이들의 말은 그이들의 身體와 가티 情답게 나왓다. 伯爵夫人은 이 陰鬱한 監獄가운대서 「死」인지 「戀」이지 하는 것을 琢磨하여 情事의 密計가 獄裏에 纏綿하여 잇는 것을 얼마 아니되어 알아내엇다. 그리하여 夫人은 생각하는 마음이 어질어워 自己의 손으로 다른 사람의 한짝 손을 꼭 쥐는 것 가튼 간절한 생각을 느꼇다.
夫人은 요사이 사랑은 하며서 肉體를 許諾치 아니한 愛人을 생각하엿다. 그리고 悔恨보다도 未盡한 情이 夫人의 애를 끈헛다. 그리며서 歡樂과 가튼 뜨거운 눈물이 두 뺨으로 흘럿다. 燈盞접시가 그림을 내며서 食卓을 비추어 잇섯다. 夫人은 그 빗을 通해서 女囚들의 눈이 愛欲의 興奮에 비추고 잇는 것을 건너다 보앗다. 그리하여 夫人은 아와 가티 생각을 하엿다.
「우리들이 가티 죽을 것도 얼마나 남지 아니하엿지. 이 女囚들에게는 「生」과 「死」가 些少한 일인데 내가 혼자 悲感이 들고 마음이 어질어운 일은 무슨 까닭인가.」
夫人은 粗雜한 寢臺우에서 밤이 다하도록 울고 밝혓다.

單調하고도 긴 20日이 어느덧 다 지나갓다. 囚人의 사랑하는 사람들이 沈默과 暗黑을 求하러 오던 이 庭園도 오늘 저녁에는 寂寂하여 사람의 그림자 하나 구경할 수 업섯다. 伯爵夫人은 마루 끄테서 무더운 空氣에 가슴이 답답하여 잔디 풀 造山우에 걸터 안젓다. 그 造山은 아까시야의 老樹를 에워싸고 잇섯다. 그 아까시야의 樹蔭이 獄庭을 덥고 잇섯다. 아까시야는 只今에 꼿이 한창 滿發하여 잇섯다. 맑은 바람이 나무에 지나갈 때마다 아름다운 香氣가 코 끄틀 지나쳣다. 夫人은 안트와네트가 이 나무껍질에 새겨둔 頭字우에 조히쪽에다 못을 주어 부텨 노흔 것을 보앗다. 夫人은 이부터 노흔 조히에다 夫人과 가티 監禁되어 잇는 詩人 빠이지에의 詩를 읽어 보앗다.＜133＞
順從하는 犧牲, 囚人의 마음은,
情이 가득한 나무의 가지에다,
罪와 嫌疑에서 벗어나 戀愛를 꿈꾸고 苦痛을 이젓다.
이남게다 囚人들은,
슯흠과 두려움을 漏泄하여라.
이 나무의 눈물에 적신 일이 몃번이나 되는지.
世上이 治平되거던 이 마당에 노는 사람들아,
이 情 만흔 남글 尊重하여 永遠히 지켜라.
이 나무는 苦痛을 慰勞하고 恐怖를 平安케 하엿다.
囚人은 이 樹蔭에서 幸福이엇섯다.
夫人은 이 詩를 읽고서 해연한 생각이 들엇다. 夫人은 自己의 結婚에 사랑이 업섯던 일과 부인의 性質이 音樂과 詩를 깃거하던 일이며 또 莊嚴한 和樂한 親交를 念頭에 두던 일을 생각해내며 典雅하고 靜和한 生活을 回想하엿다. 그리고 어떤 誠實한 華胄의 子弟와 서로 사랑하며 서로 그 사람의 所願을 듯지 아니한 일까지 생각을 하고서 只今 이 몸이 이 獄中에 매여잇는 것을 생각하니까 그 사람과 戀愛한 것이 구비구비 깃거움을 느껴진다. 그러나 夫人은 死刑이 가까옴을 또 생각하고서 悲嘆으로 歲月을 보내엇다. 苦悶의 땀이 이마에서 솟아낫다. 夫人은 悲痛에 싸히어 별이 가득이 비추어 잇는 한울에다 뜨거운 눈瞳子를 돌렷다. 그리하여 몸으로 조비빔을 내며서 이와가티 嘆息을 하엿다.
「한우님. 아모쪼록 希望을 둘려 보내주시요.」
이럴때에 가벼운 발자최 소리가 夫人에게 가까이 이르럿다. 그것은 열쇠를 가진 看守 딸 로오쓰가 다른 사람 몰래 夫人과 이악이 하러 온 것이다.
「여보서요. 來日 저녁에 당신의 情夫가 天文臺로 가는 길가에서 馬車를 가지고 기다린다고 하엿습니다. 이＜134＞ 褓子에 싼 것을 바드시요. 이 가운대는 내 옷과 가튼 옷이 들어 잇습니다. 저녁밥 때 獄房에서 이 옷을 바꾸어 입으시요. 당신은 나와 가튼 身長과 體格을 가젓고 머리도 나와 가튼 金髮이니까. 어두운 밤에는 당신이나 나를 잘 分揀치 못할는 지도 모릅니다. 나는 여긔 把守兵을 삿습니다. 이 把守兵이 당신의 獄房에 올라가서 내가 市場에 物件 사라가는 광주리를 들고 가시요. 그리거던 이 把守兵과 가티 層層臺를 내려오시요. 把守兵이 層層臺의 열쇠를 가젓습니다. 이 層層臺는 아버지 잇는 곳과 이어저 잇습니다. 이쪽 문에는 把守兵도 업고 잠겨 잇지도 아니합니다. 다만 아버지에게 들키지 아니하도록 하지 아니하면 아니됩니다. 나의 情夫는 房안 琉璃窓에다 등을 대이고 나하고 이악이하는 것 가티 하여 「또 맛납시다. 로오쓰 인제 그만 애를 먹이시요.」라고 말을 하겟습니다. 당신은 탄평히 이 길로 거러 나아가시요. 그럴 동안에 내가 通用門으로 나가서 우리 둘이 馬車 속에서 맛납시다. 그 馬車는 우리들을 멀리 다리고 갈 것이올시다.」
伯爵夫人은 이 말과 한 가지 自然의 靈氣와 봄의 空氣를 들어마셧다. 그리하여 夫人은 生活慾의 充滿한 가슴의 힘을 짜서 自由를 渴望하엿섯다.
夫人은 自己의 安全을 豫想하고 그 快樂을 맛보앗다. 그리하여 이 安全한 가운대는 戀愛의 觀念이 석겨잇는 故로 夫人은 自己의 幸福을 保全하기 爲하야 두 손을 心臟의 우에다 언젓다. 그러나 漸漸 夫人의 性質中에 굿센 理性의 感情을 支配하여왓다. 夫人은 열쇠가진 看守의 딸의 얼굴을 뻔히 치어다보며서 이러케 말을 하엿다.
「나를 알지 못하며서 이처럼 親切히 하는 것은 무슨 까닭입니까.」
「그것은 당신의 情夫가 당신을 逃亡만 시켜주면 만흔 돈을 준다고 하니까요... 그리면 나는 내 情夫 후로란단과 婚姻을 할 수가 잇스니까요. 그러치요? 夫人, 보시는 바와 가티 나는 來日을 爲하야 이러한 일을 합니다. 나는 다른 女囚보다 당신을 救해들이는 것이 조흘 줄로 생각하엿습니다.」라고 로오쓰는 親한 것 가티 夫人에게 말을 거리낌업시 다 하엿다.
「그것은 고맙습니다. 그러나 어찌하여 그럽니까.」
「그것은 당신이 퍽도 고흐니까요... 그 얼 뿐만 아니라 당신의 情夫는 당신과 떨어져 잇는 것이 應當 苦痛이＜135＞ 될 줄 아는 까닭이올시다. 그러치요. 그러케 하면 조켓지요.」
夫人은 오로쓰가 가지고 온 옷 보퉁이를 바드랴고 한 짝 손을 내밀엇다. 그리다가 돌오 거더 들여갓다.
「로오쓰氏, 萬一에 들키면 죽을 것을 알겟습니까.」
「죽어요... 威脅을 하겟지요. 아니 그런 일은 몰라요.」라고 그 계집아이는 부르지젓다.
그리다가 로오쓰는 벌서 安心하고 이러케 말을 하엿다.
「당신의 情夫가 당신을 잘 감추어 주겟지요.」
「巴里에는 한 집도 完全히 숨을 집이 업습니다. 당신의 親切한 것은 感謝하지마는. 그래도 로오쓰氏. 나는 그러케 할 수 업습니다.」
로오쓰는 漠然한 마음이 가슴에 가득찻다.
「당신은 斷頭臺에서 죽을 것이겟지요. 그리하고 나는 후로란단과 가티 살 수가 업겟지요.」
「念慮마시요. 나는 당신의 請하는 것을 拒絶하여도 당신을 爲하여 힘써들이지요.」
「아니요. 그것은 실혀요. 그것은 돈을 훔치는 것과 가튼 일이올시다.」
열쇠 가진 看守의 딸은 請햇다. 울엇다. 그리고 오래동안 哀願을 하엿다. 그 女子는 무릅을 꿀코 夫人의 옷자락을 잡앗다. 夫人은 한 짝 손으로 그 處女를 누르고 얼굴을 치어들엇다. 달빗이 이 靜和한 얼굴을 비추어 잇섯다.
맑은 밤이엇다. 고요한 바람은 불어 지나갓다. 囚人의 나무. 아까시야는 조흔 香氣를 띤 가지를 흔들어 꿀가튼 犧牲이 되는 伯爵夫人의 머리에 푸르고 힌 꼿을 떨어털이엇다...  (完)＜136＞
＜131-136＞
