Magazine Title: 삼천리 제8권 제11호
Publication Date: 1936년 11월 01일
Article Title: 名歌手를 엇더케 發見하엿든나 (How Were Famous Singers Discovered?)
Article Type: 회고·수기 (Memoir/Recollection)

How Were Famous Singers Discovered?
Yi Aerisu's Solo Performance on Her Wedding Night

Victor Records - Head of Arts & Literature Dept. Yi Kise
About eight years ago in the spring, several Korean popular songs (朝鮮流行歌) were recorded for the first time under the direction of mainland Japanese. Victor Phonograph Company (빅타-蓄音機會社), seeing a complete failure, did not understand that the cause of the failure lay solely in the fact that a mainland Japanese person who didn't know Korean directed the recording (吹込). Instead, with the mistaken hasty conclusion that Korea's level of culture (文化程度) was still low and that the Korean language was unsuitable for record recording, they didn't even try to record Korean popular songs again. This made me endlessly regretful and enraged me. After discussing it many times with the president of Japan Victor Phonograph Company, it wasn't until early spring of Showa 6 (昭和 6년, 1931), three years later, that it was decided to try recording Korean popular songs again. (184) If this attempt failed too, Korean popular songs would be a failure forever. Deeply determined that this time, by all means, I had to discover splendid singers and produce masterpieces that would receive fervent acclaim from the general public, I put in every effort (苦心) to find good singers, but singers worthy of note did not easily appear. Was it coincidence (偶然) or fate (인연)? Just then, I happened to officiate (주레) the wedding of Miss Sin Ŭnbong (申銀鳳孃) and Mr. Yi Kyŏnghwan (李景煥君). That night at the reception (피로연), while mingling and having fun with young theater friends, Yi Aerisu (李愛利秀) was among them. Since Yi Aerisu grew up in the same Kaesŏng (開城) from childhood, almost like family, I strongly urged her to sing a solo for the entertainment (餘興). When she sang, her voice was unexpectedly beautiful and soft. Listening to that song, her voice, like her slender (호릿호릿한) figure, seemed delicate (간열피고), mixed with tears and sighs. Like a weak (軟弱한) woman standing alone under the moonlight, looking down into a dark blue pond (池), it was subtly beautiful and mysterious (美妙神秘). I thought that mournful melody (멜로듸-), which ordinary people could hardly imitate, was most suitable for expressing the melancholic Korean sentiment (朝鮮정조). And seeing Chŏn Kyŏnghŭi (全景希君), Yi Aerisu's maternal uncle, a comedy actor (喜劇배우) also present there, I asked him to perform something too. He also possessed a unique voice, resounding (우령차고) and vigorous (긔운찬), like his own robust (健壯한) build. So, right on the spot, I decided to record three popular songs by Yi Aerisu, two solo songs by Chŏn Kyŏnghŭi, and two duets between Aerisu and Kyŏnghŭi, making seven pieces in total. Lyrics were written and music composed immediately, and after two months of practice, late that spring, I took the two of them to Japan (渡東하여) and recorded them. The results were better than expected (豫想), surprising even the president of the Tokyo head office (東京本社). That summer (녀름), one popular song record by Yi Aerisu and one solo record by Chŏn Kyŏnghŭi were first put on sale (販賣). As Yi Aerisu's melody (멜로듸-), beautiful as silk, spread through Victor's microphone to every street in Korea (三千里), the fervent acclaim from record fans all over Korea (全朝鮮) was truly moving (눈물겨웟든). The astonishing number of sales figures (販賣枚數) not only caused Victor Company to dramatically increase its Korean record recordings (朝鮮 레코-드 吹込), but also prompted Columbia (콜롬비아), Polydor (포리도-루), and other companies to start recording Korean popular songs. Thus, in the villages and valleys of Korea (三千里 坊坊谷谷), where previously only the sounds of records like *Naniwa-bushi* (浪花節) and *Ōroku kobushi* (오-룍 고부시) were heard, the sounds of Korean popular songs weaving Korean sentiment (朝鮮졍조) increased. The competition among record companies to sign singers began to intensify daily. (185) Consequently, the number of young male and female vocalists (男女靑年聲樂家) from Seoul and various regions (京鄕各地) volunteering as record singers and knocking on the doors of each record company also increased daily. Afterwards, many young male and female vocalists visited my private residence (私宅). There were even passionate individuals who, late at night, sometimes at 2 or 3 AM, would come in front of my house and sing as if asking me to listen to their songs. However, among them, I couldn't find any singer worthy of note. My only thought wherever I went was whether I could acquire a truly excellent singer. Wherever I heard singing, I would follow and listen attentively. Also, I once tried to find a good singer among the famous kisaeng (妓生) of Kyŏngsŏng (京城, Seoul) by holding an All-Kyŏngsŏng Kisaeng Music Contest (全京城妓生音樂大會), but in the end, I couldn't find even one. I always ended up finding good singers through chance opportunities (遇然한 機會). Kim Pokhŭi (金福姬), currently an exclusive singer for Victor Company, was introduced by Kwak Hyangnan (郭香蘭), a P'yŏngyang kisaeng (平壤妓生) who stayed at my house for some time. She is not only highly praised by the Tokyo head office but is now a top-tier Korean singer (朝鮮一流歌手) receiving absolute welcome from the general public. And Mr. Yi Kyunam (李규남君), who is now not only an exclusive singer for the Korean division (朝鮮版專屬歌手) but also for the Japanese division (日本版 專屬), was someone practically discarded by Columbia. Seeing him gain such popularity (人氣) after coming to Victor, perhaps it wouldn't be unreasonable to say that singers also have companies they are fated to be with (인연 있는 會社).

Discovering Sŏnu Ilsŏn from One Song at a Kisaeng Gathering

Polydor Records - Head of Arts & Literature Dept. Wang P'yŏng
Mr. Kim Yonghwan (金龍煥氏), the late Mr. Yi Kyŏngsŏl (故李景雪氏), and Miss Chŏn Ok (全玉氏) were all people who, like me, first newly established the Polydor (『포리도-루』) Korea branch (朝鮮支店) in Korea and firmly joined hands to break through the various difficulties (難關) facing the early Korean record industry. There's no need to rehash this now. However, the fact that Wang Subok (王壽福) was moving from Columbia to Polydor was talked about tremendously in various newspapers and magazines at the time (其 당시), and our efforts (苦心) were not just one or two things. This is absolutely not to say that we plotted (음모로) to lure Wang Subok, who was already exclusive to Columbia—she wasn't exclusive at Columbia either, but since she was a major singer, we intended to make her the Queen (女王) of Popular Songs at Polydor. Therefore, we couldn't help but put special effort into the lyric writing (作詞) and composition (作曲) of her very first work (作品). (186) So, for the first work, we recorded "Sorrows of a Lonely Island" (孤島의 情恨), with lyrics by Mr. Yi Unbang (李雲芳氏) and composition by Mr. Chŏn Kihyon (全基玹氏). She performed it, modulating her voice intricately (꺽거넹기면서) and drawing it out thinly in a way that surpassed the composer's imagination (想像), achieving great success (大成). Wang Subok, like her robust (健壯) physique, has a voice that comes out resonantly (우령차게), energetically (氣運좋게), and powerfully. Especially since she graduated from the P'yŏngyang Kisaeng School (平壤藝妓學校), one cannot help but admire (감탄) her vocal technique (넘기는데는). Although it's not her natural voice (본 성대) but an entirely crafted (만드러내는) one, she received an enthusiastic welcome from the general public. "Sorrows of a Lonely Island" became one of the most popular Korean songs, and its sales figures (販賣枚數) set the highest record (最高記錄) in the Korean record industry. As Wang Subok, a P'yŏngyang kisaeng (平壤긔생), became a great singer astounding the world, the singer competition (歌手쟁탈전) among various record companies like Columbia and Victor unfolded centered around P'yŏngyang kisaeng. Later, in the late autumn of Showa 8 (昭和 8년, 1933), when almost all famous (일홈난) kisaeng were affiliated (從屬된) with various record companies, we went to P'yŏngyang (平壤) seeking a certain old singer (老歌手) who wanted to record Korean songs. At that time, among the three kisaeng that the old singer had reportedly chosen as partners (相對役), I listened to the song of Sŏnu Ilsŏn (鮮于一扇), who was said to be the youngest and least popular. I discovered in her a voice of high quality, suitable for singing our Korean folk songs (朝鮮民謠), something I couldn't find among other singers. Since we already had Wang Subok as a popular singer (流行歌手) and were just then looking to acquire a folk singer (民謠歌手), we immediately decided on Sŏnu Ilsŏn as a folk singer. We had her come up to Seoul (上京식혀), practiced Kim Ŏk's (金億氏) lyrics "Holding Flowers" (꽃을 잡고) with Yi Myŏnsang's (李면상氏) composition for a whole winter (겨을), and had her record it in the spring of the following year, Showa 9 (昭和 9년, 1934). Her unique melody (獨特한 멜로듸-), which other singers could hardly imitate, made the listeners' hearts throb (躍動게 하였든 것입니다). Once Sŏnu Ilsŏn's rendition of "Holding Flowers" went on sale, with the deeply moved welcome of record fans and the established reputation among artists (藝術家), Sŏnu Ilsŏn, who until yesterday (昨日) was an unknown (一無名) kisaeng, leaped forward (一躍) to become a great singer (大歌手) possessed by Korea. We have always put all our effort into advancing unknown singers, whom the world does not yet know, into great singers, and we intend to continue doing so in the future (今後로도). Sŏnu Ilsŏn's present status came about in this way. Also, that spring, Columbia Record Company held the All-Korea Prize Music Competition (全鮮懸賞音樂大會) with the intention (意圖로) of selecting the most outstanding singer from among all Korean musicians. That night, we couldn't arrive before the competition started and entered after almost half of it was over. The voice of the person performing last seemed the most bright (명낭하고) and powerful. So, through Mr. Yi Wŏnbae (李源培氏) who went with me, (187) I conveyed to him my wish to make that person an exclusive singer for our company if he were rejected by Columbia. That person, without even waiting for the Columbia announcement date, volunteered to become an exclusive singer for our company on the second day (잇흘되든 날) after the competition (콩클). He is precisely Mr. Yun Kŏnyŏng (尹鍵榮氏), a great singer of our Polydor and currently attracting great popularity (大人氣) in the entire record world.

Finding an Unknown Singer Through a Chestnut Vendor's Song Heard on the Street

Columbia Records - Head of Arts & Literature Dept. I Hayun
Our Columbia Record Company's exclusive singers, Mr./Ms. Kye Chŏngsik (桂貞植), Mr. Ch'ae Kyuyŏp (蔡奎燁), Mr. Kang Hongsik (姜弘植), Mr. Chŏn Kihyon (全基玹), Mr. Kim Chunyŏng (金駿泳), Mr. Hyŏn Chemyŏng (玄濟明), and Ms. Ch'oe Sŭnghŭi (崔承喜氏), are already established by the world as great artists (偉大한 大藝術家) and great singers born of Korea, so there is nothing for me to discuss about them anew here. Also, they joined the company (入社한) before me, so I cannot speak about that. If I were to speak of singers I discovered, they would be these four: Kim Yŏnggil (金英吉), Yu Chonghyŏp (劉鍾燮), Kim Insuk (金仁淑), and Kim Ch'oun (金楚雲). We have been striving hard to discover good singers by dispatching numerous sales agents (販賣員) throughout all regions of Korea (全朝鮮各地) and sometimes visiting places based on their investigations (調査), and we intend to proceed with such a policy (方針) in the future. Of course, since my occupation (職業) is what it is, whether I am listening to kisaeng songs at some banquet (연회) or listening to someone's song at any gathering, I never just listen passively (무심히 들어넹기는 일이 없고). I always pay attention to each one, striving (뇌력합니다) to discover an excellent singer by chance. Sometimes, even while walking (것다가도) down the street, if a song flows into my ears (귀ㅅ속으로) rather refreshingly from an alley, I invariably follow it (긔어코 따러가서) and listen to the song for a while before moving on. However, it is a deeply frustrating (윽김되는) matter that despite such painstaking efforts (苦心), I have yet to discover a single noteworthy singer. (188)

**Summary**

This article presents memoirs from the Arts & Literature Department heads (A&R managers) of Victor, Polydor, and Columbia records in 1936, detailing how they discovered famous Korean singers during the early days of the Korean popular music recording industry. The accounts reveal that discoveries were often serendipitous, occurring at social events like weddings or parties, or through personal introductions, rather than solely through formal auditions or contests (though these existed). The managers highlight the intense competition between record companies for talent, especially for skilled P'yŏngyang kisaeng, and emphasize their goal of finding voices that embodied a distinct "Korean sentiment" for the burgeoning *yuhaengga* (popular song) and *minyo* (folk song) genres. For historians, the article offers valuable insights into the operations of the colonial-era Korean music industry, the blend of Japanese corporate structures and Korean cultural production, the significant role of kisaeng as professional performers transitioning into recording artists, and the conscious effort to cultivate and market a specific notion of Korean musical identity amidst colonial rule.

**Named Entities**

李愛利秀	이애리수	Yi Aerisu
지금으로부터 8년젼 봄 처음으로 조선류행가(朝鮮流行歌)를 여러 장, 日本 內地人의 감독으로 취입(吹込)하였다. 전혀 실패를 보게 된 빅타-蓄音機會社에서는 그 失敗의 原因이 오로지 朝鮮말 모르는 일본 내지인이 吹込감독하였음에 있었다는 것은 理解못하고 조선을 아직 文化程度가 적급하다 조선말은 레코-드 吹込에 적당하지 못하다는 그릇된 숙단으로 朝鮮류행가는 다시 취입할려고도 하지 않었든 것입니다. 이것이 나의 마음을 끝없이 섭섭하게 하였으며 격분케 하였든 것입니다. 그래 日本 빅타-蓄音器會社社長과 여러번 相議한 결과 그 후 3年이 지난 昭和 6년 이른 봄에야 다시 朝鮮流行歌를 吹込하야 보기로 되였든 것입니다.(184) 이번에 또 실패하면 조선류행가는 영영 실패이다. 었지 하든 이번에는 훌융한 歌手를 발견하야 一般大衆의 열광젹 격찬을 받을 걸작을 내지 않어서는 않되겠다고 깁히 마음먹은 나는 조흔 歌手를 찻기에 가진 苦心을 다 하였으나 그렇다할 만한 歌手는 좀처럼 나지지 않었음이다. 遇然이라 할까 인연이라 할까, 바로 그때 申銀鳳孃과 李景煥君의 결혼식에 내가 주레를 서게 되였섰는데, 그날 밤 피로연에 젊은 극단 친구들과 휩쓸녀 놀 때 그 가온대 李愛利秀도 끼였든 것입니다. 李애리수는 같은 開城에서 어려서부터 길느나 다름없는지라, 여흥(餘興)에 독창하기를 강권하였드니 노래를 부르는데 意外에도 그 목청이 아름답고 부드러웟든 것입니다. 그 노래를 들음에 그 목소리는, 호릿호릿한 자기 몸집같이 간열피고 눈물과 한숨이 섞인 듯 軟弱한 여자가 달빛 아래 홀로 서서 검푸른 못(池)을 디려다 보는 것과도 같이 美妙神秘하였든 것입니다. 그 보통사람으로서는 도져히 따를 수 없는 구슬픈 멜로듸-는 멜랑코리한  朝鮮정조를 發輝함에 가장 적합하다고 생각하였든 것입니다. 그리고 그 자리에 같이 參席한 李애리수 외삼촌되는 喜劇배우 全景希君 보고 자네도 무었 하나 하여보라 하였드니 그 역시 자기의 健壯한 몸집과 같이 우령차고 긔운찬 獨特한 목청을 가지였든 것입니다. 그래 그 즉석에서 李愛利秀 流行歌 세 편 全景希君 獨唱 두 편 愛利秀와 景希가 서로 주고받고 하는 것을 두 편, 합 일곱 편을 吹込하기로 하고 곳 作詞 作曲을 하야 두 달 練習을 맛친 그 해 느진 봄에 두 사람을 다리고 渡東하여, 吹込하였든 바 그 結果가 豫想이상으로 좋아서 東京本社社長까지도 놀내였든 것입니다. 그 해 녀름 李愛利秀 流行歌 한 장과 全景希 獨唱 한 장이 爲先 販賣되여 李愛利秀의 빅타-의 마이크로폰을 통한 그 비단결같이 아름다운 멜로듸-가 三千里 거리거리에 허터지자 全朝鮮 레코-드 팬들의 熱狂的 격찬은 실로 눈물겨웟든 것입니다. 그 販賣枚數의 놀나운 數字는 빅타-會社에서 朝鮮 레코-드 吹込을 놀납게 격증하게 한 것은 勿論이어니와 콜롬비아포리도-루 諸會社에서도 朝鮮流行歌 吹込을 하게 하였든 것입니다. 이로써 「나니와부시」와 「오-룍 고부시」같은 종류의 레코-드 소리만 들니든 三千里 坊坊谷谷에는 朝鮮졍조를 짜아내는 朝鮮流行歌의 노래 소리가 많어저 가니, 각 레코-드會社의 歌手 쟁탈전은 날로 격심하여 가기 시작하였든 것입니다.(185) 따라 京鄕各地에서 레코-드歌手를 自願하는 男女靑年聲樂家들이 각레코드會社의 문을 두다림도 날로 많어 가게 되였읍니다. 그 후 나의 私宅으로 訪問하는 젊은 男女聲樂家들도 많었거니와 밤 깊어 때에는 밤새로 2시,3시에 나의 집 앞에 와서 자기의 노래를 드러보라는 듯이 부르는 열열한 분들도 많어스나, 그 가온대서는 그러타할만한 歌手를 찾을 수 없으니 어대 가나 생각하는 것은 좀 훌융한 歌手를 획득할 수 없을가 하는 생각뿐으로 노래 소리 나는 곳이면 어데나 따러가서 주이하야 귀를 기우리게 됨니다. 그리고 한 번은 京城名妓 가온대서 조흔 歌手를 어더 볼녀고 全京城妓生音樂大會를 開催하여 본 일도 있으나 끈내 한 사람도 얻지 못하고 늘 遇然한 機會로 좋은 歌手를 얻게 되였읍니다. 빅타-會社의 現專屬歌手 金福姬도 내 집에 얼마동안 있든 平壤妓生 郭香蘭의 紹介로 끄을게 된 바, 東京本社에서도 극찬할 뿐 않이라 지금 朝鮮一流歌手로써 一般大衆의 절대 歡迎을 받는 바이고, 지금 朝鮮版專屬歌手로 있음은 勿論이고 日本版 專屬까지 된 李규남君도 콜롬비아에서는 버림을 받다싶이한 분이였는대 빅타-에 와서는 그와 같이 人氣 높아짐을 보매 歌手도 인연 있는 會社가 있다고 보아도 무리가 안닐가 합니다.

妓席一曲으로 鮮于一扇을 發見

포리돌-文藝部長 王平
金龍煥氏 故李景雪氏 全玉氏는 모다 나와 같이 朝鮮에서 처음으로 『포리도-루』朝鮮支店을 新設하고 初期 朝鮮레코-드界에 부다치는 여러 가지 難關을 깨트리기 위하야 서로 굳게 손잡고 나온 분들이니 지금 새삼스러히 말할 배 아니나, 王壽福이가 콜롬비아에서 『포리도-루』로 넘어온다는 것을 其 당시 各新聞雜誌上으로 굉장히 떠든만치 우리들의 苦心도 한 두 가지가 아니였든 것입니다. 그것은 우리가 王壽福이가 이미 콜롬비아에 專屬된 것울 무슨 음모로 끄을어 오기에 苦心하였다는 것은 絶對 아니고 콜롬비아에서도 專屬은 아니였으나 큰 歌手이였든 것만치 『포리도-루』에 와서는 流行歌에 女王이라고 하도록 만들녀고 하니, 그 맨 첫번 작품의 (186) 作詞作曲에 특별한 고심을 하지 않을 수 없었든 것입니다. 그래 第1回작품으로 李雲芳氏의 作詞인 『孤島의 情恨』을 全基玹氏 作曲으로 吹込하였든 바 作曲者의 想像한 이상 妙하게 꺽거넹기면서 가늘게 뽑아 大成을 이루웟든 것입니다. 王壽福은 健壯한 몸집과 같이 목소리도 우령차게 氣運좋게 세차게 나옵니다 .특히 平壤藝妓學校를 졸업한만큼 그 넘기는데는 과연 감탄 아니할 수 없읍니다. 본 성대가 아니라 순젼히 만드러내는 성대이면서 一般大衆에게 열광젹 대환영을 받어 孤島의 情恨은 朝鮮류행가 중에 가장 많이 流行되었으며 販賣枚數도 朝鮮레코-드界에 있어서 最高記錄을 지었든 것입니다. 王壽福이 平壤긔생으로 세상을 놀내이는 大歌手가 되매, 콜롬비아 빅타-등 각레코-드會社의 歌手쟁탈전은 平壤妓生들을 싸고 展開하였든 것입니다. 그 뒤 昭년和 8년 느진 가을 일홈난 妓生들은 거진 다 각레코-드會社에 從屬된 때 우리는 朝鮮노래를 吹込하겠다는 某老歌手를 차저 平壤에 갓든 것입니다. 그 때 그 老歌手가 相對役으로 선택하였다는 세 妓生 가온대 가장 나어리고 人氣없다는 鮮于一扇의 노래를 들어보고 나는, 다른 歌手 가온대서는 도져히 차저 볼 수 없는 우리 朝鮮民謠를 노래할 品價높은 목청을 發見하였든 것입니다. 그래 우리는 流行歌手에 王壽福이 있고, 이제 바로 民謠歌手를 얻을녀든 터이라 곳 鮮于一扇이를 民謠歌手로 결정하여, 上京식혀 金億氏의 作詞 「꽃을 잡고」를 李면상씨 作曲으로 한 겨을 練習식혀 이듬해인 昭년和 9년 봄에 吹込식혀든 바 다른 歌手들은 도져히 따를 수 없는 그 獨特한 멜로듸는- 듯는 者의 가삼을 躍動게 하였든 것입니다.
한 번 鮮于一扇이 불는 『꽃을 잡고』가 販賣되매 레코-드 팬들의 감격에 넘치는 환영과 藝術家들의 정평으로 昨日까지 一無名의 妓生이든 鮮于一扇이는 一躍 朝鮮이 가진 大歌手로-躍進하게 되였든 것입니다. 우리는 언제나 아직 세상이 모르는 無名歌手를 大歌手로 進出식힘에 가진 힘을 다하였사오며 今後로도 그리할녀고 합니다. 鮮于一扇의 오늘이 그러하였든 것입니다. 또 그해 봄, 콜롬비아레코-드會社에서 全朝鮮音樂家 가온대서 가장 훌융한 歌手를 선발할녀는 意圖로 全鮮懸賞音樂大會를 열었든 것입니다. 바로 그날 밤 우리는 그 大會에 시간 전에 가지 못하고 거진 반이나 끈난 후 입장하였섯는데, 제일 나종에 하는 분의 성대가 가장 명낭하고 힘차 보였든 것입니다. 그래 나와 같이 갓든 李源培氏를 통하야(187) 이재 그 분이 콜롬비아에서 落選되면 우리 社의 專屬으로 하고 십다는 뜻을 그에게 전하였드니, 그 분은 콜롬비아 當選發表日字도 기달니지 않고 콩클 후 잇흘되든 날 우리 社에 專屬歌手됨을 自願하였든 것입니다. 그가 바로 우리 포리도-루의 大歌手요 지금 全레코-드界에 大人氣를 끌고 있는 尹鍵榮氏입니다.

거리에 흐르는 군밤타령으로 無名歌手차저

콜롬비아 文藝部長 異河潤
우리 콜롬비아 레코-드會社 專屬歌手인 桂貞植
蔡奎燁
姜弘植 全基玹 金駿泳
玄濟明
崔承喜 諸氏는 朝鮮이 낳은 偉大한 大藝術家 大歌手임은 이미 세상에서 정평이 있는 터임으로 내가 지금 이 자리에서 그들에 대하야 새삼스러히 무어라 논할 배 못되고, 또 그들이 入社한 것도 나보다는 먼저이였으니 말할 수 없읍니다. 내가 發見한 歌手라 하면, 金英吉, 劉鍾燮, 金仁淑, 金楚雲, 이 네 분이 되겠읍니다. 우리는 全朝鮮各地에 派送되여 있는 수많은 販賣員들의 調査에 의하야 實地 가보기도 하야, 좋은 歌手를 發見할여고 퍽으나 애써오며 今後로도 그러한 方針으로 나아가게 될 것임니다. 勿論 나는 나의 職業이 그러한만치 어느 연회에서 긔생들 노래를 들을 때에나, 어떠한 모임에 가서 누구의 노래를 들을 때라도 그냥 무심히 들어넹기는 일이 없고 하나하나 늘 注意하여가면서 우연한 긔회에 훌융한 가수를 발견할냐고 뇌력합니다. 또 어떤 때에는 길을 것다가도 골목에서 좀 산뜻하게 귀ㅅ속으로 흘너 들여오는 노래가 있으면 긔어코 따러가서 한참씩 그 노래를 들어보고야 감니다. 그러나 아직 그러한 苦心으로 서는 그럴뜻한 歐手하나도 發見못하였음이 심히 윽김되는 일임니다. (188)
<184-188>
