Magazine Title: 삼천리 제12권 제4호
Publication Date: 1940년 04월 01일
Article Title: 日本의 나의 友人 (My Friends in Japan)
Author: 比律賓 大統領 커즌 (Philippine President Quezon)
Article Type: 논설 (Editorial/Opinion Piece)

My Friends in Japan
						By Philippine President Quezon

I have had many friends in Japan, past and present, but Marquis Ōkuma Shigenobu, House of Representatives Speaker Kasuya Gizō, General Tanaka Giichi, Mikami Keichō, and Asano Sōichirō have all passed away. Among them, I was especially close to Mikami. I first met him around 1916; he was an ardent researcher of the Philippines, spoke English well, was a very fine socializer, had many acquaintances in the Philippines, and made significant contributions to Japan-Philippines friendship. His unfortunate passing is deeply regrettable. He introduced me to Marquis Ōkuma and other Japanese politicians and businessmen. Marquis Ōkuma was a magnanimous and splendid politician. It was also Mikami who introduced me to the great figures of the business world, Mr. Asano Sōichirō, and the then-Speaker of the House of Representatives, Mr. Kasuya Gizō. Mr. Asano once hosted me warmly at his luxurious residence, and several years later, he visited the Philippines accompanied by his daughter.

I believe it was around Christmas 1925 that I became acquainted with Marquis Tokugawa Yorisada. The Marquis visited the Philippines together with Mr. Kamada Eikichi, a member of the House of Peers. At that time, I was the President of the Senate and invited both gentlemen to the Senate. Later, when I visited Japan, Marquis Yorisada introduced me to his uncle, Tokugawa Iesato. The Duke was then the President of the House of Peers, and he held a grand banquet for me at the Peers' Club (華族 會館), treated me hospitably, and introduced me to prominent figures from government and private circles. Around that time, I also met Count Itō Miyoji and Viscount Okabe (Nagakage), who were among the Japanese politicians I most admired.

I met General Tanaka Giichi, Mr. Kurusu Saburō, and others when General Tanaka visited the Philippines. At that time, I was the Senate President, and the Governor-General was General Wood. When I visited Japan while General Tanaka was Prime Minister, the General specially held a grand banquet for me and even hosted a garden party.

Among Japanese diplomats, I also have many acquaintances and friends. I had the opportunity to get acquainted with Ambassador Debuchi Katsuji when he visited the Philippines in a previous year, and I was friendly with Mr. Saitō Hiroshi in Washington (華盛賴). In recent years,<172> I have also had the chance to meet Mr. Hirota Kōki and Messrs. Okamoto and Yoshizawa.

In February 1937, while stopping in Japan on my way to the United States, His Majesty the Emperor granted me a special audience and invited me to dine with him, an experience for which I am immensely grateful.

Speaking frankly about Japan-Philippines relations, both personally and as a public figure (公人), Japan and the Philippines geographically form a chain. Therefore, it goes without saying that we must strive for coexistence and mutual prosperity by further strengthening our close relationship, deepening neighborly friendship (善隣의 誼), and cooperating with each other.

Some people wonder if Japan might harbor territorial ambitions towards the Philippines, but I absolutely do not believe so. I believe that Japan and the Philippines must always be good "friendly nations" for mutual benefit and happiness. Truly, there is not a single reason for these two countries to be enemies, while the reasons and necessity for them to be friends are too numerous to count. In particular, making their economic relations even closer is mutually beneficial. Japan merely hopes for this, and I believe the Philippines also most urgently needs trade development with Japan.

The Philippines has much to learn from Japan. For instance, Japan's fishing industry, said to be number one in the world, its intensive agricultural methods, its efficient industrial organization, and the united spirit of the Japanese nation – these are all things we must learn. The patriotism of the Japanese people and their national spirit of self-sacrifice for the public good (滅私 奉公) united throughout the country are praised by all nations of the world.

Some people harbor anxiety about Japan's ultimate objectives regarding the Philippines (對比), but I think they are being misled by some kind of propaganda. Therefore, to dispel this kind of suspicion, I believe the best policy is for the peoples of Japan and the Philippines to increase interaction more frequently, broaden their knowledge and perspectives, make many acquaintances and friends, and thereby deepen mutual understanding. Regarding the Davao issue, there was considerable concern at one time, but fortunately, it has now vanished, and no one brings it up as an issue anymore.

Truly, if only this understanding deepens, all misunderstandings will be eliminated. Next, I would like to say a word about the relationship between the United States and the Philippines.

The Philippines is always grateful to the United States. I sincerely hope that even after independence, diplomatic relations among Japan, the United States, and the Philippines will grow ever stronger in friendship.

To reiterate, Japan and the Philippines have a very large relationship not only geographically, culturally, and economically, but also racially. Therefore, closer cooperation and promotion of friendship between the two countries are truly desired. <173>
<172-173>

**Summary**

Philippine President Manuel L. Quezon recounts his friendships with prominent Japanese figures in politics, business, and diplomacy, emphasizing his positive personal experiences and admiration for Japanese qualities like patriotism and efficiency. He strongly advocates for close Japan-Philippines relations based on geographical proximity, mutual benefit, and shared interests, particularly economic cooperation. Quezon dismisses fears of Japanese territorial ambitions towards the Philippines as unfounded propaganda, urging increased mutual understanding through more frequent contact. He also expresses gratitude towards the US and hopes for continued friendly relations among Japan, the US, and an independent Philippines. From the perspective of Korean colonial history, this article is significant as it showcases Japan's efforts to cultivate relationships with leaders in its envisioned sphere of influence (later the Greater East Asia Co-Prosperity Sphere). Publishing a foreign head of state's praise for Japan and dismissal of its imperialistic ambitions in a Korean magazine under Japanese rule served as powerful propaganda, implicitly justifying Japan's regional dominance and presenting its expansionism in a positive light, contrasting sharply with the Korean experience under Japanese colonialism.

**Named Entities**

大隈重信侯	오쿠마 시게노부 후	Ōkuma Shigenobu
일소함	일소함	Sweeping away; eliminating
양국민	양국민	Peoples of both countries
교통	교통	Interaction; exchange; traffic
빈번히	빈번히	Frequently
견문	견문	Knowledge (gained through seeing and hearing); experience
널니고	넓히고	(Older spelling of 넓히고) Broadening; widening
최상책	최상책	The best plan/policy
우려되었으나	우려되었으나	Was worried/concerned, but
자취를 감추어	자취를 감추어	Disappeared without a trace
새롭히는	새삼스럽게 여기는	(Context suggests) Bringing up anew; making an issue of
일절의	일절의	All; entire; without exception (often with negatives)
제거되는	제거되는	Is removed; eliminated
일언하련다	일언하련다	Will say a word; mention briefly
감사코	감사코	(Older form of 감사하고) Being grateful
독립	독립	Independence
국교	국교	Diplomatic relations
더욱 더욱	더욱 더욱	More and more
充心으로	충심으로	(Likely 衷心으로) Sincerely; from the bottom of one's heart
거듭	거듭	Again; repeatedly
인종적으로도	인종적으로도	Racially as well
크나큰	크나큰	Very large; great
긴밀한	긴밀한	Close; intimate
제휴	제휴	Cooperation; partnership; alliance
증진	증진	Promotion; enhancement


---------------------------


잡지명	삼천리 제12권 제4호
발행일	1940년 04월 01일
기사제목	日本의 나의 友人
필자	比律賓 大統領 커즌
기사형태	논설

日本의 나의 友人
						比律賓 大統領 커즌
日本에 있어서 予의 우인으로 과거, 현재에 있어 많이 있으나 大隈重信侯, 粕谷義三 衆議院 의장, 田中義一 대장, 三上敬長, 淺野總一郞의 諸氏는 모다 고인이 되었다. 그 중에서도 三上과는 각별히 친했섰다. 그와 상면케 된 것은 1916년이나 열렬한 比律賓 연구가이고 영어를 잘 하고 또한 매우 훌융한 사교가이기도 하고 比律賓에 많은 교우를 가지고 日比 친선을 위하야 많은 공헌을 해 주었으나 불행히도 서거한 것은 심히 애석한 일이다. 그는 予를 大隈侯를 비롯하여 日本의 정치가와 실업가에 소개하여 주었다. 大隈侯는 통이 큰 훌융한 정치가이였다. 또 실업가의 대인물 淺野總一郞 及 당시 衆議院 의장 粕谷義三의 양씨를 소개해준 것은 터 山村이였다. 淺野씨는 그 호사로운 저택에서 환대하여 준 일이 있으나 그후 수년이 지나 그는 令孃을 동반하고 比律賓에도 왔섰다.
德川賴貞侯와 相知한 것은 1925년 크리쓰마쓰 때이였을 게다. 侯는 貴族院 의원 鎌田榮吉씨와 함께 比律賓에 내방하였으나 당시 상원 의장이였든 予는 양씨를 同院으로 초대하였다. 그후 予가 日本을 방문했을 때 賴貞侯는 그 백부 德川家達에게 소개해 주었다. 公은 당시 貴族院 의장이였는데 予를 위하여 華族 會館에서 성연을 베풀고 환대하고 朝野의 명사에게 소개해 주었다. 그즈음 伊東己代治伯과 岡部子爵(長職子)에게도 면회하였으나 이 사람들은 予의 가장 숭배하는 日本의 정치가이였다.
田中義一 대장, 來栖三郞씨 등을 만난 것은 田中 대장이 比律賓을 방문한 때이여서 그 때 予는 상원 의장이고 총독은 웃트 장군이였다. 田中 대장이 총리 대신인 경 日本을 방문한 즈음 대장은 予를 위하여 특히 성연을 베풀고 園遊會까지도 열어 주었다.
日本의 외교관 중에도 다수의 知己 友人이 있으나 出淵勝次 대사는 전년 比律賓를 방문하였를 때 相知할 기회를 얻어 섰고 또한 齊藤博씨와는 華盛賴에서 친하고 있섰다. 廣田弘毅씨나 岡本, 吉澤 양씨와도 근년에 이르러＜172＞ 상면할 기회를 받게 되였었다.
1937년 2월 도미 도중 日本에 들였을 즈음 천황 폐하께압서 특별한 御思召로 배알케 되고 또 御陪食을 줍시와 不勝 감격하는 바이다.
予가 개인 及 分人으로서 日比 관계를 솔직히 말하면 日比는 지리적으로 一 連鎖를 형성코 있고 따라서 일층 공존 견밀한 관계로서 善隣의 諠를 하고 둣터이 하고 상조하여 공존 공영을 위하여 노력치 않으면 안 될 일은 말할 필요도 없다.
세상엔 日本이 比律賓에 대하여 영토적 야심을 가지고 있지나 아니할가 하는 자도 있으나 予는 절대로 그렇게 알지 않는다. 日比 양국은 상호 이익과 행복을 위하여 항상 좋은 「友國」이 아니면 안 된다고 믿는다. 실로 이 양국은 相敵이라할 하등의 이유가 없을뿐더러 우방이여야 할 이유와 필요는 枚擧키 여가가 없을 정도이다. 특히 그 경제적 관계를 일층 밀접히 함은 상호의 이익이고 日本도 다만 이를 희망할 뿐이고 比律賓도 역시 日本과의 통상 발전을 가장 필요로 하는 것임을 믿는다.
比律賓은 日本으로부터 배울 바를 많이 가지고 있다. 즉 세계 隨一이라 할 日本의 어업, 집약적인 농업법, 능률적인 공업 조직 거국 일치의 日本 정신 등 모다 吾人이 배우지 않으면 안 될 것 뿐이다. 日本人의 애국심 거국 일치의 滅私 奉公의 국민 정신은 세계 각국의 한가지로 賞讚하는 바이다.
사람 중에는 日本의 對比島 궁극의 목적에 대하여 불안을 품은 이도 있으나 피등은 어느 종의 푸로파간타로 하여 미혹코 있는 것이라고 생각한다. 따라서 이 種의 의혹을 일소함에는 日比 양국민이 일층 교통을 빈번히 하야서 견문을 널니고 知己 友人을 많이 함에 있어서 상호의 이해를 깊게 함이 최상책이라고 믿는다. 다바오 문제에 대하여선 일시 대단히 우려되었으나 다행히 현재엔 자취를 감추어 누구 한 사람도 이것을 문제로 새롭히는 자는 없다.
참으로 이 이해만이 깊을진대 일절의 오해는 제거되는 것이다. 다음에 米國과 比律賓과의 관계를 일언하련다.
比律賓은 항상 米國에 대하여 감사코 있다. 予는 독립 후 할지라도 日, 米, 比의 국교가 더욱 더욱 친선의 도를 더하기를 充心으로 희망하는 자이다.
거듭 말하거니와 日本과 比律賓과는 지리적, 문화적, 경제적 뿐이 아니라 인종적으로도 크나큰 관계를 가지는 것이니까 양국의 일층 긴밀한 제휴와 친선 증진은 참으로 바라고 싶은 바이다.＜173＞
＜172-173＞
