**Header Section:**
Magazine Title: 삼천리 제12권 제4호
Publication Date: 1940년 04월 01일
Article Title: 新李王職長官 李恒九 人物論 (Personality Review of the New Director of the Yi Royal Household Office, Yi Han-gu)
Author: 金東進 (Kim Tong-jin)
Article Type: 소식 (News/Report)

**Body Text Translation:**
Personality Review of the New Director of the Yi Royal Household Office, Yi Han-gu
						Kim Tong-jin

Even if he hadn't been born the son of the late Marquis Yi Wan-yong (李完用侯), who had great merit in the annexation, spending the long period of over 30 years, encompassing the most rewarding prime of life, in continuous service as a palace official (宮內官) would naturally lead one to expect his promotion to the highest leadership position.

That Mr. Yi Han-gu (李恒九 男), who was a rosy-cheeked youth when promoted to Bureau Secretary (事務官) in the Ministry of the Royal Household (宮內府) after leaving the Samhwa Supervisorship (三和 監理), has now, with frost touching his hair and wrinkles deeply etched on his face, been appointed to the highest prestigious post for a Korean official, Director of the Yi Royal Household Office (李王職 長官), is by no means an exceptional elevation but a natural progression. Following the late Baron Han Ch'ang-su (韓昌洙 男), his Vice-Director Dr. Shinoda (篠田) succeeded to the position of Director; thus, it can be seen as a natural course, following personnel precedents, for Vice-Director Mr. Yi (李 男) to succeed to the Director's seat. However, had it not been for Mr. Yi's perseverance and endurance (堅忍 持久性), enduring 30 years in the Yi Royal Household Office, which had many 'mothers-in-law' (meaning many overseeing or interfering figures), how could he have attained this laurel today?

The Yi Royal Household Office, from immediately after the Ministry of the Royal Household (宮內府) changed to the Yi Royal Household Office (李王職) until around the time of Emperor Sunjong's state funeral (純宗 因山), was not the peaceful palace environment it is today. Not only was the influence of the Yun (尹) clan, the maternal relatives, rampant, but the power of old retainers from the Pak (朴), Yi (李), and Min (閔) clans also resounded powerfully. It was <78> natural that they would not tolerate the second son of a heretic (this is how many high officials at the time viewed the late Marquis Yi Wan-yong and his faction), Mr. Yi Han-gu, moving freely within the palace as a Bureau Secretary, Section Chief, or Chamberlain (贊侍). Furthermore, Yun Tŏk-yŏng (尹德榮 子), seeking to counterbalance the political power of the late Marquis Yi Wan-yong with influence within the palace, must have found it, by human nature, quite unpleasant to see the second son of his political rival (政敵) comfortably situated in his stronghold (牙城), even though the Ministry of the Royal Household had changed to the Yi Royal Household Office.

Mr. Yi's personality is likely gentle on the outside but strong on the inside (外柔內剛). This personality enabled him to build his current position, and because he possessed this character, he could calmly endure and survive amidst that troublesome environment. Although he interacts with numerous members of the yangban class daily, he does not favor the yangban. He sometimes laments, "The world has changed, are only the yangban left?" This reflects his observation of the despicable (陃劣한) underside of a segment of yangban society during his 30 years of palace life, and can be seen as an aspect of his personality.

In his youth, Mr. Yi had a free-spirited (放豪한) personality, fond of amusement and drinking. Even now, he does not refuse a heavy drink (斗酒不辭) and drinks heartily with good company, but the pure-heartedness (純情) revealed after intoxication inevitably earns the goodwill of others. Former Director Shinoda also cherished Mr. Yi's integrity and pure-heartedness, and Mr. Yi likewise served Dr. Shinoda like an elder brother (父兄). Their relationship as Director and Vice-Director since Shōwa 7 (1932) was extremely close, praised as a rare "combination" (콤비네슌).

Mr. Yi is exactly 60 years old this year. His energy rivals that of his prime years, and being more mature, he has the prestige befitting a Director. With his hereditary property (世襲 財産) established and the Yi Royal Household Office now in a state of calm seas and gentle winds (風靜浪息), there may be no affairs requiring the active display of his skills. However, the fact that he is one of the rare individuals throughout Japan and Korea (內鮮) appointed as a Chokuninkan (勅任官, Imperial appointee official) and recipient of the First Order of Merit (勳一等) shows that Mr. Yi's past contributions were significant.

List of High Officials (高等官) and Above Who Have Changed Their Names (創氏者 名簿)
New Name /                     Old Name

Hidehara Motomasa (日出原基昌) (Kyŏngbuk Koryŏng County Governor) Chŏng Ki-ch'ang (鄭基昌)

Kyōden Shinjō (共田鎭晟)   (Kyŏngbuk Sŏngju County Governor) Hwang Chin-sŏng (黃鎭晟)

Yasuhara Seishō (安原淸楨)   (Kyŏngbuk Yŏngju County Governor) Kwŏn Yŏng-se (權寧世)

Enzan Ikō (延山維光)   (Kyŏngnam Kosŏng County Governor) Hyŏn Ŭi-gwang (玄懿光)

Matsukawa San'yō (松川燦容)   (Kyŏngnam Miryang County Governor) Yi Ch'an-yong (李燦容)

Bōson Keinojō (房村敬之助) (Kyŏngnam Hadong County Governor) Pang Chin-t'ae (房鎭汰)

Kōson Chiko (幸村致黃)   (Chŏnbuk Sunch'ang County Governor) Ŭn Ch'i-hwang (殷致黃)

Fukuda Kenji (福田謙治)   (Central Advisory Council Member)    Yi Kyŏm-je (李謙濟)

Kaihei Rankyō (海平蘭敎)   (ditto)             Chŏng Nan-gyo (鄭蘭敎)

Kasen Giei (嘉川義英)   (Kyŏnggi Yangju County Governor) Cho Ki-haeng (趙箕行)

Toriyama Kei (鳥山馨)     (Chŏnbuk Provincial Police Inspector)    Kang Po-hyŏng (姜寶馨)

Kōgen Kiyō (江原基陽)   (Central Advisory Council Member)    Pak Po-yang (朴普陽)

Hazama Kenshirō (張間憲四郞) (ditto)             Chang Hŏn-gŭn (張憲根)

Tan** Kōkō (丹寀±公厚)   (P'yŏngbuk *chin County Governor) Yi Kong-hu (李公厚) (* Illegible Hanja for the location. Looks like 北城 or similar, possibly Pukchin 北鎭)

Takei Gentai (茂李源泰)   (P'yŏngbuk Ŭiju County Governor) Yi Wŏn-gyu (李源圭)

Ōyama Sadamori (大山定守)   (P'yŏngbuk Pakch'ŏn County Governor) Pak Chŏng-su (朴定守)

Bunhara Take (文原武)     (P'yŏngnam Tŏkch'ŏn County Governor) Mun Myŏng-ho (文命浩)

Kinkai Seikō (金海淸光)   (P'yŏngnam Yŏngwŏn County Governor) Kim Pyŏng-gyu (金丙奎)＜79＞

**Summary**

This 1940 article from *Samch'ŏlli* magazine profiles Yi Han-gu upon his appointment as Director of the Yi Royal Household Office. Written by Kim Tong-jin, it portrays Yi's rise not as surprising but as a natural result of his 30-year tenure within the palace system, despite the political complexities stemming from his father, Yi Wan-yong, a prominent pro-Japanese figure blamed for the annexation. The author highlights Yi Han-gu's "gentle outside, strong inside" personality, his perseverance through court intrigue involving powerful clans (Yun, Pak, Yi, Min), and his good relationship with his predecessor, Shinoda. It notes his past contributions recognized by high rank and honors, concluding his position is now secure in a calmed political environment. The article is historically interesting as it offers a contemporary perspective on a high-ranking Korean official from a notorious pro-Japanese family navigating the colonial hierarchy, framing his success as earned through endurance and skill rather than just lineage. The appended list of officials who adopted Japanese-style names (*Sōshi-kaimei*) starkly illustrates the assimilation policies of the time affecting the Korean elite.

**Named Entities**
故 李完用侯	고 이완용 후	Late Marquis Yi Wan-yong
三和 監理를 고만 두고 宮內府 사무관으로 영전한 홍안 소년의 李恒九 男이 머리에 서리빨이 돌고 얼골에 주름살이 쭉쭉 잽힌 금일에 朝鮮人 官途에 최고 영직인 李王職 長官에 임명되였다는 것이 결코 異數의 발탁이 아니고 당연한 순로이며 故 韓昌洙 男의 뒤를 이어 그 차관이든 篠田 박사가 장관의 지위를 계승하였으니 차관 李 男이 장관 자리로 계승함이 인사의 선례를 밟는 당연한 코스라고도 볼 수 있으나 시어머니 많은  李王職에서 30년을 견디고 지냈다는 李 男의 堅忍 持久性이 아니엇드면 오늘에 이르러 그 영관을 어찌 획득할 수가 있었으랴.
宮內府가 李王職으로 변한 직후로부터 純宗 因山 전후까지의 李王職은 오늘과 가티 무사 태평한 궁위가 아니었다. 외척 尹씨의 세력이 팽배하였음은 물론 朴, 李, 閔 등 종친 구신의 위력이 땅땅 울리는 판인데 이단자(당시 여러 대감들은 故 李完用 侯 及 其 一派를 이렇게 보았다.)의 二男 李恒九男이 사무관으로 과장으로 혹은 贊侍로 궁내에 횡행함을 용납하고저 하지 않었음은＜78＞ 당연한 바이라. 더욱 尹德榮 子는 故 李完用 侯의 정계 세력을 대항함에 궁내 세력으로써 하야 權衡을 얻고저 하는 판국이었었는데 정적의 차남이 그 아성에 安然함은 宮內府가 李王職으로 변한 시절이였지마는 실로 유쾌하게 볼 수는 없었을 것이 사람의 상정이리라.
李男의 성격은 外柔內剛한 편일 것이다. 이 성격이 능히 그로 하여금 금일의 지위를 쌋게 한 것이오 이 성격을 가젔었음으로 말성 많은 그 틈에서 유연히 버티고 지냈을 것이다. 그는 매일 수많은 양반 계급의 인사와 접촉하면서도 양반을 좋아하지 않는다. 그는 혹시 「세상이 변하엇는데 양반만 남었나」하는 탄성을 발한다. 이는 그가 宮內官 생활 30년에 일부 양반 사회의 陃劣한 反面을 목격한 소이 이러니와 그의 성격의 일단을 반영한 것으로 볼 수 있다.
李男의 젊었을 때는 놀기 좋아하고 술 잘 먹는 放豪한 성격을 가젔었다. 지금도 斗酒不辭하야 좋은 손과 더부러 통음하지마는 취 후에 발로되는 그 순정은 타인의 호감을 사고야 만다. 前 篠田 장관도 李 男의 강직과 순정을 사랑하였으며 李 男 역시 篠田 박사를 부형가티 섬기었는데 昭和 7년 이래의 장차관의 관계는 극히 친밀하야 보기 드문 「콤비네슌」이라고 칭한다.
李男은 금년이 꼭 60세, 정력이 왕성함이 장년에지지 않을 만하고 또한 더욱 원숙하야 장관으로서도 덕망이 있다. 세습 재산도 확립되고 風靜浪息한 금일의 李王職이니 적극적으로 수완을 발휘할 사무도 없을 것이나 勅任官으로 勳一 등을 拜受한 사람은 內鮮을 통하야 희귀한 만큼 과거에 李 男의 공로가 컷음을 알 수 있을 것이다.

高等官 以上 創氏者 名簿
新氏名 /                     舊氏名

日出原基昌 (慶北 高靈 郡守) 鄭基昌

共田鎭晟   (慶北 星州 郡守) 黃鎭晟

安原淸楨   (慶北 榮州 郡守) 權寧世

延山維光   (慶南 固城 郡守) 玄懿光

松川燦容   (慶南 密陽 郡守) 李燦容

房村敬之助 (慶南 河東 郡守) 房鎭汰

幸村致黃   (全北 淳昌 郡守) 殷致黃

福田謙治   (中樞院 參議)    李謙濟

海平蘭敎   (동)             鄭蘭敎

嘉川義英   (京畿 楊州 郡守) 趙箕行

鳥山馨     (全北 道警視)    姜寶馨

江原基陽   (中樞院 參議)    朴普陽

張間憲四郞 (동)             張憲根

丹寀±公厚   (平北 *城 郡守) 李公厚

茂李源泰   (平北 義州 郡守) 李源圭

大山定守   (平北 博川 郡守) 朴定守

文原武     (平南 德川 郡守) 文命浩

金海淸光   (平南 寧遠 郡守) 金丙奎＜79＞

＜78-79＞
