Magazine Title: 삼천리 제3권 제10호
Publication Date: 1931-10-01
Article Title: 交叉點 (Crossroads)
Author: Various Contributors
Article Type: 잡저 (Miscellaneous Writings)

交叉點 (Crossroads)
If there is anything you wish to ask anyone, please submit it to this column. Our company's Standard-bearer (旗手) will relay the letter to the intended recipient, receive a reply, and publish it in this column.
1. Use a postcard for the paper.
2. Keep the meaning concise.
3. Content should relate to matters of public interest.

Number of Common Schools
To the Standard-bearer of Crossroads...
I recently saw the New Culture Construction Plan. By the way, how many common schools are there currently in Chosŏn? ...And their student numbers? Also, the number of teachers?
Osaka, Ch'oe In-sŏp

One Thousand Seven Hundred
Let us discuss such matters very quietly between ourselves. If others were to overhear, where could there be such shame? Goodness, you don't even know the number of common schools in your own land-.
Put your ear close and listen quickly.
There are 1,700 schools with 440,000 students (Public).
Respectfully, Samch'ŏlli Company Grass Soldier (草兵丁)

To Mr. An Chae-hong

Mr. An, I intend to start a night school for farmers using the coming winter slack season,<94> but I lack a suitable textbook, so I am asking here. How about using the Chosŏn Society's Hangeul original text (朝社 한글 원본)? If so, is it possible for you to send it? I would appreciate it if you could let me know in detail.
Chŏllam Chido, Hong Sun-jang

Of course, I can send it. The rule is originally that you bear the postage (郵稅) yourself.
Respectfully, An Chae-hong

Ch'oe Yun-sŏk Store is
Regarding the various stores run by Koreans that have set up large shops on Chongno Avenue in Seoul, approximately how much capital do they operate with? For instance, like the textile merchant Ch'oe Yun-sŏk Store?
P'yŏngyang, An Si-kŭk

It is a joyous thing that our Korean stores have recently become quite respectable in their management methods and appearance. Regarding the Ch'oe store you asked about, it is said to be a stock company with one million won, having made a payment (拂込) of 250,000 won years ago (年前), and aims to exist for 50 years. In any case, rather than taking the path of smallness and collapse with small capital, small capitals should unite and unite so as not to lose out to their [Japanese] commerce.
Reply from Samch'ŏlli Company Stone Soldier (石兵丁)

To Mr. Yi Kwang-su

Looking at your works, sir, there are quite a number of volumes in terms of quantity. In this era flooded with Complete Works, do you not have any intention of publishing your <95> own personal complete works?
Kyŏngbuk Kaenyŏng, Mun Sŏng-hwan

As I don't have any works I'm particularly confident about, I have no thoughts of publishing a complete collection. Whether even gathering what I write from now on will lead to publication is also doubtful. In any case, I might if someone else publishes it for me, but I don't have the nerve (배ㅅ심) to publish my own collected works myself.
Respectfully, Yi Kwang-su

Your Company's Founding Capital and Staff
When was your company founded, what is the total capital, and how many staff members are there currently and who are they?
Taegu Ch'unyang, Yudang

Living within the "Samch'ŏlli" (Three Thousand Ri) land and not knowing the details of the "Samch'ŏlli Company" is a bit disappointing. It was founded 3 years ago, the total capital in money and Brainpower (智力) combined is enough to sustain it amply for about 100 years from now, and the staff members are numerous, including Grass Soldier (草兵丁), Stone Soldier (石兵丁), Wood Soldier (木兵丁), etc.
Reply from Samch'ŏlli Company Stone Soldier (石兵丁)

To Ms. U Pong-un

I heard the Kŭnuhoe National Convention was postponed; is it not being held again? I would like to know around when it has been decided.
Kaesŏng, Ch'oe Il-sŏng

Since the postponement, the date has not yet been decided.
Respectfully, Kŭnuhoe, U Pong-un <96>

To Mr. Yi Kwang-su
What are your children doing now, sir?
Hamgyŏng Pukto Changhŭng, Kim In-kap

My eldest child (17) attends the first year at P'yŏngyang Sungin Commercial School. My second child (5) and third child (3) are suffering (알코) from serious illnesses. I have no daughters.
Ch'unwŏn

Crossroads Contribution
Considering our current circumstances, what path should we consciously take? What is the opinion of the Crossroads Standard-bearer?
Anju, Pukch'on'a (Child from the North Village)

Unite and Advance
Circumstances (환경) are bound to move if one is capable. Being capable means having strength within oneself. To achieve that, first, one must unite together, gain training through unity, and having gained training, take even one step forward continuously.
Reply from Samch'ŏlli Company Grass Soldier (草兵丁) <97>

**Summary**

This "Crossroads" column from the October 1931 issue of *Samch'ŏlli* magazine operates as a Q&A forum between readers and the magazine staff or specific public figures. Readers inquire about diverse topics: the number of public primary schools and students in colonial Korea (1,700 schools, 440,000 students), obtaining textbooks for peasant night schools (An Chae-hong offers to send materials if postage is paid), the capitalization of a prominent Korean-owned business on Chongno Avenue (Ch'oe Yun-sŏk Store, a 1 million won corporation), the possibility of author Yi Kwang-su publishing his collected works (he demurs due to lack of confidence), the founding and staffing of *Samch'ŏlli* magazine itself (claimed to have resources for 100 years), the status of the postponed Kŭnuhoe (women's organization) national convention (still undecided), the situation of Yi Kwang-su's children (one in school, two ill), and advice on the path forward for Koreans (unite, train, advance). The article offers valuable glimpses into colonial Korean society, including education statistics, the burgeoning Korean entrepreneurial class, the activities and thoughts of prominent intellectuals like An Chae-hong and Yi Kwang-su, the operations of nationalist organizations like the Kŭnuhoe, and the underlying desire for collective action and progress ("Unite and Advance") among Koreans under Japanese rule. Historians might find the specific data on schools, the mention of An Chae-hong's educational materials, the details about the Korean-owned store, Yi Kwang-su's personal reticence, and the magazine's optimistic self-portrayal and nationalistic advice particularly interesting.

**Named Entities**

大阪	오사카	Osaka
우리 조선사람들의 상점이 근래에 그 경영방법이라든지 외관이 대단히 당당하여지는 것은 깁분 일임니다. 무르신 바 崔씨 상점은 백만원의 주식회사로 年前에 25만원을 拂込하얏고 50년간 존립할 목적이라 함니다. 엇재든 소자본으로 작고 몰락의 길만을 취하지 말고 소자본이 뭉치고 뭉처 그네들 상업에 지지 말어야 할 것이겟슴니다.
三千里社 石兵丁答

李光洙씨에게

선생의 작품을 보면 양으로 보아서 부수가 상당히 만은데 이 全集 洪水 시대에 엇지 선생의 ＜95＞개인전집을 내실 의향이 업슴니까.
慶北開寧 文成煥

별로 자신 잇는 작품도 업슴으로 전집을 내일 생각이 업슴니다. 압흐로 쓰는 것이나 모아서 내이게 될는지 그것도 의문임니다. 아무러나 남이 내어나 주면 몰나도 내손으로 내 전집이라고 내일 배ㅅ심은 업슴니다.
李光洙拜

貴社 創立資本과 社員은
귀사가 何時 창립이며 총자본은 얼마며 현재 사원이 몃 분과 누구누구 임닛까.
大邱春陽 幽堂

「三千里」 江山 속에 사시면서 「三千里社」의 내용을 모르신다니 좀 섭섭함니다. 창립은 3년 전이고 총자본은 화폐와 智力이 모다 압흐로 약 100년간은 넉넉히 유지되여 나갈만 하며 사원은 草兵丁 石兵丁 木兵丁 등 다수람니다.
三千里社 石兵丁答

禹鳳雲씨에게

槿友會全國大會는 연기하엿다더니 다시 개최하지 안슴니까. 언제쯤으로 결정되엿는지 알고 십슴니다.
開城 崔一成

연기한 이래 아즉 기일은 결정치 못하엿슴니다.
槿友會 禹鳳雲 拜＜96＞

李光洙씨의게
지금 선생의 자녀는 무슨 일을 하심니까?
咸北章興 金仁甲

큰 아이(17)는 平壤崇仁商業學校 1학년에 다니고 둘재 아이(5)와 셋재 아이(3)는 중병으로 알코 잇슴니다. 딸은 업슴니다.
春園

交叉點 投稿
當面한 우리들의 환경에서 자각하야 취할 길 교차점 기수의 의견은 如何?
安州 北村兒

뭉치고 나아가고
환경이란 저만 잘나면 움지겨지는 법이람니다. 잘낫다는 뜻은 자기에 힘이 잇다는 말이니 그러자면 첫재 한데 뭉치고 뭉처서 훈련을 엇고 훈련을 어더서 한거름이라도 작고 나아가야 하겟지요.
三千里社 草兵丁答＜97＞
＜94-97＞
