Magazine Title: 삼천리 제3권 제10호
Publication Date: 1931년 10월 01일
Article Title: 懸賞實話, 三角戀愛에 對한 나의 解決策 (True Story Contest, My Solution to a Love Triangle)
Author: 佳作 (Honorable Mentions): 金基元 (Kim Kiwŏn) from Nyŏngbyŏn, North P'yŏngan; 崔一順 (Ch'oe Ilsun) from Cheju Island; 吳可雲 (O Kaun) from Shanghai. 賞 (Prize Winner): 朴恩愛 (Pak Ŭnae) from South P'yŏngan
Article Type: 회고·수기 (Memoir/Personal Account)

懸賞實話, 三角戀愛에 對한 나의 解決策
佳作
·웃는 주-핏트----平北寧邊 金基元
·幸福者의 설음----濟州島 崔一順
·妖性의 그 女子----上海 吳可雲

C언니는 나의 恩人이외다(賞)
平南 朴恩愛

It was late autumn, three years ago now. I was a soul-less human, beating my chest with my fists until it bruised, tearing out my hair, biting my lips until dark blood flowed like ink, yet feeling no pain.

The autumn sky was lovely and clear, and the wind was refreshing. Tree leaves, carried by the gentle breeze, scattered here and there like dancing butterflies. The whole universe seemed refreshingly vast. And so, that autumn season tempted many people; those with money went for drives!—those without money went walking—each seeking pleasant places without a care. In this way, the seemingly empty streets of Seoul felt even more desolate, casting upon me a feeling like searching for ancient traces in scattered castle ruins. Thus, I felt even more wretched. Old dreams of bygone days became endlessly nostalgic.

There, I once again took up my pen and wrote the following letter to P.

『Mr. P! This soul-less body still cannot forget you, and so I take up this pen again. You will likely curse me as a clingy girl. I know this well myself. You are someone who hasn't replied even once despite my many letters!!
But what can I do, as I cannot bear it without taking up this pen? I recall everything from the past days, crying and laughing like a mad person, doing all sorts of things—injuring my own body myself. Mr. P! Do you remember? It was last spring season, when the haze lay beautifully asleep on the distant mountains, and new grass sprouted green in the mountains and fields.
We sat with our legs stretched out on the budding green grass, whispering about our future.<90>
And you said this.
“You are my shadow. I am your shadow.”
I asked you several times, didn't I? What did you mean by that...
You answered this way again.
“It means where you go, I go, and where I go, you go.”
Mr. P! How meaningful were those words? We held our silence for several minutes in a powerful embrace. Mr. P! I do not intend to write at length. The more I write, the more my heart feels constricted, so I cannot write further. The more the bag of old memories bursts open, the more painful it becomes. I will stop here for today.』
Waiting for your reply, B

Around eight o'clock on the night three days later, a reply came from P. Dear readers! How must my heart have felt, holding P's letter in my hand? Fear! Curiosity! In any case, it is true that my entire body trembled.
Yet, I opened his letter with some kind of expectation. But, but—it was so different from what I had expected.
Ah! An unexpected event I hadn't even imagined—was it a dream or reality?—it was hard to discern, so I even pinched my own flesh. It would have been nice if it were a dream—but it was not a dream, but a waking reality. "Is he really marrying someone else?" "No..."
Still believing it wasn't true, though the night was late, I ran to P's lodging and knocked on the gate.

P's room was the one across, visible right upon entering the gate. That room I had frequented so often seemed unchanged from before. That familiar room—tears first blurred my vision, making it impossible to distinguish anything, but in front of P's door, his shoes and a pair of high-heeled yellow shoes, placed neatly together, were clearly visible even to my tear-filled eyes under the electric light.
How must my heart have felt, having run there thinking "Surely not"? Lacking even the courage to open the door, I was about to turn back when, just then, I heard the voice of C-ŏnni, whom I respected most, from inside. Vitality returned to my strengthless body; I, who hadn't even had the courage to open the door, gladly opened it without a second thought, calling out, "Ŏnni-".
Indeed, C-ŏnni was sitting inside, but they were embracing blankly, like people caught stealing.
And what was also surprising was C-ŏnni's attitude. How warmly she would have welcomed me before. Her face turned red, and she just sat there silently, without even a single word of greeting like "You're here?"
Hearing C-ŏnni's voice from outside the door, I had opened it gladly with immense expectation, but now I deeply regretted it, thinking how much better it would have been if I hadn't opened it and just turned back.

It was the evening of the fifteenth day of the first lunar month, three years ago, an unforgettable day. Saying we were going to see the moon over the Han River, my mother, younger siblings, and I stepped outside the gate, just as C-ŏnni came running from the other side, asking where we were going—though I was heading to the Han River, I had wanted to go see C-ŏnni, so how happy must I have been to meet her? (Those who have experienced same-sex affection during enjoyable girls' school days will likely guess.)
Forgetting about the Han River, just as C-ŏnni and I were about to step into the entranceway, a professional school student wearing a square cap walked towards us from the other side, grinning broadly. "What a silly man," I thought disapprovingly, but C-ŏnni started talking to the student. So I realized he had come with C-ŏnni.
We sat on the wooden floor watching the moon, then went into the inner room because C-ŏnni complained of the cold.
C-ŏnni, after this and that talk, said—
"This oppa says you're really pretty—and you and him, um-"
C-ŏnni's distant cousin—the professional school student—tried to cover C-ŏnni's mouth, attempting to cut her off. (Continued on page 81)<91>
But C-ŏnni continued speaking.
"This oppa is really nice. You wouldn't know about such things, but if I say he's good, just know he's good," she said, and laughed "Ho...". Hearing C-ŏnni encourage me to date a man made me feel very displeased. Because I loved C-ŏnni more than anyone in the world, I hadn't even thought of loving someone else.
Even after that, C-ŏnni tried several times to create opportunities for me and that man—her distant cousin—to meet. And so we (C-ŏnni's distant cousin—P) met often and talked—and formed an unforgettable bond. C-ŏnni, who had strongly supported our relationship—C-ŏnni, who was my benefactor of old—who could have imagined she would throw me into such a pit? I left only one phrase, "You dirty pair," for P whom I had loved—and C-ŏnni whom I had trusted most—and departed from that room's door.

C-ŏnni, who gave me an indelible wound three years ago—I do not wish to resent her.
No!! Rather than resentment—I want to call her a "benefactor" (恩人).
News spread that C-ŏnni—
not many months later, went looking for her old mother, carrying a young child on her back. Poor C-ŏnni. That I came onto this path is entirely thanks to ŏnni.
Finally, I want to ask C-ŏnni a favor. I hope that ŏnni, too, will liquidate everything—and become a comrade who fights hard for us proletarians.
Night of September 18, 1931<81>
<90-91, 81>

**Summary**

The author, Pak Ŭnae, recounts a painful love triangle from three years prior. Introduced to her lover, P, by her deeply admired older friend, C-ŏnni, she later discovers P and C together. Initially devastated by this betrayal from both her lover and her trusted friend (who had facilitated the relationship), Pak reflects on the incident years later. Surprisingly, she now regards C-ŏnni not with resentment but as a "benefactor," crediting the experience for leading her onto her current path. The memoir concludes with an appeal for C-ŏnni, apparently now struggling alone with a child, to abandon her past and join the author as a comrade in the proletarian cause. For historians, the article offers insight into modern dating practices, female friendships, and social dynamics in 1930s colonial Korea. The dramatic shift from personal betrayal to a call for proletarian solidarity is particularly noteworthy, reflecting the turbulent ideological currents of the time and how personal experiences could intersect with political consciousness.

**Named Entities**

平北寧邊	평북영변	Nyŏngbyŏn, North P'yŏngan
누군들	누군들	Who would have...?
상상햇스릿가	상상했으리까	Who would have imagined? (Archaic interrogative)
년놈들	년놈들	Derogatory term for a couple (bitch and bastard)
떠나왓슴니다	떠나왔습니다	Left, departed from (Older spelling)
십지도 안슴니다	싶지도 않습니다	Do not even want to (Older spelling/form)
안니	아니	No (Older spelling)
불으고 십슴니다	부르고 싶습니다	Want to call (Older spelling/form)
푸로레타리아-트	프롤레타리아트	Proletariat (Loanword)
싸와주는	싸워주는	Fighting for (Older spelling)
동지	동지	Comrade


---------------------------


잡지명	삼천리 제3권 제10호
발행일	1931년 10월 01일
기사제목	懸賞實話, 三角戀愛에 對한 나의 解決策
기사형태	회고·수기

懸賞實話, 三角戀愛에 對한 나의 解決策
佳作
·웃는 주-핏트----平北寧邊 金基元
·幸福者의 설음----濟州島 崔一順
·妖性의 그 女子----上海 吳可雲

C언니는 나의 恩人이외다(賞)
平南 朴恩愛

지금으로부터 3년 전 느진 가을이엿슴니다. 나는 주먹으로 가삼을 두다려 상처를 만들머 머리를 죄 뜻고 입술을 깨물어서 먹장 갓흔 피를 내면서도 압흔 줄도 모른 넉 일흔 인간이엿슴니다.
가을 하늘은 곱고 맑엇스며 바람은 시원하엿슴니다. 나무입흔 실바람에 실녀서 나뷔 춤추는 양으로 이곳저곳에 흣허젓슴니다. 외-ㄴ 우주는 몹시도 시원스럽게 넓어진 것 갓햇슴니다. 그래서 그 가을의 세선은 만흔 사람을 유혹해서 돈 잇는 사람은 뜨라이브!로-돈 업는 사람은 워킹으로―제각긔 조흔 곳을 실음 업시 차자 다니게 하엿슴니다. 이리하여서 텅-비인 것 갓흔 서울 장안은 더 한층 쓸쓸해서 나의게는 흣터진 성터의 녯 자최를 차즈러 단이는 것 갓흔 늣김을 던저 주는 것 갓햇슴니다. 그래 나는 더욱 안타가웟슴니다. 지나간 날의 녯 꿈이 끗업시 그리워 젓슴니다.

거긔서 나는 또 한번 펜을 잡아 P에게 아래와 갓흔 편지를 쓰게 되엿슴니다.
『P씨! 넉일은 이 몸은 당신을 그래도 못니저서 이 펜을 또 잡엇슴니다. 치근치근한 계집애라고 욕하시겟지요. 내 자신도 그것은 잘 알고 잇슴니다. 몃 번이나 편지해도 한 번 회답도 업는 당신임으로!!
그러나 나는 이 펜을 잡지 안코는 못견대겟스니 엇지하오릿가. 나는 지난날의 모-든 것을 회상하고 밋친 사람 모양으로 울어도 보고 웃어도 보며 별별짓을 다-해서 내몸을 나로서 상처를 만드럿 놋슴니다. P씨! 긔억되심닛까? 머-ㄴ 산에 아지랑이가 곱게 잠들고 산과 들에는 새풀이 파릇파릇 움돗는 지난 봄 씨-슨 이엿지요.
우리들은 도다오는 금잔듸 우에 네 발을 쪽 펴고 안저서 우리 압날의 이약이를 속삭엿지요.＜90＞
그리고 당신은 이러케 말삼하섯지요.
「당신은 내 그림자요. 나는 당신의 그림자입니다」 라고.
나는 당신 말삼에 몃 번이나 질문하엿지요? 그것은 엇더한 의미에서 하신 말삼인가고...
당신은 또 이러케 대답하섯지요.
「당신 가는 곳에 내가 가고 내가 가는 곳에 당신이 간다는 의미임니다.」 라고.
P씨! 얼마나 뜻잇는 말삼이엿슴니까? 우리들은 힘잇는 포옹 속에서 몃 분 동안 아모 말 업시 침묵을 직혓지요. P씨! 나는 길-게 쓰려고 하지 안슴니다. 쓸사록 가삼이 꼭 맥힌 것 갓해서 더 쓸 수가 업슴니다. 녯날의 추억의 주머니가 터저 나올사록 더 괴로울 뿐임니다. 오늘은 이만하겟슴니다.』
당신의 회서를 기다리는 B올림

그 사흔 날 밤 여덜 시 쯤해서 P로부터의 회답이 왓담니다. 득자 여러분이여! P의 편지를 손에 바다든 나의 맘이 엇더하엿을가요. 공포심! 호긔심! 하여간 내 몸덩어리 전부가 떨니엿든 것은 사실임니다.
그러면서도 나는 그의 편지를 엇더한 긔대를 가지고 떼엇담니다. 그러나그러나 내가 긔대한 것과는 너무도 틀엿슴니다.
아아! 상상도 하지 안엇든 의외의 사건―꿈인가 생시인가―분별하기 어려워서 내손으로 살점을 꼬집어도 보앗슴니다. 꿈이면 조흐련만―그것은 도 아닌 생시의 사실이엿슴니다. 「그가 과연 다른 사람하고 결혼해.」 「아니다...」
그래도 나는 그것이 사실은 안이리라고 밤도 깁헛는데 P의 숙소로 달여가서 대문을 두다렷지요.
P의 방은 문간에 들어서면 마조 보이는 건너방이엿슴니다. 내가 몹시도 단니든 그 방은 녯이나 지금이나 조금도 다름 업는 것 갓햇슴니다. 낫익은 그 방―눈물이 먼저 압흘 가리워서 무엇이 무엇인지 분별할 수 업섯슴니다만은 P방 문 압헤 그의 구두와 가즈런히 노힌 굽 놉흔 노랑구두가 뎐기불에 비치여서 눈물 고인 내에 눈까지도 잘 보혓슴니다.
「설마」 하는 생각으로 뛰여갓든 내 맘이 엇더하엿겟슴닛가. 문을 열어볼 용긔 좃차 업서서 도라서 나올여고 하는데 바로 그때 내가 제일 존경하는 C언니의 목소리가 안으로부터 들엿슴니다. 힘업든 전신의 활기가 돌앗스며 문 열어볼 용기 좃차 업든 나는 반가운 김에 두말 업시 「언니-」하고 문을 열엇담니다.
과연 C언니가 안저 잇섯슴니다만은 그들은 도적질하다가 들킨 사람 모양으로 어이가 업시 안고 잇슴니다.
그리고 또 놀날 것은 C언니의 태도임니다. 전 갓흐면 얼마나 반갑게 마저주엇을까요. 그는 얼골이 빨갓케 되어 아모말 업시 안저 잇쓸 뿐이고 나의게 「왓느냐」는 인사 한 마듸 좃차 업섯드람니다.
문박게서 C언니의 목소리를 들을 때는 무쌍한 긔대를 가지고 반가워서 문을 열어보앗든 것이 오히려 열어 보지 말고 그대로 도라갓드면 얼마나 조핫을가 하는 후회가 막심하엿슴니다.

이저지지도 안은 3년 전 정월 보름날 저녁이엿슴니다. 한강에 달구경 간다고 어머님과 동생들과 함께 대문 밧게 나서자 저쪽편으로 C언니가 달여오면서 어듸들 가느냐고―나는 한강에 가기는 가면서도 C언니한태 가고 십허 하든 차에 C언니를 맛낫스니 얼마나 깃벗겟슴니까.(쟈미스럽든 녀학교 시대에 동성연애 해 보신 분들은 대개 취측하실 것임니다.)
한강 가는 것도 그만두고 C언니와 대문간에 발을 듸레노을야고 할 즘에 저편에서 사각모자 쓴 전문학교 학생이 이편으로 걸어오면서 싱글벙글 웃는담니다. 「싱거운 사내도 잇다」 속으로 안이꼽게 생각하는데 C언니가 그 학생에게 말을 걸겟지요. 그래서 그이가 C언니와 함께 온 사람인 줄 알엇슴니다.
우리들은 마루에 안저서 달구경 하다가 C언니의 춥다는 아우성에 안방으로 드러갓슴니다.
C언니는 이런 이약이 저런 이약이하는 끗헤―
「이 옵바가 너를 참 엡부다고―너하고 응-」
C언니의 팔촌 옵바―전문햑교 학생은 C언니의 입을 막으면서 말을 끈허버릴여고 하겟지요.(제81頁에서 계속)＜91＞
그러나 C언니는 또 말을 게속햇슴니다.
「이 옵바가 참 좃타. 너야 이런 것이 알겟니만 내가 좃타면 조흔 줄만 알어라」 하며 「호...」 우서버럿슴니다. C언니가 날더러 남자와 연애하라고 권하는 것을 드를 때 몹시도 불쾌한 생각을 가젓슴니다. 나는 세상에 누구보담 C언니를 사랑햇기 때문에 다른 사람을 사랑하겟다는 생각좃차 업섯슴니다.
그 후에도 C언니는 몃 번이나 그 남자―자긔의 팔촌 옵바와 나의 맛날 긔회를 만드러 줄녀고 애썻슴니다. 그래서 우리들은 (C언니의 팔촌 옵바―P) 자조 맛나서 이약이 하게되엿스며―닛저지지 못할 사이가 되여젓담니다. 우리들 사이를 극력 옹호해 주든 C언니가―녯날의 나의 은인이든 C언니가―나를 이럭케도 구덩이 속에 집어 너을 줄이야 누군들 상상햇스릿가. 나는 내가 사랑하든 P―또 내가 제일 밋엇든 C언니에게 「더러운 년놈들」이라는 한 마듸의 말만 남겨 놋코 그 방문 압흘 떠나왓슴니다.

삼년 전 녯날에 나의게 다시 업슬 상처를 만드러준 C언니를―나는 원망하고 십지도 안슴니다.
안니!! 원망보담―오히려 그를 「은인」이라고 불으고 십슴니다. ―C언니는
그 후 몃 달 지나지 못해서 어린 자식 한아를 등에 업고 늙은 자긔 어머님을 차저갓다는 소문이 들립니다. 불상한 C언니. 내가 이 길로 나오게 된 것은 전혀 언니의 덕 임니다.
나는 끗흐로 C언니에게 부탁하고 십슴니다. 언니도 모-든 것을 다-청산해 버리고 우리들 푸로레타리아-트를 위해서 힘써 싸와주는 동지가 되여주기를 바라는 바임니다.
1931년 9월 18일 밤＜81＞
＜90-91, 81＞
