**Header Section:**
Magazine Title: 삼천리 第13卷 第4號
Publication Date: 1941년 04월 01일 (April 1, 1941)
Article Title: 海外文化通信 (Overseas Cultural News)
Article Type: 소식 (News/Updates)

**Body Text Translation:**

Overseas Cultural News

German Cultural Policy Conference
In Braunschweig, the German Cultural Policy Conference was held, where it was resolved that, far from reduction or suspension, all fields of culture must be greatly developed and expanded. Theaters and symphony orchestras throughout the country are active just as in peacetime, and book publishing has actually become more vigorous. Right at the beginning when the war started, only 12 out of the 172 city theaters nationwide were open, but afterwards, as Hitler's cultural encouragement (文化樊勵) became thorough, all the nation's theaters began operating, and theater renovations and new constructions increased in various places. Audience numbers have also increased since the war began, and the average annual number of performances per actor leaped from 126 before the war to 156.

Musical activities are also being carried out without interruption. The number of concert attendees has also generally increased in almost every city since the war began.

The number of publications has, since 1939, almost doubled (倍加), and literary awards are also being actively implemented. <192>
Also, on the day of this Cultural Policy Conference, the bestowal of the annual German National Prize for Literature was held as a regular event (例年의 行事). This year's awarded works (授業賞作品) are "Richter Barthold" (裁判官 발톨트) by Hans B. Naateia and "Mann vom Meer" (海의 男) by Ulrich Sander. Naateia, born in Breslau (부레스라우), is a 38-year-old writer this year who engages in creative work while serving as a lecturer at a higher normal school.

Tolstoy 30th Death Anniversary Commemoration
The 30th anniversary commemoration of Tolstoy's death was held last November, and to commemorate this, the Moscow Art Publishing House published pamphlets (판무렡) containing critiques of Tolstoy's life and works. It is said that these included not only critiques by figures such as Lenin, Gorky, and Chernyshevsky (꼴끼-체르니시에프스키), but also a portrait of Tolstoy painted by the artist Repin (레핀) of that time, and rare photographs taken in 1856 featuring Goncharov (곤챠로프), Turgenev (트르게-네프), Tolstoy, and others. ("The Times Literary Supplement," July)

German Occupation Zone
In France (佛蘭西), communication links between the German occupation zone and other regions are still almost in a state of interruption (杜絶狀態) <193> to prevent leakage of German operational secrets (作戰機密). However, postal cards (郵便葉書) of the format shown below (左) have been specially issued and provided for domestic communication.

"Date [Year Month Day]
... Healthy ... Tired ...
... Light injury (經), Serious injury, Killed in action ...
... Prisoner of war (捕虜) ... Deceased ...
... Missing in action (行方不明) ...
... Family ... Safe (無事) ...
... Food (食糧) ... Money (金錢) ... Personnel (人用) ...
... Communication ... Luggage/Parcels (荷物) ... Arrived via ...
... Working at ... Scheduled to enter X school (何某校)
... Received (受取했다) ... Going to ...
Date ...
... Signature"

(Note) Use this postcard solely to convey family news. After erasing (抹消) unnecessary text, write only in the dotted blank spaces (空白). Items violating the above (右) regulations will not be delivered and will be destroyed (破棄)."

Hemingway's New Work to be Filmed
Hemingway's new work, "For Whom the Bell Tolls" (누구 때문에 죽엄의 鍾이 유느냐), set during the Spanish War, features a young American who died fighting for the Spanish Republican government forces as its protagonist (主人公). <194> Hailed by critics as the greatest masterpiece of recent American literature, it sold nearly 500,000 copies within two months of publication, and recently it was decided that this novel will be made into a film.
The fee for the film rights (映畵化料) is said to be $150,000, which is described as a record-breaking (記錄破壞) high amount (高額) paid by a film company to an author.
History," 10th)

London Publishing World
The London publishing world, despite various hindrances due to air raids (空爆), is generally continuing its work. Recently, unbound books (未製本書籍) piled in the yard of London's largest bookbinder (製本屋) were destroyed by fire (火災). Book transactions (書籍取引) decreased by 340 percent [sic], but new customers (顧客) were gained from the soldiers' side. Meanwhile, the provinces (지방) remain as usual (평상시).

Books Published in the US over 11 Months
In America, the total number (總數) of books published in the past 11 months reached 10,106. Among these, novels numbered 1,646, biographies and autobiographies 603, literary works such as poetry, literary criticism, and essays (엣세이) 1,434, and books concerning politics, economics, and the world situation 1,570. <195>
<192-195>

**Summary**

This article compiles cultural news from various countries amidst World War II (as of early 1941). It highlights Germany's efforts to maintain and even expand cultural activities like theater, music, and publishing despite the war, portraying it as a deliberate policy. It also notes the 30th anniversary of Tolstoy's death in Moscow, communication restrictions in Occupied France via a specific postcard format, the massive success and film deal for Hemingway's "For Whom the Bell Tolls" in the US, the resilience of London's publishing industry despite air raids (though reporting a questionable 340% drop in trade), and US book publishing statistics. From a Korean colonial history perspective, the article is interesting as it presents world news likely filtered through Japanese (Axis) sources. The positive framing of Nazi Germany's cultural policy is particularly noteworthy, reflecting the political alignment of the time and offering insight into the information environment for readers in colonial Korea.

**Named Entities**

獨逸	독일	Germany
부라운 슈바이크에서, 獨逸文化政策大會가 열려, 文化의 모든 분야에 거처 축소나 중지 등은 커냥, 크게 발전확대하지 않으면 안된다고, 결의되었다. 劇場과 交響樂團은 전국각지를, 통해서, 평시와 똑같이, 활동하고, 書籍出版은, 오히려 盛하게 되었다. 戰爭이 시작되었을 바루 처음에는 전국 172의 都市에 있는 劇場中, 겨우 12극장밖에 開館하지 않었으나, 그 후 히틀러의 文化樊勵가 철저함에 따라, 전국의 劇場이 죄다 활동하고, 각지에서 劇場改築과 新築이 늘어갔다. 관객수도 전쟁에 들어가서부터 더 많어지고, 한 俳優의 出演回數는 연평균이 戰前의 126에서 156회에 비약했다.
음악활동도 중단되는 일없이 履行되고 있다. 音樂會聽衆의 수도 대개 어느 都市던지 戰爭에 들어가서 불었다.
出版物의 수는 1939년 이래, 거반, 倍加했고, 文學賞도, 盛히 시행하고 있다.＜192＞
그리고 이 文化政策大會 當日에, 例年의 行事인 獨逸文學國民賞의 수여가 거행되었다. 今年 授業賞作品은 한쓰·베·나-테이-아의 「裁判官 발톨트」와, 울-릴치짠다-의 「海의 男」이다. 베-나테이-아는 부레스라우生으로, 今年 38세되는 作家, 高等師範學校의 강사를 하는 한편, 창작을 하고 있다.

톨스토이 死後 30年祭
톨스토이死後 30年祭는 지난 11월에 行하였는데, 이것을 기념하는 의미로, 모스코의 美術出版社는 톨스토이 生涯 及 作品의 批評을 실은, 판무렡을 발간했다. 여기엔 레-닌, 꼴끼-체르니시에프스키 등의 비평도 실릴 뿐 아니라, 당시의 畵家 레핀이 그린 톨스토이像과, 1856년에 박은 곤챠로프, 트르게-네프, 톨스토이 등의 진귀한 사진도 들어 있었다고 한다.(「타임쓰리테라리·삿풀멘트」 7月)

獨軍의 占領地域
佛蘭西에서는, 獨軍의 占領地域과 그밖에 지방과의 通信連絡이 獨逸의 作戰機密의 漏洩를 막기 위해서, 의연히, 거반, 杜絶狀態에＜193＞ 있으나, 左와 같은 形式의 郵便葉書가 특별히 발행되어, 국내의 通信用으로 提供되여있다.
「年月日
...健康하게... 疲勞하여...
...經, 重傷, 戰死...
...捕虜... 死亡...
...行方不明...
...家族... 無事...
...食糧... 金錢... 人用...
...通信... 荷物... 로 歸着...
...에서 일한다... 何某校에 入學豫定
...受取했다... 에 간다...
日付...
... 署名」
(注意) 이 葉書는 전혀 가족의 소식을 전하기 위해서 사용할 일. 불필요한 文字를 抹消한 우에, 점선을 찍은 空白에만 記入할 일. 右의 규정에 위반된 것은 배달안하고 破棄할 일.」

헤밍그웨이의 新作映畵化
헤밍그웨이의 新作 「누구 때문에 죽엄의 鍾이 유느냐」는 스페인전쟁을 舞臺로 하여 스페인 政府軍때문에 전사한 젊은 아메리카인을,＜194＞ 主人公으로 했다. 아메리카 문학의 최근의 최대걸작이라고, 批評家들한테 絶讚을 받고, 發賣後 2개월로서, 50萬 가까히 팔었는데, 최근 이 小說은 映畵化하기로 결정되었다.
그 映畵化料는 15萬 딸라라 하며, 映畵會社가 作家에게 지불한 金額으로는, 전혀 記錄破壞의 高額이라 한
히스토리이」10일)

런던出版界
런던 出版界는, 空爆으로 해서 여러 가지 지장이 있음에도 불구하고, 대체로는 일을 계속하고 있다. 최근에는 론던 제일 큰 製本屋 마당에 쌓여있든 未製本書籍이 火災로, 소실되었다. 書籍取引은 340파-센트 減하였으나, 兵隊들側으로 새로 顧客을 얻었다. 一方 지방은 평상시와 같다.

米國에서 11個月間 出版된 書籍
아메리카에서 過去 11개월간에, 出版된 書籍 總數는 10,106冊에 달하는데 이 중에 小說은, 1,646冊, 傳記 及 自叙傳은 603冊, 詩, 文學批評 及 엣세이 等의 文學書는 1,434冊, 政治經濟 及 世界時局에 관한 冊은 1,570冊이다.＜195＞
＜192-195＞
