Magazine Title: 개벽 제54호
Publication Date: 1924년 12월 01일
Article Title: 咸南列邑大觀, 大豆特産地 安邊郡 (Grand View of Hamnam Towns, Anbyŏn County: A Specialty Soybean Producing Area)
Author: Not specified
Article Type: 소식 (News/Report)

South of Wŏnsan, the view opens dramatically onto the Anbyŏn Plain (安邊平野). (It ranks third among the plains of Hamgyŏngnam-do). However, Anbyŏn County (安邊郡) as a whole cannot but be called a mountain county (산읍). Its east, west, and south sides border the four counties of Kangwŏn Province: T'ongch'ŏn (通川), Hoeyang (淮陽), Ich'ŏn (伊川), and P'yŏnggang (平康). Along these borders, great mountains such as Sŏlsu (雪水), Hwangnyong (黃龍), P'ungnyu (風流), and Masang (麻桑), and lofty ridges like Punsu (分水), Tongsa (東莎), Ch'ŏllyŏng (鐵嶺), Ch'ŏnghak (靑鶴), Ch'uga (楸柯), Sŏrŭm (雪陰), and Paktal (朴達) rise in a ring, forming a great natural fortress.
It already possesses a long history as Piryŏlhul (比列忽) or Ch'ŏnsŏng (淺城) of Koguryŏ, and as Piryŏl-chu (比列州) or Saktchŏng-hyŏn (朔庭縣) of Silla. The fact that it became the Anbyŏn Protectorate (安邊都護府) from the time of King Hyŏnjong of Koryŏ hints at its importance as a key point for national defense.
The administrative district comprises 7 myŏn and 203 tongni, with 10,513 households and a population of 61,370. The total area is 68 square ri. (Japanese 473, Chinese 24, Foreigners 2) <91>
Educational institutions include 3 public common schools, 8 private schools, and 2 Japanese elementary schools. Religions include Buddhism, Protestantism (耶蘇敎), Catholicism, and Ch'ŏndogyo (侍天敎), but among these, Buddhism seems to have many adherents, likely due to the lingering influence of the famous Sŏkwang Temple (釋王寺). Next are Protestants with about 500 members, and Catholics with about 270. Ch'ŏndogyo barely maintains its name, hovering between existence and non-existence. In reality, it appears the Confucian scholar faction (유림 일파), centered around the local Hyanggyo (향교), holds the central influence.
As for society, even considering it's a mountain county, it is truly pathetic. One can guess the public sentiment by observing that there was not even a stir during the March First Movement (己未運動) that swept through all of Chosŏn. It is also disgusting that in the county seat (읍내) of about 340 households, they have kept the Youth Association (청년회) signboard up for four years just to save face (脾胃좃케). Perhaps they intend to simply live drunk and die dreaming (醉生夢死), as more than half of those aimlessly wandering the streets, regardless of age, are red-faced drunks (紅面兒). Because of this, business for the brewing companies (two in the county seat) is very good. Furthermore, it seems to have become customary for people to indulge in Go and gambling (碁博) instead of reading newspapers and magazines. Anbyŏn figures, is it not because your society is so withered (萎靡) and corrupt that a fiend (魔物) like Ch'oe Talbin (崔達斌) rampages and tramples (橫行 蹂躪) upon you? (More on the Ch'oe Talbin matter below)
Regarding the state of living, the products of the mountains and fields have relatively allowed for a frugal life where income meets expenses. However, with the black hand (黑手) of the Oriental Development Company (東拓) and the increase of Japanese and Korean landlords (日鮮人 지주) in the last ten years, the future cannot be viewed optimistically. Although it welcomes 30,000 to 40,000 sightseers (探勝客) annually thanks to scenic spots like Sambang (三防) and Sŏkwang Temple, there is still not a single local specialty product that benefits Anbyŏn's economy. (Only the food and liquor vendors seem to make a living (糊口) from this, but even then, the profitable parts are taken by the Japanese).
Within the county, only Sin'gosan (新高山) shows hope for future development. Before the railway opened, it was a desolate village (孤村) of only three households and a stretch of wasteland; now it has become a large village (대촌락) of over 400 households. Products from Hoeyang, Ich'ŏn, and parts of P'yŏnggang (pine nuts (柏子), hemp cloth (麻布), soybeans (大豆), timber (木材)) gather and disperse centered around Kosan (高山), making its commercial prospects promising. Moreover, the town lacks an air of vanity (浮華), and the young people are diligent and thrifty (근검), showing much spirit for improvement. The local youth association has established a night school (야학) and is constructing a hall (회관) (currently under construction), planning for much future development.
Regarding notable individuals, while I regret not being able to seek out each one, it is also regrettable that there are few "orchids in hidden valleys emitting fragrance" (芳香을 吐하는 幽谷의 蘭). In the county seat, Mr. Chang Ch'an'gyu (張燦圭) seems to be struggling alone, panting with effort. Since the environment is so desolate (冷落함), the fact that he sighs long and short breaths (長吁短歎) several times a day is worthy of sympathy. For sincerity and charitable spirit (慈善心), Kim Wŏnsŏp (金元燮) is mentioned. (In the Imsul year [1922], when famine struck due to crop failure (凶作), he distributed Annam rice worth over a thousand won to compatriots on the brink of starvation (기아에 濱한 동포에게). <92> Since he was not originally a wealthy man (재산가), those who received aid erected a commemorative stele (송덕비) praising his extraordinary charitable act (자선사업). However, is it not a small shame (수치) for Mr. Kim that he did not prevent that so-called commemorative stele?) In Kosan, Mr. Yi Taeyong (李大用) is a prudent and pragmatic (務實的) businessman who strives for the youth society, which is commendable (가상한 일), and Mr. Kang Yŏnggyun (姜英均) is also a very promising young man. Individuals like Yi Chaejo (李載朝) of Wiik-myŏn, Yi Pyŏngjae (李炳宰) of Ando-myŏn, and Yi Ch'unjae (李春載) of Munsan-myŏn, who make great efforts for educational institutions for the future of the region and the children of farming villages, are very appreciated figures.
When one mentions Anbyŏn, anyone would associate it with Sambang Mineral Springs (三防藥水) and Sŏkwang Temple (釋王寺). In the mountains at an elevation of a thousand feet, waterfalls (飛瀑) hang suspended high in the air (고공에 懸하고), and amidst the dense, verdant forests (蒼鬱한 林木) that reach the extreme of secluded beauty (幽邃의 致), there is also the famous mineral spring. It is no wonder it draws crowds (人山) in the long summer (長夏). However, the stench of money (銅臭) associated with villas (別莊) and the like is rather sickening (비위가 적이 상한다).
To think that thanks to Muhak's (無學) auspicious dream interpretation for Yi T'aejo (李太祖), the grand Sŏkwang Temple was built beneath Sŏlbong Mountain (雪峰山) and thrived for five hundred years, one cannot help but feel the passage of time (滄桑의 감). The ancient green pines (창연한 노송) piercing the heavens (天을 叅하고) and the autumn maples of Kŏmbong (劍峰) dazzling the eyes truly make one contemplate leaving the mundane world (斷俗의 念). The water tumbling over white rocks (白石) and the moon coldly reflected in painted pavilions (畵閣) seem to silently illuminate (寂照함) news from the heavens (諸天). Furthermore, the seclusion (幽邃함) of hermitages (庵) like Naewŏn (內院), Hyangjŏk (香積), Paengnyŏn (白蓮), Anyang (安養), and Pomun (普門) makes one completely forget worldly thoughts (塵念을 頓忘케 한다). Filling one's belly with mineral water (鑛泉) and tasting the local specialty, pine mushrooms (송이), is enough to make one not envy the immortals (신선). The piles of name plaques (명패) on Yŏngwŏl-ru Pavilion (暎月樓) and the rows of guesthouses (客館) at the village entrance rather make the famous scenic spot (名區) seem vulgar (속되게 함). However, from this, one can also guess how numerous the visitors are.
Kahak-ru Pavilion (駕鶴樓) in the county seat is a structure from the Silla King Hyosŏng era, and Haksŏng Mountain Fortress (學城山城) on Haksŏng Mountain (鶴城山) was built during the Silla King Hyoso era; these are prominent historical sites (고적) of Anbyŏn.
Next, I will write a bit about Kim Ch'angjun (金昌濬), a wealthy young man counted among the foremost in the county. He holds onto the wealth his grandfather and father extorted (착취한 재산) from the people during their time as county magistrates (其父 金鴻稷 尙在 - His father Kim Hongjik is still alive), and far from looking after human society, his exploitation (착취) of tenant farmers worsens year by year (年復年甚). (If someone shows up bearing even a chicken or a bundle of herring (닭마리 靑魚뭇), the transfer of tenancy rights (소작권 異動) happens at his whim). He even oppresses and expels (압박 驅逐) his own propertyless relatives without hesitation (기탄업시). Recently, as a measure to protect his household, he has turned about 80 farming households into watchdogs (守門犬) for his house under the name of a so-called Self-Defense Corps (자위단). Pitiful souls (可憐兒)! Lend your ears and listen to the sound of the funeral bell (弔鍾). "When Songdo fell, the Pulgasari (불가살이); when Anbyŏn falls, Ch'oe Talbin (崔達斌)" - this is an Anbyŏn folk rhyme. That man, originating from a shaman-diviner background (巫卜出身), flattered those in power (권문), used the Ilchinhoe (一進會), and served as county magistrate for Pukch'ŏng and Anbyŏn. However, even after serving six years in prison for embezzling Imperial Grant funds (恩賜金) (from the former Korean Empire), it seems insufficient, as his wickedness (사악) grows daily under the signboard of chairman for the Confucian Way Promotion Society (儒道振興會) and the National Association (國民協會). Recently, Mr. Chang Ch'an'gyu, in cooperation with the Confucian Association (儒林會), distributed accusatory leaflets (聲討文), which became an issue, and it is said he has been brought to public trial for violating publishing laws and defamation.
Also, regarding the Anhang Irrigation Association (案鶴水利組合), whenever the water rises just a bit, the so-called construction work vanishes into thin air (烏有). If so, when will completion ever occur?
(During the flood of Taishō 11 [1922], the supervisor [上甲?] fled, and in the flood of August 12 [1923], it collapsed again, causing about 100,000 won in damages, and this year it washed away [壤流하얏다]). <93>

**Summary**

This 1924 article provides a critical overview of Anbyŏn County in Hamgyŏngnam-do. It describes its geography as mountainous despite the Anbyŏn Plain, its long history, and current administrative/demographic stats. The author laments the social apathy, widespread drinking, and gambling, contrasting it with the lack of participation in the 1919 Movement. The economy relies on basic agriculture, but faces threats from Japanese colonial entities like the Oriental Development Company and increasing absentee landlordism. While tourism to Sŏkwang Temple and Sambang Springs brings visitors, it yields little local economic benefit. Sin'gosan is noted as a developing area due to the railway. The article praises a few individuals for their public spirit (Kim Wŏnsŏp, Yi Taeyong, educator figures) while sharply criticizing the exploitative landlord Kim Ch'angjun and the corrupt former official Ch'oe Talbin, linking him to the Ilchinhoe and embezzlement. The piece concludes by mentioning the repeated failures of the Anhang Irrigation project.

For historians, the article offers a valuable contemporary perspective on rural Korean society under Japanese rule. It highlights social problems (apathy, alcoholism), economic transformations (Japanese encroachment via the ODC, changing land tenure), local power dynamics involving both traditional elites (Confucians) and corrupt figures exploiting colonial connections (Ch'oe Talbin, Kim Ch'angjun), the limited impact of nationalist movements in some areas, and the contrast between traditional sites drawing tourism and the lack of tangible economic development for locals. The specific criticisms of named individuals and the mention of organizations like the ODC, Ilchinhoe, and local associations provide concrete details about colonial realities.

**Named Entities**

咸南	함남	Hamnam (Hamgyŏngnam-do)
무산자	무산자	Propertyless person, proletarian
압박	압박	Oppression, pressure
驅逐	구축	Expulsion, driving out
기탄업시	기탄없이	Without hesitation, openly (older spelling)
자위단	자위단	Self-Defense Corps
守門犬	수문견	Watchdog (lit. gate-keeping dog)
可憐兒	가련아	Pitiful child/person
弔鍾	조종	Funeral bell, knell
불가살이	불가살이	Mythical creature said to eat metal and grow
巫卜	무복	Shamanism and divination
권문	권문	Powerful families, influential circles
아첨하며	아첨하며	Flattering
一進會	일진회	Ilchinhoe (Pro-Japanese political group)
恩賜金	은사금	Imperial grant money (often related to Japan's annexation)
횡령사건	횡령사건	Embezzlement case
未足한지	미족한지	As if not enough
간판	간판	Signboard
사악	사악	Wickedness, evil
聲討文	성토문	Public denunciation, accusatory statement
일거리	일거리	Matter, issue, source of trouble
공판에 붓치엇다나	공판에 부치었다나	Said to have been put to public trial (older spelling)
水利組合	수리조합	Irrigation association/cooperative
烏有	오유	Nothingness, non-existence (lit. Crow Have - from a fable)
준공	준공	Completion of construction
붕괴	붕괴	Collapse
壤流하얏다	양류하였다	To be washed away (by floodwaters) (older spelling/term)
-e 

---------------------------


잡지명	개벽 제54호
발행일	1924년 12월 01일
기사제목	咸南列邑大觀, 大豆特産地 安邊郡
기사형태	소식

咸南列邑大觀, 大豆特産地 安邊郡
元山 이남에 眼界가 豁然한 것은 安邊平野이다. (咸南平野 중 제3위에 居함) 그러나 安邊 一郡은 산읍이라 안니할 수 업다. 동서남 삼면이 江原외 通川, 淮陽, 伊川, 平康의 四郡과 界하야 境上에 雪水, 黃龍, 風流, 麻桑 등 巨山과 分水, 東莎, 鐵嶺, 靑鶴, 楸柯, 雪陰, 朴達 등 준령이 環峙하야 천연의 대성곽을 이루엇다.
高句麗의 比列忽, 淺城으로 新羅의 比列州, 朔庭縣으로 벌서 오랜 역사를 가젓스며 高麗 顯宗 時부터 安邊都護府가 된 것은 문듯 국방의 요지임을 알 수 잇다.
행정구역은 7면 203동리에 10,513호의, 인구수 61,370이 잇스며 총면적은 68방리다.(日人 473, 支那人 24, 외국인 2)＜91＞
교육기관으로는 공립보통학교 3, 사립학교 8, 일본인소학교 2가 잇고 종교로 불교, 耶蘇敎, 천주교, 侍天敎 등이 잇스나 其 중 불교가 만흔 신도를 가짐은 저 유명한 釋王寺의 餘風인 듯하다. 그 다음은 耶蘇敎人이 5백여 명, 천주교도가 270여 인이다. 侍天敎는 有耶無耶 중에서 겨우 명의만을 유지할 뿐이다. 실지로는 향교를 중심으로한 유림 일파가 중심세력을 가진 모양이다.
사회라고는 아무리 산읍이지마는 넘우나 한심하다. 全 조선이 뒤끌어 풍미하는 己未運動 당시에도 꿈적한 일이 업는 것을 보아서도 인심을 짐작할 수 잇지마는 340여호의 읍내에는 脾胃좃케 청년회 간판을 4년 동안이나 그냥 붓처둔 것도 可憎하거이와 醉生夢死로 그냥 마치랴는 셈인지 노소를 물을 것 업시 노상에 방황하는 자는 반수 이상이 紅面兒이다. 그 바람에 釀酒회사(읍내 2개소)의 경기는 매우 조타. 그 우에 남들이 신문, 잡지 보는 대신으로 碁博을 일삼는 것이 상례가 된 모양이다. 안변인사 그대들의 사회가 그러케 萎靡 부패한 결과로 저 일군의 魔物 崔達斌이가 횡행 蹂躝함이 아니냐.(崔達斌 事는 이하에)
생활상태는 산야의 산물이 비교적 質素한 생활외 收支相殺는 되여왓다. 그러나 挽 近 10년래로 東拓의 黑手와 日鮮人 지주가 늘어가는 서슬에 前途를 낙관할 수 업다. 三防, 釋王寺 가튼 명승을 가지고 일년에 3, 4만의 探勝客을 迎送하지마는 무슨 토산물 한가지로 安邊 경제에 裨益될 것이 아즉 업다.(오즉 酒食營業者가 그 덕에 糊口는 하는 모양이나 그것도 利 먹을 만한 것은 日人의 차지)
군내에서는 新高山이 오즉 압흐로 발전할 희망이 보인다. 철도 개통 전은 수3호의 孤村과 일대의 황무지이든 것이 今에는 4백여 호의 대촌락이 되얏다. 淮陽, 伊川, 平康 일부의 물산이 (柏子, 麻布, 大豆, 木材은) 高山을 중심으로 集散하야 상업의 전도 유망은 물론이오 거리에 浮華의 풍이 적고 청년들이 근검하야 향상의 기분이 만타. 지방 청년회에서는 야학을 개설하며 회관을 건축하야 (방금 공사중) 압흐로 만흔 발전을 기도하는 중이다.
인물은 내가 일일히 차지보지 못한 유감도 잇지마는 芳香을 吐하는 幽谷의 蘭이 적음도 유감이다. 읍에서는 張燦圭군이 혼자 허덕허덕 애를 쓰는 모양이다. 환경이 원체 冷落함으로 하로에도 長吁短歎을 몃 번식이나 하는 것이 동정할 만하다. 淳實하고 慈善心이 잇기로는 金元燮을 말한다. (씨는 去 壬戌에 凶作으로 기아에 濱한 동포에게＜92＞ 천여 원의 安南米를 배부하엿다. 원래 재산가가 아닌데 그러케 자선사업을 한 것이 특별하다고 被救者측에서 송덕비를 셋웟다) 그러나 소위 송덕비 그것을 방지하지 못한 것은 씨의 적은 수치가 가 아니냐. 高山의 李大用군은 침중하고 務實的인 실업가로서 청년사회를 위하야 노력하는 것이 가상한 일이며 姜英均군도 장래가 매우 유망한 청년이다. 지방의 장래와 농촌자제의 전도를 위해서 교육기관에 대한 노력을 만히 하는 衛益面 李載朝, 安道面 李炳宰, 文山面 李春載가튼 이들이 매우 고마운 인물이다.
安邊이라면 뉘나 맛찬가지로 三防藥水와 釋王寺를 연상하리라. 해발 천척의 산중에서 飛瀑은 고공에 懸하고 蒼鬱한 林木이 幽邃의 致를 極한 그 중에 또 유명한 약수가 잇슴은 長夏의 人山을 이름이 고이치 아니하다. 그러나 別莊이니 무엇이니 하는 銅臭에는 비위가 적이 상한다.
無學이 李太祖의 선몽 잘한 덕으로 雪峰 산하에 宏大한 釋王寺가 생기고 오백년간 잘 울여먹은 것을 생각하면 滄桑의 감이 업슬 수 업다. 창연한 노송이 天을 叅하고 劍峰 단풍이 눈을 부시는 것은 과연 人으로 하여금 斷俗의 念을 가지게 하며 白石에 굴러 떠리지는 물과 畵閣에 차게 어린 달은 諸天 소식을 寂照함이 아닌가 할 만하다. 더욱이 內院, 香積, 白蓮安養, 普門 등 庵의 幽邃함은 塵念을 頓忘케 한다. 鑛泉에 배를 불리고 특산인 송이를 맛봄도 신선을 부럽잔을 만하다. 暎月樓에 뭉텅이진 명패와 동구에 즐비한 客館은 오히려 名區를 속되게 함이라 할 만하다. 그러나 딸하서 관람객의 여하히 다수임도 짐작하겟다.
읍내의 駕鶴樓는 신라 孝成王 시대의 건물이며 鶴城山의 學城山城은 신라 孝昭王 시대의 축조로서 安邊의 屈指하는 고적이다.
그 다음은 군내에 굴지하는 부호청년 金昌濬의 이약이를 좀 쓰겟다. 彼는 乃祖乃父의 군수시대에 민간에서 착취한 재산을 옹호해 가지고 (其父 金鴻稷 尙在) 인류사회를 돌아보기는 컨녕 소작인에 대한 착취는 年復年甚하고 (닭마리 靑魚뭇이나 가지고 아른대는 자가 잇스면 소작권 異動은 제마음대로) 乃至 그 친족의 무산자까지 압박 驅逐을 기탄업시 하며 근일은 제집 보호책으로 소위 자위단이란 명의 하에 80여호의 농민을 제집의 守門犬을 만들엇다. 可憐兒여! 귀를 기우려 弔鍾의 소리를 들을지어다. 松都 망할 때 「불가살이」 安邊 망할 때 崔達斌이 이것은 安邊 동요다. 그자는 巫卜出身으로 권문에 아첨하며 一進會를 이용하야 北靑군수 安邊군수를 지냇다. 그러나 恩賜金(舊韓國) 횡령사건으로 6년 감옥살이를 하고도 아즉 未足한지 儒道振興, 國民協會의 회장이란 간판을 붓치고 사악이 날로 심하다. 근일은 張燦圭군이 儒林會와 합력하야 聲討文을 선전한 것이 일거리가 되여서 출판법 위반이니 명예훼손이니 하야 공판에 붓치엇다나.
그리고 案鶴水利組合에서 물만 좀 불으면 소위 공사한 것이 그만 烏有에 몰아가고 만다니 그러면 준공은 언제나 될가.
(大正 11년 수재에 上甲이가 도주하고 12년 8월 물에 또 붕괴하야 약 10만원 손해를 내이고 금년에 壤流하얏다)＜93＞
＜91-93＞
