**Header Section:**
Magazine Title: 개벽 제54호
Publication Date: 1924년 12월 01일
Article Title: 咸南列邑大觀, 元山의 울타리 德源郡 (Grand View of Hamnam Towns, Tŏkwŏn County: The Fence of Wŏnsan)
Author: None Mentioned
Article Type: 소식 (News/Report)

**Body Text Translation:**
Grand View of Hamnam Towns, Tŏkwŏn County: The Fence of Wŏnsan

In the manner that small trees dare not grow tall beneath a large tree, counties adjacent to major cities (府 - *pu*) rarely develop much, and consequently, it is difficult to find any special characteristics. Koyang near Kyŏngsŏng (Seoul) is like this, Puch'ŏn near Inch'ŏn is like this, Talsŏng of Taegu, and Taedong of P'yŏngyang are all like this. This Tŏkwŏn is also like this. Its history is, of course, exactly the same as Wŏnsan's, so there is no need to say more; the local sentiment, customs, and habits are mostly the same; famous sites and historical relics are mutually related, and various facilities are often shared, so there is nothing special to mention. However, since the county (郡 - *kun*) and the city (府 - *pu*) have already been separated, one cannot help but speak of its general situation. This Tŏkwŏn County is located in the southern part of Hamgyŏngnam-do Province, bordering Yangdŏk-kun County of P'yŏngan'nam-do Province and Koksan-gun County of Hwanghae-do Province to the west, Munch'ŏn-gun County to the north, Anbyŏn-gun County to the south, and embracing Wŏnsan-bu City to the east, facing the sea. The terrain is long from east to west and short from north to south; the part embracing Wŏnsan-bu protrudes into the East Sea, forming a peninsula, and faces Hodo Island of Yŏnghŭng-gun County, forming Yŏnghŭng Bay. The coastline is about 27 nautical miles (including islands). Various islands such as Yŏdo, Sindo, and Ungdo are scattered inside and outside the bay, not only forming good fishing grounds, but the peninsula protruding into the sea, with its white sands and green pines, has beautiful scenery and clean seawater, making it world-famous as a summer resort and bathing beach for foreigners (namely Myŏngsa Simni). The topography is divided east-west by the famously rugged Masikryŏng Pass; the western part forms a highland area belonging to the upper reaches of the Imjin River, with many mountains and [barren] (*translator's note: word missing in original, likely 척박하며 - ch'ŏkpakhamyŏ*) land, while the eastern part forms a plain facing the East Sea, where the soil quality (地味) is generally fertile, suitable for agriculture. <86> The extent is 130 *ri* east-west, about 100 *ri* north-south, and the area is 57,347 square *ri* (*pangni*), divided into 6 *myŏn* (townships) and 133 *dongni* (villages); the total number of households is 8,227 (78 Japanese), and the population is 47,401 (217 Japanese). As mentioned above, the soil quality is fertile and suitable for agriculture, particularly adapted for fruit cultivation, which can be known by seeing that the county's annual production reaches 95,000 *kwan* (approx. 356 tons) of apples (苹果) and over 15,600 *kwan* (approx. 58.5 tons) of pears (梨). Also, agricultural products reach 18,000 *sŏk* (approx. 3,280 cubic meters) of rice (米), 16,000 *sŏk* (approx. 2,915 cubic meters) of millet (粟), and twenty-something thousand *sŏk* (approx. 3,644+ cubic meters) of soybeans and other beans (大小豆). Marine products amount to over 124,300 won, and industrial products reach over 439,000 won. Within the county, there are train stations at Munp'yŏng, Tŏkwŏn, and Kalma. Tŏkwŏn Station, the location of the former county office (now moved to Yangji-dong, Wŏnsan), faces the P'yŏngwŏn Highway and is quite prosperous; it has the Hamnam Seedling Station Branch Office (咸南種苗場 支場), other government offices, and schools. In its vicinity, upstream on the Tŏkwŏn River (德源河), there is the hydroelectric power plant of the Wŏnsan Hydroelectric Company (元山水力電氣會社). Historical sites include the Chinmyŏng Fortress site near Kalma Station, the Mangdŏk Mountain Fortress site north of Tŏkwŏn Station, the Ŭiju Fortress site to its west, the Yongjin Old Fortress site near Munp'yŏng Station, and the reputed founding place of the Yi Dynasty (李朝) in Yongju-ri, Chŏkchŏn-myŏn, but all are merely ruins (遺址). There are also many famous spots, but these are deferred to the Wŏnsan article. <87>

**Summary**

This article describes Tŏkwŏn County in South Hamgyŏng Province in 1924, portraying it as overshadowed by the adjacent city of Wŏnsan. Despite this, the article outlines its geography (coastal east, mountainous west divided by Masikryŏng Pass), fertile eastern plains suitable for agriculture (especially fruits like apples and pears), fishing grounds, and the famous Myŏngsa Simni beach resort. It provides statistics on population (including Japanese residents), households, agricultural/fishery/industrial production values, mentions infrastructure like train stations (Munp'yŏng, Tŏkwŏn, Kalma) and the Wŏnsan Hydroelectric plant, and lists several historical fortress ruins and the supposed Yi Dynasty origin site, though stating they are just remnants.

From a historical perspective, the article is interesting for its depiction of the relationship between a major colonial port city (Wŏnsan) and its surrounding rural county (Tŏkwŏn), illustrating a common pattern of uneven development. The specific mention of Japanese population figures, Japanese-frequented resorts (Myŏngsa Simni), infrastructure projects like the hydroelectric plant, and the Hamnam Seedling Station Branch Office provides glimpses into the colonial administration and economy, resource exploitation, and the Japanese presence impacting the region's development and landscape. Historians might find the production statistics and the description of land use valuable for understanding the colonial agricultural economy and regional specialization.

**Named Entities**

咸南	함남	Hamnam
讓하고 만다	양보하고 만다	Yield; defer (and finish)
-e 

---------------------------


잡지명	개벽 제54호
발행일	1924년 12월 01일
기사제목	咸南列邑大觀, 元山의 울타리 德源郡
기사형태	소식

咸南列邑大觀, 元山의 울타리 德源郡
大樹之下에 小樹가 不敢長 격으로 府와 접근한 郡은 별로 발전할 수도 업고 따라서 무슨 특색을 차저내기가 어렵다. 京城에 近한 高陽도 그럿코 仁川에 近한 富川도 그럿코, 大邱의 達成, 平壤의 大同 등이 모도 그럿타. 이 德源도 또한 그러타. 연혁은 물론 元山과 꼭 가트닛가 더 말할 것도 업고 人情 풍속 습관도 대개 갓고 명승고적도 서로 관련되고 각종의 시설도 공통적이 만하서 특별이 말할 것이 업다. 그러나 旣히 郡과 府가 분립한 이상에는 槪況이라도 말하지 안을 수 업다. 이 德源郡은 咸鏡南道 남부에 位하야 서는 平安南道 陽德郡 及 黃海道 谷山郡에 접하고, 북은 文川郡, 남은 安邊郡에 隣하고 동은 元山府를 포옹하야 海에 임하얏다. 지형은 동서가 長하고 남북이 短하야 그 元山府를 포옹한 一端은 동해에 돌출하야 반도를 成하고 永興郡의 虎島와 상대하야 永興灣을 형성하얏다. 해안선은 약 27해리(島嶼까지)오. 만의 내외에는 麗島, 薪島, 熊島의 諸島가 점점이 산재하야 好個의 어장을 成할 뿐 안이라 海中에 돌출한 반도는 白沙靑松에 풍광이 明媚하고 해수가 청정하야 외국인의 피서지 해수욕장으로 世에 저명한다 (즉 明沙十里). 지세는 彼 險峻하기로 유명한 馬息嶺으로 동서에 分하야 서부는 臨津江 상류역에 속한 고지대를 成하얏스니 산악이 多하고 토지가 **하며 동부는 동해에 면한 평지대를 成하야 地味가 대개 비옥하니 농업에 適宜하다.＜86＞ 廣袤는 동서 130리, 남북 약 100리요 면적은 57,347방리로 6면, 133동리에 分하얏스니 全 호수는 8,227(일본인 78), 인구는 47,401인(일본인 217)이다. 지질은 상기함과 如히 비옥하야 농업에 適宜한 중 특히 과수재배에 適應하니 本郡의 매년 所産 苹果가 9만5천관, 梨 1만5천6백여 관 에 달하는 것을 보와도 可知하겟다. 또 농산물로는 米1만8천석, 粟 1만6천석, 大小豆가 2만수천석에 至하며, 수산물도 12만4천3백여 원 공산물도 43만9천여 원에 至한다. 군내 정차장은 文坪, 德源, 葛麻 2개소가 有하니 德源驛은 舊 군청소재지로 (현 移 元山 陽地洞) 平元街道에 임하야 頗히 번창하니 咸南種苗場 支場, 기타관공서, 학교가 有하고 其 부근 德源河 상류에는 元山水力電氣會社의 수력발전소가 잇다. 고적은 葛麻驛 부근의 鎭溟城址, 德源驛 북방의 望德山城址, 또 그 서방의 宜州城址, 文坪驛 부근의 龍津古城址, 赤田面 湧珠里의 李朝 발상지가 유수하나 皆 遺址만 有할 뿐이오, 又 명소도 多하나 元山記事에 讓하고 만다.＜87＞
＜86-87＞
