잡지명	별건곤 제2호
발행일	1926년 12 01일
기사제목	西洋夫人의 朝鮮男便 李星鎔 博士의 서울살림 獨逸서 싹튼 戀愛 = 서울서 단 生活 (Western Wife's Korean Husband Dr. Yi Sŏngyong's Seoul Household: Love Blossomed in Germany = Sweet Life in Seoul)
필자	一記者 (A Reporter)
기사형태	소식 (News/Report)

Like water mixed with water, bland and dull are our Korean households. No, stepping over from an era of morals even more rotten than that, across the bridgehead (橋際) leading to a bright, cheerful, and flavorful new era, are the young Korean couples suffering headaches from domestic coldness and discord! Occasionally, at Seoul's Chongno crossroads or in Andong square, one sees a couple walking side-by-side, shoulders aligned, collars brushing – the husband Korean, the wife Western. Many look on with envious eyes, and not a few with curious ones. This couple is none other than Dr. Yi Sŏngyong and his wife, who returned from Germany last winter with his wife and set up a new home at the entrance to Kwanhun-dong. His wife, hailing from a vastly different land with different bloodlines, climate, and entirely different language and customs, is the only daughter from a quiet farming village in Czechoslovakia, a newly established independent nation in Central Europe (中部 歐羅巴), south of Germany. She thoroughly realized the ideal of borderless love, leaving behind her beloved homeland and lonely mother, seeking her husband's distant country, and has just arrived in Korea.

Though the story delves slightly into the past, Dr. Yi first left his homeland for Germany to study five or six years ago. Shortly after arriving there, perhaps due to not acclimatizing to the region or the food not agreeing with him, his physical health suffered. He went for recuperation to a place in the neighboring country, Czechoslovakia, and while hospitalized there, it seems the East-West sentiment of the sick sympathizing with the sick holds true. Much like we often see in modern novels, the two young people from different countries, groaning in adjacent hospital beds, crossed borders <75> and soon found themselves transported to the land of love.

Western women are originally quite curious, and at that time, after the Great European War, the difficulty for women to marry was considerable. But more than that, the burning love between the two demanded they become formally married. However, upon hearing the news, Dr. Yi's family considered it bizarre behavior and abruptly cut off his academic funding. Despite this, the passion and love on that side did not cool in the slightest. During the four or five years he remained there, and until the couple returned seeking his homeland, the help and support from his wife's family were indeed significant. In that place, where the moon shone on the Alps and the wind blew along the Danube River (따늄 강), with the atmosphere of Southern Europe (南歐風情) nearby, one year, then two passed. Finally, in the splendid Austrian capital, Vienna (웬시), they held a grand wedding ceremony, becoming an object of admiration for young people of both yellow and white races, reportedly thanks to the considerable material contribution from the wife's family.

"How many Koreans are living with Western wives?"
"There are two or three, I think, but they supposedly live down in the countryside? And in Seoul, isn't Mr. Yi Sŏngyong living with a German woman?"
"So, he's the only one in Seoul, it seems. But she's not actually German, but from Czechoslovakia, the country between Germany and Austria that became independent after the last Great European War. Anyway, regardless, visiting their home wouldn't be a bad idea. How are they living?"
This was the back-and-forth conversation that arose one day in our editorial office.

"That sounds good. It must be somewhat different from an ordinary household, so introducing it would be worthwhile. But who will go?"
Already, the eyes of everyone in the editorial office seemed to be turning towards me. I, too, find the typical Korean household awkward – the wife who can barely manage a proper response when someone visits, the husband acting cautiously as if some secret might be revealed – so I disliked the idea of going. However, it was the home of Dr. Yi, who lived with a Western wife. "Alright, I'll go then," I declared and abruptly stood up.

The time was the morning of a certain day in November.
When my feet stepped onto the Andong crossroads, on the right side of the alley leading south towards Sa-dong (寺洞), a sign hung high on a three-story brick building. In the center, horizontally, "Dr. Yi Sŏngyong Clinic" (리성용 의원) was written in black letters. Below that, "Telephone Kwanghwamun 1626" (전화 광화문 1626번) was in red, and on both sides, "Specializing in Pleurisy, Tuberculosis, Respiratory Diseases" (전문 륵막병, 폐병, 호흡긔병) was written vertically in black. Anyone looking for the clinic would quickly spot it. Two or three houses down that alley from the crossroads, attached to the brick building, was a two-story stone house. Above the entrance door, a sign under a bare daytime electric light bulb shimmered, reflecting the moonlight. This house, with the clinic below and living quarters above, was Dr. Yi's home.<76>

Opening the door and entering the waiting room, I waited briefly. After a male and a female patient each finished their consultation with the doctor and left, there was a gap, and he called me into the consultation room. Being inherently awkward in social situations, I stated the purpose of my visit and initiated the conversation.

"Doctor, since you live with a foreign wife, if you don't mind my asking, what differences do you perceive compared to Korean women?"
"Well, let's see. I would need to have associated with Korean women to compare the two. But when I originally left for abroad, I was a twenty-one-year-old bachelor, so despite being Korean, I have no experience associating with Korean women, making it difficult to say."
"Then, what lifestyle do you follow, and are there any points of mutual inconvenience?"
"As for lifestyle, as you can see, we live like this, so naturally, we adopt both Western and Korean ways. You could call it a Chosŏn-Western compromise, perhaps. However, my wife came here from afar, unable to communicate well and unfamiliar with all sorts of circumstances, so she naturally feels lonely. While I cannot fully console her, leaving her too lonely feels wrong. Due to my work commitments as well, I cannot freely leave the house for outings and such. Therefore, while many understanding friends sympathize, some uninformed people criticize, saying I live under my wife's thumb (妻侍下) or whatnot. But given the circumstances, as time passes, my wife is also becoming more understanding and Koreanized, and my parents also understand <77>, so we just get by like this."
However, within his words, there seemed to be unspoken hardships (苦情) associated with living with a foreign woman.

After hearing this general account, I requested to meet his wife briefly and was guided upstairs.
Wondering inwardly what to ask, I sipped the tea offered by the doctor and looked around the room. Several Western painting plaques, large and small, hung on the walls. In the center of the room stood a table with a few chairs, and off to one side, a bed. There was no complex or luxurious furniture; it was mostly practical and simple, making me think that perhaps the German style of living had been transmitted through this couple.

Lively footsteps sounded from the third floor, and the doctor introduced his wife, who had come down from doing laundry. She came in wearing a faded Western suit, with large, distinct fingers and abundant blonde hair. I hesitated considerably during the first greeting, unsure whether to shake hands or just bow. However, she simply bowed modestly in the Eastern style. During the ensuing brief conversation, dealing with her felt much more refreshing and cheerful than interacting with typically cautious and deferential Eastern wives; there was no awkwardness at all. The wife sat on a stool, smoked a cigarette, and occasionally mixed in clumsy Korean words, speaking through the doctor's interpretation.

Reporter: "What was your first impression upon coming to distant Korea?"
Wife: "Aigo, Korea scary! (Up to here in Korean, then continued in German, sounding somewhat disillusioned about coming to Korea.) Although I came here, I don't know the language or the customs, so I can't go out and do anything. I just stay cooped up like this as a housewife."
Reporter: "Being so far away like this, you must naturally think of your homeland."
Hearing this, the wife, whose face had been so cheerful, seemed to momentarily contemplate, as if longing for her homeland.
Wife: "Of course."
Her expression seemed to darken slightly.
I regretted bringing up such a topic unnecessarily. But I pressed on.
"What was your impression of Korean women when you first arrived?" I asked.
Wife: "Many Korean friends have visited, and there are ladies I socialize with, but since we currently don't know each other's language, I can't understand their inner thoughts even when we interact, so I don't have much of an impression."
Reporter: "Have you tried Korean food?"
Wife: "Aigo, pap is scary (Seems she finds rice intimidating). But kimchi, kkakdugi (these also in Korean), I eat them well."
Reporter: "So, do you know how to make them yourself?"
Wife: "The Korean girl (Also in Korean, likely referring to a young female helper who makes them)."
Reporter: "Have you tried wearing Korean clothes, and what do you think of them?"<78>
Wife: "I haven't worn them, but seeing others wear them, they look very elegant. However, the flaw is that they apply oil to their hair, making the back black and dirtying the undergarments. If that were fixed, they would be very nice. In any case, they look much better than Japanese women's clothing. And one thing I find regrettable is the practice of wailing 'Aigo, aigo' when someone dies, and besides that, the failure to save time and expense during weddings and funerals."
The conversation ended there. Since everyone was busy, prolonging the interruption seemed inappropriate. I said my goodbyes and turned my back on Dr. Yi's house – a stone house cool on the outside, but where a warm spring breeze likely blew again year-round inside – and returned. -End-<145>

**Summary**

This 1926 article from *Pyŏlgŏn'gon* magazine features an interview with Dr. Yi Sŏngyong, a Korean doctor, and his Czechoslovakian wife about their life in Seoul. Dr. Yi met his wife while recovering from an illness in Czechoslovakia after studying in Germany. Despite his family's initial disapproval and cutting off funds, they married in Vienna with her family's support. The interview explores their "Chosŏn-Western compromise" lifestyle, the challenges of language barriers and cultural differences, the wife's feelings of isolation, and her observations about Korean customs, food, and clothing compared to Western and Japanese styles. The article portrays their cross-cultural marriage as both intriguing and fraught with subtle difficulties.

From a historical perspective, the article offers a rare glimpse into international marriage in colonial Korea, highlighting societal attitudes towards such unions (envy, curiosity, criticism). The wife's candid, sometimes critical, observations on Korean practices (funerals, hygiene associated with traditional clothing) provide an outsider's perspective on Korean culture during the period. The mention of post-WWI Czechoslovakia and the economic difficulties (marriage prospects, reliance on wife's family) adds context to their personal story within broader global events. Historians might find the detailed description of their life, the cultural adjustments, and the explicit comparison between Korean, Western, and Japanese clothing styles particularly interesting.

**Named Entities**

西洋	서양	Western
땃뜻한	따뜻한	Warm (older spelling)
도라왓다	돌아왔다	Returned (older spelling)


---------------------------


잡지명	별건곤 제2호
발행일	1926년 12월 01일
기사제목	西洋夫人의 朝鮮男便 李星鎔 博士의 서울살림 獨逸서 싹튼 戀愛  = 서울서 단 生活
필자	一記者
기사형태	소식

西洋夫人의 朝鮮男便 李星鎔 博士의 서울살림 獨逸서 싹튼 戀愛  = 서울서 단 生活
						一記者
물에 물 탄드시 심심 덤덤한 우리 조선의 가정 아니 그 보다 더 한층 썩고 썩은 무근 도덕의 시대로부터 밝고 쾌한 맛잇는 새시대로 건너가는 그 다리목(橋際)에서 가정의 랭정, 가정의 불화로 머리 알코잇는 조선 청년의 부부! 잇다금 잇다금 서울 종로 네거리나 안동 광장에서 남편은 조선사람, 안해는 서양 녀자로서 억개를 겨느고 옷깃을 런하야 둘이 나란히 다니는 것을 보고는 불어운 눈으로 보는 이도 잇고 이상한 눈으로 보는 이도 적지 아니하나 그가 즉 작년 겨울에 독일로부터 부인 동반으로 귀국하야 관훈동(寬勳洞) 드러가는 머리에 새살림을 경영하고 잇는 리성용 박사의 부부요 그 부인이야말로 혈통 다른고 풍토 다르고 언어습관까지 모조리 다른 멀고 먼 중부 구라파(中部 歐羅巴) 독일 남쪽에 새로 니러난 독립국 첵코스롭파캬 어느 고요한 농촌 농가ᄉ집의 무남독녀 외따님으로서 국경업는 련애의 리상을 철저히 실현 식혀가지고 정든 고국 외로운 어머니를 떠나 멀니멀니 남편의 나라를 차저 조선에 갓 드러온 녀사이다.
말은 족금 무근 이약이로 드러가지만 리박사가 처음 고국으로부터 독일을 향하야 류학의 길을 떠나기는 지금으로부터 5,6년전, 그 땅에 도착하자마자 얼마 아니되야 풍토의 불복 일넌지 음식의 맛지 아니함 일던지 신체의 근강에 장해가 생기여 바로 그 국경인 첵코스롭파캬 어느곳에 휴양차로 가서 병원에 입원하야 잇는 중 병든 사람이 병든 사람을 동정하는 것은 동서의 인정이 틀님이 업슬 듯 우리가 현대 소설에서 흔히 보는바와 가티 이웃 병실의 침대우에 신음하고 잇는 이국(異國) 청년의 두남녀는 국경을 초월하＜75＞야 어느듯 사랑의 나라로 옴겨가고 마럿다.
서양 녀자는 원래 호긔심도 만코 그때는 구주대전의 뒤로서 녀자의 결혼난 이야말로 여간이 아닌 판이 엇지만 그 보다도 불타오르는 두 사이의 사랑은 긔어코 정식 부부되기를 요구하게 되얏스나 리박사의 본집에서는 그 소식을 듯자 괴상한 행동이라고 학비가 별안간에 꼭 막혀 바렷스되 그 쪽의 렬정과 사랑은 조금도 식지 아니하야 4,5년간 그 곳에 두류한 동안과 두 부부가 고국을 차저 도라오기 까지에는 실로 그의 처가의 도움과 힘이 적지 아니 햇스며 알프쓰 산에 달이 빗치고 따늄 강ᄉ가에 바람이 불어 남구풍정(南歐風情)이 갓가운 그 곳에서 1년 2년 지나가다 맛침내 화려한 오스트리아의 서울 웬시에서 굉장한 화촉의 의식을 거행하야 황백량 인간 젊은 청년에게 흠모의 표적이 된 것도 녀사의 친가에서 만흔 물질을 제공한 까닭이엇다고 한다.
『조선 사람으로 서양 녀자 다리고 사는 이가 몃이나 되는구?』
『둘인가 셋인가 잇기는 잇는데 그들은 시골이 대로 내려가 산다던가? 그리고 서울서야 리성용씨가 독일 녀자 다리고 살지안나.』
『그래 서울서는 그이 밧게 업나뵈이. 그러나 그 녀자는 바로 독일 녀자가 아니라 지난 구주 대전쟁이 끗난 후 새로 독립된 독일과 오스트리아 사이에 잇는 첵코스롭카 녀자라데. 그야 그러고 저로고 한번 그가 청을 차저 보는 것도 괜찬한 일이여 엇더케 사는가?』
이것이 어느날 편즙실에서 니러난 우리들의 주고 밧고한 문답이엇다.
『그것 좃치. 아모래도 보통 가정과는 좀 다를 터이닛가 소개하는게 괜찬하. 그러나 누가 가보나?』
벌서 편즙실 일동의 눈치는 내게로 지목이 도라오는 모양이다. 나도 보통 우리네 가정 가태서 누가 차저가면 변변하게 말 대답 한마듸도 못하는 안악네. 무슨 비밀이나 들닐 것 가티 근신근신하는 남편네 꼴이 거북해서 가기가 실켓지만 아모려나 서양 부인을 거느리고 사는 리박사의 집. 그러면 가본다고 불시에 니러섯다.
때는 11월 어느날의 오전
안동네 네거리에 내발이 듸듸여 젓슬때에는 남쪽 사동(寺洞)으로 터진 골목 으른편 삼층 벽돌집 우넓드란 간판에 가운데는 가로로 『리성용 의원』이라고 검은 글씨로, 고밋헤는 『전화 광황문 1626번』이라고 붉게 쓰고 량성호로 『전문 륵막병, 폐병, 호흡긔병』이라고 역시 검게 갈너 쓴 것이 누구나 그 병원을 차저가는 이로는 얼는 눈띄우게 되얏는데 네거리서 그 골목으로 두 서너집 내려가면 벽돌집하고 한데 붓튼 2층 돌집에 드러가는 문 우에는 간판이 빗업는 낫 전등밋헤 달빗을 바더 반작이고 잇스니 이집이 알에는 병원, 우에는 살림집으로 되야있는 리박사의 집이다.＜76＞
문을 열고 드러가서 대합소에가 잠깐 기다리는 동안에 남녀 환자가 각각 하나씩 박사의 진찰을 밧고 나간후 틈이 잇슴으로 나를 불너 진찰실로 가티 드러갓다. 평생 사교에 서투른 나는 직장 온 뜻을 고하고 먼저 한 말을 끄내엿다.
『선생은 외국 부인과 사시닛가 말슴이지 만도 대체 조선 녀자와 비교해서 엇더한 차이가 잇다고 생각하심닛가?』
『글세 올시다. 제가 조선 녀자를 사괴여 보앗서야 량편을 비교해 볼 수가 잇슬것인데 원래 제가 양행이라고 떠나던 그 때가 스물 한 살이라는 숫총각으로 잇섯기 때문에 조선 사람이지만 조선 녀자를 사괴여 본 일이 업서서 엇덧타고 말하기는 어렵슴니다.』
『그러면 생활은 엇더한 방식을 취하며 혹 서로 불편한 점은 업스심닛가?』
『생할이야 보시는 바와 가티 이러케 하고 잇스닛가 자연 양식도 취하고 조선식도 취하는 것이 만하야 말하자면 선양 절충식이라고 할넌지요. 그러나 안해라는 이가 멀니 여긔까지 와서 말도 통하지 못하고 만반 사정이 익지 못하야 자연히 고적을 늣기게 될 터임으로 충분히 위로는 못해줄지라도 너무 외롭게 두기가 무엇하야 업무상 관게로도 그럿치만 별로 집을 떠나 외출 가튼 것도 자유로 하지 못하기 때문에 아는 친구들은 량해 하는 이도 만치만 모르는 이는 처시하(妻侍下)에 사느니 엇저느니 하고 비방하는 이도 잇슴니다. 그러나 처지가 그러닛가 시일이 갈사록 안해도 량해를 하야 조선화 되는 것이 만코 우리집 부모들도 량해＜77＞를 하여 그저 이러케 지납니다.』
그러나 그 말 가운데는 역시 외국 여자와 사는 그 속에 말하기 어려운 고정(苦情)이 잇는듯도 십헛다.
대강 이런말을 듯고 다시 잠깐 부인에게 맛나기를 청하야 윗층으로 안내를 바더 올나갓다.
나는 무엇을 무러볼가 속으로 생각하며 박사의 주는 차를 마시며 방안을 들너 보앗스나 벽에는 크고 적은 서양화 액판이 몃 개 걸려잇고 방 가운데 테불 하나에 의자 몃 개 한갓으로 침상 하나가 노여잇고 세간으로는 아모 복잡하고 화려한 것이 업시 질실 검박한 편이 만하야 역시 독일 풍의 생활 방식이 이 부부로 전해왓는가 하는 생각이 낫다.
3층에서 활발한 발자국 소리가 나며 빨내하다가 내려온 부인을 박사가 소개하여 준다. 국직국직한 손가락 다복한 노란머리 밝으레한 헌 양복을 입고 드러오는데 악수를 하는 것인지 그저 례만 하는 것인지 첫인사에 나는 퍽이나 주저하엿다. 그러나 수수하게 동양식으로 례만 한 번하고 다음에 두어 마듸 문답을 하는 중, 아모려나 조심성, 겸양성 만흔 동양부인을 대하는 것 보다는 속이 시원시원하고 쾌활한 맛이 잇서서 조금도 거북한 생각이 업섯다. 부인은 걸상에 안저 담배를 피우며 잇다금은 섯투른 조선말을 석거가며 박사의 통역을 것처서 말을 하여 주엇다.
긔자 『멀니 조선에 처음와서 본 인상은 엇덧슴닛가?』
부인 『아이구 조선 무서워!(여긔까지 조선말로 하고는 그 다음부터 독일어로 하는데 아모려나 조선에 와서 실증이나 난것가티 들녓다.) 내가 여긔를 오기는 왓지만 말도 모르고 풍속도 모르닛가 밧게 나가 무슨 일 할 수도 업고 거저 가정녀자로 하야 이러케 드러박혀 잇슴니다.』
긔자 『이러케 멀니와 게시니 자연히 고국의 생각이 나시겟지요.』
이말을 드른 부인은 그럿틋 쾌활한 얼골에 고국이 그리워라는 드시 잠깐 묵상을 하는 듯 하더니
부인 『그럿쿠 말구요.』
하며 얼골빗이 흐려지는 듯 하엿다.
나는 공연히 그런말을 끄집어 낸 것이 후회엿섯다. 그러나 나는 다시
『처음 오서서 조선 부인에게 대한 인상이 엇덧습닛가.』 하고 무럿다.
부인 『그간에 차저온 조선 동무도 만코 상종하는 부인들도 잇스나 천재 서로 말을 모르닛가 교제해도 심리를 알 수가 업고 그럿타 할 인상이 업슴니다.』
긔자 『조선 음식을 잡수어 보섯습닛가』
부인 『아이구 밥은 하는데 (밥이 겁난다는 모양) 그러나 짐치 깍둑이 (이건 역시 조선말로) 잘 먹지요.』
긔자 『그러면 손수 그런 것을 담을 줄도 아심닛가.』
부인 『조선 게집애가 (역시 조선말 인데 심부림하는 조그만 여자가 만든다는 모양이다.)』
긔자 『조선 의복도 입어 보섯스며 보기에 엇더십닛가』＜78＞
부인 『입어본 일은 업스나 남의 입은 것을 보면 퍽 정해 뵈는데 머리에 기름을 발너서 뒤가 검고 속옷을 더럽게 하는 것이 결점이나 그런것만 곳치면 대단히 조코 아모려나 일본 여자의 의복보다는 훨신 나이 뵈입니다. 그러고 한 가지 유감으로 생각하는 것은 사람 죽엇슬때 아이고 아이고 하며 울고 그 외에도 혼인 상장에 시간과 비용을 졀약하지 못하는 점인가 함니다.』
말은 이것으로 끗낫스나 다 가티 밧븐 시간에 오래 방해하는 것이 안 되얏슴으로 나는 가겟다는 인사를 하고 것흐로는 써-늘한 돌집이지만 안에는 사시장철 땃뜻한 봄바람이 다시 부어 드러갈 리박사의 집을 등지고 도라왓다. -끗-＜145＞
＜75-78, 145＞
