**Header Section:**
Magazine Title: 삼천리 제3권 제9호
Publication Date: 1931년 09월 01일
Article Title: 新聞夜話 (Newspaper Night Talk)
Author: [Not specified in the provided text]
Article Type: 회고·수기 (Memoir/Recollection)

**Body Text Translation:**
Newspaper Night Talk

Looking at the Wanbaoshan Incident (萬寶山事件), was there not a single statesman at a certain daily newspaper (某日報)? Its inconsistent editorials, changing like yesterday's right being today's wrong (昨是今非), its overconfidence in the special correspondent's grey reporting (灰色報導), its excessive issuance of aimless newspaper extras (號外)—alas, regrettable for that paper.

The attitude of the Tonga Ilbo (東亞日報), which attempted and succeeded in a spiritual and national mobilization by raising Yi Sunsin (李舜臣), has been refreshing and brilliant (爽英) lately. Such actions as even soliciting a 'Secret History of the Late Chosŏn Dynasty' (韓末秘史)! It is right to heighten national consciousness by utilizing any opportunity and any condition. This point alone is worthy of the people's gratitude.

According to a survey by the Police Affairs Bureau (警務局調査), the number of newspaper copies circulated in Korea in a single day is 230,000. The top-circulating papers on the Korean side are the Chosŏn (朝鮮) and Tonga (東亞), and on the Japanese language side, the Ōsaka Mainichi (大阪每日), Asahi (朝日), and Kyŏngsŏng Ilbo (京城日報). English, French, German, Russian, and Chinese papers are all said to have considerable circulation as well.

Tsk, 3,000 won! "A true man does not drink Copper Spring Water (丈夫不飮銅泉水)." The blunder of Mr. So-and-so from such-and-such place (某處某氏), who stained a brilliant history. For the time being, he should wander to the ends of the earth (天涯萬里) and become one of the 'non-returners' (不歸國者). "Integrity is character" (志操 卽 人格) should become the motto for us members of society.

Historically speaking, Russia's (露西亞) 'V narod' (부나로드) movement was a failure. However, the meaning of the phrase "Into the masses!" (<49>) is itself a slogan of eternal value. The Tonga's student V narod movement, though lagging behind in Korea's footsteps (後麈), "He who laughs last laughs best." They should hurry and exert their full effort, establish, establish the Tonga-affiliated political and cultural distribution networks everywhere.

Chungoe Ilbo (中外日報)! It is in a crisis like a candle in the wind (風前燈火). Yet is there no one rousing themselves to exertion? While a certain company (某社), sustained by its current executives, has so many figures wanting to manage it, is there not even one person who gives a glance (一顧) here in this calm zone (無風地帶)? Oh Korea (朝鮮)! Your name is one ruined by factionalism (派閥)!

The miserable state of life (生活慘狀) of the Fourth Class (第4階級), such as miners (鑛夫) and female divers (海女), is something the people of society keenly wanted to know. However, the Chosŏn was too engrossed in fighting, and the Tonga too engrossed in searching for the dead Yi Sunsin, so the usual summer service (夏期奉仕) was forgotten this year as if washed away with water. The only one active in this regard was the Maeil Sinbo (每日申報).
I crack the whip fiercely (猛打一鞭) at the private newspapers (民間新聞).

Among the politicians bustling about and claiming prominence in the Tokyo political world (東京政界) now, there were many 'lumpen' (룬펜) who used to work as newspaper reporters in Korea. Firstly, Home Minister (內務大臣) Adachi Kenzō (安達謙藏) was a reporter for the Hansŏng Sinbo (漢城新報) and one of the strongmen thugs (壯士패) who climbed over the wall of Kyŏngbok Palace (景福宮) at midnight during the assassination of Queen Min (明成后慘變). Nakano Seigō (中野正剛), leader of the Minseitō's (民政黨) young Turk faction (少壯派), was also active in Kyŏngsŏng (京城) until Taishō 4 (1915) as an Ōsaka Asahi (大阪朝日) special correspondent. Current Vice Minister of the Navy (現海軍次官) Makiyama Kōzō (牧山耕藏) also worked in telegraph communications for the Kyŏngsŏng Ilbo (京城日報). Besides them, Nakanishi Inosuke (中西伊之助), Hosoi Hajime (細井肇), Uno Chiyoko (宇野千代子), Kawasaki Katsu (川崎克), Yamagata Isoo (山縣五十雄), Tokutomi Sohō (德富蘇峰), Ikebe Kin (池部鉤 - assumed 鈞) and others all 'ate the pheasant and its egg' (꿩먹고 알먹고 - profited greatly) in Korea.<50>

**Summary**

This 1931 article critiques the Korean press landscape. It criticizes an unnamed paper (likely Chosŏn Ilbo) for its handling of the Wanbaoshan Incident, praises Tonga Ilbo for fostering nationalism (Yi Sunsin campaign), but later criticizes both for neglecting social issues like the plight of miners and haenyeo, contrasting them with the Maeil Sinbo. It laments the decline of the Chungoe Ilbo due to factionalism and mentions a financial scandal. Interestingly, it concludes by listing prominent Japanese political figures who began their careers as journalists or operatives in colonial Korea, suggesting they significantly benefited from their time there, even referencing Adachi Kenzō's involvement in Queen Min's assassination. For historians, the article offers a valuable contemporary perspective on inter-newspaper rivalries, nationalist activities conducted through the press, the perceived failings of Korean journalism in covering social issues versus political ones, and a Korean viewpoint on how colonial experience in Korea served as a stepping stone for Japanese political careers.

**Named Entities**

萬寶山事件	만보산 사건	Wanbaoshan Incident
하노라	하노라	I declare/do (Archaic declarative ending)
내로라하고	내로라하고	Claiming to be the best, prominent
룬펜	룸펜	Lumpen (vagrants, riffraff - from German)
만햇다	많았다	Were many (Older spelling)
첫재	첫째	Firstly
壯士패	장사패	Group of strongmen/thugs
넘든 이	넘던 이	Person who climbed over (Older spelling)
그밧게	그밖에	Besides that (Older spelling)
모다	모두	All (Older spelling)
조선서	조선에서	In Korea (Older form)
꿩먹고 알먹고	꿩 먹고 알 먹고	Killing two birds with one stone (Lit. eating pheasant and egg)
하든 이	하던 이	People who used to do (Older spelling)


---------------------------


잡지명	삼천리 제3권 제9호
발행일	1931년 09월 01일
기사제목	新聞夜話
기사형태	회고·수기

新聞夜話
萬寶山事件을 通하여 볼 때 某日報에는 一人의 政治家가 업섯든가. 昨是今非의 連絡업는 社說이라든지 特派員의 灰色報導를 過信한 點이라든지 標的이른 號外의 濫發이라든지 噫 同報를 위하야 可惜.

李舜臣을 擧하야 精神的으로 民族的 動員을 試驗하야 成功한 東亞日報의 態度 近來에 爽英하다. 『韓末秘史』까지 募集하는 擧措여! 엇든 機會 엇든 條件을 利用하여서라도 民族意識을 高潮함은 正當하다. 이 點만은 民衆의 感謝에 値.

警務局調査에 의하면 하로동안에 조선에 펴지는 新聞部數가 2십 3만枚라 한다. 가장 首位로 펴지는 新聞은 朝鮮人側엔 朝鮮東亞요 日文側에는 大阪每日 朝日 及 京城日報요 英, 佛, 獨, 露, 中 各紙도 모다 相當하다고.

咄, 3천원! 丈夫不飮銅泉水라 光輝잇는 歷史를 더럽힌 某處某氏의 失手, 當分間 天涯萬里에 放浪이나 하여 『不歸國者』의 一人이 될일이라 志操 卽 人格이란 우리 社會人의 標語가 되어야 한다.

歷史的으로 볼 때 露西亞의 『부나로드』運動은 失敗엿다. 그러나 『民衆속으로!』하는<49> 語義만은 千古의 갑가는 標語다. 東亞의 學生 부나로드運動, 朝鮮의 後麈에 갓가우나 『最後에 웃는 者가 가장 잘 웃는 者이라』 어서 全力을 다할 일, 東亞系의 政治的 文化的 分布網을 各處에 칠일 칠일.

中外日報! 그는 風前燈火的 危機에 잇다. 그런데 發憤하는 이조차 업는가. 現任幹部가 지탱하여 가고잇는 某社에는 웬 經營하려는 人物이 그리 만코 無風地帶의 여기엔 一顧하는 이조차 업는가. 朝鮮이어 네 일홈은 派閥에 亡한 者인저.

鑛夫 海女등 第4階級의 生活慘狀은 社會民衆이 切切히 알고저 한일. 그런데 朝鮮는 싸홈하기에, 東亞는 죽은 李舜臣찻기에 너무 醉하여 例年의 夏期奉仕도 今年은 물로 씨슨 듯 이젓다. 오직 이 가운데서 活動한 이는 每日申報.
民間新聞에 猛打一鞭하노라.

지금 東京政界서 내로라하고 떠드는 政客中엔 朝鮮서 新聞記者 다니든 룬펜들이 만햇다. 첫재 內務大臣 安達謙藏은 漢城新報記者로 또 壯士패의 一人으로 明成后慘變때 夜半에 景福宮담장을 넘든 이 民政黨의 少壯派領袖 中野正剛도 大正4년까지 大阪朝日特派員으로 京城서 活躍하든 이 現海軍次官 牧山耕藏 亦 京城日報 電報通信에 그밧게 中西伊之助 細井肇 宇野千代子 川崎克山縣五十雄 德富蘇峰 池部鉤등 모다 조선서 꿩먹고 알먹고 하든 이.<50>
<49-50>
