Magazine Title: 삼천리 제8권 제4호
Publication Date: 1936-04-01
Article Title: 樂浪遺蹟의 意義 (Significance of the Lelang Remains)
Author: 金台俊 (Kim T'aejun)
Article Type: 논설 (Editorial/Argumentative Essay)

The Significance of the Lelang Remains
						Kim T'aejun

This is merely a record resembling idle talk. It is simply one aspect of the author's usual beliefs.

Currently, numerous ancient tombs are being excavated in the P'yŏngan Namdo and Haesŏ (Hwanghae) regions, yielding many artifacts. Regarding this, scholars from outside the region (域外) simply dismiss it as a transplantation of Han (漢) culture and strive thereby to extract an *a priori* character of our nation. Meanwhile, among the native history students (史學徒) of this land, there is a tendency to explain these as splendid cultural relics of Koguryŏ (高句麗), partly to boast of Koguryŏ's superior culture and partly to ignore the opinions of outside scholars, treating them like a distant mountain fire (遠山火)—seeing but not perceiving (視而不見).

However, both views are wrong.

I wish to ask the X scholars bluntly: Are frailty (孱劣), defeat (敗北), and all such faults inherent flaws of this nation? They speak as if the reality of this land today is due to this nation's innate "factionalism" (黨爭性), "literary weakness" (文弱性), and "laziness" (懈怠性). But the history of factionalism was the desperate, ugly struggle (斷末魔的 醜態) of a growing parasitic class (寄生層), whose livelihood depended on the peasantry, to sustain their expansion. "Literary weakness" too was a product of the environment molded (陶鑄) by the Confucian village codes (儒教 鄕約), the ruling philosophy of the five hundred years of the Yi Dynasty (李朝). "Laziness" also arose because people lost their means of livelihood.

Who could deny that this is the result of the economic XX [text missing/obscured] which has recently become entirely a monopoly market for outsiders? If, then, receiving such domination at various times in the past was merely due to the circumstances (所使) of those times, what kind of thinking leads them to try<154> and make this an innate characteristic of this land? Of course, their political (政略的), unscholarly intentions are as plain as seeing inside their stomachs.

Just because the ancient history of Great Britain (英國) was that of a subjugated, pastoral, barbarian nation, who would call this a stain on that country's history, and who would call it an innate characteristic?

What is there particularly to boast about for the Republic of China (中華民國) and India (印度), which boast of splendid ancient histories?

Even the pride of Ethiopia (에디오피아), which serves a monarch of an unbroken line for myriad generations, ultimately... (Omitted in original)
XXXXXXX! [Text missing/obscured]
We must deliver a blow to the preconceptions of vain official scholars.

It is becoming overwhelmingly clear that the ancient tombs in the P'yŏngan Namdo and Hwanghae Province regions are indeed the sites of Lelang (樂浪) and Taebang (帶方).
The "Site of Lelang Commandery" (樂浪郡址), the "Nien Ch'an Stele" (黏蟬碑), and the "Tomb of Chang Fu-i, Grand Administrator of Taebang" (帶方太守 張撫夷之墓) are being unearthed. There, bronze and iron weapons, mirrors (鏡), and other daily utensils from the Han Dynasty are being excavated in large quantities. Of course, this speaks of a large migration of Han people. This fact is recorded in the *Biographies of the Eastern Barbarians* (東夷列傳) of the *Shiji*, *Former Han Shu*, *Sanguozhi*, *Later Han Shu*, etc., so what use is there in artificially ignoring or denying it? Looking at Chosŏn in such a way is not pride in Chosŏn; rather, this skewed (얼的) and dishonest research that refuses to see "Chosŏn as it truly is" is what "disdains" Chosŏn.

The facts are thus:
Han people came by sea and land to reside along the Taedong River (大同江) coast from quite a long time ago. During the Qin (秦) and Han periods, they came in large numbers. They brought bronze weapons (later, iron tools) and other items, trading with or conquering the native people (土民) of this land. The natives were still a clan society (氏族社會) using stone tools. The Han traded primitively in various places, north and south, giving things like the *ming* knives (明刀) found in Mu'an (務安) and Yŏngbyŏn (寧邊).
They began simple farming. Sometimes, they captured Han people and made them farm, as can be inferred from the legend of Yŏmsach'ak (廉斯鑡). The productive forces of the conquered natives, who became lower-class households (下戶), increased, the clan system gradually collapsed, and in the south, over a hundred tribal states (部族國家) like Mahan (馬韓), Chinhan (辰韓), and Pyŏnjin (弁辰) arose, while in the northeast, tribal states like Ye (穢), Maek (貊), Okchŏ (沃沮), and Puyŏ (夫餘) emerged, gradually achieving the completion of primitive states.
Only through this process were the primitive states of Chosŏn established. The Kimhae Shell Midden (金海貝塚) is the most typical example representing this process. Are not many stone tools found there, along with Wang Mang's (王莽) *huoquan* coins (貨泉), rice grains, and other ornaments?
As long as these are the facts, how can scholars engaged in skewed (얼的) research<155> deny this?
The Korean people are not God's chosen people (選民); they have progressed following the normal course of world human history.
It is, of course, clear that these ancient sites are not those of Koguryŏ.

Therefore, these ancient sites belong to the Han people. However, these ancient sites were made by the hands of the conquered lower-class slaves, that is, the natives (土人). Through them, great changes occurred in the natives' mode of production and productive forces. In other words, they were simultaneously beneficent foreigners who shattered Chosŏn's primitive society and groups of cruel and ruthless conquerors of that time.
Many of these ancient sites have yet to be excavated.
We believe that only on the day when their complete excavation and a proper analysis (析明) thereof occur can we solve the riddles (수수꺽기) surrounding Chosŏn's primitive society and the establishment of primitive states by the native people. (February 22nd)<156>

**Summary**

Kim T'aejun argues against two prevailing interpretations of the Lelang and Daifang archaeological sites in northwest Korea. He rejects both the view (implied to be Japanese) that these Han Chinese remains prove Koreans' inherent historical weakness and the nationalistic Korean view that ignores the Han connection to claim them solely for Koguryŏ. Instead, Kim contends that acknowledging the Han presence and its impact—introducing metal tools and stimulating societal change—is crucial for understanding the transition from clan society to early Korean states like Mahan, Chinhan, Puyŏ, etc. He sees the Han influence not as a source of shame but as an external catalyst in Korea's historical development, emphasizing that traits like factionalism or weakness are products of specific socio-economic conditions, not innate national character. For colonial Korean history, this article is interesting as it shows a Korean intellectual engaging critically with both Japanese colonial historiography and nascent Korean nationalist historiography. Kim advocates for a more objective, materialist understanding of Korean history, acknowledging foreign influence without succumbing to deterministic views of national character, a complex position during a period dominated by nationalist and imperialist narratives. Historians might find his attempt to chart a "third way" interpretation, acknowledging historical interaction and its consequences without essentializing national identity, particularly noteworthy.

**Named Entities**

金台俊	김태준	Kim T'aejun
최근 전혀 域外의 독점판매시장이 된 경제적 XX의 소산이라는 것을 누가 부인할 수 잇든 것인가. 그러면 과거의 그때 그때에 그러한 지배를 받엇다는 것은 그것이 그때 그때의 환경의 所使에 불과하거늘 그 무슨 심사로 이것으로써<154> 이 땅의 선천성을 맨들려 하는가? 물론 그들의 政略的인 非學術的 心思는 그 뱃속을 보는 것처럼 뻔한 일이다.
英國 고대의 역사가 전혀 피지배적인 牧人的 野蠻國家엿다고 해서 누가 이것이 이 나라의 역사의 累라 할 것이며 누가 이를 선천성이라 할 것인가.
찬란한 고대의 역사를 자랑하는 中華民國과 印度가 특히 자랑될 것은 무엇인가?
萬世一系의 君主를 모신 「에디오피아」의 자랑도 결국은(略-원문)
XXXXXXX!
우리는 허망한 官學者의 선입견에 一擊을 가하지 안으면 않될 것이라 한다.

平南 黃海道 일대의 古墳에는 그것이 樂浪, 帶方遺址이라는 것이 너머도 명백하게 들어나는 것이다.
「樂浪郡址」 「黏蟬碑」 「帶方太守 張撫夷之墓」가 발굴되는 형편이다. 거긔는 漢代의 銅製 鐵製의 무기 鏡이라든지 그他 당시의 日用器具가 매우 많이 출토되는 형편이다. 물론 이는 多數한 漢人의 이주를 말함이요.이 사실은 史記 前漢書 三國志 後漢書등등의 東夷列傳에 긔록되여 잇스니 이것을 인공적으로 묵살 부인한들 무엇하랴, 그렇게 조선을 보는 것이 조선을 자랑하는 것이 아니라 「正當한 朝鮮」을 보지 않으랴고는 「얼」的 不正曲된 연구가 조선을 「천대」하는 것이다.

사실은 이러하다.
漢人이 大同江연안에 海로 陸으로 왔서 거주하기는 퍽 오랜일이엿다. 秦漢시대에는 대량으로 들어왔다. 그들은 銅製武器 그他를 가지고(그후 鐵器)왓서 이 나라의 土民과 무역 또는 정복하엿다. 土民들은 아즉도 석기를 쓰고 잇는 氏族사회인이였다. 그들은 務安 寧邊에 발견되는 明刀같은 것을 주고 남북 각지에 원시적 무역을 하엿다.
그들은 간단한 농사을 시작하엿섯다. 때로는 漢人을 잡아다가 농사를 지은 것이 廉斯鑡의 傳說로서 알 수 잇다. 그들의 下戶로서 정복되엿든 土民들의 생산력은 증가되고 氏族制는 점점 붕괴되고 南에 馬韓 辰韓 弁辰 百餘의 部族國家가 東北에는 穢貊 沃沮 夫餘등의 部族國家가 발생하야 차차로 원시국가의 완성을 일넛다.
이에 의했서만 조선의 원시국가가 성립되는 것이다. 이 과정의 道爲로서 金海貝塚이 가장 전형적인 것이다. 그 貝塚에는 많은 석기와 함께 王莽의 貨泉, 나락알, 그他 장신구 등이 발견되여 잇지 아니한가.
이런 것이 사실인 한 얼的 연구의 學究들은 이것으로 무엇으로<155> 부정하려 하는가?
조선사람은 神의 選民도 아니요 世界人類史의 정상적 코-스를 밟고 進展되여 온 것이다.
그 古蹟들이 高句麗의 것이 아닌 것은 물론 명백하다.

이에 의하야 이 古嘖은 漢人의 古嘖이다. 그러나 그 古嘖은 정복된 下戶노예 즉 土人들의 손에 된 것이다. 이들에 의하야 土人의 생산양식과 생산력에 큰 변천을 주엇다. 다시 말하면 조선 원시사회를 깨트려준 恩人的 외래인인 동시에 殘虐無道한 당시의 征服者羣이엿든 것이다.
이 古蹟은 아즉도 발굴되지 않은 것이 많다.
우리는 이의 완전한 발굴과 그에 대한 정당한 析明이 잇는날 비로소 조선 원시사회와 土民에 의한 원시국가의 성립 당시의 수수꺽기를 풀 수 잇스리라고 한다.(二月甘二日)<156>
<154-156>
