잡지명	삼천리 제8호
발행일	1930년 09월 01일
기사제목	人生의 香氣 (The Scent of Life)
필자	李光洙
기사형태	문예기타 (Literary Miscellany)

The Scent of Life
						Yi Kwangsu

Knowing Ch’ujŏng (1)
While en route to North America via Europe, passing through Vladivostok (Haesamwi), I could not help but visit Mr. Yi Kap, pen name Ch'ujŏng, who was lying ill in Mulin (穆稜) County, Kirin (吉林) Province, at Mulin Station on the Chinese Eastern Line.

Ch'ujŏng and I had never met face-to-face. However, which Korean youth at that time would not know of Ch'ujŏng Yi Kap? Ch'ujŏng also knew of me, perhaps through magazine connections.

A graduate of the Japanese Army Officer Academy, he had served as an observer officer up to Manchuria during the Russo-Japanese War. Returning to Korea, he served as an Army Lieutenant Colonel (陸軍叅領) and Vice-Minister of the Army (軍部大臣副官). Later, he cast aside his official positions, gathered several comrades, organized the Sŏu Hakhoe (西友學會) (later Sŏbuk Hakhoe 西北學會), initiating the vanguard of the ancestral education movement, and moreover, achieved an unprecedented and powerful education movement. Not only that, but he also initiated large-scale associations, promoting the momentum for the popular unity movement.

Then, perceiving that the annexation in the year Kyŏngsul (庚戌年, 1910) was inevitable and could not be supported, he abruptly went into exile. While staying in the Russian capital, Petersburg (페테르브륵), he became completely paralyzed. Despite receiving treatment from renowned doctors in the German capital (德京, Berlin) and the French capital (法京, Paris), there was no effect. He was recuperating in a small rented house.

My visit to Ch'ujŏng in Mulin was, I believe, right around the Lunar New Year. I remember celebrating the Western New Year in Shanghai (上海), the Russian New Year in Vladivostok (Haesamwi), and then the Lunar New Year in Mulin. At that time, Mulin was nothing but snow and ice, and it was extraordinarily cold.

The house where Ch'ujŏng resided was a crudely built wooden Western-style house with three rooms, a kitchen, and other attached parts. The rooms had no carpets, the windows were double-paned but lacked curtains, and for furniture, aside from the armchair Ch'ujŏng sat in, there were perhaps two or three wooden chairs and a single bed in the bedroom separated by a paper screen (장지).

Between the bedroom and the living room, there was a *pechka* (패치가 - Russian stove), with the firebox opening into the bedroom. The living room faced southwest with windows allowing sufficient sunlight, and as it was a Russian house, the room was not cold.

It seemed Ch'ujŏng would wake up in the morning, sit in his armchair, and only get up when it was evening. Whenever we visited, we saw him sitting in the same posture and facing the same direction (back to the south window, facing the *pechka*), but we never saw him in any other position. Therefore, since he could not move on his own, he must have relied on the help of his wife and daughter to get from the bed to the chair and vice versa (this constituted the entirety of his movement). Yet, the dignified Ch'ujŏng perhaps did not want to show such a pitiable action in front of others; though I visited the teacher daily for a month,<26> I only ever saw him seated in the armchair.

When I visited Ch'ujŏng around eight o'clock (I was staying at the house of An Ch'ŏnggye, about a 5-minute walk from Ch'ujŏng's house), Ch'ujŏng, as always, sat with his back to the south window, facing the *pechka*, and would smile faintly upon seeing me. Then, in a slurred voice, he would exchange seasonal greetings, and we would begin our daily routine.

Our routine consisted of writing letters, conversing, and administering electrotherapy.

We wrote an average of four or five letters a day. The recipients were comrades scattered across Siberia (西伯利亞), South and North Manchuria (南北滿洲), Shanghai (上海) and other parts of China (中國), Hawaii (布哇), North America, and occasionally Europe. The content of the letters never concerned Ch'ujŏng himself; it was all advice and mediation aimed at resolving misunderstandings and estrangements among comrades, opinions regarding the formation of unity, plans concerning the establishment of youth training institutions, exchange of information, advice to take care of their health, and encouragement to not lose heart but to strive and fight.

During that month, I must have written nearly a hundred letters for Ch'ujŏng. Before I arrived, it seemed his daughter (whose name was Chŏnghŭi, now the wife of Army Infantry Captain Yi Ŭngjun—I may have another opportunity to speak about these two), who was only about 15 or 16 at the time, had been writing for him. Thus, unable to express all he usually wanted to say, he seized the fortunate opportunity of my visit to have letters written*.

Among these letters, some he dictated directly, while for others, he dictated only the main points, which I then composed appropriately. While taking down his dictation, I saw him become overwhelmed with emotion, sometimes shedding tears, his words catching, and breaking down completely (聲淚俱下), unable to suppress his sobbing sounds ("ooh hoo hoo") for quite some time. To witness this hero of his generation, reputed to have a heart of iron and stone (鐵石心腸), openly weeping while speaking of the affairs of his compatriots was truly a tragic and sublime sight.

Not only in letters but also in conversation, Ch'ujŏng's topics were always related to public matters. Although his words invariably stemmed from a deep concern for the world (憂世之至情), sometimes there were talks that seemed prepared overnight as if to enlighten me, his junior. However, he never showed the attitude of a senior instructing a junior; rather, his attitude was always that of revealing his innermost thoughts (肝膽을 吐露) as an equal friend and confidant. His language was such, and so was his expression. Yet, this was not forced; it was sincere and natural.

Alone in my lodging at Ch'ŏnggye's house, lying down and reflecting on the day spent with Ch'ujŏng, I thought, "Ch'ujŏng's heart is filled with Chosŏn (朝鮮 - Korea). There is nothing but Chosŏn in Ch'ujŏng's heart. He has driven himself out of his heart and seated Chosŏn there instead." Realizing this, I rejoiced at having witnessed in person what I had only held as a concept: "This is what a patriot is."

Even now, when selfish thoughts arise within me, the image of Ch'ujŏng's smiling face appears and encourages me. (This section is incomplete) <27>
<26-27>

**Summary**

This article by Yi Kwangsu recounts his visit in the winter of 1919-1920 to the ailing Korean independence activist Yi Kap (pen name Ch'ujŏng) in Mulin, Manchuria. Despite being paralyzed and living in stark conditions after a distinguished career followed by exile, Yi Kap remained entirely devoted to the cause of Korean independence. Yi Kwangsu describes assisting the frail Yi Kap by writing letters daily to scattered comrades, mediating disputes, discussing plans for unity and training, and offering encouragement, never focusing on his own suffering. Yi Kwangsu was profoundly moved by Yi Kap's selflessness and unwavering patriotism, seeing him as the embodiment of a true patriot whose heart was filled solely with concern for Korea. Historians might find this piece valuable for its firsthand portrayal of a key early independence figure's life in exile, the nature of communication within the dispersed activist network, the emotional toll of the struggle, and Yi Kwangsu's own early perspective on patriotism and admiration for movement leaders before his later controversial path.

**Named Entities**

秋汀	추정	Ch'ujŏng
그러다가 庚戌年 合邦의 機運이 熟하야 撑支할 수 없음을 看破하고 飄然히 亡命하야 俄京 페테르브륵에 逗留하던 중에 全身不隨가 되어 德京, 法京의 모든 名醫의 治療를 받앗으나 效가 없어, 조고만 집을 빌어가지고 療養하시는 中이엇다.
내가 무린에 秋汀을 찾은 것이 바로 陰曆 正初이던가 싶다. 나는 上海에서 陽曆換歲를 하고 海參威에서 俄曆換歲를 하고 그리고 무린에서 陰曆換歲를 햇다고 記憶한다. 이 때 무린에는 눈과 어름 뿐이엇고 춥기도 여간 아니엇다.
秋汀이 居處하시든 집은 房이 셋에 부엌 其他가 부튼 아모렇게나 지은 木制 洋屋으로 방에는 카펠도 깔지 아니하고 窓은 겹窓이나 카텐도 없고 家具라고는 秋汀이 앉은 安樂椅子外에 木椅子 2, 3張과 장지 하나 새둔 寢室에 寢臺 하나쯤이엇다고 생각한다.
寢室과 居處室 새에는 패치가가 잇어서 寢室로 아궁이가 나고, 居處室은 南西向으로 窓이 잇어서 光線은 充分히 들어오고 아라사ㅅ사람의 집이니 만치 방이 칩지는 아니햇다.
秋汀은 아츰에 일어나서는 安樂椅子에 앉어서 저녁에 갈 때에야 나리는 모양이엇다. 우리는 어느 때에 가나 그가 같은 姿勢와 같은 方向으로(南窓울 등지고 페치카를 향하야) 앉어 잇는 것을 보앗으나 그밖에 다른 모양으로 잇는 것을 도모지 보지 못하엿다. 그럼무로 그는 스스로 起動을 못하기 때문에 寢臺에서 椅子에 올 때나 그와 反對일 때나(이것이 그의 移動의 全體다) 그 夫人과 따님의 힘을 빌엇을 것이다. 그래도 謹嚴한 秋汀은 남이 잇는 곳에서 이러한 悲憺한 動作을 보이지 아니함인지 나는 一個月이나＜26＞ 每日 先生을 訪問하되 언제나 安樂椅子에 앉은 그를 보앗을 뿐이다.
내가 여듧시에 秋汀을 찾아가면(나는 秋汀宅에서 約 5分程 되는 安淸溪宅에 留宿하고 잇엇다)秋汀은 如前히 南窓을 등지고 페치카를 向하고 앉어 잇다가 나를 보고는 빙그레 웃엇다. 그리고는 分明치 못한 語音으로 時候人事를 하고, 그리고는 우리 日程에 入하엿다.
우리 日程이란 것은 편지를 쓸 것과 談話를 하는 것과 電氣治療를 하는 것이엇다.
편지는 하로에 平均 4, 5張을 썻는데 편지 받을 이는 西伯利亞, 南北滿洲, 上海 其他 中國一帶, 布哇, 北美, 間或은 歐洲 等地에 흐터지어 잇는 同志들이엇고, 편지 사연인즉 하나도 秋汀 自身에 關한 것은 없고 全部 同志間의 誤解와 疏隔을 풀기 爲한 忠告와 仲裁, 團結作成에 關한 意見, 靑年訓練機關設置에 關한 計劃, 情報의 交換, 健康을 注意하라는 忠告와 落心말고 奮鬪努力하라는 激勵 等이엇다.

一個月間에 나는 秋汀의 편지를 百張만 쓰지 아니하엿다. 秋汀은 내가 까지까지는 그 따님(이름은 正熙, 只今 陸軍步兵大尉 李應俊氏 夫人, 두 분에 對해서는 다시 말할 機會도 잇겟다)-그 때 겨오 15, 6歲 밖에 아니되엇던 이가 代書햇던 모양이다. 그래서 秋汀이 平素에 하고 잇는 말을 다 하지 못하다가 다행히 내가 간 機會를 利用하야 편지를 쓰게 한 것*다.
이 편지들 中에 어떤 것은 直接 그가 口授하엿고 어떤 것은 要旨만 口授한 것을 내가 適當하게 지어썻다. 나는 그의 口授를 받아 적는 동안에 그가 感極하야 或은 落淚하고 말이 막히고, 聲淚俱下하야 한참이나 우후후 하고 우름ㅅ소리를 진정치 못하는 것을 보앗다. 鐵石心腸이라는 評을 받던 一代英雄이 同胞事를 말하다가 放聲慟哭하는 양은 참으로 悲壯 그 물건이엇다.
편지에만 아니라 談話에도 秋汀의 話題는 恒常 公에 關한 것이엇다. 無非憂世의 至情으로 나오는 말슴어니와 더러는 後輩인 나를 啓發하기 爲하야 夜來에 材料를 準備한 듯한 한 談話도 잇엇다. 그렇지만 그는 決코 先輩가 後輩를 敎訓하는 듯한 態度를 보임이 없고 어듸까지든지 나는 당신과 平等인 親友, 知己로 보아 肝膽을 吐露하는 態度엿다. 用語도 그러하거니와 表情도 그러하엇다. 그렇다고 그것이 억지로 짓는 것이 안니라 至情이오 自然이엇다.
나는 혼자 내 宿所인 淸溪宅에 누어서 지나간 하로 秋汀과 같이 하던 일을 생각하고는 「秋汀의 속에는 朝鮮이 찻다. 秋汀의 속에는 朝鮮밖에 없다. 그는 그의 속에서 自己를 내어 쫏고 그 자리에다 朝鮮을 들여 앉혓다」 -이렇게 생각하고는 愛國者란 이런 사람이로고나」하고 觀念으로만 가지고 잇든 것을 實物로 目擊한 것을 깃버햇다.
지금도 내 속에 利己心이 發作할 때에는 秋汀의 웃는 모양이 나타나시 나를 激勵해 준다.(此項未完)＜27＞
＜26-27＞
