**Header Section:**
Magazine Title: 삼천리 제8호
Publication Date: 1930년 09월 01일
Article Title: 新興첵크과 쏘클運動 (The Newly Risen Czechia and the Sokol Movement)
Author: 金保榮
Article Type: 논설 (Editorial/Essay)

**Body Text Translation:**
The Newly Risen Czechia and the Sokol Movement
Kim Po-yŏng

1. Foreword
It seems to be a fact that the number of people wanting to know what the "Sokol" (소코-ㄹ) movement is is gradually increasing. Furthermore, it seems to have become very prominent recently. While thinking this is a very good phenomenon from various points of view, I wish to introduce it widely and quickly to serve as a reference for our brothers and sisters. This "Sokol" group is an organization within the newly risen nation located in the continent of Europe called Czechoslovakia (쳭크스로바기아), and its details are as follows.

2. Etymology of Sokol
The word "Sokol" (소코-ㄹ) is originally a Latin word meaning falcon (매, 鷹). The falcon's movements are extremely agile, and its infinite energy is the foremost among birds; its whole body, tense without the slightest gap, possesses terrifying power like a cannonball, and the sharpness of its gaze displays unparalleled dignity and spirit. In this sense, the people of that nation revere the falcon above all else.
Thus, they came to use this word to symbolize unifying Czechoslovakia (쳭크스로바기아) into a brave and strong nation and the vibrant, newly rising spirit of the youth.

3. Origin of the Sokol Movement
The Bohemian (쁘에미아, BohEmia) people lived for several centuries under the yoke (覊絆下) of the Austrians (오-스트리안), suffering infinite tyranny and oppression (壓拍). During that time, they tried all sorts of movements to escape that subjugation (패배), but in the end, they were brutally suppressed. Based on the experience gained through this, the "Sokol" group was founded in 1862 by the patriot Dr. Tyrš (*듸-우르스*, *ce).
The greatest objective of this organization was the mental and physical training (心身鍜鍊) of the people and the cultivation of patriotic spirit.
In other words, while disseminating and encouraging physical exercise among the entire nation and implementing mental and physical training and unified discipline, its aim was [to foster unity among] the people of the homeland.
They adopted the grand slogan, "Where loving the people and loving the nation aligns with loving oneself, the dawn of success will surely shine."

4. Organizational Structure of the Sokol Group
As soon as this "Sokol" group was born into the world, members joined at an accelerating rate, and by 1924, the number of local federations already reached tens of thousands, and the membership reached over 1.7 million.
Its organizational method involved dividing into sections for adult members (male/female), youth members (male/female), and boy/girl members. Among these, those 18 years or older were classified as regular members, and those below 18 and 6 years or older were classified as associate members. What we find particularly noteworthy is that within the adult group, there is an elderly class, divided into sections for those 50 and older, 55 and older, and 65 and older. <42>
A central headquarters is established, and federations are placed throughout the country. Each federation must have a "Sokolist" (Sokol gymnasium) and a responsible leader. Responsible leaders are limited to those with local knowledge and reputation who have completed the regular training course at the headquarters.
The central headquarters has a president (團長), and below that are the technical department (專門部) and administrative department (行政部) to assist the president. The technical department is organized with men and women participating in respective special roles, and the administrative department is a federation of local bodies composed of national delegates. All expenses required for this "Sokol" group are borne by the members.

5. Activities of the "Sokol" Group
1. Regular Training
The primary activities of the "Sokol" group are gymnastics (體操) and drill (敎練), along with equestrianism (鬪馬術), skiing (스키-), shooting (射擊), boating (뽀-트), skating (스케트), study trips (修學 旅行), etc. They also publish the "Sokol" official newsletter and hold lectures, concerts, and plays (演劇會) periodically.
Regarding the teaching methods at the central headquarters as well as the local federations, regular members start every night from 7 o'clock, and associate members start daily from noon. Males practice on Monday, Wednesday, Friday, and females on Tuesday, Thursday, Saturday.
The exercise program within one hour includes: 1st type (freehand exercises, 徒手) 15 minutes, 2nd type (hanging exercises, *垂 - likely apparatus work like parallel bars or rings) 15 minutes, 3rd type (jumping, 跳躍) 15 minutes, 4th type (ball games, field sports, 球技, 陸上競技) 15 minutes, followed by 5 minutes of cool-down exercises (整理運動).
After finishing these exercises, facilities are well-arranged for members to necessarily bathe and change clothes. A particularly surprising point during the implementation of these exercises is that in some regions, grandfathers and fathers are members, while their own grandsons or sons become instructors, receiving guidance from them while exercising.
This is an astonishing thing that is absolutely impossible to see in present-day Korea (朝鮮). In addition, the local federation serves as the central social institution of that area, and members also eat meals together here before and after exercise.

2. "Sokol" National Gymnastic Festival
While continuing training like this, the "Sokol" group holds a national "Sokol" athletic meet once every 6 years.
This is a national gymnastic festival that can be called the grand review (大觀兵式) of Sokol. In the nation's capital, Prague (부라-크), there is a splendid stadium a quarter-mile long and 300 yards wide. Around it are spectator stands capable of holding 150,000 people.
This stadium was built by the "Sokol" members themselves through volunteer service, so its total cost is said to be merely 1 million Won. This place is precisely the venue for the national "Sokol" grand review.
In this event, "Sokol" members of all ages and genders gather from across the country and participate actively day after day, regardless of sunshine, rain, cold, or heat.<43> During my studies in Tokyo (東京), I saw a film screening of the actual event hosted by the Japanese Ministry of Education's Physical Education Research Institute (日本 文部省 體育硏究所).
What was screened at that time was the actual scene of the 8th National "Sokol" Gymnastic Festival held in July 1926.
The sight of over 80,000 members (Adult Men 28,000, Women 18,000, Youth Men 17,000, Boys and Girls 6,000) actively participating day after day, regardless of rain or shine, could not but make the spectators shed tears of emotion. Furthermore, the magnificent spectacle embodying disciplined, agile movements and unified training according to the rhythm of music was difficult to describe. Especially seeing the actual scene of over 20,000 women members displaying grace and agility while performing movements of fortitude and activeness on a ground soaked in puddles from heavy rain was nothing short of astonishing. Thus, they cultivate national, unified, collective training.

6. The "Sokol" Group and the Newly Risen Czechoslovak Republic
During that time, while receiving all sorts of interference and oppression from Austria (오-스트리아), the "Sokol" group actively or passively realized its principles (主義) and platform (綱領).
Consequently, their formidable conviction and hope, together with their resolute spirit (剛毅한 精神), became solidified. As the Sokol spirit was thus demonstrated daily, their movement became even more intense. Even before the World War, they already possessed vitality and organizational tension like an army and received fervent national support. Moreover, they held a firm conviction regarding the nation's future and were trained to the point where they could take concrete action should a time of crisis (一旦 有事之秋) arise. Amidst this, seizing the golden opportunity presented by the Great European War, they organized the famous Czechoslovak Legions (쳭크스로바기아 軍團), traversing Siberia (西伯利亞) in early 1918 and astonishing the world.
Consequently, they achieved the independence of their homeland in December 1918. This is the newly risen Czechoslovak Republic (첵크스로바기아 共和國) that emerged after the World War.
This Czechoslovak Republic was built upon the spirit of "Sokol," the strength of its training, and its foundation.
Their core spirit and conviction was that 'Efforts must be concentrated on nationwide unity rather than a small number of elite talents. All people must know together, all people must act together, and only when all people cooperate in unison can true endeavors succeed.'

7. Conclusion
This is the general outline of the "Sokol" movement.
While I leave the critique of this movement to wise readers, it is needless to argue again that physical exercise trains the mind and body and cultivates unified spiritual discipline.
Furthermore, it can effectively develop and transform the vitality of the masses, and the trained spirit of unity and discipline can organize a system of strength (힘) as a psychological weapon. The harvest gained by underdeveloped nations through the promotion of physical education is the removal of the decadence (頹廢性) clinging to the stagnant national consciousness and spirit, and the elimination of one's own weakness (沈弱) and anti-social regression (反社會的 退嬰性).
Thus, one can rediscover lost culture, acquire rights, and build the spiritual foundation to control one's own nation's future. This "Sokol" movement provides a real example proving this.
1930, 7, 5 <44>

**Summary**

This 1930 article by Kim Po-yŏng introduces the Czechoslovak Sokol movement to a Korean audience. It details the movement's origins under Austrian rule, its emphasis on physical training (gymnastics, drills) and patriotic spirit, its organizational structure encompassing all ages, its large-scale national festivals, and its crucial role in fostering national unity and ultimately contributing to Czechoslovakia's independence after World War I. The author presents Sokol as a model for national revitalization through collective physical and spiritual discipline. For historians studying colonial Korea, this article is significant as it reflects the intense interest among Korean intellectuals in foreign nationalist movements and methods for fostering national strength and consciousness under oppressive rule. The detailed description of Sokol's organization and mass participation, emphasizing unity across generations and its success in achieving independence, implicitly suggests a potential path for Korea, highlighting the perceived link between physical culture, national spirit, and political liberation.

**Named Entities**

金保榮	김보영	Kim Po-yŏng
찻고	찾고	Finding (older spelling)
獲得하야	획득하여	Acquiring (older form)
支配할	지배할	To control, rule


---------------------------


잡지명	삼천리 제8호
발행일	1930년 09월 01일
기사제목	新興첵크과 쏘클運動
필자	金保榮
기사형태	논설

新興첵크과 쏘클運動
						金保榮
1, 머리말
「소코-ㄹ」運動이란 무엇인지? 알고 싶어 하시는 분이 漸漸 많어감은 事實인 듯 하외다. 더욱히 最近에 와서 매우 顯著해지는 듯 하외다. 이것은 여러 가지 點으로 보와 大端히 조흔 現像이라고 生覺하는 同時에 하로밥비 넓이 普遍的으로 紹介되여 우리 兄弟姊妹의 叅考에 供*코저 합니다. 이 「소코-ㄹ」團은 歐羅巴洲에 位在한 新興 「쳭크스로바기아」라고 하는 國家 안에 잇는 團體인대 그 內容은 아래와 갓습니다.

2, 소코-ㄹ의 語義
「소코-ㄹ」이란 말은 元來 羅甸語인대 매(鷹)라는 意味이외다. 매(鷹)란 動作이 極히 敏捷하고 精力이 無限함이 鳥類 中의 第一이며 一亳의 虛隙이 없이 緊張된 全身은 大砲알 갓치 무서운 威力을 가저 있으며 眼芒이 聰銳함이 比할 데 업는 威嚴과 意氣를 躍示하고 있음니다. 이러한 意味에서 그 나라의 民族들은 매(鷹)를 무엇보다도 崇拜합니다.
그리하야 이것으로써 「쳭크스로바기아」를 勇强한 國民으로 統一식히고 젊은 靑年의 發발한 新興意氣를 象微코저 如斯한 말을 쓰게 된 것이외다.

3, 소코-ㄹ 運動의 起源
쁘에미아(BohEmia)民族은 數世紀동안 「오-스트리안」의 覊絆下에서 무한의 暴政과 壓拍을 밧고 지내왓습니다. 그리하야 그 동안 그 패배**을 버서나려고 가진 運動을 다하여 보앗스나 結局은 無慘이도 鎭壓되고 말엇습니다. 이리하는 동안에 體得한 經驗에 依하여 1862年에 愛國志士 듸-우르스(*ce)博士의 손으로 이 「소코-ㄹ」團이 創立되엿슴니다.
이 團體의 最大目的은 國民의 心身鍜鍊과 애국적 정신을 발휘함에 잇섯슴니다.
다시 말하면 전민족에 체육운동을 보급장려하며 心身鍛鍊과 統一的 訓練을 식히는 同時에 祖國의 民族을 함에 잇섯슴니다.
그들은 『國民을 사랑하고 國家를 사랑함이 自身을 사랑함과 一致하는 그곳에는 반다시 成功의 曙光이 빗최인다.』는 것을 큰 標語로 하엿슴니다.

4, 소코-ㄹ團의 組織內容
이 「소코-ㄹ」團이 世上에 誕生하자 團員은 加速度로 加入하여 1924年에는 벌서 地方聯盟數萬餘個所 團員數 170餘萬에 達하엿습니다.
그런데 그 組織方法은 成年團員(男女) 靑年團員(男女) 少年少女團員의 部門을 分하고 그 中에서 18歲以上은 正團員 18歲以下 6歲以上은 準團員으로 區別하엇습니다. 우리가 特別히 늣기는 것은 成年團 中에 老人班이 잇는데 50歲以上部 55歲以上部 65歲以上部가 分하여＜42＞ 잇는 것이외다.
中央에 本部를 두고 全國各地에 聯盟을 置하엿는대 各聯盟에는 반다시 「소코리스트」(소코-ㄹ運動場)와 責任指導者를 *워잇습니다. 責任指導者는 그 地方의 學識과 名望이 잇는 者로 本部에서 正規의 講習을 맛친 者에 限하여 잇습니다.
中央本部에는 團長이 잇고 그 아래에 專門部와 行政部가 잇어 團長을 補하* 專門部는 各各特殊役割에 叅與한 男女로 組織하고 行政部는 地方聯合體로 全國代議員으로 構成되여 잇스며 이 「소코-ㄹ」團에 所用되는 費用의 一切은 團員이 負擔하고 잇습니다.

5. 「소코-ㄹ」團의 事業
1. 通常의 修練
「소코-ㄹ」團의 事業으로는 爲先 體操와 敎練을 主로 하고 鬪馬術 스키-射擊 뽀-트 스케트 修學 旅行 等을 行하며 「소코-ㄹ」機關紙의 發刊 講演會 音樂會 演劇會 等을 隨時로 開催함니다.
中央本部는 勿論이려니와 各 地方聯盟에서 指導하는 方法으로는 正團員은 每夜 7時부터 始作하고 準團員은 每日 正午로부터 始作하는대 男子는 月, 水, 金, 女子는 火, 木, 土에 實習을 하고 잇습니다.
運動種目은 1時間 中에 第1種(徒手) 15分間 第2種(*垂) 15分間 第3種(跳躍) 15分間 第4種(球技, 陸上競技) 15分間을 行하고 5分間은 整理運動을 합니다.
이 運動을 맛치면 반다시 入浴하고 衣服을 換着하게 設備가 整頓되여 잇습니다. 그런데 이 運動實施 中에 우리가 特히 놀낼만한 点은 엇던 地方으로 가면 祖父가 父親이 團員이 되고 自己의 孫子나 이들 指導者가 되여 그 指導를 밧어가며 運動하여 가는 일이외다.
이것은 現在의 우리 朝鮮에 잇서는 到底히 붙 수 업는 놀낼 일이외다. 此外에 地方聯盟은 그 地方의 中心社交機關이 되여 잇스며 團員이 運動한 前後에 食事도 이곳에서 一齊히 하고 잇습니다.

2, 「소코-ㄹ」全國體育祭
「소코-ㄹ」團에서는 이와갓치 訓練을 繼續하는 中에 6年에 1次式 全國 「소코-ㄹ」運動大會를 開催합니다.
이것은 「소코-ㄹ」의 大觀兵式이라 할 만한 全國體育祭임니다. 그 나라의 首府 『부라-크』에 4分之 1哩長과 300碼幅되는 훌융한 運動場이 잇습니다. 周圍에는 15萬名이나 收容할 만한 觀覽席이 잇습니다.
이 運動場은 「소코-ㄹ」團員 自身이 奉仕的으로 建造하엿슴으로 그 總經費가 僅히 100萬圓에 不過하다 함니다 이곳이 卽 全國「소코-ㄹ」大觀兵式場이외다.
이 運動에는 全國으로부터 男女老少의 「소코-ㄹ」團員이 雲集하여 晴, 雨, 寒暑를＜43＞, 不拘하고 連日 活躍합니*. 筆者는 東京留學時에 日本 文部省 體育硏究所 主催로 그 實景을 映寫하는 것을 보앗습니다.
그 때에 映寫한 바는 1926年 7月에 開催한 第8回 全國「소코-ㄹ」體育祭의 實景이엿슴니다.
8萬以上의 團員(成年男子 28,000, 女子 18,000, 靑年男子 17,000, 少年少女 6,000)이 晴雨를 不拘하고 連日 活躍하는 光景은 觀覽者로 하여곰 感激의 淚를 흘니지 안을 수 업섯습니다. 더욱히 音樂의 調子에 依한 規律的의 敏捷한 動作과 統一的의 訓練을 體現하는 偉觀은 무어라 말하기 어려웟습니다. 中에도 2萬餘의 婦人團員은 暴雨水溜中의 「그라운드」에서 優美와 敏捷을 보이는 同時에 剛毅의 動作으로 活躍하는 實景을 보고는 驚歎치 안을 수 업섯습니다. 그들은 이리하야 全國的 統一的 團結的 訓練을 修練하고 잇습니다.

6, 「소코-ㄹ」團과 新興 「첵크스로바기아」共和國
「소코-ㄹ」團은 그동안 「오-스트리아」의 모든 干涉과 壓迫을 밧으면서도 自己들의 主義와 綱領을 積極的으로 或은 消極的으로 實現하고 잇섯습니다.
그리하여 그들의 무서운 信念과 希望은 剛毅한 精神과 함끠 强固하여 젓습니다. 이와가티 「소코-ㄹ」의 精神은 날로 發揮되는 同時에 그들의 運動은 더욱 猛烈하여 젓습니다. 그들은 世界大戰前에 벌서 軍隊와 가튼 活力과 組織的 緊張을 가지고 熱熱한 國民的 支持를 밧고 잇엇슴니다. 그리고 民族이 將來에 對하여는 確固한 信念을 가지고 一旦 有事之秋에는 具體的行動을 할 만지 訓練이 되여 잇섯습니다. 그러든 中에 歐洲大戰爭에 絶好의 機를 엇어 有名한 「쳭크스로바기아」軍團을 組織하여 1918年初에 西伯利亞를 經由하여 世界를 驚倒케 하엿습니다.
그리하여 그들은 1918年 12月에 祖國의 獨立을 完成하엿슴니다. 이것이 곳 世界大戰後에 新興한 「쳭크스로바기아」共和國이외다.
이 「첵크스로바기아」共和國은 「소코-ㄹ」의 精神과 그의 訓練의 힘이며 그의 基礎로 建設되엿슴니다.
『少數의 優秀한 精銳보다도 全國民的 一致에 그의 努力이 集中된* 萬民 다-갓치 알어야 되며 萬民이 다가티 해야 되며 萬民이 함끠 一致協力하여야만 참다운 事業이 成功된다』는 것이 그들의 精神이며 信念의 中核이엿슴니다.

7, 結論
「소코-ㄹ」運動의 大槪는 이러합니다.
이 運動에 對한 批判은 賢明한 諸氏에게 맛기거니와 體育運動이란 心身을 鍜鍊하며 精神的統一訓練을 養함은 다시 論할 必要가 업슴니다.
더욱히 大衆의 活力을 效果的으로 發揚轉化할 수 잇스며 訓練되는 團結的 精神과 規律牲은 心理的 武器로써(힘)의 體系를 組織할 수 잇슴니다. 體育의 獎勵로 後進國民이 어더지는 收穫은 沈滯된 民族意識과 精神에 膠着되는 頹廢性을 除去하며 自己의 沈弱과 反社會的 退嬰性을 업시 할 수 잇슴니다. 그리하야 일어버린 文化를 찻고 權利를 獲得하야 自民族의 未來를 支配할 精神的 基礎들 지을 수 잇슴니다. 그 實例는 이 「소코-ㄹ」運動이 證明하고 잇슴니다.
1930,7,5＜44＞
＜42-44＞
