Magazine Title: 개벽 제62호
Publication Date: 1925년 08월 01일
Article Title: 腰折抱腹 笑話大會 (A Side-Splitting, Belly-Holding Funny Story Competition)
Article Type: 잡저 (Miscellaneous Writing/Essay)

腰折抱腹 笑話大會
(A Side-Splitting, Belly-Holding Funny Story Competition)

Shaved ice isn't refreshing enough, and beer isn't cool enough either. That's the bourgeois (뿔조아 式) way. For proletarians (무산자) like us, the best way to escape the summer heat (避暑術) is with funny stories (니야기). Gathering under a cool tree shade with a few friends (멧멧 친구), smoking pipes, picking out the funniest stories, you say one line, I say one line, exchanging back and forth, clutching our bellies and laughing until our sides split – there's no greater pleasure (快味) than that. It's more satisfying than eating a whole bowl of delicacies (珍味).
That's right. This isn't a lie. Nor is it a trick to lure anyone. Since it's hot and boring, let's give it a try. Let's gather under the zelkova tree (느틔나무). All friends skilled in storytelling (니약이 솜씨), come gather 'round. Friends who don't know stories, come too. Just laugh. Just laugh your heart out (슬컷 우서만 다고)-.

責在訓長
(The Blame Lies with the Village Teacher)

態 (T'ae)

Sudong (壽童) is a child learning the elementary *Thousand Character Classic* (千字) off the side planks of a door (지게戶 엽대기). One day, his father told Sudong to check the auspiciousness of the dates in the almanac (曆書日數). How could a child learning the *Thousand Character Classic* read an almanac? Crouching before his father, he sniffled (쿨젹쿨젹) and cried, saying he didn't know how. So the father shouted angrily (大聲叱賁), "You're learning big characters (큰 글字), yet you don't know small characters?" and struck him with a bamboo stick, then loudly scolded him (大聲叱賁惹端發惡), telling him to quit studying altogether. Hearing this from the kitchen (부억) where she was cooking rice, his wife ran in holding a fire poker (부지갱이) and said, "Honey, why are you yelling at the child? It's the fault of that teacher fellow (훈장 놈). The child says whatever he learns that day, he returns it all (모조리 밧치고 만다는데) to the teacher the next morning, so what could possibly remain with him? The teacher fellow took it all back (훈장놈이 다 밧아가젓스니)..." and she gave her husband a good shove on the arm (팔뚝제비를 보기조케 하닛가). The father then chuckled, saying, "Well, I suppose that could be true. I didn't know-" (나는 몰낫구-만-).

팟죽장사의 꾀＜112＞
(The Porridge Seller's Trick) <112>

春坡 (Ch'unp'a)

In our town, there's a gentleman named Yi Paek* (李白*) who is very good at telling funny stories (우스은 니약이). If you hear his story about being a red bean porridge (팟죽) seller, it's truly side-splitting (요절할만함니다).
It was the winter solstice (동지날) one year, and he decided to make winter solstice red bean porridge (동지팟죽) to sell to travelers (行客). He cooked a large potful. But as they say, "Winter solstice red bean porridge spoils," the weather happened to be warm, and the porridge went sour (쉬엿드라나요). There were few travelers, and the porridge was spoiled. No matter how he thought about it, he had clearly suffered a loss (톡톡히 밋졋는데). Yet, he couldn't just throw away the porridge made with rice and glutinous rice balls (옹심이). Thinking about it, the situation seemed hopeless (한심하드라나요). The husband and wife were arguing pointlessly, blaming each other for making too much or not knowing the weather would be warm, but still trying to think of a plan. Just then, 7 or 8 cattle dealers (소장사) from the mountains, with moneybags (錢袋) tied to their waists, wearing leggings (꾸리감발), and leaning on staffs (집팽이), came mumbling along. They plopped down on the wooden floor (마루) and asked, "Do you sell lunch?" The owner thought, "Alright! This is it! They look like mountain folk (산골놈들). Let's trick them into buying the porridge-" and said, "Yes, we have lunch. Please come in." He slid open the door and welcomed them kindly. "Everyone, today is the winter solstice, isn't it? On the winter solstice, you must eat red bean porridge. We happen to have made some to sell. Would you like a bowl each?" he asked (무럿더라나요). So the travelers said, "Oh right! Today is the winter solstice. That's perfect. Let's each have a bowl." and asked for eight bowls (여덜 그릇만 달나드라나요). The owner, putting on a straight face, winked (눈짓을 슬적하면서) at his wife in the kitchen (부억) and ordered, "Honey, please dish out eight bowls of porridge." Then, turning back to the customers, he asked (니여 손님을 보고), "Sirs, customers. Would you like your porridge seasoned (양념들 안쳐 잡수려)? Seasoning?" Among the customers who heard this, one asked the others (저이끼리 뭇드람니다), "Wait, do they season red bean porridge too?" The owner immediately continued (그리자 주인은 니여), "Ah... you must be gentlemen from the mountains (산골양반들). You don't even know about eating seasoned red bean porridge... Seasoning in porridge tastes good, aids digestion, and especially on a winter day like today..." he fabricated convincingly (그럴듯이 꿈여댓드람닊�다). Then, one man, seemingly clever, said, "Well, that makes sense. Seasoned must be better than unseasoned. Hey everyone, let's have it seasoned," seeking agreement (同議를 하드람니다). Instantly, more than half agreed (可決이 되드람니다). The owner thought, "Alright, it worked!" and told his wife, who was dishing out the porridge, "Honey, add some 'cho' (초 - likely sugar/sweetener, contextually not vinegar) to the porridge before sending it out. The customers want it seasoned (양념을 쳐 자신다우)." The wife understood the cue and, pretending to add 'cho', served the spoiled porridge as it was (쉰 팟죽 그대로 떠 드러보냇슴니다). The customers were hungry, and furthermore, it being the winter solstice, they expected a good bowl of porridge. They picked up their spoons and began to slurp it down (훌훌 떠녓키로 되얏는네), but what was this? It tasted sour (식큼식큼하고) and watery (흐리멀뚱하게 푸러진 것). No matter how they tried to enjoy the taste, it wasn't good (맛이 업스닛가). Still unaware it was spoiled, thinking it was because of the 'cho' seasoning, they forced themselves to eat. One man complained (골을 내닛가), "I told you we should eat it without seasoning. You didn't listen..." <113>
The one who had suggested seasoning replied, "Well, I thought seasoning would be good. How was I supposed to know it would taste sour like spoiled porridge (쉰 죽가티 식큼식큼할 줄이야 알엇나)." Still, blaming the seasoning, they finished it all. Finally, after receiving the money and putting it in his pocket (돈을 맛아 주머니에 녓코), the owner felt relieved (마음이 노이드라구요). The men grumbled, slapping the back of their heads, "Aargh, what bad luck (신수가 사나우닛가)!" and reluctantly got up and left (부시시 이러나 가드람니다).

無産者의 德
(The Virtue of the Proletarian)

石溪 (Sŏkkye)

Somewhere, there lived a poor father and son (가난쟁이 부자). They were absolute beggars (거지) with no house and nothing to eat. One day (하로는), the father and son set out hand in hand (손목을 붓잡고) to the neighboring village (이웃 洞里) to connect words (말을 잇기 위하야 - likely meaning 'to beg' or 'find work'). Just then, a fire broke out at the large house of a rich man in the neighboring village. Fierce flames rose up (닐어나) and in an instant engulfed the entire house (왼 집을 휘싸드니), burning it down spectacularly (보기도 조케 활활 잘 타 버림니다). Roof tiles (蓋瓦) popped and flew (탕탕 튀여), grain storages caught fire and collapsed (곡식담을 이 타내리며), cows and horses perished (牛馬가 꺽구러지며), sauce jars (장독) shattered, and old and young alike were weeping and wailing in a frantic uproar (야단발광이 낫슴니다). Seeing this, the son remarked, "Father, since we don't have a house (집이 업스닛가), we'll never experience such a disaster (大變) in our lives, right?" The father replied, "Whose virtue (뉘덕인) do you think that is? Isn't it your father's virtue?" I call this, in the common parlance (時俗말로), "The Virtue of the Proletarian" (無産者의 德).

엇던 畀…身夫婦
(A Certain Disabled Couple)

*村 (*Ch'on)

Somewhere lived a couple; the husband was unable to walk (안즌방이), and the wife was mute (벙어리). Because the wife was mute, she had to communicate everything either through hand gestures (손형용) or by writing characters. One day, the wife went out somewhere (어대) and suddenly came running back (갑작이 씩은씩은 하고 뛰여드러오더니만), panting. She came right up to her husband, sat down (탁 와 안즈며), moved her lips nonsensically (무어라고 입을 너풀너풀 하더니), then bared her husband's chest (젓가슴을 벗기고) and drew the character for 'person' (人) between his breasts (젓사이에 손고락으로 사람 人자를 쓰드람니다). The husband cleverly (怜俐하게도) understood, "Ah - disaster strikes!... A fire has broken out," and then asked whose house was on fire (누구의 집에 불이 낫드냐고 무럿슴니다). The wife, also clever, quickly understood (얼푼 아라듯고) and rushed to her husband, pressing her lips firmly against his (입을 쭉 맛추드람니다). The husband immediately realized (발서 아라채고), "Oh! It's Mr. Yŏ's (呂서방네) house on fire." He then asked how much of it had burned (얼마나 붓텃드냐고 뭇드람니다). The wife, understanding immediately (발서 아라채고), this time rushed to her husband, untied his waistband (허리띄를 끄르고), took it off, and waved it (그것을 내여 흔들드람니다). The husband concluded, "No (안이), it's all burnt down except for the pillars (기둥만 남엇서)," and expressed his concern. What a clever disabled couple they were! Recognizing the character 'person' (人) on the chest instantly as 'fire' (火), knowing it was Mr. Yŏ's (呂서방) house from a kiss (입을 맛추닛가), and knowing only the pillars remained from untying and showing the waistband (허리춤을 끌으고 그것을 내노으닛가) - haah... <114>
<112-114>

**Summary**

This article from the August 1925 issue of *Kaebyŏk* presents itself as a "Funny Story Competition" to beat the summer heat, suggesting humor as a proletarian alternative to bourgeois comforts like shaved ice or beer. It then compiles four humorous anecdotes: one about a child whose ignorance is blamed on the teacher who supposedly takes back all learned knowledge; another about a clever porridge seller tricking mountain travelers into buying spoiled porridge; a third where a poor father claims their lack of possessions (and thus immunity from fire) is due to his "virtue"; and a final story about a mute wife and immobile husband communicating cleverly about a neighborhood fire through gestures and actions.

From a historical perspective, the article offers insights into early 20th-century Korean society and humor. The framing explicitly contrasts "proletarian" (무산자) and "bourgeois" (뿔조아 式) pastimes, reflecting nascent class consciousness. The stories themselves touch upon education (criticism of rote learning), rural/urban or class interactions (trickery involving "mountain folk"), poverty (finding virtue in lack), and communication challenges. The language, with its older spellings and grammar (e.g., 니야기, 밧다, -드람니다), is a valuable linguistic artifact of the period. Historians might find the specific social types depicted (village teacher, cattle dealers, the poor, disabled individuals) and the nature of the humor (often based on wit, trickery, or ironic observations about hardship) revealing about social attitudes and coping mechanisms during the colonial era.

**Named Entities**

壽童	수동	Sudong
어느 해 겨울 동지날이엿는데 동지팟죽을 쑤어 行客에게 팔기로 하고 팟죽을 한 가마 잘 쑤엇드라나요. 「동지팟죽 쉰다」고 맛츰 일기가 더워 팟죽이 그만 쉬엿드라나요. 行客은 적고 팟죽은 쉬고 아모리 생각해도 톡톡히 밋졋는데 그럿타고 쌀두고 옹심이 해넛코 쑨 것을 그대로 버릴 수도 업고 아무리 생각해도 한심하드라나요. 夫妻간에 공연히 만히 쑤엇느니 날 더울 줄 누가 아럿느니하고 싸움만 하면서 그래도 무슨 꾀를 생각하고 잇는 판인데 맛츰 산골로부터 소장사 7, 8人이 허리에 錢袋를 띄고 꾸리감발을 하고 집팽이를 끌고 중얼중얼하면서 오더니만 마루에 턱 올나안즈며 「점심파는것 잇소.」하드라나요. 주인은 「올타. 되얏구나. 보아허니 산골놈들이로구나. 팟죽이나 속혀파러 먹자-」하고 「네- 점심잇슴니다. 드러들 오십시오.」하고 문을 드르르 열고 친절히 마져드려놋코 「여러분 오늘이 동지날이죠. 동지날은 팟죽을 자셔야 됨니다. 그래 팟죽 쑤어 팔든 것이 잇는데 한그릇식 자시려?」하고 무럿더라나요. 그래 그 行客은 「올치. 오늘이 동지날이지. 맛츰 잘 되얏군. 한그릇식 먹세.」하고 여덜 그릇만 달나드라나요. 그래 주인은 시침을 뚝 따고 부억에 잇는 마누라에게 눈짓을 슬적하면서 「여보. 팟죽 여덜 그릇만 뜨시요.」하고 분부를 해놋코는 니여 손님을 보고 「여보. 손님들. 팟죽에 양념들 안쳐 잡수려. 양념요?」하고 무러보앗다나요. 이 소리를 듯든 손님 중의 하나이 「아니 팟죽에도 양념치나?」하고 저이끼리 뭇드람니다. 그리자 주인은 니여 「참... 산골양반들이로군. 팟죽에 양념쳐 자실 줄도 모르고... 팟죽에 양럼이란 맛좃코 소화 잘 되고 더구나 오늘가튼 겨울 날은...」하고 그럴듯이 꿈여댓드람닊�다. 그러닛가 한 자가 영니한 듯이 「하긴 그래. 양념친 것이 안 친 것보다는 날테야. 여보게들 쳐 먹세.」하고 同議를 하드람니다. 그러닛가 당장 반수 이상 可決이 되드람니다. 주인은 올타 되얏구나 하고 팟죽 뜨는 마누라보고 「여보 팟죽에 초 (단 것) 좀 쳐서 드려보내주. 손님들이 양념을 쳐 자신다우.」 하얏드람니다. 마누라는 눈치를 채고 초를 치는 체하면셔 쉰 팟죽 그대로 떠 드러보냇슴니다. 손님들은 시장한 김에 더군다나 동지날 맛침으로 팟죽 바람에 한바탕 잘 먹으리라 하고 숫까락을 들고 훌훌 떠녓키로 되얏는네 웬 걸 식큼식큼하고 흐리멀뚱하게 푸러진 것이 아모리 맛을 들일내도 맛이 업스닛가 그래도 쉰 줄은 모르고 초친 탓인줄만 알고 억지로 먹으면서 한 작자하는 말이 「양념치지 말고 먹자닛가. 말들 안듯더니...」＜113＞
하고 골을 내닛가 양념치자고 同議하든 놈이 「글세 양념치면 조흔 줄 아럿지. 이러케 쉰 죽가티 식큼식큼할 줄이야 알엇나.」하면서 그래도 양념 바람에 다 먹드람니다. 結局 돈을 맛아 주머니에 녓코 나닛가 마음이 노이드라구요. 놈들은 뒤통수를 툭툭치며 「에익기 신수가 사나우닛가!」하고 부시시 이러나 가드람니다.

無産者의 德
石溪
엇던 곳에 가난쟁이 부자가 잇슴니다. 집도 업고 먹을 것도 업는 아조 거지임니다. 하로는 부자가 손목을 붓잡고 말을 잇기 위하야 이웃 洞里로 나섯슴니다. 맛츰 이웃집 크다란 부자 집에 불이낫슴니다. 맹열한 불길이 닐어나 잠간 사이에 왼 집을 휘싸드니 보기도 조케 활활 잘 타 버림니다. 蓋瓦가 탕탕 튀여 곡식담을 이 타내리며 牛馬가 꺽구러지며 장독이 부서지며 늙은이 젊은이 울며불며 야단발광이 낫슴니다. 이것을 보든 아들놈이 하는 말이 「아버지. 우리는 집이 업스닛가 저런 大變은 生前 안당하고 살지오.」하닛가 아비의 대답이 「그게 다 뉘덕인 줄 아늬. 아비의 덕 안이냐.」고 하드람니다. 나는 이것을 時俗말로 「無産者의 德」이라고 함니다.

엇던 畀…身夫婦
*村
엇던 곳에 두 내외가 사는데 산애는 안즌방이요 녀편네는 벙어리입니다. 여편네는 벙어리인고로 무슨 말이든지 반듯이 손형용으로 하든지 글자를 쓰든지 해서 의사를 통함니다. 하로는 여편네가 어대를 나갓다가 갑작이 씩은씩은 하고 뛰여드러오더니만 남편 압헤 탁 와 안즈며 무어라고 입을 너풀너풀 하더니 남편의 젓가슴을 벗기고 젓사이에 손고락으로 사람 人자를 쓰드람니다. 그러닛가 남편은 怜俐하게도 「아- 큰일낫군... 불이 나서」 하고는 다시 누구의 집에 불이 낫드냐하고 무럿슴니다. 그러닛가 여편네는 또 영리하게도 얼푼 아라듯고 남편에게 달녀드러 입을 쭉 맛추드람니다. 그러닛가 남편은 발서 아라채고 「오. 呂서방네 집에 불이 나서.」하고 또 얼마나 붓텃드냐고 뭇드람니다. 그러닛가 여편네는 발서 아라채고 이번은 남편에게 달녀드러 허리띄를 끄르고 그것을 내여 흔들드람니다. 그러닛가 남편은 「안이 다 타고 기둥만 남엇서」하고 걱정하드람니다. 얼마나 영리한 병신부부임닛가. 젓가슴 사이에 사람 人자를 불 火자로 단바람 아래내고 입을 맛추닛가 呂서방집인 줄 아러내고 허리춤을 끌으고 그것을 내노으닛가 기둥만 남은 줄 아는 것이- 하아...＜114＞
＜112-114＞
