Magazine Title: 三千理 第13巻 第1号
Publication Date: 1941년 01월 01일
Article Title: 內鮮一體의 倫理的 歸結 (The Ethical Conclusion of Japan-Korea Unity)
Author: 鄭僑源
Article Type: 논설 (Editorial/Essay)

The Ethical Conclusion of Japan-Korea Unity
						By Chŏng Kyo-wŏn

The Paengma River flows with an eternal姿態 (chatae - appearance/form). Along its banks, centered on the Pusosan Castle Site, the mountains and rivers of Puyo quietly and peacefully hold the rich historical facts hidden since ancient times. Thus, the sacred hoes of the labor corps serving in the construction of the Puyo Shrine now shine preciously, along with the dripping beads of sweat.

Anyone born in the Imperial Nation (皇國), upon visiting this land, will surely see the desire to further strengthen the deeply tied bonds between Japan and Korea (內鮮).

With the progression of the Incident (事變), the era of discussing Japan-Korea Unity (內鮮一體) has passed, and we have finally entered the stage of practice. Even simple farmers in rural villages compete to make defense donations. They jointly cultivate the fields of families who have sent soldiers to the front. They sincerely send off and welcome dispatched soldiers, which can be seen entirely as the emergence of self-awareness as subjects of the Imperial Nation (皇國臣民).

Originally, regarding the Japan-Korea relationship, there have been several propositions, but the fact of having the same roots and ancestors (同根同祖) strictly exists. However, due to circumstances in certain eras,<74> there was a considerable period of estrangement, making it seem as though they were completely different, dualistic entities. But if one traces back to the source, it will eventually lead back to the original stem.

Looking at this through historical facts, even setting aside the distant Age of the Gods, the relationship between Japan and places like Imna (任那), Paekche (百濟), Koguryŏ (高句麗), Silla (新羅), etc., since the historical era began, sometimes advanced and sometimes retreated. Even before the present Mainland (內地 - i.e., Japan) achieved complete unification, the Yamato Court (大和朝廷) early on extended a hand of guidance and protection (誘掖保護) towards the various countries of the Peninsula. Whether providing materials, stationing troops, establishing official posts, sometimes applying punitive measures (膺懲), or planning cultural exchange, it is a clear fact that there was indeed a close, inseparable relationship. Among these many facts, there are not a few ethical interpretations that cannot be explained merely by interests or international relations.

That is, the Yamato Court's policy towards the Peninsula at that time is thought to be entirely an expression of the great spirit of "Eight Corners of the World Under One Roof" (八紘一宇). Among these, consider the fact of the Paekche rescue during the late Paekche period. Empress Jomei (齊明天皇), at the venerable age of 67, and moreover, as a woman, personally undertook a great journey from the capital to Chikushi (筑紫), stayed at the temporary palace (行在所) for over seven months overseeing the military campaign on the distant Peninsula, and exerted herself to the point of passing away (崩御) there. Despite encountering such a great misfortune, Emperor Tenji (天智天皇) continued the rescue efforts without pause, thoroughly supporting Paekche until its very end. And when the Japanese generals dispatched to the Peninsula at that time returned, thinking of the well-being of the Paekche people who had been their allies, they brought 2,000-some hundred people who would not submit to T'ang (唐) and Silla (羅) to Japan. The fact that those Paekche people, finding it hard to bear leaving their relatives, friends, and ancestral tombs, left behind words of grief and resolutely followed the Japanese army to settle in the Mainland (內地); that the court provided various conveniences for these immigrants, gave them land and official positions respectively, soon intermarriage occurred between them, and their descendants gradually prospered in the Mainland, producing famous figures in history – these things refresh our memory even today.

Such historical facts, such beautiful examples, are unprecedented in the histories of East and West, ancient and modern. I believe this can only be understood through an ethical interpretation of the Japan-Korea relationship. Also, when I heard that the Koguryŏ monk Hyeja Pŏpsa (惠慈法師), after teaching Buddhist scriptures (佛典) to Prince Shōtoku (聖德太子) and staying in Japan for 20 years, returned to his homeland in old age, but seven years later, upon hearing of Prince Shōtoku's demise (薨去), expressed great sorrow (御悲痛), I am struck anew. In short, the Japan-Korea relationship up to the middle ages was truly monistic (一元的) and unified (一體); this is an undeniable fact.

Today, because the surnames and names (氏名) of people in southern Korea (南鮮人) are markedly different, it may seem as though there is no blood relation at all, but looking before the middle ages,<75> the two were nearly identical. For example, consider the names of the craftsmen called from Paekche for the construction of Hōkō-ji (法興社), the first temple in Japan built by Soga no Umako (蘇我馬子): Tara (太良), Matta (末太), Munkakoja (文賈古子). Also, the tile maker Mana Puno (麻奈父奴), or those sent as envoys to Japan during King Sŏngmyŏng's (聖明王) era like Ki no Omi Nasotsu Mimasho (紀臣奈率彌麻抄?), Mononobe no Shidokumakamo (物部施德麻哿牟?), Ahebu Ashihito (阿內部阿斯比多?), and General Kwisil Poksin (鬼室福信) at the time of Paekche's fall – all of these are different from current Korean-style surnames and could rather be called Japanese-style.
Thus, tracing back the origins, the Japan-Korea relationship originally not only had cultural exchange but also shared race and linguistic lineage, and the method of phonetic transcription using Chinese characters (漢字音譯方法) was also the same. In other words, since they were made from the same book, it is natural that phonetic representation was generally possible or that surnames/names were the same. The marked difference in surnames/names between Japanese and Koreans today is a later change.

Furthermore, customs, habits, and even lifestyles were the same in the old days. For example, looking at the exhibits in the Nara Imperial Household Museum (奈良帝室博物館), visitors from Korea (朝鮮) would be surprised to see brass bowls (眞銅의 「사발」) currently used in Korean homes, and many other similar items displayed there. Until the Nara period, even artifacts were largely the same. Also, looking at the drawing of Sugawara no Michizane (菅原道眞) in his court attire (衣冠束帶) found in elementary school textbooks, from the cap (冠) to the socks (버선), it was almost exactly like the style of present-day Korean ceremonial dress (禮服).

Thus, things were originally the same but merely took different paths along the way. In this sense, Japan-Korea Unity (內鮮一體) is a return to the old ways.
Mistakenly, people nowadays speak of Japan-Korea Unity as a matter of the times or administrative convenience, but it is definitely not so. I believe that Japan-Korea Unity is the highest ideal of Korean governance (朝鮮統治) and, at the same time, truly the ethical conclusion (倫理的 歸結) for both Japan and Korea.
—End— <76>

**Summary**

This editorial by Chŏng Kyo-wŏn argues that the policy of "Naesŏn Ilch'e" (Japan-Korea Unity) is not merely a political expediency of the time but the natural, ethical culmination of a shared history and origin between Japanese and Koreans. Chŏng claims evidence from ancient interactions, particularly Japan's involvement with Paekche, shared racial and linguistic roots (citing similar naming conventions and transcription methods in antiquity), and similarities in historical artifacts and clothing styles, asserting that the two peoples were originally one before diverging. He presents the contemporary unity policy as a "return" to this original state and the highest ideal of governance for Korea, rooted in the Japanese spirit of "Hakko Ichiu". For historians, the article is a prime example of pro-Japanese collaborationist rhetoric during the colonial period, specifically how historical narratives were manipulated to justify Japan's assimilation policies and imperial ideology. It reveals the specific arguments—shared ancestry, ancient benevolent interventions by Japan, cultural similarities—used to promote the idea of inherent unity and delegitimize Korean distinctiveness, framing assimilation not as conquest but as a familial reunion and ethical necessity.

**Named Entities**

內鮮	내선	Naesŏn (Japan-Korea)
元來 內鮮關係에 대해서는 멫가지의 提唱이 있는데, 同根同祖的 事實은 그대로 嚴存해 있다. 다만 어떤 時代에＜74＞ 있는 事情으로서, 相當히 오랜 사이에, 疏隔있기 때문에 꼭 全然 다른 二元的 存在인 것 같이 보이는 點이 있으나, 그 源泉을 올리 캔다면 結局 元줄거리에 歸着할 것이다.
이것을 史實에 비최 보건대 먼 神代는 고만두드래도, 歷史時代以降으로 任那, 百濟, 高句麗, 新羅等과 日本과의 關係는 때로 一進一退가 있었는데, 지금의 內地가 아직 完全히 統一을 보지 않은 以前에 있어서 半島의 여러 나라에 대해서 일즉이 大和朝廷은 誘掖保護의 손을 폇으며 或은 物資를 준다든지 或은 駐屯식히든지 或은 官職을 設하고 또 때로는 膺懲을 加하며 文化의 交流를 計劃한 것 等 참으로 密接 不可分의 關係가 있는 것은 顯著한 事實이다. 이들 많은 事實 中에는 利害關係라든지 國際關係로서는 說明할 수 없는 倫理的 解釋이 적지 않다.
즉 當時의 大和朝廷이 半島에 대한 施設方針은 全혀 八紘一宇의 大精神의 發露라고 생각된다. 그 가운데도 百濟 末期에 있는 百濟救援의 事實 같은 것, 齊明 天皇이 67의 御高齡으로서, 그 우에 御女性의 御몸으로서 御손수 都邑으로부터 築紫까지 大*을 드시고 7個月 넘어 行在所에서 멀리 半島의 軍旅를 보시옵다가 그 땅에서 崩御하시기까지 御盡瘁하신 것과 天智天皇이 이런 大故에 遭遇되섰음에도 不拘하고 이어서 救援의 손을 머믈지 않고 百濟의 最後까지 徹底하게 援護하시옵신 것 그리고 當時 半島에 派遣된 日本軍의 將領들이 半島에서 도라갈 때, 일즉이 友軍이든 百濟 사람들의 身邊을 생각해서 唐羅에 服하지 않는 2천수백人의 사람들을 日本에 대려간 事實그 百濟 사람이 親戚故友와 墳墓를 버리기 참아 어려워서 悲痛한 말을 남기며 斷然 日本軍을 따라 內地에 移住한 것, 그들 移住者에 대해서 朝廷으로부터 여러가지 便利가 있고 또 제각기 土地 官職 等을 주고 곧 相互間의 婚姻이 行하게 되고 그 子孫이 內地에 있어서 漸次 繁榮하고 歷史上 有名한 人材를 輩出한 일 等 오히려 今日까지 記憶을 새롭게 한다.

이런 史實 이런 아름다운 例는 古今東西의 歷史에 아직 보지 못한 일로 이것은 內鮮關係의 倫理的 解釋에 依하여 비로소 諒解되는 일이라 생각한다. 또 高句麗의 僧 惠慈法師가 聖德太子께 佛典의 御敎授를 가르치다가 日本在留 20年後 늙어서 그 故鄕에 도라왔으나 7年後, 聖德太子 그 薨去를 듯고 御悲痛해 하시옵섰다고 듯자왔는 때 새삼스레 놀라게 된다. 要컨대 中古까지의 內鮮關係는 眞實로 一元이的요, 一體인 것은 全혀 숨길 수 없는 事實이다.

今日 南鮮人間의 氏名 等이 顯著하게 相違하므로 아주 血續的 交涉이 없는 것 같이 보이나, 中古以前을 본다면＜75＞ 兩者 거반 同一했다. 例를 든다면 蘇我馬子가 日本最初의 寺院으로서 세운, 法興社 工事 때문에 百濟에서 불른, 工匠, 卽太良, 末太, 文賈古子의 姓名 같은 것 또 瓦工의 麻奈父奴라든가 聖明王時代 日本에 使者로 간 紀臣奈率彌麻抄, 物部施德麻哿牟, 阿內部阿斯比多와 같은 또 百濟 滅亡 때 將電鬼室福信같은 어느 것이나 現在 朝鮮式의 姓多과는 모다 다른 오히려 日本的이라 할 것이다.
이렇게 源泉을 밟아 올라가면 內鮮關係는 元來 文化的 交流가 있을 뿐 아니라 人種이든 語系든 같고 漢字音譯方法도 같다. 다시 말하면 같은 책으로 된 것임으로 大體로 表音이 된다든지 같은 氏名이 된다든지 하는 것은 當然한 일이다. 지금같이 內鮮人 兩者의 氏名이 顯著하게 달르게 된 것은 그 後의 變化이다.
또 風俗, 習慣 乃至 生活樣式같은 것도 옛날엔 같았다. 例컨대 奈良帝室博物館陳列品을 보드
래도 거기엔 現在 朝鮮 家庭에 現在 使用하고 있는 眞銅의 「사발」 그밖에 類似한 品物들이 많이 陳列되여 있는 것을 볼 때 朝鮮에서 拜觀간 사람들은 놀날 것이다. 奈良時代까지는 器物까지 대개로 같았다. 또 小學校 敎科書 等에 나오는 菅原道眞의 衣冠東帶의 그림을 보드래도 冠으로부터 버선까지 거반 지금의 朝鮮 禮服 맵씨대로였다.
이렇게 元來는 같았는데 途中에서 길을 달리한 데 지나지 않는다. 이런 意味에서 內鮮一體는 옛날에의 復歸다.
잘못하면 지금 사람들은 內鮮一體라는 것을 時勢나 行政의 方便이라 말하지만 決코 그런 것이 아니다. 내가 밑는 바엔 內鮮一體는 朝鮮統治의 最高理想인 同時에 實로 內鮮 兩者의 倫理的 歸結이라 생각한다.
―끝― ＜76＞
＜74-76＞
