Magazine Title	삼천리 제13권 제1호
Publication Date	1941년 01월 01일
Article Title	즐거운 나의 가정 (My Joyful Home)
Author	朴外仙, 姜福信
Article Type	문예기타 (Literary Miscellany)

My Joyful Home
						Pak Oeson, Kang Poksin
Papa, Mama, and Baby
By Pak Oeson, wife of Mr. Ma Haesong, President of "Modern Nippon-sha" (モダン日本社)

It feels like only yesterday that we got married, but already three full years have passed. And now, I am about to become the mother of two children.
Sometimes, when I see how much my child has grown, I look at my face in the mirror and wonder, "Did I really give birth to him?" We had the child exactly two years after our marriage, in January. My husband apparently checked me into the hospital a week before the baby was due, and eagerly awaited the birth every night with his friends, drinking champagne (200), to the point where he suffered a nervous breakdown.

After giving birth, I came to realize anew how close my husband was. It even seemed strange to think we were strangers before marriage. When I thought about how we had become "Papa" and "Mama" centered around the child, I felt grateful to God.
Both Papa and I were ignorant about children, so I spent every day flipping through books on childcare methods. If the baby cried even a little, I'd worry if he was sick, and if he slept too quietly, I'd wonder "what if?" and go close to listen for his breathing. The first year after giving birth passed in such a flurry.

One night, my husband hadn't returned home late.
Upstairs on the second floor, it was just me and the baby, who had been born not long ago. A fierce wind began to blow in the middle of the night, and I waited anxiously for my husband's return with an indescribable sense of unease. Then, with a loud clap of thunder, lightning flashed, and my hand reflexively hugged the child beside me. "What if the second floor collapses? What would happen to this precious, precious baby?" I sat there like a statue, holding the child tightly.
After the fierce wind passed, I realized for the first time then that a strong maternal instinct (母性慶가 - likely typo for 母性愛 or 母性) was hidden within me too.
The child was still sleeping soundly, with a peaceful face like an angel.

Before having the child, I thought that once the baby was born, I would write in a diary every day (201) to record his growth, but I had no time at all to write such things.
However, my husband, in some spare moments, had jotted down various things in a diary about the child. He wrote about the child (Chonggi) and about me. Reading it, I thought, "Oh, did such things happen back then?" and was surprised myself, and also found it amusing.

*Shōwa 14 [1939], November 30th*
*"When I returned home last night, you were lying on my bed on the second floor, and Mama was standing beside you. You had a bandage on your head. Mama, with tears welling in her eyes, told me what happened. While she came downstairs to answer the phone, you, left on the second floor, opened the bedroom door and fell down the stairs (層臺). Mama said she immediately called the doctor from Murohashi Hospital (室橋病院醫師).*
*You weren't injured anywhere, just your left forehead was slightly swollen. So, she had been applying a cold water compress (冷水濕布) to your head until then.*
*I laughed.*
*I thought you were brave, and I also felt thankful.*
*My heart was filled with gratitude. It seemed excessive that such a fine child like Chonggi was born as my son.*
*I thank Oeson. It is thanks to her virtue that we could have Chonggi."*

After reading this, my heart pounded as if I had committed a crime, and I felt pained. I thought Chonggi was fortunate to have such a good father. My husband, who always loves solitude and silence, becomes a good friend to Chonggi, playing and making noise together.
Lately, Chonggi is gradually learning to speak and seems to understand most Korean and the National Language (國語, i.e., Japanese), and he imitates his father well.
His meticulous nature, like carefully closing doors or cleaning his hands or the dining table if they get dirty during meals, seems to resemble his father's. He also likes music; whenever the phonograph (蓄音器) plays, he gets very happy and moves his hands and feet, pretending to dance. I wonder if it's my heredity, which makes me happy on one hand, but also worried.
Sometimes Chonggi stares up at the distant sky. It seems like he's longing for the mountains and rivers of his hometown, which warms my heart. (202)

My policy is not to scold the child until he can distinguish between good and evil. After having the child, exhausted from lack of sleep and clumsy housework, I sometimes make unnecessary complaints about my child-rearing approach. Right after complaining, I immediately regret it. But Chonggi, even while hearing his mother's complaints, wears a very cheerful expression. It's a thankful thing. A pleasant thing.
When I wake up in the morning, Chonggi jumps into my bedding and acts like a little lamb. He really likes it when I give him a dry towel rubdown (乾布摩擦). Chonggi and I, we play like this in the bedding for a while before getting up.
This is our mother and son's short, blessed time in the morning. —

I hope the child to be born soon will also be a boy. My husband says a daughter would also be nice. But a girl! When I think of myself, I can't help but feel pitiful and sorry. However, if it is a daughter, she might be dearer than anything or anyone else.
Right now, I just hope the child grows up healthy and intelligent, and that is undoubtedly a big task for me. Facing this big task, Papa and I are just waiting tensely for that day.

Joyful Sunday
By Kang Poksin, wife of Mr. Son Kijŏng

As my experience with home life is meager (殘薄한), it seems too rash for me to discuss the family, which is the cradle (搖籃) of human culture and a safe harbor (安港). Also, I have hesitated until now (至于今) because I am embarrassed to introduce my family to you esteemed readers. However, having received the request again (再次), I cannot decline (辭讓치 못하여) and will write a few words.
Before introducing my family, I wish to first offer my humble opinion (愚意) regarding the family.
There is no animal in this world that does not have a family. The family is the ovary (卵巢) where life is produced and propagated, a club (203) for mutual help (相扶相助) where one rests from the day's fatigue and prepares for the next day's (翌日) activities. Thus, even birds flying in the sky hasten their legs towards their nests when twilight (黃昏) covers the earth and the wind rises, and even cattle and horses, having finished their day's hard toil (苦役) in the wide fields (廣野), rejoice in returning to their dens (구녕), however dirty. How much more so, then, must humans long for home – it goes without saying.
Even in the current society where the private property system (私有制度) is highly developed, one's own home is a safe harbor where the peaceful spring breeze blows, all material things are shared together (共亨하며), and resources are shared whether abundant or scarce (有無相通). Even after battling and suffering from the harsh mad winds of society all day long, returning home heals all heartache with warm love and cultivates the energy (에네루) for the next day's activities. The ideal home is not found in high towers and grand pavilions (高樓巨閣), nor in the number of family members, but in the highest, utmost degree of family love: maternal love (母性愛), paternal love (父性愛), fraternal affection (友愛) between siblings, and the driving force for building an ideal family: conjugal love (夫婦愛), a lingering, unforgettable attachment (戀戀不絶), a warm love of a couple desiring to forget but finding it difficult to forget (慾忘而難忘), which is the one and only indispensable driving force for building a harmonious, ideal family. In this way, a peaceful family is the crystallization of love. Consequently, even if one drinks barley rice and green onion soup (麥飯葱湯) in a three-room thatched house in Siberia where snowy winds (雪風) pile up (積上하는), there is joy, hope arises, and human sorrow (愁心) melts away like spring clouds (春雲); one can build a family of the shore of hope, a family of paradise. It is the peaceful family that produces great figures, and those who contribute (功獻者) to human progress also come from warm families.
Mencius (孟子), who broadened the standards of Eastern morality and left lessons for all generations (萬世敎訓), was a re-embodiment of the great maternal love of Mencius's Mother (孟母), the protagonist of Mencius's peaceful family. Abraham Lincoln, who called for slave emancipation (奴隷解放) and created a brilliant page in the history of humanity – even amidst the tragic battles when the beacon fire (烽火) of revolution led to the outbreak (蜂起하야) of the Civil War – returned home, forgot everything while enjoying time with his wife and children, maintained his courage to the end, and bestowed upon human society achievements of undying fame (萬世下朽 - likely typo for 萬世不朽). This too was a gift (禮物) from Abraham Lincoln's harmonious family life.
Such families are absolutely necessary on our Korean Peninsula (朝鮮半島). Since ancient times, we have had a tendency to neglect (等閑視한) the family. When told to forget private affairs (私事) for the sake of public affairs (公事), many people think private affairs mean family life. Isn't this (204) a misunderstanding (認識措誤)?
Even the *Lesser Learning* says: "After cultivating oneself and ordering one's household, rule the state and bring peace to the world" (修身齊家以後에 治國平天下). How can great statesmen who discuss national affairs, great educators who guide tens of thousands of talented youths, or brave warriors who stand firm on the battlefront where bullets fly wildly (彈丸이 乾飛하는) and shed their fresh blood (鮮血) for the motherland, discuss great matters of state, guide the children of others, or be loyal (忠誠) to the monarch (郡王) if they cannot cultivate themselves and manage their families well to build a peaceful home?
In the current emergency (非常時), we, the people who bear the heavy responsibility (重任) of maintaining peace in East Asia, must apply the New Order (新體制) even in our homes and strive for ourselves and for the nation. Aren't women indeed the protagonists of building peace? I too am striving with all my heart and strength (盡心盡力) to build the ideal family described above. Although there are many incomplete (未備한) points, I introduce it to you all, hoping it might serve as some reference for building a peaceful family, which I would consider a limitless (無恨한) joy (기뿜). I will write a few words about my family. My family is ordinary if you call it ordinary, yet if you call it rare (히유한), I think it is a uniquely precious family.
Nestled (깃드린) in a corner of Yŏngŏn-jŏng (蓮建町) is my small home, which began on April 1st. It consists of two people (두리다). When dawn breaks in the eastern sky (東天明日), in the morning, one cleans inside and out (안팍), the other prepares breakfast. After breakfast finishes during the home radio time, one goes to the Savings Bank (貯蓄銀行), the other to Tongdŏk Girls' High School (同德高女), and we part ways.
Evenings always become busy. Only perhaps on Saturday evenings (저녘) do we manage to set (채려 놓게) the dinner table together. Sundays are mainly for mountain climbing or outdoor walks; we also watch movies (映畵) and spend the day pleasantly (愉快히). (205)

**Summary**

This article presents two perspectives on "My Joyful Home" by educated Korean women in 1941. Pak Oeson, wife of a publisher, offers a personal and emotional account of early marriage and motherhood, focusing on the joys and anxieties of raising her first child, Chonggi, her relationship with her husband, and anticipation for her second child. Kang Poksin, wife of famous marathoner Son Kijŏng, provides a more philosophical and prescriptive view, defining the ideal family as a haven of love and mutual support essential for personal well-being and societal strength, referencing historical figures like Mencius and Lincoln. She emphasizes the importance of a well-ordered home, especially during the "current emergency" (wartime), linking domestic peace to national duty under the "New Order."

From a historical perspective, the article is interesting for several reasons. Pak Oeson's narrative provides a glimpse into the private life of an upper-middle-class urban Korean family, including details like hospital births, concerns about child-rearing, and the emotional dynamics between spouses. Kang Poksin's piece explicitly reflects the pressures of the wartime mobilization period (非常時, 新體制), framing the ideal family not just as a personal haven but as a foundation for national strength and contributing to the state's goals, aligning domestic life with public duty. The casual mention of Pak Oeson's son learning both Korean and the "National Language" (國語, Japanese) highlights the bilingual reality and assimilation policies of the late colonial period.

**Named Entities**

朴外仙	박외선	Pak Oeson
아침에 눈을 뜨면 鍾基는 내 자리 속에 뛰여 들어와 어린 양을 핀다. 내가 乾布摩擦을 해주면 아주 좋와 한다. 종기와 나, 이렇게 우리는 한참동안 자리 속에서 놀다가 일어난다.
이것이 아침 우리 母子의 짧은 福된 時間이다. ―
얼마 後에 낳을 아이도 또 아들이였으면 하고 나는 慾望하고 있다. 男便은 딸이라도 또한 좋지 않으냐고 한다. 마는 女子! 나 자신을 생각할 때, 가엽고 아처러워짐을 어쩌는 수 없다. 그러나 萬若 딸이면 무엇보다 누구보다 더 귀여울 것도 같다.
只今은 그저 어린애가 健康하고 總明하게 자라기만 바라고 있고 또 그것이 내게 있어서 큰일임에 틀림없다. 이 큰 일을 앞두고 있는 나와 압바는 오직 긴장해서 그 날을 기다릴 뿐이다.

즐거운 日曜日
孫基禎氏 夫人 姜福信
가정에 對한 經驗이 殘薄한 제가 人類文化의 搖籃이며, 安港인 家庭에 對하여 論키는 너머 輕率할 것 같으며 또 제의 家庭을 江湖諸氏에게 紹介하기는 부꾸려워서 至于今 躊躇하여 왔아오나 再次 請托을 바더 辭讓치 못하여 數字 記錄하려 함니다.
제의 家庭을 紹介하기 前에 家庭에 對한 제의 愚意를 먼저 말슴드리려 함니다.
이 世上 動物치고 家庭을 갖지 않은 것이 없습니다. 家庭은 生物의 生産繁殖하는 卵巢이며 相扶相助하며 1日의 疲勞를 쉬여 翌日의 活躍을 準備하는(203) 한 俱樂部임니다. 그리하여 空中에 나는 새도 黃昏이 大地에 덮이고 바람이 일 때 자기 보금자리로 다리가길 빨리 하며 廣野에 1日의 苦役을 맟인 牛馬도 더러우나마 자기 구녕엘 다라 가길 기뻐하거든 하물며 人間이 家庭을 그리워 하는 것이야 論할 것도 없을 것입니다. 私有制度가 極度로 發達된 現下 社會에서도 自己 家庭만은 平和한 春風이 불고 모든 物質을 共亨하며 有無相通하는 安港임니다. 하로 종일토록 쓸쓸튼 社會에 모진 狂風과 싸우고 시달리다가도 家庭에 도라가면 따뜻한 사랑에 모든 傷心도 나어지며 翌日의 活動할 에네루를 길너냄니다. 理想의 家庭은 高樓巨閣에 있는 것도 아니며 家族人員에 있는 것도 안이고 名種 사랑의 最高, 極度의 母性愛, 父性愛, 兄弟間의 友愛며, 理想的 家庭 建設의 原動力인, 夫婦愛 戀戀不絶하며 慾忘而難忘인 한쌍의 따뜻한 사랑이야말로 和樂한 家庭 理想的 家庭 建設에 없지 못할 唯一無二한 原動力일 것임니다. 이와 같이 사랑의 結晶의 平和로운 家庭이며 따라서 雪風이 積上하는 西伯利亞에서 草家三間 집에 麥飯葱湯을 마시드라도 樂이 있으며 希望이 생기고 人間愁心을 春雲같이 녹이 난 希望岸의 家庭 樂園의 家庭을 일을 수 있을 것임니다. 偉大한 人物을 産生하는 것도 平和의 家庭이며 人類向上의 功獻者도 따뜻한 家庭에서람니다.
東洋道德의 水準을 넓이고 萬世敎訓을 두고 간 孟子도 孟子의 和平한 家庭의 主人公인 孟母의 偉大한 母性愛의 再現이였으며 奴隷解放을 부르지져 人道歷史上에 찰란한 歷史의 한페이지를 나은 아부라함·린컨 革命이 烽火가 되여 南北戰爭이 蜂起하야 悲慘한 戰鬪 中에도 家庭에 도라가 妻子와 즐겁게 온갔 것을 잊고 勇氣를 最後까지 維持하야 萬世下朽의 功을 人類社會에 낏친 것도 아부라함·린컨의 圍樂한 家庭의 生活의 禮物일 것임니다.
우리 朝鮮半島에도 如此한 家庭이 絶對必要함니다. 自古로 우리는 家庭을 等閑視한 傾向이 있었습니다. 公事를 爲하야 私事를 이즈라하면 私事를 家庭生活로 의미하는 줄 아는 사람이 많습니다. 이것은(204) 認識措誤가 아닐가 함니다.
小學에도 말하기를 修身齊家以後에 治國平天下라 하였습니다. 國家를 論하는 大政治家, 數萬의 英才를 指導하는 偉大한 敎育家, 彈丸이 乾飛하는 戰線에 雄立하야 祖國을 爲하야 鮮血를 흘리는 勇士가 自己 몸을 닥고 家庭을 잘 다스러 平和한 家庭을 建設치 못 하고야 었지 國事를 大論하며 他人子弟를 指導하며 郡王에게 忠誠하리까. 現下 非常時 東洋平和를 維持할 重任을 가진 우리 國民은 家庭에서도 新體制를 加하여 自己를 爲하야 國家를 爲하야 힘써야 할 것입니다. 女子야말로 平和建設의 主人公이 아니겠읍니까. 저도 以上 記載한 理想的 家庭을 建設하고 盡心盡力하야 未備한 點이 多大함니다만 여러분께 紹介하야 平和의 家庭 建設에 多少라도 參考가 된다면 無恨한 기뿜으로 生覺하며 나의 家庭을 數字 적겠읍니다. 나의 家庭은 平凡하다면 平凡하며 히유한 家庭이라면 唯一無二한 貴한 家庭이라 生覺함니다.
蓮建町 1隅에 깃드린 조고만 것이 나의 家庭이며 4月 1日붙어 始作되였습니다. 두리다 東天明日을 띄고 아침이면, 하나는 안팍 掃除, 하나는 아츰준비, 家庭 라디오 時間에 朝飯이 끗나면 하나는 貯蓄銀行 하나는 同德高女로 헤여짐니다.
저녁은 언제든지 분주하게 됨니다. 土曜日 저녘 같은 때나 함번씩 저녁상을 채려 놓게 되지요. 日曜日은 登山이 아니면 野外散步를 主로, 映畵같은 것도 보며 1日을 愉快히 지냄니다.(205)
＜200-205＞
