잡지명	개벽 제64호
발행일	1925년 12월 01일
기사제목	朝鮮의 一年·世界의 一年 (One Year in Chosŏn, One Year in the World)
필자	起田 (Kitian/Gijeon)
기사형태	논설 (Editorial/Argumentative Essay)

朝鮮의 一年·世界의 一年
						起田

This month is December, and the Year of the Wood Ox (乙丑年) is now coming to a close. A year's time (歲月), if looked at one way, is like a flash of lightning (電光石火), but thinking again, it is not such a short duration. If we ask how long we have been living like this, wearing clothes and building houses, it naturally seems limitlessly long and distant (悠長), but this limitlessly long and distant duration, when broken down, ultimately amounts to nothing more than about 5,000 times this one year. Then, this year, equivalent to one five-thousandth of the entire history mankind has built so far, what has it truly accomplished?

Not only this. Even if it is the same time for the same person, the influence that time has on that person differs between working hours and resting hours. Also, even for the exact same time on the exact same day, the change that time brings to that day can differ tremendously depending on the circumstances (形便) in which that time is situated on that day. For example, the few tens of minutes at sunrise or sunset on a given day bring the most change to that day compared to other times. That is, in the way that time acts upon our human society, it possesses the power to brighten a dark world or darken a bright world. Similarly, even if it is the same period of one year (or more than one year), it will naturally differ depending on the season (世季 - likely means era or period here) in which that period is situated. Then, this past year, situated in a great transition period (一大 轉換期) attempting to leap from the civilization of individualism to the civilization of socialism, what has it truly shown us, and what has it made us think?

Looking globally, the most eye-catching events of this past year are (1) the national rights movement (國權運動) of weak and small peoples (弱小民族), (2) the Asianization of Labor-Farmer Russia (勞農露西亞), and (3) the consolidation of several capitalist powers (資本主義 列國), starting with Britain, America, and France (英米佛). Needless to say, although at the beginning of the Paris Peace Conference held in 1918, there was much talk of justice (正義), humanity (人道), and national self-determination (民族自決), leading to widespread discussion of the weak and small peoples issue for a time, ultimately, at the point of concluding the peace treaties, merely to break the postwar power of the defeated nations (戰敗國) and create new puppets for the victorious nations (戰勝國), a few countries like Poland<2>, Czech (첵크), and Yugoslavia (유-고스라비악크) were made independent. As for all the remaining weak and small peoples, they were divided up under various pretexts like partition (分割), mandate rule (委任統治), or protectorates (保護國). Regarding the weak and small races or other oppressed peoples (被壓迫民族) (for example, China (中國)) that had been possessed even before the Great War without relation to it, as domestic and foreign political situations gradually stabilized after the war, the degree of oppression and exploitation (搾取) was only further increased (the method generally involves giving something while threatening). When such things happen, a corresponding reaction (反動) inevitably arises. The pent-up anger of all these weak and small peoples against the tyranny of these capitalist imperialist states began to explode. It truly began to explode this year. The nationwide movement for the restoration of national rights in China, ignited by the student shooting incident on Nanjing Road (南京路) in Shanghai (上海) on May 30th, is one example; the freedom movements of the Rif tribes (리푸族) and Druze tribes (드류스族) arising in French Morocco (佛領 모롯코) and Syria (씨리아) are another. In other words, the explosion first occurred on the Chinese mainland, where the oppression of many had reached its peak, and the revolt first happened within the territory of France (佛蘭西), where internal exhaustion was particularly severe. However, weak and small peoples are not only on the Chinese mainland or within French territory. They exist everywhere. They are over there, and they are also here; are they only in the lands commonly called colonies (植民地), or are they also within what is called the home country (本國內地)? The term "weak and small peoples" today ultimately refers to the masses who have lost political sovereignty (主權) and suffer economic exploitation (搾取). Even if someone holds the flag of their home country, if they cannot actually participate in the country's political power and cannot obtain security of livelihood – in other words, the masses belonging to the proletariat (無産階級) – they can all be called the same weak and small peoples. And in reality, these masses will join hands. Now, this resistance movement of the weak and small peoples began to explode this year and continues as the year ends. 一隨*動萬波波 (One wave follows another, creating ten thousand waves) – the events of the coming days are noteworthy.

One cannot forget that behind this movement of weak and small peoples lies Labor-Farmer Russia (勞農露西亞). As everyone knows, Russia, after carrying out the Communist Revolution (共産革命) early in 1917, sought to undertake a world revolution (世界革命). To achieve this, it first had to overthrow the capitalist powers (列强). To overthrow them, it had no choice but to join hands with the proletarian masses (無産民衆) within those countries and the weak and small peoples within their spheres of influence. It first proceeded with this strategy (方策) towards the European continent. However, due to the bourgeoisification of the German Revolution and the internal political stability of Britain and France (英佛)<3>, the plan did not go as intended. Thus, the Labor-Farmer government somewhat altered its tactics. For the time being, against the well-defended Western European front, it decided to wage a protracted war (持久作戰), while boldly advancing towards the East, where national grievances were most acute. It planned an outflanking maneuver (迂回作戰) against all capitalist powers through the liberation (解放) of all colonies (植民地) in this region. Establishing the two republics of Uzbek (우스베크) and Turkmen (도루구멘) in Turkestan (土耳其斯坦), and fostering the two new republics of Inner Mongolia (內蒙古) and Buryat (푸리야-도) in Siberia (西佰利亞) to consolidate the ranks of national soviets, or establishing relations first with China and then with Japan (日本) to facilitate mutual exchange – all these stem from Russia's Eastern Revolution, guarding the West and advancing East (西守東進). Of course, this effort had been underway for some time, but it feels like it became more active and concrete this year. The fact that the Russo-Japanese treaty normalizing relations was concluded early this year, and that China's movement for restoring national rights became particularly vigorous from this spring, further supports this view. However, what has been shown so far is merely the prologue (序幕). The truly big events lie ahead.

Faced with revolutionary movements targeting all the world's capitalist empires (the resistance movements of various weak and small peoples and the force of Labor-Farmer Russia's world revolution movement emerging or showing signs of emerging), the Powers (列國), having perceived this, devised various countermeasures. First, while seeking agreement among themselves, the capitalist nations, they also felt the need to increase allies joining their side, even if just one country. Thus, they engaged heavily in such activities this year. For instance, in January of this year, they held a finance ministers' meeting of the Allied powers in Paris (巴里), agreed on the so-called Dawes Plan for distributing annual payments, aiming not to damage relations while dividing the reparations money. During the summer, they resolved the war debt issue with the United States (米國), striving to draw the US into the European political sphere. In September, they held a conference concerning the border guarantees of continental European nations, primarily Germany (獨), France (佛), and Belgium (白 - likely Belgium), and concluded a security treaty regarding this (currently undergoing ratification by the relevant countries), thereby planning for the stability of the European political situation, including even Germany. In this way, the relations among the European and American powers, which had been in a state of continuous entanglement (紛紏狀態) since the Great War, achieved a temporary consolidation, and they are once again turning their steps towards the Chinese mainland. The fact that Britain, America, France, etc., at the Customs Conference (關稅會議) currently being held in Beijing (北京), are smoothly acknowledging China's tariff autonomy (關稅自主權) while trying to appease China as much as possible, allows one to guess where their intentions lie.<4>

In short, this past year, seen globally, saw the revolutionary movements arising from all the weak and small peoples or proletarian masses (無産民衆) on one side, and the consolidation movement of the capitalist powers opposing them, arranging their battle lines against each other. Just as Labor-Farmer Russia is the main force in the former revolutionary movement, Britain (英國) has become something like the leader on the side of the latter capitalist countries. One interesting point here is that the Japanese Empire (日本帝國), following in the wake of capitalist imperialism, was early alienated from the European and American powers due to its own conflicts related to capitalist development. Although it considers getting a bit closer to Russia, it cannot get too close because it is fundamentally dangerous. It tries to join hands with the warlord factions in China, but this too is fraught with complications and unusual backgrounds, making it impossible to act uniformly. It is currently engrossed only in winning general favor in China by pretending to take the lead in advocating for the issue of acknowledging autonomy at the recent Customs Conference. How on earth is this whole situation likely to change? World problems are roughly like that, and

what about the situation in Chosŏn (朝鮮) during this year? The first thing to say about this is that although we always say Chosŏn, Chosŏn when we speak, in reality, this region called Chosŏn is not floating somewhere separate between heaven and earth; it is merely one region within this world. Therefore, the situation in Chosŏn cannot exist separately from the world situation. That is to say, just as two major camps confront each other globally, the same is true in Chosŏn. Especially this past year, the most striking aspects of the situation in Chosŏn are that all policies (政策) of the Government-General (總督府) are becoming increasingly reactionary (反動的), and the people's (民衆) movement is step by step becoming more profound (深刻化).

First, looking at the social movement (社會運動) side, there are definite signs of it becoming somewhat more concrete (具體化) and organized (組織化) this year. That is, it has clearly advanced a stage from the abstract to the concrete, from the emotional to the organized. The division of movements into sectors like the youth movement (少年運動) and the young adult movement (靑年運動) (especially demarcated by age), the farmer movement (農民運動) and the worker movement (勞働者運動), and the effort put into policy research (政策硏究) and internal organization (內容組織) within the same endeavors, can also be seen as explaining the news from this side. The fact that particular attention turned to the farmer movement this year (for example, the Youth General Alliance (靑年總同盟) establishing a special Rural Committee, the Cheondogyo Youth Party (天道敎靑年黨) resolving on the revolutionary<5> enlightenment of farmers, the Chosŏn Nongmin Sa (「朝鮮農民」社 - Choson Farmer Company) and others publishing farmer magazines, or the recent decision by the Labor General Committee (勞總委員會) to establish a separate Farmers' Alliance) and that the youth movement and anti-religion movement showed new momentum, are phenomena worthy of attention.

Not only in the realm of social movements, but generally speaking, the people's movement this year achieved considerable development. Above all, various types of assemblies (集會) and associations (結社) flourished significantly. Various meetings such as Farmers' Congresses, City/County People's Congresses, Newspaper and Magazine Reporters' Congresses were almost continuous. General strikes (同盟罷業) demanding improved treatment for various workers like printing, sock-making, rice-milling, and spinning, as well as tenant disputes (小作爭議) by the general landless farmers, notably in places like Amtae (岩泰), Pukryul (北栗 - likely Pungnyul/Pukryul based on historical context), and Toch'o (都草), were also quite fierce. And the emergence of the social science movement (社會科學運動) even in the student world, which had hitherto been without issue, was truly a phenomenon unseen before this year.

Thinking about it, although there are undoubtedly various reasons for witnessing such development in the people's movement in Chosŏn this year, one cannot forget that (1) as the policies of the Government-General authorities became increasingly high-handed (高壓化), especially regarding speech and assembly, and capitalized (資本化) (in all industrial management), the general populace was naturally spurred to action (感奮), and at the same time, (2) the great tide (大潮流) of social transformation occurring globally also contributed to this.

The year of transition – the Year of the Wood Ox – passes like this. Both for Chosŏn and the world, it leaves behind a huge cornerstone (礎石) and a huge task (宿題). To stand firm on this cornerstone and solve this task, isn't this our work from now on? Looking forward only to the New Year of the Fire Tiger (丙寅). (起田 Kitian/Gijeon)<6>

**Summary**

The author, Kitian, reflects on 1925 as a pivotal year globally and within Korea (Chosŏn). Globally, it's characterized by the rise of anti-colonial/national rights movements (China, Morocco, Syria) often implicitly or explicitly supported by Soviet Russia, countered by the consolidation of capitalist powers (UK, US, France, Japan) seeking stability and control, notably through financial agreements and attempts to manage China. Within Chosŏn, this global tension manifests as increasingly repressive colonial policies (by the Government-General) met with a more organized and intensified popular resistance, including distinct farmer, worker, youth, and even student social science movements, alongside numerous strikes and tenant disputes. The year is portrayed as laying the groundwork for future struggles. For historians, this article is valuable as a contemporary Korean intellectual's analysis linking local colonial realities directly to global geopolitical currents (anti-imperialism, rise of socialism vs. capitalist consolidation). It clearly articulates the growing organization and radicalization of Korean resistance movements across different social strata in response to both colonial oppression and international ideological trends.

**Named Entities**

巴里	파리	Paris
世界의 온갖 資本帝國을 상대로 하는 革命運動(各 弱小民族의 反抗運動과 勞農露西亞의 世界革命運動의 세력이 이와 가티 발발하여 또는 발발할 形勢에 잇스매 이를 看取한 列國은 各樣으로 대책을 강구하되 먼저 자기네 資本主義 國家 간의 協謂를 取하는 동시에 單 한 나라일지라도 자기편에 가담하는 동무를 늘일 필요가 잇다 하야 그들은 금년 1년에 만히 그런 일을 하엿다. 즉 本年 1월에는 巴里에 聯合國側의 藏相會議를 열고 소위 또 年賦金의 分配案을 협정하야 賠償金을 논아 먹기에 誼-傷치 안키를 期하엿스며 녀름 중에는 米國에 대한 戰債問題를 의결하야 米國을 歐大陸의 政圈에 끌어들이기에 힘썻스며 9월에는 獨, 佛, 白을 위시한 歐大陸의 國境保障에 관한 회의를 열고 이에 대한 保障條約을 체결(只今 關係各國의 比準을 엇는 중)하야 獨逸까지를 포함한 歐洲政局의 안정을 策하얏다. 이리하야서 大戰 以後로 그냥 紛紏狀態에 잇던 歐米 列國의 關係는 一時의 結合을 엇고 그들은 또 한번 거름을 돌니여 中華大陸을 향하고 잇다. 그 지금 北京에 열닌 關稅會議에서 英米佛 등이 國의 關稅自主權까지를 무난히 승인한면서 어대까지 中國을 어루만지려하는 것은 그 뜻이 那邊에 잇슴을 이로써 짐작할 수 잇는 것이다＜4＞

도틀어 一言하면 世界的으로 본 금년 1년은 모든 弱小民族 또는 無産民衆을 한 편으로 해서 니러나는 革命運動과 이를 반대해서 니러나는 資本列國의 結合運動이 서로 서로 陣勢를 버렷다. 前者의 革命運動에 잇서는 勞農露西亞가 그 주력되여 잇슴과 가티 後者의 資本國家의 편에 잇서는 英國이 그 맹주처럼 되엿다.여긔 한 가지 滋味잇는 일은 資本帝國主義의 後塵을 仰하는 日本帝國은 資本的 發展에 對한 그 自體의 衝突上 일즉히 歐米列强과 疎隔되엿고 露西亞와 좀 갓가이 할 생각을 하나 원체가 위험한 지라 보다 以上으로 갓가히 할 수가 업고 中國의 軍閥派와 손을 잡으려 하는데 이 亦 가달이 만코 背景이 異常들 하야서 一率로엇지 할 수가 업고 오즉 近日의 關稅會議에 自主權 承認問題를 率先 主唱하는 척하야서 中國의 一般的 歡心을 사기에 열중하며 잇다. 대체 이 놈의 판국이 엇지 變하려는 셈인가 世界問題는 대강 그러타하고

금년중의 朝鮮 형편을 일별하면 엇던가. 여기에 대해서 먼저 한 마듸할 것은 우리가 말 할 때에 每樣 朝鮮 朝鮮하지마는 실은 朝鮮이란 이 地域도 天上天下에 어대 떠러져 잇는 것이 아니오. 이 世界안에 잇는 지역의 하나에 지나지 못하는 것인 즉 朝鮮의 형편이란 것도 역시 世界의 형편을 떠나서 따로 되여 잇을 수가 업는 그것이라. 즉 전세계로 보아서 2대 진영이 서로 대립해잇는 것과 가티 조선에 잇서 역시 그러하다는 말이다. 더욱히 금년 1년에 잇서 朝鮮 현상 중에서 가장 눈 띄운 것은 總督府의 一切政策이 점점 反動的으로 되여 가는 것과 民衆의 運動이 步一步 深刻化헤 가는 그것이다.

爲先 社會運動의 편을 보면 금년 1년에 잇서 확실히 더 좀 구체화하고 조직화한 形跡이 잇다 .즉 추상적으로브터 구체적에 氣分的으로브터 조직적에 분명히 一段을 진보하엿다. 가튼 運動에 잇서 少年運動과 靑年運動(特히 年齡을 際限하야) 農民運動과 勞働者運動의 部門을 난우고 가튼 努力에 잇서도 政策硏究 內容組織에 노력을 써 왓슴과 가틈은 亦是 이 편의 消息을 설명하는 것이라고 볼 수 잇다. 금년에 잇서 農民運動에 別로 얼골을 돌리게 된 것 (가령 말하면 靑年總同盟에서 農村委員會를 特設한 것이나 天道敎靑年黨에서 農民의 革新的＜5＞ 계몽을 결의한 것이나 「朝鮮農民」社 其他에서 農民雜誌를 發行하는 것이나 最近 勞總委員會에서 農民同盟을 別設하기로 한 것 等으로 볼지라도)과 少年運動 反宗敎運動이 새로운 氣勢를 보인 것과 가튼 일은 주의할 현상의 하나 됨을 不失한다.
반드시 社會運動 方面의 일 뿐이 아니라 일반적으로 보아 금년의 民衆運動은 상당한 발전을 圖得하엿다. 무엇보다도 각종의 集會와 結社가 상당히 성행되엿다. 農民大會, 市·郡民大會, 新聞雜誌記者大會 등 각종의 회합이 거의 연속되엿스며 印刷, 洋襪, 精米, 紡績 等 諸職工의 待遇向上을 要求한 同盟罷業과 岩泰, 北栗, 都草 等地를 위시한 一般無産農民의 小作爭議도 상당히 격렬하엿다. 그리고 여태까지 問題가 업던 學生界에까지 社會科學運動이 니러낫슴과가틈은 정말 금년브터가 아니면 보지 못할 現像이엿다.

생각컨대 금년의 朝鮮에서 이와 가티 民衆運動의 발전을 보게 된 것은 勿論 여러 가지의 이유가 잇겟지만 (一)總督府 當局의 정책이 점점 高壓化 특히 언론, 집회에 대하야)하고 資本化(모든 産業的 經營에 잇서)함에 따라 一般民衆이 스스로 感奮됨이 잇는 동시에 (二) 世界的으로 니러나는 社會開闢의 大潮流가 또한 그러 식힌바 잇섯는 것을 니즐 수 업다.
轉換期의 1년-乙丑의 1년은 이러케 지내간다. 朝鮮的으로나 世界的으로나 크다라한 초석 크다라한 숙제를 던저노코 간다. 이 礎石에 발을 부치고 서 이 宿題를 푸러 나아가는 것, 이것이 이제브터의 우리 일이 아닐가. 오즉 丙寅의 新年을 바라보면서 (起田)＜6＞
＜2-6＞
