Magazine Title: 삼천리 제3권 제12호
Publication Date: 1931년 12월 01일
Article Title: 祈禱하는 童貞女群, 그네의 긔도와 례배, 금욕생활, 그네의 로만스는 엇더한가, 天主敎 修道院을 探訪하고 (A Group of Praying Virgins, Their Prayer and Worship, Ascetic Life, What About Their Romance?, Visiting a Catholic Convent)
Author: 崔貞熙
Article Type: 소식 (News/Report)

Praying Virgins, Their Prayer and Worship, Ascetic Life, What About Their Romance?, Visiting a Catholic Convent
						Choi Chŏnghŭi
—The bell rings—
It is the time to announce the day’s end. Let it be said that the tolling of this evening bell (晩鍾; Manjong), bursting forth from the sharply soaring Catholic church—the convent—is tragic and pure.
At this time, I sought out the Catholic church in Chingo-gae, wanting for a long time to know the inner workings of the convent and the daily lives of the nuns withering away so finely—or the hidden sad stories (悲話) within their hearts.
As ever, the sound of the Angelus bell was weeping, “Ding—dong—ding—,” as if cursing the late autumn of Seoul, the demonic capital (魔都; Mado).
And I also thought perhaps it was the Angelus, a symbol bidding glory to the nuns who silently tread the path of black (黑... meaning penance) and white (白... meaning purity).
The inside of the church was so quiet that even my heart, lacking faith in religion, received a plastic feeling, as if receiving some kind of flow (light).
From over there, a priest (神父) with his head deeply bowed was approaching. When he came before me, showing perhaps an expression of humility, he put his hands together and showed an intention to ask me something, but I spoke to him first.
“I am very sorry, but I have something to ask.” To my words, he replied with the clumsy speech of a foreigner, “Yes. Please speak.”
At this moment, using the cunning means that come from journalism, I began to fabricate the following lie:
“The reason I came here today is because it felt too precious to defile this body in the complicated and dirty world, so I intend to finish my life in the holy and sacred convent.”
Hearing these words, the priest pondered for a while... “That is a good word. ... However, with labor, prayer, and meditation, under God the Father<79> Jesus and the Holy Mother Mary, vowing to the Rule (誡律) of Benedict, the Ten Commandments of Moses, or the Cross is quite a difficult thing.”
“...”
“Anyway, please follow me.” At his words, as I followed him into the Mother Superior’s office, my heart pounded like an international spy facing a risky venture deliberating for their home country (自國), and cold sweat trickled down my forehead.
They had me sit down, and looking up at the sky, like some fool or perhaps like a saving angel (救世天使), they offered silent prayer, then asked my intention again, and had me listen to a sermon through the Korean assistant superior.
With a straight face, thinking only of achieving my goal, I tried hard not to miss a single thing he said, determined to remember it all.
“Religion preceded science and will exist until the end of the world. Believing in God has been part of human creation, for example, Adam’s sons Cain and Abel offered to God fruits (果實) of the earth and the firstlings of the flock (羊). (Hearing this, even knowing it was a lie, I just nodded my head saying yes, yes.) Among religions, Roman Catholicism is the largest, with nearly 380 million adherents. Most convents in the world belong to this Catholicism. 480 years after the birth of Jesus, Saint Benedict (an Italian nobleman) hid himself in the land of Spia[go?] and built 12 small monasteries. His famous disciple, Saint Placidus, built a convent in Aria[ria?], and Saint Maurus built a huge convent in France. Through this lineage, due to the efforts of August[ine?], convents spread throughout the whole world, and then after several hundred years, in the era of Saint Francis[co?] [Xavier?], convents were built even in Chosŏn via India.” Listening to this sermon, my body felt so constrained, I felt sentiments like those of a prisoner. But thinking I must find out, I forced myself to listen to his sermon again.
“If you want to become a daughter of God, you must show permission from your earthly parents and proof that your past conduct was proper. And when you first enter, you must come equipped with clothes to wear for one year, bedding, daily necessities, etc. And as you will find out when you formally enter, this place is a land of silence. You will only make sounds during prayer time and confession time.
There is a thirty-minute walk time per day, but even then, it is absolutely silent, and when communicating with each other, codes are used.” While listening to this kind of sermon, the bell sound rang out again. Even for me, lacking faith, hearing the mysteriously flowing bell sound, I felt as if I had reached a fairyland, my breath seeming to shorten. The bell sound continued to flow thinly and long. Priest, Mother Superior, assistant nun, aspirants—without exception, they all came out in rows into the wide courtyard of the Catholic church. Only the aspirants wore ordinary clothes; the other nuns wore black habits and white coifs.
Around their necks hung rosaries and crosses. They walked so carefully that even though over a hundred people walked in rows, not even a footstep could be heard.
I too, muffling my shoe sounds, entered the chapel with them. They began to pray again. The worship of the nuns in black habits and white coifs looked even more holy and clean.
If there were a God, I believed He would have received their worship more sweetly.
For some reason, while feeling a sense of mystery, I felt endlessly sorry for the lives of those nuns.
Their daily life seemed terribly monotonous to me. Not only that. All the rules (誡律) made them extremely restricted<80>.
I felt quite an attachment to one young nun who looked nice. So, during the short prayer time, she and I stopped praying and started talking about worldly matters. (Doing this transgression within the exceedingly sacred-looking church, the thought of fear arising in my heart was indeed true.)

She said she came to the convent the summer before last, not so much because she wanted to become a nun, but because her parents, being sincere Catholics, wanted to entrust their only precious daughter to God, raise her purely to become God's precious daughter, and at the same time, make her their own beautiful (?) daughter. She showed a look that seemed to resent her parents who sent her to the convent out of love for her.
She continued this story.
“The bell that rings according to the time, morning and evening, sometimes sounds holy, but there were more than one or two times when that bell sound made us cry. On moonlit evenings like these lately, I just want to cry, wrapped in unseen loneliness and sorrow. Of course, I am not the only one who has these thoughts. All the nuns in here, being human, must all have the same feelings. No! I can definitively prove that they do.” Just as she was engrossed in talking, and I was lost in listening, an obstacle arose: the bell rang again, the sound of prayer changed, creating a world of silence.
After hearing the young nun's story, their actions seemed all the more foolish, and even the sound of the bell seemed to mock their foolishness.
I wanted to ask them.
Saying the world is dirty and evil, and that living there is painful, is entering a convent to become a nun not just the delusion of overly weak women?
And do you not have the strength to completely fix the dirty and evil society into a clean and good one! I asked with my heart— Their striving goal was eternal life (生)—living by the spirit (靈), discarding the flesh (肉) as dirty.
Silence and sacrifice of the flesh, prayer and labor, movement and stillness (靜), this is the program of their unchanging daily life. Suddenly, the priest's actions—the nuns' silence—everything struck me as jarring, so without another word, I ran out of the church.
In the late autumn wind, acacia trees, having shed all their leaves, stood sparsely, and only the lonely moonlight quietly illuminated the wide courtyard of the Catholic church.
Tonight, how sorrowful that moonlight must make the hearts of the pitiful nuns!
The bell sound still rings.
The Angelus bell seemed rather to resonate with the late autumn night of Seoul, the demonic capital, and seemed to warn against the foolishness of the nuns aiming for arduous self-discipline.
—Postscript—
I left, arranging to meet the memorable young nun at the next opportunity to hear her hidden secrets. I will borrow the pages next time to print the inside story. (End)<81>

**Summary**

The author, Choi Chŏnghŭi, recounts her visit to a Catholic convent in Seoul (Chingo-gae) in late autumn 1931. Feigning a desire to become a nun, she gains entry and observes the strict, silent, and regimented life of prayer, labor, and asceticism. She interviews a priest and listens to a sermon about the history and rules of the convent, finding the atmosphere oppressive. During prayer, she secretly converses with a young nun who expresses sorrow and resentment about her life, suggesting disillusionment is common among the nuns. The author leaves feeling critical of the nuns' withdrawal from the world, viewing it as weakness rather than piety, and pities their perceived foolishness, promising to reveal more in a future article. From a historical perspective, the article offers a fascinating glimpse into a modern Korean woman journalist's skeptical view of traditional religious institutions during the colonial period. It touches upon themes of individual desire versus familial/religious duty, the perceived constraints on women, and a critical, secular perspective engaging with Western religion in Korea. The author's journalistic method (using deception) and her empathetic yet ultimately critical tone towards the nuns are also noteworthy.

**Named Entities**

崔貞熙	최정희	Choi Chŏnghŭi
업시	없이	Without (Older spelling)
죄다	죄다	All, entirely
검언	검은	Black (Older spelling)
흰꼬깔	흰 꼬깔	White coif/hood
썻슴니다	썼습니다	Wore (Older spelling/form)
렴주	염주	Rosary beads
걸니워 잇슴니다	걸리어 있습니다	Is hanging (Older spelling/form)
거름은	걸음은	The steps/walking are (Older spelling)
발자최좃차	발자취조차	Even the footprints (Older spelling)
드를 수 업섯슴니다	들을 수 없었습니다	Could not hear (Older spelling/form)
힌	흰	White (Older spelling)
깻긋해	깨끗해	Clean, pure (Older spelling)
밧엇슬 줄	받았을 줄	That (God) would have received (Older spelling/form)
밋어젓슴니다	믿어졌습니다	Became believable, seemed credible (Older spelling/form)
끗업시	끝없이	Endlessly (Older spelling)
가엽게	가엾게	Pitifully, wretchedly
안이라	아니라	Not only (A), but also (B)
만듬니다	만듭니다	Makes (Older spelling/form)
좃케	좋게	Good-looking, favorably (Older spelling)
가젓슴니다	가졌습니다	Had, felt (Older spelling/form)
이약이를	이야기를	Story, talk (Older spelling)
끄집어 내게 되엿슴니다	끄집어내게 되었습니다	Came to bring up/start talking about (Older spelling/form)
되엿다구	되었다고	That it became/happened (Reported speech ending, older form)
십헛다는	싶었다는	That one wanted (Older spelling/form)
것보담	것보다	Rather than (Older spelling)
맛겨서	맡겨서	Entrusting (Older spelling)
길너	길러	Raising, nurturing (Older spelling)
자긔들	자기들	Themselves, their own (Older spelling)
만들겟다는	만들겠다는	That they would make (Older spelling)
드러온	들어온	Came in, entered (Older spelling)
듸레보내신	들여보내신	Who sent in (Older spelling/form)
게속	계속	Continuing
아츰	아침	Morning (Older spelling)
엇던	어떤	Some, certain (Older spelling)
들녀오지만	들려오지만	Is heard, but (Older spelling/form)
요새갓치	요새같이	Like recently, like these days (Older spelling)
전녁은	저녁은	The evening is (Older spelling)
설흠에	설움에	In sorrow (Older spelling)
싸혀서	싸여서	Wrapped in, enveloped by
십담니다	싶답니다	Wants to (Reported speech ending, older form)
물논	물론	Of course (Older spelling)
모도	모두	All (Older spelling)
갓흔	같은	Same (Older spelling)
안이!	아니!	No! (Interjection, older spelling)
잇다는	있다는	That there is/exists (Older spelling)
장해물	장애물	Obstacle
생겻스니	생겼으니	Because it arose/happened (Older spelling/form)
울니드니	울리더니	As it rang (Older spelling/form)
세게를	세계를	World (Older spelling)
만드러 노은	만들어 놓은	Having made/created (Older spelling/form)
어리석께만	어리석게만	Only foolishly (Older spelling)
비웃는 듯 십헛담니다	비웃는 듯 싶었답니다	Seemed as if mocking (Reported speech ending, older form)
뭇고 십헛슴니다	묻고 싶었습니다	Wanted to ask (Older spelling/form)
사희	사회	Society (Older spelling)
갯끗하고	깨끗하고	Clean (and) (Older spelling)
꼿칠	고칠	To fix, mend, reform (Older spelling)
업느냐!	없느냐!	Is there not? Don't you have? (Older spelling)
영(靈)으로써	영으로써	By means of the spirit
하고저	하고자	Trying to do, intending to do (Older spelling)
힘쓰는 바	힘쓰는 바	What one strives for
육(肉)	육	Flesh, body
잠(靜)	잠	Stillness, quietude (Hanja used for 'quiet')
푸로그람이람니다	프로그램이랍니다	It is the program (Reported speech ending)
갑작이도	갑자기	Suddenly (Older spelling/form)
거슬녀	거슬려	Jarringly, offensively (Older spelling)
밧그로	밖으로	Outside (Older spelling)
뛰여 나왓슴니다	뛰어나왔습니다	Ran out (Older spelling/form)
입사귀	잎사귀	Leaves
떠러진	떨어진	Fallen (Older spelling)
잇서스며	있었으며	Was standing (and) (Older spelling/form)
고교한	고요한	Quiet, tranquil (perhaps older or variant spelling of 고요한)
달빗만	달빛만	Only the moonlight (Older spelling)
빗처줄	비춰줄	Shining upon (Older spelling)
달빗치	달빛이	The moonlight (subject marker, older spelling)
애달푸게	애달프게	Sorrowfully, heartbreakingly
고심극긔	고심극기	Arduous self-discipline, mortification
경게하는	경계하는	Warning, cautioning
깁흔	깊은	Deep (Older spelling)
긔회에	기회에	At the opportunity (Older spelling)
맛나서	만나서	Meeting (Older spelling)
듯기로	듣기로	Deciding to hear/listen (Older spelling)
떠낫슴니다	떠났습니다	Left, departed (Older spelling/form)
실니기로	실리기	To be published/printed (Older spelling/form)
하겟슴니다	하겠습니다	Will do (Older spelling/form)
(끗)	(끝)	(End)


---------------------------


잡지명	삼천리 제3권 제12호
발행일	1931년 12월 01일
기사제목	祈禱하는 童貞女群, 그네의 긔도와 례배, 금욕생활, 그네의 로만스는 엇더한가, 天主敎 修道院을 探訪하고
필자	崔貞熙
기사형태	소식

祈禱하는 童貞女群, 그네의 긔도와 례배, 금욕생활, 그네의 로만스는 엇더한가, 天主敎 修道院을 探訪하고
						崔貞熙
―종이 울니여―
날이 저무러짐을 선고할 때임니다. 이 만종(晩鍾)의 울님은 옷득 솟은 뽀족한 천주교당―수도원에서 터저나오는 비장이며 순정임을 말해둠니다.
이때에 나는 오-래 동안 알녀고 하든 수도원의 내막과 곱-게 시드러지는 수녀들의 일상생활―또는 그들의 가삼 속에 숨은 비화(悲話)를 알기 위하야 진고개에 잇는 천주교당을 차저갓슴니다.
여전히 안젤라쓰의 종소리는 마도(魔都)인 서울의 느진 가을을 저주하는 듯이 「뗑―뗑―뗑―」 울고 잇섯슴니다.
그리고 무언(無言)으로 흑(黑... 苦行을 말함), 백(白... 潔白을 말함)의 길(道)를 닥고 잇는 수녀들에게 영광이 잇스라는 씸폴의 만종이 안인가도 생각하엿슴니다.
교당 안은 엇지도 고요한지 종교에 대해서 신앙이 업는 나의 맘에도 엇더한 흐름(빗)을 주는 듯한 푸래쉬틱한 늣김을 밧엇슴니다.
저-편에서 고개를 푹 숙이고 이쪽으로 향해오는 신부(神父)가 이섯슴니다. 그는 나의 압헤 와서 겸손함을 표현함인지 두손을 합장하고 나에게 무엇을 물어보려는 뜻을 보일 때 내가 먼저 그에게 말을 던지엿담니다.
「대단히 죄송함니다만은 물어볼 말삼이 잇는대요.」 하는 내 말에 그는 외국인의 섯투른 말솜시로 「네. 말삼해 보십시요.」 하고 대답하엿슴니다.
잇때에 나는 쨔나리즘에서 나오는 공교로운 수단으로 다음과 갓치 거짓말을 꿈며대기 시작햇슴니다.
「제가 오늘 이곳에 오게 됨은 복잡하고 더러운 세상에서 이 몸을 더럽히기는 너무나 앗가위섯슴으로 제 일생을 거륵하고 신성한 수도원에서 맛치려고 함니다.」
이 말을 드른 신부는 한참이나 묵상하다가... 「조흔 말삼이올시다. ... 그러치만 로동과 긔도와 묵상을 가지고 성부<79> 예수와 성모 마리아 밋헤서 베네직트의 게률(誡律)과 모세의 십게명 또는 십자가를 서원(誓願)하기에는 퍽 어려운 일임니다.
「...」
「하여간 따라오십시요.」 하는 말에 나는 그를 따라 원장실까지 드러갈 때는 국제적 스파이가 자국(自國)을 위하야 고심하는 모험에 당면한 것처럼 나의 가삼은 두군두군 하엿스며 이마에는 진땀이 흘넛슴니다.
그들은 나를 안처 놋코 하늘을 우르러 보면서 무슨 바보와도 갓고 또는 구세천사(救世天使)와도 갓치 묵도를 한 후 나의 의사를 다시 물어보고는 조선인 부원장을 통해서 설교를 들녀줌니다.
나는 시침을 딱 떼고 목적을 달하려는 생각에서 그의 이약이 하는 것을 한나도 빼놋치 안코 긔억하려고 애를 썻담니다.
