Magazine Title: 동광 제31호
Publication Date: 1932년 03월 05일
Article Title: 괴-테 百年紀念欄, 「괴-테」와 「쉐익스피어」 (Goethe Centennial Memorial Column, "Goethe" and "Shakespeare")
Author: 鄭寅燮
Article Type: 논설 (Editorial/Essay)

Saint Poet - Goethe

Goethe Centennial Memorial Column, "Goethe" and "Shakespeare"
						Chŏng Insŏp

No matter how the times change or how many new doctrines are advocated, Goethe and Shakespeare are two great luminaries who are never forgotten, whether in a positive or negative sense. As epoch-making existences in world literary history, or as perfections in themselves, they are the two great masters most widely known, to whom we do not spare the highest epithets like "poet saint" or "playwright saint."

Now, upon reaching the centennial of Goethe, while reminiscing about him, I received a request for a poetry translation. However, rather than that, I intend to briefly write about the influence of Shakespeare, which can be said to be the most prominent among the fundamental reasons why Goethe became the Goethe we know.

Regarding the influence of foreign literature, without needing to elaborate extensively here, the value of its "centrifugal force" (원심력) must be regarded as significant. When thinking of the sphere of world literature, just as no one can disregard German literature, and within German literature, it feels like the center is missing without thinking of Goethe, so too in relation to German literature and Goethe, one cannot fathom its developmental process without considering the plays of England's Saong (沙翁 - Shakespeare).

Furthermore, those who study Shakespeare's plays cannot expect to achieve mastery without examining the research works on Shakespeare by German literary scholars. This is not just because Germany has a "Shakespeare Society" (쉐익스피어 學會) where Shakespearean research is said to be more intense than in England, but can be readily asserted from the fact that there is hardly any German literary thinker without writings on Shakespeare, and that their content possesses considerable profound depth (深刻味).

Thus, just as Berne (베르네 - Ludwig Börne) exclaimed, "Hamlet is German," their fervor for Shakespearean research and admiration (崇拜熱) is exceedingly intense.

While Goethe's *Faust* represents one side of the German national character—the aspect of an incessant, indomitable quest for knowledge—Shakespeare's *Hamlet*, in its skeptical melancholy, can be seen truly representing the other side of the German national character.

And this *Hamlet* was also studied by Goethe. In his novel *Wilhelm Meister* (윌헤름·마이스텔), speaking through Wilhelm, he critiqued *Hamlet* as follows in the English translation below. This has become a well-known reference for anyone who typically studies *Hamlet*.— <115>

“The time is out of joint: O cursed spite, That ever I was born to set it right!”
In these words, I imagine, will be found to Hamlet's whole procedure. To me it ts clear that Shakespeare meant, in the present case, to repressent the effects of a great action laid upon a soul unfit for the performance of it. In this view the whole play seems to me to be composed. There is a oak-tree planted in a costly jar, which should have borne only pleasant flowers in its bosom: the roots expand, the jar is shivered. A lovely, pure, noble and most moral nature, without the strength of nerve which forms a hero, sinks beneath a burden it cannot bear and must not cast away. All duties are holy for him; the present is too hard. Impossbilities have been required of him, - not in themselves impossibilities, but such for him. He winds and turn, and torments himself; he advances and recoils, is ever put in mind, ever puts himself in mind; at last does all but lose his purpose from his thohghts, yet still without recovering his peace of mind.

I do not intend here to provide a comprehensive description of the influence Shakespeare's plays had on German literature or German dramatic literature. Why? Because if observed historically through the realms of drama, translation, and research, there are far too many facts. Therefore, I limit myself here to Goethe alone.

Among the literary theories on Shakespearean research, the one that most moved (움즉인) Goethe was that of Herder (헤르테르). What Herder discovered as the greatness of Shakespeare's plays lay particularly, seen as an epoch-making contrast since Greece, in the destruction of existing rules (在來) of playwriting and the dawn of character drama.

And if we quote from a passage describing the outcome after Meister, the protagonist in Goethe's aforementioned novel *Wilhelm Meister*, first urged Jarno (야르노-) to read Shakespeare's plays in order to reform the German stage, we get the following translation. This can be considered Goethe's own impression when he read Shakespeare upon Herder's recommendation.—
"To my memory, nothing has given me as great an impression as his precious works, which I first came to know through you. Truly, Shakespeare's works are those of an earthly genius. I cannot simply call this poetry. It feels as if I am standing before the strange turns of fate, where the harsh winds of the world stir the waves, crying and roaring with terrifying force. All the premonitions I had about humanity and human destiny are actually expressed in Shakespeare's works. For Shakespeare, nothing is impossible... And after reading his plays, I gain the courage to throw myself into the waves of fate and overcome them, and also the courage to draw water from the great ocean of nature and drink it."

In this way, Goethe, impressed by Shakespeare, departed entirely from the French-style (佛蘭西流) dramatic fashion of regulated constraint, influenced by Aristotle's *Poetics* (아리스테레스 詩學) which was popular at the time. He conceived large-scale masterpieces through the rich and profound depiction of characters, not to mention the ever-changing (千變萬化하는) settings, events, and timelines of Shakespeare's plays. Thus, a colossal work like *Faust* (파우스트) emerged, and in his historical drama *Götz* (굇츠), various influences from Shakespeare's plays like *Antony and Cleopatra* (안토니와 크레오파트라), *Macbeth* (맥크베스), and *Romeo and Juliet* (로메오와 쥬리엣트) are evident, though I will not describe them all individually. In short, it is a fact that Goethe gained much through his digestion of Shakespeare.

Finally, I will add one more word. Although the names Saong (沙翁) or Goethe have been heard in Chosŏn (朝鮮) for a long time, the degree of research and digestion is truly quite shallow. Of course, critical perspectives may vary, but adopting their good points is extremely necessary. Before rejecting unconditionally, one must first understand sufficiently. It seems a bad habit (惡習) of rashly (輕妄히) disregarding others before knowing them thoroughly is prevalent in Chosŏn's literary circles. Historical consideration of literary thought is necessary regardless of any school (流派), and commemorating literary giants is also a significant matter. Whether one takes a positive or negative stance depends on one's own view (主見), however. (End) <116>

**Summary**

This 1932 essay by Chŏng Insŏp discusses the profound influence of Shakespeare on Goethe, arguing that Goethe's greatness is inseparable from his engagement with Shakespeare. It highlights the German fascination with Shakespeare, citing Börne's claim that "Hamlet is German" and Goethe's own extensive analysis of Hamlet in *Wilhelm Meister*. Chŏng emphasizes how Shakespeare liberated Goethe from the constraints of neoclassical French drama, enabling works like *Faust*. The author concludes by lamenting the shallow understanding and study of figures like Shakespeare and Goethe in contemporary Chosŏn, urging deeper engagement before dismissal and stressing the importance of studying literary history regardless of one's own critical stance. From a historical perspective, the article reveals the engagement of Korean intellectuals with Western literary canons during the colonial period, attempting to position Korean literature within a world context. It also reflects a critique of the contemporary Korean literary scene's perceived superficiality and factionalism, advocating for more rigorous study and less hasty judgment, which might indicate anxieties about cultural development under colonial rule.

**Named Entities**

괴-테	괴테	Koet'e (Goethe)
外國文學의 영향이라 하는 것은 여기서 구구히 논할 것 없이 그 원심력이라는 것의 가치를 중대시하지 않을 수 없는 것이다. 世界文學圈을 생각할 때 누구든지 獨逸文學을 도외시할 수 없는 동시에 獨逸文學 가운데서도 「괴-테」를 연상치 않고는 그 중심이 없는 것 같이 느껴지며 이 獨逸文學과 「괴-테」를 관련시킨 獨逸文學에 잇어서 英國의 沙翁劇을 고려에 넣지 않고는 그 발전 과정을 推察할 수 없는 것이다.
그리고 또 沙翁劇을 연구하는 자로서 獨逸의 문학자들에 의한 「쉐익스피어」 연구의 저서를 고찰치 않고는 완성을 期할 수 없는 바이니 이것은 獨逸에 「쉐익스피어 學會」가 잇어서 英國에서 보담도 沙翁硏究가 더 심하다는 현상을 가지고 말할 것이 아니라 獨逸의 文學思想家로서 「쉐익스피어」에 대한 저서가 없는 사람이 거진 없다고 할 수 잇는 점으로 보아서 또 그 내용이 상당한 深刻味를 가젓다는 점으로 보아서 능히 말할 수 잇는 것이다.
이리하야 「베르네」가 「햄릿트는 獨逸人이다」라고 부르지진 것과 마찬가지로 그들의 沙翁硏究와 崇拜熱은 대단 심한 것이다.
「괴-테」作의 「파우스트」가 不絶한 百折不屈의 知識의 탐구적 性向을 표시하는 獨逸 民族性의 半面인 동시에 沙翁作의 「햄릿트」는 그 회의적 침울성에 잇어서 실로 獨逸民族性의 다른 반면을 대표한 것을 볼 수 잇다.
그리고 또 이 「햄릿트」도 「괴-테」에게도 연구되엇으니 그가 「윌헤름·마이스텔」이라는 소설가운데서 「윌헤름」의 입을 빌려 다음 英譯과 같이 「햄릿트」를 비평하엿으니 이것은 보통 「햄릿트」를＜115＞ 연구하는 사람으로서 누구나 잘 아는 참고문이 되어 잇다.-

“The time is out of joint: O cursed spite, That ever I was born to set it right!”
In these words, I imagine, will be found to Hamlet's whole procedure. To me it ts clear that Shakespeare meant, in the present case, to repressent the effects of a great action laid upon a soul unfit for the performance of it. In this view the whole play seems to me to be composed. There is a oak-tree planted in a costly jar, which should have borne only pleasant flowers in its bosom: the roots expand, the jar is shivered. A lovely, pure, noble and most moral nature, without the strength of nerve which forms a hero, sinks beneath a burden it cannot bear and must not cast away. All duties are holy for him; the present is too hard. Impossbilities have been required of him, - not in themselves impossibilities, but such for him. He winds and turn, and torments himself; he advances and recoils, is ever put in mind, ever puts himself in mind; at last does all but lose his purpose from his thohghts, yet still without recovering his peace of mind.

나는 여기서 沙翁劇이 獨逸文學 내지 獨逸劇文學에 영향준바 전면적 記述을 하고저 하는 바가 아니다. 何故오 하면 史的으로 劇界, 譯界, 硏究界를 통하야 관찰하면 너무나 많은 사실이 잇으니깐 여기서 「괴-테」 1人에 한하는 바이다.
그런데 沙翁硏究의 문학론가운데서 가장 「괴-테」를 움즉인 것은 「헤르테르」의 것이 잇으니 「헤르테르」가 발견한 바 沙翁劇의 위대는 특히 希臘 이후의 획기적 대립으로 보아 在來의 劇作上의 규칙파괴와 性格劇으로서의 서광에 잇엇다.
그리고 「괴-테」가 沙翁劇을 읽어 感懷한 것을 그의 소설, 前記 「윌헤름, 마이스텔」속의 주인공 「마이스텔」이 獨逸劇壇을 개혁하려고 처음으로 「야르노-」에게 沙翁劇을 읽어보라고 권한 결과의 句節에서 인용하면 다음 譯과 같다. 그런데 이것은 「괴-테」 자신이 「헤르테르」에게서 권유를 받아 읽은 때의 인상이라고 할 수 잇는 것이다.-
「나의 기억으으로는 당신에 의하야 처음으로 알게 된 그의 귀중한 작품만큼 커다란 인상을 나에게 준 것은 없다. 실로 沙翁의 작품은 지상의 천재가 지은 것이다. 여기 대해서 나는 단순히 詩라고 할 수 없다. 恰似 세상의 험한 바람이 물결을 이르켜 무서운 기세로 울고 부르짖는 운명의 기구한 앞에 서 잇는 것 같이 생각된다. 인류와 사람의 운명에 대해서 내가 가지고 잇는 예감이 모다 沙翁작품가운데 실제로 표시되어 잇다. 沙翁에게 잇어서는 불가능한 것이 없다... 그리고 그의 劇을 읽은 후에는 운명의 물결 속에 몸을 던저 이것을 이겨가려는 용기가 나고 또 자연의 大洋에서 물을 퍼다 마시는 용기도 나는 것이다.」
이와 같이 「괴-테」는 沙翁에 감복한 바 잇어 당시 유행하든 「아리스테레스 詩學」의 영향이든 佛蘭西流의 規律的 구속의 劇風에서 공연 떠나 千變萬化하는 沙翁劇의 장소, 사건, 시간학은 물론, 인물의 성격의 풍부하고 심각한 묘사로서 대규모의 명작을 구상하엿으니 「파우스트」같은 巨作도 이리하야 나왓으며 그의 史劇 「굇츠」에서는 沙翁劇의 「안토니와 크레오파트라」, 「맥크베스」, 「로메오와 쥬리엣트」등의 여러 가지 영향이 명백하나 일일히 다 記述치 아니 한다. 요컨대 「괴-테」가 「쉐익스피어」의 소화에 의하야 얻은 바가 많은 것은 사실이다.
끝으로 한마디 부가할 것은 沙翁이라든지 「괴-테」라든지 그 이름은 朝鮮에 들린지가 오래지 마는 실로 그 연구와 소화에 잇어서는 대단 정도가 옅은 것이다. 물론 批評眼은 여러 가지 일것이나 그 좋은 점을 취한다는 것은 극히 필요한 일이다. 무조건하게 부정하기 전에 몬저 충분히 알아야 하는 것이다. 朝鮮의 文壇에는 남을 충실히 알기 전에 輕妄히 무시하려는 惡習이 유행하는 것 같으니 文學思想의 史的 考察은 여하한 流派를 물론하고 필요하고 文豪의 기념행동도 중대한 일이다. 긍정이냐 부정이냐 하는 입장은 각기 主見에 의한 것이지마는. (끝)＜116＞
＜115-116＞
