Magazine Title:	삼천리 第4卷 第3號
Publication Date:	1932년 03월 01일 (March 1, 1932)
Article Title:	有名人士 三兄弟 行進曲, 閔木植氏 三兄弟, 金性洙氏 三兄弟, 崔南善氏 三兄弟, 張德秀氏 三兄弟 (March of Famous Trios of Brothers: The Min Mok-sik Brothers, The Kim Sŏng-su Brothers, The Ch'oe Nam-sŏn Brothers, The Chang Tŏk-su Brothers)
Author:	柳光烈 (Yu Kwang-nyŏl)
Article Type:	소식 (News/Report)

March of Famous Trios of Brothers: The Min Mok-sik Brothers, The Kim Sŏng-su Brothers, The Ch'oe Nam-sŏn Brothers, The Chang Tŏk-su Brothers
						Yu Kwang-nyŏl (柳光烈)

The phrase "Your family's brothers are unrivalled (君家兄弟는 莫能當)" is an expression of envy towards another's siblings. In Chosŏn (朝鮮) too, there are several sets of brothers whom others envy, and the editor of Samch'ŏlli (三千里) has requested that I list them. However, my purpose in writing this piece is not necessarily to express envy towards these brothers. It merely aims to select and introduce individuals somewhat known to the public.

Min Hyŏng-sik (閔衡植), Min Tae-sik (閔大植), Min Kyu-sik (閔奎植)
These three brothers are the sons of Mr. Min Yŏng-hwi (閔泳徽), famous as a wealthy man in Chosŏn.
The eldest brother, Mr. Min Hyŏng-sik, does not seem to be a school graduate but has considerable knowledge of classical Chinese, and his calligraphy is renowned in Chosŏn; there is likely no one in the calligraphy and painting world (書畵界) unfamiliar with the name Uha Min Hyŏng-sik (又荷 閔衡植). He is the eldest son of a rich family. He possesses the virtue of loving others and humbling himself (愛人下己), and is said to help the poor, elderly, and destitute relatives (窮老貧戚) frequently. Recently, he has been serving as a director of the incorporated foundation Hwimun High Common School (徽文高普), but there are even rumors that this very virtue of generously helping needy acquaintances became a pretext for him being declared bankrupt.
Next, Mr. Min Tae-sik is a graduate of a university in Britain (英國) and currently serves as an executive at Tongil Bank (東一銀行), holding a considerable reputation in financial circles. However, it is regrettable that he is extremely indifferent to social enterprises. There is also word that he recently exerted considerable effort for the cultural projects of the Kyemyŏng Club (啓明俱樂部).
Lastly, Mr. Min Kyu-sik is a graduate of Cambridge University (劍橋大學) in Britain and is said to assist his elder brother (乃兄), contributing to the financial world. Judging by his lack of participation in social circles, <52> he seems indifferent towards Chosŏn society, perhaps befitting the son of a plutocrat (거부) and a university graduate. Perhaps he devotes all his capabilities solely to his own convenience? It is said that the Tong-a Department Store (東亞백화점) building recently constructed on Chongno Avenue (鍾路通) is his property, but this is certainly not a contribution to society.
These three brothers possess considerable capabilities, yet it is regrettable that their efforts in social enterprises are few.

Kim Sŏng-su (金性洙), Kim Yŏn-su (金䄵洙), Kim Chae-su (金在洙)
Mr. Kim Sŏng-su is too famous to require introduction here. Chungang School (中央學校), the Tong-a Ilbo (東亞日報), Kyŏngsŏng Spinning (京城방직), and Haedong Bank (海東銀行) fall within the scope of his enterprises. As the son of a landowner in Kŏlp'o (茁浦), South Chŏlla Province (全南), he has now become a figure of national renown throughout Chosŏn. It is said that recently he has been losing sleep planning Chosŏn's first People's University (民立大學); regardless of the outcome, his intention alone is commendable. His academic background as a graduate of Waseda University's (早稻田大學) Politics and Economics Department is something that could just as well be present or absent concerning his overall persona.
Next, Mr. Kim Yŏn-su is a graduate of Kyoto Imperial University's (京都帝大) Economics Department. Not only does he possess a considerable academic background, but his meticulous mind is sharp in financial management (理財), and it is said that the business strategies for the various enterprises managed by his elder brother (乃兄) mostly originate from his head. Currently serving as the managing director of Haedong Bank (海東銀行), he holds considerable prestige in financial circles. His diminutive physique appears frail at first glance, but upon closer observation, there is something sturdy and resolute about him. When his elder brother, Sŏng-su, was adopted out (出系) to continue another family line and spent his entire fortune on social enterprises, Yŏn-su worked behind the scenes to manage the situation, contributing most of his personal wealth as well. He reportedly never uttered a word of complaint (怨言) towards his brother, always putting his brother forward in any enterprise while remaining in the background, attributing all credit and prestige to his brother; this too cannot but be called a virtue. When Mr. [Yŏn-su] fell critically ill with tuberculosis some years ago, his brother Sŏng-su wailed day and night in loving care, despairingly lamenting, "If my younger brother meets misfortune, that will be the day my own enterprises end"—this was more than understandable.
Lastly, Mr. Kim Chae-su, although still young (年淺), is heard to be managing a rice mill (정미소) in Che-dong (齊洞) and operating a silk reeling (製絲) business outside the East Gate (東大門). His academic background is unknown but is said to be likely above the middle school level.

Ch'oe Ch'ang-sŏn (崔昌善), Ch'oe Nam-sŏn (崔南善), Ch'oe Tu-sŏn (崔斗善)
Mr. Ch'oe Ch'ang-sŏn is said to have poured most of his fortune into managing the cultural institution Sinmun'gwan (新文舘) in Hwanggŭmjŏng (黃金町). Even as his younger brother, Ch'oe Nam-sŏn, spent considerable sums on cultural enterprises, Ch'ang-sŏn reportedly never complained and thoroughly resigned himself (自甘하다) to being a 'patron' (파트론) in the background.
Mr. Ch'oe Nam-sŏn is also too famous to need introduction here. Since the founding of Sinmun'gwan, he has been a meritorious figure who dedicated over a decade to pioneering Chosŏn's new culture. It is only regrettable that in recent times his fame has gradually lost its luster and color (失光無色). A man who made his mark (一頭地) in the field of Chosŏn historiography (朝鮮史學界), <53> Mr. [Ch'oe Nam-sŏn] has no particularly noteworthy academic credentials, having achieved greatness largely through self-study and independent learning (自習獨學). Mr. Ch'oe Tu-sŏn is currently a teacher (교원) at Chungang School (中央學校). After graduating first from Waseda University (早稻田大學) and returning to Chosŏn, he served as principal of Chungang School, then went to Germany (獨逸) to study philosophy. After returning, his reputation was somewhat tarnished for a time, but he is now practicing self-discipline (근신하다) and is in the process of restoring his former name (前名).

Chang Tŏk-chun (張德俊), Chang Tŏk-su (張德秀), Chang Tŏk-chin (張德震)
Mr. Chang Tŏk-chun is the son of a farmer from Chaeryŏng (載寧), Hwanghae Province (黃海道). He had enrolled at Waseda (早稻田) and was working as a reporter (기자) for the Tong-a Ilbo (東亞日報) when he went to the Kando Incident (間島事變) and vanished, his fate unknown ever since. He is described as a person easily moved to passion (감격하기 쉬웁고), full of human feeling (인정이 만흐며), and possessing unique views (일가견) on politics.
Mr. Chang Tŏk-su is currently the Vice President of the Tong-a Ilbo (東亞日報) and is studying abroad in London, England (英京倫敦). A graduate of Waseda University (早稻田大學), he was already famous when he became a reporter for the Tong-a Ilbo. It has been 10 years since he went to America (米國) after hearing unfavorable things related to some secret society incident (決死事件). He is a man with great future prospects (장래가 만흔).
Mr. Chang Tŏk-chin was also a person easily moved to passion. Unlike his two elder brothers, he possessed a strong 'terrorist' (테로) disposition. Going to OO [unspecified place/year], he shed many tears traversing the snow and moonlit landscapes of Manchuria (滿洲), often choked up by the sound of the water at the Huangpu Bund (黃浦灘), and struggled immensely trying to accomplish something. Some years ago, he met a violent death (非命橫死) in Shanghai (上海). His death too cannot but be considered a kind of sacrifice (犧牲). <54>
<52-54>

**Summary**

This 1932 article from the magazine *Samch'ŏlli* profiles four sets of prominent Korean brothers: the Mins (Hyŏng-sik, Tae-sik, Kyu-sik), Kims (Sŏng-su, Yŏn-su, Chae-su), Ch'oes (Ch'ang-sŏn, Nam-sŏn, Tu-sŏn), and Changs (Tŏk-chun, Tŏk-su, Tŏk-chin). Written by Yu Kwang-nyŏl, it details their family backgrounds (often wealthy landowners or farmers), education (including prestigious universities in Korea, Japan, Britain), and careers spanning finance, business (banking, spinning, department stores), cultural endeavors (publishing, calligraphy, history), education, and journalism. The author praises some for their social contributions (like Kim Sŏng-su's planned university or Ch'oe Nam-sŏn's cultural work) but criticizes others (like the Min brothers) for perceived indifference to societal needs despite their privilege. The article also touches upon personal hardships, including financial troubles, illness, political entanglements leading to disappearance (Chang Tŏk-chun in Kando) or exile (Chang Tŏk-su to America), and violent death (Chang Tŏk-chin in Shanghai).

From a historical perspective, the article offers a valuable glimpse into the Korean elite during the Japanese colonial period. It highlights the diverse paths taken by educated and influential Koreans – some focusing on economic development within the colonial system, others on cultural preservation and education (like the Chungang School or Sinmun'gwan), and still others involved in more politically charged activities, sometimes with tragic consequences. The author's critical commentary on the social responsibilities of the wealthy and educated reflects contemporary debates about the role of the elite in a colonized nation. The mention of specific incidents like the Kando Incident, activities in Manchuria and Shanghai, and studies in Britain and Japan further situates these individuals within the broader context of Korean nationalism, diaspora, and engagement with modernity under colonial rule. Historians could find the descriptions of business ventures (like Tong-a Department Store, Kyŏngsŏng Spinning), educational institutions, media outlets (Tong-a Ilbo), and the personal sacrifices or perceived failings of these prominent figures particularly illuminating.

**Named Entities**

閔木植	민목식	Min Mok-sik
기자	기자	Reporter, journalist
잇다가	있다가	While being/working as (Older spelling of 있다가)
간도사변	간도사변	Kando Incident (1920s conflict/massacre in Jiandao)
영영	영영	Forever, completely
생사불명	생사불명	Life or death unknown, missing
되엿다	되었다	Became (Older spelling of 되었다)
성질	성질	Temperament, nature
감격하기 쉬웁고	감격하기 쉽고	Easily moved to passion/emotion (Older spelling of 쉽고)
인정	인정	Human feeling, compassion
만흐며	많으며	Being much/many, and... (Older spelling of 많으며)
정치적으로	정치적으로	Politically
일가견	일가견	Unique view, original opinion
부사장	부사장	Vice President
유학중이다	유학 중이다	Is studying abroad
기자	기자	Reporter
유명하엿섯다	유명하였었다	Had been famous (Older spelling of 하였었다)
결사사건	결사사건	Secret society incident (possibly referring to nationalist groups)
불리한	불리한	Unfavorable, disadvantageous
듯고	듣고	Hearing (Older spelling of 듣고)
건너간 지	건너간 지	Since crossing over/going to
장래가 만흔	장래가 많은	Having much future potential (Older spelling of 많은)
역시	역시	Also, likewise
달나서	달라서	Being different, unlike (Older spelling of 달라서)
다분히	다분히	Greatly, considerably
테로 기분	테로 기분	Terror[ist] mood/disposition (테로 likely from 'terror')
가졋섯다	가졌었다	Had possessed (Older spelling of 가졌었다)
만주	만주	Manchuria
설월	설월	Snow and moon (evokes desolate landscape)
밟으며	밟으며	While treading/traversing
울기도 만히 하고	울기도 많이 하고	Also cried much (Older spelling of 많이)
황포탄	황포탄	Huangpu Bund (in Shanghai)
물소리	물소리	Sound of water
목도 만히 매치면서	목도 많이 메치면서	While also often choking up (voice thick with emotion) (Older spelling of 많이)
애도 만히 쓰더니	애도 많이 쓰더니	Also struggled much/put in much effort, and then... (Older spelling of 많이)
년전에	연전에	Some years ago (年前)
비명횡사	비명횡사	Violent or unnatural death
죽업도	죽음도	Death also (Older spelling/form of 죽음도)
희생	희생	Sacrifice


---------------------------


잡지명	삼천리 제4권 제3호
발행일	1932년 03월 01일
기사제목	有名人士 三兄弟 行進曲, 閔木植氏 三兄弟, 金性洙氏 三兄弟, 崔南善氏 三兄弟, 張德秀氏 三兄弟
필자	柳光烈
기사형태	소식

有名人士 三兄弟 行進曲, 閔木植氏 三兄弟, 金性洙氏 三兄弟, 崔南善氏 三兄弟, 張德秀氏 三兄弟
						柳光烈
『君家兄弟는 莫能當』이라는 말은 남의 형제에 대한 부러워하는 말이다. 朝鮮에도 남이 부러워하는 형제가 몃사람 잇스니 그들을 열거하여 보라는 것이 三千里편집자의 부탁이다. 그러나 필자가 이 글을 쓰는 것이 그들의 형제를 부러워하는 의미에서 쓰는 것은 아니다. 다만 세상에 다소 知名한 이를 골나서 소개하는뎨 지나지 안는다.

閔衡植, 閔大植, 閔奎植
이 삼형제는 朝鮮에서 부호로 유명한 閔泳徽씨의 아들 삼형제이다.
長兄 閔衡植씨는 학교출신은 아닌 듯하나 한문이 상당하고 서법에는 朝鮮에서 명필이라는 일홈이 노파 又荷 閔衡植씨라면 書畵界에 모를 사람이 업슬 것이다. 그는 부자집 장자이다. 愛人下己하는 미덕이 잇고 窮老貧戚을 만히 도아준다고 한다. 近日 재단법인 徽文高普理事로 잇스나 다만 窮交를 만히 도아주는 미덕이 도로혀 빌미가 되어 파산선고를 바닷다는 말까지 잇다.
그 다음 閔大植씨는 英國 모 대학출신으로 현재 東一은행 중역으로 잇스며 재계에 상당한 일홈이 잇스나 사회적 사업에는 극히 냉담하다는 것은 섭섭한 일이다. 근자에 啓明俱樂部 문화사업에 상당한 用力을 한 것이 잇다는 말도 잇다.
끗트로 閔奎植씨는 英國 劍橋대학출신으로 乃兄을 助하야 재계에 힘쓴다고 한다. 사교계에 별로 나서지 안음으로 보아＜52＞ 그는 거부의 아들과 대학출신의 자격으로 朝鮮사회에 대하야 냉담한 듯하다. 아마 그 全實力을 자신의 편리에만 기우리지 안는가? 최근에 鍾路通에 지은 東亞백화점집이 그의 소유이라 하나 이것이 사회에 대한 공헌이 아닌 것은 물론이다.
이 삼형제는 상당한 실력이 잇스며 사회사업에 用力이 적은 것이 유감이다.

金性洙, 金䄵洙, 金在洙
金性洙씨는 여기에 소개하기에는 너무도 유명하다. 中央學校, 東亞日報, 京城방직, 海東은행은 그의 사업의 범위속에 들엇다. 全南 茁浦의 한 지주의 아들노 지금에는 전 朝鮮적 명사가 되엇다. 최근에 그는 朝鮮에서 최초로 民立대학을 劃策하며 밤잠을 못잔다고 하니 그 성과는 하여간 의도만은 고마운 일이다. 早稻田大學 政經科출신이라는 학력쯤은 그의 전인격에 대하야 업서도 조코 잇서도 조흔 일이다.
그다음 金䄵洙씨는 京都帝大 經濟科출신이다. 그는 학력도 상당하려니와 치밀한 두뇌는 理財에 밝아 乃兄이 경영하는 각 사업에 대한 기업방침은 대부분 그의 머리에서 나온다고 하며 현재 海東은행 전무로 잇서 재계에 상당한 명망이 잇다. 왜소한 그의 체격은 一見에 빈약하여 보히나 자세 보면 어대인지 올차고 다부진 데가 보인다. 乃兄 性洙씨가 養家로 出系하야 전 재산을 사회사업에 소비하자 그는 뒤로 다니며 수습에 힘쓰고 자가재산도 대부분을 쓸어 넛퇴 일즉이 그 형에 대하야 怨言이 업고 무슨 사업에 든지 형을 내세고 자기는 뒤로 서서 모든 공로와 명망은 형에게 돌닌다 하니 또한 미덕이라 아니 할 수 업다. 씨가 年前에 폐병으로 중태에 빠젓슬 때에 그 형 性洙씨가 日夜로 통곡 애호하며『동생이 불행하면 자기 사업도 다보는 날이라』고 절망의 비통한 말을 한 것도 당연 이상의 당연이다.
끗트로 金在洙씨는 아즉 年淺하나 齊洞에서 정미소를 경영하고 東大門외에서 製絲사업을 한다는 말을 들엇다. 학력은 알 수 업스나 중등정도 이상인 듯 하다고 한다.

崔昌善, 崔南善, 崔斗善
崔昌善씨는 黃金町에서 문화기관 新文舘을 경영하기에 그 재산 대부분을 기우리엇다고 한다. 그 아우 崔南善씨가 문화사업에 그만한 돈을 쓰되 일즉이 원성이 업고 철두철미 후방의『파트론』으로 自甘하엿다고 한다.
崔南善씨도 여기에 소개하기에는 너무도 유명하다. 新文舘 창설 이래  10여년을 朝鮮新文化개척에 힘쓴 공로자이다. 다만 최근에 이르러 그 명성이 점차 失光無色한 것은 섭섭한 일이다. 朝鮮사학계에 一頭地를 ＜53＞들어내인 씨는 학력으로도 이러타할 것이 업스나 대부분이 자습독학의 대성이다. 崔斗善씨는 현 中央학교의 교원으로 早稻田대학을 제1번으로 졸업하고 朝鮮에 도라온 후 中央교장을 역임하고 獨逸에 가서 철학을 닥고 귀국한 후 일시 명예에 다소 금이 갓섯스나 지금은 근신하야 前名을 회복하는 중이다.

張德俊, 張德秀, 張德震
張德俊씨는 黃海道 載寧 농부의 아들이다. 早稻田에 학적을 두엇섯고 東亞日報 기자로 잇다가 間島事變에 가서 영영 생사불명이 되엿다. 성질이 감격하기 쉬웁고 인정이 만흐며 정치적으로 일가견이 잇다는 사람이다.
張德秀씨는 현 東亞日報 부사장으로 英京倫敦에 유학중이다. 그는 早稻田대학출신으로 東亞日報의 기자가 되엿슬 때에 이미 유명하엿섯다. 그가 모 결사사건에 불리한 말을 듯고 米國에 건너간 지 10년이다. 그는 장래가 만흔 사람이다.
張德震씨는 역시 감격하기 쉬운 사람이다. 그 兩兄과 달나서 多分의『테로』기분을 가졋섯다. OO년에 가서 滿洲의 雪月을 밟으며 울기도 만히 하고 黃浦灘에 물소리에 목도 만히 매치면서 무슨 일을 하여 보려고 애도 만히 쓰더니 年前에 上海에서 비명횡사를 하엿다. 그 죽업도 역시 일종 희생이라 아니할 수 업다.＜54＞
＜52-54＞
