**Header Section:**
Magazine Title: 三千里
Publication Date: 1935년 06월 01일 (June 1, 1935)
Article Title: 近世希臘의 父 부에늬제로스의 再起, 七十一歲의 革命鬪士 (The Return of Venizelos, the Father of Modern Greece; A 71-Year-Old Revolutionary Fighter)
Article Type: 소식 (News)

**Body Text Translation:**
The Return of Venizelos, the Father of Modern Greece; A 71-Year-Old Revolutionary Fighter

Puenŭijerosŭ (Venizelos) has made a comeback. Two years ago, he abandoned his varied 50-year political life and was nurturing his old age in his hometown, the island of Kurede (Crete); he is one of the most prominent figures of the past, holding the honorific title "Father of Modern Kirisiya (Greece)."
His emergence, bearing his 71-year-old body for the sake of his homeland's freedom, holding the absolute trust of the people, is no easy threat to the current Royalist government.
Although the detailed reasons behind Puenŭijerosŭ's revolution this time cannot be known, considering his advanced age, this might perhaps become the final battle for the defense of the Kirisiya (Greek) Republic.
His life, called the "Ulysses of the 20th Century," and praised by the late President Wilson as "Europe's Greatest Statesman," is truly a painted scroll that colors the political history of Parugan (the Balkans), the "Land of the Sword."

He is by nature a revolutionary fighter. In 1864, he was born the son of a renowned family in Serigo (Chania, Crete). After immersing himself in legal studies at Adene (Athens) University during his youth, he opened a law practice on the island of Kurede (Crete), the land of his ancestors, upon graduation, and was soon active on the front lines when rebellion broke out on the island. When an independent government was established on the island in 1896, he was elected Speaker of the National Assembly, and next became Minister of Justice. When his theory of liberal civil rights was not accepted and he was expelled, he raised the banner of revolt in 1905 and achieved revolution. As the island left the hands of Torugo (Turkey) and was annexed to Kirisiya (Greece), he was elected as one of the three councilors.<125>
At that time, Duke Tchoji (King George I) reigned as King in mainland Kirisiya (Greece), but political conflicts were incessant. Thereupon, the highly renowned Puenŭijerosŭ was selected from afar and settled in Adene (Athens), the capital of political strife, in 1910. He was 46 years old at the time. His sharp edge emerged from this point. The Kirisiya (Greek) political situation was constantly entangled, to the extent that it was said, "A government holding power for three years will inevitably be overthrown by rebellion." Puenŭijerosŭ also threw himself into this complex party strife, truly holding the seal of office eight times and going into exile abroad multiple times. However, his conviction was consistent throughout: to build freedom in his homeland plagued by anarchy and internal strife.

His domestic reforms from 1910 to 1914, and notably, at the outbreak of the Great European War, his foresight in disagreeing with King Konsŭt'anjin (Constantine I), withdrawing, mobilizing the revolutionary army in Saronŭiga (Salonica), establishing a provisional government in Adene (Athens), and joining the Allied forces, were worthy of the name "Savior of Kirisiya (Greece)." Until the emergence of the Kirisiya (Greek) Republic in 1924, Puenŭijerosŭ initiated battles to overthrow the Royalists many times, but it is unfair to call him merely an admirer of revolution because of this. At times, standing between the Royalists and the far-left Republicans, he rather exerted efforts to guide both onto the right track. The name Puenŭijerosŭ was known more abroad than in his own country. That is how great his contribution was in striving for the expansion of Kirisiya's (Greece's) external influence. He advocated for the Parugan (Balkan) League, participated with the Allied forces against Torugo (Turkey), acquired territory in Oju (Europe) and Asia, and astonished diplomats from various countries at the Peace Conference and the Rojannu Hoeŭi (Lausanne Conference).
Assuming the premiership for the eighth time in 1928, he concluded friendship treaties with It'aeri (Italy) and Yu-go-sŭrabuiya (Yugoslavia) and voluntarily signed a treaty with the longtime enemy Torugo (Turkey). There are too many other splendid achievements to enumerate.
Following the coup d'état by General Ppurasŭjirasŭ (Plastiras), one of the leaders of the recent rebellion, he retired from the political world two years ago,<126> but expressing dissatisfaction with the administration of the current Royalist government, he has once again stepped forward to establish a new political authority.

His appearance was severe enough to be called "an Ameriga (American) university professor wearing a frock coat," and rather than a revolutionary fighter, it was a more apt assessment to call him a man of peace. It was said that there was no one who gave such a peculiar impression to those he met as he did. Some criticized him as a "man of silent anger (黙屋)," while others called him "a man who does not cease debate even for a day."
His eyes, covered by glasses, momentarily gleam with brilliance. "That is why it is said that Mr. Puenŭijerosŭ, the diplomat now, is a brave warrior the next moment."
He is cautious, but if it is something he believes he can do, he carries it out resolutely. Puenŭijerosŭ, the "endless" patriotic statesman, has bravely mobilized the army to chastise the Royalists. He intends to hold the seal of office for the ninth time.<127>

**Summary**

This 1935 article reports on the political comeback of Eleftherios Venizelos (Puenŭijerosŭ), the celebrated "Father of Modern Greece," at the age of 71. Despite retiring two years prior, he has returned to challenge the current Royalist government, possibly initiating a final fight for the Greek Republic he helped establish. The article recounts his long, tumultuous career, highlighting his revolutionary beginnings in Crete, his eight terms as Prime Minister, conflicts with the monarchy, key role in the Balkan Wars and World War I on the Allied side, diplomatic successes, and his reputation as both a fighter and a statesman, praised internationally by figures like President Wilson. His latest move is framed as another decisive action by a dedicated patriot against opposing forces. For historians of colonial Korea, the article is interesting as an example of how international political events and figures, especially those involving nationalism, revolution, and anti-monarchism, were presented to a Korean audience under Japanese rule. The focus on a foreign leader fighting for his nation's "freedom" and challenging established powers might have carried subtle resonance or provided a vicarious outlet, even within the constraints of colonial censorship.

**Named Entities**

近世希臘	근세 희랍	Kŭnse Hŭirap (Modern Greece)
起動식혀	기동시켜	Mobilizing, setting in motion
假政府	가정부	Provisional government
樹立	수립	Establishment
參加	참가	Participation, joining
達觀	달관	Foresight, insightful view
救主	구주	Savior
일홈	이름	Name (older spelling)
價値	가치	Value, worth
잇섯다	있었다	There was, existed (older spelling)
共和制	공화제	Republican system
출현	출현	Emergence, appearance
싸홈	싸움	Battle, fight (older spelling)
일웃켯스나	일으켰으나	Initiated, started, but... (older spelling)
한갓	한갓	Merely, simply
讚美者	찬미자	Admirer, eulogizer
不當	부당	Unfair, unjust
或時는	혹시는	At times, sometimes
極左	극좌	Far-left
軌道	궤도	Track, orbit (metaphor for proper course)
盡力	진력	Effort, exertion
府外的	부외적	External (possibly a typo or older form for 府外/국외 - outside the capital/country)
勢力	세력	Influence, power
伸張	신장	Expansion, extension
功續	공적	Achievements, merits (likely intended 공적 功績)
首唱	수창	Advocacy, initiation
獲得	획득	Acquisition, obtainment
外交官	외교관	Diplomat
놀내게 하엿다	놀라게 하였다	Surprised, astonished (older form)
首相	수상	Prime Minister
就任	취임	Inauguration, assumption of office
締結	체결	Conclusion (of a treaty)
友交條約	우호 조약	Friendship treaty
宿敵	숙적	Longtime enemy, nemesis
자진하야	자진하여	Voluntarily
調印	조인	Signing (of a treaty)
기타	기타	Other, etc.
훌융한	훌륭한	Splendid, excellent
枚擧	매거	To enumerate, list one by one (used with 'cannot' - too many to list)
업시	없이	Without (older spelling)
만타	많다	Many, numerous (older spelling)
今回	금회	This time
判亂	반란	Rebellion (likely intended 叛亂)
一方	일방	One side, one party
巨頭	거두	Leader, magnate (lit. big head)
機하야	기하여	Taking the opportunity of
隱退	은퇴	Retirement
現	현	Current, present
施政	시정	Administration, governance
表明	표명	Expression, declaration
再次	재차	Again, once more
棄出	기출	To come forward, emerge (often implies abandoning something, like retirement)
風貌	풍모	Appearance, demeanor
着한	착한	Wearing (older usage for 着用)
嚴格	엄격	Severe, strict
適評	적평	Apt assessment, fair comment
맛나는	만나는	Meeting (older spelling)
특이한	특이한	Peculiar, unique
印象	인상	Impression
업섯다고	없었다고	It is said there was not (older spelling + quotative)
或者는	혹자는	Some people, some say
黙屋	묵옥	Silent anger, sullenness (uncommon term, potentially literal 'silent house' or a specific idiom/reference)
批評	비평	Criticism, critique
議論	의론	Debate, argument
긋치지 안는	그치지 않는	Not ceasing (older spelling/form)
眼鏡	안경	Eyeglasses
덥힌	덮인	Covered (older form)
兩眼	양안	Both eyes
一瞬	일순	An instant, a moment
光彩	광채	Brilliance, gleam
뛴다	띈다	To wear, have (a gleam)
所以다	소이다	Reason, cause (That is why...)
次의 瞬間	다음 순간	Next moment
勇敢	용감	Brave, courageous
戰士	전사	Warrior, fighter
愼重	신중	Cautious, prudent
斷行	단행	Decisive action, resolute execution
終이 업는	끝이 없는	Endless, unending (older spelling)
敢然히	감연히	Bravely, resolutely
膺懲	응징	Chastisement, punishment
起動식혓다	기동시켰다	Mobilized, set in motion (older past tense)
아홉 번 채	아홉 번째	Ninth (time)
듸려고 한다	들려고 한다	Intends to hold (older spelling)


---------------------------


잡지명	삼천리 제7권 제5호
발행일	1935년 06월 01일
기사제목	近世希臘의 父 부에늬제로스의 再起, 七十一歲의 革命鬪士
기사형태	소식

近世希臘의 父 부에늬제로스의 再起, 七十一歲의 革命鬪士
부에늬제로스가 再起하얏다. 一昨年, 多岐多彩의 50년의 政治生活을 버리고 故鄕 「구레데島」에 노후를 養하고 잇는 바 「近世기리시야의 父」의 尊稱과 한가지로 過去人物中에 有數한 人物이다.
國民의게 絶大의 信望을 가진 彼는 71歲의 老軀을 끗을고, 祖國의 자유따문에 出馬한 것은 現 王黨派 政府로서는 容易치 안은 脅威이다.
부에늬제로스 今回의 革命이 奈邊에 원인이 잇는야 하면 詳細히 알 수 업스나 彼의 老齡을 생각하면 혹은 이것이 기리시야 共和制擁護의 최후의 一戰이 될넌 지도 몰은다.
「20世紀의 유리-시즈」라고 불이우는 彼 故윌손大統領으로하야 「歐洲 最大의 政治家」라고 讚嘆하든 彼의 一生涯는 실로 「劒의 國土」 바루간의 政治史을 彩色한 一幅의 繪卷物이다.

彼는 生來革命의 鬪士다. 1864년, 세리고에 名門의 자식으로 태여낫다. 靑年時代을 아데네 大學에서 法律硏究에 沒頭한 彼는 卒業后 父祖의 地 구레데島에 辯護士業을 개업하얏다가 곳 同島에 叛亂勃發과 갓치 第一線에서 活躍하얏다. 1896년 同島에 獨立政府가 성립함과 동시에, 國民議會議長에 選任되엿고 다음 法相이 되엿다. 彼의 自由民權論이 容納지 못하고 放逐되면서 1905년 叛旗을 飜하야 革命을 成就하엿다. 同島가 도루고의 손을 떠나서 긔리시야에 倂合함에 따라 三評議員의 一人에＜125＞ 선출되엿다.
당시 긔리시야 本土는 쪼-지公이 國王으로 君臨히얏스나 政治的 葛藤이 不絶하얏다. 이에 聲望이 놉흔 부에늬제로스가 遙人拔擢되여서 1910년 政爭의 都 아데네에 정하얏다. 彼가 46歲時節이엿다. 彼의 銳鋒은 잇때부터 湧出하엿다. 「3年間 政權을 가지고 잇는 政府면 何時던지 叛亂으로 打倒된다」고 말하리만치 긔리시야 政局은 紛糾가 不絶하얏다. 부에늬제로스도 또한 이 錯雜한 黨爭에 몸을 던저서 실로 여덜번채의 印綬을 帶하고 여러번 國外에 亡命하엿다. 그러나 彼의 信念은 終始一貫 無政府와 內爭의 祖國에 自由를 建設하게 되엿다.

1910년으로부터 14년에 至한 內政改革은 말하자면 歐州大戰 勃發에 際하야 國王 곤스단진과 의견을 달이하고 물너가 사로늬가에 革命軍을 起動식혀 아데네에 假政府을 수립, 聯合軍에 參加한 彼의 達觀은 긔리시야救主의 일홈 價値가 잇섯다. 1924년 기리시야共和制가 출현하기까지 부에늬제로스는 여러번 王黨派打倒의 싸홈을 일웃켯스나 이것으로서 彼가 한갓 革命讚美者라고 하는 것은 不當하다. 或時는 王黨派와 極左共和派의 사이에 서서 오히려 兩者軌道에 盡力하엿다. 부에늬제로스와 名은 自國에서 보다도 海外에서 더 만히 알엇다. 그만큼 彼가 기리시야의 府外的 勢力의 伸張에 盡力한 功續은 크다. 바루간 同盟을 首唱하야 도르고에서 聯合軍에 참가하고 歐洲及 亞細亞에 領土을 獲得하고 平和會議 로잔누會議에는 各國外交官을 놀내게 하엿다.
1928년 여덜번 채의 首相에 就任하여서는 伊太利 유-고-스라부이야와 友交條約을 締結하고 宿敵도 루고와의 條約에 자진하야 調印하엿다. 기타 훌융한 일이 枚擧할 수 업시 만타.
今回의 判亂의 一方의 巨頭 뿌라스지라스將軍의 구데타를 機하야 一昨年 政界을＜126＞ 隱退하엿스나 現 王黨派政府의 施政에 불만을 表明하야 再次 新政權 樹立에 棄出하엿다.

彼의 風貌는 「후롯곳트를 着한 아메리가의 大學敎授」라고 할 만치 嚴格하고 革命鬪士라고 하기보다 오히려 平和者라고 하는 것이 適評이엿다. 彼처럼 맛나는 사람의게 특이한 印象을 주는 사람은 업섯다고 하엿다. 或者는 「黙屋」이라고 批評하엿고 혹자는 「一日이라도 議論을 긋치지 안는 男子라고」하엿다.
眼鏡에 덥힌 兩眼은 一瞬에 光彩을 뛴다. 「지금 外交官인 부에늬제로스氏는 次의 瞬間에는 勇敢한 戰士라고 한 所以다.」
彼는 愼重하나, 自己가 할 수 잇는 일이면 우선 이것은 斷行한다. 「終이 업는」 愛國政治家 부에늬제로스는 敢然히 王黨派膺懲의 軍을 起動식혓다. 彼는 아홉 번 채 印綬을 듸려고 한다.＜127＞
＜125-127＞
