Magazine Title: 개벽 제22호
Publication Date: 1922년 04월 01일 (April 1, 1922)
Article Title: 社會日誌(3月) (Social Diary (March))
Author: 一記者 (One Reporter)
Article Type: 소식 (News/Dispatch)

Social Diary (March)
						One Reporter
(Political articles are still omitted due to circumstances.)

Overseas Compatriots Consolation Association. The Tong-A Ilbo Company has organized the Overseas Compatriots Consolation Association to introduce the actual living conditions of our compatriots in Manchuria, Russian territory, the United States, etc., to the compatriots in the homeland, and also to offer them sympathy and mutual assistance. They began by organizing a tour across all of Chosŏn featuring magic lantern shows and lectures, departing first towards the Yangsŏ region (P'yŏngan Provinces) on the 5th.

New School System and Double Examinations. Following the revision of the Chosŏn Education Ordinance, all middle schools in Chosŏn have decided to conduct transfer examinations again, in addition to promotion examinations, in order to obtain graduation qualifications according to the new education ordinance.

Kyŏngsŏng-Yongsan Telephone Unification. The telephone lines between Kyŏngsŏng (Seoul) and Yongsan, which were previously separate as city and intercity lines, were unified as of the 5th.

World Association Initiated. Kwŏn T'ae-sŏk, Yŏ Un-hong, and several others have initiated the World Association. Its purpose is said to be the import of foreign culture, the dissemination of Chosŏn affairs abroad, and providing guidance for the comings and goings of domestic and foreign visitors.

Spinning Workers Strike. 500 male and female factory workers at the spinning company in Pusan went on strike starting from the 1st due to the issue of wage increases.

New Semester and School Fees. Starting from the new semester, the entrance fees and monthly tuition at all middle schools will be increased by 50%, and in addition to examination fees now being charged, book expenses will also increase by 30%.

Three Public Primary Schools Newly Established. The petitions for Susong Public Primary in Susong-dong, Kyŏngsŏng Prefecture; Hyoch'ang Public Primary in Ch'ŏngyŏp-chŏng (Aoba-chō), Kyŏngsŏng Prefecture; and Sungin Public Primary in Chongam-ni, Sungin-myŏn, Koyang County, received approval from the authorities on the 10th.

Day and Night School Issue at Posŏng College. Posŏng College of Law and Commerce, an incorporated foundation, which previously operated as a night school, faced an issue raised by students this year regarding day classes. After remaining undecided for a long time, 80 students advocating for day classes submitted a collective petition for withdrawal on the 13th.

Mr. Yi Chong-nin Joins Journalists' Congress. Mr. Yi Chong-nin, president of the Ch'ŏndogyohoe Monthly Report Company, received notification on the 14th of his admission to the World Press Congress.

Dr. Mott Visits Kyŏngsŏng. Dr. Mott, General Secretary of the World Alliance of YMCAs in the United States, arrived in Kyŏngsŏng on the night of the 18th.

Unprecedented Heavy Snowstorm. From dawn until late night on the 23rd, Kyŏngsŏng experienced a heavy snowstorm, the likes of which had never been seen before.

Graduation Ceremonies at Various Schools. Sŏllin Commercial School: 1st Division 32 graduates, 2nd Division 34 graduates (Ceremony 8th); Hwimun Higher Common School: 61 graduates (Ceremony 17th); Posŏng Higher Common School: 29 graduates (Ceremony 18th); Chungang Higher Common School: 17 graduates (Ceremony 18th); Kyŏngsŏng First Higher Common School: Main Course 64 graduates, Teacher Training Course 14 graduates (Ceremony 20th); Chŏnsu School: 40 graduates (Ceremony 20th); Girls' Higher Common School: Main Course 37, Teacher Training Course 30, Temporary Teachers 71 graduates (Ceremony 22nd); Medical College: Main Course 36, Special Course 19 graduates (Ceremony 22nd); Paejae Higher Common School & Paejae Haktang Higher Common: 67 graduates, Haktang 27 graduates (Ceremony 22nd); YMCA School: English Course 25, Crafts Course 22, Accelerated Course 150 graduates (Ceremony 22nd); Sungmyŏng Girls' Higher Common School: Main Course 33, Supplementary Course 9 graduates (Ceremony 23rd); Severance Medical College: 8 graduates (Ceremony 23rd); Kyŏngsin School: 22 graduates (Ceremony 23rd); Posŏng Law School: Law Course 7, Commerce Course 9 graduates. Yŏnhŭi College: Literature Course 3, Commerce Course 7 graduates (Ceremony 24th); Ihwa Girls' Higher Common School: 3 graduates (Ceremony 24th); Chinmyŏng Girls' Higher Common School: Main Course 6, Arts & Crafts Course 11 graduates (Ceremony 24th); Industrial College: Professional 24, Training 20 graduates (Ceremony 25th); Tongdŏk Girls' School: Higher Course 6 graduates (Ceremony 25th); Yangjŏng Higher Common School: 29 graduates (Ceremony 25th); (Sincere apologies for many omissions due to being busy.)

Association of Korean Students Studying in Germany. As the number of Chosŏn youths studying in Germany gradually increases, the dozen or so existing students in Germany have organized the Association of Korean Students Studying in Berlin (Pŏllim).

Calligraphy and Painting Association Exhibition. The Calligraphy and Painting Association, composed of famous contemporary calligraphers and painters, opened a calligraphy and painting exhibition at Posŏng Higher School from the 28th to the 30th. <103>

**Summary**

This article compiles news briefs from March 1922 in colonial Korea. It covers social initiatives like the Tong-A Ilbo's efforts to connect with overseas Koreans, educational changes including new exams and increased fees, infrastructural updates like the Seoul-Yongsan phone line unification, the founding of a "World Association," labor unrest with a strike at a Pusan spinning mill, establishment of new schools, student activism at Posŏng College regarding day classes, international connections like Yi Chong-nin joining the World Press Congress and Dr. Mott's visit, a major snowstorm, numerous school graduations listing graduate numbers, the formation of a Korean student association in Germany, and a calligraphy exhibition. For historians, this piece offers a valuable snapshot of urban life, education policy impacts, early labor movements, nascent international engagement (both personal and organizational), and cultural activities under Japanese rule. The mention of omitting political news "due to circumstances" also hints at the restrictive environment of the time.

**Named Entities**

東亞日報社	동아일보사	Tong-A Ilbo Sa
展覽會	전람회	Exhibition
-e 

---------------------------


잡지명	개벽 제22호
발행일	1922년 04월 01일
기사제목	社會日誌(3月)
필자	一記者
기사형태	소식

社會日誌(3月)
						一記者
(아즉 形便에 依하야 政治的 記事는 略함)
在外同胞慰問會. 東亞日報社에서는 滿洲露領 及 美國 等地에 在한 我同胞의 生活實狀을 內地同胞에게 紹介하며 또는 그들에게 相扶相助의 同情을 與하기 爲하야 在外同胞慰問會를 組織하고 全朝鮮巡廻幻燈會 及 講演會를 主催하야 5日로써 爲先 兩西地方을 向하야 出發하다.

新學制와 二重試驗. 朝鮮敎育令이 改正됨에 依하야 朝鮮의 各 中等學校는 新敎育令에 依한 卒業資格을 엇기 爲하야 進級試驗外에 다시 編入試驗을 行하기로 되다.

京龍間電話統一. 從來 市內電市外電으로 別立하얏든 京城龍山間 電話는 5日로써 統一이 되다.

世界協會發起. 權泰錫
呂運弘 外 數人의 發起로 世界協會를 發起하엿는데 그 目的으로는 外國文化輸入 及 朝鮮事情 外出 其他 內外客의 往來에 對한 案內이라 한다.

紡績工盟休. 釜山에 在한 紡績會社 職工 男女 500名은 賃金値上 問題로 因하야 1日부터 盟休하다.

新學期와 入學費. 新學期부터는 各 中等學校의 入學金 月謝金이 5割이 增加되며 受驗料까지 有한 外 書籍費도 3割이 增加되다.

三普校新設. 請願 中에 在하든 京城府 壽松洞 壽松公普 京城府 靑葉町 孝昌公普 高陽郡 崇仁面 鍾岩里의 崇仁公普는 10日로써 當局의 認可를 得하다.

普專校의 晝夜學問題. 財團法人 普成法律商業學校는 從來 夜學中에 在하든 바 今年부터 晝學문제가 學生側으로 發論이 되어 오래 未定 中에 在하더니 13日 晝學 主張 學生 80名은 同盟退學을 請願하다.

李鍾麟氏 記者大會入會. 天道敎會 月報社長 李鍾麟氏는 萬國記者大會로부터 入會된 通知를 14日로써 接하다.

穆德博士 來京. 米國에 在한 萬國基督敎靑年會 總幹事 穆德博士는 18日 夜 來京하다.

稀有 大風雪. 23日 曉로 同深夜까지 京城에 初見의 大風雪이 有하다.

各 學校와 卒業式. 善隣商業學校 第1部 卒業生 32名 第2部 34名 (式 8日), 徽文高普校 卒業生 61名 (式 17日), 普成高普校 卒業生 29名 (式 18日), 中央高普校 卒業生 17名 (式 18日), 京城 第一高普校 卒業生 本科 64名 師範科 14名 (式 20日), 專修學校  卒業生 40名 (式 20日), 女子高普校 卒業生 本科 37, 師範科 30, 臨時敎員 71名 (式 22日), 醫學專門學校 卒業生 本科 36, 特別科 19名 (式 22日), 培材高普校 及 培材學堂高普 卒業生 67, 學堂 27名 (式 22日), 靑年會學舘 卒業生 英語科 25, 工藝科 22, 速成科 150名 (式 22日), 淑明女子高普校 卒業生 本科 33, 補習科 9名 (式 23日), 世富蘭偲醫專 卒業生 8名 (式 23日), 儆信學校 卒業生 22名 (式 23日), 普成法學校 卒業生 法科 7, 商科 9名. 延禧專門校 卒業生 文科 3, 商科 7名 (式 24), 梨花女子高普校 卒業生 3名 (式 24日), 進明女子高普校 卒業生 本科 6名, 技藝科 11名 (式 24日,) 工業專門學校 卒業生 專門 24名, 傳習 20名 (式 25日), 同德女學校 卒業生 高等科 6名 (式 25日), 養正高普校 卒業生 29名 (式 25日), (多忙 中 漏落이 多함을 謹謝함.)

留獨高麗學友會. 朝鮮靑年으로 獨逸에 留學하는 이 漸次 增加함을 따라 在來 獨逸留學生 十餘名은 伯林留獨高麗學友會를 組織하다.

書畵協會展覽會. 現代 著名 書畵家로 組織된 書畵協會에서는 28日부터 30日까지 書畵展覽會를 普成高等學校에 開하다.＜103＞
