Magazine Title: 삼천리 제12권 제10호
Publication Date: 1940년 12월 01일
Article Title: 一千 兵士의 「수풀」 (A "Thicket" of 1,000 Soldiers)
Author: 金東煥 (Kim Tonghwan)
Article Type: 시 (Poem)

A "Thicket" of 1,000 Soldiers
						Kim Tonghwan

On October 12th, late autumn, our Writers' Association (文人協會) party of 38, together with Staff Officer Kaba (蒲) of the Army Command, visited the Volunteer Soldier Training Center in the Yangju fields outside Seoul's East Gate (東大門). Guided by Colonel Haida (海田), we spent a day with those 1,000 brave and pure-hearted warriors and returned to sing this song.

Beloved soldiers!
As the flock of sparrows that roosted overnight in the dew-drenched dawn forest
Chirps joyfully towards the morning sun and takes flight,
Our thousand young warriors, too, awaken from sweet dreams of home,
Run out onto the cleanly swept plaza, and with clear and reverent hearts,
Bow deeply in worship towards the distant East (東方), then sing the National Anthem loudly.
The Rising Sun flag (日章旗) flutters, flutters in the dawn breeze, the rousing sound of the military anthem (軍歌) <221>
True loyalty (忠誠) and high patriotic passion (愛國의 情熱) boil up within;
O light, O life, O joy, may you always be with our thousand warriors.

Beloved soldiers!
In the wide fields of the 400 provinces where the barley harvest ripens, aren't your predecessors
Now fighting, shouldering our honor (名譽) and trust (信賴)?
Among them, have not two already become "Loyal Spirits Protecting the Nation" (護國의 忠魂),
Lying silently within the Yasukuni Shrine (靖國神社) sanctuary (神殿)?
Still, the fires of war (戰火) in East Asia, reaching nearly four years, show no sign of ending,
And millions of comrades-in-arms (僚友) fight fiercely in trenches (塹壕) and among artillery (砲疊);
Hurry, you too, finish your training (操練), go forth and beat the war drum (軍鼔), go forth and blow the trumpet.

Beloved soldiers!
Did you come from the banks of the Tuman River (豆滿江), where you broke the ice on the river to catch and eat carp?
Or else, did you come from Halla Mountain (漢拏山) on Cheju Island (濟州島), where you rode horses through reed fields?
Whether your home is the Northern region (北關) or the Southern region (南關), I will not ask again,
And whether you are a boatman's (사공) son or a farmer's (농군) younger brother, I will also not ask what you used to do; <222>
I only intend to remember that from today, your name is solely 'son of this nation'.
A true man (大丈夫) now stands among the multitude (萬人 座中), shouldering the nation's destiny (運命);
How could you not exert all your bravery (용맹)? How could you not exert all your loyalty (忠誠)?
If only I were ten years younger, I too would have wanted to mix among you and receive training.

Beloved soldiers!
Like the tide rushing into the wide sea, front waves overtaken by rear waves, this wave entangled with that wave,
Pulling each other along, maintain firm unity (團結).
And like flocks of autumn clouds that gather piece by piece in the clear sky, become a rain shower,
Then retreat leaving not a speck of dust behind, be clean in your advance and retreat (進退).
Offer your life to the sovereign (임군), offer your body to the nation.
Where the united, strong spirit (氣魄) of a thousand reaches, injustice (不義) shall retreat.
And in the future, do not wish for your individual names to remain;
Only as "The 1,000 Volunteer Soldiers"! Shine thus, upon monuments (碑石), upon history (歷史),
And also within the hearts of us, the one hundred million people (一億 國民).
Today, looking up at that thicket where you reside in the wide Yangju fields, I return overflowing with deep emotion (感激) and joy. <223>

**Summary**

This poem by Kim Tonghwan, published in December 1940, describes a visit by members of the Korean Writers' Association to a training camp for Korean volunteer soldiers serving the Japanese Empire. The poem exhorts these thousand soldiers to embrace their training, forget their regional origins and past lives, and dedicate themselves wholly to fighting for the Emperor and the Japanese nation, following the example of predecessors, some already enshrined at Yasukuni. It emphasizes unity, sacrifice, bravery, and loyalty, urging the soldiers to see themselves not as individuals but as a collective entity – "The 1,000 Volunteer Soldiers." For historians, the poem is a stark example of pro-Japanese collaboration literature produced under colonial rule, promoting militarism and the assimilationist ideology that encouraged Koreans to volunteer for the Japanese army. It vividly illustrates the pressure on and participation of cultural figures in the state's mobilization efforts during wartime, and the attempt to replace Korean identity with loyalty to the Japanese Empire.

**Named Entities**

金東煥	김동환	Kim Tonghwan
참된 忠誠과 높은 愛國의 情熱이 이 속에서 끌어 올으거니
빗이여, 生命이여, 기쁨이여, 우리의 일천 勇士와 늘 함께 있어지이다.

사랑하는 兵士여!
麥秋 익어가는 4백 餘州 넓은 벌엔 그대의 先輩들이
우리의 名譽와 信賴를 질머지고 지금 싸우고 있잔는가,
그 중에 두 분은 벌써 「護國의 忠魂」이 되어서
靖國神社 神殿속에 고요히 눕어 계시잖는가,
아직도 4年에 미치는 東亞의 戰火는 끈칠줄을 몰라서
百萬의 僚友가 塹壕 속에 砲疊속에 奮戰하고 있거늘
어서 그대도 操練을 마처 나아가 軍鼔를 치라, 나아가 나팔을 불라.

사랑하는 兵士여!
그대는 江 우에 어름지처 잉어 낚구어 먹든 豆滿江까서 왔는가
그러챦으면 갈밭에 말 달니든 濟州島 漢拏山서 왔는가
온 곳이 北關이건 南關이건 내 다시 뭇지 않으려하고
사공의 아들이건, 농군의 동생이건 하든 일조차 또한 뭇지 않으려 하고 ＜222＞
오직 오늘부터는 그대의 이름이 이 나라 아들일 뿐임을 記憶하려 하노라
사내 대장부 이제 나라의 運命 질머지고 萬人 座中에 섰거니
그대 어찌써 용맹을 다 안하리, 그대 어찌써 忠誠을 다 안하리
나도 十年만 젊었더면 그대들 속에 섞기어 調練받고 싶헛든 것을.

사랑하는 兵士여!
앞엣 물결에 뒤엣 물결 덮치고 이쪽 파도에 저쪽 파도 엉키어
서로 끌고 댕기면서 널분 바다 내닫는 潮水와도 가치, 굳은 團結을 가지고서
또 마른하늘에 주섬주섬 모여들어 소낙비 되었다도
티끌 한아 안 남기고 물러 가 버리는 가을 구름 떼와도 가치, 進退를 깨끗히 하여
그대의 목숨을 임군에 받치고 그대의 한 몸을 나라에 받치소서
일천의 굳쎈 氣魄이 뭉처 닫는 곳에 不義는 물러 가리니.
그리고 이 뒷날 그대의 이름이 個個히 남기를 願하지 말라
오직 「1000의 志願兵」! 그대로 빗나라, 碑石 우에, 歷史 우에,
또한 우리들 一億 國民의 가슴 가슴에-.
내 이날 楊州 넓은 벌 그대 게신 저 수풀 처다보고 感激과 기쁨에 넘처 돌아오노라 ＜223＞
