잡지명	동광 제9호
발행일	1927년 01월 01일
기사제목	第一回 東光社友名簿(一九二六年二月十五日지 接受된이)(敬稱은 略함) (First Tonggwang Society Member List (Received until February 15, 1926) (Honorifics Omitted))
기사형태	잡저 (Miscellaneous Writing)

First Tonggwang Society Member List (Received until February 15, 1926) (Honorifics Omitted)

Kyŏnggi Province
Kyŏngsŏng: Ch'oe Sŏk-ho (崔錫澔), Ch'a Pyŏng-ch'ŏl (車丙轍), Yi Kyŏng-ryŏl (李庚烈), Chang Han-jin (張漢軫), Chŏng Wŏn-gŏl (鄭元杰), Kim Nak-ki (金洛基), Hyŏpsŏng Sinhak Library Dept. (協成神學圖書部), Kim Hyŏng-gi (金炯基), Kim Ch'ŏ-sun (金處洵), Kim Sŏng-ho (金誠鎬), Ch'oe Pong-ch'ŭk (崔鳳則), Hong Esŭt'ŏ (洪에스터), Paehwa Girls' High School Alumnae Association (培花女高校友會), Pak Tae-hyŏn (朴大鉉), Pak Wŏn-t'ae (朴元泰), Sim Sang-yŏn (沈相演), Pae Tŏk-yŏng (裴德榮), Kim Wŏn-je (金轅濟), Kim Ch'ang-jip (金昌集), Kim Chae-gon (金在坤), An Pyŏng-dŏk (安秉德), Kim Sŏng-ryang (金成亮), Wang Kerin (왕게린), Sŏ Hun (徐勳), Kang T'ae-hŭi (姜泰熙), Yi P'idŭk (李彼得), Yi Sŏng-sŏk (李聖錫), Son Hyŏk (孫赫), Ch'oe Ch'ang-gyu (崔昌圭)
Inch'ŏn: Chang Kŏn-sik (張建植)
Kanghwa: Kwŏn T'ae-min (權泰敏)
Kaesŏng: No Chae-myŏng (盧在明)
Sŏsan: Pak Yŏng-nam (朴永男)
Changdan: Sin Hŭng-ch'ŏl (申興哲)

Ch'ungch'ŏng Province
Ch'ŏngyang: Yun Chŏng-sun (尹正淳)
Ch'ungju: O Ŏn-yŏng (吳彥泳)
Taejŏn: Yun Ŭl-ok (尹乙玉)
Poŭn: O Sŏng-hwan (吳晟煥)

Chŏlla Province
Cheju: Yi Yong-jun (李用俊)
Sunch'ang: Kim Hang-du (金恒斗), Ch'a Hong-sun (車洪淳), Chu Tong-sŏng (朱東性)
Imsil: Hong Chin-gyun (洪震枃)
Namwŏn: Yi Chung-ryŏl (李仲烈)
Sunch'ŏn: Yi Chŏng-ho (李貞鎬)
Changhŭng: No Hyŏng-sik (盧瀅植)

Kyŏngsang Province
T'ongyŏng: Pak Si-sun (朴始順)
Kosŏng: Pak Sang-yo (朴相堯)
Ch'angwŏn: Cho Kuk-man (趙局萬)
Miryang: Yi Hyŏn-u (李賢雨)
Chinju: Ŏm Hŭng-sŏp (嚴興燮)
Masan: Kim Nam-jun (金南俊), Kim U-gon (金羽坤)
Pusan: Chŏn Ku-yŏng (田久榮)
Sangju: Yu Wŏn-myŏng (柳元明)
Kimch'ŏn: Yun Hae-byŏng (尹海炳), Sa I (史夷)
Yŏngil: Kwŏn Ŭi-bong (權義奉)
Kyŏngsan: Kim Yong-gyu (金容奎)
Kyŏngju: Kim Sŏng-yun (金晟允)
Yech'ŏn: Kwŏn Ki-ha (權奇夏), Ki Yong-gwŏn (奇龍權)
Yŏngju: Kang Pyŏng-ch'ŏl (姜炳哲), Kim Hŭi-gyu (金熙奎), Chŏng Chong-wŏn (鄭鍾遠)
Kyŏnghŭng: Kim Tong-ch'ŏl (金東哲)

Hwanghae Province
Suan: Cho Ki-hong (趙基洪)
Anak: Kim Yong-dae (金庸大)
Hŭngsu: No Cha-gyŏng (盧滋敬)

P'yŏngan Province
Ch'angsŏng: Kang Tŏk-yun (姜德潤)
Yŏngbyŏn: Kim Ch'i-o (金致五)
Ŭiju: Ch'oe Kuk-ŭm (崔國音), Kim Yŏng-dong (金永動)
Chŏngju: Kim I-ryŏl (金彛烈), Kim Sang-dŏk (金想德)
Pakch'ŏn: Kim Ch'ang-jin (金倉振)
Ŭiju: Ch'a Ŭng-un (車應運), Chang Pyŏng-ch'ŏl (張炳哲)
P'yŏngwŏn: Kim U-gi (金宇起), Ch'a Ch'ang-ho (車昌鎬), Pak Yun-hŭi (朴潤喜)
Sunan: H.M.Lee, Yi Sŏng-ŭi (李性儀), Chŏng Chae-sŏng (鄭在聖)
Yonggang: Kim Chi-gan (金志侃)
Taedong: Han Si-yŏng (韓時英), Kim Hŭi-mun (金希文), Kim Chae-rin (金在麟)
P'yŏngyang: Yi Ki-yŏng (李起榮)
Kaech'ŏn: Kim Han-yŏng (金漢永)
Sŏnch'ŏn: Yang Ken (梁瀗), Hŏ Sŭng-wŏn (許承元)

Hamgyŏng Province
Kyŏngsŏng: Ch'oe Myŏng-ryŏl (崔鳴烈), Yi Ch'ang-ryong (李昌龍), Pak Yong-ho (朴容浩)
Sŏngjin: Kim Ch'ang-se (金昌世)
Kilchu: Ch'oe Nak-ku (崔洛九)
Samsu: Ch'oe Yŏng-mo (崔英模)

Outside Chosŏn
Tōkyō: O Hyŏn-wŏn (吳鉉瑗), Kim Nak-hun (金洛勳), Ch'a Wŏn-ae (車源愛), Chang Ik-pong (張翼鳳), Yi Yŏng-han (李永漢), U Ho-ik (禹浩翊), Hong Sun-hyŏk (洪淳赫)
China: O Mun-yŏng (吳文泳), Kim T'ae-il (金泰一), Kimdŏk Sangjŏm (金德商店), Chŏng Ik-chu (鄭益朱), Kim Pyŏng-gŏn (金炳乾), Kim Ki-jŏng (金基貞), Kim Sang-gak (金相玨)
Ŭiju: Yi Pong-yong (리봉용), Sin Kuk-kwŏn (申國權) Above
Please notify us immediately of any errors or omissions. Member certificates will be completely sent out by the end of January.<93>

**Summary**

This article from the January 1927 issue of *Tonggwang* magazine presents the first list of members of the Tonggwang Society (東光社, Tonggwangsa), based on applications received up to February 15, 1926. It organizes members by province and city/county within Korea (Chosŏn), and also includes members residing outside Korea, specifically in Tokyo, Japan, and China. The list concludes with a request for corrections and information about the dispatch of membership certificates. For historians, this membership roster offers a valuable snapshot of the geographical reach and composition of a significant Korean intellectual or social organization during the colonial period. The inclusion of individuals from various regions, institutional members like a seminary library and a girls' school alumnae association, female members (like Hong Esŭt'ŏ), and overseas Koreans in Japan and China highlights the diverse network associated with the Tonggwang Society in its early stages.

**Named Entities**

東光社	동광사	Tonggwangsa
吳鉉瑗	오현원	O Hyŏn-wŏn
金洛勳	김낙훈	Kim Nak-hun
車源愛	차원애	Ch'a Wŏn-ae
張翼鳳	장익봉	Chang Ik-pong
李永漢	이영한	Yi Yŏng-han
禹浩翊	우호익	U Ho-ik
洪淳赫	홍순혁	Hong Sun-hyŏk
中國	중국	China
吳文泳	오문영	O Mun-yŏng
金泰一	김태일	Kim T'ae-il
金德商店	김덕상점	Kimdŏk Sangjŏm (Kimdŏk Store)
鄭益朱	정익주	Chŏng Ik-chu
金炳乾	김병건	Kim Pyŏng-gŏn
金基貞	김기정	Kim Ki-jŏng
金相玨	김상각	Kim Sang-gak
리봉용	리봉용	Yi Pong-yong
申國權	신국권	Sin Kuk-kwŏn

**Glossary**

社友	사우	Society member, associate
名簿	명부	Roster, list of names
지	까지	Until, up to (older spelling of 까지)
接受	접수	Receipt, acceptance
敬稱	경칭	Honorific title
略함	략함	Omitted (contraction of 略하다 + ㅁ nominalizer, using older ㄹ initial sound rule)
校友會	교우회	Alumni/Alumnae Association
朝鮮外	조선외	Outside of Chosŏn (Korea)
以上	이상	The above, aforementioned
誤記	오기	Error in writing, misprint
脫漏	탈루	Omission, something left out
卽時	즉시	Immediately
通寄	통기	To send notice, inform by mail
社友券	사우권	Membership certificate/voucher
正月末日	정월말일	The last day of the first lunar month (or January)
發送	발송	Dispatch, sending out
完畢	완필	Completion, finishing


---------------------------


잡지명	동광 제9호
발행일	1927년 01월 01일
기사제목	第一回 東光社友名簿(一九二六年二月十五日지 接受된이)(敬稱은 略함)
기사형태	잡저

第一回 東光社友名簿(一九二六年二月十五日지 接受된이)(敬稱은 略함)
京畿
京城 崔錫澔 車丙轍 李庚烈 張漢軫 鄭元杰 金洛基 協成神學圖書部 金炯基 金處洵 金誠鎬 崔鳳則 洪에스터 培花女高校友會 朴大鉉 朴元泰 沈相演 裴德榮 金轅濟 金昌集 金在坤 安秉德 金成亮 왕게린 徐勳 姜泰熙 李彼得 李聖錫 孫赫 崔昌圭
仁川 張建植
江華 權泰敏
開城 盧在明
瑞山 朴永男
長湍 申興哲
忠淸
靑陽 尹正淳
忠州 吳彥泳
大田 尹乙玉
報恩 吳晟煥
全羅
濟州 李用俊
淳昌 金恒斗 車洪淳 朱東性
任實 洪震枃
南原 李仲烈
順川 李貞鎬
長興 盧瀅植
慶尙
統營 朴始順
固成 朴相堯
昌原 趙局萬
密陽 李賢雨
晋州 嚴興燮
馬山 金南俊 金羽坤
釜山 田久榮
尙州 柳元明
金泉 尹海炳 史夷
迎日 權義奉
慶山 金容奎
慶州 金晟允
醴泉 權奇夏 奇龍權
榮州 姜炳哲 金熙奎 鄭鍾遠
慶興 金東哲
黃海
遂安 趙基洪
安岳 金庸大
興水 盧滋敬
平安
昌城 姜德潤
寧邊 金致五
義州 崔國音 金永動
定州 金彛烈 金想德
博川 金倉振
義州 車應運 張炳哲
平原 金宇起 車昌鎬 朴潤喜
順安 H.M.Lee 李性儀 鄭在聖
龍岡 金志侃
大同 韓時英 金希文 金在麟
平壤 李起榮
价川 金漢永
宣川 梁瀗 許承元
咸鏡
鏡城 崔鳴烈 李昌龍 朴容浩
城津 金昌世
吉州 崔洛九
三水 崔英模
朝鮮外
東京 吳鉉瑗 金洛勳 車源愛 張翼鳳 李永漢 禹浩翊 洪淳赫
中國 吳文泳 金泰一 金德商店 鄭益朱 金炳乾 金基貞 金相玨
義州 리봉용 申國權 以上
誤記된 것 脫漏된 것은 卽時 通寄하여 주옵소서 社友券은 正月末日아지에 發送을 完畢할터입니다.＜93＞
＜93＞
