잡지명	삼천리 제8권 제2호
발행일	1936년 02월 01일
기사제목	歐州에서 活躍하는 人物들 -白衣人材들의 빗나는 자최를 차저- (People Active in Europe -Seeking the Shining Traces of Our People-)
필자	龍興江人
기사형태	소식 (News)

People Active in Europe -Seeking the Shining Traces of Our People-
						By Yonghŭnggangin

When we speak of "Europe" (歐羅巴), it has become what could be called the focal point of world civilization today. All modern civilization, including all culture, systems, politics, economy, etc., from one to a hundred, are phenomena spreading out from this "Europe."

Consequently, when we say Europe today, the majority of the world powers are on this continent, and the trends of the world today also originate from this Europe.

Therefore, it is a fact that for us, who are situated in a backward society, there are many aspects that are difficult to follow regarding how highly developed the civilizations of these various European countries are, or to what high level the lifestyles of their general societies have progressed.<80>

If there are Koreans who have crossed over to Europe, a society that maintains life within such a high civilization sphere, and live shoulder-to-shoulder with them, or even take a step ahead to reveal a distinguished presence surpassing those Europeans in that society, it is undoubtedly a shining fact for our society as well. Therefore, I believe it is necessary to widely seek out news of them and introduce their yet unknown footprints to our society. To write down the recent news of our Korean people who have gone to Europe sequentially, let's examine them country by country.

United Kingdom

Mr. Sin Sŏng-mo (申性模): Speaking of him, he is the person showing the most brilliant presence not only among Koreans but among all Orientals in Europe today. He left his homeland Chosŏn early on, went to China, and wandered for a long time before graduating from the Naval Academy in Canton (廣東), South China, and working as a seaman for some time. Afterwards, harboring great ambitions, he boarded a steamship bound for Europe and went to London (英京 倫敦), the capital of England. While staying in London, he applied for admission to a Merchant Marine School, but at that time, as now, admission was strictly refused not only to Orientals but to all foreigners. However, having been refused once, Mr. Sin visited the school authorities and pleaded several times, so the school exceptionally granted permission just for him, making him the first and last foreigner to be admitted to the Merchant Marine School. After graduating with honors, he immediately joined a certain London steamship company as a crew member. Not long after, he was promoted to captain of that steamship. To this day, he remains the captain of a large London steamship. Mr. Sin is not only the first Korean but likely the first Oriental to hold such a position.
Still a middle-aged gentleman around forty, he is said to have married an English woman and lives a wealthy life. His hometown is reportedly in Kyŏngsang Province (慶尙道). In the United Kingdom, only his presence is distinct.

France

Mr. Sŏ Ryŏng-hae (徐岺海): He is from Kyŏngsang Province (慶尙道) and is a young scholar still only 30 years old. He graduated from the University of Paris with honors early on. As a Bachelor of Arts who develops profound and clear, thorough theories about literature, he has written many works in French (佛文) since going there, and even during his studies,<81> he frequently contributed articles to various Paris newspapers, becoming a talented individual whose name can be found even within French (佛國) journalism. Furthermore, his French writing particularly stands out among Orientals. Some time ago, a Paris newspaper company offered a prize of 1,000 won for essays on general arts and literature. Mr. Sŏ's piece titled "Regarding Life in Chosŏn" (朝鮮의 생활을 돌러서) uniquely won the honor of being selected, suggesting his presence is also shining in the literary circles of Paris.

Mr. Yi Yong-je (李龍濟): He is also a young scholar who graduated from the University of Paris. His hometown is Hamhŭng (咸興) in Hamgyŏng Province (咸鏡道), and he is said to be 40 years old this year. After graduating from the University of Paris, he remained there and is reportedly working within a certain youth association office.

Mr. Pae Un-sŏng (裵雲成): Born in Kyŏngsŏng (京城), he set off on the path of studying abroad in Paris, France, early on, together with the son of Mr. Paek Sang-jae (白象在). However, not long after, Mr. Paek quit school and returned, leaving Mr. Pae's life in poverty, and he reportedly suffered considerable hardship for a while. But having had an unusual hobby in painting since childhood, Mr. Pae abandoned his studies, changed direction, and concentrated on learning painting under a certain famous artist in Paris. Due to his innate genius and talent, his natural gift (天品) as a painter became known to his teacher in just a short time. Thereafter, under the warm guidance of his teacher, while having all his living expenses secured, he continued his research further. Today, the name "Paris's Genius Painter Pae Un-sŏng" or "Chosŏn's painter Pae Un-sŏng" is known not only in France but throughout all of Europe (全 歐州), to the extent that there is reportedly no one there who does not know him.
Currently, he is invited not only by Paris but by various countries in Europe to lecture on Oriental Painting at various universities. Furthermore, in exhibitions held in Paris, other cities, or various countries, paintings by "Chosŏn painter Pae Un-sŏng" invariably occupy the special selection spots, and he has won prize money exceeding several dozen times. It is said that even for French people, possessing even one of Mr. Pae's paintings is considered a great honor. The existence of Mr. Pae, the genius painter born of Chosŏn, is truly pan-European (全歐州的). This is indeed delightful news.

Germany

Mr. Han Chae-nam (韓載男): He is from North P'yŏngan Province (平北) and is 35 years old this<82> year. He graduated early from the Law Faculty of Sendai (仙臺) Imperial University and went to Berlin (伯林) nine years ago. He is a graduate of the University of Berlin.

Mr. Kim Paek-p'yŏng (金柏枰): He also studied biology at the University of Berlin and obtained a degree. Afterwards, he stayed at the Berlin Medical College and is a Doctor of Medicine.

Mr. Kim Sŏng-gong (金成功): This person also graduated from the Engineering Department of the University of Berlin. His hometown is Harbin (哈爾賓). Six years ago, he entered the aviation department related to Chosŏn (?) at the University of Berlin and has been conducting much research. (Translator's note: "조선, 비행기과" - "Chosŏn, aviation department" is unclear; it might imply a focus related to Korea or simply be phrased awkwardly.)

Mr. Yu Chae-hun (柳載壎): He recently graduated from the Electrical Engineering Department of the University of Berlin.

Mr. An Pong-gŭn (安鳳根): This person is the cousin of the late An Chung-gŭn (安重根). It is said he went to Berlin a long time ago. Initially, he lived day-to-day as a lumpen, but gradually, investing a small amount of capital, he started a "Tofu" (豆腐) business. Now, the business has grown significantly large-scale, with daily earnings reportedly exceeding 50 Marks. It is said that all (擧皆) Koreans in Berlin eat Mr. An's tofu. Besides these, there are many Korean students in Berlin, all diligently focusing on their studies.

Mr. Chang Wŏn-rim (장源林): This person, whose hometown is in Hwanghae Province (黃海道), is still a young man of 35 or 36. Having left his homeland early and wandered through China and various other places, he went to Berlin, Germany. Since then, having learned dancing (딴스) for a long time, he has dedicated his entire life to it, diligently honing his skills. As a result, he has now become a famous dancer (딴사-) who wins any dance competition (딴쓰 競演大會) he enters in Berlin.

Mr. Yi Hŭi-gyŏng (李喜景): This person is in the research laboratory of the University of Munich (뮨헨) in Munich (뮨헨市), Germany, deeply researching Biology. He holds the honorable position of Assistant Professor (助敎授) at the same university and has become an authority in the German biological academic world.

Mr. Ch'oe (崔氏): This person's full name is uncertain, but he is also a medical scholar who graduated from medical school in Munich and is currently engaged in research.

Mr. An (安氏): This person's name is also not remembered, but he is a young student, 22 years old this year, attending the Pharmacy Department of the University of Berlin. Born early in Kyŏngsŏng, he went to Berlin, Germany, four years ago with the intention of diligent study. His father is currently serving as a pastor (牧師) in Hawaii (하와이). (To be continued in the next issue)<83>

...who majored in music (樂) and even obtained a doctoral degree, returning home in glory (錦衣還鄕), is a genius violinist (提琴家) born of Chosŏn. Still a young musician just over 30, his existence as a musician was renowned not only in Europe, specifically Germany, but recently his fame had spread even to the East.
Not long after setting foot in his homeland, he received an invitation for a music professorship and went back to his "second home," Berlin (佰林), Germany, around the same time as his irreplaceable partner, Miss Kühlich (쿨리孃). His future will surely be brilliant.

Italy

Mr. An Pyŏng-so (安炳昭): This person was a genius musician whose name was renowned early on in the music scene of this land. Some time ago, harboring the resolve to delve deeper into the world of music, he went far away to Milan (미라노), the capital of music in Italy (伊太利), and is currently engrossed in honing his skills.

Mr. Yi In-sŏn (李寅善): This person also went to Milan the year before last with the purpose of studying music more deeply. Since then, he has been steadily treading the path of learning to this day, a young musician with a promising future (前途).
Besides these, there are reportedly several others who have gone to Italy aiming to study music. Among them are 2 or 3 women studying vocal music, piano, etc.

Having written this far, I now put down my pen, but it feels quite incomplete, and there are many others who could be introduced, but I will stop here.<89>

**Summary**

This 1936 article from the magazine *Samch'ŏlli* introduces Koreans who were active and successful in Europe (Britain, France, Germany, Italy) during the Japanese colonial period. Written by "Yonghŭnggangin," it highlights individuals excelling in various fields like shipping (Sin Sŏng-mo), literature (Sŏ Ryŏng-hae), painting (Pae Un-sŏng), academia (various scholars in Germany like Han Chae-nam, Kim Paek-p'yŏng, Yi Hŭi-gyŏng), business (An Pong-gŭn's tofu enterprise), dance (Chang Wŏn-rim), and music (Hong Nan-p'a, An Pyŏng-so, Yi In-sŏn). The author emphasizes their achievements as a source of pride for Koreans, showcasing their ability to compete and even surpass Europeans in the heart of modern civilization. For historians, the article offers valuable insight into the diaspora and activities of Korean elites and intellectuals abroad during a period of national hardship, demonstrating their diverse pursuits and international recognition despite colonial constraints. The mention of specific achievements, locations, and even personal details provides a snapshot of Korean engagement with the wider world in the 1930s.

**Named Entities**

歐羅巴	오라파	Europe
李龍濟氏 氏 역시 巴里대학을 나온 靑年學士이다. 고향은 咸鏡道 咸興이요 나히는 금년에 40세라고 한다. 巴里大學을 나온 뒤로 그는 곳에 그냥 머물러 있어, 어떠한 청년회단체 안에서 집무를 보고있다고 한다.
裵成雲氏 氏는 京城 출생으로 일즉이 白象在氏 아드님 되시는 이와 같이 佛國 巴里로 유학의 길을 떠났던 것이다. 그러나 그 뒤 얼마 안되여 白氏는 학교를 그만두고 돌아오매 裵氏의 생활은 궁핍하게 되여 한동안 퍽으나 고생까지도 하였다는 것이다. 그러나 어려서부터 그림에 남다른 취미를 가지고 있던 氏는 그만 학업을 집어치우고 방향을 전환하여 巴里의 어떠한 유명한 화가의 문하에서 그림배우기에 집중하던 氏는 본래 타고난 천재와 才質로 말미암아 불과 얼마 안되여 그의 화가로서의 天品이 선생에게 알리게쯤 되여, 그 뒤부터는 그 선생의 따뜻한 지도 밑에서 모든 생활을 보장하는 동시에 점점 연구를 더욱 거듭하여서 오늘날에 와서는 『巴里의 天才畵家 裵雲成』『조선의 화가 배운성이라는 이름을 佛蘭西 뿐만이 아니라 全 歐州에  그에 이름이 퍼지지 않은은 없고 그곳를 모르는 사람도 없게쯤 되였다고 한다.
지금에 와서는 巴里는 물론하고 歐州 諸國에서 氏를 초청하여다 각 대학에서 東洋畵 대한 강의를 듣는다고 하며 그 밖에 巴里나 다른 여러 도시나 여러 나라에서 개최되는 전람회에는 으레히 『조선화가 裵雲成』氏의 그림이 特選의 자리를 오로지 차지하여 와서 氏가 상금을 타기도 무릇 수십차를 넘었으며, 氏의 그린 그림이라면 상당히 고가의 것으로 佛國人으로도 氏의 그림을 한 장이라도 가지는 것을 커다란 영광으로 알게쯤 되였다고 한다. 조선이 낳은 天才畵家 氏의 존재는 全歐州的이다. 실로 반가운 바 사실이다.

獨逸

韓載男氏 氏는 平北 출생으로 금년<82> 35세이다. 일즉이 仙臺帝大法科를 나왔으며 9년 전에 伯林으로 건너갔다. 伯林大學을 졸업한 분이다.
金柏枰氏 氏 역시 伯林대학에서 생물학을 연구하여 학위까지 얻은 분으로 그 뒤 伯林의과대학에 머물러 있는 의학박사이다.
金成功氏 이분 또한 伯林大學工科를 나온 분이다. 고향은 哈爾賓, 6년전, 伯林大學, 조선, 비행기과에 입학하여 많은 연구를 거듭하고 있다.
柳載壎氏 얼마 전 伯林大學 電機科를 나온 이다.
安鳳根氏 이분은 故 安重根의 사촌동 생되는 분으로 伯林에 건너간 지는 벌서 오래 전의 일이라고 한다. 氏가 처음에는 룸펜의 몸으로 그날그날을 지내더니만 차츰 소자본을 드려 『豆腐』장사를 시작하여, 지금에 와서는 그 장사를 크게 대규모적으로 하게 되여 하로의 수입이 50마-크 이상이나 된다고, 伯林 안에 있는 조선 사람들은 擧皆가 氏의 豆腐를 먹게 되였다고 한다. 伯林에는 이밖에도 朝鮮學生이 많이 있어 모다 건실하게 學究에 힘쓰는 분들이 많이들 있다고 한다.
장源林氏 이분은 黃海道에 고향을 둔 아즉 나히 35,6歲의 청년으로 일즉부터 故土를 떠나 中國방면 그 밖에도 여러 곳으로 전전 방랑하던 몸으로 獨逸 伯林에 건너가 爾來 오랜동안 딴스를 배우게 된 이후, 오늘날까지 여기에다 전 생명를 걸고 열심히 연마하여온 결과, 지금에 와서는 伯林의 어떠한 딴쓰 競演大會에 출장하던지 우승하는 유명한 딴사-로 되였다고 한다.
李喜景氏 이분은 獨逸 「뮨헨」市에 있는 뮨헨大學硏究室에 있으면서 生物學을 깊이 연구하는 이로 同大學의 助敎授라는 榮職에 머물러 있는 獨逸生物學界의 한 권위자가 되여있다는 것이다.
崔氏 이분의 이름은 자세치 않으나, 氏 역시 「뮨헨」에서 醫科를 졸업하고 方今 연구 중에 있는 의학사의 한 분이다.
安氏 氏 역시 이름을 기억치 못 하고 있으나, 伯林大學 藥學科에 다니는 금년 22세의 어린 學士이다. 일즉이 京城에서 출생하였으며 4년 전에 勉學의 뜻을 품고 獨逸 伯林으로 건너갔다. 그이 부친은 현재 「하와이」에서 牧師노릇을 하고 있다고.(以下 次號繼續)<83> 樂을 전공하고 박사의 학위까지 얻어가지고 錦衣還鄕하였던 조선이 낳은 천재적 提琴家이다. 아즉 30이 겨우 넘은 청년 음악가로 氏의 음악가적 존재는 歐州 獨逸에서 뿐만 아니라 최근에는 동양에까지 그에 명성이 높았던 것이다.
故土를 밟은 지 얼마 후 다시금 무이한 반려자 쿨리孃과 전후하야 「제2의 고향」 獨逸 佰林으로 음악교수의 초청을 받어 건너 갔으니 氏의 앞날이 찬란할 것이다.

伊太利

安炳昭氏 이분은 일즉이 이땅의 악단에서 그 이름이 높든 천재적 음악가이다. 얼마 전, 음악의 세계를 더 깊이 파고들 결심을 품고 멀리 음악의 都 伊太利의 미라노로 건너가 방금 硏磨중에 있는 분이다.
李寅善氏 이분 역시 재작년인가 음악을 더욱 깊이 연구할 목적으로 미라노로 건너간 이후 오늘날까지 꾸준히 배움의 길을 더듬고 있는 前途가 유망한 청년음악가이다.
그밖에도 伊太利에는 음악공부를 목표하고 건너가 있는 이들이 몇 분 있다고 한다. 그 중에는 여자도 2,3인이 있어 성악, 피아노 등을 연구하는 중이라고 한다.

여기까지 적어오고 그냥 붓을 놓으나, 퍽이나 미비한데가 많은 듯 하며 다른 분들도 소개할 분이 많으나 그만 적기로 한다.<89>
<80-83, 89>
