Magazine Title: 개벽 신간 제4호
Publication Date: 1935년 03월 01일
Article Title: 文壇 ■……■ (Literary World Tidbits)
Author: Not specified
Article Type: 소식 (News/Tidbits)

Literary World Tidbits
Mr. Sŏ Yŏnghae (徐領海), a compatriot residing in France (佛國) who previously published the book 『Chosŏn Life』 (朝鮮生活相) in French, is said to have published another collection of Korean folktales titled 『The Misfortune of the Bright Mirror』 (明鏡의 不幸) in December last year at the Figuière (피기에─르) Bookstore in Paris (巴里).
It is said that in the preface of this book, he substituted a preface with his fervent sincerity of loving his compatriots, and that its distinctiveness and appeal lie in its content, which primarily focuses on a purely Korean local character (朝鮮的 鄕土性) and Korean simplicity (朝鮮的 素朴性).
★
Mr. Yi Kwangsu (李光洙), who had remained silent for a long time, gave a literary lecture over two consecutive days before the New Year at the Kyŏngsŏng Broadcasting Station (京城放送局) under the title 『Composition, Literature, and the Man of Letters』. This became a topic of conversation among gossip lovers as he reportedly volunteered and requested the broadcast himself. However, it was later revealed that there was indeed an admirable, tearful "episode" behind it. A close friend (親友) of Mr. Yi, a certain Mr. So-and-so who is in Wŏnsan Prison (元山刑務所), had requested some money. As Yi happened to have no money to send, he thought about it, <76> sacrificed his speech (辯說) for two days for his friend's sake, and met his request with the income (所得) earned. Truly a commendable deed.
★
The Arts and Culture Department (學藝部) of a certain newspaper (某 新聞) selected fifteen young, established writers (中堅作家) before the New Year to serialize short stories. While most have already been published, the newspaper is incurring the displeasure (不平) of some writers by rejecting the publication (揭載) of the remaining stories under the pretext (口實) of New Year scheduling issues and other unreasonable excuses, even after commissioning them. This is said to be an act that ignores Chosŏn's writers and only considers the newspaper's own face (體面).
★
Mr. Ch'oe Tok[...] (崔獨■), who had stopped writing newspaper novels for a long time, suddenly announced a full-length novel (長篇) titled 『Spring of the Heart』 in the Maeil Sinbo (每申) before the New Year and is currently writing (執筆 中) it. However, before the novel has even reached forty installments, the issue of the novel's mo[tif] (모■ 問題) is already emerging. According to reliable investigation (探聞), it is said to be based on the story of Mr. S (S氏) from a certain association (某會), who was involved in a dispute incident (紛叫事件), and Ms. P (P氏), an intellectual woman (인테리 女性) who once caused a great sensation (一大 『쎈세이슌』) in Chosŏn's women's circles (女性界). However, while hoping and believing (미더 바라는) this is not the case, we also hope that this novel will not be discontinued (■■되지) like the one based on the Yi Su[...] (李洙■) patricide incident (殺父悖子) that was serialized in a certain paper (某紙).
★
Mr. Yi Sŏkhun (李石薰)—even amidst his busy schedule (밧분 中)—applied anonymously (匿名) to a certain paper's New Year's prize essay contest (新春懸賞論文). He was delighted not only to gain the honor (榮譽) of fortunately (多幸히) winning first prize (一等 當選) but also to receive a comfortable fifty Wŏn (五拾圓) in prize money (賞金). However, in a case of misfortune in fortune (多幸 中 不幸) rather than fortune in misfortune (不幸 中 多幸), the old man (老人) suddenly suffered a sudden illness (急病), was hospitalized in the Medical College Hospital (醫專病院) for a long time, and incurred unexpected expenses (意外의 費用) several times the amount of the prize money upon his discharge. Friends and acquaintances (親知) who know this fact, seeing him greatly regretting it (愛惜해 하는), say, "That's why they say there are no free things (공것이) in this world (世上)!"
★
There was a rumor (風聞) that Mr. Kim Ŏk (金億) had received thirty Wŏn (三十圓) as a token of gratitude (謝禮口文) for introducing the Samch'ŏlli Company's (三千里社) publication 『Peace and Freedom』 (平和와 自由) to a certain bookstore (某 書店). However, the other day (日前), Mr. Ŏk, the person concerned (當者), resolutely (■然) denied this, saying:
"Thirty Wŏn is a lie; that's very unfair talk. In reality (實上은), I received nothing but a sukiyaki (『스기야기』) treat (한턱)."
★
After advertising in the newspaper (新聞紙上) seeking the address (住所) of Pak Hyangmin (朴鄕民), the author (作者) of 'Today's Woman', which won first prize for drama (戱曲) in the Chungang Ilbo (中央日報) New Year Literary Contest (新年 文藝懸賞), a notification arrived the next day (翌日). Believing it to be genuine (그러려니 밋고 잇섯든 바), it was later unexpectedly (밧게) revealed (判明되야) that a fake (가짜) Pak Hyangmin, coveting (貪내여) the prize money, had sent a false (거짓) address. The authorities (當局者) were greatly shocked and turned pale (大驚失色), saying, "That was almost a huge problem (큰일날 번하엿다)!"

It was stated that among the thirty masterpiece novels (傑作小說) published (揭載된) in the Samch'ŏlli (三千里) New Year's issue (新年號), Yi Injik's (李人稙) work (作) 『Voice of the Ghost』 (鬼의 聲) was serialized in the Maeil Sinbo (每申). However, this was not the Maeil Sinbo; it seems the editor (編者), in their rush (총망중), mistakenly wrote that it had been serialized in the Manse[bo] (萬歲■). This is hereby corrected (爲之訂正).

Mr. Sŏk'yŏng, An Sŏkchu (夕影 安碩柱), recently drew three hundred watts (三百瓦) of his own blood (피) for a blood transfusion (輸血) when his recently sixty-year-old (?) (還充한) father-in-law (岳丈), Elder Kim Ilsŏn (金一善), was dying (殞命 時). At a time (이때) when even filial sons (孝子) who cut off their fingers (斷指) are rarely seen (볼업수는), the existence of a filial son-in-law (孝婿) who would even sacrifice his own blood for (■하야) his father-in-law cannot but be a rare occurrence (듬은 일이 아닐 수 업다) in recent times (近來에). However, it is quite regrettable (저윽이 哀惜한 일인) that even the sincerity (精誠) of this precious (貴여운) filial son-in-law did not achieve its effect (効를 엇지 못하고) and [the father-in-law] went the way he was destined to go (갈길로 도라간 것은). At the same time, friends and acquaintances (親知들은) are said to just admire (그저 ■■한다고) An's commendable filial act (갸륵한 ■■).<77>

**Summary**

This article compiles short news items and gossip concerning Korean literary figures in early 1935. It covers Sŏ Yŏnghae's publication of Korean folktales in Paris, Yi Kwangsu's radio lecture motivated by charity for an imprisoned friend, disputes between writers and a newspaper over rejected commissions, speculation about the real-life basis for Ch'oe Tok[...]’s new novel, Yi Sŏkhun's bittersweet prize win followed by costly illness, Kim Ŏk denying rumors of payment beyond a meal, an attempted prize fraud involving Pak Hyangmin, a correction regarding Yi Injik's serialization venue, and An Sŏkchu's filial act of donating blood to his dying father-in-law. From a historical perspective, the article offers glimpses into the precarious economic lives of colonial Korean writers (Yi Kwangsu needing lecture fees, Yi Sŏkhun's prize money overshadowed by medical costs, Kim Ŏk's rumored payment, the newspaper dispute), the perceived importance of maintaining dignity (體面) by institutions, the international presence of Korean culture (Sŏ Yŏnghae in Paris), anxieties about censorship or discontinuation of works touching sensitive subjects (Ch'oe's novel), and social values like filial piety (An Sŏkchu).

**Named Entities**

徐領海	서영해	Sŏ Yŏnghae
오래ㅅ동안 沈黙하게 지내든 李光洙 氏가 歲前에 『文章과 文學과 文士』라는 題로 京城放送局에서 連二日 間 文藝講演을 한 일이 잇는데 이는 自己가 自願하야 放送을 請한 것으로 말 조와하는 사람들의 한 이야기거리가 되엿섯다. 그러나 그 뒤에 알고보니 果然 感嘆할 눈물겨운 『에피소드』가 들어낫다. 李氏의 親友로 元山刑務所에 잇는 某氏가 돈을 좀 보내달라는 請求을 하엿든바 보내줄 돈은 맛춤 업고 생각다가＜76＞ 그를 爲하야 二日間 自己와 辯說을 犧牲하고 그 所得으로 그의 要求를 待接하엿다는 것이다 참말 갸륵한 일이다.
★
某 新聞 學藝部에서는 歲前에 靑年 中堅作家만 十五人을 추려서 短篇小說을 連載키로 한바 大部分은 임의 發表가 되엿스나 그 남어지는 自己네가 請託을 해놋코도 歲初關係와 其他 當치도 안은 口實로 揭載를 拒絶하야 一部 作家들의 不平을 사고 잇다. 이는 朝鮮의 作家를 無視하고 오직 新聞의 體面만 생각하는 짓이라고
★
오래ㅅ동안 新聞小說의 붓을 끈코잇든 崔獨■ 氏는 歲前에 突然 『마음의 봄』이라는 長篇을 每申에 豫告하고 現在 執筆 中에 잇는바 이 小說이 단 四十回도 못되야 발서 小說의 모■ 問題가 擡頭하고 잇다. 確實한 探聞에 依하면 한참 紛叫事件에 잇든 某會 S氏와 일즉이 朝鮮 女性界에 一大 『쎈세이슌』을 이르킨 인테리 女性 P氏와의 이야기를 잡어서 쓰는 것이라고─ 그러나 우리는 그럿치 안키를 미더 바라는 同時에 또한 이 小說이 某紙의 連載되든 『殺父悖子』 李洙■事件을 主題로 한 것과 갓치 ■■되지 안키를 또한 바라고 십다.
★
李石薰 氏─ 그 밧분 中에도 某紙 新春懸賞論文에 匿名으로 應募하야 多幸히 一等 當選의 榮譽를 어덧슬뿐 아니라 賞金까지 푹은하게 五拾圓이나 엇게 되엿다고 조와하더니 不幸 中 多幸이 아니라 多幸 中 不幸으로 그 老人이 突然 急病이 생겨 오래ㅅ동안 醫專病院에 入院햇다가 나오는 바람에 意外의 費用이 그 賞金의 맷 갑절이 들엇다고 이 事實을 아는 親知들은 너무도 愛惜해 하는 그를 보고 『그러기에 世上에는 공것이 업다는 거라우!』
★
金億 氏는 그간 三千里社 出版의 『平和와 自由』를 某 書店에 紹介해주고 謝禮口文으로 三十圓을 바덧다는 風聞을 들엇섯는데 日前 當者인 億氏는 이를 ■然 否認하되.
『三十圓은 거짓말이요 대단히 억울한 소리요 實上은 『스기야기』 한턱 바더 먹은 것 밧게 업소』
★
中央日報 新年 文藝懸賞에 戱曲으로 一等 當選이 된 今日의 女性의 作者 朴鄕民 氏의 住所를 알려고 新聞紙上으로 廣告를 하엿더니 그 翌日로 通知가 와서 그러려니 밋고 잇섯든 바 나종 알고보니 밧게 가짜 朴鄕民이가 賞金을 貪내여 거짓 住所를 적어 보낸 것이 判明되야 當局者는 『하마트면 큰일날 번하엿다』고 大驚失色!

三千里 新年號에 揭載된 傑作小說 三十篇 中 李人稙 氏 作 『鬼의 聲』을 每申에 連載하엿다고 햇스나 이는 每申이 아니요 萬歲■에 連載되엿든 것을 編■者가 총망중 잘못 적은 것갓다 爲之訂正.

夕影 安碩柱 氏는 今般 還充한 그의 岳丈 金一善 長老의 殞命 時 自己의 피를 三百瓦이나 뽑아서 輸血을 하엿다. 斷指하는 孝子도 볼업수는 이때 岳丈을 ■하야 自己 피를 犧牲까지 한 孝婿가 잇는 것은 近來에 듬은 일이 아닐 수 업다. 그러나 命■奈何로 이 貴여운 孝婿의 精誠도 그 効를 엇지 못하고 그대로 갈길로 도라간 것은 저윽이 哀惜한 일인 同時에 安氏의 이 갸륵한 ■■에 親知들은 그저 ■■한다고.＜77＞
＜76-77＞
