**Header Section:**
Magazine Title: 삼천리 제12권 제9호
Publication Date: 1940년 10월 01일
Article Title: 白樂天이 놀든 廬山의 風光 紀行 (Travelogue on the Scenic Beauty of Mount Lu, Where Bai Juyi Roamed)
Author: 在南京 揚子學人 (Yangja Hak'in in Nanjing)
Article Type: 기행문 (Travelogue)

**Body Text Translation:**
The Scenic Beauty of Mount Lu, Where Bai Juyi Roamed
						By Yangja Hak'in in Nanjing

The Land of Jiangnan, Shining in New China

The site of Pipa Pavilion (琵琶亭), and adjacent to it, Gantang Lake (甘棠湖) – viewed from the window where I am staying, with Mount Lu (盧山) as the backdrop, everything evokes deep emotions. If this were a time not enveloped in the clouds of war from the current situation, this Jiujiang (九江) wharf (瑪頭), Jiangxi rice (江西米), ramie from Wuxue (武穴), and ceramics from Jingdezhen (景德鎭) would fill warehouse after warehouse to their limits. The courageous shouts of the coolies (苦力), the scenes of foremen (十長) skillfully managing things using their names—these would be sights worth seeing. But now, such wharf scenery cannot be seen, and even the sight of warehouses being loaded has vanished without a trace.<58>

Jiujiang also has the former British concession on land.

Looking at the street pavements, many places are broken. Jiujiang, known for its relatively neat appearance, has worsened. Restoring it completely to its former state will require considerable effort and time. Going up to Luluting (陸盧亭), a Chinese restaurant (支那店 菜舘), dishes of five flavors and eight treasures (五味八珍) unbecoming of the times were laid out on the table, though the interior was sparse. A waitress (姑娘, kū-nyang) came out, truly a beauty. I thought how much Bai Juyi (白樂天) would weep if he were introduced to her.

At the Lakeside of Gantang Lake, Jiujiang

Driving through the fine rain (細雨), we reach Lianhua Cave (蓮花洞) on the slope of Mount Lu. The road to Xingzi (星子), the road to Ruichang (瑞昌), the road to Mount Lu – Chiang Kai-shek's (蔣介石) highway policy from his era reached everywhere, with the road surface starting from Jiujiang. I had heard about Mount Lu before, such as when the Three Painters of Namp'yŏng (南薰三畵伯) descended the mountain, but this is my third ascent. Under the current Incident (事變),<59> this is the first time. Now, nobody climbs the mountain. It is generally not permitted. Those climbing must have identification papers. Thanks to the courtesy of the military authorities (軍), a palanquin (轎子) was arranged to connect with the Kuling [Guling] area on the mountain from Lianhua Cave, making it very convenient. Without it, one cannot ascend. In ordinary times, palanquin bearers (轎夫) focused on business (營業本位) would be waiting for customers, but nowadays, that is entirely unnecessary.

To Mount Lu After a Long Time

The mountain spirit permeates the body, and the heart is drawn to the summit. There were rough paths, but following the slopes, it wasn't too bad. Entrusting my body to the steps of the palanquin bearers, I could ascend quite naturally, my head bobbing.
Mount Lu is the same mountain that Zhu Shunshui (朱舜水) of the Ming Dynasty named Little Mount Lu (小盧山) within Tokyo's (東京) Iwakawa Kōrakuen (岩川後樂園). It is an elegant peak (雅峯) I would like to show briefly to Mr. Inoshita (井下君) of the Tokyo Parks Division (東京公園課) and others. Along the way, I passed places that evoked deep emotions: Xiujiang Pavilion (秀江亭), Banshan Pavilion (半山亭), the rest houses for strong coolies (强力苦力), the stone thatched huts (石草屋) where I once stopped to drink tea and rest my legs. The valleys and connected peaks (谿谷連峯) from previous visits, just as remembered, appeared and disappeared amidst the misty rain (煙雨), stirring unbearable feelings of nostalgia (懷舊). Only the mountain's silence (寂靜) and the birds crying in the sky make one wish to speak. Chiang Kai-shek, Song Ziwen (宋子文), Kong Xiangxi (孔祥熙), Xu Shiying (許世英) must have once climbed this mountain path. Also Zou Lu (鄒魯), Zhang Xueliang (張學良), Yu Youren (干右任), Di Chuqing (狄楚靑) must have ascended and descended. Since trees and stones (木石) wouldn't know, should I ask the little birds (小鳥)? – I ascended thinking such nonsensical thoughts.

Kuling [Guling] on Mount Lu

The villa district (別莊地區) is now like an empty hole from which the Chongqing (重慶) dignitaries have escaped; every villa is locked. And British (英國旗) and American flags (米國旗) fly abundantly from the rooftops, adding color. Originally, there were only about a hundred villas truly owned by British and Americans flying their national flags, but suddenly, after the Konoe Statement (近衛聲明), the number swelled to over 1,300.<61> Through this method of disguising property rights (擬裝權益方法), so many houses marked with British and American flags appeared in the valleys and on the mountain top. It was indeed well thought out.
Now, 67 British and Americans remain on the mountain, living peacefully (安居) as before in this separate world (別天地) under the new order (新秩序). Walking through their residential area (地區), there is a movie theater (映畵常設館), an elementary school (小學校), and though narrow, signboards of a shopping street (商店街). The atmosphere of green shade (綠陰) and the sound of clear streams (淸流) in this residential area are no different from the old days before the Incident. However, what is strikingly different is:
First, as mentioned above, all the villas of the Chongqing dignitaries are disguised as if owned by Westerners. Consequently, strict notices (貼札) are posted prohibiting any Japanese from entering here.
Second, following the stream down past the villas of Song Ziwen, Chiang Kai-shek, Kong Xiangxi, and successive dignitaries, one finds the magnificent library where the Lushan Conference (盧山會議) was held. Its splendid beauty (輸奐之美) dominates all of Guling (牯嶺). The six characters "Lushan Training Institute" (盧山傳習學舍) were faintly visible, mounted high on the dormitory wall.<62>

**Summary**

The author, writing from Nanjing in 1940, describes a journey to Mount Lu near Jiujiang during the Second Sino-Japanese War. Jiujiang is depicted as war-damaged and quiet, a stark contrast to its presumed pre-war bustle. Access to Mount Lu is restricted and requires military permission, highlighting the wartime conditions. The ascent evokes nostalgia, recalling past visits and prominent figures like Chiang Kai-shek who once frequented the mountain. The author observes the villa district on the mountain, noting that properties formerly belonging to Nationalist officials (now in Chongqing) are conspicuously flying British and American flags, a tactic believed to protect them from Japanese appropriation following the Konoe Statement. Despite the presence of a small foreign community living peacefully, the overall atmosphere is one of quiet desolation under the "new order," marked by deserted villas and restricted access, particularly for Japanese individuals near the flagged properties.

For historians, this article offers a valuable glimpse into life in Japanese-occupied China from a Korean perspective in Nanjing. It details the physical and social landscape of a famous Chinese location under wartime stress, illustrates the practical impact of international relations (the use of foreign flags for property protection), mentions prominent Chinese political figures in relation to the site, and reflects the controlled environment and propaganda ("New China," "new order") of the time. The author's position as a Korean intellectual in Nanjing adds another layer of complexity to the narrative.

**Named Entities**

白樂天	백낙천	Paengnakt'ŏn (Bai Juyi)
거리의 舖道를 보면 죄다, 포장이 깨트리진 데가 많다. 비교적 청초한 외관을 갖이고 있다고 알려진 九江이 더 심헤 젔다. 이것이 완전히 前대로 될혀면 상당한 노력과 세월이 걸릴 것이다. 支那店의 菜舘, 陸盧亭에 올라가 보면, 시절에 얼리지 않게, 五味八珍이 탁상에 놓이고 실내는 허성했다. 써-비쓰껄 姑娘이 나왔는데, 참말 미녀였다. 白樂天이와 면회식힌다면, 얼마나 울까 싶은 생각을 할 정도였다.

九江, 甘棠湖 湖畔에서

細雨 속에 뜨라이브로, 盧山의 비탈, 蓮花洞에 이른다. 星子에의 길, 瑞昌에의 길, 盧山에의 길과, 蔣介石시대의 公路정책은 이르는 곳마다 路面이 九江에서 시작되였다. 盧山은 전에, 南薰三畵伯이 下山한 일 등을 들은 일이 있으나, 나는 이번이 세 번째의 등산이다. 事變 하에 있어서는<59> 이번이 처음이다. 지금은 산에 아모도 올라가는 사람이 없다. 일반으로 허락하지 않는다. 등산하는 사람은, 신분증서가 있어야 한다. 신분은 軍당국의 호의에 의해서, 山上의 크-린으로 轎子를 蓮花洞까지 連絡식히기 때문에 퍽 편리했다. 그것이, 없으면 오르지 못한다. 여니 때 같으면 營業本位의 轎夫가 손님을 기다릴 것이나, 昨今에 있어서 늘 그것이 전연 필요 없다.

오래간만에 廬山에

山精은 몸에 슴여들고, 마음은 山頂에 끌리웠다. 험한 길도 있긴 했으나, 비탈을 따라가면 그렇지도 않었다. 轎夫의 발거름에 몸을 맡기고, 극히 자연스럽게 고개를, 흔들거리며, 올라갈 수 있다.
盧山은 明의 朱舜水가, 東京岩川後樂園內에 小盧山이라고 命名한 그 산과 같다. 東京公園課의 井下君 그 외 諸君에게도, 잠간 보여 디리고 싶은 雅峯이다. *秀, 江亭이라든지, 半山亭이라든지, 또<60> 强力苦力의 쉬든 집이라든지, 일즉이 茶를 마시며 잠간 다리를 쉬든 石草屋이라든지, 이러한, 감회 깊은 곳들을 路傍에 보면서 올라갔다. 曾遊의 谿谷連峯은 인상에 남은 바와 같이, 煙雨 사이에, 隱顯하여, 懷舊의 정을 못 이기게 한다. 오직 산이 寂靜하고 새가 하늘에 우는 것이 말해 보고 싶을 정도다. 蔣介石과 宋子文. 孔祥熙, 許世英의 얼굴들이 이 산길을 일즉이 올랐을 것이고, 又鄒魯, 張學良, 干右任, 狄楚靑 등도, 오르 내렸을 것이다. 木石에 물이야 알 배 없으니 小鳥에게나 물어볼까 하는 넌센스한 생각을 하며 올랐다.

廬山山上크린

別莊地區는, 지금은, 重慶要人의 빠저나간 구녕같은 곳으로, 어느 것이나, 문이 잠겨있다. 그리고 英國旗와 米國旗가 지붕 우에 가뜩, 채색을 가추워 날고 있다. 원래 정말, 英米人의 국가의 국기가 달려있는 별장은 백여戶였는데, 俄然 近衛聲明후에, 1,300여라는 많은 수로 불었다.<61> 이런 擬裝權益方法에 의해서, 이렇게 많은, 英米國旗標識의 가옥이 溪谷에도 山上에도, 많이 생겼다. 실로 잘 생각한 것이다.
지금은, 67인의 英米人이 山上에 남어서 여전한 태도로, 신질서의 별천지에 安居하고 있다. 그 주거의 地區를 걸고 있으면, 거기엔, 영화상설관도 있고, 小學校도 있고, 좁긴 하지만, 상점가의 간판도 있다. 이런 주택 구역의 綠陰의 정취와 淸流의 물소리는, 事變 前의 舊時와 하등, 다른 곳이 없다. 다만, 현저하게 달른 것은
첫재, 우에도 말한 바와 같이, 重慶要人의 별장이 죄다 백인의 소유한 것 같이 擬裝되여 있는 일, 따라서 日本人은 누구나, 여기에 들어오지 못하게 엄중한 貼札을 붓처놓았다.
둘재, 또 宋子文, 蔣介石, 孔祥熙와, 順次 요인의 별장에 沿하여 溪流를 내려오면 예의 盧山會議의 개최했든 훌융한 도서관이 있다. 輸奐의 美는, 全牯嶺을 눌르고, 「盧山傳習學舍」의 6字는 일단 높게 寄宿舍 벽면에 히미하게 보혔다.<62>
<58-62>
