Magazine Title: 삼천리 제16호
Publication Date: 1931-06-01
Article Title: 新興中國展望, 中國軍閥의 가는 곳 (Outlook for the New China, Where the Chinese Warlords are Headed)
Author: 金章煥 (Kim Changhwan)
Article Type: 논설 (Editorial/Opinion Piece)

Outlook for the New China, Where the Chinese Warlords are Headed
						Kim Changhwan
1
Around the time of the National Assembly starting May 1st, an anti-Chiang movement arose again. The pretexts are the detention of Hu Hanmin (胡漢民) and Jiang Jieshi's (蔣介石) monopolization of the Nationalist Government. The instigators are Chen Jitang (陳濟常 - likely Chen Jitang 陳濟棠) and Gu Yingfen (古應芬) from the Guangdong faction, same as Mr. Hu. Responding to this are Li Zongren (李宗仁) and Bai Chongxi (白崇禧) of the Guangxi faction, and Zhang Fakui (張發奎), who has left-leaning tendencies, as well as miscellaneous troops like Shi Yousan (石友三) and Sun Dianying (孫殿英), have also issued public telegrams against Chiang, clarifying their stance.

2
Through the National Assembly, the Nationalist Government was able to enact and implement the Provisional Constitution (約法), declare domestically and internationally a resolution to abolish unequal treaties, and announce a Five-Year Industrial Plan, thus renewing its image and poised to leap forward in construction projects, seemingly gaining the trust of all of China as the central government. However, due to the anti-Chiang movement, its image has been greatly damaged, and as soon as the assembly ended, Jiang Jieshi had to convene a military council and busy himself with countermeasures against the anti-Chiang forces.

3
The anti-Chiang movement is almost an annual event. However, what makes this current anti-Chiang movement different from previous ones is that one faction has withdrawn from the Nationalist Government, which was supported by the Guangdong and Zhejiang factions, to fight against the other faction, and key figures such as President of the Judicial Yuan Wang Chonghui (王寵惠), Minister of Railways Sun Ke (孫科), and Secretary-General Gu Yingfen (古應芬) have committed treason. In reality, it is nothing more than a power struggle between the Guangdong and Zhejiang factions. As the Guangdong faction, which had been overwhelmed by the Zhejiang faction, mounted its resistance, the Guangxi faction and other miscellaneous troops, all in positions of misfortune (不遇) and harboring dissatisfaction, responded and rose up. The very fact that top government cadres are withdrawing and resisting the party creates significant psychological ripples. Although they cannot be called a powerful faction in terms of military strength, their rallying cry remains the release of Mr. Hu and the defense of the Nationalist Government and the Nationalist Party, but insists on excluding only Jiang, who treats the government and party as his private possessions. This puts the central government in a difficult position, unable to force Jiang to step down. Furthermore, while they are struggling to suppress the Communist Party without achieving results, the fact that the Guangxi faction and miscellaneous troops, who are regional warlords, are responding to the Guangdong faction, has led Jiang Jieshi to ask the Control Yuan members (監察委員) to investigate the charges against him to declare his innocence, while simultaneously attempting a peaceful resolution with the Guangdong faction and preparing for military subjugation against the miscellaneous troops in the south.

4  <51>

Truly contemptible are the warlords. While there might be no independent nation without warlords, they rarely harm the state for personal gain and greed. However, the warlords of China have poisoned the nation for 20 years since the First Revolution, paying no attention to the state and only pursuing personal gain and greed. During Yuan Shikai's (袁世凱) era, due to his political skill and military strategy, the rampancy of warlords was relatively minor, but since his death in the 5th year of the Republic, there have been few peaceful days due to civil wars caused by rival warlords ruling their own territories. Representative warlords include Duan Qirui (段琪瑞) of the Anfu Clique (安福派), Zhang Xun (張勳) of the Restoration Clique (復辟派), Wu Peifu (吳佩孚) of the Zhili Clique (直隷派), Zhang Zuolin (張作霖) of the Fengtian Clique (奉天派), Sun Chuanfang (孫傳芳) of the Five Province Alliance (五省聯盟), Feng Yuxiang (馮玉祥) of the Northwest Army (西北軍), and Tang Jiyao (唐繼堯) of Yunnan. The latter two were closer to the Nationalist Party and received popular support, which made them distinctive.

5
There are two main reasons for the prevalence of warlords in China: the vastness of its territory, making it difficult for the central government's authority to reach everywhere, and the weakness of the central government's power, preventing effective control. Consequently, warlords in each province can act independently and form alliances based on their interests. Thus, the civil wars knew no end. However, if one examines the undercurrents closely, there is a definite direction: the struggle between the Nationalist Party faction, fighting for justice and humanity, and the warlord types seeking to satisfy their own ambitions. The First, Second, and Third Revolutions, the division between the Southern and Northern governments, Feng Yuxiang's Beijing regime backed by left-leaning thinkers like Li Dazhao (李大釗) and Li Shizeng (李石層), and Guo Songling's (郭松齡) rebellion serve as proof. The success of Jiang Jieshi's Northern Expedition, which started from a corner of Guangdong, can, in a sense, be observed as the greatest and final victory over the warlord types.

6
Although the Qing Dynasty became the Republic, and Yuan Shikai's regime was fairly solid, it cannot compare to the current Nationalist Party regime, especially since the latter commands the trust and respect of the majority of the people. In this context, the downfall of the greatest warlords Feng Yuxiang (馮玉祥) and Yan Xishan (閻錫山) can be seen as a natural consequence of the times. Miscellaneous troops like Shi Yousan (石友三) and Sun Dianying (孫殿英), remnant Northwest Army forces like Lu Zhonglin (鹿鍾麟) and Fu Zuoyi (簿作儀 - likely Fu Zuoyi 傅作義), remaining Shanxi faction troops, and the Guangxi faction led by Li Zongren (李宗仁) are also undergoing a rapid decline. The faction led by Zhang Xueliang (張學良) and Zhang Zuoxiang (張作相) is currently the largest warlord group, but they support the central government. Therefore, no matter how much the miscellaneous southern troops respond to the Guangdong faction to check the Nationalist Government, or even attempt to subjugate it, they will likely be unable to do much because of the Northeast Faction (東北派). Besides these, there are figures like Liu Xiang (劉湘) in Sichuan, but they lack significant power and are located in remote areas, so they are unlikely to become a major issue.

7
The Guangdong faction has rallied the Old Kuomintang Faction (舊國民黨系) figures Tang Shaoyi (唐紹儀) and Xu Chongzhi (許崇智), the Guangxi faction leader Li Zongren (李宗仁), the Left Wing (左派) leader Wang Jingwei (汪精衛), and the Wuhan Faction (武漢派) figure Chen Youren (陳友仁) based on the principle of common enmity (敵本主義 - possibly a misprint for gathering '集'), established a government, and even issued a public telegram advising Jiang to step down. If they can cooperate well without internal conflict, relying on Guangdong's financial power and steep terrain, along with the Communist forces pinning down the central army, the combined Guangdong-Guangxi forces (兩廣軍) might hold out to some extent. However, whether they can maintain their independent regime <52> indefinitely is highly questionable. As mentioned above, if the downfall of the warlords is not far off, and the lifespan of the Guangdong government is also not long, the enemy that will appear on the Nationalist Government's front lines in the future is the Communist Party, which is currently fostering latent power among the peasantry. The future of the Communist Party is indeed worthy of close attention. <60>

**Summary**

This 1931 article by Kim Changhwan analyzes the political instability in Republican China, focusing on the renewed anti-Chiang Kai-shek movement led by the Guangdong faction and supported by Guangxi and other warlords. It frames this conflict as a continuation of factional power struggles within the Kuomintang, despite the apparent consolidation of power by Jiang's Nationalist Government after the Northern Expedition and the establishment of a Provisional Constitution. The author views the older generation of warlords as declining but sees the Guangdong secession and the underlying Communist threat among the peasantry as major future challenges to Jiang's authority and Chinese unity. For historians of Korean colonial history, this article reveals a contemporary Korean perspective on the turbulent internal politics of China, a major neighboring power. The detailed analysis of Chinese factionalism and warlordism, written for a Korean audience under Japanese rule, might reflect an interest in models of state-building, internal division, and the struggles against centralized authority, potentially offering indirect commentary or comparison to Korea's own situation. The focus on China's instability and the rise of Communism would also have been significant points of observation from colonial Korea.

**Named Entities**

胡漢民	후한민	Hu Hanmin
기사제목	新興中國展望, 中國軍閥의 가는 곳
필자	金章煥
기사형태	논설

新興中國展望, 中國軍閥의 가는 곳
						金章煥
1
5월1일부터의 國民會議를 前後하야 反蔣運動이 또 이러낫다. 그 口實은 胡漢民拘禁과 蔣介石의 國民政府專擅이다. 그 策動者는 胡氏와 가튼 廣東派인 陳濟常 古應芬氏 等인데 廣西派인 李宗仁, 白崇禧氏 等이 이에 響應하고 左傾的 色彩를 띈 張發奎와 雜軍인 石友三 孫殿英 等도 反蔣通電을 發하야 態度를 鮮明히 하얏다.

2
國民會議에 의하야 國民政府는 臨時憲法인 約法을 制定實施하게 되얏고 不平等條約撤廢決議案을 內外에 聲明하고 實業5個年計劃을 發表하야 面目을 一新하고 建設事業에 躍進케 되는 同時 中央政府로서의 信任을 全中으로부터 傳하게 된 셈이다. 그러나 反蔣運動에 의하야 그 面目은 크게 損傷되얏스며 會議가 終了되자마자 蔣介石은 軍事會議를 召集하고 反蔣對策에 汲汲하지 안흘 수 업게 되얏다.

3
反蔣運動은 거의 年中行事이다. 그러나 今番의 反蔣運動이 前者의 그것과 다른 것은 廣東派와 浙江兩派에 의하야 支持되는 國民政府에서 一派가 脫退하야 他一派와 抗戰하는 것이며 司法院長 王寵惠, 鐵道部長 孫科, 秘書長 古應芬氏 等 要人이 謀叛한 事이다. 其實은 廣東 浙江兩派의 勢力 抗爭에 不過하는 것이며 浙江派에 壓倒되든 廣東派의 對抗으로서 廣西派나 其他 雜軍은 모다 不遇의 地位에 잇서 不滿을 품고 잇섯슴으로 그에 呼應 蹶起하게 된 것이다. 政府의 最高幹部들이 脫退黨抗한다는 것만 하야도 그 精神的 波紋이 적지 아니한데 그들은 비록 實力派라 할 수가 업스나 그 抗爭口號가 胡氏釋放과 國民政府와 國民黨擁護에는 變함이 업스나 政府와 黨을 私하는 蔣一人만 排除한다 함에 잇서서 中央政府로서는 蔣氏를 下野식힐 수도 업고 그 立場이 困難하게 되얏다. 뿐만 아니라 共産黨討伐에도 애만 쓰고 實蹟을 擧치 못하고 잇는데 廣西派와 雜軍을 地方軍閥이 그에 響應함에 잇서서 蔣介石은 監察委員에 대하야 自己의 罪狀을 調査하랴 하야 無罪를 聲明케 하고 廣東派에 대하야 和平解決을 策하는 동시에 南方雜軍에 대하야는 武力討伐을 준비하게 되얏다.

4  ＜51＞

實로 貴치 안흔 것은 軍閥들이다. 어떤 獨立國家를 勿論하고 軍閥업는 데가 어데 업스랴마는 그래도 그들은 私利私慾을 위하야 國家을 그릇치는 일이 別로 업다. 그러나 中國의 軍閥들은 國家란 것은 眼中에도 업고 다못 私利私慾을 위하야 第1次 革命以來 20년 간이나 國家를 毒하여왓다. 袁世凱時代에는 그 政治的 手腕과 軍略에 의하야 軍閥의 跋扈가 별로 업섯지마는 그의 民國5년 死亡以來 軍閥의 群雄割據로 內亂에 寧日이 젹엇스니 그 代表的 軍閥로는 安福派의 段琪瑞復辟派의 張勳直隷派의 吳佩孚, 奉天派의 張作霖, 五省聯盟의 孫傳芳西, 北軍의 馮玉祥, 雲南의 唐繼堯 等을 들 수가 잇스며 後2者는 國民黨에 갓가웟고 大衆의 支持를 바든데 잇서서 異彩가 잇섯다.

5
中國에 軍閥이 跋扈하는 데에는 두가지 原因을 들 수가 잇스니 그것은 版圖가 廣汎하야 中央政府의 威令이 잘 닷지 안는 것과 中央政府의 勢力이 徾弱하야 統制가 잘 안되는 까닭이다. 따라 各省의 軍閥들은 各其 獨立行動을 取할 수 잇고 利益關係를 따라 建衡合縱을 하게  된다. 그리하야 內亂은 그 底止할 바를 몰랏든 것이다. 그러나 그 低流를 詳察하면 一定한 方向이 잇스니 그것은 正義人道를 위하야 國民黨派와 自己의 野望을 充足하려는 軍閥者流의 抗爭으로서 第1 第2 第3革命과 南北兩政府分立及 李大釗 李石層 等 左傾思想家를 背景으로 한 馮玉詳의 北京政權과 郭松齡의 謀叛 等은 이를 證함이며 廣東의 一隅에서 起한 蔣介石의 伐成功은 어느 의미로 보면 軍閥者流에 대한 最大最後의 勝利로는 관찰할 수도 잇슬 것이다.

6
淸國이 國民으로 된 以後 袁世凱政權이 相當히 鞏固하얏섯스나 現在의 國民黨政權에 비할 바 못되며 더욱이 多數國民의 信望을 約하고 잇스메랴 이에 잇서서 그 最大軍閥인 馮玉祥, 閻錫山의 沒落은 時勢의 당연한 귀결이라 할 수가 잇스며 石友三, 孫殿英 等 雜軍과 鹿鍾麟 簿作儀等 西北軍及山西派殘軍과 李宗仁 等 廣西派도 急激한 沒落의 過程을 밟고 잇다. 張學良, 張作相 等 一派가 現在 最大의 軍閥이나 이들은 中央政府를 支持하고 잇스니 南方의 雜軍들이 아모리 廣東派에 呼應하야 國民政府를 牽制하려 하며 그 以上 더 나아가 討伐까지를 하려하야도 東北派 까닭에 어찌하지를 못할 것이다. 此外四川의 劉湘 等이 잇스나 이들은 별 실력도 업슬 뿐 아니라 僻地에 잇는만큼 별 문제될 것은 업슬 것이다.

7
廣東派는 舊國民黨系 唐紹儀, 許崇智 廣西派 李宗仁, 左派 汪精衛, 武漢派 陳友仁 等을 敵本主義에 의하야 糾合하고 政府를 成立식히는 동시에 蔣氏下野勸告通電까지 發하엿다. 內訌만 업시 잘 協調만 되면 廣東의 財力과 峻險에 據하야 共産軍의 中央軍牽制와 아울러 兩廣軍으로 어느 정도까지 버틔어 나갈 것이다. 그러나 언제까지나 그 獨立政權을＜52＞ 維持할지는 자못 疑問視 아니할 수 업다. 以上 곳가티 軍閥의 沒落이 멀지 안흐며 廣±政府의 生命이 또한 길지 안하면 將次 國民政府의 正面의 敵으로 出現할 者는 農民層에 現在潛勢力을 扶植하고 잇는 共産黨이니 共産黨의 將來야말로 매우 注目할 만하다.＜60＞
＜51-52, 60＞
