잡지명	삼천리 제13권 제7호
발행일	1941년 07월 01일
기사제목	在滿朝鮮人의 今後敎育, 在滿朝鮮人敎育問題를 爲한 視察團記 (The Future Education of Koreans in Manchuria, Report of the Inspection Team for the Issue of Korean Education in Manchuria)
필자	總督府 學務局 視學官 夏山在浩(舊名 曹在浩)
기사형태	논설 (Editorial/Argumentative Essay)

The Future Education of Koreans in Manchuria, Report of the Inspection Team for the Issue of Korean Education in Manchuria
						By Natsuyama Zaikō (Original Name: Cho Chaeho), School Inspector, Bureau of Education, Government-General

Regarding the issue of educating the 130,000 school children among our Korean compatriots in Manchuria, our inspection team of officials related to the Government-General departed Kyŏngsŏng at 3:55 PM on May 5th last, with the purpose of actually inspecting the local situation and resolving this issue with the Manchukuo side. The first group, consisting of Foreign Affairs Department Director Suwa, Academic Officer Takahashi, Compilation Officer Nakamura, and myself, traveled via the Hamgyŏng Line, inspecting various boys' and girls' schools primarily for the children of Koreans in places like T'umun, Yŏngjŏng, Yongjŏng, Mujŏnggang, Hapinp'in, and Pongch'ŏn, before arriving in Sin'gyŏng. The second group, led by Bureau of Education Director Masaki, included Academic Affairs Section Chief Kurashima and Editing Section Chief Shimada, traveled via P'yŏngyang and met us in Sin'gyŏng to hold talks with the Manchukuo side.

While inspecting Manchuria this time, I was deeply impressed by many things, from the Kwangmyŏng National Higher School and Higher Girls' School in Yongjŏng to the Sin'gyŏng Kŏn'guk University. However, due to time constraints, I will postpone sharing those impressions for a later date. Simply put, witnessing the surprising changes and developments in the ideological issues, living conditions, and various other problems concerning the Korean compatriots in Manchuria before the establishment of Manchukuo compared to after its establishment truly fills me with emotion. In particular, I cannot help but express my respect for the great contributions of Koreans to the pioneering work in the construction of the New Continent.

However, it was truly regrettable that the long-pending issues of education and family registration (就籍問題) had not yet seen resolution. After Governor-General Minami visited Manchukuo last April and met with Kantōgun Commander Umezu in Sin'gyŏng, followed by talks with the Manchukuo side on the 22nd regarding various issues concerning Koreans in Manchuria, a clear conclusion was reached based on the grand ideal of 'Chosŏn-Manchukuo Unity' (鮮滿一如): the 1.2 million<106> Korean compatriots in Manchuria who hold Japanese nationality are loyal subjects of the Empire and, at the same time, constituent members of Manchukuo, becoming the people of Manchukuo. Based on this conclusion, our inspection team headed to Manchuria this time to resolve the education issue for the 130,000 Korean children in Manchuria and the problem of the 600,000 stateless compatriots without family registers.

Now, regarding the education issue of Koreans, before the establishment of Manchukuo, there were several public elementary schools (公立普通學校) directly under the Government-General in the Kando (間島) region, where the largest number of Korean pioneer settlers had migrated. Other elementary and middle schools were entirely private schools managed by Korean hands or by mission-affiliated Christian schools. However, after the establishment of Manchukuo, when extraterritoriality was abolished in the 4th year of Kangdŏk (康德, 1937), the management of Korean educational institutions was transferred to Manchukuo. As Manchukuo thus gained supervisory authority, Koreans began receiving Manchukuo-style education. Consequently, the Korean side repeatedly petitioned both the Chosŏn and Manchukuo authorities, stating, "In light of the ideal of 'Homeland-Chosŏn Unity' (內鮮一體), we should receive the same education taught in Chosŏn, just like the students in Chosŏn, but being treated the same educationally as the Manchurians is unacceptable." Accordingly, after the transfer to the Manchukuo authorities, various derivative problems frequently arose, becoming a major 'trouble' for both Chosŏn and Manchukuo authorities. Therefore, based on the recent talks between Governor-General Minami and Commander Umezu, discussion meetings were held twice at the Japan-Manchukuo Servicemen's Hall in Sin'gyŏng on May 16th.

Attendees from the Chosŏn side included Bureau of Education Director Masaki, Foreign Affairs Department Director Suwa, Academic Affairs Section Chief Kurashima, Editing Section Chief Shimada, Academic Officer Takahashi, Compilation Officer Nakamura, myself, and Chosŏn Section Chief Mori. From the Manchukuo side were Vice Minister of People's Welfare Tsuchihashi, Education Bureau Director Kida, Compilation Officer Terada, Academic Affairs Section Chief Takeoka, and General Education Section Chief Imayoshi. From the Kantōgun side were Fourth Section Chief Kurokawa and Staff Officer Obi.

Additionally, individuals related to the Education Affairs Department in Manchuria, the Embassy, the General Affairs Agency, the General Development Bureau, and the Concordia Association (協和會) also attended. As a result of the discussions, it was agreed that Koreans in Manchuria holding Japanese nationality would be cultivated as good citizens of Manchukuo based on their essential nature as subjects of the Imperial Nation (皇國臣民). This was set as the guiding principle and fundamental policy for education. Furthermore, complete agreement was reached between the Chosŏn and Manchukuo authorities on the following eight major items, which were consequently finalized:

一, The educational policy, like that in Chosŏn and the Homeland (内地), shall focus on the training of Imperial Subjects (皇國臣民鍊成) and cultivate them as people constituting Manchukuo.
二, The curriculum shall be reorganized beyond the current state to emphasize the training of Imperial Subjects.
三, Textbooks for Korean National Schools (國民學校) shall be used.
四, Many teachers shall be dispatched from Chosŏn.
五, School associations (學校組合) shall be actively organized.
六, Educational expenses shall be actively subsidized by the Government-General.
七, Connection shall be made possible with upper-level schools within Chosŏn.<107>
八, Chosŏn-Manchukuo discussion meetings regarding educational issues shall be held regularly once every year.

Thus, these eight major items saw complete agreement between the Chosŏn and Manchukuo authorities and were finally decided upon. The Manchukuo side, acknowledging a sense of neglect towards the education of Koreans in Manchuria until now, committed to implementing active measures. Simultaneously, the Chosŏn side pledged absolute cooperation, significantly increasing the subsidy from the previous 150,000 yen to facilitate a fresh start with Imperial Subject education. In this way, the educational facilities and policies for the 130,000 school children in Manchuria will be completely reorganized, and considerable innovation in management is expected henceforth.

Next, regarding the issue of family registration for the 600,000 stateless individuals among the 1.2 million compatriots in Manchuria, as announced by Foreign Affairs Department Director Suwa, following consultations with the Manchukuo Ministry of People's Welfare, a plan has been established to budget 900,000 yen starting this year to register everyone within three years. Primarily, 300,000 yen will be spent this year for preparatory surveys. However, not only will the funds necessary for the survey be sent, but personnel will also be dispatched. To begin with, about 30 individuals will be dispatched this year to formally commence the family registration work. Although the Government-General is the main body overseeing this project, the Manchukuo side has also agreed to provide active support, so we believe it will proceed smoothly. (End)<108>

**Summary**

This 1941 article by a Chosŏn Government-General official reports on an inspection tour to Manchukuo aimed at resolving education and registration issues for the large Korean population there. Following high-level negotiations, an agreement was reached defining Koreans as both Imperial Japanese subjects and Manchukuo citizens. The education system was to be reformed to prioritize "Imperial Subject Training," utilize Korean elementary textbooks and teachers dispatched from Chosŏn, receive increased funding from the Government-General, and ensure pathways to higher education in Chosŏn. A three-year plan, funded and staffed partly by the Government-General, was also established to register the 600,000 stateless Koreans. For historians, this article clearly documents the colonial administration's strategy to integrate Koreans in Manchukuo into the Japanese Empire and the Manchukuo state structure through education policy and administrative measures like registration. It reveals the mechanisms of colonial control, the concept of dual identity imposed on Koreans, and the collaboration between Japanese entities (Government-General, Kantōgun) and the Manchukuo puppet government in managing the Korean population.

**Named Entities**

總督府 學務局	총독부 학무국	Government-General Bureau of Education
되여	되어	Becoming, being (Older spelling of 되어)
있었으나	있었으나	Although there was (Older spelling)
있었었는데	있었었는데	Although there had been (Older spelling)
가젔으니까	가졌으니까	Because (they) possessed/had (Older spelling of 가졌으니까)
느리어	늘리어	Increasing (Older spelling of 늘리어)


---------------------------


잡지명	삼천리 제13권 제7호
발행일	1941년 07월 01일
기사제목	在滿朝鮮人의 今後敎育, 在滿朝鮮人敎育問題를 爲한 視察團記
필자	總督府 學務局 視學官 夏山在浩(舊名 曹在浩)
기사형태	논설

在滿朝鮮人의 今後敎育, 在滿朝鮮人敎育問題를 爲한 視察團記
						總督府 學務局 視學官 夏山在浩(舊名 曹在浩)
在滿朝鮮同胞의 13萬 學童敎育問題에 관하여 실제로 현지를 시찰하고 滿洲國側과 此問題를 해결짓기 위해서 우리 總督府關係官敎育視察團 一行이 京城을 출발하기는 지난 5월 5일 오후 3시 55분이었었다. 제1반은 諏訪外事部長, 高橋敎學官, 宁村編修官諸氏와 필자까지 일행이 되여 咸鏡線을 경유해서 圖們, 廷吉, 龍井, 牡丹江, 哈爾賓, 奉天 등지의 조선인 자제를 위주한 각 남녀학교를 시찰하고 新京에 이르게 되였으며, 제2반은 眞崎學務局長 以下, 倉島學務課長, 島田編輯課長諸氏로서 平壤을 경유해서 新京에서 상봉하여 滿洲國側과 회담하게 되였던 것이다.
금번 滿洲를 시찰하면서 龍井의 光明國民高等學校, 同高等女學校를 비롯하여 新京建國大學에 이르기까지 느낀바가 많었으나 시간관계로 그 감상은 후일에 미루기로 하며 단지 滿洲國建立 前의 在滿同胞와 滿洲國 建立 後의 在滿同胞의 사상문제, 혹은 생활상태 등 諸問題에 있어서 놀라운 변화와 발전을 보게된 것은, 실로 감격을 不禁하는 바이다. 특히 新大陸建設에 朝鮮人開拓事業의 공적이 다대함에는 경의를 표하기를 아끼지 않는 바이다.
그러나 다년간 현안이였던 敎育問題와 就籍問題에 아직까지 해결을 보지 못했던 것은 매우 유감된 일이였었는데, 지난 4월에 南總督閣下께서 滿洲國을 방문하고 新京에서 關東軍司令官 梅津씨와 회담이 있은 후 在滿朝鮮人 諸問題에 대하여 同 22일에 滿洲國측과 회담한 결과 日本에 國籍을 둔 在滿 120萬<106> 朝鮮同胞는 충실한 帝國臣民인 동시에 滿洲國의 구성분자로서 滿洲國人民이 된다는, 즉 鮮滿一如의 큰 이상을 확실히 결론지었으며, 이 결론에 의하여 滿洲에 있는 13만명 朝鮮兒童의 敎育問題와 호적이 없는 60萬명 無籍同胞問題를 해결짓고저 금번 我視察團 一行이 滿洲로 향하게 되였던 것이다.
그런데 從來 朝鮮人의 敎育問題에 있어서 滿洲國 建立 前에는 朝鮮人 開拓民이 제일 많이 이주하여 있는 間島地方에 總督府의 직속의 公立普通學校가 數處에 있었고, 그 외의 小學校와 中學은 전부 純朝鮮人의 손으로, 혹은 미슌계통의 기독교학교로 경영해 온 사립학교들이 있었다. 그러든 것이 滿洲國 建立 後 康德 4년에 治外法權이 철폐되자 朝鮮人敎育機關管理도 滿洲國으로 移管되였으며, 그로써 감독권을 滿洲國에서 가젔으니까 滿洲式 敎育을 받게되는 관계로 朝鮮人側에서는 「우리는 內鮮一體의 이상에 비추어 보아서도 朝鮮에서 가르치는 교육을 朝鮮에 있는 학동들과 동일하게 받아야 할 것인데 滿洲人과 동일한 교육취급을 받게되니 이래서는 않되겠다」고 수차 鮮滿兩當局에 陳情해왔었고, 따라서 鮮滿國當局에 移管된 후로는 여러 가지 派生的 問題가 疊出하게 되여 鮮滿兩當局에 한 큰 「트러불」로 되여 있었으므로 過般의 南, 梅津 兩閣下의 회담을 根幹으로 하여 지난 5월 16일에 新京 日滿軍人會館에서 前後 2回에 亘하여 懇談會를 개최했던 것이다.
간담회에 참석한 이로는 朝鮮側으로는 眞崎學務局長以下 諏訪外事部長, 倉島學務課長, 島田編輯課長, 高橋敎學官, 中村編修官, 그리고 필자와 森朝鮮課長이였으며, 滿洲國側에서는 土肥民生部次長, 木田敎高司長寺田編審官, 武岡學務科長, 今吉普通敎育科長이였고, 關東軍側에서는 黑川第四課長, 小尾參謀였다.
그리고 기타 在滿敎務部와 大使館側, 總務廳, 開拓總局, 協和會關係者諸氏도 참석하여 간담한 결과, 日本에 국적을 가지고 있는 在滿朝鮮人은 皇國臣民인 본질을 기초로 하고 선량한 滿洲國人民은 교양을 하기로 한다는 것을 강령으로 하며, 및 이것을 교육의 근본방침으로 해서
一, 敎育方針은 朝鮮과 內地와 같이 皇國臣民鍊成을 主眼으로 하고 滿洲國을 구성하는 인민의 교양을 가지게 할 것.
二, 敎科課程은 현재 이상으로 개편하여 皇國臣民鍊成에 치중할 것.
三, 敎科書는 朝鮮의 國民學校用을 사용할 것.
四, 朝鮮으로부터 많은 교원을 派遺할 것.
五, 學校組合을 積極的으로 組織할 것.
六, 敎育經費를 總督府로부터 積極補助할 것.
七, 朝鮮內上級學校로 連絡이 되게할<107> 것.
八, 매년 일차 敎育問題에 관한 鮮滿懇談會를 정기적으로 개최할 것.
이상 8대 항목에 관하여 鮮滿兩當局間에 완전히 의견의 일치를 보았으므로 드디어 이를 快定하였으며, 滿洲國側에서도 이때까지 放任한 감이 없지 않던 在滿朝鮮人敎育問題에 대해서 積極的 施設을 함과 동시에 朝鮮側으로부터는 절대한 협력을 해서 종래 15萬圓의 보조를 했던 것을 앞으로는 훨신 더 보조금을 느리어 皇國臣民敎育으로 재출발을 하도록 하였다. 이리하여 在滿 13萬學童의 교육시설과 방침은 전면적으로 개편될 것이며 今後에는 管理上 적지 않은 혁신이 있을 것이다.
다음으로 在滿 120萬同胞中에 60萬名의 無籍同胞의 就籍問題에 있어서도 諏訪外事部長의 발표와 같이 滿洲國民生部와 협의한 결과, 금년부터 90萬圓의 예산을 세워 가지고 3개년간에 전부 就籍시킬 방침이며, 于先 금년에 30萬圓을 드리여 準備調査를 하기로 하였다. 그런데, 조사에 필요한 비용만 보내는 것이 아니라 인원도 派遺하는데, 爲先 금년에는 30여명을 派遺하여 정식으로 就籍事務에 착수케 할 터이며, 물론 이 사업의 주관자는 總督府지만 滿洲國側에서도 적극적으로 후원을 하기로 되였으므로 원만히 진행될 것을 믿는다.(끝)<108>
<106-108>
