Magazine Title: 삼천리 제14호
Publication Date: 1931년 04월 01일
Article Title: 紙上映畵 (Movies on Paper)
Article Type: 문예기타 (Literary Miscellany)

Movies on Paper

William Tell (1)
Synopsis (Original by Schiller of Germany)

At a time when the populace of the entire land was gradually opening its eyes due to the tyranny and misrule in the three cantons of Switzerland, William Tell, a mountain goat hunter, rescued a shepherd named Samdol (三乭), whose life was in critical danger as he was being pursued by officials for killing the magistrate who tried to violate his wife, by taking a boat out onto the stormy sea. William Tell took Samdol to the house of his friend, Ulman (乙男), and hid him there. As for Ulman, his household goods had also been confiscated due to the magistrate, and encouraged by his wife, Ulman welcomed these two brave men. At this time, in the plaza before them, many people, old and young, men and women, were weeping under the harsh whips of the officials due to the construction of a prison.

Ulman and Samdol visited the house of Tell's father-in-law, Kim Yŏngjun (金永俊), where they discussed various aspects of the recent tyranny and pledged to lay down their lives for the justice and freedom of all Switzerland. Three nights after that, as a result of the busy efforts of these four men, representatives from the three Swiss cantons gathered on the field of Ori Pavilion (五里亭) and resolved to take up swords against the misrule and oppression. After the alliance was formed, William Tell intentionally arrived late at the scene. Because Tell was a man of action without words, his wife, worried about her husband Tell's safety in the inexplicably anxious atmosphere of the times, tried to prevent Tell from going out. However, Tell, acting as if completely unconcerned, went outside carrying his bow as usual, taking his son with him. In the main square of Ori Pavilion, the magistrate had stuck his hat on the end of a pole and ordered the populace to bow to the pole, in order to test the submission of the subjects. As Tell and his son tried to pass calmly before it, soldiers seized Tell and reported him to the patrolling magistrate. The magistrate ordered Tell to stand one hundred paces away, place an apple on his beloved son's head, and shoot it off. However, it was discovered that the second of the two arrows tucked in his belt was intended for the magistrate's chest <64>, and Tell was arrested on the spot.

It happened in the escort boat. As the lake grew very rough, the magistrate loosened the ropes binding Tell's body and ordered him to manage the sail, but Tell refused and immediately jumped into the water, saving his life. Tell killed the magistrate by the roadside. Then, beacon fires rose from mountain to mountain, bells rang everywhere, the prison was broken down, and the people regained the justice, freedom, and peace of old Switzerland. Tell, surrounded by many people, shouts loudly:
"I had believed that the strong man is strongest when he is alone, but I have learned that when the strong unite, they become even stronger." <60>

Joan of Arc (2)
Synopsis

Around 1428 in France, during the Hundred Years' War, having suffered continuous defeats against England, only the single castle of Orléans barely remained. National opinion seethed like boiling water, but it was just noise, as morale could not be roused at all. "Will France completely perish within this year or next, and will we become English subjects?" everyone merely sighed, and France's future was shrouded in gloomy black clouds.
At this time, as happens everywhere when a nation is about to fall, a prophet appeared and said, "The one who will save this France is a maiden dressed in soldier's clothes." Just then, in a village called Domrémy, there was a young girl named Joan of Arc. Having evacuated to a neighboring village because of the war, she heard the voice of an angel that night, who affirmed that God commanded her to save the country. Thus, she went forth to see King Charles VII.

In April 1429, a wondrous army detachment suddenly appeared and crushed the English army, which was surrounded tenfold and twentyfold. The commander was Joan of Arc. Joan of Arc wore iron armor, carried a military banner depicting the Holy Mother, and stood at the front line leading 3,000 soldiers under her command. "It's the virgin in soldier's clothes!" "It's the angel who appeared in the prophecy!" All the people of the country were greatly moved, morale soared, and they defeated and repulsed the English army. Now, the French army achieved a great victory.

Thus, Joan of Arc reached Reims, designated since ancient times as the sacred place for the King's coronation, guided the King, and after performing the grand ceremony, intended to immediately advance the army to Paris. However, because the King was cowardly and lost that opportunity, the tide of the war was reversed. Joan of Arc was captured by the English army and finally, in May 1431, met her end by being burned at the stake in the Rouen Market. <65>
<64-65, 60>

**Summary**

The article provides plot summaries for two European historical/legendary narratives presented as "Movies on Paper": Schiller's "William Tell," focusing on Tell's resistance against tyrannical Austrian rule in Switzerland culminating in liberation, and the story of Joan of Arc, detailing her rise as a national savior leading France against English invaders during the Hundred Years' War, her subsequent capture, and martyrdom. From a colonial Korean history perspective, the choice of these specific stories in 1931 is noteworthy. Both narratives highlight themes of resistance against foreign oppression (Tell vs. Austrian magistrate, Joan vs. English invaders) and national unity/liberation achieved through heroic struggle, potentially serving as veiled allegories or sources of inspiration for Koreans living under Japanese rule, subtly promoting national consciousness and the ideal of freedom despite censorship.

**Named Entities**

윌니암,텔	윌리암 텔	William Tell
돗때질하기를	돛대질하기를	To manage the sail/mast (older form?) -> 돛질하다
命令하엿스나	명령하였으나	Ordered, but (older spelling)
拒絶하고	거절하고	Refused
곳	곧	Immediately (older spelling)
뛰어들어	뛰어들어	Jumped in
목숨	목숨	Life
救하엿다	구하였다	Saved (older spelling)
죽이엇다	죽였다	Killed (older spelling)
烽火	봉화	Beacon fire
올느고	오르고	Rose, went up (older spelling)
각처에서	각처에서	From various places
종이 울니드니	종이 울리더니	As bells rang (older spelling)
감욱	감옥	Prison (older spelling)
바서지고	부서지고	Was broken down, destroyed (older spelling)
녯날과 가튼	옛날과 같은	Like the old days (older spelling)
平和	평화	Peace
어덧다	얻었다	Obtained, gained (older spelling)
웨 싸여	에워싸여	Surrounded
놉프게	높게	Highly, loudly (older spelling)
부르짓는다	부르짖는다	Shouts, cries out (older spelling)
强者	강자	Strong person
제혼자	제 혼자	By oneself (older spelling)
밋어 왓스나	믿어 왔으나	Had believed, but (older spelling)
團結하는	단결하는	Uniting, banding together
아럿다	알았다	Knew, realized (older spelling)
百年戰爭	백년전쟁	Hundred Years' War
當時	당시	At that time
連戰連敗	연전연패	Continuous battles and defeats
겨우	겨우	Barely, narrowly
한낫 뿐이	하나뿐이	Only one (older spelling)
國論	국론	National opinion, public discourse
물끌틋	물 끓듯	Like boiling water (older spelling)
沸騰하엿지만	비등하였지만	Boiled, seethed, but (older spelling)
소리뿐으로	소리뿐으로	Only noise/talk
士氣	사기	Morale
아조	아주	Completely, very (older spelling)
떨치지 못하여	떨치지 못하여	Could not be roused/mustered
今明年中에	금명년중에	Within this year or next year
亡하고	망하고	Perish, be ruined, fall
人民	인민	People (often used in socialist contexts later, but general term here)
되어버리나	되어 버리나	Will (we) become? (expressing concern)
모다	모두	All, everyone (older spelling)
嘆息할 뿐으로	탄식할 뿐으로	Only sighing
前途논	전도는	The future (is) (older topic marker 논 instead of 는)
暗澹한	암담한	Gloomy, bleak
거문 구름	검은 구름	Black cloud (older spelling)
잠기어 잇섯다	잠기어 있었다	Was submerged/shrouded in (older spelling)
어듸나다	어디나 다	Everywhere (older spelling)
豫言者	예언자	Prophet, seer
색시	색시	Young woman, maiden (can also mean bride, older nuance)
마츰	마침	Just then, coincidentally (older spelling)
村中	촌중	Village
少女	소녀	Young girl
避亂하여잇다가	피란하여 있다가	Having evacuated/taken refuge (older spelling)
天使	천사	Angel
上帝	상제	God (specifically the high deity/Lord of Heaven)
自己에게	자기에게	To oneself
命하여	명하여	Commanding
國土	국토	National territory, land
確言하엿다	확언하였다	Affirmed, declared firmly (older spelling)
國王	국왕	King
압페	앞에	Before, in front of (older spelling)
나아가 뵈엇다	나아가 뵈었다	Went forth and saw/met (humble form, older spelling)
奇妙한	기묘한	Strange, wondrous, marvelous
一軍	일군	An army, a military unit/detachment
돌연히	돌연히	Suddenly, unexpectedly
10重20重	십중이십중	Tenfold, twentyfold (idiomatic for heavily, multiple layers)
싼	싼	Surrounded
英軍	영군	British/English army
擊破하엿다	격파하였다	Defeated, crushed, routed (older spelling)
指揮者	지휘자	Commander
鐵甲	철갑	Iron armor
聖母	성모	Holy Mother (Virgin Mary)
그린	그린	Drawn, painted
軍旗	군기	Military banner, standard
手兵	수병	Soldiers under (one's) command
거느리고	거느리고	Leading, commanding (troops)
陳頭	진두	Front line of battle, vanguard
섯다	섰다	Stood (older spelling)
處女	처녀	Virgin, maiden
豫言	예언	Prophecy
國人	국인	People of the country, nationals
感激하여	감격하여	Moved, touched, deeply impressed
士氣大振	사기대진	Morale greatly boosted/roused
擊退한 것이다	격퇴한 것이다	(It is that they) defeated and repulsed
大勝利	대승리	Great victory
古來	고래	Since ancient times
卽位	즉위	Enthronement, accession to the throne
靈地	영지	Sacred place, hallowed ground
王	왕	King
引導하야	인도하여	Guiding, leading (older spelling)
大禮	대례	Grand ceremony, state ritual
擧行한 뒤	거행한 뒤	After performing/holding (a ceremony)
直時	즉시	Immediately, at once (less common spelling of 즉시)
進軍하려 하엿스나	진군하려 하였으나	Tried to advance the army, but (older spelling)
怯懦하여	겁나하여	Being cowardly/timid
機會	기회	Opportunity, chance
일엇든	잃었던	Lost (older spelling/form)
大勢	대세	General trend, tide (of battle, affairs)
逆轉되어	역전되어	Was reversed
英軍손에	영군 손에	Into the hands of the British army
잡히어	잡히어	Was caught, captured (older spelling)
끗끗내	끝끝내	Finally, in the end, ultimately (older spelling)
市場	시장	Market
火刑	화형	Execution by burning, burning at the stake
당하고 말엇다	당하고 말았다	Ended up suffering/undergoing (older spelling)


---------------------------


잡지명	삼천리 제14호
발행일	1931년 04월 01일
기사제목	紙上映畵
기사형태	문예기타

紙上映畵
윌니암,텔(1)
梗槪(原作 獨逸씰렐作)
瑞西三州에 暴政惡政이 잇기 때문에 全土의 大衆이 漸次 눈을 부릅뜨고 잇슬 때에 自己의 妻를 辱보이려고 한 그 代官을 죽인 까닭에 官吏에게 쫏기어서 生命이 危急하게 된 羊치기 사나히 三乭이를 風浪치는 한바다에서 배를 내어 救助하여준 산양꾼 윌니암텔은 그 三乭이를 自己親舊인 乙男의 집에 데려다 숨기어 주엇다. 乙男이로 말할 지라도 代官 때문에 집세간을 沒收당한 터이라 妻에 激勵되어 乙男이는 이 勇敢한 두 사나히를 마저 드리엇다. 이 때에 그압 廣場에는 監獄建築 때문에 老少男女 多數가 官吏들의 苛酷한 채죽에 울고 잇섯다.

「텔」의 가시아버이되는 金永俊의 집에 乙男이와 三乭이가 차저와서 거기에서 요지간의 暴政의 여러 가지를 서로 이약이하고 여기서 瑞西全土의 正義와 自由 때문에 身命을 내노코 일할 것을 盟誓한다. 그 뒤부터 사흘되는 날 밤에 이 네 사람이 奔走히 애쓴 結果 瑞西三州의 代表者가 5里亭벌판에 모히여 惡政과 壓制에 대하야 칼을 잡고 이러날 것을 決議한다. 決盟이 잇슨 뒤 「윌리암 텔」은 일부러 느저서 現場에 달려왓다. 텔은 不言實行하는 者이기 까닭에 무엇이라 할 수 업시 不安한 世上의 空氣에 남편 텔의 身邊을 근심하여 그 안해는 텔의 外出을 막엇스나 텔은 조곰도 상관업다는드시 여너 때와 가티 활을 메고 제아들를 다리고 밧그로 나갓다. 5里亭 큰 마당에는 代官이 장대기 끗헤 帽子를 꼿고 民衆에게 그 장때기에 敬禮하라고 하엿다. 領民의 歸順을 試驗하기 위함이다. 「텔」父子는 泰然히 그압를 지나가려하니까 兵丁은 텔을 붓잡어 巡回의 代官에게 告發하엿다. 代官은 텔에게 百步를 떠나서 愛兒의 頭上에 林檎을 노코 마처 떨구라고 하엿스나 허리에 찬 두 개의 화살은 代官의 가슴을＜64＞ 쏠 것이 發覺되어 텔은 그 現場에서 捕縛을 당한다.

護送하는 배가운데의 일이다. 湖水는 크게 거침으로 代官은 텔의 몸에 둘닌 捕縛의 노끈을 느추고 돗때질하기를 命令하엿스나 텔은 拒絶하고 곳 물속에 뛰어들어 목숨을 救하엿다. 텔은 代官을 길가에서 죽이엇다. 그러자 山과 山에 烽火가 올느고 각처에서 종이 울니드니 감욱은 바서지고 사람들은 녯날과 가튼 瑞西의 正義와 自由와 平和를 어덧다. 텔은 여러사람들에게 웨 싸여 놉프게 부르짓는다.
「强者는 제혼자 잇슬 때가 제일 强하다고 밋어 왓스나 强한 者가 團結하는 때는 더욱 强하게 되는 것을 아럿다」＜60＞

짠딱-크(2)
梗槪
1428년경의 佛蘭西로 말하면 百年戰爭 當時로 英國과 싸와서 連戰連敗하여 겨우 남은 것이 「오투레안」城 한낫 뿐이 되엇다. 國論은 물끌틋 沸騰하엿지만 그것은 그저 소리뿐으로 士氣는 아조 떨치지 못하여 「今明年中에 佛蘭西는 아조 亡하고 우리들은 英吉利人民이 되어버리나」하면서 모다 嘆息할 뿐으로 佛蘭西의 前途논 暗澹한 거문 구름에 잠기어 잇섯다.
이 때에 나라가 亡할 때에는 어듸나다 잇는 일이지만 豫言者가 나타나서 「이 佛蘭西를 救할 者는 兵丁의 옷을 입은 색시다」라고 말하엿다. 그러자 마츰 「돔루미-」라는 村中에 「짠 딱-크」라는 少女가 잇서 戰爭 때문에 그 이웃 洞里에 避亂하여잇다가 그날밤에 天使의 소리를 듯고 上帝가 自己에게 命하여 國土를 救하라」고 確言하엿다. 이리하야 國王「샤룰」 7世의 압페 나아가 뵈엇다.

1429년 4월에 奇妙한 一軍이 돌연히 나타나서 10重20重으로 싼 英軍을 擊破하엿다. 그 指揮者는 짠딱크엇다. 짠딱-크는 鐵甲을 입고 聖母를 그린 軍旗를 들고서 3千의 手兵을 거느리고 陳頭에 섯다. 「兵丁옷을 입은 處女다!」 「豫言에 나타낫든 天使다」하고 모든 國人들은 크게 感激하여 士氣大振하야 英軍을 擊退한 것이다. 이제는 佛蘭西軍이 大勝利를 하엿다.

이리하야 짠딱-크는 古來로 國王卽位의 靈地로 정하여 잇는 「란스府」에 이르러 王을 引導하야 大禮를 擧行한 뒤 直時 「巴里」로 進軍하려 하엿스나 王이 怯懦하여 그만 그 機會를 일엇든 까닭에 戰爭의 大勢는 逆轉되어 짠딱-크는 英軍손에 잡히어 1431년 5월 끗끗내 「루안市場」에서 火刑을 당하고 말엇다.＜65＞
＜64-65, 60＞
