잡지명	삼천리 제14호
발행일	1931년 04월 01일
기사제목	失意의 人 胡漢民 會見記 (An Account of Meeting Hu Hanmin, a Man in Disappointment)
필자	朱耀翰
기사형태	소식 (News/Report)

失意의 人 胡漢民 會見記
						朱耀翰

Mr. Hu Hanmin (胡漢民), at first glance, gave the impression of being nervous and having a frail constitution (蒲柳의 質). His appearance suggested a clear mind (明晢한 頭腦) rather than a grand capacity for embrace (雄大한 抱擁力), and a philosopher's integrity (思想家的 節操) rather than political maneuvering.

That was already three years ago, on an autumn evening in October 1928. At the Central Party Headquarters (中央黨部) in Tingchiach'iao (丁家橋), Nanjing (南京), in the rest area of the Central Committee room (中央委員會室), this reporter met with the then-President of the Legislative Yuan (立法院長) and member of the Kuomintang Central Standing Executive Committee (國民黨中央常務執行委員).

About ten days before that, I had the opportunity to observe Mr. Hu's speech in the grand conference hall of the same Central Party Headquarters. I recall it was during the Sun Yat-sen (孫文) memorial ceremony held every Monday morning. The roughly 300 young men and women present in the grand conference hall were all staff working at the Central Party Headquarters. Guided by Mr. Ŏm (嚴君), the Nanjing special correspondent for the Min'guk Ilbo (民國日報), I passed through a corridor lined with chrysanthemum pots and entered the conference hall, just as a lean scholar dressed in Chinese attire was giving a speech. Without needing to ask, I could tell it was Mr. Hu Hanmin, familiar from photographs. Wearing strong nearsighted glasses and holding several sheets of printed material rolled up in his hand, he occasionally tapped the table with them while unfolding his arguments earnestly, albeit in a low voice. His accent, being low-pitched and lacking volume, was further mixed with a strong Cantonese accent (廣東音), making it difficult to understand clearly. The audience, however, seemed to listen very intently, without even a single cough.

"To overthrow the local tyrants and evil gentry (土豪劣紳), we must first reform the economic structure they are based on. To eliminate the comprador class (買辨階級), we must first destroy the imperialism (帝國主義) that forms their background."

This was the gist of his speech. He was theoretically refuting the excessively radical resolution of the Jiangsu Provincial Party Branch (江蘇省黨部). Occasionally unfolding the Jiangsu Provincial Party Branch resolution he held in his hand, sometimes quoting from it, he refuted it down to the minutest detail. He seemed to find his greatest satisfaction in the world of theory. That he ultimately stuck to theory, even to the point of incurring the wrath of Generalissimo Chiang (蔣總司令), must be said to be his true nature. <46>

After that, I tried to meet Mr. Hu, sending letters and presenting letters of introduction, but couldn't get the chance. Then, on this day, knowing it was his designated day for receiving visitors, I went hoping for a chance and sent in my name card, only to receive the reply that he had gone out.

Greatly disappointed, but having no other choice, I decided to meet one of the scheduled individuals, Secretary Chin (陳君) of the Overseas Department (海外部). Mr. Chin kindly answered my questions and finally even gave me a tour of the Party Headquarters. The tour didn't reveal much beyond rooms labeled "Organization Department" (組織部), "Propaganda Department" (宣傳部), "Planning Committee" (設計委員), etc., and the tables and chairs inside. However, the Central Committee Meeting Room (中央委員會議室), located a little distance away, did attract interest.

As is customary, on the front wall above the lectern hung a portrait and the last testament of Sun Yat-sen (中山). The committee members' seats consisted of Chinese-style chairs and tables arranged for two people to sit side-by-side, with an ink brush and inkstone placed on each desk.

There were several rooms attached to the meeting hall where portraits of the Central Executive Committee members (中央執行委員) and Control Yuan members (監察委員) were hung.

Mr. Chin suddenly said,
"It seems Mr. Hu Hanmin has returned. Would you like to see him?"
"Yes! Please arrange for me to see him."

This was truly unexpected good news. Thinking I might get an unexpected gain, I eagerly attached myself to him.

Mr. Chin went in and came back out, telling me to wait for 30 minutes.

Thus, I unexpectedly got to meet Mr. Hu, whom I had given up on seeing. I think that if one becomes a newspaper reporter, giving up on anything should be forbidden. Of course, this applies not just to newspaper reporters—.

At this time, I remember Hu Hanmin was already over 50, but without a beard and with black hair, he looked no older than his 30s.

"What is the reason for the success of the Chinese Revolution?"
I asked.

"It is the awakening of the nation (民族). The revolution failed during the Xinhai (辛亥) period because there was no national awakening."
His voice, being southern, was clear, and his phrases were distinctly articulated. He recounted the history of the Chinese people's struggle since the Paris Peace Conference (巴里講和會), passionately explaining that revolution requires the awakening of the masses (民衆). When asked one thing, he would answer with ten or a hundred points. The character of a theorist was vividly apparent.

"Does China have any intention of waging war with foreign countries in the near future?"
I tried asking what I thought was a sharp question.

"I am neither a military specialist nor a foreign affairs specialist, so I cannot know."
Politicians must know how to tell lies. Even an honest gentleman like Mr. Hu could not help but lie when facing a newspaper reporter.

"Please tell me your thoughts on the Korean Question (朝鮮問題)."

"There's no use in just stating thoughts. We must seek a method (辨法), but right now, there is no method."
It was an increasingly evasive tactic. Is being a politician this difficult? I would rather meet the Mr. Hu Hanmin who was living as a rōnin in Shanghai (上海).

We talked for about 30 minutes [Translator Note: original text says 3분 or 3 minutes, but the previous narrative suggests a longer wait and discussion. 30 minutes seems more likely contextually, but the text literally says 3]. Not being able to stay too long, I requested his calligraphy.

不易斯志 (Do not change this resolve/will)

These two characters, written in fine-lined Seal Script (篆書體), seemed to perfectly match <47> his appearance.

I captured his profile in my camera as he sat writing the calligraphy and took my leave.
Shaking his hand felt like holding a woman's hand. However, the starlike glint in his eyes behind the nearsighted glasses and his broad, receding forehead seemed to reveal his rigid integrity (剛直性).

The upright polemicist, Mr. Hu Hanmin, is like a tall tree (喬木). Tall trees are easily felled by strong winds.
Hu Hanmin, reciting poetry in his sickbed filled with indignation. I cannot help but think now that this is even closer to Mr. Hu's true face. <46-47, 36>

**Summary**

This 1931 article by Korean intellectual Chu Yohan recounts his meeting with prominent Kuomintang leader Hu Hanmin in Nanjing in October 1928. Chu describes Hu as an intellectual theorist, nervous yet principled, contrasting his theoretical focus during a speech and their later interview with the practicalities of politics. Despite Hu's evasiveness on sensitive topics like potential war and the Korean question, Chu obtained his calligraphy and a lasting impression of his character. The article frames the 1928 encounter through the lens of Hu's political "disappointment" (失意) in 1931, likely referring to his house arrest by Chiang Kai-shek, suggesting his rigid adherence to principle led to his downfall, like a tall tree broken by the wind. From a Korean colonial history perspective, the article is interesting as it shows a prominent Korean intellectual engaging directly with top Chinese leadership during a crucial period. Chu's direct question about the "Korean Question" and Hu's non-committal response reflect the difficult position of Korean activists seeking support abroad and the complex geopolitical realities faced by China itself.

**Named Entities**

胡漢民	호한민	Ho Hanmin
달려부텃다	달려붙었다	Clung to, attached oneself eagerly (older spelling)
斷念	단념	Giving up, abandoning hope
偶然	우연	By chance, accidentally
新聞記者	신문기자	Newspaper reporter
禁物	금물	Forbidden thing
何必	하필	Why necessarily, of all things
뿐이리오	뿐이리오	Is it only...? (rhetorical)
마는	마는	But, however (older form)
기억	기억	Memory
수염	수염	Beard, mustache
깜애서	까매서	Being black (older spelling)
줄로박에	줄로밖에	Only as... decade (age) (older spelling)
뵈엇다	보였다	Appeared, looked (older spelling)
革命	혁명	Revolution
成功	성공	Success
原因	원인	Cause, reason
民族	민족	Nation, people, ethnic group
覺醒	각성	Awakening
辛亥	신해	Xinhai (year 1911, referring to the Xinhai Revolution)
失敗	실패	Failure
音聲	음성	Voice
南方的	남방적	Southern
만치	만치	As much as, like (older form of 만큼)
句節	구절	Phrase, passage
똑똑	똑똑	Clearly, distinctly
떠러진다	떨어진다	Falls, is articulated (older spelling)
巴里講和會	파리강화회	Paris Peace Conference
以來	이래	Since
民衆	민중	The masses, populace
奮鬪史	분투사	History of struggle
되푸리하야	되풀이하여	Repeating (older spelling)
說明	설명	Explanation
마듸	마디	Word, point, joint
대답	대답	Answer, reply
面目	면목	Face, character, dignity
躍如	약여	Vividly apparent
가까운	가까운	Near, close
將來	장래	Future
外國	외국	Foreign country
戰爭	전쟁	War
用意	용의	Intention, readiness
質問	질문	Question
해보앗다	해보았다	Tried doing (older spelling)
軍事專門家	군사전문가	Military specialist
外交專門家	외교전문가	Diplomacy specialist
알 수 업소	알 수 없소	Cannot know (older polite speech ending)
거짓말	거짓말	Lie, falsehood
正直	정직	Honesty
朝鮮問題	조선문제	The Korean Question/Problem
感想	감상	Thoughts, impressions, sentiments
所用	소용	Use, utility
辨法	변법	Method, way (older term, often means 'solution' or 'way to manage')
講求	강구	To seek, devise, consider
업구려	없구려	There is not (older exclamatory ending)
愈出愈寄	유출유기	(Appears to be a typo or rare phrase, possibly meaning) Increasingly evasive/strange. [Could be 愈出愈奇 - the more it comes out, the stranger it gets?]
逃避法	도피법	Method of escape/evasion
괴로운	괴로운	Painful, difficult, agonizing
차라리	차라리	Rather, preferably
浪人生活	낭인생활	Life as a rōnin (masterless person, drifter)
십다	싶다	Want to (older spelling)
會談	회담	Talks, meeting
오래	오래	For a long time
잇슬	있을	To be (older spelling)
筆蹟	필적	Handwriting sample, calligraphy
不易斯志	불역사지	Do not change this resolve/will (Classical Chinese phrase)
兩句	양구	Two phrases/lines
細劃	세획	Fine strokes (in calligraphy)
篆書體	전서체	Seal Script style (calligraphy)
風采	풍채	Appearance, bearing, demeanor
맛는	맞는	Fitting, matching (older spelling)
갓햇다	듯했다/같았다	Seemed like (older spelling)
안젓는	앉은	Sitting (older spelling)
프로필	프로필	Profile (loanword)
너어가지고	넣어가지고	Putting into (older spelling)
辭	사	To take leave, resign
握手	악수	Handshake
女子	여자	Woman
明星	명성	Bright star (Venus), refers to brightness/sharpness
眼光	안광	Glance, glint in the eyes
활닥 버서진	활딱 벗어진	Widely receding (hairline) (older spelling)
이마	이마	Forehead
剛直性	강직성	Integrity, uprightness, rigidity
나타내는	나타내는	Showing, revealing
論客	논객	Polemicist, skilled debater
喬木	교목	Tall tree (often symbolic of a prominent, unbending person)
大風	대풍	Strong wind
너머지기가	넘어지기가	To fall over (older spelling)
쉽다	쉽다	Easy
憤滿	분만	Indignation, resentment
病舍	병사	Sickbed, hospital ward
詩	시	Poetry
을프는	읊는	Reciting (older spelling)
一層	일층	More, further
가깝다는	가깝다는	Being close (to)
생각	생각	Thought, idea
禁할래야 禁할 수가 업다	금할래야 금할 수가 없다	Cannot possibly restrain/forbid (emphatic denial)


---------------------------


잡지명	삼천리 제14호
발행일	1931년 04월 01일
기사제목	失意의 人 胡漢民 會見記
필자	朱耀翰
기사형태	소식

失意의 人 胡漢民 會見記
						朱耀翰
胡漢民君은 一見에 神經質이요 蒲柳의 質인 것이 印象되엇다. 雄大한 抱擁力보다도 明晢한 頭腦를, 政治家的 手段보다도 思想家的 節操를 생각케하는 人相이엇다.
그것은 벌서 3년이 되는 1928년 秋10월 어느날 夕陽의 일이엇다. 南京丁家橋中央黨部, 中央委員會室, 休憩室에서 記者는 當時의 立法院長兼 國民黨中央常務執行委員을 會見하엿다.
그보다 약 1旬 日前 갓혼 中央黨部의 大會議室에서 胡氏의 演說을 傍聽한 일이 잇섯다. 每月曜日午前마다 開催되는 孫文紀念式 席上이라고 記憶된다. 大會議室에 出席한 300여명의 男女靑年은 全部가 中央黨部에서 일보는 職員들이엇다. 나는 民國日報 南京特派員 嚴君의 指導로 菊花盆을 羅列한 복도를 지나 會議室에 드러서니까 막츰 中國服色을 한 여윈 선비가 演說을 하는 중이엇다. 그 것은 뭇지도 안코 寫眞으로 親한 胡漢民君인 것을 알 수가 잇섯다. 强度近視眼鏡을 끼고 손에는 數張의 印刷物을 말아쥐고 그것으로 때때로 테불을 두드리면서 低聲으로 그러나 熱心으로 理論을 展開하고 잇섯다. 그의 口音은 高聲이나 音量이 적은 데다가 廣東音이 만히 석이어 잘 알아듯기가 어려웟다. 聽衆은 기침 하나 하는 사람이 업시 아조 熱心으로 듯는 모양이엇다.
「土豪劣紳울 打倒하려면 먼저 그 根據하는 經濟組織을 改革치 안흐면 안된다. 買辨階級을 撲殺하려면 먼저 그 背景인 帝國主義를 깨트려야 된다」
이런 뜻의 演說이엇다. 너무 急進的인 江蘇省黨部의 決議書를 理論的으로 反駁하는 것이엇다. 그는 손에 든 江蘇省黨部決議書를 가끔 펄처보면서 때로는 그중에서 引用하면서 細微한 點까지 이를 論駁하엿다. 그는 理論의 世界에서 가장 滿足한 自己를 發見하는 것이엇다. 마츰내 理論에 固執하야 蔣總司令의 憤激을 사기까지 한 것은 原來 그의 眞面目이라고 할 밧게 업다.＜46＞
그후에 나는 胡氏를 만나랴고 편지도 띄우고 紹介狀도 드려 보냇스나 機會를 엇지모햇섯다. 그러다가 이날이 그의 面會日임으로 행여나하고 차저와서 名函을 드려보내니까 어디 出入햇다는 回答이다.
落望千萬이나 不得已한지라 豫定의 한사람인 海外部幹事 陳君을 만나기로 햇다. 陳君은 가장 親切히 나의 무름을 아르켜주고 마즈막에는 黨部內의 구경까지 시켜주엇다. 구경이라야 「組織部」 「宣傳部」 「設計委員」들等等의 門牌부친 房과 그 內部의 테불椅子밝게 별 것이 업섯고 좀 떠러저잇는 中央委員會議室만은 興味를 끌게 하는 것이엇다.
例에 의하야 講臺正面에는 中山의 遺像과 遺囑이 잇고 委員의 席은 中國式 椅子卓子로 二人이 並座하게 되엇고 床우에는 毛筆과 墨硯이 하나씩 노여잇엇다.
會室에 달닌 방이 수개잇는데 거기는 中央執行委員과 監察委員의 초상들이 걸려잇엇다.
陳君이 突然 말하기를
「지금 胡漢民先生이 도라온 모양이니 만나볼 생각이 업느냐」
「암! 꼭 좀 보게 해주시오」
이야말로 뜻하지 아는 조흔 消息이다. 意外의 收獲이 생기겟고나 하고 밧삭 달려부텃다.
陳君이 들어갓다 나오더니 30분만 기다리라고 한다.
이리하야 斷念햇는 胡先生을 偶然히 보게된 것이엇다. 新聞記者가 되거든 무슨 일이든지 斷念은 禁物이라고 생각한다. 그거야 何必 신문긔자 뿐이리오 마는 - .
이 때의 胡漢民은 이미 50을 넘엇다고 記憶되는데 수염도 업고 머리도 깜애서 30줄로박에 안뵈엇다.
「中國革命成功의 原因이 무엇입니까」
나는 물엇다.
「民族의 覺醒이오. 辛亥 때에는 民族의 覺醒이 업서 失敗햇지오」
그의 音聲은 南方的 이니 만치 明晢하고 句節이 똑똑 떠러진다. 그는 巴里講和會以來의 中國民衆의 奮鬪史를 되푸리하야 革命이란 것은 民衆의 覺醒이 잇서야 된다는 것을 熱心으로 說明한다. 한마듸를 물으면 열마듸 백마듸를 대답한다. 理論家의 面目이 躍如하다.
「中國은 가까운 將來에 外國과 戰爭올 할 用意가 업는가」
내딴은 따끔한 質問이라고 해보앗다.
「나는 軍事專門家도 아니요 外交專門家도 아니니 알 수 업소」
政治家란 거짓말을 할줄 알아야 되는 것이다. 胡氏와 가튼 正直한 양반도 新聞記者를 대해서는 거짓말을 아니할 수 업는 것이다.
「朝鮮問題에 대하야 感想을 말슴해주십시오」
「感想은 말해서 所用이 업지요. 오직 辨法을 講求해야 되겟는데 지금은 辨法이 업구려」
愈出愈寄의 逃避法이다. 政治家되기가 이러케 괴로운 것이냐. 차라리 上海에서 浪人生活하든 그 胡漢民君을 만나고 십다.
우리는 약 3分間 會談을 하엿다. 너무 오래 잇슬 수 업서 筆蹟을 求하얏다.
不易斯志
의 兩句, 細劃의 篆書體는 그의 風采와 꼭＜47＞ 들어맛는 것 갓햇다.
나는 글시쓰고 안젓는 그의 「프로필」을 카메라에 너어가지고 辭하얏다.
氏의 握手는 女子의 손을 잡는 感이 잇섯다. 그러나 近視眼鏡속에 明星가튼 眼光과 활닥 버서진 이마는 그의 剛直性을 나타내는 것 갓다.
剛直한 論客, 胡漢民君은 喬木과 가튼 사람이다. 喬木은 大風에 너머지기가 쉽다.
憤滿을 품고 病舍에서 詩를 을프는 胡漢民. 나는 그 것이 一層 胡氏의 眞面目에 가깝다는 생각을 지금 禁할래야 禁할 수가 업다. ＜46-47, 36＞
