잡지명	삼천리 제8권 제8호
발행일	1936년 08월 01일
기사제목	京城 各 女學校 校服評, 實用과 美觀을 主로 (Review of School Uniforms at Various Girls' Schools in Keijō, Focusing on Practicality and Aesthetics)
필자	李淑鍾
기사형태	논설 (Editorial/Essay)

京城 各 女學校 校服評, 實用과 美觀을 主로
						李淑鍾

Whenever I had the chance, I wanted to review the uniforms of various girls' schools, either verbally or in writing. Now, having received a request to write a manuscript about school uniforms, I will write briefly, but I regret not being able to write more elaborately due to lack of time.

To put it simply, the fact that various girls' schools in the city now adopt Western clothing or styles similar to Western clothing for their uniforms is good from a practical standpoint. However, from an aesthetic perspective, it seems much better to wear traditional Chosŏn clothing like the school uniforms of the past. If the style and color of the old school uniforms were slightly modified, perhaps the flavor of this land would flow through them, and the beautiful figures of the young women would shine even brighter. I will now briefly discuss each school below.

Kŭnhwa Girls' Vocational School (槿花女子實業學校)
＜178＞

Watching the hems of the skirts of Kŭnhwa Girls' School students flutter in the wind as they come and go at the wide Anguk-tong intersection, one could realize how elegantly suited the uniforms were to these angelic figures. Both the winter and summer uniforms were practical in their style and color, and also gave a light, cheerful impression aesthetically. In particular, the winter upper garment (저구리) adopted the color of the leaves and branches (枝葉色) of the Rose of Sharon flower; its beauty (美哉함) and brightness were unsurpassed.

Tongdŏk Girls' Higher Common School (同德女子高等普通學校)

The characteristic feature is that the entire uniform is jet black. At first glance, it might seem too simple and thus less appealing, but upon deeper reflection, rather than mixing gaudy, variegated colors to give people a flashy and complicated impression, it is better to be simple and modest even from an aesthetic point of view. And the shade of black, which doesn't appear too dark, is very practical. However, regarding the upper garment (상의), it would seem better if the length (長) were made short (短), similar to the length of the *gori* (고리 - chest ribbon/tie).

Sungmyŏng Girls' Higher Common School (淑明女子高等普通學校)

Whenever I encounter students from this school, I am reminded of the purple uniforms from 15 years ago that for a while drew particular attention on the streets of Changan (Keijō). The sailor uniforms (쎄라복) they wear now project a bright and innocent figure, but it seemed they would have been even more cheerful if the skirts (쓰카트) were made a bit shorter. This might hurt the feelings of the school authorities, but I earnestly hope for the day when the old purple uniforms return. And one more thing to add: seeing the students of this school wearing hats now, it looks fine on the younger ones, but on the older ones, it gives a somewhat unbecoming (승거운) impression. While it might be beneficial for hygiene in times like summer, aesthetically it is absolutely "zero."

Keijō Girls' Higher Common School (京城女子高等普通學校)
＜179＞

This school's uniform gives a calm impression overall. It is infinitely good both practically and aesthetically. The *chŏgori* (저고리) having a yellowish background with vertical stripes is very good. However, one regrettable point is that if the sweater (스에타) had been just a little more stylish (스마-트한), this uniform would likely have stood out more distinctively than any other school's.

Girls' Commercial School (女子商業學校)

As the saying goes, "a single red dot in a mass of green" (만록총중일점홍 - 萬綠叢中一點紅), this school is "a single blue dot" (일점청 - 一點靑). Among the various secondary girls' schools in the city, there is no uniform that attracts the public gaze like this school's. It gives a fresh impression in every way. In terms of style too, there is nothing much to criticize. However, the overly short length of the upper garment (*ut chŏgori* - 웃 저구리) creates a somewhat unnatural feeling.
From a practical standpoint, it is also impeccable.

Ihwa Girls' Higher Common School (梨花女子高等普通學校)

The characteristic of this school's uniform is that it is not Western attire (양장). As it is Chosŏn attire (朝鮮옷), it has a Chosŏn flavor (朝鮮맛). And regarding color, they chose a less-dark shade, which I think would be practical, but since it requires frequent washing, and frequent washing leads to easy wear and tear, it is not economical. To state it plainly and directly, aesthetically it is flawless, but I wonder about its practicality.

Chŏngsin Girls' School (貞信女學校)

Aesthetically, the purple color on top is bright, and its combination with the skirt (초마) is good. Practically, it also seems acceptable (무관할 듯 하다). However, I think it might be possible to discard the previous style and color entirely and adopt better colors and a sturdier fabric than before.

Paehwa Girls' Higher Common School (培花女子高等普通學校)

This school's uniform has no particularly outstanding points, but at the same time, there's nothing particularly blameworthy. Simply put, both the color and the fabric are plain (수수하다). Looking at the students of this school, they just appear somewhat demure, but the lack of cheerfulness seems greatly related to the uniform. As an outsider (권외자), throwing out such words might seem inappropriate, but I wonder how it would be to completely change the style and color in the future.

Chinmyŏng Girls' Higher Common School (進明女子高等普通學校)

The pure white *chŏgori* (저구리) and the jet-black skirt hem (초마자락) adorned with two white stripes (힌줄) appear the most bright and cheerful among the uniforms featuring Chosŏn attire (朝鮮옷). In terms of style, wearing the skirt (초마) rather long creates a demure and innocent feeling. It seems there might have been some students at this school who wore Western clothes (양복); perhaps the Western clothes option would have been better than the Chosŏn clothes option.＜180＞
＜178-180＞

**Summary**

The author, Yi Suk-chong, reviews the uniforms of nine girls' schools in Keijō (colonial Seoul) in 1936, evaluating them based on practicality and aesthetics. She generally finds Western-style or modified uniforms more practical but expresses nostalgia for the beauty of traditional Korean clothing (Chosŏnot), suggesting modifications could retain Korean aesthetics. She offers specific critiques for each school, discussing colors (like Kŭnhwa's "leaf color," Tongdŏk's black, Chŏngsin's purple, Chinmyŏng's white/black), styles (sailor suits, skirt lengths, stripes), fabrics, and accessories (like Sungmyŏng's hats). The article provides a valuable snapshot for historians, reflecting the tensions between tradition (Chosŏnot) and modernity/Westernization (Yangbok) in colonial Korean society, particularly concerning female education and appearance. The detailed descriptions of specific school uniforms offer concrete insights into fashion, social norms, and institutional identity during that period.

**Named Entities**

李淑鍾	이숙종	Yi Suk-chong
권외자	권외자	Outsider, person outside the circle
갓흐나	같으나	Although it seems (older spelling)
압흐로	앞으로	In the future (older spelling)
곳치면	고치면	If it is changed/fixed (older spelling)
샛하얀	새하얀	Pure white (older spelling)
초마자락	치마 자락	Hem of a skirt
힌줄	흰 줄	White line/stripe
처 입은	쳐 입은	Wearing (something added, like stripes)
보오와	보아	Seeing, considering (older spelling variation)
점잔코	점잖고	Demure and (older spelling)
잇든 것 갓흔 바	있던 것 같은 바	As it seems there were (older spelling)
양복편	양복 편	The Western clothes side/option
朝鮮옷편	조선옷 편	The Chosŏn clothes side/option
나흘 것 갓다	나을 것 같다	Seems like it would be better (older spelling)


---------------------------


잡지명	삼천리 제8권 제8호
발행일	1936년 08월 01일
기사제목	京城 各 女學校 校服評, 實用과 美觀을 主로
필자	李淑鍾
기사형태	논설

京城 各 女學校 校服評, 實用과 美觀을 主로
						李淑鍾
언제나 긔회잇스면 각 여교 교복에 대한 것올 입으로나 붓으로 한번 평해 보고저 하든 차에 이번 교복에 대한 원고를 써달나는 붓탁이 잇기로 간단하게 쓰기는 하나, 시간의 여유가 업서서 좀 자서하게 못쓰는 것을 유감으로 생각한다.
간단하게 한마듸로 말한다면 지금 시내 각 여학교에서 양복이나 또는 양복에 유사하게 체재를 만들어 입는 바, 이것은 실용상으로 보아 잘된 것인줄 안다. 그러나 미관상으로는 재래의 교복처럼 朝鮮옷을 입는 것이 훨신 나을 것 갓다. 옛날 교복 체재와 색갈을 조곰만 변하엿스면 가장 거기는 이땅 사람의 맛이 흐르고 처녀들의 아름다운 자태가 한결 빗나지 안흘가 한다. 이제 아래다 간단 간단히 이약이하여 보겠다.

槿花女子實業學校
＜178＞

넓으나 넓은 안국동 네거리로 오고가는 근화여학교 학생들의 스카트 자락이 바람에 휘날이는 것을 바라 볼 때 천사갓흔 그들의게 점잔케 잘 아울임을 깨달을 수 잇섯다. 동복이나 하복이 모다 그 체재와 색채가 실용적이엇고 또한 미관상으로 보와 경쾌한 감을 준다. 특히 동복 웃저구리는 무궁화꼿 枝葉色을 취하엿스니 그 美哉함과 그 명랑함은 더 일을데 업다.

同德女子高等普通學校

의복전체를 샛카만 색갈만 취한 것이 특색이다. 엊지 생각하면 너무 단순한 맛이 잇서 덜 조흔 듯 하나 더 깁히 생각하면 울긋불긋한 잡색을 석거서 뭇 사람들의게 화려하고 번잡한 듯한 감을 주려고 주기보다는 차라리 미관상으로도 수하수게 된 것이 좃타. 그리고 덜 검어 보이는 검은 빗은 가장 실용적이다. 그러나 그 상의에 있서 長을短 동일히 하여저 고리에 비등한 기리로 하면 더욱 조흘 뜻 하다.

淑明女子高等普通學校
이 학교 학생들을 대할 때마다, 한동안 長安 거리에서 이채를 가젓든 15년전 자줏빗 교복을 그리게 된다. 지금 입고 단이는 쎄라복은 명랑 순진한 체형이나 쓰카트를 더 좀 짤게 하엿든들 더욱 경쾌할 듯 하엿다. 이 학교 당국자들의 긔분을 상케할 말 일넌지 몰으나, 옛날 자주색 교복, 입든 날이 다시금 돌아오기를 그윽히 바라는 바이다. 그리고 한마듸 더 첨부할 것은 이 학교 학생들이 지금 모자를 쓰고 단이는 것을 보면 나어린 사람은 조케 보이나 만흔 사람은 좀 승거운 듯한 감이 잇다. 여름갓흔 때 위생상으로 도움이 잇슬 지 몰으나 미관상으로는 아주 「제로」이다.

京城女子高等普通學校
＜179＞

이 학교 교복은 전체으로 보와 조용한 감상을 준다. 실용적으로나 외관상으로나 무한히 좃타. 저고리를 누런 밧탕으로 하고 줄이 길이로 쪽쪽 깃친 것은 대단히 좃다. 그러나 한가지 유감되는 것은 스에타에 조곰만 스마-트한 것이 잇섯든들 어느 학교 교복보다도 이채를 떨처슬 것´다.

女子商業學校
「만록총중일점홈」이라드니 이 학교는 일점청이다. 시내 각 중둥여학교 가운대 이 학교 교복처럼 만인의 시선을 끄으는 교복은 업다. 어대까지든지 청신한 맛이 든다. 체재로아도보 그러케 남울일데 업다. 그러나 웃 저구리 기리가 너무 짤은 것이 좀 부자연스러운 감을 자아낸다.
실용으로 보아 또한 손색이 업다.

梨花女子高等普通學校
이 학교 교복은 양장 안인 것이 특색이다. 朝鮮옷인 것만큼 朝鮮맛이 든다. 그리고 색채에 잇서서는 덜검은 빗을 택하엿스니 실용적이 되리고 생각하나, 자주 세탁하지 안을 수 업고 또한 자주 세탁하게 됨에 따라, 쉽게 해여 질 것인만큼 경제는 되지 못한다. 간단하게 단도직입적으로 평한다면 미관상으로 보와서는 하등 손색이 업스나 실용상으로 보아서 좀 엇덜가 한다.

貞信女學校
미관상으로 보아 우에 보라색이 명랑하고, 초마에 조합되는 것이 좃타. 실용상으로 보아 또한 무관할 듯 하다. 그러나 체재나 색갈을 전부 종내의 것을 버리고 전보다 나은 빗갈로 하고 밧탕도 좀 튼튼한 것으로 할 수도 잇스리라고 생각한다.

培花女子高等普通學校
이 학교 교복은 특수하게 빼나는 점이 업는 동시에 또한 특수하게 남우랄데도 업다. 쉽게 말하면 색깔이나 밧탕이 모다 수수하다. 이 학교 학생들을 바라보면 그저 좀 전잠케는 뵈이나 그럿케 명랑성이 업서 보임은 교복에 관게가 만흔 줄 안다. 권외자로서 이런 말을 던지는 것은 좀 부당한 일 갓흐나 압흐로 체재나 색갈을 전부 곳치면 엇덜가 한다.

進明女子高等普通學校
샛하얀 저구리와 새까만 초마자락에 힌줄  두 줄을 처 입은 것이 朝鮮옷 입은 교복 중에서는 가장 명랑하고 경쾌하여 보인다. 체재로 보오와 초마를 좀 길게 하여 입은 것이 점잔코 순진한 맛을 자아낸다. 혹 이 학교 학생 중에 양복한 학생도 잇든 것 갓흔 바 오히려 양복편이 朝鮮옷편보다 나흘 것 갓다.＜180＞
＜178-180＞
