Magazine Title: 삼천리 제8권 제8호
Publication Date: 1936-08-01
Article Title: 新進名花 崔仙孃 對答은 이러함니다. (Answers from the Rising Star Miss Ch'oe Sŏn)
Author: 白蓮花
Article Type: 대담·좌담 (Interview/Discussion)

New Rising Star Miss Ch'oe Sŏn's Answers Are As Follows.
						Paengnyŏnhwa (白蓮花)
Me: Where is your hometown?
Ch'oe: It's P'yŏngyang (平壤).
Me: Ah, so you were born in the city of beauties...
Ch'oe: Hohoho... Oh my (bows her head as if bashful).

Me: Which school did you graduate from?
Ch'oe: As for school, I barely graduated from Pongmyŏng Academy (鳳鳴학원) in P'yŏngyang (平壤), that's all.

Me: Before you started in theatre, have you ever been involved in the film industry?
Ch'oe: No, the first place I started right after graduating from school was the theatre stage.
Me: What was your motivation for stepping onto the theatre stage?
Ch'oe: There wasn't much of a specific motivation... It's just that since I was young and attending school, I really liked theatre, and as I frequently went to see plays, I naturally developed a longing for theatre... So, even in my young heart, a determination arose to dedicate my entire self to theatre.

Me: How old are you this year?
Choe: I'm 22.

Me: When did you first step into the world of theatre?
Ch'oe: It was when I was 17... Time really flies. It feels like yesterday when I first entered the theatre world, but it seems like 6 years have already passed.

Me: What was the first stage you appeared on?
Ch'oe: It was "Yŏn'gŭk Sijang" (연극시장, Theatre Market). <209>
Me: At that time, which play received the most enthusiastic reception from the general fans?
Ch'oe: Should I say it was the play called "Kŏriesŏ Chusŭn Suknyŏ" (거리에서 주슨 숙녀, The Lady Picked Up from the Street)? But I'm still learning, what could I have done well? It was probably just enough not to bore the audience.

Me: The play "Ulgo Kal Kirŭl We Watdŭn'go?" (울고 갈 길을 웨왓든고?, Why Did You Come the Road You Must Go Weeping?) which you appeared in at "Yŏn'gŭk Sijang" (연극시장) brought tears to the eyes of countless audience members then... How was that?
Ch'oe: That was also alright.

Me: After "Yŏn'gŭk Sijang" (연극시장), which theatre troupe were you with?
Ch'oe: After passing through "Hwanggŭmjwa" (黃金座, Golden Seat) and "Hirakchwa" (喜樂座, Joyful Seat), I am now with the current "Tonggŭkchwa" (東劇座, Eastern Theatre).
Me: It has been 6 years since you started acting, from "Yŏn'gŭk Sijang" (연극시장) to "Tonggŭkchwa" (東劇座). During your appearances in numerous plays, which role seemed to suit you the best?
Ch'oe: Well... I'm still learning everything... If I had to say, the role of a housewife (主婦役) seems a bit more suitable among them.

Me: I thought your portrayal of Hongnang (紅娘) in the historical drama "Poksu Samch'ŏkkŏm" (復讎三尺劒, Three-Foot Sword of Revenge) or the mother's role in "Adŭrŭi Chugŏm" (아들의 죽엄, The Son's Death) at the current "Tonggŭkchwa" (東劇座) were also excellent performances?
Ch'oe: (Only shows a smile)

Me: But when the plays you appear in are welcomed by many fans, you must receive heaps of love letters, gifts, etc., both directly and indirectly?
Ch'oe: Well... I don't really know. Hohoho...
Me: So, about how many love letters do you receive in a month?
Ch'oe: It's not that many, but do people count them all one by one...? I do receive such letters occasionally, but...

Me: Are you married?
Ch'oe: N--o.
Me: How about "romance"?
Ch'oe: I haven't experienced romance yet either. Hohoho...

Me: If you were to find a partner who suits your heart, what kind of person would they have to be?
Ch'oe: Oh my... What a question... Hoho... Well, a modern man would be nice. Someone tall and slender with a cheerful smile and a good impression is preferable... But they must have a deep understanding of literature.

Me: Besides theatre, what are your hobbies?
Ch'oe: Reading books is what I like best. As I have some interest in literature <210>, I read books about literary arts whenever I have time.

Me: How tall are you?
Ch'oe: Well, I'm a little over 5 ch'ŏk (尺) 3 ch'on (寸) [approx. 160.6 cm].

Me: What color do you like?
Ch'oe: Pure white is my favorite among colors... That's why, among flowers, the white chrysanthemum appeals to my heart the most.

Me: What kind of food do you like?
Ch'oe: I like "lunch" (란치).

Me: Do you also associate with many male friends?
Ch'oe: I don't really have many male friends. As for female friends, I have a few very close ones. Since Cha Hong-nyŏ (車紅女) and I always live in the same house, we are exceptionally close.

Me: Are you a theatre fan? Or a movie fan?
Ch'oe: I like both theatre and movies. That's why I occasionally go to see movies too.

Me: As for actors, which ones do you like the most?
Ch'oe: Among Western actors, I like "Shirubā Shitōnī" (실버시토니, likely Sylvia Sidney); also, among Japanese actors from the mainland (內地), I like Irie Takako (入江 다가子) and Hayashi Chōjirō (林長次郞) the best. <211>

**Summary**

This 1936 interview introduces Ch'oe Sŏn-hyang, a 22-year-old actress from P'yŏngyang who began her career at 17. She discusses her start in theatre with the troupe "Yŏn'gŭk Sijang," her progression through "Hwanggŭmjwa" and "Hirakchwa" to her current troupe "Tonggŭkchwa," and mentions roles like a housewife suit her best. She expresses her preference for modern, tall men with literary understanding, enjoys reading, likes the color white and white chrysanthemums, and enjoys "lunch." She names Cha Hong-nyŏ as a close friend and lists Sylvia Sidney, Irie Takako, and Hayashi Chōjirō (later Hasegawa Kazuo) as her favorite actors. For historians, this piece offers a glimpse into the popular culture of colonial Korea, specifically the theatre scene, showcasing a young actress's aspirations and personal tastes. The mention of specific troupes, plays, Japanese actors, and the casual use of the Japanese loanword "lunch" (란치) reflect the cultural milieu of the period under Japanese rule. Her preference for a "modern man" and interest in literature also hint at changing social values.

**Named Entities**

崔仙孃	최선향	Ch'oe Sŏn-hyang
新進名花 崔仙孃 對答은 이러함니다.
						白蓮花
나- 고향이 어듸서요?
崔- 平壤이지요
나- 네-미인의 고을에서 낫슴니다그려...
崔- 호호호... 아이참 (수저운 듯이 고개를 수그린다)

나- 학교는 어느 학교를 졸업했어요?
崔- 학교라곤, 平壤서 겨우 鳳鳴학원을 졸업한 것 뿐이지요.

나- 연극에 나서기 전 영화 방면에 나서 본일은 업스신가요?
崔- 네, 학교를 졸업하자 비로서 처음 나선 데가 연극 무대 엿담니다.
나- 연극무대를 밟게 된 동기는요?
崔- 동긔라곤 별로 업서요... 그저 어려서 학교를 달일 때부터 연극을 퍽도 조와 햇든 탓으로 그러케 자주 연극을 구경하게 되는 사히에 자연히 연극에 대한 동경이 생겻지요... 그래서 어린  마음에도 긔어히 연극에다 온 몸을 밧치겟다는 결심이 생기게 되엿담니다

나- 올에 아니 멫이서요.
崔- 22살이예요.

나- 연극에로 발을 듸려 노흔 때는 언젠가요?
崔- 17살 때의 일이람니다... 세월도 참 빨너요, 처음 극게로 나서든 때가 어제 갓호든 것이 어느 새 6년이 되여 가나 봐요.

나- 첫번 나섯든 무대는 어느 무대 엿든가요?
崔- 「연극시장」 이엿서요.＜209＞
나- 그때 가장 만히 일반 팬들에게 환영을 밧든 연극은 어떤 연극이엿서요?
崔- 「거리에서 주슨 숙녀」 라는 연극이 엿다고나 할가요? 그러치만 아직도 배우는 길인데요, 멀 잘햇겟서요, 그저 관중에게 실증이나 안준 정도이엿겟지요.

나- 「연극시장」 **에 출연하엿든 「울고 갈 길을 웨왓든고?」 라는 연극이 그때 수만흔 관중의 눈물을 자아 내엿지요... 그것이 엇댓서요?
崔- 그것도 괜찬헛서요.

나- 「연극시장」 이후는 어떤 극단에 잇섯나요!
崔- 「黃金座」 와 「喜樂座」 를 거처 지금의 「東劇座」 에 잇게 되엿서요.
나- 오늘날까지 극에 나선지 무릇 6년간, 「연극시장」 을 거처 「동극좌」 에 이르기까지, 수다한 연극에 출현하는 동안, 엇떠한 역이 가장 마음에 맛는 듯하서요?
崔- 글세요... 모든 것을 아직도 배우는 길인데요... 구태여 말하자면 주부역이 그 중에서도 좀 나슨 듯 함니다.

나- 이번 「東劇座」에서 하는 시대극 「復讎三尺劒」 에 紅娘이나, 「아들의 죽엄」 의 어머니 역도 훌융한 연기엿다고 생각하는데요?
崔- (미소를 지워 뵈일 뿐)

나- 그러나 출연한 연극이 만흔 팬들에게 환영을 바들 때이면 즉접, 간접으로 「러부레터」  , 선물 등이 수두룩히 들이 오겟군요?
崔- 글세요... 잘 몰으겟서요. 호호호...
나- 그런데 연애 편지는 한 달 잡고 얼마나들 오나요?
崔- 그리 만치도 못하지마는, 그걸 일일히 다-- 헤여 보나요... 간혹 그런 편지를 바다보기는 하지만...

나- 결혼을 햇서요
崔- 아--니요.
나- 「연애」 는요?
崔- 연애도 아직 못해 봣지요. 호호호...

나- 만일 마음에 맛는 상대자를 구한다면 엇떤 사람이래야 하겟서요?
崔- 아이참... 별말슴을... 호호... 글세요, 현대적인 남자가 조켓지요, 키도 후리후리하고 명랑한  우슴을 가진 인상 조흔 사람이 그 중 조와요... 그러치만 문학에 깁흔 리해를 가진 이래야 하겟서요.

나- 연극 이외의 취미는 엇떤 데다 붓치시나요?
崔- 독서하는 것이 제일 조와요, 문학에 다소 취미를 가지고 잇* 만큼 문예에＜210＞ 대한 책이면  틈틈이 본담니다.

나- 신장이 얼마나 되시나요?
崔- 글세요, 5尺 3寸은 좀 넘는담니다.

나- 빗갈은 엇떤 빛을 조와하서요?
崔- 희듸 흰빗이 그중 조와요…. 그러기에 꽃도 흰 국화꽃이 제일 미음에 든 담니다.

나- 음식은 엇떤 음식을 조와 하시나요.
崔- 「란치」 가 조와요.

나- 동무는 남자 동무도 만히 사괴이시나요?
崔- 남자 동무라고는 별로 업서요, 녀자 동무로는 퍽 갓가운 동무가 멧 잇지요, 車紅女와는 늘 한집에 잇느니만치 여간 친한 사히가 아니지요.

나- 연극팬이서요? 영화팬이서요.
崔- 연극이나 영화나 다--조와하지요, 그러기에 영화 구경도 각금 한담니다.

나- 배우로서는 엇떤 배우를 가장 조와 하시나요.
崔- 서양 배우로는 「실버시토니」 가 조쿠요, 또 일본 내지 배우로는 入江 다가子와 「林長次郞」 가 제일 조와요. ＜211＞
＜209-211＞
