Magazine Title: 삼천리 제8권 제8호
Publication Date: 1936년 08월 01일
Article Title: 제고장서 듯는 民謠 情調, 九曲에 사모치는 斷膓曲 (The Sentiment of Folk Songs Heard in My Hometown, a Heart-Rending Song Piercing the Nine Bends of the Intestines)
Author: 朴相羲
Article Type: 문예기타 (Arts/Miscellaneous)

The Sentiment of Folk Songs Heard in My Hometown, a Heart-Rending Song Piercing the Nine Bends of the Intestines
						By Pak Sanghŭi

Poetry flowing from the human feelings suffused in one's native soil, carried on the beautiful voice of an unknown singer – that is the folk song (minyo).
On the East Coast of Kwanbuk (North Hamgyŏng Province), where the mountain peaks are imposing and the water sounds clear, there have long been many heart-rending songs that draw tears, songs of love that make young people's hearts flutter.
Where the steadfast T'aebaek mountain range runs southward, unfolding into several plains here and there,<111> - among them, a mountain village where the Unbong Peak of Kuktae meets the vast blue sea face to face, with the East Sea shimmering far away, that is the place where I grew up.
Having grown up in a mountain village in Kwanbuk, looking out at the East Sea for 10 years before leaving home, I hold so many romances from my childhood hometown that they are still fresh in my memory.
All sorts of folk songs passed down orally, embodying my hometown's local color – geography, history, human feelings, customs, life – sometimes in sorrowful tones mixed with sighs, sometimes with hollow laughter, were mirrors of the era and reflections of rural life.
The folk songs of the North Country (Hamgyŏng Province) are so soaked in tears and embrace tragedy. From this, one can guess how many tears and tragedies have existed in every corner of the North Country since olden times.

"In mountains high and valleys deep, where no one lives,
Whom did I come here to see?
Eheye, eheya, e-heehela
Wearily, I came here."

This "Aewŏnsŏng" (Song of Sorrowful Longing) is representative of Hamgyŏng Province folk songs.
Since ancient times, how many tears must have been shed by bushy-haired bachelors and mature maidens singing this heart-rending song of sorrow?
Having traveled far and wide, tirelessly seeking this remote place deep in the mountains and secluded valleys where only the sounds of birds and water are occasionally heard, only to find not even a trace of the longed-for beloved – where else could one go? Before are only mountains rising layer upon layer, blocking the way; looking back, the path traveled is distant. All that comes out is sighs, all that flows is tears.
This pitiful scene! How could the tearful melody of the "Aewŏnsŏng" not exist?

"Even the hero of his age, Kim Tŏngnyŏng, unmet by fortune,
Built a grass hut in the mountains and watched the setting moon and rising sun.
Eheye, eheya, e-heehela
Wearily, I came here."

This song too is a verse that melts the nine-bend intestines.
It is another heart-rending song that only the northern land of Chosŏn could possess. The regrettable situation of becoming an unfortunate figure of misfortune, possessing outstanding talent (才操) and brilliant authority (威武) not inferior to General Yi Sunsin, yet ending life meaninglessly in the mountains of Kwanbuk! Lamenting the exceedingly unfair worldly affairs, listlessly stroking a rusted long sword, looking up at the heavens (한울), waiting only for the time to come, building a grass hut in the mountains, idly passing time watching the setting moon and rising sun, shedding tears of blood filled with indignation and resentment – is not this one heartbreaking song (斷腸曲) a tragic tune (悲曲) created by the world of the Yi Dynasty (李朝)? Moreover,<112> towards the end of the Yi Dynasty, observing the world fall into disorder, this heart-rending song powerfully sprang forth from the hearts of blood-boiling young men in every corner of Hamgyŏng Province, spreading and flowing through every village.
If the former "Aewŏnsŏng" is a thread of personal sadness brought by love formed between young people, might the latter "Aewŏnsŏng" not be the cry of those who harbor immense ambitions and ideals?
Ten years ago from now, my hometown in the North Country was a very quiet and peaceful village.
I still remember vividly that time in late spring, climbing the back mountain, listening to the regrettable melody of the "Aewŏnsŏng" echoing mournfully through the mountain valley, sinking into a sentimental mood!

"Singosan (New Kosan) rumbles,
At the sound of the steam train departing,
The big girl of Kugosan (Old Kosan)
Eruhwa, packs her small bundle.
Erang erang eheya
Eruhwa, let's go traveling."

If "Aewŏnsŏng" is the representative folk song of the northern part of Hamgyŏng Province, this "Singosan T'aryŏng" (Ballad of Singosan) would likely be the representative folk song of the southern part of Hamgyŏng Province.
As the noisy waves of new civilization came splashing even into the deep mountain valleys of the North Country, village maidens, firmly confined within a feudal, primitive life, who in spring would climb the mountains to pick wild greens, now pack their bundles, take the steam train, and leave far, far away somewhere (to the city). Village bachelors weeding on the mountain slopes in late spring, listening to the noisy whistle, blankly picturing the face and figure (차태) of the village maiden who boarded the train, let out a long, reasonless sigh, grip their hoe handle again, and recite a verse. The sentiment of this "Singosan T'aryŏng" was a song I heard daily in my hometown during childhood.
The clash and contradiction between the new and the old. This gave rise to numerous tragedies and drew so many tears in the mountain villages of the North Country.
Although it is true for any folk song, the sentiment of this "Singosan T'aryŏng" as it flows from the mouths of village bachelors sitting astride the furrows in the sloping fields of the North Country's mountain villages is something people from other regions could never fully appreciate.

"If the wind is to blow,
Let the southeast wind blow;
If a rich harvest is to come,
Let there be a rich harvest of lovers."

Isn't this song melody one sung by village maidens digging for wild garlic in the front fields, facing the warm breeze of April (˜¤월) seeping into their chests, gazing at the waves of barley (麥波) ripening to a yellowish hue and the crops turning green,<113> unable to contain their excitement, opening their pretty red lips (紅唇) slightly to send the song floating on the south wind?
If the wind must blow, let only a gentle wind like the southeast wind blow, bringing peace and joy (깁붐) to this village. If a rich harvest is to come, please let only strong, sturdy men with robust physiques be born abundantly in this village! So that among them, I might find the lover I long for—
How overflowing it is with the pastoral sentiment of the countryside!
Ten years ago, my hometown was a peaceful village and a quiet mountain hamlet.
But for some reason, after ten years have passed—

"Who are you, propertyless one?
Do not lament.
Wealth and poverty, nobility and lowliness,
They turn and turn."

In the blue sky,
˜¤월	사월	April (likely typo for 사월 or 삼사월 - March/April)
마서 가면서	맞아가면서	while facing, while receiving
누릿누릿	누릇누릇	yellowish, golden (older form of 누르스름하게)
麥波	맥파	waves of barley
푸르러가는	푸르러가는	becoming green
깁붐	기쁨	joy (older spelling of 기쁨)
들야면	들려면	if it is to bear fruit/have a good harvest (older spelling of 들려면)
굿건한	굳건한	strong, sturdy (older spelling of 굳건한)
사나히	사나이	man (older spelling of 사나이)
해주려무나	해주렴	please make it so (request/imperative form)
차저보게	찾아보게	let me look for/find
웬	웬	what sort of, for what reason
흘너간	흘러간	flowed past, passed (older spelling of 흘러간)
업는	없는	without, lacking (older spelling of 없는)
입까에서	입가에서	from the lips/mouth (older spelling of 입가에서)
정조조차	정조조차	even the sentiment/mood


---------------------------


잡지명	삼천리 제8권 제8호
발행일	1936년 08월 01일
기사제목	제고장서 듯는 民謠 情調, 九曲에 사모치는 斷膓曲
필자	朴相羲
기사형태	문예기타

제고장서 듯는 民謠 情調, 九曲에 사모치는 斷膓曲
						朴相羲
「향토에 풍겨진 人情이, 무명의 가수의 아름다운 목소리를 타고 흘너 나오는 시 -그것이 민요이다.
산봉오리 영그럽고 물소리 맑은 關北의 동해안엔 녜로부터 눈물을 자아내는 애 끗는 노래, 젊은이들의 가슴을 울넝거리게 하는 사랑의 노래를 퍽으나 많이 가지고 잇다.
太白의 줄기찬 산맥이 남으로는 달니며 가다 가다 펄처진 멫 개의 벌판,＜111＞ - 그 중에서도 國泰의 運峯이 창해 바다와 이마를 마주대인 산골, 東海는 저 멀리서 아물거리는 데가 바로 내 자라난 곳이다.
離鄕 10년 關北의 산골에서 동해 바다를 바라보며 자라난 나는 어린 시절의 내 고향에 넘우나 많은 로맨쓰를 가지고 잇서 아직도 기억에 새로웁다.
내 고장의 향토색-지리, 역사, 인정, 풍속, 생활 등-이 혹은 한숨에 석긴 哀調로, 혹은 허구푼 우슴으로 구전되여 내려오는 온갓 민요는, 시대의 거울이 엿고 농촌생활의 반영이엿다.
北國(咸慶道)의 민요는 넘우나 눈물에 저저잇고 비극을 품고 잇다. 이로 미루워 보아 北國의 방방곡곡에는 녜로부터 얼마나 눈물과 비극이 많어 왔나함을 짐작하게 된다.

「山高谷深 無人之處에
내 누를 보려고 예-왓나
에헤예, 에헤야, 에-헤에헤라
멀화낙구 내여기 왓네.」

이 「哀怨聲」은 咸慶道 민요의 대표적이다.
自古로 더벙머리 총각, 숙성한 처녀들-이 애끗는 비애의 노래를 부르면서 대관절 얼마나 많은 눈물을 흘니여 왓든가?
새 소리, 물 소리만이 간간히 들여오는 深山幽谷 호젓한 데로 不遠千里하고 깃껏 찾어왓더니 그리운 님은 간데 온데 자취조차 업고 보니, 그의 갈 곳이 어데멜가? 앞에는 태산만이 첩첩으로 가로막혓고 뒤로 돌여다 보니 갈곳은 아득하니 나오는 것은 한숨 뿐이요, 흘으는 것은 눈물뿐일게다.
이 가엽슨 정경! 「哀怨聲」의 눈물겨운 곡조가 엇찌 업슬소냐!

「一世英雄 金德齡도 때를 못 맛나 산중에 풀막짓고 지는 달 솟는해 바라봣네
에헤예, 에헤야, 에-헤에헤라
멀화낙구 내여기 왓네」

이 노래 또한 九曲肝臟을 녹이는 一節이다.
북쪽나라 朝鮮만이 가질 수 잇는 또 한가지 애끗는 노래이다. 장군 李舜臣에 못지 않은 빼난 才操와 빛나는 威武를 갖추면서도 不遇의 가엽슨 몸이 되여 關北의 산골에서 덧업시 일생을 끗막게 되는 안탁가운 사정! 넘우나 불공평한 世事를 개탄하는 나머지에 녹쓰른 長劒을 힘업시 어루만지고 한울을 우러러 때가 차저 오기만 기다리며 산중에 풀막 짓고, 지는 달 솟는 해나 덧업시 보내면서 비분강개에 넘치는 피눈물을 흘녀가며 부르짓는 이 한 곡조의 斷腸曲은 李朝의 세상이 만들어 놓은 한가닥 비곡이 아니든가? 더구나＜112＞ 李朝 말엽에 이르러 세사가 어즈러워저 감을 바라보든 그 당시 咸慶道의 방방곡곡에는 이 애끗는 노래가 더한 층 피 끌는 젊은 남아들의 心腸에서 힘잇게 소스라처 나와 마을마다 퍼저 흐르게 되엿든 것이다.
전자의 「哀怨聲」이 젊은이를 사이에 매저지든 사랑이 가저오는 한 가닥 개인간의 슲음이라면, 후자의 「哀怨聲」은 넘우나 커다란 포부와 이상을 품은 이들의 부르지즘이 아닐는가?
지금으로부터 10년전, 北國의 내 고향은 퍽도 안온하고 평화스러운 마을이엿다.
늦인 봄 뒷산에 올나 처량하게 산골작을 울여 나오는 「哀怨聲」의 안탁가운 곡조를 들어가며 센치멘탈한 기분에 잠겨지는 그때가 아직도 기억에 세로웁구나!

「新高山이 우루룩
汽動車 떠나는 소리에
舊高山 큰애기
에루화 반보짐 싸누나
에랑 에랑 에헤야
에루화 유람 가-자.」

「哀怨聲」이 咸慶道 북방의 대표적 민요이라면 이 「新高山 打鈴」은 咸鏡道 남방의 대표적 민요일 것이다.
신문명의 요란스러운 파도소리, 北國의 그윽한 산골작에까지 처덕이며 밀여 들어오게 되자 봉건적인 원시 생활 속에 굳게 갓처 잇서 봄이면 산에 올나 산나물이나 뜻든 산골 색시들이, 보짐을 꾸려가지고 기동차 타고 어데론지(도시) 멀니멀니 동떠나가니, 늦인 봄 산비탈에서 김매든 마을 총각들은 요란스러운 기적소리 들어가며, 기동차에 오른 마을 색시의 그 얼골 그 차태를 머-ㅇ하니 그려보다가 까닭모를 기-ㄴ 한숨만 뽑으며 호미ㅅ 자루를 탈아쥐고 한 곡조 읊는 「新高山 打鈴」의 정취는 어린 시절의 내 고장에서 매일 같이 듯든 노래엿다.
新과 舊의 충돌과 모순. 북국의 산골에는 이로 말미아마 허다한 비극과 하도 많은 눈물을 자아내게 하엿다.
어느 민요 치고 그러치 않은 것이 업지마는, 이 「新高山 打鈴」은 北國의 산촌 비탈밭에서 밭이랑을 타고 앉은 마을 총각의 입 속으로 흘너 나오는 그 정취는 다른 지방의 사람들로는 도저히 맛보지 못할 것이다.

「바람이 불야면
동남풍 불구요
풍년이 들랴면
님 풍년 들어라.」

이 노래 곡조는 앞벌에 나가 달내 캐는 마을 색시들이, 젓가슴으로 슴여드는 ˜¤월의 훈풍을 마서 가면서 누릿누릿 익어가는 麥波와 푸르러＜113＞가는 곡식을 바라보면서 흥에 못겨워, 그 고흔 紅唇을 방긋이 열어 남풍에 띄워 보내는 노래가 아닐가?
바람은 불야면 동남풍 같은 부드러운 바람만이 불어서 이 마을에 평화와 깁붐을 실어다 주고, 풍년이 들야면 이 마을에다 굿건한 체격을 가진 씩씩한 사나히들만 많이 생겨나게 해주려무나! 그 가운데서 내 그리는 님이나 차저보게-
얼마나 牧歌的인 농촌의 정서가 넘처 흐르는가?
십년전 내 고향은 평화한 마을이엿고 고요한 산촌이엿다.
그런데 웬 연고인지 십년이 흘너간 뒤-

「무산자 누구냐
한탄을 말어라
부귀와 빈천은
돌고 돈단다.」

청천 하날엔
잔별도 많고
우리네 살님사리
말성도 많구나
아리랑 아리랑 아라리요
아리랑 고개로 넘어나가세

지금의 내 고향엔 이러한 노래 곡조만이 마을의 철부지 樵童들의 핏끼 업는 입까에서 흘너나올 뿐이다.
내 고장에서 듯든 민요의 정조조차 지금엔 차저 볼 수 업구나!(끝)＜114＞
＜111-114＞
