잡지명	삼천리 제8권 제8호
발행일	1936년 08월 01일
기사제목	愛煙記 (A Record of Loving Smoking)
필자	徐廷禧
기사형태	문예기타 (Literary Etc.)

愛煙記
						徐廷禧
It would not be an exaggeration to say that among all the races of the world, very few people who have reached adulthood do not smoke tobacco. This shows just how long the history and relationship between tobacco and humans is. The motive for my starting smoking was quite ordinary; that is, others smoked, so I smoked too. But once I started, I naturally grew attached to it, and now I have developed such a habit that I cannot bear not smoking.

Although things like alcohol and tobacco are medically viewed as not particularly beneficial to the human body, the reason they are nevertheless favored is that both possess a significant degree of sociability. If I were forced to state a reason why I started smoking, it would be this: "If everyone else smokes, and I alone stand <77> outside that circle and do not smoke, I would feel that much more human loneliness." This is my sole reason for smoking. For someone like me who already feels lonely, should I also remain within the circle of loneliness in this regard too?

Thus, after starting to smoke around age 22 or 23, I am now 60, so I have continued for 37 or 38 years, and it has become second nature. Human habits are truly frightening. Now, this "tobacco" has become a distinct presence that cannot be removed from my life. In the organization of my life plan, that is, in the household budget, an item called "tobacco expenses" is included. Seeing it this way, the efficacy of tobacco is established for the first time. Of course, it's useful when receiving guests, and after a meal, one must take a puff to feel refreshed in spirit and have a good taste in the mouth. If I don't smoke, I somehow feel disappointed and sense a staleness in my mouth. Indeed, I can understand the truth and the state of mind behind the old saying, "The best taste after a meal." Besides that, when I feel depressed, I smoke tobacco and calm my mind; when I am upset, there have been countless times I received comfort from this. In a society like ours, trying to live a social life brings many times of weariness, hardship, resentment, and sadness. To endure these, I first feel the efficacy of tobacco. Moreover, when useless thoughts, namely idle thoughts and delusions, arise, if I put a cigarette in my mouth and walk around the garden (?), these delusions tend to disappear.

Furthermore, especially for those like me entering old age, one cannot deny that tobacco has a considerable effect on insomnia, which anyone can experience. In the dead quiet of the third watch when all sounds are still, when the lonely sound of crickets is heard outside the window, when thinking of worldly affairs and tossing and turning, unable to sleep and feeling anxious, this tobacco is a grateful friend (友) that quietly soothes my mind. Also, when pondering something intently, if one ponders too excessively, thought can sometimes get blocked; at such times, smoking this tobacco stimulates the confused <78> perception and helps draw out correct thoughts. These are all effects discovered through long-standing habits since I started smoking.

In the old Chosŏn society, various facts embroidered the history surrounding this "tobacco." This thing called tobacco was something smoked only when interacting with someone on an equal footing. A younger person could not dare to smoke in front of an elder, a lower official in front of a superior official, a person of low birth in front of a person of noble birth, or a commoner in front of a Yangban. As this shaped a long history, it came to be seen even as a virtue, so what more needs to be said?

Therefore, because one could only smoke when facing someone of equal rank, standing, and status, it often caused troubles or brewed estrangement (though it's not like that now). If a student (侍生) smoked in front of a respected elder (尊丈), it was the behavior of an "ill-mannered brat" (호래자식), and smoking in front of a friend of one's father (父執) meant one could not escape misfortune (逢變) and the appellation of a rebellious son (悖子). And even among friends, if a mistake was made due to this, it could lead to breaking off relations.

Is that all? In a situation where it was somewhat awkward for me to smoke voluntarily, if the other person offered their pipe and personally filled it with tobacco for me, I would feel that "he" was being kind and affectionate towards "me," leading to feelings of gratitude and thanks. But if the opposite happened, it would be considered very presumptuous and arrogant, making me think, "Who does he think he is, acting like this just because his position is a bit high?" Even relationships that were normally affectionate could develop rifts and lead to estrangement because of this.

Anyway, just as the relationship between "tobacco" and life has a very long history, it is something anyone can guess that there were many negative side effects. Thus, among the Yangban who wielded influence in the past, there were even some who never smoked in their entire lives to avoid the useless troubles (風波) caused by tobacco. <79>

I love tobacco very much, cherish it, and smoke it well. I usually smoke 2 or 3 packs a day, and through this, I manage and settle all emotions of joy, anger, sorrow, and pleasure. As I get older, I increasingly think, "My only companion is this tobacco." The state of mind I currently have regarding tobacco is:
『細雨江亭 一味新』
(Fine rain at the river pavilion, a fresh taste.)
That quiet realm, sitting alone in a pavilion seemingly asleep or dozing, shrouded in the misty drizzle on a quiet riverbank where fine rain falls softly, silently forgetting the dust of the world (世上風塵) and human glory and disgrace (人間榮辱), taking a long drag of fragrant tobacco and exhaling—hoo—, truly cannot be compared to a single painting (畵). Every time I smoke, I picture this scene and erase it from my mind. (End) <80>
<77-80>

**Summary**

The author, Sŏ Chŏnghŭi, reflects on his nearly 40-year smoking habit, which began simply by imitating others but evolved into a deeply ingrained part of his life. He acknowledges the health concerns but justifies smoking through its social utility and perceived personal benefits, such as combating loneliness, aiding digestion and mental clarity, calming nerves, relieving stress, fighting insomnia, and stimulating thought. He contrasts this personal relationship with tobacco against the strict hierarchical etiquette surrounding smoking in traditional Chosŏn society, where smoking was only permissible between equals and violations could lead to severe social consequences, including broken relationships. He concludes by expressing a deep affection for tobacco as his companion in old age, associating it with a tranquil, reflective state of mind. From a historical perspective, the article offers valuable insights into the social norms and strict hierarchy of traditional Korea, specifically how everyday practices like smoking were regulated by status (age, rank, class). It also provides a personal account of coping mechanisms (using tobacco for stress, loneliness, insomnia) and mentions the inclusion of "tobacco expenses" in household budgets, reflecting aspects of daily life and personal finance during the colonial period.

**Named Entities**

徐廷禧	서정희	Sŏ Chŏnghŭi
세계 어떤 종족이든 통터러 보아서 成年에 이르러 「담배」를 먹지안는 사람은 퍽 적다고하야도 과언이 아니다. 이만큼 담배와 인간과의 관계와 그 역사는 퍽 길다. 내가 담배를 시작한 동기는 퍽 평범하니 즉 남들이 먹으니까 나도 먹엇다. 그런데 먹게되고 보니 거기에 自然 愛着을 늣기게 되엇고 지금은 담배를 먹지 아니하면 못견딀만큼 한 習性을 갓게 되엇다.
「술」이나「담배」는 의학상으로 보아 그다지 인체에 유익하지 안흐나 그럼에도 불구코 이것을 嗜好하는 것은 그 두 가지가 모다 社交性을 多分이 가지고 잇는 緣故이다. 내가 담배를 먹게된 이유를 억지라도 붓처본다텬「모든사람이 모다 먹는데 내 혼자 그＜77＞圈外에 서서 안먹는다면 그만큼 인간으로서의 孤獨을 늣길 것이다.」이것이 나의 吸煙에 대한 유일한 이유가 된다. 그럿치 안허도 孤獨을 늣기는 나로서 이것까지 孤獨圈內에 잇서서야 될 말인가!
그래 내가 22,3歲 때에 吸煙을 시작한 뒤로 지금이 60이니 37,8년간을 계속하여 왓기 때문에 第二天性이 되고 말엇다. 사람의 습관이란 實로 무서운 것이다. 지금 내 생활에서 이「담배」는 뺄 수 업는 뚜렷한 존재가 된다. 生活方針 編成에는 卽 家計에서는 煙草代라는 項目이 編入되는 것이다. 이리고보니 여기에서 비로소 煙草의 効能이 세워진다. 與人接客에는 물론, 食後에는 반드신 한 목음 빨어야 精神이 爽快하고 口味가 돈다. 안 먹으면 엇잰지 섭섭하고 입속이 텁텁함을 늣기는 것이다. 과연 古人이「食後에 第一味」라고한 말의 진리와 그 심경을 이해할 수 잇다. 그 외에 마음이 울적할 때 담배를 피우며 스스로 마음을 가라안치고, 속이 상할 때도 이것으로 慰安을 밧는 때가 한두번이 아니오 우리가튼 사회에서 사회생활을 하자면 고달푸고, 辛酸하고 痛怨하고 서굽푼 때가 만흔데, 이것을 꾹 참자면 나는 먼저 담배의 효능을 늣긴다. 더구나 쓸데업는 생각 卽 잡념, 忘念이 일어날 때 담배 한대를 피어물고 庭園(?)으로 거릴면 이 忘念이 銷却되곤 한다.
더구나 나가티 老年에 잡어들면 누구나 경험할 수 잇는 不昧症에는 이 담배의 효능이 자못 크다고 안흘 수 업다. 萬籟가 고요한 寂寂한 三更에 귀뜨램이소리 창밖에 외로히 들일 때 世事를 생각하고 輾輾反側 잠못드러 애태울 때에 이 담배는 고요히 내 마음을 쓰다듬어주는 고마운 벗(友)이다. 또 무엇을 골똘이 생각할 때, 너머 지나치게 골똘하면 고만 생각이 맥킬때가 잇스니 그런 때 이 담배를 피어 混迷한 知覺을 剌戟시켜 올바른＜78＞생각을 끄집어 내이곤 한다. 이런 것이 모다 담배를 먹게 된 뒤로 오랜동안 내려오며 지내 본 습관으로의 효능을 발견한 것이다.
녯날 朝鮮 사회에서는 이「담배」를 에워싸고 별별 사실이 그 역사를 繡노왓 든 것이다. 이 담배라는 것은 평등한 처지에서만 상대하야 피우게 되는 것이다. 나적은 사람이 어룬앞에서, 下官이 上官 앞에서, 賤한사람이 尊貴한 사람 앞에서, 상놈이 兩班 앞에서, 敢히 담배를 못피우는 것이다. 이것이 오랜 역사를 꾸며오는 동안에 한 美德으로까지 보아지게 된 터이니 다시 더 말할 것이 무엇이랴!
그래서 位階, 處地, 身分이 평등하여야만 상대하야 피우기 때문에 往往히 波瀾을 지어내고 또는 疏隔도 비저내고 하엿든 것이다.(지금은 그럿치 안치만) 侍生이 尊丈 앞에 담배를 피우면 그것은「호래자식」의 버릇이오, 父執 앞에 담배를 피우다가는 큰 逢變과 悖子의 칭호를 못 免하는 것이다. 그리고 친구끼리도 이로 인하야 잘못하는 경우면 絶交를 하게된다.
그뿐인가 내가 자진하여 담배를 피우기에는 좀 거북한 사정인데 저편에서 피우라고 담배때를 내노코 친히 담배를 담어주면 그만큼 「그」가 「내」게 대하야 친절하고 다정하게 하여주는 것으로 생각되어 퍽 고맙고 감사한 생각까지 가지게 되지만 그와 반대라면 퍽 주저넘고 傲慢하게 생각되고 제까지 것이 지위가 좀 놉다고 이러케 생각케되어 平時에 다정하든 사히도 이것으로 틈이 버러저 疏隔을 지어내게 되는 것이다.
左右間 「담배」와 인생의 관계가 퍽 오랜 역사를 가지고 잇섯든만큼 여러가지 부작용이 만흔 것은 누구나 다 ― 짐작할 수 잇는 일이다. 그래서 예전 行勢하든 兩班들 중에는 담배로 인한 쓸데업는 風波를 끄러, 담배를 평생 아니피운 사람도 잇섯든 바다.＜79＞
나는 담배를 퍽 사랑하고 애끼고 또 잘피운다. 하로에 2,3갑씩은 항용 피우는데 여기서 喜怒哀樂의 모든 감정을 잘 가다듬고 淸算하고 한다. 늘거갈사록 「나의 伴侶는 이 담배밖에 업느니라」고 생각키워진다. 지금 내가 가지고 잇는 담배에 대한 심경은
『細雨江亭 一味新』
그것이다.  가는 비 솔솔 내리는 고요하고 寂然한 강 언덕에 이실비 안개에 파무처 잠자는 듯 조으는 듯한 정자에 외로히 안저 世上風塵과 人間榮辱을 寂然히 잇고 향긋한 담배를 한목음 쭉빨어 후― 내품는 그 고요한 경지란 실로 한폭 그림(畵)에 비길 배 아닐 것이다. 나는 담배 피울 때마다 이 정경을 눈에 그리고 지우곤 한다.(끗)＜80＞
＜77-80＞
