Magazine Title: 삼천리 제14권 제1호
Publication Date: 1942년 01월 01일
Article Title: 가난과 不幸에 生涯를 마친 天才 슈-벨트 (The Genius Schubert, Who Ended His Life in Poverty and Misfortune)
Author: 白雲草 (Paek Un-ch'o)
Article Type: 문예기타 (Arts/Miscellaneous)

The Genius Schubert, Who Ended His Life in Poverty and Misfortune
						By Paek Un-ch'o

The Lark Poem Romance

It was a morning in July 1826. A poor young man entered a shabby restaurant in a back alley of Vienna (繩也納). He seemed like a wanderer who had come through villages and towns, across fields and over mountains, on a long, distant journey.
He looked quite tired. Sitting down at a table, he first took off his glasses and wiped them with a dirty handkerchief. The glasses had become fogged with dust and dew drops from tree leaves. At his table, a certain pretty young woman was eating breakfast while flipping through Shakespeare's "Cymbeline."
The wanderer's eyes fell upon a certain page in that book.
"Hark, hark! the lark at heaven's gate sings,"
The poem of the lark, beautifully warbling in the blue sky, seemed to be drawn into the wanderer's eyes. - And at that moment,
"Ah!"
Unwittingly, he exclaimed aloud.
"A wonderful melody just came to mind! Isn't there any staff paper (五線紙)? Staff paper?"
He said this, looking around his surroundings. But there was no way staff paper would be in such a place. Looking crestfallen, as if the melody that had surfaced in his head might disappear, he fidgeted.
The young woman who had been flipping through the book was initially wide-eyed at this sudden intrusion, then startled by the strange man's actions, she stared fixedly at him for a moment. But, having thought of something, the young woman took a pencil, quickly drew five lines on the back of the menu (메뉴-) on the table, and gave it to the wanderer.
Without a word of thanks, the wanderer rapidly wrote musical notes onto the impromptu staff paper (卽製의 五線紙).
Having finished writing, he let out a deep breath, smiled faintly, nodded gently (目禮), and showed the melody to the young woman.
"Oh, it's truly lovely."
The young woman who had been reading Shakespeare looked at the score (諳表). Then, suddenly, she grasped the wanderer's shoulders, <134>
"Who are you?" she asked.
"Franz Schubert (푸렌쯔ㆍ슈-벨트). Franz Schubert (푸렌쯔ㆍ슈-바트) is sincerely grateful for the staff paper you made."
"And I feel the honor (光榮) that such great music was written on staff paper drawn on this kind of paper."
The two shook hands with youthful passion (情熱). Born from this new friendship, "The Lark's Song" became known to everyone as a world-famous art song for a hundred years.

A Life of Music, Death, and Dreams
A life of music, death, and dreams—that indeed is Schubert's romance. Whether this is a true story or fabricated, historians say it is fabricated. However, everyone says that Schubert's composition was always in such a state. In that sense, this romance might as well be called a true story.
When one thinks of Schubert, everyone will immediately recall and feel nostalgic for the movie (映畵) "Unfinished Symphony." Since there are few movies as good, it is the most memorable film among those I recall seeing. Even in that movie, one can see how poor he was, and that is the truth.
He was born in 1797 in Lichtental (리히-다-ㄹ) near Vienna (윈나). His father was a poor school principal (校長). A principal, back then in Europe (歐羅巴), meant education was on the scale of a small temple school (절깐 교육), where the school just gathered nearby children to teach them. Schubert himself later became a music teacher at this school.
Schubert's poverty was extreme, and on top of that, his personality was eccentric (괴상해서), so it's said he sometimes starved. Due to his poor health, whenever that happened, it was to the extent that he thought he might really die, but he lived on, never losing his lonely smile amidst music, death, and dreams. He just continued composing incessantly, and now, every single one of his works holds the world's highest renown (名聲) and is included in concert (콘싸이트) programs (푸로그람). But at the time, nobody recognized them. They were known only among his friends or the students he taught.
"Please publish this score."
He visited a certain publisher and presented a symphony score. The publisher handed the symphony back, saying,
"Our publishing house does not engage in charity work (慈善事業)." That was none other than the immortal (不朽) masterpiece, the "Unfinished Symphony."
In 1818, he finally took up a position as a music teacher in the household of Count Esterházy (에스타라지 伯爵家). This was the first guarantee of livelihood (生活保證) he received.
It seems he was definitely happy. *[missing text?]* said, "This was like the first forest *[missing text?]*."
Here, the legend remains of his love affair (戀愛) with the Count's daughter (令孃), Karoline (카로리-느). The movie "Unfinished Symphony" portrays exactly this.
Karoline was 17 at the time and a renowned beauty. It seems plausible that the sensitive Schubert poured his passion into her, but the biographer (傳記作者) whom the author trusts says this is false (거즛). Rather, he fell in love with one resident/servant (住人 하나), <135> but there was a family favored by his rival in love (戀敵), and he was defeated (敗北). Schubert wrote somewhere,
"I, along with my lover (music), holding back tears (눈물을 먹음고), left this place."
The story that the "Unfinished Symphony" was left unfinished due to his tragic love (悲戀) with Karoline might be acknowledged as the work of a storyteller's skill (手腕), but it is false anyway (어쨋던 거즛이다).

The Sad Fate of a Genius
If there was musical success during his lifetime, it would be "Ave Maria." This came after leaving the Esterházy household and returning to the streets, where he lived with the poet Mayrhofer (메이로퐈) and the singer Vogl (보그르) in poverty yet amidst artistic passion (藝術的 情熱), much like in the opera "La Bohème."
AVE MARIA... He felt the melody for this and composed it based on a passage (一節) from Walter Scott's (올타ㆍ스고트) long poem (長篇詩) "The Lady of the Lake." When Vogl sang this piece, people were astonished. It was because it was brimming with faith (信仰) in the Virgin Mary and affection (愛情) for her. People were simply amazed not only by its religious aspect but also its human quality, and they sang this song.
Thus, his name began to bud slightly, but his life became even more difficult (괴로워젓다).
One hope he held onto amidst this was to show his work to Beethoven (베-토벤), whom he admired. At that time, Beethoven was the greatest master (大家), and it was very difficult for a mere youth like Schubert to approach him. Seeing this, a sympathetic nobleman took his works to Beethoven for him. But, perhaps it was fate, it was at the time of Beethoven's death (臨終時). Schubert was aghast (기가 막혔다). As if betrayed by his very last hope, his life became pitiable (가엾을 정도로) from then on. At the same time, his body also weakened (衰殘) increasingly (갈사록), and he died young (夭折) in his youth.
It is truly said that great art is understood after the author's death, but ****** it is a lonely thing ***** <136> <134-136>

**Summary**

This article recounts the life of Franz Schubert, emphasizing his persistent poverty, ill health, and the lack of recognition he received during his lifetime despite his genius. It touches upon famous anecdotes, such as the possibly legendary story of composing "Hark! Hark! the Lark" on a menu and the rejection of his "Unfinished Symphony" by a publisher. It also mentions and debunks the myth connecting the "Unfinished Symphony" to a failed romance with Countess Karoline Esterházy, while acknowledging his later limited success with "Ave Maria" and his profound admiration for Beethoven, whom he tragically couldn't meet properly before Beethoven's death. The article concludes by reflecting on the sad fate of artists whose greatness is only appreciated posthumously.

From a historical perspective, this 1942 article from the Korean magazine *Samch'ŏlli* is interesting as it presents a biographical piece on a Western classical composer during a period of intense Japanese colonial control and wartime mobilization. The choice of subject (Schubert, a universally admired but tragic European figure) might represent a relatively 'safe' cultural topic, avoiding potentially sensitive Korean national themes while still engaging with high art. Historians might find the specific Korean vocabulary and orthography of the era, the romanticized portrayal of the suffering artist (which could implicitly resonate with the struggles of Korean intellectuals), and the magazine's role in disseminating Western cultural knowledge within the colony noteworthy.

**Named Entities**

슈-벨트	슈베르트	Syu-belt'ŭ (Schubert)
두 사람은 젊은이의 情熱로 악수를 했다. 새로운 우정에서 탄생한 이 「종달새의 노래」는 百年間, 세계적 歌謠로 누구에게나 알리워졌다.

音樂과 죽엄과 꿈의 生涯
音樂과 죽엄과 꿈의 生涯야말로 슈바-트의 로맨쓰다. 이것이 진실로 있는 일인지 지여낸 말인지 모르나 歷史家는 지여낸 말이라고 한다. 하나, 누구나 하는 말은, 슈벨-트의 작곡은 언제나 이러한 상태였다고 한다. 그런 의미에서 이 로맨쓰는 實話라고 해도 좋다.
슈벨-트라고 하면 「未完成交響樂」이란 映畵를 누구나 곧 생각해 내고 그리워 할 것이리라. 그런 좋은 映畵는 별로 없음으 映畵를 로본 기억 중에 가장 잘 생각나는 映畵다. 그 映畵 가운데서도 그가 얼마나, 가난했던 것을 알 수 있는데, 그것이 정말이다.
1797年, 그는 윈나附近 리히-다-ㄹ에서 났다. 아버지는 가난한 校長이었다. 교장선생이라 하면, 당시 歐羅巴 교육은 조고마한 절깐 교육임으로 학교라는 것이 근처의 아이들을 모아서 배워주는 정도였다. 슈벨-트 자신도 후에 이 학교 음악선생이 된 일이 있다.
슈벨-트의 가난이란 지독한 것으로 그 우에 성격이 괴상해서 때때로 굶는 일이 있었다 한다. 건강이 좋지 못한 탓으로 그런 때마다, 언제 정말 죽나부다고 생각할 정도였으나, 그는 音樂과 죽엄과 꿈속에 쓸쓸한 웃음을 잃지 않고 살어갓다. 그는 작곡을 오직 계속하고있었을 뿐인데, 어느 것이나 지금은 세계 최고에 名聲, 콘싸이트 푸로그람에 들어있지 않은 것이 없다. 그러나 당시의 사람들은 아무도 그것을 인정치 않었다. 友**이나 혹은 그가 가르친 生徒들 사이에 알려질 뿐이었다.
「이 책을 출판해 주시오」
그는 어느 출판인을 찾아가서 한 책의 심포니-를 내밀었다. 출판인은 그 심포니-를 다시 들려주면서,
「우리 출판사는 慈善事業을 하지 않습니다」라고 했다. 그것이 바로 不朽의 명곡 「未完成交響樂」이였다.
1818年에 그는 겨우 에스타라지 伯爵家에 음악교사로서 취임했다. 이것은 그가 처음으로 받는 生活保證이었다.
분명히 즐거웠든 모양이었다. *이 「처음으로 林*과 같았다」고 했다.
여기서 백작의 令孃 카로리-느와의 戀愛가 전설에 남어있다. 映畵 「未完成交響樂」이 바로 그것이다.
카로리-느는 당시 17歲로 아주 평판 높은 미인이다. 다감한 그가 정열을 쏘닸을 것도 같으나, 필자가 信賴하는 傳記作者는 이것을 거즛이라 한다. 되려 住人 하나를 戀慕했으나＜135＞ 戀敵에 고은 가족이 있어서 그는 敗北하고, 수-벨트는
「난 내 애인(音樂)과 둘이서 눈물을 먹음고, 여기를 떠났다」라고 어디에 썼다.
「未完成交響樂」이 카로리-느와의 悲戀 때문에 未完成으로 마첬다는 것은 스토리-ㆍ메카의 手腕으로 認證해서 좋을지 모르나 어쨋던 거즛이다.

天才의 슬푼 宿命
그가 생존 중, 音樂의 성공이라면 「아베마리아」일 것이다. 그것은 에쓰타라지-家를 나와서 다시 거리에 돌아와 詩人 메이로퐈 及 歌手 「보그르」와 마치 오페라이 「보에-므」와 같이 가난하면서 藝術的 情熱 속에 생활해 왓다.
AVEㆍMARIA... 이것은 올타ㆍ스고트의 長篇詩 「湖上의 美人」중 一節에 멜로디-를 느끼고 작곡한 것이다. 이 곡을 보르그가 노래를 지었을 때 사람들은 놀랐다. 성모마리아에 대한 信仰과 거기에 愛情이 흠벅 차있기 때문이다. 종교만이 아니고 인간적인데 사람들 오직 놀라서 이 노래를 불른 것이다.
이렇게 그의 일홈은 조금씩 싹터가나, 생활은 더욱 괴로워젓다.
그는 그 중에서 한 개의 희망은, 자기의 작을 자기가 존경하는 베-토벤에게 뵈이려는 것이였다. 당시 베-토벤은 大家중의 大家로 일개 청년 슈-벨트가 가까히 하기는 매우 어려웠다. 그것을 보고 동정한 어떤 貴族이 그를 위해서 그 작품을 베-토벤에게 가저갓다. 하나 운명이라 할까, 그것은 베-토벤의 臨終時였다. 슈-벨트는 기가 막혔다. 꼭 최후의 희망에 배반당한 것처럼 그의 생활은 그제부터 가엾을 정도로 되였었다. 동시에 肉體도 갈사록 衰殘해가서 청년기에 夭折하고 말었다.
정말 偉大한 藝術은 作者가 죽어서 이해된다하지만 ****** 쓸쓸한 일이 *****＜136＞ ＜134-136＞
