Magazine Title: 삼천리 제12호
Publication Date: 1931년 02월 01일
Article Title: 名妓 「春種」 (Famous Kisaeng "Ch'unjong")
Author: Not Specified
Article Type: 문예기타 (Literary Miscellany)

In the foremost scenic place, P'yŏngyang, there was an exceptionally beautiful and talented kisaeng named Ch'unjong (春種), skilled in song and dance. Every arriving P'yŏngyang Magistrate (平壤監司) would fall for this famous kisaeng, spending all their time on boating excursions on the Taedong River (大洞江) and attending to matters of the Kyobang (敎坊政司 - Kisaeng training/management office). Consequently, when this news reached the King in Seoul, they would be dismissed from office, one after another... It was unknown how many P'yŏngyang Magistrates were ruined because of Ch'unjong.

At such a time, a gentleman named Hŏ Min (許民), a man of upright character and strong will, like iron bones, who wouldn't even glance sideways if a hundred dancing girls (舞姬) came before him, received the order and was appointed to P'yŏngyang. When this news reached P'yŏngyang Fortress, the city's top-class famous kisaeng shuddered.

Hŏ Min, accompanied by many clerks, officials (吏房官屬), and post station soldiers (驛卒), set off from Seoul seated in a four-person palanquin (四人轎), traveling day and night (晝夜倍道) to assume his post in P'yŏngyang. Passing through Hwangju and entering P'yŏngan Province territory, the sun had already set that day. Thus, they decided to stay overnight in that small village, where there was a lodging house (宿舍) noted for its fine, clear liquor (酒淸妙). The Magistrate decided to stay at this house, while the officials and attendants were to find lodging (旅裝을 그르게 하엿다) in the village.

As it was precisely summer, Hŏ Min, using a wooden pillow (木枕) in the early evening, opened the Book of Odes (詩傳) to read, but briefly fell asleep<49>. Outside the front yard, the moon shone brightly, and the faint sound of insects could be heard.

Hŏ Min awoke feeling thirsty. As he lifted his head to look for water, right before him, through the open double sliding doors (雙바라지) of the outer room (밧갓방) across the way, inside a pink mosquito net (분홍모기장), wasn't there an incredibly beautiful young woman, like a fairy (仙女), lying quietly? Her snow-white breasts (白雪가튼 젓가슴)—no, all her important upper and lower parts were exposed, with only a narrow strip of pink silk gauze (분홍명주) briefly covering her waist.

The woman seemed asleep; her faint breathing, like a gentle breeze (微風) brushing across a spring lawn (봅날 잔듸밧), unbearably stirred Hŏ Min's senses. Hŏ Min propped up his wooden pillow... laid it down... sat up... stood up... lay down... closed his eyes... he must have done this more than ten times.

In the end, unable to restrain himself, he ended up crawling into that mosquito net, thinking, "I'll be strict once I get to P'yŏngyang. Who, beyond heaven itself, would know if I pluck this nameless beautiful flower (名花) in such a roadside inn (客舍)?"

However, that beautiful single flower stalk was not so compliant (順從) as to simply yield her body to the approaching butterfly.

Hŏ Min pestered her until dawn. Finally, the woman said,
"I do not know who you are, sir, but for a gentleman of virtue (道德君子) to treat a maiden (處子) of someone else's house like this is improper. If you would take my heart, which consents this once, as a pledge (맹세), please write your name here."
And she held out her jade-like palm. Hŏ Min, overjoyed, dipped a brush without a cap (無心筆)<50> into Haeju ink (海州墨) and wrote the two characters "Hŏ Min" (許民). That night became a regrettably short one for the two of them.

The next day, Hŏ Min left that humble cottage (草幕) and arrived in P'yŏngyang to assume his post.

As his first official act (政事), Hŏ Min summoned the kisaeng (妓女). Among them, he specifically called for Ch'unjong, who had ruined successive magistrates. Of course, his intention was to severely reprimand (懲責) her...
In the government courtyard (官庭), the murmuring whispers of the clerks (吏房), all fearing that the famous kisaeng Ch'unjong would lose her head at the hands of this magistrate, filled the air.
A little later, indeed, the peerless beauty Ch'unjong, apprehended by alarmed guards (羅卒), bowed her head and awaited orders (待令). The Magistrate, filled with killing intent (殺氣騰騰), issued a command as harsh as autumn frost (秋霜가튼 號令). At that moment, Ch'unjong, half-holding back tears, recited in a clear voice (朗朗):
"Ch'unjong's palm bears whose engraved name? (春種掌上刻誰名)
Ink sunk in snowy skin, each character bright. (墨入雪膚字字明)
Even should the Taedong River's waters run dry, (寧有大同江水盡)
This concubine's heart won't betray that first pledge." (妾心不負最初盡)
And she recited this poem. On her palm, the name Hŏ Min was etched. The night before, in order to meet the Magistrate, she had deliberately gone to the post road inn, undressed in the room across, held out her palm to receive his name, and then pricked along each stroke of the characters with a needle. Seeing his own handwriting (筆跡), Hŏ Min's face turned red.

Not long after, Hŏ Min too was dismissed from office. Ch'unjong composed this verse to send him off:
"Parting from my lover on the Taedong River bank, (大同江上別情人)
A thousand strands of riverside willow fail to bind him. (緣柳千絲未繫人)
Tear-filled eyes gaze upon tear-filled eyes, (含淚眼看含淚眼)
A heartbroken person sends off a heartbroken person. (斷場人送斷場人)
Even if I were to laugh while sending you off, (設令送君卽地笑)
Shedding tears at parting is human nature." (別時落淚是人情)<51>
<49-51>

**Summary**

This story recounts how the renowned P'yŏngyang kisaeng Ch'unjong cleverly avoids punishment and ultimately contributes to the downfall of a reputedly incorruptible new magistrate, Hŏ Min. Feared for his sternness, Hŏ Min travels to P'yŏngyang but stops overnight at an inn. Ch'unjong anticipates this, positions herself alluringly in a nearby room, and seduces him. She tricks him into writing his name on her palm, which she later tattoos. When Hŏ Min summons her for punishment in P'yŏngyang, she reveals the tattooed name via a poem, shaming him. He is eventually dismissed, like his predecessors, and Ch'unjong sends him off with another poignant poem. For historians, this article offers a glimpse into the social dynamics of colonial Korea, particularly the perceived power and agency of high-status kisaeng within a patriarchal society. It highlights the persistent trope of female entertainers causing the downfall of officials, the blend of classical Chinese poetry with vernacular storytelling, and contemporary attitudes towards morality and official conduct during that period.

**Named Entities**

春種	춘종	Ch'unjong
마츰 여름이라 「許民」은 초저녁에 木枕을 벼고 詩傳을 펴 닑다가 잠간 잠이 드러<49> 버리엇다. 압들에는 달이 째드시 비첫는데 버레소리 은은히 들닌다.
「許民」은 목이 갈하여 깨어 낫다. 그래서 물을 차즈려고 머리를 들 때에 보니 바로 압흐로 雙바라지 열닌 저 밧갓방으로 분홍모기장을 친 그 방안에는 白雪가튼 젓가슴을― 아니 아래우의 모든 중요한 부분은 모다 드러내 노코 겨우 열다란 분홍명주 한가달로 배허리만 잠간 가리고서 고요히 드러누운 仙女가튼 絶世의 젊은 女子가 잇지 안느냐.
女子는 잠이 들엇는지 가느다란 숨소리가 봅날 잔듸밧을 스치고 지나는 微風모양으로 許民의 感覺을 못 견듸게 건드린다. 許民은 木枕을 세웟다... 눕혓다... 안젓다... 이러낫다... 누엇다... 눈감엇다... 아마 열번은 더하엿스리.
그는 끗끗내 참지 못하여 그 모기장 속으로 기어드는 몸이 되고 말엇다. 平壤에만 가서 峻嚴하자 이런 客舍에서 일홈도 업는 저런 名花를 꺽근들 하늘 밧게 누가 알랴하고.

그러나 아름다운 그 꼿 한덜기는 차저드는 나비에게 몸을 그냥 내어맛기기에는 너무도 順從치 안엇다.
새벽녁까지 許民은 졸낫다. 마즈막에 그 女子는
「손님이 누군지는 모르지만 남의 집 處子를 이리하심이 道德君子의 못하실 일이라. 한번 허락하는 妾의 맘을 맹세로 밧으시겟거든 여기 일홈이나 써주소」
하고 그 옥가튼 손바닥을 내어 밀엇다. 許民은 너무도 깁부어서 海州墨에 無心筆을<50> 축 적시어 「許民」이라고 두 자를 써섯다. 그날 밤은 두사람에겐 무척 짧은 恨스러운 밤이 되엇다.
이튼날 許民은 그 草幕을 떠나 平壤에 到任하엿다.

許民은 첫 政事로 妓女를 불넛다. 그 중에도 歷代監司를 녹여버리든 春種을 불넛다. 물론 크게 懲責할 作定으로...
官庭에는 名妓「春種」이 이번 감사손에 목이 떠러진다고 모다 겁을 집어먹은 吏房들의 수군수군하는 소리가 가득하엿다.
조곰 잇다가 果然 絶世美人春種은 蒼慌한 羅卒들 손에 잡히어 머리숙이고 待令하엿다. 監司는 殺氣騰騰하여 秋霜가튼 號令을 내렷다. 그 때 春種은 반쯤 눈물을 먹음고 朗朗한 목소리로
「春種掌上刻誰名, 墨入雪膚字字明,
寧有大同江水盡, 妾心不負最初盡」
하고 詩 한 首를 읇헛다. 그의 손바닥에는 許民이라고 삭이어 잇다. 그는 그 전날밤 監司를 맛기 위하야 일부러 驛路客舍에 가서 옷을 벗고 건넛방에 잇섯고 손바닥을 내밀어 일홈자를 밧어서는 거기다가 글자획마다 바늘로 질너두엇다. 許民이 제 筆跡임을 보고 얼골이 발개젓다.

얼마잇지 안어서 許民도 罷職을 당햇다. 春種은 이런 글을 지어 그 분을 보내엇다.
「大同江上別情人, 緣柳千絲未繫人,
含淚眼看含淚眼, 斷場人送斷場人,
設令送君卽地笑, 別時落淚是人情」<51>
<49-51>
