Magazine Title	삼천리 제4권 제8호
Publication Date	1932년 08월 01일
Article Title	東亞·和信 兩 百貨店 合同內幕, ―그 내용과 今後 觀望 (The Inside Story of the Merger of Tonga and Hwasin Department Stores — Its Details and Future Outlook)
Author	申泰翊
Article Type	소식 (News/Report)

The Inside Story of the Merger of Tonga and Hwasin Department Stores — Its Details and Future Outlook
						Sin T'aeik

When speaking of department stores managed by Korean hands, one would mention the pair, Tonga Department Store and Hwasin Company. Indeed, there are no others (there are none even in the provinces). This doesn't mean that these are the only two department stores in Kyŏngsŏng. There are department stores larger in scale than these two, namely Mitsukoshi, Chōjiya, Hirata, and Mitsunakai, lined up. Squeezed between these large-scale department stores, this pair of department stores, positioned above and below each other, twisting and turning, have struggled greatly to turn back the feet of Korean customers flocking to the department stores in Namch'on (South Village).

Truly, with various kinds of advertisements, these two department stores were anxious to attract customers. Thus, at times, there were advertisements that deviated from the norm. However, as it was something done by those with little power and under the pressure of large capital, we have overlooked their faults and only wished for the healthy growth and longevity of these two places.

Tonga Department Store and Hwasin Company, which had thus drawn much anticipation and great attention from Koreans, are said to have decided to become one entity. Hearing these words, an indescribably tangled thread of thoughts became jumbled in my head. Of course, since this merger involves the two department stores managed by Koreans, upon hearing the simple news that they are becoming one entity, one shouldn't worry greatly. Like the saying, "even a single sheet of paper is lighter when held together," one might think that joining small forces provides the strength to withstand large-scale competitors. Considering this point, the news that Tonga and Hwasin are becoming one entity might not be such an ominous thing<57>. However, the affairs of the world are not simple. Worldly matters are truly complex. It is proven by overly clear examples that one cannot definitively say the inside (裡面) is the same as the surface based solely on what appears on the outside. Then, to what category should the merger of Tonga and Hwasin be seen as belonging? When I think about this, the first thing that comes out of my mouth is, "It's something unknowable." And many doubts cloud my view.

No, it's not because I know there is something impure about the merger, but perhaps it's pride, or perhaps maintaining appearances; whatever the reason, the fact that there are four Japanese department stores in Kyŏngsŏng, while even just two Korean-managed department stores exist in the Pukch'on (North Village) shopping district, gives some sense of reassurance, and consequently, affection arises from paying too much attention to them. Since the two department stores have already decided to become one entity, it is necessary to hear the details of this merger. Therefore, combining what I have heard with what I have been thinking, I believe it is not the act of an idler (閑客) to glimpse even a fraction of where the true nature of this merger lies and to consider what path this merger will tread in the future.

The Reason for This Merger

As the world knows well about Tonga Department Store and Hwasin Company, and since I have written about them twice on the pages of this Samch'ŏlli magazine, I will omit explanations of what Tonga is and what Hwasin is. However, when one speaks of the merger of these two department stores, one might think that the managers of both places have decided on joint management. But this merger is not like that.

It means that the manager of Tonga Department Store sold Tonga Department Store to the manager of Hwasin Company. Therefore, rather than calling it a merger of the two department stores, it is more appropriate to say that Hwasin Company purchased Tonga Department Store.

What is the reason why these two department stores, which had competed fiercely side-by-side until today, decided to become one entity? Regarding this, the authorities of the two department stores say the following:
Following the trend of the times, they managed department stores, but the times are recessionary. Moreover, not only is it impossible to compete against Mitsukoshi, Chōjiya, etc., which advance with great momentum backed by large capital, but also Tonga and Hwasin department stores, standing shoulder to shoulder, engaged in excessive competition to attract customers, resulting in significant losses rather than profits. Therefore, the manager of Tonga, Mr. Ch'oe Nam, handed over his department store to the manager of Hwasin, Mr. Pak Hŭngsik. Thus, with the spirit of preventing losses for both sides, a courageous decision was made, leading to the finalization of this merger.

These are truly words worth listening to, and the situation deserves much sympathy. However, from my perspective, while the above reasons for the merger cannot be entirely dismissed, the hidden reasons behind these superficial explanations cannot be ignored either. I will postpone discussion on this to the next section. Since the merger occurred in this way, let's hear what the details of this merger are. According to the authorities of the two department stores:

To prevent fierce competition between the two department stores, Mr. Pak and Mr. Ch'oe Nam met on July 13th and first discussed the merger. Then, on July 14th, they formally met at the Chosŏn Hotel, exchanged opinions on the circumstances that disallowed the confrontation between the two department stores, and the next day, the 15th, after staying up all night at Namsanjang, the contract to hand over Tonga Department Store to Hwasin Company was finally concluded.<58> And the main points of this contract are as follows:

O To validate this contract, Mr. Pak Hŭngsik shall pay 10,000 won to Mr. Ch'oe Nam as a contract deposit.
O Starting from August 1st, the merchandise of Tonga Department Store shall be inventoried, and the payment shall be made at 70% of the cost price market value.
O Accordingly, Mr. Pak Hŭngsik shall take over the trade name (商號) of Tonga, accounts receivable (外上代金), debts (負債), etc., entirely, while Mr. Ch'oe Nam agrees not to engage in the same type of business for one year.
O The employees of Tonga shall continue to be employed by Hwasin as they are.

Following the finalization of the above clauses, Tonga was completely transferred to Hwasin. I also have my views on this, but if space permits later, I will speak then; for now, I shall stop here.

Why Was Tonga Sold?

Thus, through the explanations of the authorities regarding the merger of the two department stores, the general course of events can be understood. So, were there no other hidden reasons behind the superficial justifications for this merger? I feel a desire to know. Regarding this, based on what I have heard and seen, I believe it hinges entirely on the following reasons.

I have briefly mentioned through the pages of this Samch'ŏlli magazine how Mr. Ch'oe Nam, the owner of Tonga Department Store, came to run a general store and what background led to the department store, so I will avoid repeating myself here. However, this point needs clarification. Originally, Mr. Ch'oe was a man without money who had great aspirations for commerce, so he persuaded someone with money and used that money to enter the business world. Indeed, if there hadn't been a person with money, even with great aspirations, becoming the owner of today's Tonga Department Store would have been difficult. Let's then see who was behind Mr. Ch'oe.

From Tŏkwŏn Store (德元상점) to the management of Tonga Women's Store (東亞婦人 상회), everything was sustained by the power of a certain Mr. Kwŏn. Later, seeing Mr. Min constructing a large building on Chongno, he conceived the plan for Tonga Department Store. However, realizing that managing a complete department store was impossible since he was using someone else's money, he sought out influential figures in the Kyŏngsŏng business world at that time, namely the owners of OOO Store in fabrics, OO Tang in watches, OOO Tailor Shop in Western clothes, and OO Company in gold and silver, and strongly advocated for leasing Mr. Min's building to manage a large chain department store under Korean hands.

Although it seemed likely at first, when it ultimately failed to materialize, Mr. Ch'oe indignantly gathered wealthy individuals like his own financier Kwŏn, Cho OO of OO Pharmacy, and Kim OO of Paeugae, and began managing it solely by himself.

One more thing to add here: while Kwŏn had not appeared publicly until the time of Tonga Women's Store, from the time Tonga Department Store began operations, Kwŏn also appeared openly, sitting desk-to-desk with Mr. Ch'oe and handling affairs. Not only that. The cash flow of Tonga Department Store was entirely managed by Kwŏn's direct subordinates. Kwŏn's influence did not end there. He made Kyŏngsŏng City Council member Mr. Kim Sayŏn his man under the title of manager. Why did Kwŏn come to monitor Mr. Ch'oe like this? I think there might have been such reasons. Until Tonga Women's Store,<59> the scale was not large, but managing Tonga Department Store required a large scale and consequently a large investment of capital. Therefore, thinking that he could no longer entrust it solely to Ch'oe as before, Kwŏn's influence grew one by one as described above.

Even with all this, if the finances of Tonga Department Store had balanced, it might have been different. But trusting only in Ch'oe's skill, a large amount of money was invested, and about a year into management, they incurred significant losses (according to someone, they lost 70,000 won during that time), causing Kwŏn and the other financiers to be astonished and lose color (驚愕失色). Thus, they began to think about how they could recover the invested capital. What thoughts did Mr. Ch'oe Nam have at this time? It probably occurred like this. He likely had a strong desire to preserve this Tonga Department Store at all costs, using every possible strategy. However, since Ch'oe was a man without money, he likely couldn't go against the financiers' intentions. That's why Mr. Ch'oe Nam, the owner of Tonga Department Store, ended up offering the large signboard of Tonga Department Store, after only one year of management, to the fiercely competing Hwasin Company. Without needing further explanation, one can guess from the above course of events why Tonga was sold.

How Much Strength Does Hwasin Have?

Regarding the Tonga Department Store side, let's conclude with the above. This time, regarding Hwasin Company, which absorbed Tonga, what strength does it possess that enabled it to merge the two department stores into one entity? Speaking of Hwasin naturally necessitates mentioning its representative, Mr. Pak Hŭngsik. Like Mr. Ch'oe Nam, I have already mentioned what kind of person Mr. Pak is through the pages of Samch'ŏlli. Mr. Pak is from Yonggang, P'yŏngan North Province, and seems to have trodden a path of good fortune (僥幸) to achieve the great activity seen today. I will omit the detailed account of this and just mention that Mr. Pak, today, seems like a person who strives to shape any business, even slightly related to him, according to his own will, in a manner of charging left and right (左衝右突). In any case, even attaching the character for 'chaebol' (閥字) wouldn't be too presumptuous in Korea, as Mr. Pak manages quite a number of businesses. Sŏnil Paper (鮮一紙物), Sŏn'gwang Printing (鮮光인쇄), and finally, the management of Hwasin Company were added. What is the extent of Mr. Pak's financial power, managing such various businesses? As this concerns another's creditworthiness, I do not know, and even if I did, it is something I cannot say. I will only mention that behind Mr. Pak stands the OO Bank. Also, Mr. Pak possesses an unusual skill (長技) in utilizing banks, enabling him to display activity beyond expectations. Like Tonga Department Store, Hwasin Company also failed to turn a profit, but Mr. Pak sought to extend his hand everywhere to open paths for expansion. Thus, there is talk that he attempted to merge with the neighboring OO Trading Company to plan for a large department store. In this way, Mr. Pak is enthusiastic about setting things up, regardless of the eventual outcome. At such a time, upon hearing the offer to buy the competing rival, Tonga Department Store, Mr. Pak readily agreed and quickly accepted it.

So, What Will Happen Now?

In any case, Tonga and Hwasin have become one entity.
Since the merger has happened like this, whether it was formed solely for the reasons they state or for other reasons, there is no use in lengthy discussion. Now that they have merged, it is the duty of Koreans to wish that, as a Korean-managed entity, it lays a foundation solid as bedrock (盤石) and displays the grand stature (雄姿) of the only major department store in Korea. Therefore, I intend to watch with wide eyes, hoping for the healthy growth of this merged department store. However, regarding this merger of the two department stores, various conflicting rumors (區區不一한 전설) circulate in the world. Of course, <60> I believe many are baseless fabrications (虛說). I do not wish to lend an ear to such rumors. From now on, I firmly believe that this newly independent department store will become the vanguard, invigorating the Pukch'on southern street, and march forward. With these thoughts, I would like to offer a few words of request to Mr. Pak Hŭngsik, who has come to manage this merged department store. These words might echo unanswered, but I cannot simply stand by watching the desolate state of the Korean Namch'on street and its decline. Please understand that even a hoarse voice cries out from a heart wanting to support even the single Korean-managed department store.

Mr. Pak! You are truly a courageous person. Saying this might sound like flattery, but it is not. Is there anyone in the Korean business world who has established as much as you? When Tonga Department Store first emerged, although I had no connection whatsoever, I was inwardly very pleased. Thus, I celebrated the birth of Tonga Department Store through the pages of this Samch'ŏlli magazine and prayed earnestly for its longevity. However, I once said this to a certain store owner friend:
"It's good that Tonga Department Store has appeared, but since it's not accomplished by Ch'oe Nam's own strength, its continuation is doubtful, and furthermore, the idea of a Korean managing a department store... I hoped my thoughts would turn out wrong."
Just one year after saying this, that friend tells me that the result turned out exactly as I had feared.

Mr. Pak! Of course, I do not believe you are someone who would abandon it midway like Mr. Ch'oe. Believing in your youth and the great power supporting you, I trust you will ensure its steady growth without any change. No, considering that the Korean-managed department store has become a single entity, you must redouble your efforts and activities. Your responsibility henceforth is very heavy. I believe you understand this well. At the symposium on relief measures for small and medium-sized merchants and industrialists hosted by OO Daily News, I remember you saying something like this:
"The plight (窮境) of Korean small and medium-sized merchants is not insignificant. They are truly facing a crisis. If things continue like this for another year, Korean small and medium-sized merchants will have no path but ruin."
Indeed. You saw it clearly. It is a fact that Korean merchants are facing an imminent crisis (危機一髮). There is no need for repeated requests to you who know this so well, but when a matter is weighty and great (重且大), repeated caution is prompted (족케).

Mr. Pak! I have heard many things. I do not wish to speak of what I have heard. However, among the circulating rumors, there is one that causes me the greatest apprehension (危懼), but thinking calmly, I find some reassurance trusting your skill. You must not harbor thoughts like those you had when you first formed a relationship with Hwasin through an incidental monetary OO. You should exercise extreme caution, considering how far the repercussions (파문) might spread if you mismanage this department store even once.

Mr. Pak! Considering your leap from your starting point in the Yonggang region to your advance into Kyŏngsŏng, while your own skill played a part, I believe much good fortune (僥幸) was involved. Therefore, contemplating your path forward, I cannot help but make repeated requests (重言復言).

Mr. Pak! Your ears may ache, but finally, I earnestly hope that the rumors (風說) surrounding this department store indeed vanish like mere rumors, and that you advance fiercely with steadfast strategy (堅固不拔), possessing life long, long...
1932, July 26, From sickbed<61>

**Summary**

The article discusses the recent acquisition of Tonga Department Store by Hwasin Department Store, both Korean-owned businesses in colonial Kyŏngsŏng (Seoul). While the official reason given is the need to consolidate against overwhelming competition from larger Japanese department stores (Mitsukoshi, Chōjiya, etc.) and avoid mutually destructive internal competition, the author suspects deeper financial troubles, particularly for Tonga's owner, Ch'oe Nam, who relied heavily on external financiers like a Mr. Kwŏn. The author expresses cautious optimism for the merged entity under Hwasin's owner, Pak Hŭngsik, known for his business acumen and backing from OO Bank, but urges him to manage responsibly, aware of the heavy burden of representing the sole major Korean department store and the potential negative impact of failure on the Korean business community amidst widespread rumors. The article offers a glimpse into the precarious position of Korean capital and entrepreneurship under Japanese rule, highlighting the intense competition from Japanese businesses, internal financial vulnerabilities, and the symbolic importance attached to maintaining Korean-owned enterprises. Historians might find the detailed account of the merger's background, the mention of specific financiers and business figures (even if partially censored), the explicit comparison with Japanese competitors, and the author's blend of nationalist sentiment and cautious skepticism particularly valuable for understanding colonial economic dynamics and the social pressures on Korean business elites.

**Named Entities**

東亞백화점	동아백화점	Tonga Department Store
이러케 해 가지고라도 東亞백화의 收支가 마젓드면 몰으겟스나 崔의 수완만 밋고 만흔 돈을 집어 너헛는데 경영한지 1年이 될가말가한 이 때에 만흔 損(누구 말에 의하면 그동안 7만원 損을 보앗다고 한다)를 보게 됨에 權과 다른 錢主는 驚愕失色하엿다. 그래서 어떠케 하면 듸려논 자본을 회수할 수 잇슬가 하는 생각을 갓게 되엇다. 그러면 崔楠씨는 이 때에 어떠한 생각을 가젓든가 아마도 이러하엿슬 것으로 생각이 든다. 자기로서는 百策을 다 써라도 이 東亞백화점 하나만은 보전하랴는 맘이 가득 하엿슬 것이다. 그러나 崔는 돈업는 사람임으로 錢主의 의향을 안 딸하갈 수 업섯든 것이라고 생각한다. 그래서 東亞백화점主 崔楠씨는 격렬히 경쟁하여 오든 和信상회에다가 경영한지 1年만에 東亞백화점의 큰 간판을 바치게 된 것이다. 이에 대하야 더 말 안 할지라도 以上의 경로로 보아서 東亞가 왜-팔게 되엿든가를 짐작할 수가 잇다.

和信은 얼마만한 힘이 잇는가
東亞백화점의 편에 대하야는 以上으로 끗을 내이고 이번에는 東亞를 합하게 된 和信상회는 무슨 힘이 그러케 만허서 兩 백화점을 한덩어리로 맨들게 되엿는가? 和信을 말하랴니 자연히 和信의 대표자인 朴興植씨를 말 안할 수가 업시된다. 이 朴씨에 대하야도 崔楠씨와 가티 이미 三千里 紙上을 통하야 어떠한 사람이라는 것을 말한 일이 잇다. 朴씨는 平北 龍江사람으로 僥幸의 길을 밟어서 오늘과 가튼 큰 활약을 보게 된 것 갓다. 이에 대하야는 자세한 바를 피하라고 하며 다만 朴씨가 오늘에 잇서 左衝右突의 格으로 무슨 사업이든지 자기에게 多少라도 관계가 잇게 되면 그것을 그대로 내바려 두지 안코 모다 자기의 뜻대로 만들기에 힘쓰는 사람과 가티 생각이 든다. 어떠튼지 閥字를 부처도 朝鮮에서는 과히 망발 안될것과 가티 朴씨는 하는 사업이 상당히 만흔 터이다. 鮮一紙物, 鮮光인쇄, 끗흐로는 和信상회의 경영까지 겻드렷다. 이러케 여러 가지의 사업을 경영하는 朴씨의 資力은 얼만한 정도에 達하는가 이에 대하야는 남의 신용관계가 되는 일임으로 알지도 못하거니와 가령 안다고 하드래도 말할 수 업는 일이다. 다만 朴씨의 등뒤에는 OO은행이 잇다는 것만은 말해둔다. 또 朴씨는 은행을 이용하느데 남유달은 長技를 가지고 잇서 생각지 못한 정도의 활약을 보게 되는 것이다. 東亞백화점과 가티 和信상회도 利를 못보앗스나 朴씨는 어듸까지 손을 내여 밀어서 확장의 길을 열야고 하얏다. 그래서 그 이웃에 잇는 OO무역회사와 합병을 하여가지고 大백화점을 經綸하랴든 일이 잇섯다는 말이 잇다. 이와 가티 朴씨는 乃終에는 어떠케되든지 벌여 놋는데 열심이다. 이런 때에 경쟁의 적인 東亞백화점을 사가라는 말을 듯게 됨에 朴씨는 곳긴 대답하고 얼는 바더듸린 것이다.
그러면 아프로는 어떠케 될가.
어떠튼지 東亞와 和信이 한덩어리가 되고 말엇다.
이와 가티 합병이 된 以上에 그들이 말하는 이유로만 성립이 되엿든지 혹은 달은 이유로 되엿든지 길-게 말하야 소용업는 일이다. 이미 합체된 以上 朝鮮사람의 경영으로서 盤石과 가튼 기초를 닥가 조선에서 오즉 하나인 大 백화점의 雄姿를 날이기를 비는 맘이 朝鮮사람으로서 가질 바이라 그럼으로 兩 백화점이 한덩어리가 된 이 백화화점의 생장이 잘 되기를 나는 큰 눈뜨고 바라다 보랴고 한다. 그러나 이 兩 백화의 합병에 대하야 세상에는 區區不一한 전설이 잇다. 물론 근거업는 조작의 虛說이 만흘 것이라고＜60＞ 나는 밋는다. 이런 전설은 귀담어 듯고 십지안타. 인제로부터는 독신된 이 백화점이 北村南街의 활기를 도드는 前衛隊가 되여서 나아가게 될 것을 나는 굿세 굿게 밋는다. 이런 생각을 가지고 나는 이 합병의 백화점을 경영하여 나가게 된 朴興植씨에게 몃 마듸의 부탁을 하랴고 한다. 이런 말이 아모 反響업는 말이 될지 모르나 나로서는 朝鮮사람의 南街가 너무 적막함을 생각하고 시들어가는 것을 보고 그냥 잇슬 수 업다. 쉬인 목소리라도 朝鮮사람 경영의 백화점 하나라도 支持하자는 맘에서 울어저 나오는 것이란 것만 아러 주기를 바란다.
朴씨! 그대는 참으로 용기가 잇는 사람이다. 이러케 말하면 추어서 하는 말가트나 그런 말이 아니라 朝鮮人 商界에서 그대와 가티 별여논 사람이 업지 안흔가 東亞백화점이 처음으로 생길 때에 나는 何等 관계가 업스나 속으로 매우 깁엇다. 그래서 나는 이 東亞백화점의 탄생을 이 三千里 紙上을 통하야 慶賀하고 그의 壽命이 길기를 만히도 빌엇다. 그러나 나는 어느 親友인 某상점 주인에게 이러케 말한 일이잇다.
東亞백화점이 생길것만은 조키는 좃타만 崔楠의 힘으로 되는 것이 아닌 즉 그 계속이 의문이며 돌이혀 朝鮮사람이 백화점을 경영한다니 말이 되나 하는 말이 내 생각에도 되여 갓스면 하엿다.
이러케 말한지 겨우 1年만에야 내가 염려하든 바 그대로의 결과를 나타냇다고 그 親友가
말한다.
朴씨! 물론 그대는 崔씨와 가티 중도에 내여바릴 사람으로 나는 밋지안는다. 그대의 나희가 젊고 또 그대를 후원하는 큰 힘이 잇는 以上에 조곰도 변함이 업시 잘 생장케 할줄로 밋는다. 아니 朝鮮사람 경영의 백화점이 단 하나로 되엿다는 점을 생각하야 그대는 一層의 분투활약을 안하면 안된다. 압흐로 그대의 책임은 매우 무겁다. 그대로 잘 알 줄로 생각한다. OO일보 주최의 중소상공업자 구제대책 좌담회에서 그대가 이러케 말하엿다고 기억된다.
『朝鮮人 중소상업자의 窮境은 약간이 아니다. 참으로 위기에 직면하여잇다. 이대로 一年을 간다면 朝鮮人 중소상업자는 모다 파멸의 길밧게 업다』
과연이다. 그대는 잘 보앗다. 朝鮮상인은 위기일발에 당면한 것이 사실이다. 이러케 잘 알고잇는 그대에게 屢屢히 부탁할 것은 업지만 일이 重且大함에는 거듭 주의를 족케 되는 것이다.
朴씨! 나로서 드른 바가 만다. 그 드른 바를 말하고 십지안타. 그런대 전하는 말 중에도 나로서 가장 危懼로 갓게 하는 말이 잇스나 냉정히 생각하여 불 때에는 그대의 수완을 밋고 나는 얼만큼 위안이 된다. 그대가 처음에 和信과 우연한 금전의 OO과 관계를 매진 그대의 생각과 가티 맘을 써서는 안된다. 그대가 이 백화점의 경영을 한번 잘못하는 경우는 그 파문이 어듸까지 갈 것인가 함을 생각하야 신중을 거듭할 것이다.
朴씨! 그대가 龍江이란 지방을 출발점으로 一躍하야 京城에 진출을 보게되기까지 그대 활약이 그대의 수완도 잇거니와 나는 僥倖이 만엇든 것을 생각하고 그대의 압길을 헤침에는 重言復言의 부탁을 안하고는 잇을 수가 업다.
朴씨! 귀가 아플는지 모르겟스나 끄트로 간절히 바라건대 이 백화점을 에워싸고 도는 風說이 과연 風說로 사러지게 하고 堅固不拔의 작전으로 猛進하고 길이길이 생명을 갓기를 ...
1932, 7, 26, 病席에서＜61＞
＜57-61＞
