Magazine Title: 개벽 제3호
Publication Date: 1920년 08월 25일
Article Title: 막쓰와 唯物史觀의 一瞥 (읽은 中에서) (A Glimpse of Marx and Historical Materialism (From Readings))
Author: 又影生
Article Type: 논설 (Editorial/Essay)

A Glimpse of Marx and Historical Materialism
						U Yŏngsaeng

Critics of Marx are divided on the question of whether to call Marx a philosopher or his doctrines philosophy. However, a glance at Marx's doctrines shows that they are a step further from the attitude of the Feuerbachian school, which insisted, "My philosophy is no philosophy." It transforms the conventional philosophy, which seems to have reached its zenith with Hegel, establishing its arguments as pure science. Therefore, Marx's doctrine is not abstract philosophy but concrete science, and it aims to be the successor to all philosophy.

In other words, the characteristic of Marx's doctrine lies in taking the evolutionary method of thought (進化的 思索法) from Hegel's philosophy and combining it with materialism. That is, the foundation of his doctrine was constructed and initiated with an evolutionary method of thinking about world affairs and a materialist perspective.

Commonly, people tend to hastily judge materialists as selfish people, greedy people, people of low-level hedonism, or people without ideals and humanity. However, philosophical idealism (spiritualism, idealism) and materialism (物質主義) have no relation whatsoever to our ideal motivations in practical life. Idealists assert that the material world can never exist independently. Only spirit exists as the sole independent entity, and the material world is merely a reflection or expression of spiritual development. In response, materialists assert that in human society, the material world perceived by our five senses is the only real world. We know nothing beyond the knowledge gained through our five senses. Spirit is merely a reflection of the material world.

Viewed this way, it should not be considered strange even if a philosophical materialist becomes an idealist in practical life, or if a philosophical idealist becomes a non-idealist in practical life. <98> Marx's doctrine is by no means sophistry. It is based on the evolutionary method of thinking, that is, observing things historically, considering our world as a chain of ceaseless change and growth in a dynamic state, and arguing that to understand things, one must investigate the principles of their birth, death, flourishing, and decline. The application of this method of thinking by materialists to the study of the history of human society is precisely Historical Materialism, which forms the basis of Marx's doctrine.

Thus, the doctrine of Historical Materialism is as follows: The progress of human society or the evolution of institutions is not, as idealists argue, the result of changes in human thought, but the result of the development of the material conditions (物質的 條件) of that society, asserting that material conditions are the true foundation of our society. Various institutions adapt and change accordingly; thoughts concerning good and evil, right and wrong between people, or thoughts concerning faith between humans and gods, all arise from and change due to changes in the material conditions of human life.

However, Marx went further and studied the material elements related to history. As a result (結架), he elucidated that economic conditions are the fundamental driving force of historical evolution. Based on this, he explained the true transitions of history, simultaneously providing clear evidence for and adding brilliance to the doctrines of previous materialist historians. This constitutes the scientific value of Marx's Historical Materialism.

When Marx specifically selected economic factors from among the material elements and emphasized (逆說) them as the fundamental driving force of historical evolution, he did not claim that only economic factors develop and change among the material elements. Rather, he meant that their changes are conspicuous and their development is great. He stated that among material elements, factors like race, geography, climate, etc., hardly change. This would not be an overstatement. How could factors with little change induce great changes in society?

He acknowledged that even if some material elements have slow and narrow effects of change, they exert a corresponding influence on society within the limits of their foundation and scope. Furthermore, he clearly stated that in primitive societies, where the tools used were extremely poor and crude, and humanity was entirely constrained by nature, even minor changes could ripple through society with powerful effects.

However, Marx struggled to formulate his arguments accurately by surveying all material elements. As a result of detailed research, <99> he confirmed that these various elements have a weak influence on society and possess a subordinate relationship to economic factors. Furthermore, since the influence of non-economic factors on society gradually decreased in power with social progress, Marx did not treat them as a major issue when discussing the broad outlines of historical evolution.

To state the arguments of Historical Materialist proponents more simply, let us assert that production or distribution forms the basis of all social institutions. The institutions and forms of society are established according to the production and distribution methods of that society. Thus, social transitions and changes in political systems are not related to the progress of ideas like truth or righteousness, but are related solely to changes in the methods of production and exchange. In other words, it is argued that the cause of social change lies not in philosophy, but is based on the scientific economic state. <100>

**Summary**

This article introduces Karl Marx's Historical Materialism, distinguishing it from traditional philosophy by grounding it in scientific observation of material conditions. It explains that Marx, building on Hegel's dialectics and Feuerbach's critique of philosophy, posited that societal development and institutions are driven not by ideas (idealism) but by changes in material conditions, particularly economic factors like production and distribution. While acknowledging other material factors (geography, race), the author explains Marx emphasized economics due to its significant and dynamic role in historical change, especially as societies advance. The author stresses that Marx's materialism is a philosophical stance distinct from personal lifestyle or morality. For historians, this article is significant as an early Korean introduction (1920) to Marxist thought, appearing in the influential nationalist magazine *Kaebyŏk*. It reflects the intellectual currents of the time, where Korean intellectuals were engaging with Western ideas, including radical philosophies like Marxism, as potential frameworks for understanding their colonial situation and envisioning social change.

**Named Entities**

막쓰	막스	Makssŭ (Marx)
簡單	간단	Simple
論據	논거	Argument, basis for argument
生産	생산	Production
分配	분배	Distribution
基礎	기초	Foundation, basis
主張	주장	Assertion, claim
形體	형태	Form, shape
如何	여하	How, what kind
方法	방법	Method
制定	제정	Establishment, enactment
政體	정체	Political system
變形	변형	Transformation, change of form
眞理	진리	Truth
關係	관계	Relation, connection
交換	교환	Exchange
換言	환언	In other words, paraphrasing
原因	원인	Cause
經濟狀態	경제상태	Economic state
依據	의거	Based on, grounded in
-e 

---------------------------


잡지명	개벽 제3호
발행일	1920년 08월 25일
기사제목	막쓰와 唯物史觀의 一瞥 (읽은 中에서)
필자	又影生
기사형태	논설

막쓰와 唯物史觀의 一瞥
						又影生
막쓰에 對한 批評家들은 막쓰를 哲學者이라 할가. 막쓰의 學說을 哲學이라 할가 하는 問題로 議論이 紛紛하다. 그러하나 막쓰의 學說을 一瞥컨대 『予의 哲學은 無哲學이라』 主張하던 포열파의 態度에 更進一步한 것이니 헤겔에 至하야 最頂點에 達한 觀이 有한 從來의 哲學을 引化하야 純正한 科學으로써 立論함이다. 故로 막쓰의 學說은 抽象的의 哲學이 안이라 具體的 科學이며 또 一切의 哲學의 後繼者가 되려 한다.
다시 말하면 막쓰의 學說의 特徵은 헤겔의 哲學에서 進化的 思索法을 取하야 此를 唯物論과 結合함에 在하니 卽 世界事物에 對한 進化的 思索方法과 唯物論的 見解로써 學說의 根底를 構成하며 出發하엿다.
普通 世人들은 唯物論者라 하면 我利의 人 我慾의 人 低級의 快樂主義의 人 또는 沒理想의 人 不人情의 人으로 輕斷하는 通弊가 업지 안이하나 그러하나 哲學上의 唯心論 (精神主義 理想主義)과 唯物論(物質主義)과는 吾人 實際生活上의 理想的動機와는 何等의 關係가 無한 것이다. 唯心論者는 말하되 物質의 世界는 決코 獨立으로는 存在치 못한다. 오즉 精神이 唯一한 獨立으로 存在한 것이니 物質의 世界는 精神發展의 反影 또는 表現에 不過하다 主張한다. 此에 對하야 唯物論者는 말하되 人生社會에 在하야 吾人의 五官이 知覺하는 物質界가 唯一의 眞實의 世界이다. 吾人은 五官으로 感得하는 知識 以外에는 아모것도 모른다. 精神이란 것은 다만 物質界의 反映에 不過한다 主張한다.
此에 由하야 觀할진대 哲學上唯物論者가 實際生活上에는 理想主義가 되던지 哲學上唯心論者가 實際生活上에는 非理想主義가 될지라도 怪異타고는 謂치 못할 것이다. ＜98＞ 막쓰의 學說은 결코 詭辯이 안이다. 進化的思索法 卽 事物을 歷史的으로 考察하야 吾人의 世界는 動的狀態로 間斷업는 變化 成長의 連鎖라 觀察하야 立論함이요 事物을 理解함에는 그 生死와 盛衰의 原理를 討究치 안이치 못할 것이니 이 思索法을 唯物論者가 人類社會의 歷史硏究에 應用함이 이것이 卽 唯物史觀이며 막쓰學說의 根據가 되는 것이다.
이에 唯物史觀의 學說은 이러하다. 人生社會의 進步 또는 制度의 進化는 唯心論者의 所論과 如히 人生思想의 變化한 結果가 안이라 그 社會에 對한 物質的 條件이 發達된 結果라 하야 物質的 條件이 吾人 社會의 眞實한 根本이 된다 함이다. 諸種의 制度는 此에 適應하야 變化되는 者이니 人과 人間에 善惡正邪의 思想이라던지 人과 神間에 信仰上의 思想이라던지 均히 人生 生活 物質的 條件의 變化로 基因되어 變化하는 것이다.
그러하나 막쓰는 更히 進하야 歷史上에 對한 物質的 諸要素를 硏究하엿다. 그 結架 經濟的條件이 歷史的 進化에 根本的 動力이 됨을 闡明하고 此에 依하야 眞適한 歷史의 變遷을 說明하고 아울러 從來의 唯物的 史學者들의 學說에 明證을 與하엿고 光輝를 添하엿나니 이것이 막쓰의 唯物史觀의 科學的價値가 되는 것이다.
막쓰는 物質的 諸要素中에서 特히 經濟的 要素를 選하야 此를 歷史進化의 根本動力됨을 逆說함은 物質的 諸要素중에 經濟的 要素만 發達하며 變化된다 主張함은 안이요 다만 變化가 顯著하고 發達이 偉大함을 意味함이니 物質的 諸要素중에 (人種, 地理, 氣候)等은 殆히 變化치 안는다 하엿다. 過言이 안일 것이다. 큰 變化가 업는 要素가 엇지 社會의 큰 變化를 誘發하리요.
物質的 諸要素중에 엇더한 要素는 遲緩하며 狹小한 變化作用이라도 그 根底와 範圍에 限하야 相當한 社會에 影響을 波及한다 함을 認定하얏나니 더욱 原始社會에 在하야는 使用하는 器具가 甚히 貧弱粗苯함으로 人類가 全히 自然界에게 制裁될 時는 些少의 變化라도 强大한 影響을 社會에 波及함도 明言하엿다.
그러하나 막쓰는 一切의 物質的 要素를 統觀하야 正確히 立論하려 苦心하얏스나 詳細히 硏究한 結果로 ＜99＞ 此等의 諸要素는 社會와 影響이 微弱하야 經濟的 要素에 附屬的 關係를 有함을 確認하고 아울러 經濟的 要素 以外의 諸要素의 社會에 對한 影響은 社會에 進步를 隨하야 漸漸 그 勢力을 減少하엿슴으로 막쓰는 歷史進化의 大體를 論할 時에 此를 問題로 하지 안이 하엿다.
다시 簡單히 唯物史觀論者의 論據를 말할진대 生産 또는 分配로써 모든 社會制度의 基礎가 된다 主張합시다. 社會의 制度와 形體는 그 社會의 生産如何와 分配方法에 依하야 制定되는 것이니 社會의 變遷 政體의 變形은 眞理라 正邪라 하는 思想精神의 進步에 關係함이 안이요 다만 生産及交換方法의 變化에 關係됨이라 함이니 換言하면 社會變化의 原因은 哲學에 在함이 안이요 科學的經濟狀態에 依據됨을 主張함이다.＜100＞
＜98-100＞
