Magazine Title: 개벽 제65호
Publication Date: 1926년 01월 01일
Article Title: 社會日誌 (Social Diary)
Author: Not specified
Article Type: 소식 (News/Briefs)

Social Diary
From November 16th

【November 16th】△Chang Tso-lin opened a major conference of the Fengtien Clique to discuss finance and military affairs. △The British Parliament convened. △The Dutch Cabinet resigned. △Wu P'ei-fu again notified the diplomatic corps of various countries about the seizure of salt tax revenues.

【November 17th】△At the Beijing Tariff Conference's subcommittee, agreement was reached on the Chinese sovereignty proposal.

【November 18th】△K'ang Ik-rok, who attacked the Sŏnch'ŏn County Samgŏn Police Post, was sentenced to life imprisonment.

【November 19th】△At the Beijing Tariff Conference, the sovereignty and lijin abolition proposals were passed unanimously. △A great flood occurred in Mexico City, devastating the city. △In the Italian Parliament, a major brawl erupted between Kokusui Party members and Communist Party legislators.

【November 20th】△British Queen Mother Alexandra passed away.<50>

【November 21st】△The strike issue involving Fuji Spinning Co. workers in Kanagawa Prefecture, Japan, escalated, with over sixty arrested and a large demonstration of over six thousand people occurring. △The German Upper House approved the Locarno Pact.

【November 22nd】△Over two hundred Pusan printing workers went on strike over wages and treatment issues. △Chōsen Sōtokufu Vice Governor-General Simo'oka Chūji passed away. △China's Ch'en Tiao-yüan, echoing Wu P'ei-fu, declared the seizure of salt tax revenues under the title of Chiangsu Commander-in-Chief. △The French Painlevé Cabinet resigned en masse due to the failure of the finance bill.

【November 23rd】△In China, conflict between the Fengtien Clique and the Honan Clique reignited. △Kuo Sung-ling, a subordinate of Chang Tso-lin, raised a banner of revolt against Chang in Luanzhou with 70,000 troops. △Over ten ideologues (socialists/communists) were arrested in Sinŭiju.

【November 24th】△The case of eleven individuals, including Pak Yŏl of the anarchist group Pulch'ŏngsa and his wife Kim Ch'a-hong, arrested in Tokyo in August 1923 on charges of lèse-majesté, was declassified and announced. △An agreement was reached between China's Feng Yü-hsiang and Kuo Sung-ling.

【November 25th】△Kuo Sung-ling declared independence<51> and simultaneously advanced on Fengtien with four units. △Over one hundred members of the Wando Cotton Producers' Association stormed the county office to oppose the establishment of a Wando cotton sales outlet.

【November 26th】△Siamese Emperor Rama VI passed away. △China's Chief Executive Tuan Ch'i-jui announced his resignation amidst the turmoil. △The Fengtien army suffered major defeats everywhere. △In Naju, a major clash occurred between over ten thousand tenant farmers and armed police (due to the issue of a pact refusing to pay tenant fees).

【November 27th】△Feng Yü-hsiang held a military conference to discuss a committee-based cabinet. △Kuo Sung-ling demanded that Chang Tso-lin hand over the Three Eastern Provinces (Manchuria). △In Naju, five to six thousand male and female tenant farmers surrounded and physically pressed the county magistrate. △Russia's Lev Karakhan arrived in Beijing for the purpose of promoting communization.

【November 28th】△Feng Yü-hsiang carried out a coup d'état (violent political change) in China, and simultaneously, a revolutionary demonstration occurred in Beijing. △Real power in Beijing fell to Feng Yü-hsiang.

【November 29th】△At the National Demonstration Movement outside Beijing's Tiananmen Gate, resolutions were passed guaranteeing international equality, the lives and property of citizens, and freedoms of speech, assembly, and association. △The Kyŏngnam Youth Alliance was organized in Masan.<52>

【November 30th】△In Kyŏngsŏng (Seoul), six or seven ideologues, including Im Wŏn-gŭn and Yu Chin-hŭi, were arrested. △Over three hundred students from Beijing's University of Law and Political Science occupied the Senate and House of Representatives.

【December 1st】△In Kyōto, Japan, forty students from Kyōto Imperial University were arrested in connection with a certain secret incident. △The Beijing Student Union formally opened a revolutionary movement consultation meeting. △The Locarno Treaty was formally signed in London. △Japan's Farmer-Labor Party was banned by the Home Ministry on suspicion of disturbing public peace. △The Communist Party convention scheduled to be held at Beijing University was postponed due to the turmoil.

【December 2nd】△Martial law was declared in Lungchingtsun (Yongjŏng), North Kando, and an order prohibiting grain export was issued in Fengtien. △The ideologues Im Wŏn-gŭn, Yu Chin-hŭi, Pak Hŏn-yŏng, and Chu Se-juk, arrested at Chongno Police Station, were transferred to Sinŭiju. △Yuasa Kurahei was decided as the Chōsen Sōtokufu Vice Governor-General. △The banned Japanese Farmer-Labor Party announced the establishment of the First Proletarian Party. △In China, the Huang-Guo Cabinet was formed. △The National Army occupied Jehol (Yŏrha).

【December 3rd】△China's Chief Executive Tuan announced he would remain in office until the end of the Tariff Conference.<53> Feng Yü-hsiang requested that major figures dispatch representatives as a measure to resolve the situation. △The French Lower House held a vote of confidence in the new Prime Minister Briand. △Chang Tso-lin's army abandoned Huanchung.

【December 4th】△In China, the Provisional Chief Executive Order was decided and promulgated. Li Ching-lin declared war on the National Army. Chang Tso-lin announced a reward of 800,000 yuan for capturing Kuo Sung-ling alive and 80,000 yuan for bringing his head.

【December 5th】△Fengtien fell into crisis due to a general attack by Kuo Sung-ling's army, and Japanese troops concentrated inside Fengtien city to protect residents.

【December 6th】△Amidst Chang Tso-lin's downfall, Koreans in North Manchuria organized troops. △Chang Tso-lin, relying on Japan, sent a peace envoy to Kuo Sung-ling. △Chang Tsung-ch'ang declared the independence of Shantung Province. △In Sŏngbuk, the Ch'ŏngbu (Ch'ŏngjin-Puryŏng) Youth Alliance was organized.

【December 7th】△Chang Tso-lin decided to resign and step down. △Japan prepared to dispatch troops to Manchuria. △Mokp'o Free Labor Union members went on a general strike over wage issues. △Kuo Sung-ling declared to the diplomatic corps of various countries that the lives and property of foreigners would be protected.

【December 8th】△At the Kyŏngsŏng District Court, the trial for the Labor Dispute Incident opened. △The Japanese Kwantung Army Commander notified both the Fengtien and Kuo armies that infringement upon established rights would absolutely not be tolerated.

【December 9th】△The Police Authorities, in view of the Manchurian crisis,<54> specially dispatched one hundred police officers with military backgrounds to the border. ▲In Okch'ŏn, a commotion arose due to a bridge collapse causing fourteen serious and minor injuries. Kuo's army crossed the Taling River (Taeryŏngha) and occupied Koupangtzu (Kubangja).

【December 10th】▲Japan issued orders to dispatch troops to Manchuria. ▲Soviet Russia supplied military equipment to Feng Yü-hsiang's army. ▲In Chin'yŏng, South Kyŏngsang Province (likely 'Kyŏngnam Chin'yŏng'), the Triangle Youth Alliance was founded. ▲US Foreign Relations Committee Chairman Borah submitted a proposal for the recognition of Soviet Russia.

【December 11th】▲A secret meeting took place between Japan's Consul General in Manchuria, Funatsu, and Chang Tso-lin.

【December 12th】△Eleven individuals involved in the Koryŏ Communist Party secret society case, including Im Wŏn-gŭn and Tukkŏ Yŏ, were transferred from Sinŭiju Police Station to the prosecutor's office. △The Soviet government protested Japan's dispatch of troops to Manchuria. △Three hundred members of the Mokp'o Free Labor Union held a large demonstration procession led by a red flag. In Anju, a related press corps was founded.

【December 13th】▲In Kaesŏng, a Youth Alliance was organized.

【December 14th】▲Kim Yak-su of the Pukp'unghoe, who had gone to Japan regarding the flood relief funds sent from Soviet Russia, was arrested in Taegu. Fellow ideologues Chu Chong-gŏn and Sŏ Chŏng-hŭi were also arrested in Kyŏngsŏng and severely interrogated before being transferred to Sinŭiju. ▲US Senate Foreign Relations Committee Chairman Borah strongly urged the recognition of Russia.

【December 15th】▲Japan issued mobilization orders for Manchuria, and Korea's 20th Division departed.<55>
<50-55>

**Summary**

This "Social Diary" chronicles daily events from November 16 to December 15, 1925. It heavily features the escalating political and military turmoil in China, including the Fengtien Clique's internal conflict with Guo Songling, Feng Yü-hsiang's coup in Beijing, the ongoing Tariff Conference, and Japanese intervention in Manchuria. Significant events in Korea include the arrest and prosecution of numerous socialists, communists, and anarchists (like Pak Yŏl, Im Wŏn-gŭn, Kim Yak-su), major labor strikes (Pusan printers, Mokp'o laborers), tenant farmer protests (Naju), the death of the Vice Governor-General and appointment of his successor, and the formation of various youth alliances. International news covers the death of the British Queen Mother, the Locarno Pact signing, French cabinet changes, and US discussions on recognizing Soviet Russia. For historians, this article offers a valuable contemporary snapshot of the volatile situation in East Asia, detailing the interplay between Chinese warlord politics, Japanese expansionism, the rise of communist/socialist movements in Korea under colonial rule, and related labor/agrarian unrest. The specific names, dates, and locations related to arrests and political organizing in Korea provide granular detail on colonial suppression and resistance activities.

**Named Entities**

張作霖	장작림	Chang Tso-lin
沒落	몰락	Downfall, ruin
依賴	의뢰	Reliance on, dependence on
講和使	강화사	Peace envoy
旣得權侵害	기득권침해	Infringement upon established rights
斷不容許	단불용허	Absolutely not tolerated/permitted
特派	특파	Special dispatch
騷動	소동	Commotion, disturbance
出兵令	출병령	Order to dispatch troops
供給	공급	Supply, provision
承認案	승인안	Recognition proposal
密會	밀회	Secret meeting
秘密結社	비밀결사	Secret society
抗議	항의	Protest
赤旗	적기	Red flag
水災救濟金	수재구제금	Flood relief funds
動員令	동원령	Mobilization order
-e 

---------------------------


잡지명	개벽 제65호
발행일	1926년 01월 01일
기사제목	社會日誌
기사형태	소식

社會日誌
十一月十六日부터
【十一月十六日】△張作霖은 奉天波의 巨頭會議를 開하야 財政及軍事를 協議하고 △英國議會가 開會되고 △和闌內閣이 辭戰되고 △吳佩孚氏는 各國外交團에 對하야 再次靈稅差押을 通告하다
【同十七日】△北京의 關稅會議의 小委員會에서는 中國의 自主權案에 一致듸다
【同十八日】△宣川郡三健駐在所襲犯康益祿은 無期懲役을 當하야
【同十九日】△北京의 關稅會議에서는 滿場一致로 自主權及盛金腹止案을 可決하고, △墨西哥「시퇴」에는 大海溢이 起하야 市街金滅되고 △伊太利議事場에서는 國粹黨員對共産黨議員의 大亂國가 起하다
【同二十日】△英國皇太后「아렉산드리」崩去하다＜50＞
【同二十一日】△日本神奈川縣富士紡續職工의 罷業問題는 擴大되야 六十餘名이 檢束되며 六千餘名의 大示威運動이 起하고 △獨逸上院은 「노칼노」保障條約을 可決하다
【同二十二日】△釜山印刷職工二百餘名으 賃金及待遇問題로 罷業하고 △朝鮮總督府政務摠監下岡忠治氏逝去하고 △中國의 陳調元氏도 吳佩孚와 呼應하야 江蘇總司令名義로 鹽稅差押을 宣言하고 △佛國「루베」內閣은 財政案不通過로 總辭職하다
【同二十三日】△中國에는 奉川浱對河南派의 動亂이 再起하고 △張作霖部下郭松齡은 灪州에서 七萬의 兵으로써 張에 反旗를 擧하고 △新義州에서 主義者十餘名이 檢擧되다
【同二十四日】△無政府主義者不敬罪名으로 大正十二年八月에 東京에서 逮捕된 不逞社朴烈同夫人金于交干等十一人의 事件이 解禁發布되고 △中國의 馮玉祥對郭松齡間에 妥協이 成立되다
【同二十五日】△郭松齡氏는 獨＜51＞立을 宣言함과 同時四部隊로 奉天을 進取하고 △莞島棉作組合員百餘名은 莞島棉販賣設置反對로 郡廳에 殺到하다
【同二十六日】△暹羅皇帝 喇■六世 薨去하고 △中國段執政은 變亂에 際하야 下野를 聲明하고 △奉天軍은 到處에서 大敗되고 △羅州에서는 萬餘小作人對武裝警官과의 大衝突이 起하다(小作料不納固盟問題로)
【同二十七日】△馮玉祥氏는 軍事會議를 開하야 委員制內閣을 協議하고 △郭松齡氏는 張作霖氏에게 東三省引渡를 要求하고 △羅州에서는 男女小作人五六千名이 郡守를 包圍肉迫하고 △露國「카라한」氏는 赤化宣傳次北京에 着하다
【同二十日八】△中國의 馮玉祥氏는 「구데타」(暴力的政變)을 實行함과 同時北京에는 革命示威가 起하고 △北京의 實權은 馮玉祥氏에게 歸하다
【同二十九日】△北京天安門外國民示威運動에서는 國際平等國民의 生命財産及言論集會結社의 自由保證等을 可決하고 △慶南靑年聯盟이 馬山에서 組織되다＜52＞
【同三十日】△京城에서는 林元根兪顚熙外主義者六七名이 檢擧되고 △北京의 法政大學生三百餘名은 參衆兩院을 占領하다
【十二月一日】△日本京都에서는 京都帝大生四十名을 某秘密事件으로 檢擧하고 △北京學生聯合會는 革命運動協議會를 正式으로 開하고 △「로칼로」條約은 偸敦에서 正式으로 調印되고 △日本의 農民勞動黨은 治安妨害의 嫌으로 內務省으로부터 結社禁止를 富하고 △北京大學에서 開催하랴든 共産黨大會는 動亂으로 延期되다
【同二日】△北間島龍井付에는 戒嚴令이 下하고 奉天에는 防穀令이 下하고 △鍾路署에 逮捕된 主義者林元根兪顚熙朴憲永朱世竹은 新義州로 押送되고 △朝鮮總督府政務摠監은 湯淺倉平氏로 決定되고 △禁止를 當한 日本農民勞動黨은 다시 第一無産政黨樹立을 聲明하고 △中國에는 黃郭內閣이 成立되고 △國民軍은 熱河를 占領하다
【同三日】△中國의 段執政은 關稅會議終了지 留任을 發布하고＜53＞馮玉祥氏는 時局解決策으로 各巨頭에게 代表派遣을 要求하고 △佛國下院은 新總理「부리앙」氏信任投票를 行하고 △張作霖軍은 緩中을 抛棄하다
【同四日】△中國에는 臨時執政令이 決定發布되고 李景林은 國民軍에게 宣戰을 布告하고 張作霖은 郭松齡生擒者에 八十萬元首級持來者에게 八萬元懸賞을 發布하다
【同五日】△郭松齡軍總攻擊으로 奉天은 危機에 陷하야 日軍은 居留民保護로 奉天城中에 集中하다
【同六日】△張作霖沒落에 際하야 北滿朝鮮人은 軍隊를 組織하고 △張作霖은 日本에 依賴하야 講和使를 郭松齡에게 送하고 △張宗昌은 山東省獨立을 宣言하고 △成北에는 淸富(淸津富寧)靑年聯盟이 組織되다
【同七日】△張作霖은 辭職後下野를 決定하고 △日本은 滿洲出兵을 準備하고 △木浦自由勞動組合員은 賃金問題로 同盟罷業하고 △郭松齡氏는 各國公使團에 外國人生命財産保護를 聲明하다
【同八日】△京城地方法院에서는 勞働■紛爭事件의 公判이 開廷되고 △日本關東總司令官은 奉郭兩軍에게 旣得權侵害斷不容許를 通告하다
【同九日】△警務當局은 滿洲危氣＜54＞에 鑑하야 軍人出身警官一百名을 國境에 特派하고 ▲沃川에서는 橋梁崩落으로 十四를 重輕傷의 騷動이 起하고 郭軍은 大凌河를 越하야 溝幇子를 占領하다
【同十日】▲日本은 滿洲出兵令을 下하고 ▲赤露는 馮玉祥軍에게 軍備를 供給하고 ▲變南進永에서는 三角靑年聯盟이 創立되고 ▲米國外交委員長보라氏는 勞農露國承認案을 提出하다
【同十一日】▲日本在滿總領事船津氏對張作霖間密會가 有하다
【同十二日】△高麗共産黨秘密結社事件의 林元根獨孤餘等十一名은 新義州署로부터 檢事局에 送致되고 △勞農政府는 日本의 滿洲出兵에 抗議를 提하고 △木浦自由勞動組合員三百名은 赤旗를 先頭로 大示威行列을 行하고 安州에는 關係記者團이 創立되다
【同十三日】▲開城에서 靑年聯盟이 組織되다
【同十四란】▲赤露로부터보낸 水災救濟金事件으로 日本에갓든 北風會金若水氏大邱에서 逮捕되며 同主義者朱鍾建徐廷禧氏도 京城에서 逑捕되야 甚히 新義州로 押送되고 ▲米上元外交委員長「보라」氏는 露國承認을 强要하다
【同十五라】▲日本은 滿洲에 動員令을 下한바 朝鮮의 二十師團이 出發하다＜55＞
＜50-55＞
