Magazine Title: 삼천리 제10권 제5호
Publication Date: 1938-05-01
Article Title: 讀書雜記 (Miscellaneous Notes on Reading)
Author: 崔奎東 (Ch'oe Kyu-dong)
Article Type: 문예기타 (Literature/Etc.)

Miscellaneous Notes on Reading
						Ch'oe Kyu-dong

I am someone who relatively enjoys reading. In my past 50 years of life, there has never been a time when reading and I were distant (疏隔), and I anticipate it will be the same in the future as well.
While rummaging through quite a few books up until today, I have recently come to taste what is called the "joy of reading" (讀書樂).
Modern people all consider themselves cultured individuals. I believe that seeking this pride of being a cultured person through "reading" is the quickest path.
How could one possess the pride of being a cultured person without knowing the "joy of reading"? Truly, "reading" is the "womb of culture" (文化의 모태) and the sustenance of life. Modern people crave books just as they need "food, clothing, and shelter" (衣食住).

"Books are the teachers of life."
I have held this saying as a firm conviction to this day. Over the several decades I have borne the responsibility of disciplining and guiding (訓育敎導)<84> young students, I have felt this even more keenly.
Now, reading has become a habit for me, and I have never spent a whole day far from reading. Like grabbing a rice bowl when hungry, if I don't hold a book all day long, I feel as if I've lost something, and my mind just cannot be at ease.
Furthermore, as I am practically ignorant of any other particular hobbies or amusements, I have no other way to find the joys of daily life except through reading instead.

My reading now can generally be divided into three conditions.
Firstly, purely out of habit.
Secondly, for the "joy of reading."
Thirdly, out of necessity for education.
However, making strict distinctions is difficult, and often these three conditions merge depending on the situation. But regardless, I think reading based on some necessity is the most crucial (肝要) thing.
At school, whenever there is an opportunity, I often emphasize to the students that they must cultivate the habit of reading.
The more culturally advanced a nation or society, the more that nation and society yearn for reading, but conversely, the lower the cultural level of a nation or society, the more utterly cool (冷却) its reading fervor is. Even comparing Tokyo and Seoul, one can see a distinct difference.
Truly, I believe there is no society more enviable than a nation or society with a strong passion for reading.

Until today, I have tried to build up scholarly efforts through a relatively wide range of fields. To put it simply,<85> I read this and that according to the needs of the time. Instead, it would be correct to say that I have never fixed on one field and dug deep into it for inquiry.
However, if pressed to say, the category of reading that I hold comparatively more interest in might be philosophical books (哲學書類). Among philosophical books, it is Eastern philosophy.
Perhaps because we are Easterners living in the East, Eastern philosophy somehow seems to resonate more with the heart than Western philosophy. Not only that, but since our lives have inherited Eastern culture for thousands of years, it is natural that it aligns with us.
Western philosophy appears superficial (浮薄), whereas Eastern philosophy has a profound (深奥) taste. This appeals to my heart. This is probably because I am an Eastern person.
Even after several hundred or several thousand years pass, Eastern thought, the Eastern view of ethics, and the Eastern view of morality will likely never depart from the minds of Eastern people. I believe it is appropriate to find the fundamental ideas for our way of life here.

However, my reading with considerable interest in Eastern philosophy and Chinese philosophy (支那哲學) came much later. That is, it was after I started my teaching career. Before that, I had mainly focused (傾注) my efforts on the field of natural science.
If I were to speak of the tendency of my reading, excluding the time I studied Chinese classics (漢文學) at a village school (書堂), the period up to around the age of 30 could be called my era of natural science research.
When I was in my 20s, it was a time when a great political upheaval occurred in Korea (朝鮮), and the world was quite turbulent, but I adopted an attitude of "none of my business" (吾不關焉) towards all worldly affairs (世事) and solely immersed myself in academic pursuits. So, either at school or with private tutors, I exclusively majored in natural science.
However, even during that period, I dabbled somewhat in ancient Korean literature like "Sassi Namjŏnggi" (謝氏南征記), "Kuunmong" (九雲夢), and "Samguk Yusa" (三國遺事), but I didn't develop<86> any particular interest in this field.

Well past the threshold of 30, as my life became that of a teacher, I began reading books on self-cultivation out of a desire to see how I could train and cultivate the young sons and daughters of Korea humanly and character-wise.
This would be the catalyst for my current understanding of the profound taste (奧味) and truth of Eastern philosophy.
However, I am well aware that until now, my efforts to dig deeper and deeper into any particular field have been lacking. From now on, in order to accumulate more profound knowledge (蘊蓄), I want to proceed more actively on the path of studying Eastern philosophy. If I have an academic desire for the future, this would be a major one.

To this day, I have handled quite a few books. The number is likely countless. Most of those books are kept in our Chungdong School (中東學校) library, or are part of my personal collection (藏書) at home.
It seems natural for a person who reads to love books. Just as a miser loves gold, I believe there is no one who enjoys reading who treats books lightly.
For several decades, I have tried to collect books (藏書) as much as my strength allowed. Despite having a considerable number of books, there are still more than one or two books I desire but have not been able to acquire.

To study Eastern philosophy, I have also skimmed through most of the necessary religious books. This is because it is necessary to understand at least the fundamental concepts of not only Buddhist thought but also Christian thought.
That is why I came to read Buddhist scriptures and the Bible. Also, sometimes I read even Western philosophy as material for the study of Eastern philosophy.<87>
Besides these, I occasionally take an interest in classic Korean literature or Korean history, but circumstances only allow me to read these as supplementary material (附帶物).
Setting aside the Confucian Classics (經書) and the Book of Changes (易書), among the books I have generally read, the ones I read with the most interest were T'ao Yüan-ming's (陶淵明) "Gui Qu Lai Ci" (歸去來辭 - Returning Home) and Su Tung-p'o's (蘇東坡) "Chìbì Fù" (赤壁賦 - Ode to the Red Cliff), which I read with relish (滋味). Also, the "Yŏllyŏsil Kisul" (燃藜室記述) was a precious literary work in Korea and remains an unforgettable good book (良書).

When I come to school, there is the library (圖書堂), and when I go home, my study is equipped with quite a lot of books, so I don't particularly go to public libraries. If I go once a month, that's considered going very often. Usually, after my lectures at school are finished, I have several hours for reading, but my real reading time probably starts from when I lie down in bed at night. After evening passes, changing into nightclothes and reclining comfortably in bed is my solid reading time. Whether it's two hours or three hours, continuing on, the most efficient reading happens late at night. When the family members are all asleep, and even the noisy children are gone, and everything is quiet all around, I sometimes become immersed in reading and contemplation, unaware that midnight has passed. Such moments are moments difficult to exchange even for millions in gold, and for me, the state of complete absorption in reading (讀書三昧境) truly seems to be at this time.

However, these days, as I face the threshold of 60, I lack the energy I once had. Furthermore, my eyesight has considerably declined recently, making reading for many hours extremely difficult. Yet, the thought that I will befriend books for my entire life until the day it ends does not seem likely to change.<88>

**Summary**

Ch'oe Kyu-dong, a 50-year-old educator, reflects on his lifelong relationship with reading. He considers reading essential for being a cultured individual and finds deep personal satisfaction ("the joy of reading") in it, especially as he lacks other hobbies. His reading habits stem from habit, pleasure, and educational necessity. He laments the lower reading fervor in Korea compared to Japan. While his early studies focused on natural science, his career as a teacher led him to Eastern philosophy, particularly Chinese philosophy, which he finds more profound and resonant than Western philosophy. He expresses a desire to delve deeper into Eastern thought. He cherishes books, has built a personal collection, and finds his best reading time late at night when absorbed in contemplation. Despite declining energy and eyesight with age, he vows to continue reading for life.

From a historical perspective, the article offers insight into the intellectual life of a Korean educator during the Japanese colonial period. Ch'oe's emphasis on Eastern (specifically Chinese) philosophy as a core for Korean identity, contrasting it favorably with "superficial" Western thought, is notable, perhaps reflecting a search for cultural roots amidst colonial pressures. His comparison of reading habits in Seoul and Tokyo, highlighting a perceived deficiency in Korea, reflects contemporary anxieties about cultural development under colonial rule. His background, shifting from natural sciences to philosophy driven by educational concerns for Korean youth, also provides a glimpse into the evolving intellectual priorities of the time.

**Named Entities**

崔奎東	최규동	Ch'oe Kyu-dong
나는 오늘날까지 비교적 광범위의 부문을 통해서 학구적 노력을 싸허보누라고는 하였다. 쉽게 말하자면,<85> 이것, 저것을 그때 그때의 필요에 응해서 읽어보았었다. 그 대신 어떤 부문을 고정해 놓고 그곳에만 깊이 파고 들어가 탐구해 본 일은 없다고 함이 올흘 줄로 안다.
그러나 구태여 말하라고 한다면 그래도 비교적 많은 관심을 가지는 부류의 독서는 哲學書類가 아닐가 한다. 哲學書 중에서도 동양 철학이다.
우리는 동양인이요 동양에서 사라가는 탓인지는 몰나도 서양 철학보다는 동양 철학의 편이 엇전지 마음에 앵기는 데가 있는 상 십다. 뿐만 아니라 동양 문화를 수천 년 바더 내려온 우리의 생활이니 여긔에 부합해지는 것도 당연한 일이다.
서양 철학은 부박한 데가 있어 뵈이나 동양 철학은 심오한 맛이 있다. 이것이 나의 마음에 든다. 이것은 아마도 동양 사람인 연고일 것이다.
금후 몃 백년이나 몃 천년을 지날지라도 동양 사상, 동양의 윤리관, 동양적인 도덕관은 동양인의 두뇌에서 떠날 수는 없을 것이다. 우리의 생활 태도의 기본 사상을 여긔에서 찻는 것이 타당한 줄로 안다.

그러나 내가 동양철학 支那哲學에 적지 않은 흥미를 갓고 독서하기는, 훨신 뒤ㅅ날의 일이다. 즉 교원 생활을 시작한 뒤의 일이라고 할 것이다. 그 이전에는 주로 자연 과학 방면에 힘을 傾注햇든 바이다.
나의 독서한 경향을 말한다 하면 최초 서당에서 한문학을 수학하는 때를 제외하고는 30세 전후까지가 자연 과학 연구 시대였다고 할 것이다.
내가 20여 세 되든 때는 조선에 큰 정변이 이러나든 시대로서, 세상은 퍽 뒤숭숭하였으나 나는 모든 世事에 吾不關焉의 태도로써 다만 학구 방면에만 몰두햇섯다. 그래서 혹은 학교에서 혹은 개인 교수에게서 오로지 자연 과학을 전공햇섯다.
그러나 그 시기에도 「謝氏南征記」「九雲夢」「三國遺事」 같은 조선 고대 문헌을 다소간 뒤적여 보았으나 이 방면에는<86> 별다른 흥미를 못가젔엇다.

30의 고개를 훨신 너머서면서부터 내 생활이란 것이 교원 생활이니만치 어떻게 하면 조선의 청년 자제들을 인간적으로, 인격적 훈련과 함양을 식혀볼가 하는 점에서 수양 방면의 서적을 읽게 시작했었다.
이것이 지금 동양 철학의 奧味, 진리를 해득하게 되는 계기라고 할 것이다.
그러나 나는 입때까지 엇던 부문을 깊게 깊게 파고 들어가는 노력이 적었든 것을 잘 알고 있다. 이제부터는 좀더 심오한 薀蓄을 쌓기 위해서, 보담 적극적으로 동양 철학 연구의 길로 나아가고 십다. 이것이 금후 내가 학문상 욕구라면 커다란 욕구일 것이다.

나는 오늘날까지 적지 않은 서책을 손에 대어보았다. 아마 수로 헤이자면 한이 없다. 그러한 서책 중에서 대개는 우리 中東學校 도서실에 보관되여 있고, 또는 내 집에 藏書되여 있다.
독서하는 사람이 서책을 사랑하는 것은 당연한 일인 상 십다. 맛치 수전노가 황금을 사랑하듯이 독서를 즐기는 사람치고 서책을 소홀히, 녁이는 사람은 없을쭐 안다.
나도 수 십년 간을 힘 자라는대로 藏書를 해 보누라고 햇다. 적지않은 수효의 서책을 가젓스면서도 아직도 마음에 있는 서책으로, 갓지 못하는 채로 지나오는 것이 한, 둘이 아니다.

나는 동양 철학을 연구하기 위해서 필요한 종교서적도 어지간한 것은 대강 뒤적여 보았다. 불교 사상은 물론이요 기독교 사상까지도 근본 개념만은 알어야 할 필요가 잇기 때문이다.
그러하기 때문에 불경이나 성서를 읽게 되였든 것이다. 또한 서양 철학까지라도 동양 철학의 연구를 위한 한 자료로서 읽는 때가 있다.<87>
그밖에도 각금 조선 고전 문헌이나 조선사에 관심을 갓게 되는데, 이것은 한 副帶物로 밖게는 읽지 못하는 형편이다.
經書, 易書는 논외로 하고 기타 일반적으로 독서한 가운데서 가장 흥미 있게 읽은 서책으로는 陶淵明의 「歸去來辭」, 蘇東坡의 「赤壁賦」도 滋味나게 읽었고, 또는 「燃藜室記述」은 조선에서 귀중한 문헌으로 지금까지 이쳐지지 안는 양서였다.

나는 학교에 나오면 圖書堂, 집에 들어가면 서재에 상당히 많은 서적이 갓추어 있음으로 도서관에를 별로히 안 가게 된다. 한 달에 한 번 가면 그것은 아주 자주 간 편이다. 대개는 학교에서 교수가 끝난 뒤면 독서하는 시간을 몃 시간 가지게 되는 것이나, 나의 독서하는 시간은 아마도 밤 잠자리에 드러서 부터이다. 저녁이 지난 뒤, 자리옷을 가러입고 비스듬이 자리에 누워서가 착실한 독서 시간이다. 두 시간이고 세 시간이고 계속해서, 가장 능률있게 독서하게 되는 것이 밤 깊흔 뒤이다. 집안 식구들은 모다 잠이 들어 잇고 떠들든 어린아이들까지 없어 사방이 고요한 밤, 독서, 사색에 잠기게 되여 자정이 지나는 줄도 몰으게 되는 때가 각금 있게 되는데, 이러한 순간은 천만금으로도 박구기 어려운 순간으로 내게 있어 讀書三昧境은 실로 이때인가 한다.

그러나, 요즈음에 와서는 60의 고개를 바라보게 되는 몸으로 내게는 전날과 같은 정력이 없다. 또는 근자에 와서는 시력조차 어지간이 감퇴되여서, 여러 시간의 독서는 심히 어렵게 되였다. 그러나 생명이 끝나는 날까지는 서책과 일생을 벗하리라는 생각만은 변해질 것 같지 않다.<88>
<84-88>
