Magazine Title: 삼천리 제10권 제5호
Publication Date: 1938년 05월 01일
Article Title: 當面의 登場 人物, 崔南善氏 建國 大學 敎授로 新京으로 가는 心境 打診 (Interviewing Mr. Ch'oe Nam-sŏn, a Figure of the Moment, on His Feelings about Going to Xinjing as a Professor at Jianguo University)
Article Type: 대담·좌담 (Interview/Discussion)

A Figure of the Moment, Interviewing Mr. Ch'oe Nam-sŏn on His Feelings about Going to Xinjing as a Professor at Jianguo University

Mr. Ch'oe Nam-sŏn left Kyŏngsŏng station on the early morning train on April 5th for Xinjing, Manchukuo. He was recently appointed as a professor at Jianguo University and is going to take up his teaching post. He has many connections in Manchukuo. For instance, Mr. Pak Sŏk-ryun (former Vice President of the Maeil Sinbo), who is currently a bureau director in the Ministry of Foreign Affairs, is Mr. Ch'oe's brother-in-law. Furthermore, Mr. Chin Hak-mun, who not only holds an important government post but is also an executive of the Concordia Association (協和會), is someone with whom Mr. Ch'oe suffered together as editor-in-chief when Mr. Ch'oe formerly managed the Sidae Ilbo in Seoul. Besides them, Mr. Kim Kyŏng-jae of the Concordia Association, and Mr. Yŏm Sang-sŏp, editor-in-chief, and Mr. Pak P'al-yang, managing editor, of the Mansŏn Ilbosa, are all people with whom he had literary exchanges in the past.

As everyone knows, Mr. Ch'oe Nam-sŏn formerly managed a publishing house called Sinmun'gwan (新文舘) and presided over the Ch'ŏngch'un (靑春) magazine together with Messrs. Hyŏn Sang-yun, Yi Kwang-su, Chin Hak-mun, and Yang Paek-hwa.

After that, he constantly wielded his pen in history as a guest writer for the Tong-a Ilbo, and later, at the invitation of the Korean History Compilation Committee (朝鮮史 編纂 委員會), he accepted a commission from the Government-General (總督府). Subsequently, he transferred again to assume the post of Councilor (참의) of the Central Council (中樞院). During that time, he was writing for the Maeil Sinbo, then recently resigned as Central Council Councilor, and has now taken up his post at Manchukuo's Jianguo University. The subject he will be primarily teaching seems to be "East Asian History."<296>

As it is an imperial appointment (勅任) professorship, the salary is said to be 400-500 won, and a research office will supposedly be prepared for him in the future. As for his state of mind, at the time of his departure from Seoul, he did not inform many people of the time, not even widely telling his family. He silently leaned against the train window, gazing at the old Hanyang Fortress (한양성), his hometown of over 40 years where he grew up and which was soundly asleep in the early morning, as he headed north, north, it is said.

A few days before his departure, this reporter visited Mr. Ch'oe at his residence inside the East Gate (동대문). He was found amidst old books piled up profusely (汗牛充棟格), searching through a Chinese book (한서), and the following conversation was exchanged.

"Are you going to Xinjing?"
"Yes."
"As you are leaving Korea, I'm sure you have myriad emotions. How about telling us some recollections from the old Ch'ŏngch'un magazine days?"
"There's really nothing much to say."
"Then how about stories of your association with Messrs. Kwŏn Tŏk-kyu and Im Kyu from the Kwangmunhoe (光文會) era, when you published works like the *Yŏnamjip* (朴燕岩集)?"
"..."
"Then perhaps something about your time active in the Central Council..."
"..."
"Is leaving Seoul a joy or a sorrow?"
"I have absolutely no desire to speak about the world. If I go, I go; if I stay, I stay. Would there be joy or sorrow?"
"If you have any recently composed poems, like sijo (시조), please show me a few."
"I haven't been in the state of mind to want to compose songs, so I have no recent works."
"If you have no songs, how about some writing recounting your thoughts, perhaps prose or an essay?"
"I have none."
"Even if not political or ideological, perhaps, since you like Buddhism, something akin to a high monk's confessional work (참회록) born from religious sentiment, some writing stemming from that state of mind?"
"I have none, because I don't take up the pen."
"Then, even if you didn't have one before, please write something new like 'The Yuktag (六堂) Confessions'<297>. If tackling a confession is difficult, perhaps an autobiography..."
"I have decided not to write for the world, so I will maintain silence for now."

What Kind of Place is Jianguo University (建國 大學)?

Jianguo University, as Manchukuo's highest institution of learning, was planned soon after the nation's founding and came to open on May 2nd of this year. Looking at the university's lineup (陳容), prominent contemporary Chinese political scientists like current Furen University (輔仁 大學) professors in Beijing (北京), Mr. Bao Mingling (鮑明聆) and Mr. Su Yixing (蘇益興), were also invited. Both professors will likely be responsible for political science, particularly public international law. From Tokyo (東京) came Dr. Kamata Shōichi (鎌田莊一) and Professor Tojō Shin'ichirō (登張信一郞), gathering a faculty from Japan, Manchukuo, China, and Korea.<298>

Who is Yi Sang-gi (李相基), the First Korean to Become a Presiding Judge?

With the implementation of the volunteer soldier system, there came to be Korean soldiers, and although there is just one Korean police chief somewhere in Ch'ungch'ŏng-do province, only the gateway for judicial officials remained extremely firm. In the nearly 30 years since the annexation (병합), there had been no mention of a Korean presiding judge, but now one has appeared at the Kyŏngsŏng District Court (京城 地方 法院). He is Mr. Yi Sang-gi, who until now was a judge at the Kyŏngsŏng Court of Appeals (京城 覆審 法院) and has become the presiding judge of the civil division while being concurrently appointed to the District Court. Mr. Yi is from Masan (馬山), Kyŏngnam province. He finished commercial school there and then entered Tokyo, graduating from Tokyo University of Commerce (東京商科大學) in Shōwa 4 (1929). Usually, a graduate of a commerce college would start their life path towards an executive position in some bank or company, but Mr. Yi unexpectedly set his sights on becoming a judicial official and already passed the judicial examination while still a student.

Thus, he took office as a young judge at the Kyŏngsŏng District Court in Shōwa 6 (1931). Since then, he was promoted again in Shōwa 12 (1937) and appointed as a judge at the Kyŏngsŏng Court of Appeals, and now, passing over numerous seniors, he has risen to the honorable position of presiding judge. If Mr. Yi strives diligently and produces brilliant achievements, the gateway for Korean judicial officials will surely be opened wide in the future.
Judging from the fact that he passed the Higher Civil Service Examination (高文) while still a university student, one can know he is a talented person (수재), and indeed, his competence as a judicial official<298> is astonishing, something his colleagues and peers admired early on.
How quickly, fairly, and accurately he judges cases! He has the nickname "Cleaning Judge" (掃除 判事). That is because even if 30-40 cases pile up, he engages in handling them with his whole heart and strength, and no matter how many difficult cases (難 사건) are included, he clears them all away in just 1-2 months, leaving only 7-8 cases. Therefore, he is truly selected and assigned to the divisions with the most difficult cases and the largest backlog. That's how he earned the honorary title of "Cleaning Judge" within the court, jokingly. Also, being a commerce college graduate, even when facing complicated and manifold cases related to the liquidation (청산) of banks and companies or other monetary matters, he calculates himself, holding an abacus (주판), and obtains accurate figures (計數). When he interrogates the plaintiff and defendant (原 被告), asking just 3-4 concise, essential points and then assessing the whole, even lawyers deeply admire his sharp mind (명철한 두뇌), saying, "Even I am not resentful of Judge Yi's (李相基 判快) judgment," which is a stock phrase (상투어). Mr. Yi is still a devoted scholar (篤學者) rich in years at 41 years old. That all Koreans in this society cannot but pray for his great success (대성) is surely the feeling.<299>

Captain Amakasu Active in the Concordia Association (協和會)

In Manchukuo's Concordia Association, there is a man named Amakasu Masahiko (甘粕正彦). The Concordia Association is where many key Korean figures residing in Manchuria, like Chin Hak-mun and Kim Kyŏng-jae, also participate and work. Mr. Amakasu is the Head of the General Affairs Department in this Concordia Association. Those who don't know may not know, but he is that very person, the former Military Police Captain (憲兵 大尉), the controversial figure from the Ōsugi Sakae Incident (大杉榮 事件) during the Great Kantō Earthquake (關東 大 地震) of that year [1923]. After being released from prison (형무소), he reached North Manchuria (北滿) and is now active like this. As Head of the General Affairs Department, he is in the highest position of real power within the Concordia Association, and it is said that the Association's highest policies generally come from within his mind (가슴 가운데서). Besides this, he is the president (사장) of the Daidō Kōshi (大東 公社), a company controlling the supply of coolie labor (苦力), and is reportedly also active undertaking duties in another field (某邊).<299>

**Summary**

This 1938 article from *Samch'ŏlli* magazine covers several figures connected to Manchukuo and the Japanese colonial system. Primarily, it reports on the prominent intellectual Ch'oe Nam-sŏn's departure for Xinjing to take up a professorship at the newly established Jianguo University. Despite the reporter's attempts, Ch'oe refuses to discuss his feelings, past work, or future plans, choosing complete silence. The article briefly introduces Jianguo University's diverse faculty. It then profiles Yi Sang-gi, celebrated as the first Korean to become a presiding judge in the colonial judiciary, highlighting his rapid career ascent and reputation for efficiency and fairness. Finally, it notes the influential position held by Amakasu Masahiko, infamous for the Ōsugi Sakae Incident, within Manchukuo's Concordia Association and other ventures.

For historians, the article is revealing in several ways. Ch'oe Nam-sŏn's tight-lipped move to Manchukuo underscores the complex and often controversial path taken by some Korean intellectuals under Japanese rule, hinting at collaboration while also showing his reluctance to publicly justify it. Yi Sang-gi's appointment, while presented positively, indicates the very slow and limited integration of Koreans into high positions even after decades of colonial rule. The mention of Amakasu Masahiko's significant power in Manchukuo starkly illustrates the underlying Japanese military and political control of the puppet state.

**Named Entities**

崔南善	최남선	Ch'oe Nam-sŏn
儕配 동료	제배 동료	Colleagues, peers
讚仰하든 바이다	찬앙하던 바이다	Was what (they) admired (older spelling)
엇더케도	어떻게도	How (so)...! (emphatic, older spelling)
掃除 判事	소제 판사	'Cleaning Judge' (nickname)
異名	이명	Nickname
잇스니	있으니	As there is (older spelling)
건수	건수	Number of cases
적체되더라도	적체되더라도	Even if backlogged
일심 전력으로	일심 전력으로	With one's whole heart and strength
당하야	당하여	Engaging in (older spelling)
아모리	아무리	No matter how
難 사건	난 사건	Difficult case
끼엿더래도	끼었더라도	Even if included (older spelling)
일소하여 버린다	일소하여 버린다	Clears away completely
발탁되여	발탁되어	Being selected/appointed (older spelling)
돌니운다	돌리운다	Is assigned/moved (older spelling)
어든 것이다	얻은 것이다	Is what he obtained (older spelling)
만치	만큼	Being (a graduate of...) (older spelling)
청산	청산	Liquidation
스사로	스스로	Himself (older spelling)
주판	주판	Abacus
計數	계수	Count, figure
어더낸다	얻어낸다	Obtains, figures out (older spelling)
原 被告	원 피고	Plaintiff and defendant
힐문할 때	힐문할 때	When interrogating
요령되는 점	요령되는 점	Essential points
뭇고는	묻고는	After asking (older spelling)
비판하는	비판하는	Judging, assessing (here not 'criticizing')
명철한 두뇌	명철한 두뇌	Clear/sharp mind
탄복하야	탄복하여	Admiring deeply (older spelling)
안타	않다	Not (older spelling/form)
상투어	상투어	Cliché, stock phrase
춘추가 富한	춘추가 부한	Rich in years (idiom for age)
篤學者	독학자	Devoted scholar
대성	대성	Great success
빌어 마지 안음은	빌어 마지 않음은	Cannot but pray for (older phrasing)
大尉	대위	Captain
헌병 대위	헌병 대위	Military Police Captain
요인	요인	Key figure
만히	많이	Many (older spelling)
드러가	들어가	Participating in (older spelling)
총무 부장	총무 부장	Head of General Affairs Dept.
잇서	있어	In (an organization) (older spelling)
실력적 지위	실력적 지위	Position of real power
잇는 터으로	있는 터이므로	Since he is in (the position) (older spelling)
방침	방침	Policy, direction
이박게	이 밖에	Besides this (older spelling)
苦力	고력	Kulii (Coolie - manual laborer)
수입 통제 회사	수입 통제 회사	Labor Supply Control Company (in context)
사장	사장	Company president
某邊	모변	Certain area/field (ambiguous)
마터	맡아	Taking charge of (older spelling)


---------------------------


잡지명	삼천리 제10권 제5호
발행일	1938년 05월 01일
기사제목	當面의 登場 人物, 崔南善氏 建國 大學 敎授로 新京으로 가는 心境 打診
기사형태	대담·좌담

當面의 登場 人物, 崔南善氏 建國 大學 敎授로 新京으로 가는 心境 打診
崔南善씨는 지난 4월 5일 새벽차로 경성역을 떠나 만주국 新京으로 가다. 씨는 이번에 건국 대학 교수로 임명되여, 교편을 잡기 위함인데 만주국에는 인연이 만다. 즉 지금 외교부의 어느 국장으로 잇는 朴錫倫씨 (전 每日申報 부사장)은 씨의 매부에 당하며, 또 정부의 중직에 잇슬 뿐더러 協和會의 간부로 잇는 秦學文 씨도 씨가 예전 서울에서 時代日報를 경영하든 때 편집국장으로서 同苦하든 뿐이며, 그 박게 協和會의 金璟載씨나, 滿鮮日報社의 편집국장 廉想涉, 편집부장 朴八陽씨 등이 모다 예전의 文交잇든 분이다.
崔南善씨는 세인이 다 아는 바와 가치, 녜전 新文舘이란 出版書肆를 경영하엿고, 玄相允, 李光洙, 秦學文, 梁白華씨 등으로 더부러 靑春 잡지를 주재하엿다.
그 뒤 東亞日報의 객원으로 史學의 붓을 항시 不離하다가 뒷날 조선사 편찬 위원회의 초빙으로 총독부의 위탁을 受하엿고 再轉하여, 중추원 참의로 취임하엿다. 그러는 사이에 每日申報에 붓을 들고 잇더니 얼마 전에 중추원 참의를 辭하고, 이제 만주국의 건국 대학으로 부임한 것인 바, 씨가 담당 교수할 과목은 주로 「동양사」인 듯 하다.<296>
勅任 교수임으로 보수도 4-500원이라 하며 연구실이 씨를 위하야 장차 작만되리라는 데 씨의 심경이 여하 하엿슴인지 서울 출발 시는 일시를 여럿에게 알니지 안엇고, 심지어 가족들에게까지 널니 전하지 안고서, 묵묵히 차창에 몸을 기대여, 새벽잠에 곤히든 나고 자라든 40여년 만의 녯 고향 한양성을 바라보면서 북으로 북으로 향하엿다 한다.
씨가 떠나기 몃일 전 기자는씨를 동대문 안 사택으로 찾으니 마츰 汗牛充棟格으로 가득 싸 노흔 고서 속에서 한서를 뒤지다가, 이러한 대화를 주고 밧은 일이 잇다.
「新京 가신다구요」
「녜」
「조선을 떠나는 마당이며 여러 가지로 만감이 交集하실 것임니다. 어디 녯날 「靑春」 잡지 시대의 회고담이나 들녀 주시지요」
「별로 할 말이 잇서야지요」
「그러면 朴燕岩集 가튼 것을 만히 내든 저 光文會 시대의    權悳奎, 林圭씨 등과 교우하든 이약이나요?」
「... 」
「그러면 중추원서 활약하든 때 일이라도... 」
「... 」
「서울을 떠나는 것이 기뿜니까, 슬픔니까」
「나는 도모지 세상에 대하야 말하고 십흔 생각도 아니남니다. 가게 되면 가는 것이요, 잇게 되면 잇는 것이요, 깁부고 슬프고가 잇겟슴니까」
「최근에 지은 시조가튼 시가라도 몃 수 잇거든 보여 주서요」
「별로 노래를 짓고 십흔 心境도 못되어 근작이 업소이다」
「노래가 업스시면, 무슨 述懷가튼 글이라도, 산문이나 수필이라도 업서요」
「업서요」
「정치적, 사상적의 것이 아니고라도, 그저 선생이 불교를 조와 하시니가, 어느 고승이 종    교적 감정으로 참회록을 역드시, 그런 심경적 所作이라도 업슴니까」
「업서요, 붓을 들지 안으니까요」
「그러면 그 전에는 업섯더래도 새로 「六堂 참회록」<297> 가튼 것을 집필하여 주서요. 참   회록에 손대기 어려우면 자서전이라도... 」
「세상에 향해서 쓰지 안키로 생각하엿기 아직 침묵을 직히겟소이다」

建國 大學이란 엇든 덴가

建國 大學은 만주국의 최고 학부로서 건국 이후, 곳 계획하여, 금년 5월 2일부터 개교하게 되엿는데, 이 대학의 陳容을 보면 현대 支那의 유수한 정치학자인 현 북경 輔仁 大學 교수 鮑明聆, 蘇益興의 양씨도 초빙을 밧엇는데 양 교수는 주로 정치학, 그 중에도 국제 공법을 담당할 모양이요, 동경으로 온 이도 鎌田莊一 박사, 登張信一郞 교수 들이 모히게 되여, 그 교수진은 日, 滿, 支, 鮮으로부터 모엿다 한다.<298>

朝鮮人으로 最初의 裁判長 된 李相基란 엇든 분인가

지원병 제도 실시로 조선인 군인이 잇게되고, 경찰 서장으로도 단 1인 이나마 충청도 어디에 조선인이 잇스나 다만 사법 장관의 문호만은 몹시 구더서 병합 근 30년에 아직 조선인 재판장의 소리 업더니 이제 경성 지방 법원에 한 분이 나타나게 되엇다. 그는 李相基 씨로, 지금까지 경성 覆審 법원 판사로 잇다가, 지방 법원에 겸임이 되면서 민사부의 재판장이 된 터이다. 씨는 경남 마산 사람으로 그곳 상업 학교를 마추고, 다시 동경 드러가 東京商科大學을 昭和 4년에 졸업하엿다. 흔히 商大 出이면 어느 은행회사의 중역의 길로 인생의 거름을 시작할 터인데 씨는 意表 외로 사법관에 뜻을 두어 재학 시대에 벌서 사법관 시험에 파스하엿다.
그래서 경성 지방 법원의 청년 판사로 취임하기는 昭和 6년이라, 이래 昭和 12년에 다시 榮轉하여 경성 覆審 법원 판사로 임명 되엇다가, 이제 幾多의 선배를 다 제하고 재판장의 영직에 올은 것이니, 씨가 精勵하야 빗나는 업적을 내이면 이 뒷날 조선인의 사법 장관의 문호가 크게 열닌 것이라.
대학 재학 시대에 벌서 高文 통과한 점으로 미루에도 그가 수재임을 알겟거니와 실제 사법관으로서 그 수완은<298> 놀나워서, 일즉 儕配 동료들이 모다 讚仰하든 바이다.
씨가 엇더케도 사건을 신속하게도, 또 공평 정확하게 판단하는지, 「掃除 判事」한 異名이 잇스니, 그것은 사법 건수가 3-40 건 씩 적체되더라도 일심 전력으로 그 처리에 당하야 아모리 難 사건이 끼엿더래도 불과 1-2 朔에 7-8 건을 남기고는 다 일소하여 버린다. 그러기에씨는 참으로 가장 難 사건과 다수한 건수가 적체된 부에 발탁되여 돌니운다. 그러기에 웃는 말로 「掃除 判事」의 명예의 칭호까지 법원 내에서 어든 것이다. 또 씨는 상과 대학 출신이니만치 은행 회사의 청산 기타 금전에 관계한 복잡 다단한 사건에 임하여도 스사로 주판을 쥐고 계산하여, 정확한 計數를 어더낸다. 그가 原 被告를 힐문할 때, 간결하게 가장 요령되는 점 3-4 점을 뭇고는 전체를 비판하는 그 명철한 두뇌에는 심지어 변호사들까지 탄복하야, 『李相基 判快에는 저도 분하지 안타』 하는 것이 상투어이다. 씨는 아직도 41세의 춘추가 富한 篤學者라 대성을 빌어 마지 안음은 이 사회 모 - 든 조선인의 심정일 것이다.<299>

甘粕大尉가 協和會서 활동

만주국 協和會에 甘粕正彦이란 분이 잇다. 協和會라 하면 秦學文, 金璟載 등 在滿 조선인 요인들도 만히 드러가 일하는 곳이라, 이 協和會의 총무 부장에 甘粕씨가 잇스니, 모르는 이는 모르려니와, 씨가 바로 생년의 관동 대 지진 때 大杉榮 사건의 문제의 인물 녯 헌병 대위 그 사람이다. 그 사람이 지금은 형부소에서 나온 뒤 北滿에 이르러 이와 가치 활약하는 것으로 총무 부장이라면 協和會에 잇서 최고의 실력적 지위에 잇는 터으로 會의 최고 방침은 대개 그의 가슴 가운데서 나온다고 한다. 이박게 그는 苦力(쿠 - 리)의 수입 통제 회사인 大東 공사의 사장이요, 다른 某邊에도 임무를 마터 활약한다고.<299>
<296-299>
