**Header Section**
Magazine Title: 삼천리 (三千里) 제10권 제5호
Publication Date: 1938-05-01
Article Title: 日本陸軍士官學校 나온 支那 靑年將校 (Young Chinese Officers Graduated from the Japanese Military Academy)
Author: 삼천리사 (Samch'ŏllisa - likely the magazine's editorial staff)
Article Type: 소식 (News/Report)

**Body Text Translation**
Young Chinese Officers Graduated from the Japanese Military Academy
						Samch'ŏllisa

On August 6th of last year, starting at 2 PM in Nanjing (南京), the National Defense Council was held, and discussions took place regarding the final stance the Nationalist Government (國民政府) should take under the command of General Chiang Kai-shek (蔣介石). The conclusion reached was that opening hostilities against Japan was unavoidable. Next, regarding the timing of the war, setting aside the pro-war faction members P'yŏng Ok-sang (馮玉祥) and Son Kwa (孫科), the faction that held firm to a cautious approach and did not yield an inch consisted of students who had studied in Japan, such as Ha Ŭng-hŭm (河應欽) and Chŏng Cham (程潛).

Like this, among the figures exerting considerable influence in today's Chinese political scene, quite many are graduates of the Military Academy.

During the earlier Shanghai Incident, Kam Hae-ran (甘海瀾), a young Chinese officer who nursed Major Kuga (空閑 少佐) after he met an unexpected misfortune in the battle of Jiangwan Town (江灣鎭), was a graduate of the Military Academy and the Army Infantry School (步兵學校). Sim Hong-nyŏl (沈鴻烈), who was the mayor of Qingdao (靑島) until recently, is also a graduate of the Navy Academy (海軍兵學校).

Indeed, China's revolution could be said to have grown with Japan as its cradle. The year the Father of the Revolution, Son Mun (孫文), toured the world and visited Japan was August 1905. At Fujimirō (富士見樓) in Fushimichō (麵町), representatives of Chinese revolutionary groups gathered and formed the cradle of the revolution, the Chinese Comrades Association (中國同志會). Even then, the residences of Uchida Ryōhei (內田良平) and Sakamoto Kin'ya (坡本金彌) were "agits" (아지트) provided for these students. These individuals were young students who, receiving no small stimulus from the Russo-Japanese War, dreamed of building a capitalist China. It can be said that most of today's key figures in China once passed through the doors of this Chinese Comrades Association.

Therefore, when these people sought exile, they customarily crossed over to Japan to find refuge. So-called "China rōnin" (支那 浪人) like Inukai Tsuyoshi (犬養毅), Tōyama Mitsuru (頭山滿), Terao Tōru (寺尾亨), and Miyazaki Tōten (宮崎滔天) showed them kindness.

It was in 1910, at the age of 23, three years after starting his studies in Japan, that Chang Kae-sŏk (蔣介石) formally joined this organization. The number of Chinese students studying abroad at the Military Academy that year was truly large. Including Chang, there were about 30 people, such as Yŏm Sŏk-san (閻錫山), I Yŏl-cho (李烈釣), Son Chŏn-bang (孫傳芳), Tang Kye-yo (唐繼堯), and Chŏng Cham (程潛). One could say the core of the Chinese revolution gathered here. Among them, Chang Kae-sŏk, Yŏm Sŏk-san, I Yŏl-cho, and Son Chŏn-bang are four interesting figures representing four aspects of the Chinese revolution. Son, I, Yŏm, and Chang <156> were classmates in the 6th class of the Japanese Military Academy.

It can be said that the Chinese revolution first saw completion through this 6th class group.

Next, it could be said that the 10th and 11th class groups actually propelled the revolution forward. Ha Ŭng-hŭm (河應欽), Chang Kun (張群), Kok Chŏng-nyun (谷正倫), Chu So-ryang (朱紹良), Yang Kŏl (楊杰), Ha Yo-cho (賀耀組), etc.

Chang Kun, from the 10th class, serves as Chang's [Chiang Kai-shek's] chief secretary and holds the post of Foreign Minister. Ŭn Yŏ-gyŏng (殷汝耕), a Waseda University (早大) graduate, is famous as a pro-Japanese figure along with Hwang Pu (黃郛). Hwang Pu is a graduate of the Japanese Army's Land Survey Department Skills Center (陸地 測量部 修技所).

Minister of Military Administration Ha Ŭng-hŭm is highly regarded as Chang's successor. A graduate of the 11th class of the Military Academy, if the figures representing the Party headquarters of Chang's power are the two brothers Chin Ip-pu (陳立夫) and Chin Kwa-bu (陳果夫), and the financial side is represented by Cha Cha-mun (字子文 - T.V. Soong) and Kong Sang-hŭi (孔祥熙), then the one representing the military is likely Ha Ŭng-hŭm. As Ha considers the Meiji Restoration his ideal, his movements in today's transitional China are truly worth watching.

A contemporary of Ha Ŭng-hŭm from the military academy, who directs the Fascist organization, the Blue Shirts Society (藍衣社 - Namŭisa, typo in original 남표사?), is Gendarmerie Commander Kok Chŏng-nyun (谷正倫). Not only was he Ha's classmate at the Military Academy, but he is also the same age, 47. Kok Chŏng-nyun has not moved from the Gendarmerie Commander's chair since 1931. He too was a revolutionary belonging to the Chinese Comrades Association in Tokyo. A classmate of his is Ha Yo-cho (賀耀組). He was once a subordinate of Hwang Hŭng (黃興).

Furthermore, Nyu Yŏng-gŏn (鈕永建), who is active as the secretary of the CC Clique (CC團), led by Chin Kuo-fu (陳果夫) and Chin Li-fu (陳立夫) as Director and Vice-Director respectively, is also a Military Academy graduate. This masked Chang [Chiang Kai-shek] support group serves as Chang's propaganda organ, flying the banner of absolute resistance against Japan.

Chŏng Cham (程潛), from the 6th class of the Military Academy, is the Chief of General Staff of the Chinese military. Chu So-ryang (朱紹良), from the 10th class of the Military Academy, is currently a member of the National Defense Council, Director of the Central Military Pacification Headquarters for Kangsŏ (江西) and Pokkŏn (福建) (中央 軍主 甘綏靖 主任), and holds the position of Commander-in-Chief of the 6th Route Army, being a distinguished leader in bandit (Communist) suppression.

Yang Kŏl (楊杰), the Deputy Chief of General Staff under Chŏng Cham, is a graduate of the 10th class of the Military Academy and also graduated from the Army War College.

Ha Yo-cho (賀耀組), from the 10th class of the Military Academy, is active as the ambassador to Turkey (土耳古), making him somewhat of a variation among Military Academy graduates.

Among the graduates of the 2nd class of the Military Academy is Hŏ Sung-ji (許崇智), Vice President of the Inspectorate Yuan (監察院). From the 3rd class is Ha Tŏk-yo (賀德耀), Chairman of the Jicha Foreign Affairs Committee (冀察 外交委員會). He was a figure who once held the position of Minister of State (國務大臣).

Next, from the 4th class is Minister of Internal Affairs Chang Chak-pin (蔣作賓). As the former ambassador to Japan, he was known for his gentle personality. Also, during the First Revolution in 1912, he served as Vice Minister of the Army in the Nanjing Provisional Government. Then, from the 5th class is Ha Sŏng-jun (河成濬), a member of the National Defense Council, Chairman of the Military Affairs Commission (軍事委員會), and Director of the Wuhan Field Headquarters (武漢 行營). His position is comparable to that of Ha Ŭng-hŭm. <157>

**Summary**

This 1938 article from the Korean magazine *Samch'ŏlli* highlights the significant number of prominent Chinese political and military figures who graduated from the Japanese Military Academy. It lists numerous key leaders, including Chiang Kai-shek, Ho Ying-ch'in, Yen Hsi-shan, and others, detailing their academy class affiliations and subsequent roles in the Chinese Nationalist government and military on the eve of and during the early stages of the Second Sino-Japanese War. The article notes the irony that Japan served as a training ground ("cradle") for many leaders of the Chinese revolution and subsequent government, some of whom adopted cautious stances towards war with Japan, while others became central figures in the anti-Japanese resistance.

From the perspective of Korean colonial history, this article is interesting as it reflects a Korean viewpoint (published under Japanese censorship) on the complex relationships between China and Japan. It meticulously documents the Japanese educational background of China's elite, information potentially useful for intelligence or political analysis during that period. For historians, it offers insight into how Sino-Japanese relations and Chinese internal politics were perceived and reported in colonial Korea, providing valuable data on the networks connecting Chinese leadership back to training institutions in Japan.

**Named Entities**

日本陸軍士官學校	일본육군사관학교	Japanese Military Academy
다대수	다대수	Large number
달하고 잇다	달하고 있다	Reaching; amounting to (older spelling/form '잇다')
爲先	우선	First of all; primarily
완성	완성	Completion
보앗다고	보았다고	Said to have seen (older spelling/form)
움즉엿다고	움직였다고	Said to have moved/propelled (older spelling/form)
사실에 잇서서는	사실에 있어서는	In fact; actually (older spelling/form '잇서서는')
비서장	비서장	Chief Secretary
外政部長	외정부장	Minister of Foreign Affairs (Foreign Minister)
任	임	Duty; position; post
當하다	당하다	To undertake; be in charge of
親日派	친일파	Pro-Japanese faction/person
有名	유명	Famous
後繼者	후계자	Successor
명망	명망	Reputation; renown
놉다	높다	To be high (older spelling/form)
黨部	당부	Party headquarters
代表	대표	Representative
財政	재정	Finance
方面	방면	Area; field; aspect
軍部	군부	Military faction/establishment
理想	이상	Ideal
轉換期	전환기	Transitional period
動靜	동정	Movements; activities; situation
볼만하다	볼만하다	Worth seeing/watching
同期	동기	Same period; classmate
軍官學校	군관학교	Military officer school (used interchangeably with 사관학교)
팟쇼團體	파쇼단체	Fascist organization (loanword)
움즉이는	움직이는	Moving; directing (older spelling/form)
憲兵司令	헌병사령	Gendarmerie Commander
年齡	연령	Age
똑갓다	똑같다	Exactly the same (older spelling/form)
이래	이래	Since; hereafter
의자	의자	Chair; position
움즉이지 안는	움직이지 않는	Not moving (from) (older spelling/form)
部下	부하	Subordinate
또한	또한	Furthermore; also
正副	정부	Director and Vice-Director
團長	단장	Leader; head (of a group)
幹事	간사	Secretary; manager
活動	활동	Activity; action
覆面	복면	Masked; covert
擁護團	옹호단	Support group
宣傳機關	선전기관	Propaganda organ
絕對	절대	Absolute
抗日	항일	Anti-Japanese resistance
看板	간판	Signboard; banner
걸고 잇다	걸고 있다	Hanging; flying (a banner) (older spelling/form '잇다')
參謀總長	참모총장	Chief of General Staff
委員	위원	Member (of a committee)
主任	주임	Director; person in charge
總指揮	총지휘	Commander-in-Chief
地位	지위	Position; status
公匪 討伐	공비 토벌	Suppression of Communist bandits
殊勳者	수훈자	Person of distinguished merit/service
밋헤	밑에	Under; below (older spelling/form)
副	부	Deputy; vice
變種	변종	Variant; unusual type
活躍	활약	Activity;活躍
卒業生	졸업생	Graduate
監察院	감찰원	Inspectorate Yuan (one of the five branches of ROC government)
副院長	부원장	Vice President/Director
外交委員會	외교위원회	Foreign Affairs Committee
主席	주석	Chairman
一時	일시	At one time; temporarily
國務大臣	국무대신	Minister of State; Premier
지내든	지내던	Who served as; who spent time as (older spelling/form)
人物	인물	Figure; personage
內政部長	내정부장	Minister of Internal Affairs
駐日 大使	주일 대사	Ambassador to Japan
溫厚	온후	Gentle; mild-mannered
性格	성격	Personality; character
알여젓다	알려졌다	Became known (older spelling/form)
臨時政府	임시정부	Provisional Government
次長	차장	Vice Minister; deputy chief
잇섯다	있었다	Was; existed (older spelling/form)
行營	행영	Field Headquarters
比하다	비하다	To compare with


---------------------------


잡지명	삼천리 제10권 제5호
발행일	1938년 05월 01일
기사제목	日本陸軍士官學校 나온 支那 靑年將校
필자	삼천리사
기사형태	소식

日本陸軍士官學校 나온 支那 靑年將校
						삼천리사
작년 8월 6일 오후 2시부터 南京에서는 전국국방회의가 개최되여 蔣介石장군 사령하에 국민정부의 취할 바 최후적 태도에 대한 토의가 잇섯는데, 對日 개전은 불가피라는 결론을 네리우고 마럿다. 다음 개전의 시기에 대해서는 주전파 馮玉祥, 孫科를 뒤로 제처놋코 자중론을 固持해서 조곰도 양보치 안흔 파는 일본 유학생인 河應欽, 程潛 등이엿다.
이와 갓치 오늘날 支那정국에 잇서서 적지 안흔 영향을 주고 잇는 인물들 가운데는 육사 출신자가 꽤 만타.
일즉이 上海사변 시, 江灣鎭의 일전에 不慮의 厄을 입은 空閑 少佐를 간호하든 支那의 一靑年士官 甘海瀾은 육사, 보병학교의 출신이요, 얼마 전 靑島시장이든 沈鴻烈도 해군병학교 출신이다.
실로 支那의 혁명은 일본을 요람으로 성장햇다고 할 것이다. 혁명의 父 孫文이 세계를 주유하고 일본에 來遊하든 해는 1905년 8월이엿다. 麵町의 富土見樓에는 支那의 혁명단체대표가 운집해서 혁명의 모태, 中國同志會를 결성하엿다. 그 때에도 內田良平宅, 坡本金彌宅은 이들 학도들을 위해서 제공되엿든 「아지트」엿다. 이러한 사람들은 日露 戰役에 적지 안흔 자극을 바더 자본주의 支那 건설의 꿈을 꾸는 젊은 학도들이엿고, 오늘날 支那 요인의 대부분은 한 번 이 中國同志會의 문을 나왓다고 할 것이다.
그럼으로 이들은 망명이라고 하면 으레히 일본으로 건너와서 쉴자리를 구하는 것이엇다. 犬養毅, 頭山滿, 寺尾亨, 宮崎滔天 등의 소위 支那 浪人들은, 그들을 위해서 온정을 베풀엇든 것이다.
蔣介石이 이 단체에 正成 가입하엿든 것은, 일본 유학 3년 뒤인 1910년, 23세時엿다. 그 해의 사관학교 支那유학생은 실로 다대수엿다. 蔣을 위시해서 閻錫山, 李烈釣, 孫傳芳, 唐繼堯, 程潛 등 약 30명에 달하고 잇다. 支那 혁명의 중추부가 여긔에 모엿다고 할 것이다. 그 중에서도 蔣介石, 閻錫山, 李烈釣, 孫傳芳의 4인은 支那 혁명의 4態를 대표하는 흥미잇는 존재이다. 孫, 李, 閻, 蔣의 4인은<156> 일본육군사관학교 6기생이다.
이 6기 組에 의하야 支那의 혁명은 爲先 완성을 보앗다고 할 것이다.
그 다음 10기, 11기 組가, 사실에 잇서서는 혁명을 움즉엿다고 할 것이다. 河應欽, 張群, 谷正倫, 朱紹良, 楊杰, 賀耀院 등.
張群은 10기생으로 蔣의 비서장으로 외정부장의 任에 當해 잇고, 殷汝耕은 早大 출신으로 黃郛와 함께 친일가로 유명하다. 黃郛는 일본육군 육지 측량부 修技所 출신.
군정부장 河應欽은 蔣의 후계자로 명망이 놉다. 육군사관 11기생 蔣權力의 黨部를 대표하는 인물로는 陳立夫, 陳果夫 두 형제이요, 재정 방면은 字子文, 孔祥熙라고 하면 군부를 대표하는 자는 河應欽일 것이다. 明治維新을 이상으로 아는 河인 고로 오늘날 전환기의 支那에서 河의 동정은 실로 볼만하다.
이 河應欽과 동기에 군관학교 출신이요, 팟쇼단체 藍表社를 움즉이는 자는 헌병사령 谷正倫이다. 河와는 사관학교 동기생일 뿐 아니라, 연령도 47세 똑갓다. 31년이래 헌병사령의 의자를 움즉이지 안는 谷正倫이다. 그도 東京의 中國同志會 소속의 혁명가. 그와 동기생에는 賀耀組가 잇다. 그는 일즉이 黃興의 부하엿다.
또한 陳果夫, 陳立夫를 正副단장으로 하는 CC단의 간사로서 활동하는 鈕永建도 육사 출신이다. 복면의 蔣擁護團, 蔣의 선전기관으로 절대 항일의 간판을 걸고 잇다.
육사 제 6기생 程潛은, 支那 군부의 참모총장이요, 육사 제10기생 朱紹良은 현재 국방회의 위원, 중앙 군주 甘綏靖 주임 (江西, 福建) 제6로군 총지휘의 지위에 잇서 공비 토벌의 殊道者이다.
程潛의 밋헤 부 참모장인 楊杰은 육사 제10기 출신이요, 또 육군대학까지 나온 사람이다.
육사 제10기생인 賀耀組는 土耳古 대사로써 활약하는 육사 출신으로서는 변종이라 할 것이다.
육사 제2기 졸업생엔 감찰원 부원장 許崇智가 잇고, 제3기에는 기찰외교위원회 주석 賀德耀가 잇다. 그는 일시 국무대신까지 지내든 인물이엿다.
다음에는 제4기에 내정부장 蔣作賓이 잇다. 전 駐日 대사로써 그의 온후한 성격으로 알여젓다. 또한 1912년 제1혁명 시에는 南京 임시정부 육군차장으로도 잇섯다. 또 제5기에는 국방회의 위원, 군사위원회 위원장, 武漢 行營 주임 河成濬이 잇다. 그의 지위는 河應欽에 비할 만 하다.<157>
<156-157>
