**Header Section:**
Magazine Title: 삼천리 第10卷 第5號
Publication Date: 1938년 05월 01일
Article Title: 노벨 賞의 新作家, 로제·마루당·듀·가루 (The New Nobel Prize-Winning Author, Roger Martin du Gard)
Author: Unspecified
Article Type: 문예평론 (Literary Criticism)

**Body Text Translation:**
The New Nobel Prize-Winning Author, Roger Martin du Gard

The 1937 Nobel Prize was awarded to the French writer Roger Martin du Gard. This might not be considered a matter of course. However, the reason for this is not that Roger Martin du Gard lacks sufficient merit, but rather that previous awards seemed directed towards individuals like Paul Valéry or the *[unclear, likely Finnish]* writer Frans Eemil Sillanpää. Since the Nobel Prize is decided by the Swedish Academy, it is true that they tend to view Scandinavian writers with importance. More than that, perhaps it is because they can better understand the true value of Nordic writers who are close to them. Someone like Sillanpää, possessing a purely Nordic color, has an entirely different atmosphere (零圍氣) from French novels.

Conversely, when Latin writers receive the Nobel Prize, it seems they primarily consult the writer's global reputation. Luigi Pirandello is one such example. Furthermore, writers like Grazia Deledda, who possess some common ground with Nordic literature, seem to be specially selected.

Viewed from this perspective, Roger Martin du Gard's award is thought to hold special significance. Martin du Gard is difficult to call a so-called world-renowned writer. Translations into various countries are not that numerous. According to a recent Hungarian weekly magazine, not a single Hungarian translation of his work exists yet in that country, which enjoys translations. Also, it is difficult to see his writing style as richly imbued with particularly Nordic elements. He lacks the lyrical quality of Scandinavian writers. He is not mystical. Nor is he an idealist. Rather, isn't he a moralist (모라리쓰트), the archetype of a French novelist? Considering that Martin du Gard received the Nobel Prize the year after publishing the final volume of "The Thibaults" (지포 家의 사람), "Summer 1914" (1914년 夏), one wonders if there isn't some new trend regarding the Nobel Prize therein.

As will be explained gradually, this new work showed a splendid turn for "The Thibaults."

"Summer 1914," as its title suggests, depicts the state of Europe around the outbreak of the Great War and takes up the issue of the intelligentsia's attitude towards life in response to this major event. Instead of individual morality, it described the collective<251> spiritual movements of people. Therein emerges Martin du Gard as a European writer. If we interpret this award as recognition of this, then the Nobel Prize can also be seen as possessing great contemporary significance.

Du Gard's Background

He was born in Neuilly-sur-Seine in 1881. He has deep knowledge of paleography and archaeology, and also has scholarly works in those fields. With the novel "Jean Barois" (쟌·봐로), published in 1913, he gained the title of novelist. Jean Barois brought to paper the mental state of French youth from 1900 to 1910, depicting the anguish of conscience arising from the Dreyfus (도텔페쓰) Affair. Subsequently, the novel he wrote was "The Thibaults" (듸보의 집사람), a massive work composed of 7 parts spanning 10 volumes.

He published the first part in 1922 and completed the final part, "Summer 1914," in 1936. It is no exaggeration to say that Du Gard's true worth is revealed within this serialized epic novel. Besides novels, he also took up pen for playwriting. He also has one or two collections of short stories, such as "Le Testament du Père Leleu" (루루 할아버지의 遺言).

"The Thibaults" can be divided into the following 7 parts:
Part 1: "The Grey Notebook" (灰色의 手帖)
Part 2: "The Reformatory" (感化院)
Part 3: "The Beautiful Season" (아름다운 季節)
Part 4: "The Consultation" (診察)
Part 5: "La Sorellina" (라소레리이나 妹)
Part 6: "The Father's Death" (아부지의 죽엄)
Part 7: "Summer 1914" (1914년 夏)

Let me briefly recount the contents of each part.

The Grey Notebook

Jacques Thibault (쟠듸보) and Daniel de Fontanin (다니엘 포다나), 14-year-old boys attending the same middle school, shared an inseparable friendship.
One day, letters exchanged between these two boys became known to a teacher. The content of the letters led to their expulsion from school. Jacques, enraged, resolved to run away to a distant land, dragging Daniel along.
Jacques' father was a devout Catholic (카톨맄) who, having lost his wife early, set his life's goal on charitable work and was managing a reformatory. His older brother, Antoine (안두아누), was a doctor. Generally speaking, their household existed in an ice-cold atmosphere (零圍氣). Housekeeping was managed by an old maid named Thérèse (도·우엩).
This woman had a niece named Gise (지이즈) living in the same house, and Thérèse and Antoine treated the girl like a sister.
Daniel's family was different; his mother was a splendid, virtuous wife and wise mother, but his father neglected the family, enjoyed playing with fallen women, and always failed in business.
Daniel's sister, Jenny (지에니), was a woman whose personality seemed very gentle externally but held a storm-like passion within. This family was Protestant (푸로테쓰탄).<252>
Jacques and Daniel ran away towards the south, but were soon discovered and brought back to Paris.
Madame de Fontanin embraced Daniel in her bosom and loved him, but his father treated him like a criminal and had him admitted to the reformatory managed in Crouy (구루이).
To put the impression of this first part simply, it depicts the pulse of two young men, and it succeeds in maintaining that attitude until the final part. The image of the two boys wandering aimlessly near Marseille (말세유) is most impressive, and this first part is noteworthy for showing a very bright dignity as a prelude to the psychological storm that follows.

The Reformatory

The older brother, Antoine, happened to visit the reformatory, heard his younger brother's confession, and realized that keeping his brother here would bring about undesirable results.
At first, the father did not listen to the older brother's words, but upon the recommendation of Abbé Vécard (베가루 師), Jacques was sent back to Paris. Here, Jacques came to live under Antoine's supervision. Despite his father's strict prohibition, he frequently visited the Fontanin house.

The Beautiful Season
Five years passed, and the two boys became splendid young men. Daniel became a painter, and Jacques entered the École Normale (에고오루 노루마아루). The Thibault and Fontanin families went for summer vacation in Maison-Laffitte (메손라앗도). Jacques, while loving Jenny, concealed a painful anxiety, which sometimes escalated even to hatred. On the other hand, he also developed feelings for Gise, who was just beginning to mature. Antoine's *[unclear: perhaps guidance/attitude?]* as an older brother, towards Jacques who was 10 years younger, conversely became a pretext for rebellion. Also, Antoine himself, at this time, fell in love with Rachel Goepfert (아반쥬리에루), whom he met while nursing a patient, and experienced deep anguish over love and desire for the first time. However, that woman, Rachel (탓세루라), also left for Africa (아푸리카), following her former lover.

The Consultation

Another three years flowed by. "The Consultation" can be seen as a record of a day in the life of Antoine, engaged in the medical profession. His father is now lying ill with an incurable disease. Antoine knows this but hides it from his father. Suddenly, Jacques disappeared. It was the day right before his entrance examination for the École Normale. They all suspected he might have committed suicide.

"La Sorellina"

Antoine discovered that Jacques had published a short story titled "La Sorellina" (라, 소레리이나) under a pseudonym resembling his name in a Swiss (스위쓰) magazine. In this story, it was revealed that Jacques had loved Gise and Jenny, that his father had opposed his marriage, his childhood dream of leaving the gloomy atmosphere of the École Normale to try living out his individuality, and finally<253> his joining an international revolutionary group in Switzerland – all these were written down one by one. Seeing this, Antoine went to Lausanne (로오잔누), met Jacques, and brought him to his dying father's side.

"The Father's Death"

For four consecutive nights, the father suffered on his deathbed (첨상). Unable to watch this suffering, Antoine administered an injection to end the utterly futile agony. Gise, who was in London (론돈) at the time, received a telegram and hurried back. She met Jacques again, but Jacques' face was extremely cold this time. His current self was just like Edouard (에도란드) towards everyone. His mind was flying to Switzerland. Thus, he was burning with the desire to work for a new society.

"Summer 1914"

Jacques' Catholicism made him a vague rebel. Socialists from various countries flocked to Geneva (제네봐). He belonged to a group whose leader was called Meneystrel (메네스도레루). Following his orders, Jacques returned to Paris to observe the chaotic state of France (불란서) arising from the gunshots in Sarajevo (사라이에봐). In Paris, Jenny's father attempted [**] suicide to escape the dishonor of business failure. Antoine tried hard to save him, but it was futile. Jacques met his former lover again, and fiery passion could have rekindled, but valuing his mission, he broke it off and headed for Geneva. With the outbreak of the Great War, socialists from various countries were suddenly transforming into nationalists. Jacques, under Meneystrel's orders and bearing a certain mission, was flying across the German-French (獨佛) border by plane when he unfortunately fell along the way and died.

Although a very superficial account, the above can be seen as the general content of "The Thibaults." While the parts up to "Summer 1914" mainly depict how the individual morality (모라리틔) of two young men raised in Catholic and Protestant families breaks away from their environment and wavers, the great significance lies in showing what kind of resolution the European young intelligentsia demonstrated in the face of social unrest, and also what kind of results that resolution produced. They continue their lives almost fatedly in vague anxiety and rebellion. Thus, when they collide with the major event called the World War, their dreams of ideals shatter, and they inevitably experience surprise at the gap between reality and themselves. This is the greatest lesson presented by Roger Martin du Gard.

The description is natural and has a calmness, not losing moderation. Furthermore, something like the assassination of Jaurès (죠오레스) shows a classical profundity, laying an underlying passion rarely seen. In this respect, this writing can be praised as excellent.<254>

**Summary**

This 1938 article from the magazine *Samch'ŏlli* introduces the recent Nobel Prize winner in Literature, French author Roger Martin du Gard. It provides a biography and summarizes his major multi-volume novel, *Les Thibault* (듸보 家의 사람들), focusing on its seven parts, especially the final volume, *Summer 1914*. The reviewer highlights the novel's shift from individual morality within families (Catholic Thibaults and Protestant Fontanins) to the collective response of European intellectuals facing the social and political turmoil leading up to World War I. The article suggests Du Gard's win might signal a new direction for the Nobel Prize, recognizing authors who engage with contemporary socio-political realities over purely aesthetic or regionally specific writers.

For historians, this article is interesting as it showcases the engagement of Korean intellectuals with contemporary European literature and global events like the Nobel Prize during the Japanese colonial period. It reflects a desire to understand complex European social dynamics (like the crisis of the intelligentsia before WWI) perhaps as an indirect way to process their own constrained reality. The level of detail in the plot summary and the critical analysis demonstrates the sophistication of literary discourse present in Korean periodicals despite colonial censorship and limitations. The mix of Hangul, Hanja, and phonetic transcriptions of foreign names using older Korean orthography provides linguistic data for the period.

**Named Entities**

로제·마루당·듀·가루	로제 마르탱 뒤 가르	Roger Martin du Gard
주목할 만한	주목할 만한	Noteworthy
우연히	우연히	By chance, accidentally
방문하고	방문하고	Visiting
아우	아우	Younger brother
고백	고백	Confession
듯고	듣고	Hearing (older spelling)
동생	동생	Younger sibling
좋지 못한	좋지 못한	Not good, undesirable
결과	결과	Result
갖어온다는 것	가져온다는 것	That it brings about (older spelling)
처음	처음	At first
말을 듯지 않었으나	말을 듣지 않았으나	Did not listen, but (older form/spelling)
권고로	권고로	Upon the recommendation
돌여보낸다	돌려보낸다	Sends back (older spelling)
감독 밑에서	감독 밑에서	Under the supervision of
금지	금지	Prohibition
심함에도 불구하고	심함에도 불구하고	Despite being severe
자조자조	자주자주	Often, frequently (older spelling)
드나들게 된다	드나들게 된다	Comes to frequent/visit
그 후	그 후	After that
훌륭한	훌륭한	Splendid, fine
청년	청년	Youth, young man
화가	화가	Painter
입학하였다	입학했다	Entered school (older form)
피서	피서	Summer vacation (lit. escaping heat)
떠났다	떠났다	Left for
연애하는	연애하는	Loving, being in love with
일편	한편	On the one hand / A piece of
괴로운	괴로운	Painful, agonizing
불안	불안	Anxiety
은하고	은하고 (감추고?)	Concealing (Hanja 隱 + 하고)
때때로	때때로	Sometimes
증오	증오	Hatred
이르게 되였다	이르게 되었다	Came to reach (older form)
한편	한편	On the other hand
겨우	겨우	Barely, just
철이 드러간	철이 들어간	Maturing (lit. sense entering) (older spelling)
마음을 두게 되였다	마음을 두게 되었다	Came to have feelings for (older form)
형으로서의	형으로서의	As an older brother
아래	아래	Below, younger
향해서는	향해서는	Towards
도리혀	오히려	Rather, conversely (older spelling)
반발	반발	Rebellion, backlash
구실	구실	Pretext, excuse
되여진다	된다	Becomes (older passive form)
또한	또한	Also, furthermore
맛임	마침	Just then, at that time (older spelling)
환자	환자	Patient
간호하다가	간호하다가	While nursing
알게된	알게 된	Came to know
연애에 빠져서	연애에 빠져서	Falling in love
나서 처음으로	나서 처음으로	For the first time in one's life
애욕	애욕	Love and desire, passion
깊은	깊은	Deep
번민	번민	Anguish, inner conflict
갖이게 된다	가지게 된다	Comes to have (older spelling)
탓세루라 하는 여자	그 여자 라셸	That woman, Rachel (original text unclear/corrupted '탓세루라')
옛적	옛적	Old time, former
연인	연인	Lover
다라서	따라서	Following (older spelling)
떠나가게 된다	떠나가게 된다	Leaves, departs
흘너갔다	흘러갔다	Flowed, passed (older spelling)
의업	의업	Medical profession
종사하는	종사하는	Engaged in
하로 생활 기록	하루 생활 기록	Record of one day's life (older spelling '하로')
불치의 병	불치의 병	Incurable disease
누어있다	누워있다	Is lying down (older spelling)
숨긴다	숨긴다	Hides
돌연	돌연	Suddenly
종적을 감추었다	종적을 감추었다	Disappeared without a trace
바로	바로	Right (before/after)
입학 전일	입학 전일	Day before entrance exam
자살	자살	Suicide
의심하였다	의심했다	Suspected (older form)
잡지	잡지	Magazine
어떠튼지	어떻든지	Somehow, anyway (likely typo for 아무튼지 or 어떻든지)
비슷한	비슷한	Similar
변명	변명 (필명?)	Alias, pseudonym (possibly intended 필명 - pen name)
단편 소설	단편 소설	Short story
발표한 것을	발표한 것을	The fact of having published
발견하였다	발견했다	Discovered (older form)
사랑하든 일이며	사랑하던 일이며	The fact that he loved (older form)
반대하든 사실이며	반대하던 사실이며	The fact that he opposed (older form)
우울한	우울한	Gloomy, melancholic
공기	공기	Atmosphere
떠나서	떠나서	Leaving
개성	개성	Individuality
살여 보겠다든	살려 보겠다던	That he would try to live out (older spelling/form)
어렸을 때	어렸을 때	When young
꿈	꿈	Dream
그대로	그대로	As it is
최후로	최후로	Finally, in the end
국제적	국제적	International
혁명가	혁명가	Revolutionary
단체	단체	Group, organization
입단한 것까지	입단한 것까지	Even having joined
일일히	일일이	One by one, in detail
써 낸 것이	써 낸 것이	What was written out
판명되였다	판명되었다	Was revealed, became clear (older form)
보고	보고	Seeing
맞나	만나	Meeting (older spelling)
임종하려는	임종하려는	About to die, on one's deathbed
다려왔다	데려왔다	Brought (older spelling)
연야	연야	Consecutive nights
죽엄	죽음	Death (older form)
차저올	찾아올	Approaching, coming (older spelling)
첨상	침상	Bed (likely typo/older form for 침상)
괴로워했다	괴로워했다	Suffered, agonized
무익한	무익한	Useless, futile
끈어듸릴	끊어뜨릴	To cut off, end (older spelling)
주사	주사	Injection
노았다	놓았다	Placed, gave (injection) (older spelling)
당시	당시	At that time
전보	전보	Telegram
급히	급히	Hurriedly
도라왔다	돌아왔다	Returned (older spelling)
얼골	얼굴	Face (older spelling)
냉혹하였다	냉혹했다	Was cold, cruel (older form)
현재	현재	Present
여러 사람	여러 사람	Various people
향해서	향해서	Towards
꼭	꼭	Just, exactly
같었다	같았다	Was like (older form)
마음	마음	Mind, heart
날고 있었다	날고 있었다	Was flying
새로운	새로운	New
사회	사회	Society
욕망	욕망	Desire
불타오르고 있었다	불타오르고 있었다	Was burning up
카도리시즘	가톨리시즘	Catholicism (loanword phonetic transcription)
막연한	막연한	Vague
반항아	반항아	Rebel
맨들었다	만들었다	Made (older spelling)
각국	각국	Various countries
사회주의자	사회주의자	Socialist
몰여들었다	몰려들었다	Gathered, flocked (older spelling)
속해있은	속해있는	Belonging to (older spelling)
일\*의	일단의?	Of the group (character missing)
두목	두목	Leader, head
지령	지령	Order, instruction
따라서	따라서	Following
이러난	일어난	Arisen from (older spelling)
혼란 상태	혼란 상태	State of chaos/confusion
시찰하기 위해	시찰하기 위해	In order to inspect/observe
도라왔다	돌아왔다	Returned (older spelling)
실패	실패	Failure
불명예	불명예	Dishonor
피하기 위해	피하기 위해	In order to avoid
자살을 \*\*하고	자살을 기도하고?	Attempting suicide (characters missing)
죽으려 하였다	죽으려 했다	Tried to die (older form)
구하려고	구하려고	Trying to save
애썼으나	애썼으나	Tried hard but
무효였다	무효였다	Was futile, ineffective (older form)
옛날 애인	옛날 애인	Former lover
맞나	만나	Meeting (older spelling)
불같은	불같은	Fiery
연정	연정	Romantic feelings, passion
다시	다시	Again
끌을 수도 있었으나	끓을 수도 있었으나	Could have flared up/boiled, but (older spelling '끌을')
사명	사명	Mission
소중히 아는	소중히 아는	Valuing, knowing the importance of
점에서	점에서	In the point that
끊고	끊고	Cutting off, breaking off
향하였다	향했다	Headed towards (older form)
대전 발발	대전 발발	Outbreak of the Great War
어느 듯	어느덧	Before one knows it, suddenly
국민주의자	국민주의자	Nationalist
화하는	화하는	Transforming into
형세	형세	Situation, state of affairs
명을 받어	명을 받아	Receiving an order (older form '받어')
사명	사명	Mission
띄고	띠고	Bearing, carrying
국경	국경	Border
비행기	비행기	Airplane
나러가든 중	날아가던 중	While flying (older spelling)
불행이	불행히	Unfortunately
길에서	길에서	On the way, from the path
떠러저 죽었다	떨어져 죽었다	Fell and died (older spelling)
표면적	표면적	Superficial
기사	기사	Account, description (here) / Article
이상	이상	The above
대체	대체	General outline, gist
부분	부분	Part, section
주로	주로	Mainly
길러난	길러낸	Raised, nurtured (older spelling)
중심으로	중심으로	Centering on
개인적	개인적	Individual
모라리틔	모랄리티	Morality (loanword phonetic transcription)
환경	환경	Environment
떠러저 나가고	떨어져 나가고	Breaking away from (older spelling)
동향되는 사실	동요되는 사실?	The fact of wavering/being shaken? (original '동향' unclear, context suggests '동요')
반면에	반면에	On the other hand
불안	불안	Unrest, anxiety
대해서	대해서	Regarding, about
결의	결의	Resolution, determination
보여 주었으며	보여 주었으며	Showed, and
산출하였는가	산출하였는가	Produced, yielded (older form)
함에	함에	In doing so, in the fact that
저들은	저들은	They
거진	거의	Almost (older form)
운명적으로	운명적으로	Fatedly, inevitably
막연한	막연한	Vague
반항	반항	Rebellion, defiance
생활	생활	Life
계속한다	계속한다	Continues
부뒷칠 때	부딪칠 때	When colliding with (older spelling)
이상	이상	Ideal
깨지고	깨지고	Shattering, breaking
현실	현실	Reality
자기	자기	Oneself
사이	사이	Between
있은	있던	That was, existing (older form)
겟부	갭	Gap (loanword phonetic transcription)
놀나지 않을 수 없는	놀라지 않을 수 없는	Cannot help but be surprised (older spelling)
경험	경험	Experience
맛본다	맛본다	Tastes, experiences (older spelling)
제출한	제출한	Presented, submitted
가쟝 큰	가장 큰	Biggest, greatest (older spelling)
교훈	교훈	Lesson, moral
묘사	묘사	Description, depiction
자연스럽고	자연스럽고	Being natural
평정한	평정한	Calm, serene
절도	절도	Moderation, measure
잃지 않엇다	잃지 않았다	Did not lose (older spelling)
더욱이	더욱이	Furthermore, moreover
암살건	암살건	Assassination incident
흔히	흔히	Commonly
볼 수 없는	볼 수 없는	Cannot see, rare
열정	열정	Passion
庭部에 깔어서	저변에 깔아서?	Laying underneath, as an undercurrent (original '庭部' likely typo for '저변')
고전적	고전적	Classical
심각미	심각미	Profound beauty, seriousness
보여준다 할 것이다	보여준다고 할 것이다	It can be said that it shows
점	점	Point, aspect
문장	문장	Writing, prose
우수하다	우수하다	Excellent, outstanding
평할 수가	평할 수가	Can evaluate/critique


---------------------------


잡지명	삼천리 제10권 제5호
발행일	1938년 05월 01일
기사제목	노벨 賞의 新作家, 로제·마루당·듀·가루
기사형태	문예평론

노벨 賞의 新作家, 로제·마루당·듀·가루
1937년 노벨상은 불란서 작가 로제·마루단·듀·갈에게 수여되였다. 이것은 당연한 일노 생각되지 않을지도 모른다. 그러나 그 까닭은 로-제·마루단·듀·갈에게 그만한 가치가 없다는 것이 아니라 이 때까지의 되여진 수상이 뽀올·봐레리이·*란도 작가 린난고스기이 같은 사람에게 향했든 이유라고 본다. 노벨상은 스위덴 아카데미에서 정해지는 까닭에 대개로는 스칸듸나븨아계의 작가를 중요하게 보는 것은 사실이다. 그보다도 그들은 자기네에 거처지인 북구 작가의 진가를 잘 이해할 수 있은 까닭에서 그렇지 않은가 한다. 린난고스기이 같은 이도 순수한 북방적 색채를 띈 사람으로서 불난서 소설과는 전연 零圍氣를 달니하는 데가 있다.
이와 반대로 라텐 계 작가가 노벨상을 받을 경우에는 주로 그 세계적 평가를 참고로 하는 듯 하다. 루이지·비란도루로 같은 이는 그 예의 하나다. 더욱이 구랏지이아·데렛다와 같이 북구 문학과 어떤 공통점을 갖인 작가가 특별이 선발이 되는 듯도 싶다.
이 같은 견지에서 본다면 로제·마루당·듀갈의 수상은 특별한 의미를 갖었다고 생각된다. 마루단·듀·갈은 소위 세계적 작가라고는 말하기 어렵다. 각 국에 대한 번역도 그렇게 많지는 못하다. 요새 날너오는 항가리아 주간지에 의하여 보면 변역을 즐기는 이 나라에 그의 항가리아 譯은 아직도 하나 없다고 전한다. 또는 그의 작풍이 별로 북방적 요소를 풍부히 띄였다고 보기도 어렵다. 스칸듸나븨아 작가와 같이 리맄한 점도 없다. 미쓰테잌하지도 않다. 이상주의도 아니다. 찰하리 불난서 소설가의 전형인 모라리쓰트가 아닌가 한다. 그러한 점에서 마류단 듀·갈이 「지포 家의 사람」의 최종편 「1914년 夏」를 발표한 翌年에 노벨상을 받은 일을 생각하고 거기에 다소의 노벨상에 대한 새로운 경향이 있지 않은가 생각된다.
차차 설명하겠으나 이 신작은 「지포 家 사람」에게 대해서 훌륭한 전향을 보여주었다.
「1914년 夏」그 題名을 보아서 알 수 있듯이 세계 대전 발발 전후의 구라파의 상태를 그려가지고 이 대 사건에 대한 인테리켄챠의 생활 태도를 문제 삼었다. 개인적 모라리티 대신에 집단적 인간의<251> 정신적 움직임을 묘사하였다. 거기에 구라파 작가로서의 마루단·듀·갈이 등장하게 된다. 이거슬 인정한 것에 일이 수상이라고 해석한다면 노벨상도 역시 큰 시대적 의의를 갖었다고 볼 수 있다.

듀갈의 來歷

그는 1881년에 누이이·슈루·세에누에 났다. 고문서학, 고고학에 조예가 깊고 그 방면에 학술적 저작도 있다. 1913년에 발표한 소설 『쟌·봐로 Jein Barois』라는 작품으로 해서 그는 소설가라는 명칭을 얻게 되였다. 쟌봐로는 1900년부터 1910년까지 불란서 청년의 정신 상태를 紙上에 올여서 도텔페쓰 사건에 의해서 이러난 양심의 괴롬을 그려노았다. 게속해서 그가 쓴 소설은 「듸보의 집사람」인데 이는 7편으로 구성되여 10책이나 되는 大作物이다.
1922년에 제1편을 발표하고 1936년에 최종편 「1914년 夏」를 완성하였다. 듀의 진가는 이 연작 장편 소설 속에 드러있다 해도 과언이 아니다. 소설 외에 극작에도 붓을 들었다. 『루루 할아버지의 遺言』이라는 단편집도 한 두 개 있다.
「듸보 家의 사람들」은 아래와 같이 7편으로 난흘 수 있다.
제 1편 「灰色의 手帖」
제 2편 「感化院」
제 3편 「아름다운 季節」
제 4편 「診察」
제 5편 「라소레리이나 妹」
제 6편 「아부지의 죽엄」
제 7편 「1914년 夏」
이것을 대략 각 편으로 조곰식 그 내용를 이야기 해보련다.

灰色의 手帖

같은 중학교에 달니는 14세의 소년 쟠듸보와·다니엘 포다나는 서로 떠러지기 어려운 우정을 갖었다.
어느 때 이 두 소년이 서로 주고받은 편지가 선생에게 알닌 바 되였다. 그 편지 내용은 학교에서 퇴교를 명하여 쟠은 분개하여 다니엘을 끄을고 먼 나라로 다라날 결심을 하게된다.
쟠으의 아부지는 진실한 카톨맄 신자로서 일직이 부인을 여히고 자선 사업으로 그 생활의 목표를 정하고 감화원을 경영하는 중이였다. 그의 형 안두아누는 의사직업을 갖었다. 대체로 말하면 그들의 가정은 차듸 찬 零圍氣 속에 있었다. 가사는 도·우엩이라는 올드 미쓰가 돌보게 되였다.
그 여자에게는 지이즈라는 족하가 있어서 한 집에 살게되여 도으와 안도아누는 그 여자를 누이와 같이 대우하고 있었다.
다니엘의 가정은 이와 달니 모친은 훌륭한 현모양처였으나 부친은 가정을 도외시하고 타락한 여자들과 놀기를 즐기고 사업에는 언제나 실패를 하게된다.
다니엘의 누이 지에니는 그 성격이 외관으로는 대단히 얌전한 듯한 여자이나 속에는 폭풍과 같은 감정을 갖인 여성이다. 이 가정은 푸로테쓰탄이였다.<252>
잨으와 다니엘은 남부 방향으로 다라났으나 얼마 안 듸여 발견되여 갖이고 파리로 도라오게 되였다.
도·폰단 부인은 다니엘을 자기 품에 안어주고 사랑하였으나 그의 부친은 그를 죄인같이 취급하여 구루이에서 경영하는 감화원에 收容을 식혔다.
이 제 1편의 인상을 간단히 말한다면 젊은 두 사람의 청년의 鼓動을 그려서 최종편까지 그러한 태도로 성공하였다고 본다. 말세유 부근을 地向없이 떠다니는 두 소년의 자태는 가장 인상적이요, 또 그 후에 심리적 폭풍에 대한 서곡으로서 대단히 명랑한 위엄을 뵈이는 점에서 이 1편은 주목할 만한 것이다.

感化院

형 안도아누는 우연히 감화원을 방문하고 아우의 고백을 듯고 여기에 동생을 두는 것은 좋지 못한 결과를 갖어온다는 것을 알게된다.
처음 그 아부지는 형의 말을 듯지 않었으나 베가루 師의 권고로 쟉크를 파리로 돌여보낸다. 여기서 쟉쿠는 안도아누 감독 밑에서 살게된다. 부친의 금지가 심함에도 불구하고 그는 폰다난 집에 자조자조 드나들게 된다.

아롬다운 季節
그 후 5년이 지나서 이 두 소년은 훌륭한 청년들이 되였다. 다니엘은 화가가 되고 쟉쿠는 에고오루 노루마아루에 입학하였다. 듸보집과 폰다나 집은 메손라앗도에 여름 피서를 떠났다. 쟉쿠는 지에니를 연애하는 일편 괴로운 불안을 隱하고 때때로 그것이 증오에까지 alt이게 되였다. 또 한편 겨우 철이 드러간 지이즈에게도 마음을 두게 되였다. 안드아누의 형으로서의 *도 10세 아래 쟉쿠에게 향해서는 도리혀 반발의 구실이 되여진다. 또한 안도아누도 맛임 이 때에 어떤 환자를 간호하다가 알게된 아반쥬리에루와 연애에 빠져서 그가 나서 처음으로 애욕에 대한 깊은 번민을 갖이게 된다. 그러나 그 탓세루라 하는 여자도 옛적 연인을 다라서 아푸리카로 떠나가게 된다.

診察

다시 3년이 흘너갔다. 의 진찰은 의업에 종사하는 안도아누에 하로 생활 기록이라 볼 수 있다. 그의 부친은 지금 불치의 병으로 누어있다. 안도아누는 그거슬 알고 부친에게 숨긴다. 돌연 쟉쿠가 종적을 감추었다. 바로 에고-루노루마루 입학 전일이였다. 그들은 모두 자살이나 하지 않었는가 의심하였다.

『라소레리이나』

스위쓰 어떤 잡지에 어떠튼지 쟉쿠 비슷한 變名으로 「라, 소레리이나」라 하는 단편 소설을 발표한 것을 안도아누가 발견하였다. 쟉구가 지이즈와 지에니를 사랑하든 일이며 아부지가 자기의 결혼을 반대하든 사실이며 에고오루 노루마루의 우울한 공기를 떠나서 자기의 개성을 한 번 살여 보겠다든 어렸을 때 꿈을 그대로 쓰고 최후로<253> 스위쓰의 국제적 혁명가 단체에 입단한 것까지 일일히 써 낸 것이 이 소설 속에서 판명되였다. 이것을 보고 안도아누는 로오잔누에 가서 쟉쿠와 맞나 임종하려는 부친 곁으로 다려왔다.

「父親의 死」

連夜 4일간 아부지는 죽엄이 차저올 첨상에서 괴로워했다. 안도아누는 이 괴로움을 볼 수 없어 아조 무익한 괴롬을 끈어듸릴 주사를 노았다. 지이즈는 당시 론돈에 있다가 전보를 받고 급히 도라왔다. 쟉쿠와 다시 맞났으나 이 때 쟉쿠의 얼골은 대단히 냉혹하였다. 현재의 그는 여러 사람에게 향해서 꼭 에도란드와 같었다. 그의 마음은 스위쓰에 날고 있었다. 그래서 새로운 사회를 위해서 일하려는 욕망에 불타오르고 있었다.

「1914년 여름」

쟉쿠의 카도리시즘은 그로 하여금 막연한 반항아를 맨들었다. 제네봐에는 각국 사회주의자가 몰여들었다. 그가 속해있은 일*의 두목은 메네쓰도레루라 했다. 쟉쿠는 그의 지령에 따라서 사라이에봐의 총격에 이러난 불난서의 혼란 상태를 시찰하기 위해 파리로 도라왔다. 파리에선 지에니의 아부지가 사업 실패의 불명예를 피하기 위해 자살을 **하고 죽으려 하였다. 안도아누는 이것을 구하려고 애썼으나 무효였다. 쟉쿠는 옛날 애인을 다시 맞나 불같은 연정이 다시 끌을 수도 있었으나 자기 사명을 소중히 아는 점에서 이것을 끊고 제네봐로 향하였다. 大戰 발발과 함께 각국 사회주의자는 어느 듯 국민주의자로 化하는 형세에 있었다. 쟉쿠는 메네스도레루의 명을 받어 어떤 사명을 띄고 獨佛 국경을 비행기로 나러가든 중 불행이 길에서 떠러저 죽었다.
매우 표면적 記事이나 이상이 「듸보 家의 사람들」의 대체의 내용이라 볼 수 있다. 「1914년 여름」까지의 부분은 주로 카토릭 가정과 푸로테쓰탄 가정에서 길러난 두 사람의 청년을 중심으로 개인적 모라리틔가 환경으로부터 떠러저 나가고 동향되는 사실을 그린 반면에 구라파 청년 인테리켄챠가 사회적 불안에 대해서 어떠한 결의를 보여 주었으며 또한 그 결의가 어떠한 결과를 산출하였는가 함에 큰 의의가 있다고 생각한다. 저들은 거진 운명적으로 막연한 불안과 반항에 생활을 게속한다. 그래서 세계 대전이라는 큰 사건에 부뒷칠 때 이상의 꿈은 깨지고 현실과 자기 사이에 있은 겟부에 놀나지 않을 수 없는 경험을 맛본다. 이것이 로-제·마루란·듀칼의 제출한 가쟝 큰 교훈이다.
