잡지명	삼천리 제10권 제5호
발행일	1938년 05월 01일
기사제목	女商의 飛躍과 韓校長 人物 (The Leap of the Girls' Commercial [School] and the Figures of Principal Han)
필자	삼천리사
기사형태	소식 (News)

The Leap of the Girls' Commercial [School] and the Figures of Principal Han
						Samch'ŏllisa

The newly built school building of Kyŏngsŏng Girls' Commercial School, situated on the western slope of Inwangsan Mountain, is extremely tall, grand, and splendid. There were the inconveniences of riding the streetcar and bus, passing the prison, seeing many funeral processions, and enduring a long journey on a dusty road, followed by some confusion. However, upon climbing the high stone steps, crossing the wide sports field, and seeing the tall, grand, and splendid school building nestled quietly at the foot of a good mountain with glittering, magnificent rocks and green pine trees, all discomfort and mental confusion disappeared, and it felt simply like visiting a monastery.

Since its founding in April of Taishō 15 (1926), this school has produced over 800 graduates, sending working women into various fields of society. At one point, there was even talk of closing the school gates due to management difficulties, and various difficult problems arose frequently because of this. However, perhaps through the help of heaven, in January of Shōwa 11 (1936), the philanthropist Mr. Han Yang-ho (韓亮鎬) donated a huge sum of several hundred thousand won, completely taking over the school's management. As a result of his truly devoted efforts spared for the construction of the new school building, along with enriching the content, improving education, and implementing reforms, the school building was successfully completed. The completion ceremony was grandly<129> held on November 20th of last year. Following this, on February 1st, permission was obtained to extend the school term from three years to four years. What more welcome news could there be for education in Chosŏn?

With the extension of the academic years, the school will have 12 classes and a capacity of 600 students. The current 400 students will graduate under the old 3-year system, while the new students entering this spring will follow the new regulations. That is, students entering from now on will have to study for four years to graduate. Therefore, future graduates of this school will naturally possess qualifications equivalent to those from a girls' higher common school, and furthermore, they will be able to learn subjects like abacus or bookkeeping, which cannot be learned at a girls' higher common school.

One day, in the principal's office of this fine new school, the reporter heard stories about the school, the founder Mr. Han Yang-ho, the teachers, and the graduates from the young principal, Mr. Kim Yong-guk.

The principal graduated from Kyŏngsŏng Higher Commercial School in Shōwa 2 (1927) and immediately came to the Girls' Commercial School. However, due to a dispute (分糾) at the school, he left and taught for several years at Hoeryŏng Public Commercial School. He was called back to the Girls' Commercial School and returned in Shōwa 8 (1933). Although he is now 37, he looked much younger than his age. However, the school owner (校主) Mr. Han knew that he understood school affairs better than anyone and could handle them well, which is why he did not hesitate at all to entrust this young principal with great responsibility.

According to the principal, the school owner Mr. Han is the son of Mr. Han Kyu-sŏl (韓圭卨). He has a very good and benevolent personality, cherishes and loves the teachers and students equally, and is also extremely diligent. For this reason, he not only personally surveyed and prepared the site for the newly built school building but has also attended school every single day without fail since taking it over. He entrusts all internal school affairs to the principal, taking only the financial responsibility himself. He apparently feels the school building is still insufficient and plans to build special classrooms<130> on the approximately 250-pyeong plot next to the main building. Furthermore, the procedures for establishing a legal foundation are currently underway and are expected to be approved around June of this year. Hearing such stories from Principal Kim, I was moved several times.

Since the school is getting bigger, the number of classes is increasing, and the student body will grow, won't you need to invite more teachers?

Although the current teachers are not exactly insufficient, several new teachers will be invited for the new semester.

There are currently 14 teachers in total. Most of them are said to have carried the hardships of the Girls' Commercial School on their shoulders, weeping and laughing together. Listing their names now:
Pak Hak-kyu, Yi Sŏn-ho, Enjō Hirohito (園城博仁), Pang Sŏn-hŭi, Song Ok-sŏn, Pak In-ho, Pang Kyŏm-sun, Shibasaki Natsu (柴崎ナツ), Watanabe Akinari (渡邊明成), Hong Chong-gi, Pae Hŭi-sŏng, Cho Ik-chun, Kim Ch'ang-sŏp.

Mr. Pak Hak-kyu finished the Geography and History Department at Nihon University Higher Normal School and now teaches geography, Korean language, and calligraphy. Mr. Yi Sŏn-ho finished Kyŏngsŏng Higher Commercial School and teaches bookkeeping, commercial arithmetic, and geometry. Mr. Pang Sŏn-hŭi finished Suwŏn Agriculture and Forestry School and teaches science, arithmetic, and algebra. Ms. Song Ok-sŏn finished Nara Higher Normal School for Women and teaches home economics and sewing. Ms. Pak In-ho finished Tokyo Women's Higher Commercial School and teaches abacus and typing. Ms. Pang Kyŏm-sun finished Japan Women's College of Physical Education and teaches music, physical education, and sewing. Mr. Hong Chong-gi also graduated from Japan Women's College of Physical Education and teaches physical education and physiology. Mr. Pae Hŭi-sŏng finished Kyŏngsŏng Higher Commercial School and teaches commercial affairs, commercial arithmetic, practical application, and algebra. Mr. Cho Ik-chun graduated from the literature department of Keijō Imperial University (城大) and teaches English and Korean language. Mr. Kim Ch'ang-sŏp is said to be a graduate of Japan Art School and is in charge of drawing (圖畵) for all students.

Since the school was founded in Taishō 15 (1926), there have been about 800 graduates in total. As the school is specialized, it is said that among the graduates, there are more working women active in various fields of society than those who have families. As you all may know well, the late Ms. Song Kye-wŏl, who once wielded her pen and gained fame in the world, was also a graduate of this Girls' Commercial School. From her school days, she was said to have a very cheerful and bright personality, and possessed a strong dislike for losing to others. When a difficult situation arose within the school, leading to her and five other second-year students being summoned to XX <131>, she reportedly took all the responsibility herself to prevent any impact on her friends or teachers.

Ms. O Ok-nyŏ also had a very cheerful personality, a healthy physique, and dignity comparable to a man's. Sharing the same ideals as Ms. Song Kye-wŏl, she went to Tokyo to learn car driving but passed away before achieving her goal.

Besides them, there is a fifth-term graduate working as a head clerk at a financial cooperative (금융조합) in Ch'unch'ŏn, Kangwŏn Province. There is also someone studying diligently at a Japanese higher commercial school for the sake of her alma mater, and some pitiable individuals who missed their marriageable age while caring for their parents.

Having told the story up to this point, the principal suggested that the reporter tour the school. Following Principal Kim, I passed through the school owner's office and the conference room to reach the faculty room. The teachers had all gone to their classes, and only Ms. Song Ok-sŏn and a few other teachers were in the faculty room. I saw the classrooms, the sewing room, the typing room, and the music room, and then went up to the rooftop. The rooftop, stretching dizzyingly from end to end, was spotless without a speck of dust. The pine trees, rocks, and soil on the mountain felt so close as if they could be touched. The village below looked terribly distant. This was especially true because the gently falling snow swirled here and there with the aimless wind amidst the pine forest.

The auditorium was even better than the school building. The floor sloped towards the front, the glass doors were large, numerous high-collar electric lights adorned the walls and ceiling, and a grand piano worth 2,500 won was placed there. It is said to accommodate 1,000 people. Sometime during this, the dismissal bell must have rung, as a siren echoed through the mountains, and the students, who had studied for half a day, packed their books and headed home. The reporter also walked among them. Walking along, I thought the scenery of the school after the snowfall would be even better.<132>

**Summary**

This 1938 article from *Samch'ŏlli* magazine reports on the recent developments and revitalization of Kyŏngsŏng Girls' Commercial School. It highlights the school's new, grand building funded by philanthropist Han Yang-ho, who took over management in 1936 after a period of financial difficulty. The article details the extension of the curriculum from three to four years, elevating its status, and introduces the young principal, Kim Yong-guk, the dedicated founder Han Yang-ho (son of Han Kyu-sŏl), and lists the faculty members and their qualifications. It also mentions notable alumnae like the writer Song Kye-wŏl and O Ok-nyŏ, emphasizing the school's role in producing working women for society, before concluding with a description of the new facilities. For historians, the article offers insights into private education for women in colonial Korea, particularly vocational training aimed at integrating women into the workforce. The mention of the philanthropist Han Yang-ho, the specific curriculum (abacus, bookkeeping, typing), the blend of Korean and Japanese staff, the reference to graduates' societal roles (including financial cooperatives), and the brief, censored (?) mention of student activism (Song Kye-wŏl being summoned to "XX") provide valuable context about social changes, economic conditions, and the educational landscape under Japanese rule.

**Named Entities**

仁旺山	인왕산	Inwangsan
교장 선생은 京城고등상업학교를 昭和 2년에 졸업하신 뒤 곧 여자상업학교에 오셨다가 학교에 분규가 있게 되여 학교를 그만두고 會寧공립상업학교에 가서 몇 해를 교편을 잡고 게섰는데 여상에서 다시 불너주어서 昭和 8년에 여상으로 오시게 되섰다 함니다. 씨는 지금 37才라 하나 나이보다 무척 젊어 보이섰습니다. 마는 학교 일에 대해서는 누구보다 잘 알고 잘 처리하실 것을 韓校主는 아섰든 까닭에 이 젊은 교장에게 큰 직책 맺기시기를 조곰도 주저하지 않었든 것입니다.
교장선생의 말슴을 드르면 본래 韓校主는 韓圭卨씨의 아드님으로 성품이 매우 좋으시고 인자하서서 선생님듣과 생도들을 한결같이 사랑하고 귀히 녁이시는 마음과 또 몹시 부즈런하신 까닭에 이번 신축된 校舍의 터도 친히 살피시고 만련하섰을 뿐 아니라, 학교를 인수하신 뒤 하로도 빠지는 일 없이 날마다 출석하신다는 것입니다. 학교 내부의 일은 교장선생에게 전부 맺기고 자기는 경제적 책임만 마터보시며, 아직도 학교 校舍가 불충분하다 해서 본관 옆 250여 평의 땅에다가 특별 교실까지<130> 지을 예정이라 함니다. 그리고 재단 법인 수속도 지금 하고 있는 중으로 금년 6월경에는 인가될 듯 하다고 함니다. 나는 金교장의 이런 이얘기를 듯는 중 몇 번 감격했든지 모름니다.

학교가 커지고 학급이 늘고 또 생도가 많어지겠으니까 선생님도 더 초빙해야 될 것이 아님니까.
지금 게신 선생님들만 해도 과히 부족함은 없겠으나, 새 학기엔 새 선생님 몇 분을 더 모시여 온담니다.
현재 게신 선생님들은 전부 14분으로 이분들은 대개 여상의 고난을 두 억개에 질머지고 함께 울고 웃고 하든 이들이라 함니다. 이제 그 氏名을 들어보면
朴學圭, 李善浩, 園城博仁, 方善熙, 宋玉璇, 朴仁浩, 方兼順, 柴崎ナツ, 渡邊明成, 洪鍾奇, 裵熙晟, 趙益俊, 金昌燮, 諸氏인데
朴學圭선생은 일본대학 고등사범 地歷科를 마추신 이로, 지금 지리, 조선어, 습자를 가르치시고 李善浩선생은 京城고등상업을 마치시고 부기, 商算, 기하를 가르치시고, 方善熙선생은 水原농림을 마추시고 이과, 산술, 대수를 가르치시고, 宋玉璇 선생은 奈良高師를 마추시고 가사, 재봉을 가르치시고, 朴仁浩 선생은 東京여자고등상업학교를 마추시고 주산, 타자를 가르치시고, 方兼順선생은 일본여자체육학교를 마추시고 음악, 체조, 재봉을 가르치시고, 洪鍾寄선생도 역시 일본체육학교를 졸업하신 이로 체조, 생리를 가르치시고,  裵熙晟선생은 京城高商을 마추시고 商事, 商算, 실천, 대수를 가르치시고, 趙益俊선생은 城大 문과를 나오신 이로 영어, 조선어를 가르치시고, 金昌燮선생은 일본미술학교 출신이시라는데 전교 생도의 圖畵를 담당하신다고 함니다.

大正 15년에 實校가 창설된 이래로 졸업생이 전부 800명 가량이라는데 학교가 특수하니만침, 졸업생에는 가정을 가진 자보다 직업 여성으로 사회 각 방면에서 활약하는 이들이 더 만타고 함니다. 여러분도 잘 아시겠지만 한 때 문필을 날니여 세상에 일홈은 떨치는 고 宋桂月씨도 이 여상의 졸업생이라 함니다. 그는 학교에 있을 때부터 성격이 퍽 쾌활하고 명랑할 뿐 아니라 남에게 지기를 싫어하는 성질을 다분히 가저서 학교 안에 한 때 어려운 일이 생기여 그와 2학년생 다섯 명이 XX에까지<131> 불니게 되였을 적에도 그는 전 책임을 혼자 마터가지고 동무나 선생에게 영향이 미치지 안토록 했드람니다.
吳玉女씨 이분도 성격이 매우 쾌활하고 남자에게 밋가지 안는 건전한 체격과 기품으로 宋桂月씨와 같은 사상을 가지고 東京가서 자동차운전을 배호다가 성취못하고 세상을 떠났다 함니다.
그리고 그밖에 제5회 졸업생으로 강원도 春川서 금융조합 주임으로 지내는 이도 있으며 일본고등상업에서 모교를 위하여 열심히 공부하는 이도 있고 부모를 위하느라고 혼기를 노친 가엽슨 분들도 있다고 함니다.
여기까지 이얘기를 들여주신 교장선생은 기자에게 학교 구경을 하라는 것임니다. 나는 金 교장을 따라 교주실, 회의실을 거처서 교원실에 이르렀읍니다. 선생님들은 죄다 시간에 들어가고 교원실엔 宋玉璇선생 외 몇 분 선생님만 게실 뿐. 교실과 재봉실, 타자실, 음악실을 다 보고 옥상에 올나 갔읍니다. 한끝에서 한끝이 앗질하게 보이는 옥상은 티끌하나 없이 정하고 또 산 우에 소나무와 바위와 흙이 다- 손에 다을 것 같이 가까웠읍니다. 거기서 내려다 뵈이는 아래ㅅ 마을은 지독히 멀어저 뵈였읍니다. 더구나 푸실푸실 오는 눈이 송림 속에 갈피 앓은 바람과 함께 이리 저리 휘날였든 까닭입니다.
강당은 학교보다 더 좋았읍니다. 마루는 앞을 경사지고 유리문이 크고 하이칼라 전등이 벽과 천정에 수없이 달니고 2,500원짜리 그랜드 피아노가 놓였는데 그 안엔 1,000명을 수용한다는 것입니다. 어느 사이에 하학 시간이 되였든지 싸이렌이 산을 울니드니 한나절을 배호든 생도들은 책보를 싸들고 집으로 도라감니다. 기자도 그들 속에 석겨서 걸었읍니다. 거르며 눈 온 뒤의 그 학교 풍경은 더 좋으리라 생각했읍니다.<132>
<129-132>
