Magazine Title: 동광 제6호
Publication Date: 1926년 10월 01일
Article Title: 朝鮮史 硏究의 根本史料 (Fundamental Historical Sources for the Study of Korean History)
Author: 三淸山人
Article Type: 논설 (Editorial/Article)

Fundamental Historical Sources for the Study of Korean History
						Samch'ŏng Sanin

One who studies history, regardless of which history it is, must begin their research with its fundamental historical sources, that is, the primary and paramount written records.
Therefore, one who studies Korean history must also first seek out and study the fundamental historical sources of Korean history. So, what are the fundamental historical sources of Korean history? Although it is difficult to list each and every one, I wish to introduce just a few of the most important ones.

*Samguk Sagi* and *Samguk Yusa*
For the fundamental sources of the Three Kingdoms period and the North-South States period, that is, ancient history, one cannot fail to mention the two records, *Samguk Sagi* (三國史記) and *Samguk Yusa* (三國遺事). The *Samguk Sagi* was authored by the scholar Kim Pusik (金富軾) in the 23rd year of King Injong (仁宗) of Koryŏ, 782 years ago from today. As the oldest extant official history (正史) among records by Koreans, no matter how incomplete its contents may be said to be, one must first read it when studying ancient history. Next, one must read the *Samguk Yusa*. It is an unofficial history (野史) authored by the monk Illyŏn (一燃) during the reign of King Ch'ungnyŏl (忠烈王) of Koryŏ, about 650 years ago from today. Although at first glance it may seem to consist only of absurd mythological records, it is a record most necessary for supplementing the deficiencies (缺陷) of the *Samguk Sagi*, whether as historical material concerning the period before the Three Kingdoms, such as the Tan'gun Era (檀君時代) or the Confederated Kingdoms Era (列國時代), or as historical material concerning various aspects of the Three Kingdoms period like popular sentiment, customs, literature, and art. At the same time, it can be said to form a pair with the *Samguk Sagi* among ancient historical sources.

*Koryŏsa* and *Yi Dynasty Sillok*
For the fundamental sources of the middle period, that is, the Koryŏ Dynasty (高麗朝), one must mention the *Koryŏsa* (高麗史), authored by Chŏng Inji (鄭麟趾). It was based on the veritable records (*sillok*) of successive reigns of the Koryŏ Dynasty, compiled under the hand of Chŏng Tojŏn (鄭道傳) during the time of Yi Dynasty's T'aejo (李朝太祖), and then revised under the hand of Chŏng Inji (鄭麟趾) around the time of King Sejong (世宗), approximately 520 years ago from today. It is the sole official history of the Koryŏ Dynasty, and one cannot study the history of the Koryŏ Dynasty without it.
And for the history of the Yi Dynasty (李朝史), the *Kukcho Sillok* (國朝實錄), compiled by the hands of successive historian-officials (史官) of the Yi Dynasty, will naturally be the sole fundamental historical source.

Supplementary Material is Epigraphy (金石文)
Therefore, anyone intending to study Korean history must first thoroughly read and deeply study the aforementioned *Samguk Sagi*, *Samguk Yusa*, *Koryŏsa*, and *Kukcho Sillok*.
However, it is an unavoidable fact that even these fundamental sources listed above contain many errors (착오) and flaws (결함). Furthermore, something like the *Samguk Sagi* was not based on veritable records directly written during the Three Kingdoms period; rather, it was based on meager (僅少) records that were altered (變作) or erroneously recorded (誤記) by people in the late Silla period and transmitted down. Thus, it can be said that there are quite a few points mistaken to the extent that they are hard to believe.
Therefore, to correct (訂正) and supplement (補充) them, one must read epigraphy (金石文), which are the most trustworthy records from that time. Accordingly, as the sole collection of epigraphy, one should read the recently published "Kŭmsŏk Ch'ongnam" (金石總覽).

Writings by Foreigners
Furthermore, among writings by foreigners, records concerning Korea within the Chinese 24 Histories (支那24史), which were recorded as a result of direct contact at the time, can naturally be called historical sources more trustworthy (信憑) than records by Koreans written later. Also, the *Nihon Shoki* (日本書記), much of which can be said to have been written by the brush of Paekche people, will also be of considerable reference (참조). Thus, without reading all of these as well, it will be difficult to study Korean history in its true aspect (진면목).
And besides these, it goes without saying that many unofficial histories (野史), collected works (文集), and other such documents should be consulted, but as this discussion would become overly lengthy (장황함으로), I will stop here.

24 Histories
Title | Volumes | Period | Author(s)
------- | -------- | -------- | --------
Shiji (史記) | 130 | Western Han (西漢) | Sima Qian (司馬遷)
Han Shu (漢書) | 120 | Eastern Han (東漢) | Ban Gu (班固)
Hou Han Shu (後漢書) | 120 | Liu Song (宋) | Fan Ye (范曄)
Sanguo Zhi (三國志) | 65 | Jin (晋) | Chen Shou (陳壽)
Jin Shu (晋書) | 130 | Tang (唐) | Fang Xuanling (房玄齡) et al.
Song Shu (宋書) | 100 | Southern Qi (齊) | Shen Yue (沈約)
Qi Shu (齊書) | 59 | Liang (梁) | Xiao Zixian (蕭子顯)
Liang Shu (梁書) | 56 | Tang (唐) | Yao Silian (姚思廉)
Chen Shu (陳書) | 36 | Tang (唐) | Yao Silian (姚思廉)
Wei Shu (魏書) | 114 | Northern Qi (北齊) | Wei Shou (魏收)
Bei Qi Shu (北齊書) | 50 | Tang (唐) | Li Baiyao (李百藥)
Zhou Shu (周書) | 50 | Tang (唐) | Linghu Defen (令狐德棻) et al.
Sui Shu (隋書) | 85 | Tang (唐) | Wei Zheng (魏徵) et al.
Nan Shi (南史) | 80 | Tang (唐) | Li Yanshou (李延壽) et al.
Bei Shi (北史) | 100 | Tang (唐) | Li Yanshou (李延壽) et al.
Jiu Tang Shu (舊唐書) | 200 | Later Jin (後晋) | Liu Xu (劉昫) et al.
Xin Tang Shu (新唐書) | 255 | Song (宋) | Ouyang Xiu (歐陽修) et al.
Wudai Shi (五代史) | 150 | Song (宋) | Xue Juzheng (薛居正) et al.
Wudai Ji (五代記) | 75 | Song (宋) | Ouyang Xiu (歐陽修)
Song Shi (宋史) | 496 | Yuan (元) | Toghto (脫脫) et al.
Liao Shi (遼史) | 116 | Yuan (元) | Toghto (脫脫) et al.
Jin Shi (金史) | 136 | Yuan (元) | Toghto (脫脫) et al.
Yuan Shi (元史) | 210 | Ming (明) | Song Lian (宋濂) et al.
Ming Shi (明史) | 332 | Qing (淸) | Zhang Tingyu (張延玉) et al.<17>
<16-17>

**Summary**

The author, Samch'ŏng Sanin, outlines the essential primary sources for studying Korean history. For ancient history (Three Kingdoms, North-South States), the *Samguk Sagi* and *Samguk Yusa* are crucial, with the latter supplementing the former's gaps, especially concerning mythology, folklore, and pre-Three Kingdoms periods. For the Koryŏ period, the *Koryŏsa* is the key official history. For the Chosŏn (Yi) Dynasty, the *Chosŏn Wangjo Sillok* (referred to as *Ijo Sillok* or *Kukcho Sillok*) is indispensable. The author stresses the need to critically engage with these texts, acknowledging their potential errors and incompleteness (particularly the *Samguk Sagi*), and advocates using epigraphy (金石文), such as found in the *Kŭmsŏk Ch'ongnam*, for correction and supplementation. Additionally, relevant records in the Chinese 24 Histories and the Japanese *Nihon Shoki* are recommended as valuable external perspectives, alongside various unofficial histories and literary collections. The article concludes with a list of the Chinese 24 Histories.

From the perspective of Korean colonial history, this article (published in 1926) is interesting as it represents a Korean intellectual's effort to define and promote the study of Korean history based on primary Korean sources during a period of Japanese rule. While acknowledging the value of Chinese and Japanese records, the core emphasis is on Korean-authored texts like the *Samguk Sagi*, *Samguk Yusa*, *Koryŏsa*, and the *Sillok*. The critical approach advocated, including the use of epigraphy and acknowledging potential biases or errors in canonical texts, reflects emerging modern historical methodologies within Korea, resisting potentially Japan-centric historical narratives while still engaging with necessary external sources. Historians might find the specific selection and evaluation of sources, and the implicit assertion of Korean historical scholarship's autonomy, significant for understanding intellectual trends of the period.

**Named Entities**

三國史記	삼국사기	Samguk Sagi
그럼으로 그를 訂正하고 그를 보충함에는 그 당시의 기록으로써 가장 믿을만한 金石文을 읽지 아니하여서는 안될 것이다. 딸아서 金石文의 유일의 蒐集書로서는 최근 발행의 「金石總覽」을 읽어야 할 것하다.

外國人의 著作
그러고 외국인의 저작으로서도 당시에 직접으로 접촉됨에 딸아서 기록된 支那24史 중에 조선에 관한 기록 같은 것은 물론 追後하여 기록된 조선인의 기록 이상으로 信憑할만한 사료라 할만한 것이요. 또는 대부분이 백제 사람의 붓으로 되었다 할만한 日本書記도 적지 않은 참조가 될 것이다. 그러면 그도 다 한번 읽어보지 아니하여서는 조선사를 진면목으로 연구하기 어렵을 것이다.
그러고 그 외에도 많은 野史, 文集 등의 書類를 참조하여야 될 것은 물론이지마는 말이 넘우 장황함으로 이에 그치고 마는 바이다.

24史
書名 卷數 時代 著者
史記 130권 西漢 司馬遷
漢書 120권 東漢 班固
後漢書 120권 宋 范曄
三國志 65권 晋 陳壽
晋書 130권 唐 房玄齡 等
宋書 100권 齋 沈約
齊書 59권 梁 蕭子顯
梁書 56권 唐 姚思廉
陳書 36권 唐 姚思廉
魏書 114권 北齊 魏收
北齊書 50권 唐 李百藥
周書 50권 唐 令狐德棻 等
隋書 85권 唐 魏徵 等
南史 80권 唐 李延壽 等
北史 100권 唐 李延壽 等
舊唐書 200권 後晋 劉晌 等
新唐書 255권 宋 歐陽修 等
五代史 150권 宋 薛居正 等
五代記 75권 宋 歐陽修
宋史 496권 元 脫脫 等
遼史 116권 元 脫脫 等
金史 136권 元 脫脫 等
元史 210권 明 宋濂 等
明史 332권 淸 張延玉 等＜17＞
＜16-17＞
