Magazine Title: 삼천리 제4권 제9호
Publication Date: 1932년 09월 01일
Article Title: 鍾路네거리 (Chongno Crossroads)
Author: Not specified
Article Type: 소식 (News/Tidings)

Chongno Crossroads

Critic Pak Mun-hŭi suddenly departed for Peip'ing (北平) about ten days ago. It is said he left upon receiving a telegram stating that his younger sister, Pak Ch'a-jŏng—who was not only outstanding among female activists for her wisdom (智略) and beauty (美貌) but had also been exiled to Peking (北京) as a member of the XX Party—was critically ill. It is not yet known when he will return.

In the old days, heroes like Liang Shanbo (梁山伯)<13> who supported retainers (門客) were many, but now even traces of them have vanished. However, there are those who open their entire, very spacious outer reception rooms (舍廊) to provide a "salon" for discontented visitors: Mr. Ch'oe Rin in Kyedong and Mr. Kim Pyŏng-no in Sŏdaemun-jŏng.

Yŏ Un-hyŏng, who was provisionally released from prison some time ago, is now staying at the house of Mr. Yi Un-hong in Kahoe-dong. Speaking of the Kahoe-dong house, although it is a Western-style two-story building, the residence itself is like an extension of his Shanghai life...

A writers' association has been formed in Seoul. In terms of gathering a large number of figures through a combination of various commentators (論壇諸客) and literary figures (文人 諸氏), it is decidedly the most prominent authoritative body of intellectuals seen in recent times. Hopefully, they will not just be busy with earning the so-called manuscript fees of 20 or 30 *chŏn* per page (一枚 2, 30錢 云云하는 原稿料 收得), but will wage a bold struggle to extend the authority of our society's press (언론). For example, a movement to revise Chosŏn's unique publication law, and also assistance for the revival of the Chosŏn Ilbo and Chungang Ilbo... etc.

Three ice pillars stood neatly in a row, but two of them melted away in the scorching sun (曝陽), leaving ultimately only one ice pillar remaining, making its existence stand out even more... This is the stance of the Tong-a Ilbo in the private newspaper world. It could be called unearned income (不勞所得). Victory without fighting (不戰而勝). Did Chairman Song of Tong-a, who has become the dictator king of newspapers, dream as Lord (빠이론卿) Byron did when he said, "I awoke one morning<14> and found myself famous throughout the world"?

There is Mr. Hŏ Hŏn, whose father is a nationalist and daughter, Miss Hŏ Chŏng-suk, is a socialist; Mr. Hong Myŏng-hŭi, whose son, Mr. Hong Ki-mun, is [a socialist]; and also Mr. Han Yong-un, whose son, Han Po-guk, is [a socialist]. Han Po-guk is currently confined in Sŏdaemun Prison for the XX Party Reconstruction Committee incident. As the public trial (公判) was approaching, someone suggested to Mr. Han Yong-un that he should appoint a lawyer (辯護士). Mr. Han reportedly refused calmly (泰然), saying, "For violations of Ordinances (制令違反) or the Peace Preservation Law (치안유지법), they just hand down cookie-cutter verdicts (판에 박어노은 듯한 판결) anyway, so what's the point of a lawyer?" This vividly shows Mr. Han's character (면목).

It is said that An Tosan (An Ch'ang-ho) in Sŏdaemun Prison refused food sent in from outside (差食) by Ch'unwŏn (Yi Kwang-su). Was it out of integrity (節介?), thinking that since things have already come to this, there is no point in meanly coveting gourmet food (美食) or seeking fine clothes (美衣)?<15>

**Summary**

This article presents a series of news tidbits about prominent Korean intellectuals, activists, and writers in Seoul in 1932. It covers Pak Mun-hŭi's trip to Beijing due to his sister Pak Ch'a-jŏng's illness, the existence of "salons" hosted by Ch'oe Rin and Kim Pyŏng-no, Yŏ Un-hyŏng's release from prison, the formation of a writers' association with hopes for press freedom advocacy, the dominance of the Tong-a Ilbo newspaper after others closed, generational political divides (nationalist fathers like Han Yong-un and Hŏ Hŏn with socialist children like Han Po-guk and Hŏ Chŏng-suk), Han Yong-un's defiant attitude towards the colonial legal system regarding his son's trial, and An Ch'ang-ho's refusal of food from Yi Kwang-su in prison. From a historical perspective, the article offers glimpses into the constrained political and social environment of colonial Korea, highlighting surveillance and censorship (XX Party), the suppression of the press (Chosŏn Ilbo, Chungang Ilbo closures), the workings of the colonial justice system (Peace Preservation Law, Sŏdaemun Prison), ideological splits within the nationalist movement (generational differences, potential friction suggested by An Ch'ang-ho and Yi Kwang-su), and the resilience and defiance of figures like Han Yong-un.

**Named Entities**

朴文憙	박문희	Pak Mun-hŭi
하로 아츰	하루 아침	One morning (Older spelling)
일홈	이름	Name (Older spelling)
꾸섯는가	꾸었는가	Did [he] dream? (Older spelling/conjugation)
민족주의자	민족주의자	Nationalist
사회주의자	사회주의자	Socialist
아드님	아드님	Son (honorific)
따님	따님	Daughter (honorific)
사건	사건	Incident, case
가치어 잇는데	갇히어 있는데	Is confined/imprisoned (Older spelling/form)
公判	공판	Public trial
迫到하엿기에	박도하였기에	Because it has drawn near (Older form)
더러	더러	To (a person, particle)
辯護士	변호사	Lawyer
대일 것	댈 것	Appointing, providing (a lawyer)
권하엿더니	권하였더니	Recommended, urged (Older form)
制令違反	제령위반	Violation of Ordinances (Colonial laws)
치안유지법	치안유지법	Peace Preservation Law
판에 박어노은 듯한	판에 박아놓은 듯한	Stereotyped, cookie-cutter (lit. as if stamped in a mold) (Older spelling/form)
판결	판결	Verdict, ruling
泰然	태연	Calmly, composedly
거절하엿다	거절하였다	Refused (Older spelling)
면목	면목	Face, dignity, true character
躍如타	약여타	Vivid, lifelike
差食	차식	Food provided from outside to a prisoner
기왕 이리된 바에	기왕 이리 된 바에	Since things have already come to this
苟苟하게	구차하게	Meanly, insignificantly, clinging (to life) (Slight nuance difference from modern 구차하다)
美食	미식	Gourmet food
貪할 바	탐할 바	Reason to covet
美衣	미의	Fine clothes
차즐 바	찾을 바	Reason to seek (Older spelling)
節介	절개	Integrity, constancy
그리함이엇든가	그리함이었던가	Was it done like that? (Older spelling/conjugation)


---------------------------


잡지명	삼천리 제4권 제9호
발행일	1932년 09월 01일
기사제목	鍾路네거리
기사형태	소식

鍾路네거리
평론가 朴文憙씨는 10여일 전에 돌연 北平으로 가버리엇다. 그의 누의동생으로 일즉 智略과 미모에 잇서 여류운동가 중 뛰어날뿐더러 XX黨員으로 北京에 망명하엿든 朴次貞이 병으로 위독하다는 電報를 밧고 떠낫다는데 언제 도라올 날자는 아직 알 수 업다한다.

녯날에는 門客을 養하는 梁山伯的 영웅이<13> 만터니 지금은 그조차 자최를 감추엇다. 다만 너르고도 너른 舍廊 전체를 개방하여 불평객들의 『싸론』으로 제공하는 이에 桂洞에 崔麟씨가 잇고 西大門町에 金炳魯씨가 잇다.

얼마전에 假出獄한 呂運亨은 지금 그의 李씨되는 嘉會洞의 運弘씨집에 留하는데 嘉會洞 집으로 말하면 비록 洋製 二層이 되어 주택만은 上海 생활의 廷長가치되어 잇스나...

서울에 문필가 협회가 생기엇다. 論壇諸客과 文人 諸씨의 총합으로 인물을 多數 網羅한 점에 이르러는 근래에 업는 단연 우세한 인테리의 權威 기능이다. 바라건대 一枚 2, 30錢 云云하는 原稿料 收得에만 분주하지말고 우리 사회의 언론의 권위를 伸長하기 위하야 과감한 투쟁을 바란다. 예컨대 朝鮮 獨特의 출판법 개정운동, 又 朝鮮日報 中央日報 부활에 대한 助力... 등등

어름기둥이 세 개가 가지런히 서고 잇더니 그만 그 중에 두 기둥이 曝陽에 녹아버리엇슴으로 결국 어름기둥은 한낫밧게 남지 안게 되어 一層 그 존재가 뚜렷하여젓다... 이것이 민간신문계에 대한 동아일보의 姿態다. 可謂 不勞所得이다. 不戰而勝이다. 신문 獨裁王이된 東亞의 宋主席은 빠이론卿이 『하로 아츰에 눈을 뜨니 내 일홈이 전세계<14> 유명하여젓더라』
하듯이 그러한 꿈이나 꾸섯는가.

아버지는 민족주의자요 아들은 사회주의자인 분에 許憲씨와 그의 따님 許貞淑씨가 잇고 洪命憙씨에 그의 아드님 洪起文씨가 잇고 그리고 또 韓龍雲씨에 그의 아드님 韓保國이 잇다. 韓保國은 XX黨 再建委員會 사건으로 지금 西大門 형무소에 가치어 잇는데 公判이 迫到하엿기에 누가 韓龍雲씨 더러 辯護士를 대일 것을 권하엿더니 韓씨 『制令違反이나 치안유지법 위반은 판에 박어노은 듯한 판결이나내리는 법인데 변호사는 무슨 변호사요?』
하고 泰然 거절하엿다. 韓씨의 면목이 躍如타 할가.

西大門 형무소의 安島山은 春園의 差食을 거절하엿더라 한다. 기왕 이리된 바에 苟苟하게 美食을 貪할 바 잇고 美衣를 하 차즐 바 업다하는 節介?에서 그리함이엇든가?<15>
<13-15>
