Magazine Title: 개벽 제52호
Publication Date: 1924년 10월 01일
Article Title: 惡禱(Le Litanies de Satan) (Evil Prayer/The Litanies of Satan)
Author: 뽀-들래-르(作), 梁柱東(譯) (Baudelaire (Author), Yang Chu-dong (Translator))
Article Type: 시 (Poem)

Evil Prayer
Baudelaire (Author), Yang Chu-dong (Translator)

O Angel, most wise and most beautiful, whom God
Lured with Fate and concealed with praise,

O Satan, take pity on my long misery!

O Prince of Exile, misunderstood by men,
Who conquers all and ever stands mightily tall,<2>
O Satan, take pity on my long misery!

O Great Emperor, omniscient and ruling all things underground,
Who personally mends the anguish of humans,

O Satan, take pity on my long misery!

Who teaches, with love, the joys of Paradise
To the leper and the cursed pariahs,

O Satan, take pity on my long misery!

Who, through your old and steadfast lover, Death,
Begets Hope—that foolish fascination!

O Satan, take pity on my long misery!

Who watches the condemned with clear, high eyes,
Casting them from the gallows into Hell,

O Satan, take pity on my long misery!

Who knows in which nook of the earth lie
The noble jewels hidden by a jealous God,

O Satan, take pity on my long misery!

Who perceives with an insightful eye
The deep repository where buried treasures slumber,

O Satan, take pity on my long misery!

Who, for the sleepwalker wandering on the roof,
Shields the cliff with a great hand,<3>

O Satan, take pity on my long misery!

Who miraculously subdues the withered bones
Of the sluggish drunkard trampled by horses' hooves,

O Satan, take pity on my long misery!

Who, to console the suffering weak,
Taught us to mix sulfur and saltpeter,

O Satan, take pity on my long misery!

Who stamps the mark of a subtle accomplice, O,
Upon the brow of the heartless and unjust plutocrat,

O Satan, take pity on my long misery!

Who places the creed of sorrow and the love of rags
Into the eyes and hearts of young girls,

O Satan, take pity on my long misery!

Who is the staff (執行) of the wanderer, the lamp of the explorer,
The confessor of the hanged and the conspirator,

O Satan, take pity on my long misery!

Who is the adoptive father of those filled with black wrath,
Who drove the Father from the earthly Paradise,

O Satan, take pity on my long misery!<4>
<2-4>

**Summary**

This article presents a Korean translation by Yang Chu-dong of Charles Baudelaire's poem "Les Litanies de Satan" ("Evil Prayer"). The poem is a series of invocations praising Satan, portraying him not as purely evil, but as a compassionate figure who understands and aids the suffering, the exiled, the cursed, and the rebellious. He is depicted as a source of hidden knowledge, hope born from death, and even a protector of the vulnerable, contrasting sharply with a jealous and punitive God. For historians of colonial Korea, the publication of this translation in *Kaebyŏk*, a prominent nationalist magazine known for its critical stance, is noteworthy. Publishing a poem that elevates Satan and critiques divine authority could be interpreted as a coded expression of dissent against the oppressive colonial regime, aligning the suffering Korean populace with the downtrodden figures championed by Baudelaire's Satan, or simply reflecting a broader intellectual engagement with Western literature that carried potentially subversive undertones.

**Named Entities**

뽀-들래-르	뽀들래르	Baudelaire
필자	뽀-들래-르(作), 梁柱東(譯)
기사형태	시

惡禱
						뽀-들래-르(作), 梁柱東(譯)
神이運命으로誘引하고讚頌으로감초아둔
가장知慧롭고가장아름다운天使, 당신이시어,

오 惡魔여 나의오랜苦痛을어엽비녁여주소서!

오 사람들이誤認하는 流配의「王子님」
모든것을征服하며 恒常힐차게直立하는당신이시어＜2＞
오 惡魔여 나의오랜苦痛을어엽비녁여주소서!

全知하시며 地下의모든일을統轄하시는大帝王
人間의懊惱를손수곳처주신당신이시어

오 惡魔여 나의오랜苦痛을어엽비녁여주소서!

癩病者에게나 咀呪밧은파리 쓰에게나
「天國」의즐거움을사랑으로가르처주시는당신이시어

오 惡魔여 나의오랜苦痛을어엽비녁여주소서!

당신의오래고굿센愛人「죽음」으로서
오 未練한魅惑-「希望」을낫는당신이시어

오 惡魔여 나의오랜苦痛을어엽비녁여주소서!

絞首臺에서사람을地獄에떠러치는
맑고놉홀눈으로受刑者를보시는당신이시어

오 惡魔여, 나의오랜苦痛을어엽비녁여주소서!

嫉妬만흔神이감초아둔高貴한寶石이
땅속어느갈피에잇는지알으시는당신이시어

오 惡魔여 나의오랜苦痛을어엽비녁여주소서!

埋沒된金人이졸고잇는깁흔武庫를
慧眼으로認識하는당신이시어

오 惡魔여 나의오랜苦痛을어엽비녁여주소서!

집웅에彷徨하는夢遊病者를爲하야
크나큰손으로絶壁을가리우는당신이시어＜3＞

오 惡魔여 나의오랜苦痛을어엽비녁여주소서!

馬蹄에蹂躪된沈滯한大酒客의
枯骨을 神奇하게順從식히는당신이시어

오 惡魔여 나의오랜苦痛을어엽비녁여주소서!

苦悶하는弱한者를慰勞하기爲하야
硫黃과硝石을混合식히라고우리에게가르친당신이시어

오 惡魔여 나의오랜苦痛을어엽비녁여주소서

無情하고無道한(大富者)의이마우에
오 微妙한共犯者의記號를印치시는당신이시어

오 惡魔여 나의오랜苦痛을어엽비녁여주소서!

悲痛의信條며 襤褸의사랑을
少女들의눈과가슴속에너어주시는당신이시어

오 惡魔여 나의오랜苦痛을어엽비녁여주소서!

放浪者의집행이며 探險家의燈臺며
絞死者와謀反者의懺悔人되시는당신이시어

오 惡魔여 나의오랜苦痛을어엽비녁여주소서!

地上의天國에서「天父」를逐出한
식컴은怒氣를품은者의養父되시는당신이시어

오 惡魔여 나의오랜苦痛을어엽비녁여주소서!＜4＞
＜2-4＞
