Magazine Title: 삼천리 제3권 제11호
Publication Date: 1931년 11월 01일
Article Title: 滿蒙獨立運動과 朝鮮人 利害, 滿蒙의 特殊性과 우리들 (The Manchukuo-Mongolian Independence Movement and Korean Interests, The Specific Characteristics of Manchuria-Mongolia and Us)
Author: 金恒圭
Article Type: 논설 (Editorial/Opinion Piece)

The Manchukuo-Mongolian Independence Movement and Korean Interests, The Specific Characteristics of Manchuria-Mongolia and Us
						By Kim Hyŏnggyu

1
In my view, this is not a problem that permits easy judgment.
Currently, an extraordinarily tense atmosphere throughout the Far East is extremely unsettling our nerves. That is, looking at the general trend over the last day or two, the problem has been dragged all the way to the League of Nations.
The fiery debates between the Japanese representative Mr. Yoshizawa (芳澤) and the Chinese representative Mr. Shi Zhaoji (施肇基) in Geneva, and alongside that, the watchful waiting of powers such as France, Britain, and the USA—it seems likely that the subtle international bustle in the coming days will create some kind of catalyst.
Moreover, if we turn our gaze abroad, the world, driven by the economic collapse of nations without exception and political conflicts in Europe, is truly preparing for a Second Great War, is it not?

2
So, will the problem end here?
No. Of course, it goes without saying that the future trend (趨向) will be the focal point of the issue. (Omitted from original text)
These days, in the Three Eastern Provinces (東3省)! In Manchuria and Mongolia, lacking Zhang Xueliang (張學良) and Zhang Zuoxiang (張作相), independence movements or autonomy movements of some form are being vigorously propagated. Regarding this, Prime Minister Wakatsuki (若槻) has declared absolute non-interference.
It is said there are two factions (兩派) in these movements. One faction supports the Xuantong Deposed Emperor (宣統廢帝) and seeks an independence movement in the form of restoring imperial rule (帝政), while the other is a movement of a different form, rallying key figures (요인) from the currently existing provinces. I believe that given the current situation (정세), such independence or autonomy movements absolutely cannot succeed. (Omitted from original text)
Therefore, I think this topic is not something I can even speculate upon.
Why? To put it simply, the first reason (第 1因) is that Manchuria-Mongolia (滿蒙) itself utterly lacks the capability (역량) to achieve independence through its own real power (실력), and the constantly changing situation between Japan (日) and China (中) is unlikely to allow for such derivative consequences.
At a quick glance, it might seem like there is some degree of feasibility (實現性) with the tacit approval (묵인) <25> or implicit aid (暗然한 원조) of the mother country [likely referring to Japan] during this opportunity when the Japanese army has occupied the Three Eastern Provinces (東3省), but the times will not permit the application of 19th-century political operation methods.
In other words, just as the attitude Japan took towards its territories [likely referring to past actions like the annexation of Korea] and its realization cannot be successfully repeated today, the feasibility of that independence is extremely weak (박약하다).
Despite this, assuming Manchuria-Mongolia (滿蒙) becomes independent, what would become of the fate (운명) of the Koreans scattered throughout Manchuria-Mongolia (滿蒙)! The approximately 2 million Koreans? Would things get better than they are now?
Of course, one might see that the lives of Koreans, who were groaning while stuck in the middle, could improve somewhat economically compared to before, but since the cause for the realization of Manchu-Mongol independence would likely be established in the manner mentioned above? Eventually (필경), the feelings (감정) that Koreans and Chinese people have usually held towards each other will once again be reversed. Then, Koreans will be placed in an even more awkward situation than their previous state, caught in the Japan-China relationship. Therefore, not only concerning the political movements (정치운동) Koreans were active in there (彼地) in the past, but also in matters of livelihood (생활문제), I think incessant troubles (不絶한 풍파) will affect Korean life due to the intensification of animosity (감정격화) between Koreans and Chinese (朝中人). (All below omitted from original text) <26>
<24-26>

**Summary**

Kim Hyŏnggyu argues in late 1931 that the nascent Manchurian-Mongolian independence/autonomy movements lack the internal strength to succeed on their own. While acknowledging Japan's military presence creates an opportunity, he believes the international environment (League of Nations, watchful powers) prevents Japan from employing "19th-century" methods (implying direct annexation or easily controlled puppets) to ensure success. He is highly skeptical of the movement's viability. Furthermore, even if independence were achieved under these (implicitly Japanese-influenced) circumstances, he predicts it would worsen the situation for the 2 million Koreans in Manchuria. He foresees increased friction and animosity between Koreans and Chinese, making life more difficult than their current precarious position caught between Japan and China.

From the perspective of Korean colonial history, this article is interesting because it reveals a contemporary Korean intellectual's pessimistic assessment of the situation in Manchuria just after the Mukden Incident. It highlights the complex and vulnerable position of the large Korean minority caught amidst competing Chinese nationalism, Japanese expansionism, and nascent Manchurian separatism. The author's prediction of worsened Sino-Korean relations in a Japanese-influenced Manchukuo foreshadows the actual difficulties faced by Koreans there. Historians might find the author's skepticism about the independence movement's success (despite Japanese backing) and his focus on the negative consequences for Koreans particularly noteworthy, offering insight into Korean perceptions of Japanese imperialism and inter-ethnic relations in the region during this critical period.

**Named Entities**

滿蒙	만몽	Manmong (Manchuria-Mongolia)
역전될 것이다	역전될 것이다	Will be reversed
재래에	재래에	Conventionally, traditionally, in the past
끼워잇든	끼어있던	Was stuck/inserted in (older spelling of 끼어있던)
일층 더	일층 더	Even more, one layer more
거북한	거북한	Uncomfortable, awkward
처하여 질 것이다	처하여질 것이다	Will be placed in (a situation) (older spelling/grammar)
그럼으로	그러므로	Therefore (older spelling of 그러므로)
彼地	피지	That land/place (literary term, referring to Manchuria here)
활약하든	활약하던	Was active in (older spelling of 활약하던)
정치운동	정치 운동	Political movement
잇서서도	있어서도	Even in the case of (older spelling of 있어서도)
朝中人	조중인	Koreans and Chinese people (as a collective group)
감정격화	감정 격화	Intensification of feelings/animosity
인하야	인하여	Due to, because of (older form of 인하여)
不絶한	부절한	Incessant, unceasing, constant (Sino-Korean term)
풍파	풍파	Wind and waves; troubles, disturbances, difficulties
밋칠 것	미칠 것	Will reach, affect, influence (older spelling of 미칠 것)


---------------------------


잡지명	삼천리 제3권 제11호
발행일	1931년 11월 01일
기사제목	滿蒙獨立運動과 朝鮮人 利害, 滿蒙의 特殊性과 우리들
필자	金恒圭
기사형태	논설

滿蒙獨立運動과 朝鮮人 利害, 滿蒙의 特殊性과 우리들
						金恒圭
1
이 문제는 나의 견해로는 용이히 추단을 許할 문제가 아니라고 생각됨니다.
지금 극동 전국에는 비상히 긴장된 공기가 吾人의 신경을 극도로 들쑤시고 잇슴니다. 즉 一兩日來의 대세를 보면 문제는 국제영맹에까지 끄을고 가지엇슴니다.
제네바에 잇서서 日本 대표 芳澤씨와 中國 대표 施肇基씨와의 열화 가튼 數3次의 論戰과 거기 때라서 佛, 英, 米 등 열강의 호시탐탐한 광경 등 未幾日에 국제적의 미묘한 분주는 엇더한 動因을 지을 것 가치 생각됨니다.
더구나 시야를 외국에 돌니어 보면 어느 나라 할 것 업시 열국의 경제적 파탄과 歐洲에 잇서서의 정치적 갈등 등에 의하야 세계는 그야말로 제 2대전을 준비하고 잇다 아니함니까?

2
그러면 문제논 이에 긋치고 말 것인가?
안이다. 물론 금후의 趨向이 문제의 초점이 될 것은 만은 말을 할 필요좃차 업는 것이다.(중략-원문)
요지음 東3省! 張學良, 張作相이 업는 東3省 蒙古에서는 독립운동 또는 어떠한 형태로에 자치운동 등이 盛히 선전된다. 이에 대하야 若槻 首相은 절대불간섭을 언명하엿다.
이 等 운동에는 兩派가 잇다 한다. 일파는 宣統廢帝를 옹립하야 帝政 부활형태로의 독립운동 또 다른 일파는 현존한 각 성의 요인 등을 규합한 다른 형태의 운동 등이라 한다. 나는 금일의 정세를 가지고는 절대로 그 독립 내지 자치운동이 성공되지 못하리라고 밋는다.(중략-원문)
그럼으로 본 의제가 나로서는 추상까지라도 할 성질이 안이라고 생각한다.
웨? 간단히 말하자면 滿蒙 자체의 실력으로는 도저히 독립을 실현할 역량을 가지지 못한 것이 제 1因이고 日中 양국의 시시로 변하는 정세가 그만한 파생적 관계를 가지게 할 것 갓지 아니할 것이다.
얼든 생각하면 일본군이 東3省을 점령한 이틈에 모국의 묵인＜25＞ 내지 暗然한 원조로 幾分의 실현성이 잇슬 것 갓흐나 시대는 19세기의 정치운용 방식을 적용식이게 하지 안을 것이다.
다시 말하면 과거에 모국이 모국에 취한 태도와 그 실현이 오늘날에 재연 성공을 할 수 업는 것과 갓치 그 독립의 실현성은 극히 박약하다.
이럼에도 불구하고 滿蒙이 독립된다고 가정하고 其後에 滿蒙에 산재한 조선인! 약 2백만명의 조선인의 운명은 엇지 될 것인가고? 현재보다 나서질 것인가?
물론 틈에 끼워서 신음튼 朝鮮人의 생활이 다소간 경제적으로 전보다 나흘 수 잇겟다고는 볼 수 잇겟스나 滿蒙독립의 실현성 원인이 위에 말한 방식으로 성립될 것이니까? 필경 朝鮮人과 中國人의 평소에 가저오든 감정은 다시 한 번 역전될 것이다. 그러면 재래에 日中관계에 끼워잇든 朝鮮人의 상태보다 일층 더 거북한 형태에 처하여 질 것이다. 그럼으로 朝鮮人이 과거에 彼地에서 활약하든 정치운동은 물론이요 생활문제에 잇서서도 朝中人의 감정격화로 인하야 不絶한 풍파가 조선인 생활에 밋칠 것이라고 생각한다.(이하 전부 략-원문)＜26＞
＜24-26＞
