Magazine Title: 개벽 제24호
Publication Date: 1922년 06월 01일
Article Title: 舞蹈란 如何한 것인가? (What is Dance?)
Author: 金東漢
Article Type: 잡저 (Essay/Miscellaneous Writing)

What is Dance?
						Kim Tong-han (金東漢)

1. The Origin of Dance. Western dance began around the 19th century when Mr. Pulling (풀닁氏) of Rome first started it. From childhood, he had a great interest in music, and while practicing it, he naturally and unconsciously began to move his hands and feet (手舞足蹈). Setting up a large mirror (軆鏡, Looking glass), he gradually guided his own posture towards a state of skillfulness. People around the world gradually imitating and improving upon this is precisely the dance of today.
Therefore, the mother of dance can be said to be music. Dance is precisely expressing one's feelings through the hands, feet, or body according to a piece of music.

2. Korean Dance and Western Dance. I consider it questionable to directly translate 'dance' (舞蹈) into the Korean vernacular term 'ch'um' (춤). While it's not that Korean ch'um cannot be compared to Western dance, I think its level has not yet reached that point. Why? Because Korean ch'um, from ancient times to the present, has been esteemed in the entertainment world (花柳界), where performers respond to the requests of personages of higher status than themselves to receive remuneration. Gentlemen and ladies merely use this to derive pleasure, recognizing personally performing it as a kind of (*) base act. Thus, its value, without needing many words, can be inferred.

3. Types of Dance. Dance (딴쓰) can be broadly divided into two types: Stage Dance and Social Dance. Stage Dance is performed only on stage, and its movements and sequences are complex, requiring special skill, such that one might succeed only after two or three years. Social Dance does not demand such a long period; anyone can learn over 70 types, including the "One-step" (완스덧부), "Foxtrot" (폭스트르트), and "Waltz" (왈스), in about five or six months and be able to frequent dance gatherings in any country in the world. However, knowing only the dance steps is not enough; one will be welcomed only after being well-versed in the etiquette and manners of the dance hall. Currently, in the West, schools at the middle school level teach and encourage social dance as a complete subject, often holding dance parties for male and female students under particularly strict supervision. Social Dance is when gentlemen and ladies give pleasure to guests through dance at clubs (俱*部), concerts, hotels, banquets, or when entertaining guests at home.

Dance and Women's Rights. In the dance hall, women's rights are expanded. Men must absolutely respect etiquette towards women. If a man commits an impropriety or behaves improperly towards a woman, he will be expelled, so one maintains an absolutely careful demeanor here. Therefore, those of poor conduct are not permitted entry even if they possess dancing skills. From this, one can know the sacredness of social interaction between men and women in the dance hall. Therefore, it is acceptable to call the dance hall a "Model Venue for Male-Female Social Interaction," but thinking of it as a theater (演劇場) is an extreme misunderstanding.
Individuals interested in dance say there is nothing better, as it is effective for physical education (軆育上) and, as entertainment, suits the times.

To the men and women of Korea, who are in our transitional period (過渡時期)! To the New Women (新女子) who advocate for women's liberation and equal rights for men and women! Our encouragement of dance today cannot but be seen as one action responding to the demands of this era. (End) <67>

**Summary**

This 1922 article by Kim Tong-han introduces Western dance to a Korean audience. It posits a (likely inaccurate) origin story involving a "Mr. Pulling" in Rome linking dance to music. Kim contrasts Western dance, presented as a sophisticated social skill learned by respectable classes and involving etiquette and expanded rights for women, with traditional Korean dance ('ch'um'), which he dismisses as mere entertainment performed by lower-status individuals (kisaeng) for the pleasure of elites. He categorizes Western dance into stage and social forms, highlighting the relative ease of learning social dances like the Foxtrot and Waltz, and their integration into Western education and social life. The author concludes by urging Koreans, particularly "New Women," to embrace dance as beneficial for health, modern recreation, and as a necessary step in Korea's "transitional period" towards modernity and gender equality.

For historians, the article is interesting as it exemplifies the early 20th-century Korean intellectual engagement with Western culture, specifically social dance, framing it as 'modern' and desirable in contrast to 'backward' Korean traditions. It reflects the discourse surrounding the "New Woman" and aspirations for social reform, including gender relations, tying the adoption of Western practices like social dancing to national progress and enlightenment during the colonial era's "transitional period." The explicit comparison and valuation reveal contemporary attitudes towards tradition and modernity.

**Named Entities**

金東漢	김동한	Kim Tong-han
逐出	축출	Expulsion; kicking out
被함으로	피함으로	As one suffers/undergoes (passive construction with 被 + 하다)
身中	신중	Careful; prudent
不好	불호	Not good; bad (used for conduct)
入場	입장	Entry; admission
許可치 안나니	허가치 않나니	Does not permit (older negative ending)
推察	추찰	To infer; guess
男女交際	남녀교제	Social interaction between men and women
神聖	신성	Sacred; holy
命名	명명	To name; call
男女交際模範場	남녀교제모범장	Model Venue for Male-Female Social Interaction
演劇場	연극장	Theater (for plays/performances)
誤解	오해	Misunderstanding
軆育上	체육상	In terms of physical education (軆 is older form of 체)
有效	유효	Effective
娛樂	오락	Entertainment; recreation
時代	시대	Era; times
適合	적합	Suitable; fitting
過渡時期	과도시기	Transitional period
諸氏	제씨	Messrs.; everyone (addressing a group)
女子解放	여자해방	Women's liberation
男女同等權	남녀동등권	Equal rights for men and women
主唱	주창	To advocate; champion
新女子	신여자	New Woman
吾輩	오배	We; us (somewhat literary/older term)
要求	요구	Demand; request; need
應하는	응하는	Responding to; meeting (a demand/need)
一擧	일거	One action; one move
-e 

---------------------------


잡지명	개벽 제24호
발행일	1922년 06월 01일
기사제목	舞蹈란 如何한 것인가?
필자	金東漢
기사형태	잡저

舞蹈란 如何한 것인가?
						金東漢
1. 舞踏의 由來 西洋의 舞踏는 19世紀頃에 잇서 羅馬의 풀닁氏가 처음으로 始作하얏는대 氏는 幼少時로브터 音樂에 多大한 趣味를 가저 그를 練習하는 中에 自然히 手舞足蹈함을 不覺하야 動作하기를 始作하되 커다란 軆鏡을 비치(Looking glass)하고 自己가 自己의 態度를 漸漸 巧妙한 域으로 導化케 하엿나니 世界人이 此를 漸次 模倣 改良한 者가 即 今日의 舞蹈올시다.
그런즉 舞蹈의 母는 곳 音樂이라 할 수 잇슴니다. 樂曲에 依하야 自己의 感興을 手足이나 身軆로 發表한 것이 卽 舞蹈이올시다.
2. 朝鮮舞蹈와 西洋舞蹈 舞蹈를 朝鮮俗語로 춤이라 直譯함은 疑問으로 생각함니다. 朝鮮의 춤이 西洋舞蹈와 對位되지 안님은 아니나 程度가 아즉 거긔까지는 未及한 줄 생각함니다. 何故오 하면 朝鮮춤은 自古 及 今으로 花柳界에서 崇尙하야 演舞者가 自己보다 地位가 나흔 人士을 爲하야 그 請求에 應하야 報酬를 得하며 紳士淑女는 此를 利用하야 快感을 取할 뿐이요 自身이 親行과 知함은 일*의 卑劣한 事로 認하니 그것의 價値의 如何는 多言을 不要하고 可推할 것이올시다.
3. 舞蹈의 種類 딴쓰(무도)에는 2種으로 大分할 수 有하니 卽 舞臺舞蹈와 社交舞蹈가 是이외다. 舞臺舞蹈는 但 舞臺에서만 興行하는 것인데 그 動作과 順序가 複雜하야 特別한 技能이 有한 者라야 2, 3年의 時日에 可히 成功할지며 社交舞蹈는 長久한 歲月을 要求치 안이함으로 사람마다 5, 6朔間이면 「완스덧부」·폭스트르트」, 「왈스」 外에 70餘種을 學得하야 世界中 何國을 勿論하고 舞蹈會에 出入할 수가 잇대합니다. 그러나 딴스만으로는 充分타 할 수 업나니 舞蹈場裡의 禮儀作法에 正統한 後이라야 歡迎을 밧을 것이라 함니다. 現今 西洋서는 中學程度되는 學校에서 完定한 1科目으로 社交舞蹈를 敎授 獎勵함으로 特別히 嚴肅한 指揮下에서 男女學生 舞蹈會를 種種 開催하나이다. 社交舞蹈는 紳士淑女가 俱*部나 音樂會나 호텔이나 宴會에서나 家庭에서 待客할 時에 舞蹈로써 客에게 快感을 주나이다.
舞蹈와 女權 舞蹈場에서는 女權이 擴張되엇음니다. 男子는 女子에게 對하야 絶對로 禮儀를 尊重치 아니하면 不可합니다. 萬一 男子가 女子에 對하야 實例 或 品行이 不正한 時는 逐出을 被함으로 此에는 絶對 身中한 態度를 가짐니다. 然故로 品行이 不好한 者는 舞蹈의 技能이 有하여도 入場을 許可치 안나니 此를 推察하여도 舞蹈場 男女交際의 神聖함을 可知하겟슴니다. 故로 舞蹈場을 命名하야 男女交際模範場이라 함은 可하거니와 그러나 이로써 演劇場으로 생각함은 極히 誤解하는 일이올시다.
舞蹈에 趣味를 둔 人士는 軆育上에도 有效하고 娛樂으로도 時代에 適合하야 이와 가티 조흔 것은 업다고 말함니다.
우리 過渡時期에 잇는 朝鮮男女 諸氏여 女子解放 男女同等權을 主唱하시는 新女子 諸氏여 今日 吾輩가 舞蹈를 奬勵하는 것도 또한 이 時代의 要求에 應하는 一擧라 아니할 수 업슴니다. (完)＜67＞
