Magazine Title: 동광 제34호
Publication Date: 1932년 06월 02일
Article Title: 島山 安昌浩 上海에서 被促 (Tosan An Ch'angho Arrested in Shanghai)
Author: N/A
Article Type: 소식 (News Report/Dispatch)

**Body Text Translation**

Tosan An Ch'angho Arrested in Shanghai

An Ch'angho, pen name Tosan, was born in P'yŏngyang, but due to county boundary revisions, is now [registered in] Kangsŏ County (江西郡), Tongjin-myŏn (東津面), Koil-ri (古逸里). Born in the year Muin (?) [1878]. During the time of the Independence Club (독립협회), as a youth of 17-18 years, he became famous for political speeches in places like P'yŏngyang and Kyŏngsŏng (京城). When the Independence Club was dissolved, he took his wife, Mrs. Yi (李氏), and went to America (渡米).

In America, together with Yi Kang (李剛), Ch'oe Chŏngik (崔正益), Im Ch'ijŏng (林蚩正) (deceased), and others, he organized the Mutual Assistance Association (共立協會) and published the Kongnip Sinbo (共立新報). Subsequently, it was renamed the Korean National Association (國民會), published the Sinhan Minbo (新韓民報), and established branches in various places including America (美), Mexico (墨), Hawaii (布哇), and Siberia (西伯利亞).

When the Eulsa Protectorate Treaty (乙巳新條約) was concluded [1905], he returned to Korea (歸國) and, together with Chŏn Tŏkki (田德基), Yi Tongnyŏng (李東寧), Yi Tonghwi (李東輝), Yi Sŭnghun (李昇薰), Kim Ku (金龜, now 金九), An T'aeguk (安泰國), and others, organized the political secret society Sinminhoe (新民會) and also organized the student training group Ch'ŏngnyŏn Haguhoe (靑年學友會 - Young Students' Fellowship Association). Yun Ch'iho (尹致昊) was the founding chairman, and Ch'oe Kwangok (崔光玉), Ch'oe Namsŏn (崔南善), etc., were key executives.

Meanwhile, he established Taesŏng School (大成學校) in P'yŏngyang, had Yi Sŭnghun establish a porcelain company (磁器會社) in Masan-dong as its representative, and had An T'aeguk establish T'aegŭk Sŏgwan (太極書舘 - T'aegŭk Bookstore) in Kyŏngsŏng and P'yŏngyang as its representative. This was one aspect expressing his four major principles (4大綱領): politics, education, industry, and youth training.

In the Kyŏngsul year [1910], he escaped Chosŏn (朝鮮) again, went to America, became president of the Korean National Association (國民會長), and then came to Shanghai (上海) in the Kimi year [1919], where he has remained until now. He visited America once years ago (年前).

He is tall and slender, currently emaciated (瘦瘠), has had all his teeth (齒牙) removed, has heart disease, and also a cough (咳嗽). His voice (音聲) is clear and strong; his complexion (안색) was fair when young, but is now dark, and his eyes are bright. 6 AM wake-up (起床), 12 PM bedtime (취침); visiting and receiving visitors constituted most of his recent daily routine (日課). Recently, he organized a consumer cooperative (소비조합) among the Korean residents (在留民) in Shanghai.

Currently, he is detained at the Japanese Consulate (日本領事舘) in Shanghai.

The photo shows An Ch'angho and his second daughter (when he last went to America in 1925).

**Summary**

This 1932 news report announces the arrest of the prominent Korean independence activist An Ch'angho (pen name Tosan) in Shanghai by Japanese authorities. It provides a biographical sketch, outlining his origins, early involvement with the Independence Club, emigration to the US, founding of the Kongnip Hyŏphoe and Korean National Association, return to Korea to establish the Sinminhoe, Taesŏng School, and other ventures embodying his principles of political, educational, industrial, and youth development. It notes his return to Shanghai in 1919, recent activities like organizing a consumer cooperative, his declining health (emaciation, tooth loss, heart condition, cough), but enduring spirit (clear voice, bright eyes), and daily routine. The article concludes by stating his current detention at the Japanese Consulate. For historians, this article is valuable as a contemporary account of An Ch'angho's arrest shortly after the Hongkew Park bombing incident (though not explicitly mentioned, the timing is significant). It provides details about his life, organizations, health, and recent activities from a 1932 perspective, reflecting how he was perceived and reported on during the colonial period just before his final imprisonment. The mention of specific collaborators and organizations offers points for further research.

**Named Entities**

安昌浩	안창호	An Ch'angho
現今	현금	Currently, now
체포되어 잇다	체포되어 있다	Is arrested/detained (older spelling/form of 체포되어 있다)
둘재따님	둘째 따님	Second daughter (older spelling/form of 둘째 따님)
갓을 때	갔을 때	When (one) went (older spelling/form of 갔을 때)


---------------------------


잡지명	동광 제34호
발행일	1932년 06월 02일
기사제목	島山 安昌浩 上海에서 被促
기사형태	소식

島山 安昌浩 上海에서 被促
安昌浩, 號는 島山, 平壤출생이나 지금은 郡界改定으로 江西郡東 津面 古逸里. 戊寅生(?) 독립협회 때에 178의 소년으로 平壤 京城 等地에서 정치연설로 이름나다. 독립협회 解散대매 그 婦人 李氏를 다리고 渡米. 米國에서 李剛, 崔正益, 林蚩正, (作故) 등으로 더부러 共立協會를 조직하고 共立新報를 발행 因하야 國民會로 改稱하고 新韓民報를 발행, 美, 墨, 布哇, 西伯利亞 各地에 支會를 두다. 乙巳新條約이 체결되매 歸國하야 田德基, 李東寧, 李東輝, 李昇薰, 金龜(지금은 金九), 安泰國 등과 함께 정치적 비밀결사 新民會를 조직하고 또 학생수양단체인 靑年學友會를 조직하다. 尹致昊가 창립위원장, 崔光玉, 崔南善 등이 주요간부. 一邊 平壤에 大成學校를 세우고 李昇薰을 대표자로 하야 馬山洞에 磁器會社를 세우게 하고 安泰國을 대표로 하야 京城과 平壤에 太極書舘을 세우게 하니 이는 그의 정치, 교육, 산업, 청년훈련의 4大綱領의 표현의 一端이엇다. 庚戌年에 다시 朝鮮을 탈출하야 渡米하야 國民會長이 되엇다가 己米년에 上海에 와서 지금에 이르럿다. 年前에 一次 米國에 다녀왓다. 키는 후리후리하고 지금은 瘦瘠하고 齒牙 전부를 빼엇고 심장병이 잇고 咳嗽도 잇다. 音聲은 명랑하고 힘잇고 안색은 젊어서는 희엇으나, 지금은 검고 눈이 빛이 잇다. 오전6시, 起床, 오후12 취침, 방문하고 방문받는 것이 그의 近來의 日課의 대부분엿다. 최근은 上海 在留民중에 소비조합을 조직하엿다. 現今은 上海 日本領事舘에 체포되어 잇다.
사진은 安昌浩와 그의 둘재따님(1925년 최후로 米國갓을 때)
