잡지명	삼천리 제6권 제11호
발행일	1934년 11월 01일
기사제목	戀愛小史 (Yeonae Soshi - A Short History of Love)
기사형태	잡저 (Chapjŏ - Miscellaneous writing; essay)

戀愛小史
便紙三百張去來
It is said that the number of love letters exchanged between Ch'unwŏn and Miss Hŏ Yŏngsuk (since she was a 'Miss' back then) reached 300. According to Ch'unwŏn, Miss Yŏngsuk, an outside woman, wrote to him first. According to Miss Yŏngsuk, Ch'unwŏn first sent a letter initiating romance to her, a well-bred maiden, so she replied. Whether "the bell rings or the bell hammer rings" (鍾か嗚るか橦子が嗚るか) is ultimately impossible to know, but anyway, it's said there are many masterpieces of writing within those love letters, and the two decided to reveal them when they both have white hair in their 70s or 80s and are called grandfather and grandmother. <110>

柳東悅따라 劉永淑 北京行
At that time, Major Yu Tongyŏl, after graduating from the Military Academy in Tokyo and also serving in the Russo-Japanese War, returned and worked as a young adjutant under the Minister of War. Whenever he had time, full of spirit, he would ride his white horse with a golden saddle around the main streets of Changan (Seoul) as if they were too narrow. The modern women of the time burned with passion for the imposing presence of this young officer. Among them, the most ardent was Miss Yu Yŏngsuk, who had returned from studying in Tokyo. When Mr. Yu later went into exile in Beijing, she followed him without question and became his wife. <112>

李甲따라 劉孃 出發
Yu Yŏngsuk, who carried her bundles and followed Yu Tongyŏl all the way to Beijing to become his wife, has a younger sister, Miss Yu XX. This Miss Yu, in turn, ran off to Beijing following Yi Kap, who was then a young officer and adjutant to the Minister of War. However, in this "love affair involving travel" (出張戀愛), the older sister succeeded and became Yu Tongyŏl's wife, while the younger sister failed and came back. <114>

玄鼎健따라 桂玉
Around the time of the March First Movement (己未), there was a famous gisaeng in Changan named Hyŏn Kyeok, skilled at the kŏmun'go and dancing. Said to be the uterine sister of female activist Chŏng X-sŏng, many suitors flocked, captivated by her butterfly-like face. At that time, after coaxing 2,000 Won from the son of a certain wealthy aristocrat, she ran off to Beijing with her beloved lover Hyŏn Chŏnggŏn, who was then a fighter for the movement. After Hyŏn was caught, imprisoned, and later died of illness, she is said to have dashed off to Moscow and is now active as a female X member (女X員) in some organization (某機關). <116>

東京 三美人 行方
Female novelist Miss Kim Myŏngsun, Miss Kang Sukryŏl of Mejiro University, and Miss Hwang Kwikyŏng of Ochanomizu Women's Higher Normal School were called the "Three Beauties" in the Tokyo international student community back in their day. As for their fates, Miss Hwang Kwikyŏng became the wife of Mr. Chŏng Haknyŏn, a tennis player who attended the Commerce College (商大); Miss Kang Sukryŏl became the wife of the critic Kim P'albong; and Miss Kim Myŏngsun, after a "love pilgrimage" involving Kim Ch'anyŏng, Im Nowŏl, and others, still remains in Tokyo. <118>
<110-118>

**Summary**

This article compiles short anecdotes about the love lives and relationships of several prominent Korean figures from the early 20th century. It recounts the prolific letter exchange between writer Ch'unwŏn (Yi Kwangsu) and Hŏ Yŏngsuk; the elopements of Yu Yŏngsuk with military officer Yu Tongyŏl and her sister with Yi Kap to Beijing (one successful, one not); the story of famous gisaeng Hyŏn Kyeok running away to Beijing with independence activist Hyŏn Chŏnggŏn and later moving to Moscow; and the romantic paths of three women known as the "Three Beauties" among Korean students in Tokyo. The article offers glimpses into the personal lives and romantic choices of intellectuals, artists, activists, and military men during the Japanese colonial period. Historians might find it interesting for its portrayal of changing social norms around courtship and marriage, the mobility and interconnectedness of Korean elites and activists across East Asia (Tokyo, Beijing, Moscow), and the intersection of personal relationships with political exile and activism.

**Named Entities**

春園	춘원	Ch'unwŏn
戀愛巡禮	연애순례	Love pilgrimage (serial relationships)
나머잇다	남아있다	Remaining (older spelling)


---------------------------


잡지명	삼천리 제6권 제11호
발행일	1934년 11월 01일
기사제목	戀愛小史
기사형태	잡저

戀愛小史
便紙三百張去來
春園과 許英肅孃(孃인녜전이 잇섯스니까)사이에 往來한 러부레터의 數가 三百張이나 된다는데 春園말 드러서는 英肅氏가 外間 男子인 自己에게 몬저 便紙하엿다하고 英肅氏말엔 春園이 몬저 閨秀處女인 自己에게 戀愛를 거는 편지주니까 答狀하엿다고 하는데 「鍾か嗚るか橦子が嗚るか」는 원악 알길업는 일이나 아무튼 그 러부레터속엔 名文章이 만타는데 두분이 다 7,80의 白髮이 되야 祖父祖母 소리 드를 때에 내어 노키로 하엿다든가.＜110＞

柳東悅따라 劉永淑 北京行
한참 當年 參領 柳東悅, 東京가서 士官學校 마치고 또 日露從軍도 마치고 도라와서 軍部大臣아래 靑年副官으로 執務하면서 틈잇는대로 金鞍白馬에 豪氣조케 長安大路 좁을세라 도라다녓다. 이 늠늠한 청년사관의 風釆에 당시 모던 여성들은 가슴을 태엇다 그 中에 가장 熱烈하엿든 이가 그때 東京留學하고 도라온 劉英淑 孃이라 后年 柳氏 北京에 亡命하자 덥허노코 따라가서 妻가 되엇다.＜112＞

李甲따라 劉孃 出發
보찜 질머메고 北京까지 따라가서 柳東悅妻가 된 劉永淑孃 XX에 劉XX孃이 잇다. 孃은 또 그때 靑年士官이자 軍部大臣副官이든 李甲을 따라 北京으로 내다랏다. 그러나 이 「出張戀愛」에 兄은 成功하여 柳東悅妻 되고 동생은 失敗하여 되도라 왓다.＜114＞

玄鼎健따라 桂玉
己未때 長安안에 거문고 잘하고 춤 잘추는 玄桂玉이란 名妓가 잇섯다. 丁X星 女史의 同모라 나비가튼 그의 얼골에 醉하여 달녀드는 花郞이 만헛다. 그때 某 富豪貴族의 아들을 달내어 2천圓돈을 어더 쥔 뒤 정든 愛人이자 그때 運動의 鬪士이든 玄鼎健과 함께 北京으로 달엿다. 玄이 잡혀 징역하고 나종 病死한 뒤 그는 지금 모스크바에 달려 女X員으로 某機關서 活躍하는 中이란다.＜116＞

東京 三美人 行方
女流小說家  金明渟孃과 目白大學의  姜淑烈孃과 御茶の水高師의 黃貴卿의 三孃을 한참 當年에 東京留學生界에서 三美人이라 하엿다. 그러든 이들이 黃貴卿孃은 商大 다니든 테니스選手 鄭鶴年氏 夫人되고 姜淑烈孃은 評論家 金八峯의 夫人이 되고 金明渟孃은 金瓚永
林盧月等으로 戀愛巡禮를 하다가 아직 東京에 나머잇다.＜118＞
＜110-118＞
