Magazine Title	개벽 제72호
Publication Date	1926년 08월 01일
Article Title	六年만에 본 나의 故國, 東京 金墨君에게 (My Homeland Seen After Six Years, To Kim Muk in Tokyo)
Author	金振九
Article Type	세태비평 (Critique of the Times)

My Homeland Seen After Six Years, To Kim Muk in Tokyo
						Kim Chin-gu
Hey Kim!
I've occasionally heard news of you through Kim Hak-wŏn's letters, but I didn't know your and Yi In-hwang's lodging and was curious. Then this morning, I suddenly received a kind postcard (一葉惠書), and the abundant warmth filling the page is incomparably delightful! By the way, I roughly knew about the turbulent events that occurred in the meantime, and I had already heard that you and Wŏn were taken away on the day of Pak Yŏl's public trial. And the Hŭguhoe moved to Chapsagok (Zōshigaya), right? Kim Ch'ŏl-ho, who was here with me, already left for Tokyo, Japan, three weeks ago.

Hey Kim!
The phrase "Returning home in silken robes" (錦衣還鄕) seems to signify the most glorious and successful thing in an era of官尊民卑 (official reverence, civilian debasement). However, although I have returned to the hometown mountains and streams I always yearned for, now for the first time in the six years since I left my homeland, I feel no delight or glory whatsoever. This seems to be because I went and came back empty-handed (虛往虛來) without any success. When I meet the village elders (鄕黨父老) and dear old friends (故友), rather than feeling happy, a sense of shame (憫愧) comes first. Hey Kim!
As the proverb goes, "The one who shat gets angry first," and although I brought nothing back, my feeling of shame (憫愧) is brief. When I see the environment of our society and the behavior of our elders and brothers (父老兄弟), having returned after a long time, and look back again at our past 500 years of history, anger (울화) instantly flares up, and I can't stand the burst of rage.

Hey Kim!
In Japan, I always criticized Kyŏngsŏng, the city where you grew up. It wasn't out of any regional sentiment, but I harshly condemned (痛罵) the people of Kyŏngsŏng, saying that city life continues by exploiting the blood and sweat of people from the provinces, while city dwellers are rich in cunning (奸智) and skilled in fraud (詐欺), always viewing provincial people<72> as objects of ridicule (愚弄物) or captives (捕虜) from a sort of superior, arrogant attitude (高慢的 態度), thereby perpetrating cunning exploitation and brutal aggression (暴戾한 침략). This isn't limited just to Kyŏngsŏng but is a fact inevitably seen in cities in any country. On this point, you also agreed.

Hey Kim!
Now, let me introduce our countryside, Ch'ungch'ŏng-do, which is even more yangban-like and genteel than your hometown, Kyŏngsŏng. Please listen! This is what deeply impressed me upon returning home this time. I offer this in place of a report on my impressions of returning home.

Hey Kim!
Let's recall the hardships we endured at Kyerimjang. Even when we couldn't properly eat even one meal of flour dough soup (sujebi) a day, we played, free and lively to a certain extent, didn't we? Didn't we play unrestrainedly and boisterously (放恣豪蕩), as if swallowing mountains and rivers and smashing the universe, spewing forth immense spirit with boastful talk (豪語壯談)?

Hey Kim!
To me, who used to bustle about and make noise like this, suddenly orders like "Don't bustle about, be dignified, become mute, mind your appearance" pour down like a hail of arrows. Like a snake hit on the head, I can't collect my thoughts, and anger (울화) begins to surge in my chest, until finally, nothing but malice and fury (毒殺惡殺) remains.
So, like striking with an iron pole (쇠경장대 내즛듯이), I defend myself here with whatever curses come to mind and absurd talk (悖談*). While they scornfully called Puyŏ, Piryŏ, Okchŏ, Suksin, and Yemaek "barbarians" (오랑캐), I praised (稱揚) them as our chivalrous, magnificent, valiant, and heroic ancestors. I tried completely denying the Legend of Kija Coming East (箕子東來說), which they most revere (崇敬) and have believed in as our true ancestor. They just stare blankly with wide eyes and gaping mouths, watching my lips. I continued firing bullets. I cited concrete examples (*) like the Paekse Ch'ŏngp'ungbi (Monument to Eternal Integrity 百世淸風碑) on Suyangsan mountain in Haeju and Waryonggang (臥龍崗) in Namyang. I brought up the Mandongmyo (萬東廟) shrine in Hwayangdong again. I dissected their psychology of enshrining the two emperors from the end of the Ming dynasty (明末) as a tool for their own self-serving protection and attempting to propagate Sadae ideology (事大思想). No. I bitterly criticized (痛罵) them, saying if the "red-chins" (홍턱이 - derogatory term for Japanese) held political power for several thousand years, they would borrow the power of politics to obliterate (湮滅) history and actual achievements and create a second Tomb of Kija (箕子陵). Receiving this unexpected attack from me, they couldn't say anything, as if struck by a bolt from the blue (晴天에 霹靂).
I recklessly said of the Sadae masters (事大先生) they most revere, "Those bastards committed the sins, and we receive the punishment."<73> When I referred to our Taejo (founder of Joseon) as Yi Sŏng-gye to them, they were startled. They looked utterly dumbfounded. Their surprise was more interesting (滋味) to me than anything, so I tried calling him Wŏnhyang (吾父名 - my father's name) again. At that, they immediately slapped a price tag on me as a "madman" (狂人). I spoke, citing the example of the processional caterpillar (行列蟲), about the advantages of being a madman, that is, a derailer (脫線者)... ...

Hey Kim!
I declare to the people of the world: If you want to study the living history of the 500 years of the Yi Dynasty, rather than nitpicking over phrases (尋章摘句) at a desk, take a tour of our countryside, Ch'ungch'ŏng-do... ...
Returning to my village, I greeted a village elder (村老) warmly. The village elder said, "Ah— yes, you were in the Mainland (內地 - i.e., Japan), when did you come back?" I lost the courage to reply to those words. It's not just the village elders; in our countryside, government officials (官公吏), of course, but even ordinary townspeople (市井人) routinely use "Mainland" (內地) as a synonym for Japan. When they gather, conversation blossoms with praise for the resident policeman. "What about Officer So-and-so?" "So-and-so speaks Korean well." "Officer So-and-so is good at catching gamblers." "He came to my house first and greeted me politely before leaving," and so on. My ears ache, and I can't listen anymore. It seems they think associating with policemen is the highest honor and path to power (權道). In any case, the propaganda for the so-called Cultural Rule (標榜文化政治) was thorough and harvested good results.
Several years ago, I experienced something like this in Pusan. Seeing the train heading south from Kyŏngsŏng to Pusan referred to as "upbound" (上り - nobori), I asked a Pusan gentleman, "Why is that?" He gave me a sharp rebuke, "Goodness, a Japanese newspaper reporter and you still don't know that? Isn't it obvious... It's because it's the train going to Tokyo!" That gentleman's tone was sarcastic (諷刺) towards me. I was left speechless (無言無答).
People in the Kyŏngsang-do region straightforwardly call Japanese people "those fellows/bastards" (애놈 - yaenom/yatsudomo 奴놈). The Japanese in that region hear this casually. However, in the "Mainland" (內地) environment of Ch'ungch'ŏng-do, if someone were to say "those fellows" (애놈), they would immediately face trouble (逢變); it becomes material for a report by the higher criminal affairs detective titled "Subversive Speech and Actions of a Malcontent Korean" (不逞鮮人の不穩言動). I know this particularly well because I have experience... ...
I attribute the entirety of this sin too to the "red-chins" (홍탁이). I say it's because of the Sadae ideology (事大思想) they have instilled through education. The old idea of "entering the Great Country" (大國 들어간다) has today become "entering the Mainland" (內地 들어간다).

Hey Kim!
Let's stop attacking the "red-chins" for now. The fever for official posts (仕宦熱), rotten for 500 years, is probably also most severe in Ch'ungch'ŏng-do. <74> For anything that involves putting a hat on one's head, like being a member of the elementary school affairs committee (普通學校 學務委員) or a Hyanggyo staff member (鄕校職員), they rush in headfirst, scrambling over each other, to the point where the County Magistrate (郡守) and Township Head (面長) are said to be losing their minds. Consequently, there must be powerful local figures (豪强) too, right? During the reign of King Ch'ŏlchong (哲宗) at the end of the Joseon Dynasty (鮮末), they say the house of the Changdong Kim clan produced "dog officials" (개山林 - worthless officials); in our countryside, they say "dog staff members" (개職員) have appeared. It's said that malicious gossipers in the world bestowed such splendid titles (職啣) on those esteemed gentlemen because they supposedly got their positions by butchering a dog and giving it as a bribe. How many bastards were there who, during the national mourning in the year Kiminyŏn (己未年 - 1919), sold off good fertile land to foreigners and got heated up in the campaign for Ch'ambong (叅奉 - a minor official post)?
Our hometown, Koesan, originally has many yangban and wealthy families, making it a prominent yangban village (班鄕) even within Ch'ungch'ŏng-do. Conversely, I am from Ch'ŏngan, a district of Koesan with the fewest yangban in Ch'ungch'ŏng-do, so of course, I'm a commoner (상놈), but anyway, it's true there are many yangban. However, these tremendous yangban are recently engaging in all sorts of campaigns to become even greater yangban. I was once subjected to a kind of sarcasm (諷刺) from O T'aek of Pusan Hŏmguja, who said, "In your town, even the Township Head (面長) can't be chosen from his own township but is always brought in from another township." Indeed, the campaigning for Township Head (面長) is so fierce – with secret maneuvering (暗中飛躍), secret bribery (賄賂暗行), etc., as if "Truly, it is the autumn for heroes to establish merit" (正是英雄立功秋) – that dark clouds hang low, schemes crisscross, changes of Township Heads are an everyday occurrence (恒茶飯), and even the dismissal (馘首) of County Magistrates often results from the exposure of scandals. This past spring, when I returned home, it was right in the middle of the drama of a major Township Head reshuffle (面長大更迭).

Hey Kim!
Well, the status of a Joseon Township Head (面長) has risen considerably now... ... Consider a man who is related to the inner circle of Emperor Emeritus Kojong (高宗 太皇帝), whose family status (門戶) was illustrious as a Ch'amnyŏng (參領) and County Magistrate (郡守) during the old Korean Empire period (舊韓時代), who owns grand (宏傑) mansions in both the capital and the countryside, and who, perhaps feeling that what his father and elder brother had extorted was still insufficient (猶恐不足), engaged in usury (高利貸金) for decades, earning the elegant alias (雅號) "Payment" (支拂 - Chipul, likely a sarcastic nickname referring to demands for payment) from the populace – just seeing this, one can already tell he is a master of the 'butter' (빠다 - flattery/bribery) business. This kind of yangban, perhaps feeling an overwhelming desire for political power (勢道) lately, campaigned so fiercely both overtly and covertly (陰으로 陽으로) that, as they say, "utmost sincerity moves heaven" (至誠感天), and he finally obtained the honorable post (榮職) of Township Head (面長). This kind of comical play (滑稽劇) would be hard to see anywhere outside Ch'ungch'ŏng-do. This is a specialty product of our countryside.
Besides this, the fact that only the bones of the mountains remain and the sand-carrying efficiency (運砂能率 - i.e., erosion rate) of the rivers are probably also number one in our countryside. Introducing such specialty products one by one would be endless, so I'll stop. The exploitative methods of the Monopoly Bureau (專賣局) were roughly written about in a previous letter, so I'll omit that here.
For now, just with this, my malice (毒殺) and pent-up anger (鬱火) seem slightly eased, so I'll lay down my pen here. <75>
<72-75>

**Summary**

Writing to his friend Kim Muk in Tokyo, Kim Chin-gu expresses his profound disillusionment upon returning to his hometown in Ch'ungch'ŏng Province, Korea, after a six-year absence in 1926. Instead of the joy of homecoming, he feels shame and then intense anger at the social conditions he observes. He criticizes the servility towards Japanese authorities, the persistence of outdated Sadae ideology (now directed towards Japan instead of China), the intense competition and corruption surrounding even minor official posts like Township Head, and the general lack of spirit compared to the impoverished but free intellectual life he experienced among Koreans in Tokyo. The article paints a stark picture of rural Korean society under Japanese rule, highlighting internalized subservience, social decay masked by traditional yangban pretensions, and the author's biting critique of his compatriots' behavior. Historians might find the article valuable for its firsthand account of rural social dynamics, the psychological impact of colonialism (internalization of terms like 'Naichi'/'Mainland'), the critique of the 'Cultural Rule' policy's effects, the specific examples of local power struggles and corruption, and the raw expression of frustration from a Korean intellectual of the period.

**Named Entities**

金墨	김묵	Kim Muk
나는 향촌에 돌아와서 村老에게 반갑게 인사햇다. 村老는 『아- 그래 자네 內地에 들어가 잇다더니 언제 왓나?』 나는 그 말에 다시 대답할 용기가 업섯다. 村老 뿐 안이라 우리 시골서는 官公吏야 물론이지만은 보통 市井人도 의례히 內地를 일본의 대명사로 쓴다. 그네들은 모혀 안즈면 주재소 순사의 칭송담에 꼿이 핀다. 『무슨 部長은 엇덧타. 누구는 조선말을 잘한다』 『아무 순사는 도박을 잘 잡는다』 『우리 집에 제일 먼저 차저와서 공손히 인사를 하고 가더라』는 등 귀가 압하서 못듯겟다. 그네는 순사 교제가 無上의 영광이오 權道인 줄 아는 모양이다. 하여간 標榜文化政治가 선전에는 철저하엿고 好結果를 收獲하엿다.
나는 수년 전에 釜山에서 이런 일을 당햇다. 京城서 釜山으로 南行하는 기차를 『上り』라고 하는 것을 보고서 『엇재 그러냐』고 釜山人士더러 물으닛가 『하이고 일본 신문기자가 그것도 이적지 몰럿나? 아이가 아이가...東京가는 車잉게 그럿치이』 하는 핀잔을 시퍼럿케 먹엇다. 그 분은 나를 諷刺하는 口調이엿다. 나는 그만 無言無答이엇다.
慶尙道 지방 사람들은 ¼본인을 순순히 『애놈』이라고 한다. 그 지방에 잇는 일본인은 이것을 예사로 듯는다. 그럿치만은 忠淸道 內地틈에서 누가 『애놈』이라고 햇다가는 당장에 逢變이오. 고등형사의 『不逞鮮人の不穩言動』라는 보고재료가 된다. 이것은 내가 특별히 잘 안다. 경험이 잇스닛가... ...
이런 것도 나는 죄의 전체를 『홍탁이』에게 돌녀 보낸다. 그네의 교육식혀온 事大思想으로 원인한 까닭이라고 한다. 녯날 『大國 들어간다』의 사상은 오날 와서 『內地 들어간다』가 되는 것이다.
여게 金군!
『홍탁이 공격은 그만 하기로 하고 500년 來 썩어진 仕宦熱도 아마 忠淸道가 제일 심할 것이다. 普通學校 學務委員 ＜74＞ 鄕校職員 가튼 머리에 감투 씨는 것은 무엇이던지 대가리를 싸 동이고 달려드는데 郡守와 面長은 정신을 일흘 지경이라 한다. 딸하서 豪强도 잇겟지? 鮮末 哲宗 때에 壯洞 金씨 집에는 『개山林』이 낫섯다더니 우리 시골에는 개職員이 낫다 한다. 개 한 마리 잡어다 주고 어이 햇다고 그런 훌늉한 나리를 세상 惡口輩들이 이런 職啣을 나렷다 한다. 己未年 國喪 때에 조흔 沃土를 외국놈에게 다 팔어다가 叅奉運動에 열이 낫던 놈은 몃 놈이나 되든가?
우리 시골인 槐山은 본래 양반 만코 부호가 만하서 忠淸道 중에도 屈指하는 班鄕이다. 나는 그와 반대로 忠淸道 중에서 제일 양반 적은 槐山의 一部落인 淸安 사람이닛가 물론 상놈이지만은 하여간 양반이 만흔 것은 사실이다. 그런데 이 굉장한 양반들이 요새는 일층 더 큰 양반이 되려고 별별 운동이 성행한다. 나는 일즉이 釜山險口子 吳澤군에게 『너의 고을에는 面長도 제 面에서 못 나고 똑 他面에 가서 가저오는 데라더라.』하는 일종 諷刺를 바닷다. 과연 面長運動이 엇지나 맹렬한지 暗中飛躍, 賄賂暗行 등 『正是英雄立功秋』라는 듯이 陰雲이 迷鎖하고 모략이 종횡하는데 面長의 변경은 恒茶飯이오 郡守의 馘首도 왕왕이 추행 폭로에서 원인한다 한다. 今 春 나는 귀향 당시가 마츰 面長大更迭의 연극 중이엿섯다.
여게 金군!
인저는 朝鮮面長의 지체도 훨신 올러갓데그려... ...高宗 太皇帝 堂內間이오 舊韓時代의 叅領으로 郡守로 門戶가 赫赫하고 京鄕 간에 宏傑한 저택을 가지고 父兄의 착취해 둔 것으로는 猶恐不足을 늣겻든지 수십 년 고리대금에 『支拂이라』는 민중으로서의 雅號를 어든 것만 보아도 그의 『빠다』業의 名人인 것은 미히 알 것이다. 이런 양반이 요새는 勢道 생각이 밋칠 듯이 나던지 陰으로 陽으로 엇더케 운동을 맹렬히 試演햇던지 『至誠感天』이라고 필경은 面長이라는 榮職을 엇게 되엿단다. 이런 것은 忠淸道 안이고는 도저히 보기 어려운 滑稽劇일 것이다. 이것이 우리 시골의 특산물이다.
이 외에 산악의 뼈만 남은 것과 河川의 運砂能率도 아마 우리 시골이 第一指를 꼽을 것이다. 이런 특산물을 일일히 소개하려면 제한이 업슬 터이니 그만두고 專賣局의 착취방법은 前書에 대강 썻스니 이것은 생략한다.
爲先 이것만으로도 나의 毒殺과 鬱火는 조곰 나흔 듯 이만 筆을 擱한다. ＜75＞
＜72-75＞
