Magazine Title: 개벽 제67호
Publication Date: 1926년 03월 01일
Article Title: 隨聞隨見 (Things Heard and Seen)
Article Type: 회고·수기 (Memoir/Recollection)

Things Heard and Seen
The Stingy Psychology of the Japanese

This is something I briefly witnessed a few days ago in front of the ticket gate at Kyŏngsŏng Station. It might seem like a small matter, but thinking about it again, it cannot be seen as so small; it might seem trivial, but nothing could be stingier than this.
So, what was it? Well, look here.
As everyone knows, the train fare from Kyŏngsŏng Station to Yongsan Station is 5 chŏn. A platform ticket is 10 chŏn. Therefore, those so-called economic experts who have experienced this several times, when seeing off southbound guests, customarily don't buy the 10-chŏn platform ticket but instead buy the 5-chŏn Yongsan ticket (excluding limited express trains). Saving 5 chŏn and seeing off a friend a bit further, this is the so-called killing two birds with one stone. Be that as it may,
On this day, I was seeing off a friend heading to Tōkyō, and likewise, I didn't buy a platform ticket but bought a Yongsan ticket. Other friends did the same. The talk about not buying platform tickets but Yongsan tickets to save 5 chŏn and see friends off further spread outside the ticket gate like a grand discovery of some profit, making quite a clamor. This talk immediately provoked those buying platform tickets. Two or three unfamiliar friends stood outside the platform ticket gate holding three or four platform tickets and lamented [탄식] thus:
"Ah, what should we do in this situation? We've needlessly lost 5 chŏn each. We should have bought Yongsan tickets too. What is this? Losing 20 chŏn..." Then, one friend, as if having discovered a great plan, snatched the platform tickets and said, "Hey, there's a way. It's settled, it's settled. Let's sell them again. Let's sell them again and buy Yongsan tickets. Let's stand right here, explain the situation to people wanting to buy platform tickets, and resell them. That'll work." As their opinions aligned, they said, "Let's do it," and the two stood waiting for someone to buy platform tickets. As luck would have it, no Chosŏnin came, only Ilbonin. They seemed to speak Japanese quite well. A young Japanese woman approached the ticket gate. "Alright! We got one!" they thought, stepping right in front of the woman, "[Japanese, 3 lines]" they pleaded [청(請)을 하것다], asking her to buy theirs since it was the same price. The woman stared intently at them, then without a word, said "[Japanese, 7 characters]" and bought a ticket from the ticket window before coming out. Having been rebuffed the first time, they clicked their tongues, muttering, "Damn woman, what's wrong with buying that since it's the same price," and waited for another person. Alright. Another Japanese man came. Determined not to miss this one, they hurried towards him, "[Japanese, 2 lines]" they pleaded [청(請)을 하다]. He didn't even look, also bought a ticket from the window, glanced back at them, muttered "[Japanese, 7 characters]..." cursed, and left. They stood there blankly, clicking their tongues like a dog that had chased a chicken. Yet, perhaps having some courage left, they stood their ground, scanning [검시(檢視)] for people buying platform tickets. If a Chosŏn fellow came, they would surely sell, but unfortunately, not a single Chosŏn fellow came, only Japanese fellows. They encountered [맛내다] nearly five or six people, but all refused. Seemingly having no choice, they turned away. How embarrassing it was for the onlookers! At this moment, I couldn't help but be astonished at the exceedingly stingy mindset [고-매사운 심사(心思)] of the Japanese fellows. Firstly, a surge of ethnic sentiment [민족적 감정(民族的 感情)] arose. Secondly, I realized what their concept of national economy [국가경제관념(國家經濟觀念)] was. Railway Bureau [철도국(鐵道局)] revenue is Government-General [총독부(總督府)] revenue, Government-General revenue is the revenue of the Great Japanese Empire [대일본제국(大日本帝國)], and the revenue of the Great Japanese Empire is the revenue of the Great Japanese People [대일본국민(大日本國民)]. The Railway Bureau managed to get a mere 5 or 10 chŏn from a Chosŏnin; why should we buy platform tickets from the hands of a Chosŏnin and cause the Railway Bureau to lose even that mere 5 chŏn in revenue? This was their psychology [심리(心理)]. This wasn't instructed [교촉(敎囑)] by anyone, nor was it a temporary impulse [임시발작(臨時發作)]. One must know that their national character [민족성(民族性)] has already become like this. They possess such a stingy mindset [매삽게 심사(心思)] as individuals and for their nation. O people who are soft and yielding [물렁물렁하고 헌덕헌덕한 사람들아]. What is your name? <87> Isn't it the person who tried to resell the platform ticket only to be snubbed [코만 뗀 사람이 안인가]?

Whose Disrespect Is It?

This is something I heard quite a while ago. But I'll write it down while I remember. I hear there is a so-called Teachers' Fellowship Association [교역자친목회(敎役者親睦會)] in Kyŏngsŏng, organized by elementary-level educators [초등정도교역자(初等程度敎役者)]. It is said that such an incident occurred at one of these Teachers' Fellowship Gatherings [교역자간친회(敎役者懇親會)]. The place was a certain restaurant [모요리점(某料理店)], and the members were teachers from various private elementary schools, along with guests such as so-and-so from the Provincial Office [도(道)], so-and-so from the Bureau of Educational Affairs [학무국(學務局)], and so-and-so from the Prefectural Office [부청(府廳)]. The food tables [요리상(料理床)] were brought in. Just as they were about to raise their cups, a certain Japanese person suddenly stood up and, with that typical frivolous attitude [경태(輕態)], said,
"Today, at such a grand gathering [성대한 좌석(盛大한 坐席)], especially a gathering of us educators [교역자(敎役者)] engaged in education [교육(敎育)], we cannot fail to respectfully read [봉독(奉讀)] the Imperial Rescript [칙어(勅語)]. Let us all bow our heads and respectfully read the Imperial Rescript." He gave the order [령(令)] like a shaman [매신자(賣神者)] praying. Faced with the Imperial Rescript, it was a situation [판국(判局)] where no one could lift their face. Who would dare utter a single word [일언반구(一言半句)], whether yes or no [왈가왈부(曰可曰否)]? Everyone in the room [좌중(坐中)] remained silent [침묵(沈黙)]. But from among them, someone abruptly stood up and said,
"Hey, that is rather disrespectful [불경(不敬)]. Respectfully reading the Imperial Rescript at such a drinking party [주석(酒席)], holding cups of alcohol, is rather disrespectful. Let's stop." He lodged a protest [항의(抗議)], it is said. At this, the Japanese person became quite angry [골이 잔득 나서] and retorted [반박(反駁)], "Hey, who are you calling disrespectful? Is the person respectfully reading the Imperial Rescript disrespectful, or is the person saying not to respectfully read the Imperial Rescript disrespectful? What nonsense is this?" Thus, a dispute arose [왈시왈비 일장쟁론(曰是曰非 一場爭論)]. In the end, a certain Mr. [某] from the Prefectural Office [부윤(府尹)] stood up to mediate [중재(仲裁)], saying, "Mr. So-and-so's words seem reasonable, and Mr. So-and-so's words also seem reasonable, so let's stop this and just drink." He acted like someone in a position of authority [존위행세(尊位行勢)], it is said. This is the so-called "This disrespect, that disrespect, whose disrespect is it?" [차불경피불경 시수지불경(此不敬彼不敬 是誰之不敬)]. By the way, the proposer of the Imperial Rescript reading was the Japanese [OOOO] from OOO Sŏng School [OOO성학교(OOO成學校)], and the one who opposed it was Kim OO [김OO(金OO)] from O Hwa School [O화학교(O花學校)]. Like the words of the Prefectural official [부리원(府吏員)], this side seems reasonable, and that side seems reasonable.

This Too Is a Reactionary Force

"Solar calendar is the Japanese New Year [왜설]," "Lunar calendar is the Chosŏn New Year [조선설]"... This is what the obstinate scholars [완고샌님], obstinate women [완고부녀], and the boys and girls of obstinate families [완고가(頑固家)] in Chosŏn say year after year [년년세세(年年歲歲)]. Will this backward saying disappear this year? Will it disappear next year? Truly, it is a fact that this brings quiet concern among the knowledgeable [식자간(識者間)].
So, how was the solar calendar New Year this year, and how was the lunar calendar New Year? Don't be surprised. They were also sharply divided north and south. The Japanese celebrating the solar New Year is routine [예사(例事)], so there's nothing more to discuss. But the Chosŏnin's lunar New Year celebration certainly showed signs of being somewhat more flourishing [자성(紫盛)한 미(味)] than last year. The colorful clothes activities [색의활동(色衣活動)] of boys and girls on every street [거리거리] were also more resplendent [*란만(*熳)하다], the closure of shops and restaurants [상점음식점(商店飮食店)] was even more severe [우심(尤甚)] than last year, and moreover, the fact that there were schools that completely suspended [전폐(全廢)] classes is a strange event [기사(奇事)] this year, unheard of in previous years [예년(例年)]. (Perhaps there are places the reporter [기자(記者)] did not reach [부도처(不到處)], I don't know.) In any case, hearing that extra streetcars [전차(電車)] had to be dispatched [증발(增發)] on January 1st because of the New Year's greeting troops [세배군(歲拜軍)], doesn't it show how prosperous [성황(盛況)] it was? Considering this, when imagining how much consumption [소비(消費)] there must have been for rice-cake soup [떡국], Toso wine [도소주(屠蘇酒)], clothing fabric [옷감], hair ribbons [당기], pop guns [딱총]... isn't there a kind of new fear [공구(恐懼)]?
This too can be seen as a kind of reactionary phenomenon [반동적 현상(反動的 現像)] against the Japanese, but in any case, one must know that such reaction [반동(反動)] is harmful and without benefit [유해무익(有害無益)]. One must know that such reaction always leads to falling behind [낙오(落伍)].

Is There No Other Means Besides Finger-Cutting and Blood Oaths?

It is said that the movement by third and fourth-year students at P'yŏngyang Higher Common School [평양고등보통학교(平壤高等普通學校)] to expel Japanese teachers [일본인교원배척운동(日本人敎員排斥運動)] has still not reached a conclusion [귀결(歸決)] over a month after the incident [사건(事件)] occurred. Whether the school authorities [학교당국(學校當局)] are at fault or the students [학생(學生)] are at fault is a separate issue [별문제(別問題)], but when encountering newspaper reports [신문보도(新聞報道)] as a third party [제삼자(第三者)], there is something that evokes a feeling of unpleasantness [불쾌(不快)].
That is the "Blood-written Petition [혈서진정(血書陳情)] by all fourth-year students of P'yŏngyang Higher Common School" or the "Finger-Cutting [단지(斷指)]" and so on [운운(云云)]. As students, trying to push through their demands [요구(要求)] to the very end [끗끗내], there are undoubtedly [모론(母論)] various methods [별별 수단], but still. Is there really no other means [별로히 수단] besides finger-cutting and blood oaths [단지혈서외(斷指血書外)]? In the students' minds, this might be considered the most drastic and best method [끔즉한 최선(最善)의 수단], or the sole method [유일(唯一)한 수단] born out of passion [열정(熱情)] for the school or the school's idea [관념(觀念)], but in the eyes [안목(眼目)] of us third parties, it seems rather crude [야비(野鄙)], like the methods of women and children [아녀자(兒女子)]. <88> As students receiving higher education [고등교육(高等敎育)], who might be expected, in terms of spirit [지기(志氣)] or temperament [기질(氣質)], to undertake bold, decisive actions [건곤일척(乾坤一擲)의 장부적(丈夫的) 쾌사(快事)]... that's how it seems. However, this is not meant to incite [충동(衝動)] the students. It's just that it gives third parties a sense of crudeness [야비(野鄙)의 감(感)]. (Pak Tŭri) <89>

**Summary**

This article presents three anecdotes reflecting Korean society under Japanese rule in 1926. The first describes Japanese individuals refusing to buy train tickets resold by Koreans, interpreting this as a nationalistic effort to protect Japanese railway revenue, highlighting perceived Japanese economic stinginess and ethnic division. The second recounts a debate at a teachers' gathering over the appropriateness of reciting the Imperial Rescript during a drinking party, touching on issues of forced loyalty and differing interpretations of respect. The third observes the increased fervor of Lunar New Year celebrations among Koreans as a form of passive resistance against Japanese attempts to enforce the solar calendar, though the author views this "reactionary" trend as ultimately harmful. A final comment criticizes the P'yŏngyang students' use of "finger-cutting" protests as crude. Historians might find the article valuable for its firsthand accounts of everyday Korean-Japanese interactions, the complex interplay of nationalism, cultural resistance (both passive and perceived as counterproductive by some Koreans), imposed colonial symbols (Imperial Rescript), and debates within the Korean community about appropriate forms of protest and adaptation under colonial rule.

**Named Entities**

京城驛	경성역	Kyŏngsŏng Station
「아-이런제 어*할 것 우리는 空然히 五錢식 損보네. 우리도 龍山票를 살걸 이게뭐람. 二十錢이나 損을 보고…」라고 그러닛가 한 친구가 무슨 조흔 數나 發見한 듯이 入場券을 툭 가루채며 「여보게 수가 잇네. 됏네 됏서. 다시 팔세, 다시 파러 가지고 龍山票를 다시 사세. 여긔 딱부터서서 入場券사려고 하는 사람들께 事情을 말하고 되넘겨 팔세. 그러면 되네」 하닛가 意思同一한 지라. 「그러세」하고 두 사람이 서서 入場券 살 사람을 等待하겟다. 공교히 朝鮮人은 안오고 日本人만 오것다. 그들은 日本말도 제법하는 모양이다. 日本女子 한 아가 出札口 압흐로 드러온다. 「올타! 되얏다!」하고 그들은 그 女子의 正面에 딱 닥어서며 「(이하 3줄 일본문」하고 가튼 갑시면 이것을 사달나고 請을 *것다. 그 女子는 그 사람들을 눈이 뚜러지게 처다 보더니만 不間曲直하고 「&일본문 7자」하고 出札口에서 사가지고 나온다. 첫 번에 코를 뗀 그들은 입맛을 쩍쩍 다시며 「망할년 가튼 갑시면 그거 좀 사주면 엇던가」하면서 다른 사람을 또 기다린다. 올타. 日本人한 아가 또 온다. 그들은 이 놈은 놋치지 말자고 밥비 닥어서서 「이하 2줄 일본문」하고 請을 *다. 그 놈은 보지도 안코 亦是 出札口에서 사가지고 나오며 힐긋 처다보며 「&일본어 7자…」하고 욕을 하며 갓것다. 그들은 닭쫏든 개모양으로 멍하니 서서 입맛만 다시것다. 그래도 그럴 勇氣가 상금 남엇는지 그대로 벗티고 서서 入場券 살사람을 檢視하것다. 朝鮮놈이 오면 依例 팔겟는데 공교하게도 朝鮮놈은 한아도 안오고 日本놈만 오것다. 거의 五六名을 맛냇스나 모다 거절을 當하고 마럿것다. 할 수 업엇듯이 그들을 도라섯것다. 보는 사람의 얼굴이 엇더케 간지럽든지? 나는 이때 日本놈들의 고-매사운 心思에 놀내지 안을 수 업섯다. 첫재, 民族的 感情이 왈칵 나섯다. 둘재, 그들의 국가경제관념이 엇더한 것을 아럿다. 鐵道局收入은 總督府收入이고 總督府收入은 大日本帝國의 收入이고 大日本帝國의 收入은 卽 大日本國民의 收入이다. 못처럼 朝鮮人에게 單五錢 十錢이나마 鐵道局이 收入시켯는데 우리가 왜 朝鮮人의 手中에든 入場券을 사서 鐵道局收入이 單五錢이나마 損하게 하랴. 이것이 그들의 心理이엇다. 이것은 누구의 敎囑도 안이요 또 臨時發作도 안이라. 그들의 民族性이 발서 그러케 되야잇는 것을 아러야 된다. 그들은 個人이나 국가에서 그러케 매삽게 心思를 가젓다. 물렁물렁하고 헌덕헌덕한 사람들아. 그대의 일흠은 누구인가? ＜87＞ 그 入場券 되팔러다가 코만 뗀 사람이 안인가?

是誰之不敬?

이것은 드론지 좀 오랜 일이다. 그러나 생각나는 김에 써 버리기로 한다. 京城에는 初等程度敎役者들로 組織된 所謂 敎役者親睦會란 것이 잇다한다. 그런데 언으때 이 敎役者懇親會란데서 이런 일이 잇섯다 한다. 場所는 某料理店이고 會員은 各私立小學校敎員 外에 來賓으로 道鹿 누구누구 學務局 누구누구 府廳의 누구누구 이엇다 한다. 料理床이 드러 왓것다. 술잔을 들고저 할 때에 엇던 日本人 한 아가 발닥 니러서더니 例의 고 輕態로서 하는 말이
「오늘 이와가티 盛大한 坐席에서 더군다나 敎育에 從事하는 우리 敎役者들이 모인 坐席에서 勅語를 안이 奉讀할 수 업스니 우리 다 가티 머리를 숙이고 勅語를 奉讀합시다.」 하고 賣神者들이 기도하다 십히 令을 내렷다 한다. 勅語라면 누구나 얼굴을 못드는 판국이것다. 누가 감히 一言半* 曰可曰否를 말하랴. 坐中이 모다 沈黙할 뿐인데 그 中에서 누가 벌덕 니러서며
「여보 그것은 도리어 不敬이요. 이런 酒席에서 술잔을 들고 勅語를 奉讀하는 것은 도리여 不敬이요. 그만 둡시다」 하고 抗議를 하얏다 한다. 그러닛가 그 日本人은 골이 잔득 나서 「여보, 누가 不敬이란 말이요. 勅語奉讀하는 사람이 不敬이요, 勅語를 奉讀치 마자는 사람이 不敬이요, 웬 말이요.」하고 反駁을 하얏다 한다. 그래 曰是曰非一場爭論이 니러낫다 한다. 결국은 府*의 某가 니러서서 仲裁를 붓치는데 「某氏의 말슴도 그럴 듯 하고 某氏의 말슴도 그럴 듯 하니 그만 두고 술이나 먹읍시다.」 하고 그럴 듯 尊位行勢를 하드라고 한다. 此 所謂 此不敬彼不敬 是誰之不敬이란 것이다. 그런데 그 勅語主唱者는 OOO成學校의 日本人OOOO이요 그것을 反對한 者는 O花學校의 金OO이라고 府吏員의 말고 가티 이편도 그럴 듯 저편도 그럴 듯

此亦反動勢力

「陽曆은 왜설」 「陰曆은 朝鮮설」……이것은 朝鮮의 頑固샌님 頑固婦女 또 頑固家의 少年少女들이 年年歲歲에 해오는 말이것다. 이 말이 뒤떠러진 이 말이 今年에나 업서 질가. 明年에나 업서질가. 實로 識者間에는 은근히 걱정을 가저오는 것이 事實이다.
그런데 今年의 陽曆 설은 엇더하고 陰曆설은 엇더하얏는가. 놀내지 마라. 亦是南北이 딱 갈니엿다. 日本人들의 陽曆 설 마지는 例事라 更論할 것도 업고 朝鮮人의 陰曆설은 昨年보다도 좀더 紫盛한 味가 확실히 보엿다는 말이다. 巨里巨里의 少年少女의 色衣活動도 一層 *熳하고 商店飮食店들의 休業도 昨年보다 尤甚하고 보다도 學科를 全廢한 學校가 잇다는 것은 例年에 듯지 못하든 今年의 奇事이다. (或 記者의 不到處가 잇는지는 모르나) 엇잿든 歲拜軍 때문에 正月一日에는 電車를 增發하얏다하니 그 얼마나 盛況이엿든 것을 알 것 안이냐. 그러고 보면 떡국, 屠蘇酒, 옷감, 당기, 딱총…… 그것으로의 消費는 얼마나 되갯느냐를 想像할때에 一種의 새로운 恐懼가 잇지 안으냐.
이것도 또한 日本人에 對한 一種의 反動的 現像으로서 볼 수 잇스나 엇잿든 이와가튼 反動은 有害無益인 것 만은 아러 두어야 하겟다. 이러한 反動은 언제든지 落伍되는 줄 아러 두어야 한다.

斷指血書外에는 別手段이 업슬가

平壤高等普通學校 三四學年生의 日本人敎員排斥運動은 事*이 난지 月餘에 아직도 歸決이 못되얏다 한다. 學校當局이 잘못인지 學生이 잘못인지 그는 別問題로 하고 第三者로서 新聞報道를 접할 때에 一種不快의 感을 喚起하는 것이 잇드란 말이다.
그것은 「平壤高普四年生一同의 血書陳情」 又는 「斷指」 云云 그것이다. 學生으로서 自己네 要求를 끗끗내 관철하랴닛가 母論 別別 수단이 다 잇겟지만 그러나 말이다. 斷指血書外에는 別로히 手段이 업느냐 말이다. 學生들 생각에는 그것이 끔즉한 最善의 手段 안이 學校의 熱情 又는 學校의 *念에서 나온 唯一한 手段이라 하겟지만 우리 第三者의 眼目으로는 그것이 좀 野鄙 卽 兒女子의 수단가티 보인다는 말이다. ＜88＞ 高等敎育을 밧는 學生으로서 志*로나 氣質로나 乾坤一擇의 丈夫的 快事가 잇슬 듯도 한데……그럿탄 말이다. 그러나 學生들을 衝動하는 말은 안이다. 第三者에게 野鄙의 感을 주드란 말뿐이다. (朴들이)＜89＞
＜87-89＞
