Magazine Title: 개벽 제20호
Publication Date: 1922년 02월 08일
Article Title: 開闢支社新設 (Establishment of New Kaebyŏk Branch Offices)
Article Type: 사고·편집후기 (Notice/Editorial Postscript)

Establishment of New Kaebyŏk Branch Offices

Name: Kaebyŏk P'yŏngnam Branch Office
Location: 125 Sŏram-dong, P'yŏngyang-bu
Jurisdiction: P'yŏngyang, Chinnamp'o, Taedong, Yonggang, Chunghwa, P'yŏngwŏn, Kangsŏ, Anju, Kaech'ŏn, Tŏkch'ŏn, Yŏngwŏn Counties
Staff:
Branch Manager: Kim Yun-sŏn
General Affairs: Ch'oe Yun-ok
Reporter: Yi Sŏng-sam
External Affairs and Accountant: Ch'ae Man-jun

Name: Kaebyŏk Chinju Branch Office
Location: P'yŏnggŏ-ri, P'yŏnggŏ-myŏn, Chinju-gun
Jurisdiction: Chinju, Sach'ŏn, Sanch'ŏng, Hadong, Ŭiryŏng Counties

Name: Kaebyŏk Hwanghae Branch Office
Location: Town center, Chaeryŏng-gun
Jurisdiction: Chaeryŏng, Sinch'ŏn, Anak Counties
Staff:
Branch Manager: Yi Wŏn-yŏng

Name: Kaebyŏk Hamnam Branch Office
Location: 320 Sang-ni, Hamnam-myŏn, Hamnam-gun
Jurisdiction: All of South Hamgyŏng Province (咸鏡南道 一圓)
Staff:
Branch Manager and General Affairs: Ch'oe Ki-p'il
External Affairs Staff Member and Reporter: Mun T'ae-jik

Name: Kaebyŏk Kaesŏng Branch Office
Location: 106 Pukpon-chŏng, Songdo-myŏn, Kaesŏng-gun
Jurisdiction: Kaesŏng, Changdan, P'aju Counties

Name: Kaebyŏk Sŏngch'ŏn Branch Office
Location: 253 Habu-ri, Sŏngch'ŏn-myŏn, Sŏngch'ŏn-gun
Jurisdiction: Sŏngch'ŏn, Sunch'ŏn, Kangdong, Yangdŏk Counties

Branch Bureau Establishment

Name: Kaebyŏk Magazine Sunch'ŏn Branch Bureau
Location: Osu-jŏng, Sunch'ŏn-myŏn, Sunch'ŏn-gun, South Chŏlla Province
Jurisdiction: South Chŏlla Province's Sunch'ŏn, Kwangyang, Yŏsu, Kohŭng Counties and the Pŏlgyo-myŏn area of Posŏng-gun
Staff:
Branch Bureau Chief and Reporter: Kim Yŏng-sŏk
General Affairs: Kim Chong-sŏk

Regarding the above, readers in each respective region, please direct all magazine requests, payments, accounting, and any other business to your relevant Branch Office or Branch Bureau from now on.<63>

**Summary**

This article serves as a notice announcing the establishment of several new branch offices (支社) and a branch bureau (支局) for the magazine *Kaebyŏk* (開闢) across Korea in early 1922. It lists the names, locations, jurisdictions (covering numerous counties and provinces like P'yŏngan, Hwanghae, Hamgyŏng, Kyŏngsang, Chŏlla, and Kyŏnggi), and staff members for offices in P'yŏngyang, Chinju, Chaeryŏng, Hamnam (likely Hamhŭng area), Kaesŏng, Sŏngch'ŏn, and Sunch'ŏn. The notice instructs readers to direct future correspondence, subscriptions, and payments to their local branch. From a historical perspective, this demonstrates the expanding organizational network and reach of influential Korean cultural and nationalist publications like *Kaebyŏk* during the Japanese colonial period. It highlights efforts to establish a nationwide distribution and operational structure, indicating a growing readership and the magazine's significance in disseminating ideas despite colonial constraints. The detailed listing of jurisdictions and staff provides insight into regional engagement and the personnel involved in cultural movements of the time.

**Named Entities**

開闢平南支社	개벽평남지사	Kaebyŏk P'yŏngnam Branch Office
右	우	Regarding the above (used at start of sentence to refer back)
-e 

---------------------------


잡지명	개벽 제20호
발행일	1922년 02월 08일
기사제목	開闢支社新設
기사형태	사고·편집후기

開闢支社新設
名稱 開闢平南支社
位置 平壤府 薛巖洞 一二五
管轄區域 平壤, 鎭南浦, 大同, 龍岡, 中和, 平原, 江西, 安州, 价川, 德川, 寧遠 各郡
職員 支社長 金潤璿
總務 崔允鈺
記者 李成三
外務 及 會計員 蔡萬俊
名稱 開闢晋州支社
位置 晋州郡 平居面 平居里
管轄區域 晋州, 泗川, 山淸, 河東, 宜寧 各郡
名稱 開闢黃海支社
位置 載寧郡 邑內
管轄區域 載寧 信川 安岳 各郡
職員 支社長 李元榮
名稱 開闢咸南支社
位置 咸南郡 咸南面 上里 三二○
管轄區域 咸鏡南道 一圓
職員 支社長 兼 總務 崔基弼
外務員 兼 記者 文泰稷
名稱 開闢開城支社
位置 開城郡 松都面 北本町 一○六
管轄區域 開城, 長湍, 坡州 各郡
名稱 開闢成川支社
位置 成川郡 成川面 下部里 二五三
管轄區域 成川, 順天, 江東, 陽德 各郡
支局設置
名稱 開闢雜誌 順天支局
位置 全南 順天郡 順天面 大手町
管轄地方 全南 順天, 光陽, 麗水, 高興 各郡 及 寶城郡 筏橋面 一圓
職員 支局長 兼 記者 金榮錫
總務 金鍾錫
右 各地方 讀者 諸賢은 今後부터는 雜誌請求와 代金會計 其他 一切交涉을 各其 所管支社支局에로 하시오＜63＞
