잡지명	동광 제18호
발행일	1931년 02월 01일
기사제목	革命中國 新女性들의 活躍 (The Activities of Revolutionary China's New Women)
필자	南京居士
기사형태	소식 (News Report)

The Activities of Revolutionary China's New Women
						By Nankin Kŏsa (南京居士)

In newly rising China, which is fiercely struggling to liberate itself from the oppression of imperialism, the oppression of warlords, and all other inequalities and unfreedoms, the activities of new women, who possess a new consciousness and resolutely demand a position of freedom and equality, are astonishing. Bound feet (纏足) have become natural feet (天足) – the small feet that received artificial restraint have been liberated into naturally large feet, and the legs of Chinese women, which received the strictest confinement in the world, have leaped to become free bare feet (赤脚) – feet of freedom that boldly expose themselves and stride vigorously on broad daylight avenues. Their large, bare feet are indeed feet that have kicked away the old Confucian ethics of several thousand years and have freely stretched and developed.

The old condition for beauties, "a fair lady in the deep chamber" (深閨佳人), has been utterly destroyed, and they are imitating the beauty of primitive people with their new attire of bare feet, short sleeves, and semi-nudity. Old descriptions of beauties like "graceful lotus steps" (楚楚한 蓮步) or "slender willow waist" (纖纖한 柳腰) are already outdated and rotten adjectives for beauty. Ample curves, long legs like vertical lines, and vigorous, healthy steps are the new standards of beauty.

Needless to say, Madame Chiang Kye-sŏk (蔣介石), Song Mi-ryŏng (宋美齡) yŏsa, wife of the Chairman of the Nationalist Government, is the leader (魁) of modern girls in present-day China. During the recent great war in Honam (河南), when her husband was busy with military and political affairs, Madame demonstrated extraordinary activity. It is true that she traveled back and forth between Sanghae (上海) and Nankin (南京), lobbying financiers with considerable success. There is also talk that when Mr. Chiang spent 50 million won of his private funds for military expenses, Ms. Song also contributed 5,000 won of her private funds to relieve her husband's financial difficulties. When the Central Army (中央軍) suffered successive defeats due to the stubborn counterattacks of the Northwest Army (西北軍) and faced a critical moment, upon hearing of Mr. Chiang's decision to commit suicide after defeat, his wife hurriedly flew by airplane (비행긔) to Chŏngju (鄭州) to comfort her husband. Although Mr. Chiang is a renowned general skilled in warfare, it is not difficult to imagine how much Ms. Song's visit restored Mr. Chiang's spirits when he was in a crisis of discouragement and despair. Recently, due to the persuasion of Ms. Song, a fervent Christian believer, Mr. Chiang suddenly experienced an awakening (菩提心) and received Christian baptism.

The activities of Madame Chang Hak-ryang (張學良), U Pong-ji (于鳳至) yŏsa, have also recently become a focus of general attention. When her husband sent a telegram advocating "Saving the Nation" and dispatched troops into the passes, Madame initiated a "Flood Relief" campaign, held a dance party at Pukrŭng (北陵), Mr. Chang's villa, and personally took part, obtaining a large sum in donations.

In the current political situation aiming for peaceful unification through Chiang-Chang cooperation, Madame U Pong-ji's entry into Nankin (南京) along with her husband to attempt friendly exchanges with Madame Song Mi-ryŏng holds importance comparable to the Chiang-Chang meeting. <29>

A star in the Chinese women's sports world, concentrating the popularity of all China onto herself with her shapely legs and fitness, is the 16-year-old girl this year, Sun Kye-un (孫桂雲), the Chinese female athlete who drew international attention at the Far Eastern Championship Games. Her records are 13.8 seconds for 100 meters and 7.4 seconds for 50 meters.

Chinese women, liberated starting from their feet, have recently been making leapfrog advancements into the sports world. Basketball and volleyball are their most favored sports. Other female athletes like O Mae-sŏn (吳梅仙), Yu Chŏng-jŏng (劉靜貞), etc.—their physical beauty and healthy beauty have decidedly kicked away the China of the past. The healthy beauty of Chinese women has further advanced recently in the developing Girls' Youth Corps (Girl Scouts). Their dignified attire and posture would surely amaze Korean girls if they saw them. The Girls' Youth Corps recently organized in Nankin carries the latest model firearms in addition to batons and conducts modern military training. Recently, Mr. Chiang Kye-sŏk inspected the Girls' Youth Corps and praised them, saying that in terms of physique and training, they were even superior to the current Chinese male soldiers.

A female fighter of the Chinese Communist Party (共産黨) named Ho Yŏng (胡英), who gained extraordinary popularity through her activities on the class struggle front, is a beautiful woman of 22 this year. She organized a women's communist army and engaged in battles with government punitive forces, employing elusive tactics in the wilderness of Honam (湖南).

As giants in the political world, the two ladies Ho Ch'un-ŭng (何春凝) and Song Kyŏng-ryŏng (宋慶齡) are world-renowned female politicians. As they are currently in exile abroad, their news cannot be known, but Madame Wang Cho-myŏng (汪兆銘), Chin Pyŏk-kun (陳壁君) yŏsa, is likely the foremost female politician residing within the country. Mr. Wang, the leftist giant who acted as the chief strategist of the anti-Chiang movement and decisively opposed Mr. Chiang with the two heroes Yŏm (閻錫山) and P'ung (馮玉祥) at his sides, receives great support from his wife, Madame Chin. Madame Chin possesses all the qualities of a passionate revolutionary, is skilled in oratory, and when engaging in political debates with political giants, her eloquent speech is said to surpass even Mr. Wang's. This time, while in the North, she bustled about lobbying between the generals like Yŏm and P'ung and the Western Hills Group (西山派).

Dr. Chŏng Yuk-su (鄭毓秀), a legal scholar who holds a position of importance in the judicial world, was the president of the Sanghae Provisional Court (上海臨時法院), becoming an object of international astonishment. Currently, she has hung out her shingle as a lawyer in Sanghae and is making extraordinary efforts for the protection of women's rights.

Ms. Kwak Pong-myŏng (郭鳳鳴), the county magistrate of Habuk Province (河北省), is a cutting-edge woman of 26 with short hair and Western dress. In her two years as county magistrate, she modernized the entire county, provoking backlash from the county's conservatives, making it difficult for her to maintain her official position for a time. However, as the influence of the "modern" general Chang Hak-ryang reached Habuk Province, Ms. Kwak was able to resolutely suppress the opposition movement of the conservatives and continue her "modernist" politics.

Women, who at the age of seven were not supposed to share the same space with men, now attend co-educational schools, and women who had no property rights have acquired inheritance rights. As the progressive laws of the Nationalist Government are based on the fundamental principle of gender equality, the legal status of women has improved to the point where it can disregard other advanced countries. Demands for suffrage or legal equality already belong to past stages of the women's liberation movement; currently, economic equality is the target of their liberation front. Female clerks, female conductors, female teachers, dancers, mannequin girls (마네킨껄)—standing upright on the front lines of livelihood and fighting bravely is the recent direction of their advancement. Under the slogan "Complete Liberation is Economic Liberation," they are all aspiring to become professional women. Depending on male protection is considered a great shame to them.

Female police officers, female detectives, female barbers, female lawyers—their occupations are pioneering new directions that women in advanced countries could not even dream of. Thus, the advancement of women into the political world, economic world, party affairs, legal circles, and other various fields presents an extraordinary fierce momentum, and they are striving alongside men for the construction of a new state. <30>
<29-30>

**Summary**

This 1931 article from the Korean magazine *Tonggwang* details the remarkable activities of "new women" in Republican China, portraying them as agents of revolutionary change. It highlights their liberation from traditional constraints like foot-binding, their embrace of modern fashion and beauty standards emphasizing health and athleticism, and their active participation in sports, politics (citing figures like Soong Mei-ling and Yu Fengzhi), military training (Girl Scouts/women's army), communist movements (Ho Ying), and various professions including law (Zheng Yuxiu) and administration (Guo Fengming). The article emphasizes their pursuit of economic independence as the key to complete liberation, moving beyond earlier demands for legal equality and suffrage, and concludes by noting their significant role alongside men in building a new China.

From the perspective of Korean colonial history, this article is interesting as it reflects Korean intellectuals' keen observation of social transformations in neighboring China, a nation grappling with similar pressures of modernization and nationalism, albeit under different political circumstances. It presents Chinese women's liberation as dynamic and advanced, implicitly contrasting it with the situation in colonized Korea and potentially serving as both inspiration and a benchmark. The focus on specific, named Chinese women active in diverse fields provided tangible examples for the Korean audience, while the admiration for their "fierce momentum" could reflect aspirations for similar social progress within Korea itself. Historians might find the article valuable for understanding transnational feminist and modernist discourses in East Asia during this period and the ways social change in China was perceived and reported in colonial Korea.

**Named Entities**

帝國主義	제국주의	Imperialism
그리하야	그리하여	therefore; thus; so (older spelling)
黨務	당무	party affairs
猛勢	맹세	fierce momentum; strong force
呈하고 잇으며	정하고 있으며	is presenting; is showing (呈 + 하고 있다, older spelling of 있다)
어깨를 같이하다	어깨를 같이하다	to stand shoulder to shoulder; work together equally
新國家建設	신국가건설	new state construction; nation building


---------------------------


잡지명	동광 제18호
발행일	1931년 02월 01일
기사제목	革命中國 新女性들의 活躍
필자	南京居士
기사형태	소식

革命中國 新女性들의 活躍
						南京居士
帝國主義의 壓迫, 軍閥의 壓迫, 기타 모든 不平等 不自由에서 해방되려고 猛勢로 奮鬪하고 잇는 新興中國에 잇어서 새로운 자각을 가지고 단연 自由平等의 地位를 요구하는 新女性들의 活躍은 놀란만 하다. 纏足에 天足 - 人工的 拘束을 받든 小足이 天然的 大足으로 해방되고 世界에서 가장 엄밀한 監禁을 받든 中國女人의 脚이 一躍 자유롭은 赤脚 - 白晝大道上에 대담하게 노출하고 활보하는 자유의 脚이 되엇다. 그들의 大足赤脚이야말로 數千年來의 舊禮敎를 一蹴하야 버리고 자유로 伸長 發展된 足脚이다.
「深閨佳人」이란 옛날 美人의 조건은 전연 타파되고 그들은 赤脚 短袖 半裸軆의 新裝으로 赤裸裸한 原始人의 美를 모방하고 잇다. 楚楚한 蓮步니 纖纖한 柳腰니 하는 옛날의 미인 形容은 발서 묵고 썩은 美人形容詞다. 풍만한 곡선미, 垂直線의 長脚, 활발한 健步가 새롭은 미인표준이다.
國民政府主席 蔣介石夫人 宋美齡여사는 말할 것도 없이 현 中國 「모던껄」의 魁이다. 夫君이 軍事政務 다망한 過般河南大戰에 際하야 夫人은 비상한 활약을 試하얏다. 上海南京간에 왕래하면서 財閥遊說를 하야 상당한 성공을 한 것도 사실이며 蔣氏가 私資 5천만원을 군자금으로 지출할 때에 宋女史도 5천원의 私資로써 夫君의 財政難을 구하얏다는 말도 잇으며 西北軍의 頑强한 反攻으로 中央軍이 連戰連敗하야 危機一髮의 際에 蔣氏의 敗戰自殺決心을 듣고 부인은 급히 비행긔로써 鄭州에 赴하야 夫君을 위안하얏다. 蔣氏가 비록 善戰名將이나 失意落魄의 위기에 在하야 宋女史의 위문이 얼마나 蔣氏의 원기를 만회하얏을 것은 상상키 不難하다. 최근은 熱烈한 基督信者인 宋女史의 勸誘로 蔣氏가 돌연 菩提心을 起하야 예수 洗禮를 받게 되엇다.
張學良氏 夫人 于鳳至女史의 활약도 최근 일반이 주목하는 초점이 되엇다. 夫君이 「救國」을 通電하고 關內出兵을 行할 際에 夫人은 「水災救濟」를 發起하야 張氏別墅인 北陵에서 舞蹈會를 開하고 자신이 출마하야 거액의 기부를 得하얏다.
蔣張合作으로 和平統一을 謀하는 現時局에 在하야 于鳳至女史가 夫君과 공히 南京에 入하야 宋美齡女史와 친선교제를 試하는 것은 蔣張會見 同樣의 重要性을 가지엇다.＜29＞
美脚健身現中國女子 「스포-트」界에 花形으로 全中國의 인기를 일신에 집중한 금년 16의 소녀, 極東 올림픽 대회에서 國際的 注目을 야기한 中國側女選手 그 이름은 孫桂雲 기록 100米突 13.8, 50米突 7.4.
足에서부터 자유해방된 중국 여성들은 근래 스포-트界로 향하야 飛躍的進出을 試하고 잇다. 「빠스켓, 뽈」 「발리, 뽈」은 그들의 가장 得意한 「스포-트」다. 기타의 여선수 吳梅仙, 劉靜貞등 그들의 肉軆美健康美는 단연 과거의 中國을 一蹴하얏다. 中國 여성의 건강미는 최근 발달되어 가는 女子少年軍 「껄, 스카웃」에서 일층 더 진보되엇다. 凜凜한 그들의 服裝姿는 朝鮮의 소녀들이 보면 驚異함을 마지 못할 것이다. 근자 南京에서 편성된 女少年軍은 團杖외에 최신식 총기를 携帶하고 近代式 군대훈련을 施하고 잇다. 過般 蔣介石氏는 그 女子少年軍檢閱을 한바 체격으로나 敎練으로나 현재의 中國男子兵보다도 우수하다고까지 찬탄하얏다.
胡英이란 이름을 가진 中國 共産黨의 女鬪士로 階級鬪爭戰線에서 활약하야 비상한 인기를 一身上에 집중한 여성은 금년 22의 美娘인데 女共産軍을 組續하야 가지고 湖南의 曠野에서 神出鬼沒의 兵略으로 官軍討伐隊와 應戰한 일이 잇다.
政治界에 거두로 何春凝, 宋慶齡 兩女史는 세상에 이름 높은 女流 政治家로 그들은 현재 해외에 망명하고 잇음으로 소식을 알 수 없거니와 汪兆銘夫人 陳壁君女史는 국내에 잇는 女流 政治家로는 第一指를 屈할 것이다. 反蔣運動의 總參謀로 閻馮兩雄을 左右에 挾하고 蔣氏反對를 단행한 左派巨頭 汪氏는 夫人 陳女士의 내조가 多大하다. 陳여사는 열정적인 革命家의 소질을 완비하얏으며 雄辯에 능하야 政界巨頭들과 政論을 交하게 되면 滔滔雄辯이 汪氏보다도 우월하다하며 금회 北方에 在하야 閻馮등의 將領과 西山派간에 遊說로 奔走하얏다.
法學者로 法曹界의 重鎭地位를 점한 鄭毓秀博士는 上海臨時法院長으로 國際的 驚異의 的이 되엇든 이다. 현재는 上海에서 辯護士 문패를 걸고 女權擁護로써 비상한 노력을 하고 잇다.
河北省의 縣知事인 郭鳳鳴女史는 現年 26 短髮 洋裝의 尖端女性으로 縣知事노릇 2년에 全縣을 「모던」化하야 縣內 頑固들의 반감을 야기하야 일시는 官職維持가 곤란케 되엇으나 「모던」將軍 張學良氏의 세력이 河北省에 至하게 되어 郭女史는 단연 頑固들의 반대운동을 抑壓하고 그의 「모던」主義 政治를 계속케 되엇다.
男女 7세에 不同席하든 부녀들이 男女共學을 하게 되고 재산권이 없든 부녀자가 상속권을 획득하얏으며 國民政府의 進步的 法律은 남녀평등을 근본원칙으로 한 결과로 여자의 법률상 지위는 他先進國을 무시할 만치 향상되엇으며 參政權이니 法律上 平等이니 하는 것은 발서 지나간 婦女解放運動 階段의 요구이고 현재는 經濟的 均等이 그들의 解放戰線의 的이다. 女事務員 - 女車掌 - 女敎員 - 舞女 - 「마네킨껄」 - 생활전선에 직립하야 용맹스럽게 舊鬪하는 것이 최근 그들의 진출방향이다. 「완전한 解放은 經濟的 解放」이란 標語로 그들은 모도 職業婦人을 지원하고 잇다. 남자의 보호하에 寄生하는 것은 그들에게 막대한 羞耻로 인정되엇다.
女警察, 女刑事, 女理髮師, 女辯護士 등 그들의 직업은 선진국 여성이 夢想도 못하는 新方向을 개척하고 잇다. 그리하야 政治界 經濟界 黨務 法曹界 기타 各界로 여성들의 진출은 비상한 猛勢를 呈하고 잇으며 남성들과 어깨를 같이하고 新國家建設에 노력하고 잇다.＜30＞
＜29-30＞
