Magazine Title: 삼천리 제13호
Publication Date: 1931년 03월 01일
Article Title: 新春樂壇 은파렛드, 李東伯·宋萬甲·朴綠珠孃과 安基永·金永煥 諸氏의 大混舞 (New Spring Music Scene Silver Parade, The Grand Mixed Performance of Yi Tongbaek, Song Man'gap, Miss Pak Nokchu, and Messrs. An Kiyŏng & Kim Yŏnghwan)
Author: Not specified
Article Type: 소식 (News/Report)

Factions
Chosŏn Rhythm Association (朝鮮音律協會) - Master Singers' Grand Meeting
Korean Music Club's (朝鮮音樂俱樂部) - New Spring Performance
Korean Popular Song Association's (朝鮮歌謠協會) - Composition Promotion <26>

When looking at the age of the old vocalists (聲樂家) who sing "Kogo ch'ŏnbyŏn iryun hong" or "Pannam-a nŭlgŏssŭni," most are old. Mr. Kim Ch'anghwan (金昌煥) from Chŏlla Province (全羅道出) is 78, Mr. Kim Ch'angnyong (金昌龍) from Ch'ungch'ŏng Province (忠淸道出) is 60, and Messrs. Song Man'gap (宋萬甲) and Yi Tongbaek (李東伯) from Chŏlla Province are 68; all these master singers are aged youths past their sixties (六旬). However, like a new trunk on an old tree (枯木新幹), as if gaining new vital energy (正氣) upon greeting the new spring, their spirits all soar to the heavens (意氣衝天). Thus, starting from the New Spring (新春), they plan to hold Master Singers' Grand Meetings (名唱大會) occasionally, disseminate the gramophone (蓄音機) records they have prolifically recorded throughout all of Korea (全朝鮮), and even have intentions (意圖) to establish (設立) a specialized theater (專門劇場) centered around the venerable Yi Tongbaek (李東伯翁). Within this group, besides the aforementioned aged youths (老靑春), there are prime youths (二八靑春) like the twenty-six-year-old Pak Nokchu (朴綠珠) and thirty-two-year-old Kim Ch'ohyang (金楚香). Also gathered are masters skilled enough to match a hundred (一當百) such as Ha Kyuil (河奎一) for Seoul *kasa* (歌詞), Sim Sang'gŏn (沈相健) for the *kayagŭm* (伽倻琴), Cho Tong'sŏk (趙東奭) and Kim Sangsun (金相淳) for the *tanso* (短簫), and Kim Kisŏn (金箕善) for the *chŏttae* (젓대, transverse flute). Therefore, the parade of the traditional vocal music group (傳統的 聲樂團) this spring (今春) can be said to be colorful and magnificent (多彩 壯觀).

Meanwhile, looking around the newly rising music scene (新興樂壇), there is the genius vocalist (天才聲樂家) An Kiyŏng (安基永), backed by the Ewha Women's Professional School (梨花女專) Chorus Troupe; Ch'oe Ho'yŏng (崔虎永), the famous drummer (名鼓手) of the Koryŏ (高麗) Jazz Band; Hong Yŏnghu (洪永厚), who guides the Chungang Nursery School Chorus Troupe and the Chungang Music Friends Association (中央樂友會); and besides them, a gathering of many talented people (濟濟多士) such as Messrs. Kim Yŏnghwan (金永煥), Hyŏn Chemyŏng (玄濟明), and Kye Chŏngsik (桂貞植). They have founded (創立) a Music Association (音樂協會) and decided to hold regular performances (定期公演) four times a season (四季) - spring, summer, autumn, winter (春夏秋冬) - starting this April (四月). With cello, conductor, and jazz, modern (近代 的), bright (明朗), and complex (複雜) melodies steeped in European and American style (歐美風) will adorn (裝飾) the Peninsula's (半島) music world (樂壇). Shall we say this land's spring is fortunate (多幸)?

In addition to this, the Chosŏn Popular Song Association (朝鮮歌謠協會), formed by the mingling of modern poets (近代詩人) like Sŏk Song (石松), Yi Kwangsu (李光洙), Pak P'aryang (朴八陽), Yi Ŭnsang (李殷相), Ansŏ (岸曙), and Yohan (요한) with composers (作曲家) and vocalists like Kim Yŏnghwan (金永煥), Chŏng Sunch'ŏl (鄭順哲), and An Kiyŏng (安基永), also plans to create and widely spread (널니 펴리라) many new, contemporary folk songs (民謠) and popular songs (俗謠) starting from the New Spring (新春), which is a heartening matter. Also, the chorus troupes of each university (大學) are making grand pronouncements (선성을 지릅이 큰즉) that they will sing good songs brimming with new energy (새긔운) to enrich everyone's ears. In any case, shall we call this spring's music scene (今春樂壇) a profusion of blooming flowers (百花爛漫)?... <27>

**Summary**

This 1931 article from *Samch'ŏlli* magazine reports on the vibrant Korean music scene at the start of spring. It contrasts the activities of established, older traditional vocalists (*myŏngch'ang*) like Yi Tongbaek and Song Man'gap, who are forming associations, holding performances, and even planning a dedicated theater, with the burgeoning "newly rising music scene." This modern faction includes Western-trained musicians like An Kiyŏng and Kim Yŏnghwan, involved with choruses, jazz, and forming their own Music Association for regular seasonal concerts featuring European and American styles. A third group, the Korean Popular Song Association, unites modern poets and composers aiming to create and popularize new contemporary folk and popular songs.

From a historical perspective, the article is interesting as it vividly illustrates the cultural landscape of colonial Korea in the early 1930s. It shows the coexistence and parallel development of traditional Korean performing arts (represented by the aging *p'ansori* masters) and the newly imported Western musical forms embraced by a younger generation, often educated in modern institutions like Ewha. The formation of multiple associations (Chosŏn Ŭmnyul Hyŏphoe, Chosŏn Ŭmak Kurakpu, Chosŏn Kayo Hyŏphoe, Ŭmak Hyŏphoe) reflects attempts to organize and promote distinct musical visions – traditional preservation, Western classical/jazz adoption, and the creation of new "Korean" popular songs blending modern sensibilities. Historians might find the explicit mention of generational differences ("aged youths" vs. "newly rising music scene"), the specific names involved in both traditional and modern music circles, and the description of musical styles (jazz, cello, chorus vs. *kasa*, *kayagŭm*, *tanso*) valuable for understanding cultural dynamics, modernization efforts, and the negotiation of identity under Japanese rule. The mention of disseminating gramophone records also points to the growing influence of mass media technology.

**Named Entities**

朝鮮音律協會	조선음률협회	Chosŏn Ŭmnyul Hyŏphoe
新春樂壇 은파렛드, 李東伯·宋萬甲·朴綠珠孃과 安基永·金永煥 諸氏의 大混舞
陣營
朝鮮音律協會 - 名唱大會
朝鮮音樂俱樂部의 - 新春公演
朝鮮歌謠協會의 - 作曲宣傳＜26＞

「고고천변 일륜홍」이나 「반남아 늙엇스니」를 부르는 녯 성악가의 나을 보면 대개 늙엇다. 全羅道出 金昌煥씨 78, 忠淸道出 金昌龍씨 60, 全羅道出의 宋萬甲, 李東伯씨 68등등 명창들은 모다 六旬너문 늙은 청춘들이다. 그러나 枯木新幹이라 새봄을 마저 새 정기가 나는드시 모다 의기가 창천한다. 그래서 新春부터는 名唱大會를 각금 열고 불어너흔 축음기 레-코드도 全朝鮮에 보급식히고 李東伯翁을 중심으로 專門劇場設立의 의도까지 잇다고 - 이 그릅 안에는 前記老靑春外에 스물여섯의 朴綠珠, 서른둘의 金楚香가튼 二八靑春들이 잇스며 또 서울歌詞에 河奎一, 가야금에 沈相健, 단소에 趙東奭, 金相淳 저에 金箕善 등 일당백들이 모혀 잇스니 今春의 전통적 성악단의 온,파레드는 다채 장관하다 하리라.
그리는 한편에 신흥악단을 둘너보면 梨花女專코러쓰團을 배경으로 한 천재성악가 安基永, 또 高麗째스뺀트의 名鼓手 崔虎永, 中央保育코러스團과 中央樂友會을 지도하는 洪永厚, 그밧게 金永煥, 玄濟明, 桂貞植씨 등 濟濟多士가, 音樂協會를 창립하고 오는 4월부터 춘하추동4季로 정기공연을 하기로 되엿다. 쎌로, 컨닥타, 째즈속으로 歐美風에 저즌 근대적 명랑, 복잡한 멜로듸가 半島악단을 장식할 것이니 이 땅의 봄은 다행스럽다 할가.

이밧게도 石松, 李光洙, 朴八陽, 李殷相, 岸曙, 요한 들의 근대시인과 金永煥, 鄭順哲, 安基永등 작곡가, 성악가들이 어울너서 조직한 朝鮮歌謠協會도 新春부터는 새로운 시대적 민요, 속요 등을 만히 만들어서 널니 펴리라 하니 마음 든든한 일이요, 각 대학교 코러-쓰團에서도 새긔운이 뻐치는 조흔 노래를 불너 만사람의 귀를 살지게 하리라고 선성을 지릅이 큰즉 아무튼 今春樂壇은 百花爛熳이라고 할까...＜27＞
＜26-27＞
