잡지명 개벽 제70호
발행일 1926년 06월 01일
기사제목 世界勞働運動의 陳容 (Configuration of the World Labor Movement)
기사형태 소식 (News)

Configuration of the World Labor Movement

When the coal miners of Great Britain once voiced their discontent, not only did all the workers within Great Britain go on strike simultaneously, but workers worldwide also showed signs of responding in kind. At this time, let's briefly glance at the international organizations of these workers for reference.

Currently, there are two international workers' federations. One is the International Federation of Trade Unions, headquartered in Amsterdam, Netherlands, and the other is the Red International of Labour Unions, headquartered in Moscow. Although both adhere to socialism and reject capitalism, the Amsterdam faction seeks to gradually reform society through social evolution, commonly referred to as the "Yellow International." Starting in 1897, today it represents 17.7 million workers, with representatives from 90 organizations in 14 countries gathered to promote and unify the labor movement. The Red International of Labour Unions in Moscow is an organization aiming to carry out a world revolution through direct action and simultaneously establish a dictatorship of the proletariat. It unites Russia's trade unions and the far-left unions of various countries. Although its membership is only 7 million, its actual power far surpasses the Yellow International. Consequently, these two factions, the Yellow and the Red, have clashed often, but recently, the Red International has been attempting to embrace the members of the other side more. Besides these, there are international industrial federations among workers, such as the Miners' International Federation and the International Typographical Secretariat. Due to their narrower focus, their solidarity is stronger. During the recent British strike, the Miners' International Federation, in its name, prevented coal exports to Great Britain, which was fully implemented in countries like France (佛), Belgium (白), and Germany (獨). By the way, the president of the Yellow International federation is Mr. Thomas, the general secretary of the railway workers' union who was active in the recent British strike.

Labor Movements by Country

Let's take another look at the situation of workers country by country.

Great Britain has a Trades Union Congress that encompasses all workers in Britain, and within it, there is a General Council that acts as the general staff headquarters. It was this council that issued the fearsome order, "From 1:00 AM on May 4th," for the recent general strike. This Trades Union Congress was founded in 1868, and around 1912, its membership exceeded 5 million [Note: Original text says 500, likely typo for 5 million or 500 affiliated unions, context suggests large membership], but due to the post-Great War slump in the labor world, it decreased to 4.2 million. The main components of the union are the 1.2 million-strong Miners' Federation, the 450,000-strong National Union of Railwaymen, 410,000 transport workers, 430,000 engineering workers, 350,000 construction workers, 150,000 printing workers, and other shipbuilding and metal workers. This union generally holds power comparable to the government within Britain, always exhibiting the spirit of a "state within a state." Whichever party forms the central government, it cannot avoid paying attention to the inclinations of this labor side.

In America, the power of workers is significantly less than in Great Britain, but it also has a considerable foundation. There is the American Federation of Labor (founded 1880) with 2.9 million members, the four Railway Brotherhoods with 600,000 members, and the Amalgamated Clothing Workers union. In addition, among left-leaning unions, there are the Farmer-Labor Party <100> and the famous syndicalist organization, the I.W.W. Another notable aspect of the American labor movement is the labor banks; currently, there are 25 labor banks with a total capital of $30 million. America is also famous for the high salaries of trade union officials; high-ranking executives have annual incomes of around $15,000, and it is said that one labor movement leader left an estate of $500,000. It is said that the American labor movement is relatively quiescent because the consciousness of the propertied class on the employers' side has developed in an extremely wicked and cunning manner (極惡極妙), making it very difficult to conduct a thorough labor movement.

Moving to the European continent, in contrast to Britain and America where workers themselves lead their labor movements, in various European countries, the socialist movement holds the most significant influence. Both France and Germany have histories of labor movements spanning about 100 years, but they still lack truly formidable organizations; instead, the socialist parties in their parliaments wield the most influence.

In France, the General Confederation of Labour (全國組合總同盟), which affirms parliamentary politics, and the Federation of Bourses du Travail (勞働取引所聯合), which sought purely economic action, merged in 1895 to establish the General Confederation of Labour (勞働總同盟). This federation rejects all parliamentary action and aims to achieve its ultimate goal through direct action, namely the general strike. However, while the total number of workers in France is estimated at about 15 million, only 600,000 are said to be members of the aforementioned federation. They seem to neglect unified action to that extent.

Germany's labor movement was most vigorous immediately after the Great War when Luxembourg held sway over the movement. Now, there is the General German Trade Union Federation (獨逸勞働組合總同盟) with 2 million members and the union famous for Red Communism, the "Union of Manual and Brain Workers (筋肉 及 頭腦勞働者組合)." The latter holds greater power than the former.

The labor movement in Labor-Farmer Russia (勞農露西亞) differs markedly from other countries that have not yet undergone revolution. Until the Kerensky Revolution in 1917, the country's trade unions consisted of merely 3 unions with 2,000 members. Today, after the revolution, 6 million out of 7 million workers are organized into union members, forming the All-Russian Central Council of Trade Unions (全露勞働者組合). Since their own revolution succeeded, they have no need to struggle against capitalists like workers in other countries. Instead, they serve as the cornerstone of Soviet Russia (쏘베트 露西亞), acting as producers' organizations or active (能能的) groups for socialist construction and propaganda both domestically and internationally.

Cook, the Lenin of Great Britain

Finally, let me introduce a word about James Cook, the General Secretary of the Miners' Federation, who was active as the vanguard in the recent British general strike. He is a 42-year-old man of coal miner origin, learned, capable, and possessing a sharp revolutionary spirit. The Conservative Party (保守黨) points to him as a Red sympathizer, and there are even rumors that the National Party (國粹黨) occasionally plots his assassination (暗殺).
He always attacks the moderate and half-hearted approach of the MacDonald faction and speaks of the urgent need for the Triple Alliance (多角同盟). He was, of course, the main planner and implementer of the recent strike. It is said that he may sooner or later become the Lenin of Britain, capable of influencing the entire fate of Great Britain. <101>
<100-101>

**Summary**

This 1926 article from the Korean magazine *Kaebyŏk* surveys the international labor movement, prompted by the recent British General Strike. It contrasts the evolutionary socialist "Yellow International" (Amsterdam) with the revolutionary communist "Red International" (Moscow), noting the latter's growing influence despite smaller numbers. It then examines labor movements country by country: Britain's powerful Trades Union Congress (TUC) acting as a "state within a state," America's weaker movement attributed to strong employer resistance and high union salaries, France's syndicalist CGT lacking mass membership, Germany's split movement, and Soviet Russia's state-integrated unions focused on socialist construction. The piece concludes by highlighting A.J. Cook, leader of the British miners, as a potential "British Lenin." For historians of colonial Korea, this article is interesting as it reflects Korean intellectual awareness of global leftist movements and labor activism during a period of intense ideological debate and nascent Korean labor organization under Japanese rule. The focus on international solidarity and revolutionary potential, particularly the comparison of Cook to Lenin, likely resonated with Korean nationalists and socialists seeking models for resistance and social change.

**Named Entities**

世界勞働運動	세계노동운동	World Labor Movement
現在의 國際的 勞働者聯盟은 두 개가 잇는데 和蘭國 암스텔담에 本部를 둔 國際勞働組合聯盟이라 하는 것이 그 하나요 다른 하나는 莫斯科에 本部를 둔 赤色國際勞働組合이라는 것이다. 이 둘이 社會主義를 信奉하고 資本主義를 否認하는 데에는 한 가지이나 암스텔담派는 社會의 進化에 의하야 차차로 사회를 變革식히려 하는 바 世間에서는 이를 가르켜 「黃色組合」이라 하는데 1897년부터 始하야 현재로는 1,770萬 勞働者를 대표하는 14개국 90團軆의 代表者가 모혀서 勞働運動의 促進 統一을 圖하는 今日이며 莫斯科에 잇는 赤色國際勞働組合은 直接行動에 의하는 世界革命을 斷行하는 동시에 無産者 獨裁政治를 베풀려하는 團軆로서 露西亞의 勞働組合을 爲始하야 각국의 極左傾 組合이 團結된 것이니 會員數는 700萬이 불과하다 하나 其實力은 멀니 黃色組合을 凌駕함이 잇스며 따라서 이 黃赤의 두 派는 그동안 만히 다투엇스나 근래에는 赤色組合 便으로부터 만히 더한 便을 包容하려한다. 이 밧게도 勞働者의 國際聯合으로는 産業別 國際聯合이 잇스니 例하면 國際坑夫聯合會와 國際印刷工聯合會가튼 것으로서 성질이 狹한 그 만큼 團結力이 富한 바 이번 英國罷業에도 國際坑夫聯合會의 名義로서 英國에 대한 石炭輸出을 防止하게 하야 佛, 白, 獨 等 各國에서 완전히 실행되엿다. 그런데 黃色組合聯盟의 會長은 이번 英國罷業에서 活躍하던 鐵道從業員組合의 幹事長 도-마스라고.

各國別로 본 勞働運動
다시 勞働者의 形勢를 各 國別로 一瞥하면
영국은 全英國의 勞働者를 包括한 勞働組合이 잇고 그 안에는 總評議會란 것이 잇서 總參謀府 노릇을 하는데 이번 總罷業에도 「五月 四日 未明一時부터」라는 무서운 命令을 發한 것은 이 評議會엿다. 이 勞働組合은 1868년에 創立듸야 1912년 頃에는 加盟員이 500을 넘엇스나 大戰後 勞働界의 不振으로 420萬人으로 減少되엿는데 그 組合의 主要成分은 120萬의 坑夫組合聯合會, 45萬의 鐵道從業員組合聯合會, 41萬의 運輸勞働者, 43萬의 機械勞働者, 35萬의 建築勞働者, 15萬의 印刷勞働者, 其他造船 金屬工勞働者인대, 이 組合은 英國 內에서 大軆로 政府와 上下하는 勢力을 把持하야 언제던지 「國家 內의 國家」인 氣勢를 보히고 잇는데 엇던 派가 中央政府를 組織하던지 이 勞働者 便의 鼻息을 仰하지 안코는 안되는 形便이며
美國은 勞働者의 勢力이 크게 英國에 不及 하나 亦是 相當한 기반을 가지고 잇스니 290萬의 組合員을 가진 勞働總同盟(1880年 創立)과 60萬의 會員을 가진 4個의 鐵道友愛會와 合同縫衣組合이 잇는 외에 尙又 左傾組合으로는 聯合農民勞働者黨과＜100＞ 유명한 싼지까리즘 團軆인 I·W·W이 잇스며 이밧게 한 가지 米國勞働運動에 유명한 것은 勞働銀行인 바 현재는 25勞働銀行이 잇서 總資本이 3,000萬弗이라하며 또 勞働組合任員에 월급 만키로도 米國이 유명한데 고급간부로는 年俸 15,000弗쯤의 收入이 잇는바 엇던 勞働運動指導者는 50萬弗 遺算을 남겻다고도 한다. 대체 米國의 勞働運動이 이만큼 閑散한 것은 無産者의 階級意識보다도 雇主側의 有産者意識이 極惡極妙하게 發達되야 徹底한 勞働運動을 하기에 매우 곤란한 故이라 한다.
다시 歌大陸에 드러가보면 英米에는 勞働者 自身이 그 勞働運動을 主함에 反하야 歐洲諸國에는 社會主義者의 運動이 가장 形勢를 떨치고 잇다. 佛이나 獨이나 勞働運動으로서는 다-가티 100年 內外의 歷史를 가졋스나 오히려 그러케 놀낼만한 조직을 가지지 못하엿고 議會의 社會黨이 가장 만흔 形勢를 떨치고 잇다.
佛國에는 議會政治를 肯定하는 全國組合總同盟과 純粹히 經濟的 行動을 取하려는 勞働取引所聯合이 1895년에 合同하야 勞働總同盟을 창립하엿는데 이 同盟은 一切의 議會行動을 排斥하고 直接行動인 總同盟罷業에 의하야 終局의 목적을 達하려는 것이다. 그런데 佛蘭西全國勞働者는 約 1,500萬人을 算하나 右의 同盟에 가입한 수는 60萬에 불과하다 한다. 그들은 그만큼 統一的 運動을 等閑視하는 樣이다.
獨逸의 勞働運動은 大戰直後 룩셈불그가 그 운동의 牛耳를 잡앗슬 때에 가장 盛하얏고 지금은 200萬의 會員가진 獨逸勞働組合總同盟과 赤色共産主義의 組合으로 유명한 「筋肉 及 頭腦勞働者組合」이란 것이 잇는데 後者는 前者보다도 큰 勢力을 가젓다.
勞農露西亞의 勞働運動은 아즉 革命이 되지 안은 다른 나라들과 현저하게도 그 形便이 다르다. 1917년 케렌스키革命 當時까지는 그 나라의 勞働組合은 겨우 3개 組合에 2,000人의 會員을 가젓슴얘 불과하엿는데 革命 後의 今日은 700萬人의 勞働者 중에 600萬人이 組合員으로 組織되야 全露勞働者組合을 지엿다. 그들은 自己中心의 革命이 成功이 되야 다른 나라의 勞働者와 가티 資本家에 대한 鬪爭도 할 것이 업고 오직 쏘베트 露西亞의 柱石이 되야 國內國外에 대한 社會主義建設 또는 宣傳의 生産者 團軆 또는 能能的 團軆가 되여 잇슬 뿐이다.

大英國의 레닌인 쿳쿠
마즈막으로 이번 英國의 總罷業에 急先鋒으로 活動하던 炭坑夫組合聯合會幹事長 젬스·쿳쿠에 대해서 한 말을 紹介하면 그는 今年 42歲의 坑夫出身으로서 學問이 잇고 手腕이 잇고 또모가 진 革命的 氣骨을 가진 男兒인 바 保守黨 側에서는 赤色主義者라고 指目하며 國粹黨 側에서는 때때로 暗殺을 計不劃한다는 소문까지 잇다.
그는 언제던지 막도날도 一派의 穩健·不徹底를 攻擊하고 多角同盟의 急務를 말한다. 이번 罷業의 가장 주된 計劃者가 되고 實行者가 된 것은 물론, 그는 早晩 英國의 레닌으로서 全英國의 運命을 左右할지도 모른다고 한다.＜101＞
＜100-101＞
