**Header Section:**
Magazine Title: 개벽 신간 제2호
Publication Date: 1934년 12월 01일
Article Title: 百人百話 (One Hundred People, One Hundred Stories)
Article Type: 잡저 (Miscellaneous writing/column)

**Body Text Translation:**

One Hundred People, One Hundred Stories

Among elderly female figures, there is likely no one else with as fine a bearing, possessing a rosy complexion despite white hair (紅顔白髮), as Madam Sin Albet’ŭ. However, her destiny (八字) has not been a particularly happy one. Having become a [...] (宅) early in her youth, while raising her two pigeon-like children (a son and daughter) and sending them to [...], her beloved daughter unfortunately died young in middle age ([...]年), and her only son also became disabled, unable to go outside the gate. The Kyŏngsŏng Women's Academy, which she operated as a student [...] (學生*業), also closed due to financial difficulties. Currently, she lives out a lonely latter life in sorrow at the end of Kye-dong. You fortune-tellers (관상쟁이) who are popping up frequently these days, take a look at her face! Where does it look unfortunate?

There is hardly anyone in the world who doesn't know Kim Mi[...]sa (金美*士氏), but few people likely know that her original surname is Ch’a (車氏). Although the world knows Yun Paengnam (尹白南氏), few people probably know his real name is Yun Kyo-chung (尹敎重氏).

Many people know the names of Yu [...] (兪**) and Im Hyo-jŏng (林孝貞), but few know who their husbands are. If you look into it, Ms. Yu’s husband is Yi [...]yŏng (李*永, also known as [...]), who went to America (米洲) years ago, and [...] ([*氏])’s husband is Ch'oe [...]hwan (崔*煥氏), a reporter for the Social Affairs Department of the Tonga Ilbo (東亞日報). Those two are fortunate men, like husbands of [...] women (** 女性).

It is said that during his three-year mourning period (복상 3년), former Chosŏn Ilbo (朝鮮日報) president [...]u ([...]雨氏) faced no fewer than 38 payment orders (지불명령) related to company [...] (社*) debts from before, but recently those matters have mostly been settled, and the three-year mourning period has also finished. Truly, three years of mourning, three years of mental toil (心*).

Han [...] ([韓**氏]), due to working for the Chosŏn Ilbo for many years (다년간), developed an illness ([...]) and spent several years recuperating ([...]***) at [...]an[...]sa ([...]安[...]寺). With the autumn wind, his illness also healed (病亦*), and he reportedly entered the capital (入城) the other day to visit friends he hadn't seen for a long time. The autumn scenery of the capital (長安秋色) likely brings many emotions.

If one were to refer to Ham Sang-hun (咸尙勳氏) simply as Ham-ssi (咸氏), in the style of the Kyemyŏng Club (계명구락부), he could be considered a nephew-level relative (족히 - 侄) to anyone. If one were to attach the respectful title "Master" (子字) to Son Chin (孫晉 氏), like Confucius, Mencius, and Zhu Xi (孔孟 朱者), everyone would call him grandson (손자). However, the preceding words are merely a jest ([...]耳), so please do not be angered (幸勿怒之).

When Hŏ Hŏn (허헌씨) was a lawyer in the past, he put up a sign reading "Lawyer Hŏ Hŏn Law Office." A friend who knew only a smattering of legal terminology (법률술어당박) passed by, saw it, and said, "Since he's a lawyer who even takes on Hŏ Hŏn [...] (허헌*까지 마튼), he must be a considerable lawyer among lawyers." Hearing this, it sounds plausible. However, since his release from prison, he has taken down his lawyer sign and is said to have gone to the Yŏnghŭng region (永興地方) recently to specialize in gold mining (金鑛專業). May I ask, how is the Gold [...] Constitution (金*憲法)?

Speaking of lawyer signs, the sign of the late Hwang Ch'ŏl-su (黃轍秀氏) was truly a masterpiece, the first of its kind since the beginning of law (有法以來). It read: "Posŏng Professional School (보성전문학교) Honors ([*等]) Graduate, Top Scorer in the Bar Examination (변호사시험 장원급제), Former Judge of the Provincial Court (전지방재판소 판사), Current Lawyer Hwang Ch'ŏl-su Law Office," etcetera! Readers, what do you think? Truly grandly ostentatious, isn't it?

While on the topic of lawyers, let's add one more thing. During his school days, friends called the rookie lawyer Ku Cha[...] (具滋*氏) "Ku Pyŏngsa's son" (구병사 자제). At first glance, one might easily think he was the son of a splendid military commander named Ku Pyŏngsa from the old days, but it was actually an insult meaning "a child resembling a dog-rice-cake" (개떡가튼 자제 - 狗餠似子弟).

Ch'oe Sŭng-man (崔承萬氏), who newly joined Sin Tonga Sa (新東亞社), is said to have four daughters. There's a saying, "Thieves do not pass through the gate of a house with three daughters" (盜不過三女之門). Since he has four daughters, it seems he might be exempted from [...] ([***]) at the P'irun Tonghoe (弼雲洞會).

Speaking of four daughters, [...]wŏl (*月) Pak Yŏng-hŭi (朴英熙氏) also reportedly has four daughters. Wŏl (月 - moon) has a female image (女像); whether he took the pen name [...]wŏl (*月) because it was his destiny ([...]) to have many daughters is unknown (不知).

Yun Ch'i-ho (尹致昊氏) is famous for not readily meeting anyone at his home, but everyone says it causes much inconvenience (不*) in social interactions because he absolutely never answers the phone himself. If that's the case, his phone could be called a private-use, one-way telephone (자가용 片道電話).

A bronze statue (銅像) of the late Kim Ki-jung (故金琪中氏) has been newly erected at Chungang High School (中央高等學校). The total construction cost is said to be 50 won. The statue's distinctive features are the Korean attire (朝鮮服) with a traditional headband and hat (綱巾과 관). Two other striking sights (異彩) were Kim Hwal-lan (金活蘭) donating something, and the master of ceremonies, old Yun Ch'i-ho (尹致昊老人), wearing a crimson traditional jacket (唐紅저고리). (People who weren't paying attention didn't see this.)

Kwŏn Tŏk-kyu (權悳奎氏), famous for his fierce eyes (險目), once went to Hwimun High School (徽文高普), saw the principal's statue, and composed a praise saying: "His face is black, so his heart can be known (其面이 黑하니 其心을 可知요); His [...] is large, so [...] is called large (其*이 大하니 足大曰O이라)." It's unknown what kind of praise he will compose for Kim Ki-jung's bronze statue this time, but perhaps knowing beforehand that there wouldn't even be a cup of wine at the unveiling ceremony (除幕式), he came already half-drunk (반취) from elsewhere. Looking at the statue, he remarked, "Mun Sŏk-o (文錫五군 - the sculptor) made it quite well, but Kim Sŏng-su's (金性洙氏) second [...] ([...]제이****) is ample," causing those nearby to burst into laughter. <83>
<82-83>

**Summary**

This article, "One Hundred People, One Hundred Stories," presents a series of short, gossipy anecdotes about various prominent figures in Korean society during the mid-1930s. It touches upon personal misfortunes (Sin Albet'ŭ), hidden identities or less-known facts (Kim Mi[...]sa/Ch'a, Yun Paengnam/Yun Kyo-chung), marital connections (Yu [...], Im Hyo-jŏng), financial troubles and recovery ([...]u, Hŏ Hŏn), health issues (Han [...]), humorous name puns and observations (Ham Sang-hun, Son Chin, Hŏ Hŏn, Ku Cha[...]), family details (Ch'oe Sŭng-man, Pak Yŏng-hŭi), personal eccentricities (Yun Ch'i-ho), and events like a statue unveiling (Kim Ki-jung), often with witty or critical commentary.

For historians, the article offers glimpses into the lives, social circles, and perceived reputations of Korean elites (intellectuals, journalists, lawyers, educators, businessmen) under Japanese colonial rule. It reflects contemporary social commentary, humor (including puns based on Hanja and Korean names), attitudes towards women, mourning customs, financial struggles, and the cultural landscape, including references to specific institutions like newspapers (Chosŏn Ilbo, Tonga Ilbo), schools (Kyŏngsŏng Women's Academy, Posŏng, Chungang, Hwimun), and social clubs (Kyemyŏng Club). The casual mention of legal troubles, career changes (like Hŏ Hŏn turning to gold mining), and personal health provides texture to the experiences of notable individuals during this period.

**Named Entities**

申알벳트	신알버트	Sin Albet'ŭ
허헌씨가 전날 변호사시대에 변호사 허헌법률사무소란 간판을 부첫더니 법률술어당박이나 아는 어떤 친구가 지내가다가 보고 曰 허헌*까지 마튼 변호사닛가 변호사 중에는 상당한 변호사』라고 하더란다. 말을 듯고 보니 그럴듯도 한 말이다. 그런데 그는 출감 이후 변호사 간판도 집어 치고 요새는 永興地方에 가서 金鑛專業을 한다고 한다. 借間金*憲法이 如何.

변호사 간판 말이 낫스니 말이지 작고한 黃轍秀氏의 간판이야 말로 有法以來 초유의 걸작이엿다. 記之則曰, 보성전문학교 *等卒業生, 변호사시험 장원급제, 전지방재판소 판사, 현변호사 黃轍秀
법률사무소 云云! 독자여러분 어떳슴닛가. 참 굉장야단스럽지요.

변호사 이야기를 하는 끗헤 또 한 마디 하자 신진변호사 具滋*氏는 재학시대에 동무들이 구병사 자제라고 불럿다. 얼는 드르면 전날에 흘륭한 무관의 具兵使 子弟로 알기 쉽지만은 실상은＜83＞개떡가튼 자제(狗餠似子弟)라고 욕하는 말이엿다.

新東亞私에 새로 입*한 崔承萬氏는 따님이 4형제라 한다. 盜不過三女之門이라는데 氏는 四女가 잇스니 弼雲洞會에서 ***는 면제할 듯.

四女 말이 낫스니 말이지 *월 朴英熙氏도 따님이 역시 4형제란다. 月은 女像인데 그의 號를 *月이라 한 것도 따님 만히 나흘 **이엿는지 不知.

尹致昊氏는 자가에서 누구와 면회 잘 안이하기로 유명한 분이지만은 전화조차 절대로 자기가 밧는 법이 없서서 교제상 不*이 만타고 누구나 말한다. 그럿타면 그의 전화는 可謂 자가용 片道電話.

故金琪中氏의 銅像이 中央高等學校에 새로 건립되었다. 그 建立비는 총계 50원이라 하고 상의 특색은 朝鮮服의 綱巾과 관을 쓴 것이요 또 두 가시의 異彩는 金活蘭양이 헌납을 하고 司會 尹致昊老人이 唐紅저고리를 입은 것이다. (이것은 주목하지 안은 사람 못 보앗다.)

險目로 유명한 權悳奎氏가 전일 徽文高普에 가서 교장의 동상을 보고 作贊曰 其面이 黑하니 其心을 可知요 其*이 大하니 足大曰O이라 하엿다. 그는 이번에 金淇中氏의 銅像讚은 엇지 지을는지 알 수 업스나 그 除幕式에 술 한잔도 업슬 것을 미리 알엇던지 다른 곳에서 미리 반취나 하여와서 동상을 보고 曰 文錫五(彫刻家)군이 맨들기는 곳잘 맨드럿는데 金性洙氏의 제이****은 넉넉하군해서 엽헤 사람이 일소를 발하엿다.＜83＞
＜82-83＞
